Good 	 return 5 night stay Omni Berkshire . 3 we total . request room 2 bed however good could room 1 bed put bed . honest ' think acceptable . book beginning year really excuse . ' happy put bed – pay nice hotel expect proper bed sleep . 1st room give small – ' figure put bed would go small ask move large room – give large room impress swiftness however really arrival give originally . the concierge good thing hotel – incredibly helpful full knowledge . everyone hotel friendly . dinner restaurant – good quality . resturant manager professional friendly . the hotel room clean . location wise excellent – Cartier 5th Avenue – short walk central park – need tube station . one thing must say arrival – demand take approximately $ 50 per day charge room case charge anything room . odd . stay many many hotel ever encounter . await back card – say ' take 3 business day – shall see ! say ' charge room would pay immediately cash . the meat packing district good bar , club resturant . we dinner Plaza also different day - lunch . lovely . the hotel nice . would consider stay . 
 nice hotel 	 get stay hotel chance get deal priceline.net . arrive hotel 10 let early check . sign hotel 's membership checking , use wi - fi room free . hotel locate block Time Square close 5th Ave , find hi - end shopping retail . love ! ! ! ! 
 Oct 15 2009 	 Thought great 	 omni wedding early Oct . staff could helpful , room clean everything quite enjoyable hotel . we register ' select guest ' get free wfi service , also come free morning beverage , newspaper evening turn service . get group rate , NYC bargain . would definitely stay . 
 Oct 12 2009 	 really tired completely impersonal 	 hotel centre town term market position nowhere . tired room , even tired staff seem realize & quot ; New York Snarl & quot ; leave door service industry . stay vary okay quite unpleasant , many people come front door people care . look bill . either go market Peninsula market somewhere like Empire . far well value . 
 oct 9 2009 	 avoid hotel cost 	 nothing problem start reservation end front desk . extremely unhelpful uncaring . many great hotel NYC , problem skip one . 
 Oct 8 2009 	 place stay NY luxury convenience 	 travel NY honeymoon . love stay OMNI Berkshire Place . love room , service , food location . would definately recommend hotel . 
 Oct 7 2009 	 good location service NYC 	 friend arrive Sept 17th 2009 . hotel beautiful , clean welcoming . can not say enough service .... call extra sheet bed two maid arrive room within 5 minute completely re - make bed believe , refuse tip we . hotel 15 second away 5th Ave right Madison Ave leave . enjoyable stay ever . look style , elegance , comfort LOCATION .... place . definitely give 5 star ! Rhoda 
 Oct 7 2009 	 Omni 	 stay Omni long weekend girl ' getaway trip mom could not happy experience . bum unable stay either favorite hotel chain ( Fairmont Ritz Carlton ) last minute trip rate propertie $ 1,000.00 per night ! since always stay either property available wherever travel take , not expect much Omni pay lot less ' ve always think really comparison come service quality either favorite hotel . prove wrong immediately upon arrival 10:30 ... room ready , give large , quiet room , high floor , away elevator , extra pillow , request book reservation . Select Guest Program work wonderful . love get complimentary beverage & amp ; paper morning . room spacious , nicely furnished , clean . bathroom replica see number Ritz Carlton 's room , large marble Jacuzzi separate shower , lot counter space , light mirror etc ... typical ( closet size ) bathroom other complain NYC . service also efficient & amp ; courteous . thing would change .... furnishing & amp ; tv , although nice need replace , see wear tear ' everyone flat screen day ? would recommend place hesitant bad review , definitely plan return property , area course wonderful good exclusive shop around , subway couple block away , plenty cab around prefer take & amp ; not see typical & quot ; dirty city & quot ; aspect around . plenty police officer around area , safety issue . not see single beggar vicinity leave area go low Manhattan near park . ' budget place area visit , otherwise enjoy hotel offer hotel ' restaurant delicious . 
 oct 4 2009 	 great location explore NYC 	 take Airtrain subway JFK hotel ( $ 7.25 ) - near station 53rd Street . hotel conveniently locate 52nd Street 5th Avenue Madison . arrive late night attend politely efficiently ( although warm welcome ! ) . spacious room eighth floor clean well decorate . room come 2 queen size bed comfortable . usual tv , minibar , hair dryer , basket goody bathroom , magazine . not trouble street noise although per previous review , sound proof room could better . follow previous advice , decide breakfast Isadora 's road Europe Cafe one block Maddison - good value . hotel ideally locate explore New York find easy reach many sight foot . bed turn room fresh clean arrive back day . doormen friendly helpful . common area hallways need update detract experience . lucky enough book hotel Priceline not pay standard price . perhaps influence expectation compare reviewer . nice touch information sheet front desk detail local event time stay . not use hotel restaurant prefer eat . would stay base experience . 
 oct 2 2009 	 reservation issue 	 want trouble free reservation Omni Berkshire be well call hotel directly . ' ve make reservation Expedia reading review get prudent say good call case make sure ok . call hotel confirm , barely able find . even issue confirmation # can not use , wonder . also want let know arrive late evening ask quiet room thing , reservation person tell & quot ; do not make reservation we directly , can not make note booking & quot ; . hard really ? perhaps take & quot ; service orient & quot ; hotel internet trip aggregation website altogether , solve problem . 
 Sep 27 2009 	 Nice hotel great location first impression .... friendly 	 husband spend one night Omni getaway weekend September . first impression young woman front desk . maybe specialty would behind scene . wait rudely help gentleman front we . turn , not make eye contact , never smile welcome we hotel . expect room ready 10 a.m. ask whether check later . speak attitude . unfriendly . husband travel quite bit feel hotel management would want guest 's first impression professional , friendly , smile face . case . luckily , rest stay wonderful ! 
 Sep 27 2009 	 round great hotel first time stay NYC 	 husband book four night stay Aug / Sept surprise trip ny . neither us New York centrally locate hotel make great base explore main sight . having book rather last minute , choose Omni Berkshire base review Trip Advisor . maybe give time , husband may find well value money hotel - hotel NYC relatively expensive however OMNI Berkshire deliver many front - location , cleanliness room surprisingly large . location fantastic , 5th Ave short walk away least two subway station . unlike reviewer , noise issue . fact surprise quiet hotel central location ! room big expect everything would expect 4 * hotel . overall fantastic stay . would certainly recommend hotel first timer NYC . 
 Sep 24 2009 	 Good Location Meet Expectations 	 stay hotel four night Sept 3 Sept 7 . everything hotel ok . OMNI expect quieter room . much street noise . choose premium room least expensive one . hotel wear . everything work . people nice everyone helpful . the service good . nothing exceptional . would stay . go pick Sofitel New York good experience location Rio last year try hotel instead . the place convenient location . important us travel . 
 Sep 20 2009 	 simply wonderful experience ! definitely back 	 superb experience past weekend ( 9/19/09 ) celebrate daughter 's Sweet 16 NYC ! entire staff give we undivided attention time , especially Hector . arrive receive upgrade room even early check . recommendation dinner hot spot right . WOW ! blow away ! stay many NYC hotel usual # 1 choice book beause book solid ! thank goodness , find new # 1 choice hotel NYC . good pricing good location ! thank Omni Berkshire make New York weekend perfect 10 ! ... please not listen naysayer review previous one hotel class act ! 
 Sep 20 2009 	 nice hotel room Select Guest amenity hard get 	 Lovely Hotel , friendly staff . , fabuous room . say , get select guest amenity call front desk request one . - two omni 's ' ve stay : San Diego San Anonio . room phone button call service not work , call operator . complimentary beverage take hour arrive , second day go wrong room . second night intermittent sewer smell room hour . ask conceirge staff teen shopping advice have think they'de list referal ; not even know fab teen shop Strawberry 100 step away . four star ? maybe 3.5 
 Sep 15 2009 	 Great Hotel / Super Location Superior Staff 	 Location 52nd Madison great . staff superior . read reviews trip advisor find hard believe hotel receive poor review . stay LeParker last year place well . 
 Sep 15 2009 	 Nice Hotel Overpriced 	 stay Omni right stay Helmsley Ny , anticipate Omni would much well since much expensive . I say well . fact , say ok , nice hotel nothing special . staff friendly , Helmsley nicer . room small Omni , really could find reason price difference . ask quiet room put room face back side - disaster ! construction do wake we 6:30 . not know ? AC make lot noise room , ask someone come look , tell normal noise . move room AC less noisy room wuieter , wonder could case first place . all sure guest srtaye Omni nice time . sure could get money . recommend . another thing like - complimentary internet like lobby like many hotel offer , feel everything need pay . 
 Sep 15 2009 	 nice place ... good location 	 husband take trip New York celebrate big birthday ! get great deal lowcostnewyork wesbite stay Omni Berkshire Place cost half price Omni hotel 's website . take airtrain subway JFK airport NY quick easy , cheap $ 7.25 ! subway right near hotel problem get case . check - in quick easy . also sign online select guest programme give membership number check - in allow we free wi - fi room , free newspaper complimentary morning drink . really worth signing - get 2 drink every morning choose tea , coffee , hot choc , juice , cola & amp ; bottled water really worthwhile .. leave home without sign ! take laptop wi - fi really useful planning day particular we allow we check - in online Virgin flight home . we room 835 .... expect basic room get good rate suprise poor view building site ' m sure other pay lot we would disappoint . noise pretty bad day first morning , woken 6 am construction noise shame , New York , get enjoy city . room really good size huge bed & amp ; big bathroom . get king bed non - smoking room request nice . review , hotel little date - eg furniture old style tv see NY hotel fine ... stay hotel much much small room . the hotel good location - close walk fith avenue , time square , grand central station , central park , rockerfeller center & amp ; top rock , st patrick cathedral .... need go ... want venture afield , subway close hotel $ 7.25 could buy one day fun pass venture around city . hotel extrememly clean room clean every day ... turndown service night also provide ice nice touch ! check quick easy nice 12 noon . able leave case bellman flight till evening could go last minute sightseeing shopping . delay little return collect case shame not seem enough staff hand collect everyone 's case see man polite quick get case . all nice hotel would recommend , probably price hotel 's website ... definitely look website first . 
 Sep 12 2009 	 lot annoyance good hotel 	 ' ve stay hotel two time . first stay , two year ago , much well last . Omni 's convenient location could overcome numerous small problem encounter recent stay . it begin check - in . arrive late night weather delay , hope go straight bed . unfortunately , room assign clean housekeeping prior arrival . , head back reception desk . gentleman apologize & amp ; give another room . room nice & amp ; probably little large premier level room reserve . room clean comfortable . unlike guest , noise issue whatsoever . , however , annoyance . Omni Select Guest program give member complimentary morning beverage . fill card & amp ; hang door night , room service bring beverage morning . check - in , clerk tell unfortunately , card . find odd . next morning , still not . finally afternoon , card arrive somewhere . may sound small petty , hospitality industry , little thing mean lot . rest stay thankfully uneventful . involvement Omni end check - out . check credit card balance day later , notice charge account actual bill . several call hotel , accounting department determine charge someone else 's stay , turn , charge stay . guess check day similar name . whole thing bizarre . least eventually figure happen card credit difference . additional annoyance , Omni Select Guest still award airline mile almost month . overall , hotel nice , room really show age . staff friendly location great . numerous annoyance experience , however , lead believe search new hotel next stay New York . 
 Sep 7 2009 	 Hotel Great Noise Poor 	 certain thing hotel control think Omni Berkshire solid . would recommend friend family . follow detail stay , well pro con . our stay : hotel room originally give smell like someone recently smoke cigar . great start , bell staff upgrade we large suite , exactly would expect first class hotel . two night , room great . third night , loud party move room next door could hear noise wall easily . could also hear people walk around we . also , NIGHT CONSTRUCTION 4th Ave hammer drilling keep we night prior departure date ( 12th floor ) . know hotel control , believe city would pull night job like across hotel . hotel know , certainly let guest know construction would happen . pros:1 . great location Mid - Town . Walk Times Square , Central Park , Rockefeller , Easy Subway access2 . Nice Hotel Rooms , Granite Bathroom3 . Great Concierge , Staff , Turn servicecons:1 . loud2 . Cigar Smell First room3 . need reno top - end Mid Town4 . many restaurant within block 
 Sep 3 2009 	 great room .... much noise . 	 go US Open get hotel Price Line . stay Saturday Wednesday . hotel really nice , doormen friendly reception desk . room , nonsmoke one king bed 20th floor . bathroom marble , always hot water hotel provide q - tip , cotton ball , shampoo , etc . bed comfortable . the hotel offer complimentary morning beverage service along wifi internet service sign select member program . able choose coffee , tea , juice , newspaper prefer . negative aspect hotel noise hear pretty regularly . Saturday night , awoken 4 be obnoxious , loud drunk make way room hallway . could understand every word . even day could unintentionally make conversation another room . Monday morning first day attend US Open awoken 7 am sharp construction do building across courtyard room . Tuesday thing - 7 am sharp ! decide move another room away construction , staff willing accommodate . spend last night room street side . room elegant comfortableness room . unfortunately , street noise pretty audible . 
 Aug 30 2009 	 Fantastic Stay Omni 	 every year , friend meet girl ' weekend New York . stay Omni couple year ago , due slight displeasure location room ( near elevator - noisy ) think try something different , last year stay somewhere else . find concierge hotel less knowledgeable less connected one Omni , since Select Guest get special rate room Omni year , decide would give another try . also couple free upgrade certificate get past ( expire ) think would bring along ask could still use . disappoint . upgrade Suite ( complete full living room ) . downside smoking floor , neither we smoke , small price pay . smoke odor not bad , especially open window get fresh air . ( be also nice able open window ) . deep bathtub comfortable , room huge , bed comfortable . Randy Concierge good ever , everyone hotel friendly helpful . be look forward next stay Omni ! ( ps , across street restaurant call Fig Olive - really good ) 
 Aug 23 2009 	 Excellent stay 	 check hotel , draw negative review first . read reviews hotel scared front desk staff hotel general . book hotwire start think ... ' hmm , go good place stay ? ' . well , happy book . excellent experience front desk staff - friendly ( recommend sign signature guest website - get bottled water check [ good - since +100 degree F check ] , free wifi , choice coffee / tea / hot chocolate / juice / etc deliver room every morning , etc ) .The room modern verge outdate - large piece furniture need replace . thing , NYC , sleep room 6 hour night busy rest time - wby else would go ? would stay heartbeat - close mid town ' stuff ' , Broadway Times Square . can not wait go back ! ! 
 Aug 21 2009 	 could not believe great service ! 	 go friend weekend . four us & quot ; upgrade & quot ; suite . room wonderful corner room nice view city day / night . doormen / valet well well every staff member encounter . coffee / juice bring we a.m. Room update ( furniture , flat screen tv , etc . ) would definitely stay visit NYC . price comfort location could beat . 
 Aug 19 2009 	 stay whenever NYC 	 like everything hotel , except maybe price N.Y.C . price high . location good , like room occasionally upgrade suite , hotel clean , people work friendly helpful . drive always please valet parking feel take good care car luggage unload loading car . stay 2 3 time year past 8 year visit son doorman still must good place work ! 
 Aug 14 2009 	 almost kill son 	 first message , last . four day Christmas 2007 check family hotel , book Madison Suite . get late , drop bag go Plaza . son 7 time find treadmill corner room , order , request sign . machine jettison top speed cast iron coffee table . security people show bandaid antiseptic spray ! not bother call ambulance , wife flag cab take Lenox Hospital brilliant plastic surgeon stitch face back together , thank god . we receive word take zero responsibility go cover medical expense , let alone damage ! 4 star ? btw , check 3 day later treadmill still remove . begin . 
 Aug 10 2009 	 great location . need update . 	 book stay travel website offer package airfare hotel . stay several Omni property ( include St. Louis Chicago ) figure safe bet . Omni Berkshire Place old building right middle midtown space premium hotel good job . lobby small welcoming , general area wear well not feel date guest room feel . view top hotel nice health club excellent . king bed guest room leave much room spread -- not unusual hotel NYC . furnishing guest room see show age ( e.g . conventional tube television , bedspread rather duvee cover , etc . ) . bathroom small well do . room - to - room noise need address thankfully good neighbor . guest room see one side hotel terrible view construction expect ? restaurant bar excellent . last least staff excellent . front desk concierge polite accommodating . housekeeping staff encounter common area also excellent helpful . location , would difficult find well centrally locate hotel city , get good rate , well . 
 Aug 10 2009 	 ok worth 4 star like 3 	 hotel good location good Hotel area New york Place 2 minute around corner Omni much nicer even less expensive Omni . the room Omni feel old fashioned not really look like web site picture . hotel staff also quite rude time clean staff friendly . 
 Jul 31 2009 	 Great Location 's 	 fine tiny room - even one face construction view . , New York . & quot ; old style & quot ; tv , not see hotel several year position 90 degree angle bed unexpected . shower / tub rubber mat nearly cause horrible accident unacceptable . toilet mean pretty much roll toilet paper lap sitting ! never time staff member hold open door , even pour rain . find everything texte phone talk . positive side , loacation perfect bartender provide wonderful advice ( well well make drink . ) gluten - intolerant , carb buster breakfast hotel restaurant perfect ! 
 Jul 29 2009 	 Great Location watch construction next door 	 friend book 2 room thru Priceline get great rate 4 - star hotel Manhattan . arrive 1:00 pm Thursday , give car valet . Valet parking ( on - site parking garage ) $ 40 per day . immediately check - in 2 room . give we 2 room 12th floor , face build construction next door . big problem view , also little bit noise Friday morning wake we . construction go weekend . the room nice aspect except small tube tv armoire . would think hotel nice would upgrade flat - screen tv ! watch tv weather update news night . also not like & quot ; limpy & quot ; pillow king bed . location great - 1 block subway station , 2 block Rockefeller Plaza . there street fair go Sunday morning check , take 45 min get car Valet . employee , valet front desk personnel nice courteous . as other say , sign free hotel club ( on - line ) , make sure reservation club # , get nice & quot ; freebie & quot ; , free wi - fi ( $ 10 / day value ) free beverage service room morning . my problem minor , contact front desk / housekeeping / manager . sure would taken care do . we end spend lot time Times Square , next time probably spend extra $ 20 $ 30 per night get hotel . 
 Jul 26 2009 	 ok superb 	 travel lot work ' m picky hotel guest money , Omni ok . brother stay Omni Berkshire one night could promise room two bed since near capacity . offer we rollaway bed , accept . get back room late night saw deliver appal . old ( 1960 be maybe ? ) metal cot expose spring fold half . something Aunt Ida would make sleep kid visit . mattress cheap foamy soft , sag horribly center lay . Classy ! end put mattress floor frame hallway pickup . one , mean one could possibly sleep bed comfortably , even 85 pound . Omni must get complaint yet still wheel old bed unsuspecte guest . word Omnni - 's 2009 -- buy air mattress ditch reform school bedding . the furnishing bit date , . 19 & quot ; tube TV 1980 's radio / cd CASSETTE minii boombox set plus standard clock radio . assume one Omni owsn Pod . thje room clean quiet , though spend $ 200 night feel right Omni : hotel get bit stuck time . 
 Jul 26 2009 	 happy w/ location ! 	 Omni Berkshire locate 52nd & amp ; Madison GREAT location look explore popular NYC attraction . hotel quiet - problem sleep room nice . important , bed comfy ! complaint give room w/ one King bed request 2 queen bed . say not available . downside staff bring we roll - away extra thing help we w/ sleep arrangement . 
 Jul 20 2009 	 excellent location wonderful staff great room 	 stay Omni Berkshire long weekend attend Yankees game sightseeing . book online discounter get great rate . hotel perfect location Midtown tourist attraction - short block Rockefeller Center , around corner St. Patrick 's Cathedral , short block Grand Central . get hotel early ( 11 ) great get us room want ( King , smoking ) check right . mention go Yankees game night desk clerk say , hang , will check weather , tell we gametime forecast rain . thoughtful - take umbrella sure enough , pour prepared . concierge fastastic - question answer quickly recommendation lunch dinner perfect . room surprisingly large , clean , comfortable . ' ve stay NYC many time never room spacious . even 4th floor street noise problem - great window . business center offer free boarding pass printing , fitness room nice , although not use , 17th floor outdoor deck great place minute rest sun next adventure . , wonderful place stay wonderful city . 
 Jul 17 2009 	 wonderful charming hotel 	 stay 5 night . excellent hotel . nicely furnished , polite helpful staff , free wireless internet morning beverage sign guest reward program . also feature nightly turn ice service ( something see large chain ) . Bathrobes , nice towel , great marble bathroom . the exercise room basic clean nicely keep . great spa bathroom well . also sun deck guest use level , wonderful hidden surprise . the lobby bar comfortable , stylish serve great martini . try restaurant look invite . I want leave , would certainly stay . 
 Jul 16 2009 	 Careful Booking Package Deals Omni 	 book one night stay Omni Philadelphia follow two night stay Omni Berkshire Place New York . booking make directly Omni website . to make thing easy less stressful , book package deal stay include breakfast valet parking . unfortunately , hotel charge price quote website secondly , charge valet parking - without tell . chance notice credit card statement . one hotel mistakenly bill valet parking forgive Omni hotel make mistake three day inexcusable . make believe package deal bit con unless be clever / lucky enough spot double charge Omni winner . unlike Independence Park Hotel ( Philadelphia ) room small , hotel stuffy bell boy almost beg tip . addition , never pay attention select guest profile need . this hotel complete rip - off . 
 Jul 15 2009 	 wonderful ! 	 husband return NYC spend four night Omni Berkshire Place . stay two Omnis want stay one year , rate not within budget . whenever plan trip tp ny check rate , time within range . complaint ' m spoil place else ! get taxi bellman immediately whisk luggage hotel . everyone deal stay hotel pleasant competent . small problem AC . call front desk maintenance person door within minute tell 'd problem since check day ask wait long call ! room spotless tp date . standard room big enough king bed , small couch , chair ottoman desk , among thing . location , right around corner 5th Ave .. perfect . entire experience hotel positive . can not say enough good thing staff . negative comment people start travel rate go back , will not able afford ! 
 Jul 15 2009 	 could fault Hotel - great value 	 stay 3 night . pre register select guest programme , robe pillow request free early more refreshment welcome . staff helpful polite could find fault hotel . even allow use heath suite freshen end day check . would recommend hotel base upon recent experience . 
 Jul 8 2009 	 great hotel experience 	 beautiful hotel , great location fantastic value money . New York night husband two small child suite spacious , comfortable . staff wonderful child receive complimentary gift bag cookie milk . nice touch ! valet parking huge help . would love stay soon . 
 Jul 7 2009 	 hard act follow 	 stay Omni weekend April 25th . lucky weather gorgeous Omni perfectly locate walk everywhere . room amazing could not believe huge . sit room beautifully furnish bedroom . bathroom marble well lay . staff friendly accommodate . like atmosphere bar Phillipe make delicious drink . special thank Lenny , make we feel welcome start finish . first several week travel husband sorry first stop know none hotel ( also 5 star ) would anywhere near fabulous . can not wait stay Omni . 
 Jul 6 2009 	 old hotel 	 travel NYC 4th July . arrive lobby look date theme continued room . book Madison Suite , bed hard ac cold . bathroom wonderful , lady @ concierge great , man snooty . let hotel & gt ; 
 Jun 30 2009 	 Fabulous Service wonderful stay ! 	 mid thirty go New York City three night mother five - year - old neice . great stay hotel . arrive notice already low special rate go price . speak manager inform mistake , would honor without problem . honor low rate , also upgrade we one bedroom corner suite outlooke Madison Ave manager call we make sure happy . beautiful huge ! neice love double door go bedroom ! room king size bed mom sleep ask cot could easiy put niece sleep night mom could hang front sit area wake . truly wonderful hotel experience ! staff nice neice give we back - pack full trincket love . live NYC ten year back many time , truly good hotel experience ! mom niece keep ask go back ! 
 Jun 29 2009 	 great location friendly staff 	 cheap - great location shopping sight seeing . luxury bedroom comment room . comfortable sound proof problem - even take ear plugs case ( read review ) . friendly staff can not enough ! would stay location friendliness make top choice ! 
 Jun 27 2009 	 Fantastic Honeymoon .... 	 partner book hotel Expedia due fantastic 5 night offer . hotel picture look great Honeymoon New York , book Deluxe double room arrival hotel instantly upgrade suite , special occasion . staff extremely helpful polite , nice door staff recognise we Honeymoon couple . room immaculate clean large , could believe luck find also 18th floor away noise traffic street . location perfect walk place heart everything , 5 minute Times Square , right fifth avenue , 5 min central park- pick red tour bus also take round sight ( Tip- 5 night tour bus offer 3 day bus pass , ask 4 day stay long 3 day upgrade 4 day 3 free charge , otherwise extra $ 40 per day per day ) . nothing ever problem hotel , also receive complementary drink service morning nice , breakfast expensive hotel lovely deli right road , Isadoras fantastic Bagels . final day receive mini bar bill .... use mini bar look like previous guest bill , husband speak reception instantly issue resolve hassle . say one good hotel stay already recommend friend look book trip New York soon . thank staff Omni Berkshire Place make Honeymoon special one remember . 
 Jun 26 2009 	 Favorite Hotel NYC 	 since October 2008 spend 33 night hotel . staff welcome , courteous genuinely kind . room lovely marble bathroom luxury amenity . addition location fantastic ! can not say enough good thing hotel show loyalty : since October 2008 , ' ve stay NYC 35 night , 33 Omni Bershire - 2 night difference hotel book solid . 
 Jun 24 2009 	 Select Guest Perks 	 join Select Guest last year read review TripAdvisor , receive 50 % room coupon mail , able stay Omni Bershire bargain weekend rate $ 120 per night . addition , get free Sunday Times ( $ 5 ) free pot coffee tea ( $ 15 ) . hotel great midtown location , next door 5th Ave shopping , bar , great east side restaurant . room small comfortable king bed bathroom huge amenity . housekeeping staff attentive turndown service every night great . stay . 
 Jun 23 2009 	 good great 	 book two room via bidding priceline receive reservation omni berkshire . read several review trip advisor relieved find overall comment positive . hotel definitely gear towards family / old population . concierge staff nice old good information . tourist thing , nightlife . furthermore , gym quite impressive fairly update cardio equipment small weight section . plus GREAT location march ( 3 month trip ) complete omni select guest form online make know preference room ( double bed ) addition sign free wifi room , newspaper everyday complimentary drink morning , addition bottled water upon arrival . week ahead trip call confirm two double room book . unfortunately , book despite request march ! call several time arrive new york see open double room . arrive hotel , front desk staff helpful .. one double room open .. upgrade room king offer we cot free charge . despite sign select guest ... group receive 3 newspaper week , water upon arrival complimentary beverage morning .. get wifi internet request ... sign user name password time want use .. ( get bit annoying week .. ) negative thing say check return home , friend charge $ 1300 hotel fee despite we already prepay via priceline . give receipt acknowledge charge not recognize mistake till receive credit card statement . take 4 day correct 
 Jun 21 2009 	 lovely hotel lovely staff fabulous location 	 stay Omni Berkshire Place weekend , 25 year first visit . Omni reservation line helpful securing room , expectation exceed upon arrival lovely , large room two double bed face 52nd st . room extremely quiet , well furnished , nice bathroom comfortable bed . everyone friendly , something one not expect NY . guest really friendly , . front desk staff concierge desk really nice helpful seem genuinely interested ensure comfort guest . Omni 's Select Guest program several nice advantage . find location perfect , always felt return bit return night . bar Fireside accomodate pleasant nice staffer . pleasant , reliable , nice hotel fabulous location reasonable price . 
