great 	 Hotel describe whilst obvious work go hotel never hear anything . staff always polite welcome situ ideal . would recommend Old Pancake House breakfast , per trip advisor recommendation , superb quality value . 
 Aug 18 2009 	 old rundown hotel great location . 	 4 nights/ $ 4103 good thing : location , block Michigan Rush . shower water pressure . comfortable bed . the hotel construction right . plastic cover hallway carpeting . everything o - l - d . smell old lobby , etc . get picture . in room , bed seem fairly new piece furniture . two cover chair wear look like buy goodwill . chair dark , grease spot people lean head . dust line carpet every wall . Wall paper peel least 3 different corner . huge waterstain crack ceiling one corner room . customer service hit miss . honestly feel bad employee make effort . 's point front desk clerk great house keeping forget clean room ? overlook room second night mention evening ask extra towel , response get gal manning desk night : ' and ... ? ' the tv room old . channel fuzzy . audio level spike everytime change channel . I mean 5 star traveler . expect clean room courteous customer service . case , would ' ve gladly pay extra stay Westin across street . Least would not feel like stay rundown old folk home . 
 Aug 5 2009 	 wish know construction 	 get marry Chicago entire wedding group stay Whitehall Hotel . would nice would tell we construction every floor . upside busy room long hear construction , plastic floor several room floor work . good part hotel bed shower ( water pressure great ! ! ) . would stay want close magnificent mile , look fancy hotel place . 
 Jul 31 2009 	 Anniversary Weekend 	 wife spend annivesary weekend Whitehall ; boy disappointment . although location terrific , Pinnacle room suppose high end room . room ( bedding0 nothing special . bathroom need alot work generally , look like one dust corner year . bad part want take architectural boat trip concierge push we take one list get several travel guide . pay hotel would pay site ( include coupon ) . bummer . never . 
 Jul 30 2009 	 Nice Hotel Fabulous Location 	 give Whitehall 5 star location ; 5 star morning crew 's attention detail guest satisfaction , 1 - star night crew 's attitude & amp ; treatment guest . overall , give hotel 4 star . prevent 5 star ? hotel construction ( limited disruption stay hotel ) badly nighttime staff ignore we . however , Nicholas Francisco ( A.M. crew ) make . two work tail make great stay we . the hotel literally Magnificent Mile -- close shopping , Chicago Tribune , Chicago River , etc . also , many bus route run close hotel CTA stop nearby , whole city readily ACCESSIBLE . room beautifully decorate feel luxurious . breakfast available , tea / coffee lobby A.M . would definitely stay recommend other . 
 Jul 24 2009 	 great location beware alley - side room 	 great place stay budget , seem typical old hotel stay - nothing flashy . location great north end Michigan Ave . , 5 minute walk subway . side : room adjacent alley : restaurant delivery daily garbage truck certainly not need alarm , even 7 floor . similar phenomenon interior noise - anyone get elevator hall sound like two foot away sound channel ill - fitting door . little noise come wall , door window may well open . staff quite helpful eager please - notice go way couple different party check - friendly . well room location would make 5 5 . 
 Jul 21 2009 	 clean nice room excellently locate 	 highly recommend due location near major attraction lake . room clean nicely lay , bathroom A+ . 
 Jul 14 2009 	 Nice hotel great location - beware AC issue 	 stay Whitehall friend past weekend . room bargain - $ 80 ( include taxis ) Orbitz . price , hotel ' provide much . come low expectation pleasantly surprise . we give nice sized room 15th floor . though ' really view , ' smack another building either , happy get . room tastefully decorate actually look well picture website . bed fairly comfortable closet ton hanger come useful . bathroom adequate size toiletry refill daily . room quiet . occasionally , hear people hall , never hear voice tv come adjoining room . , right , worth quite bit . , AC issue . room central air , day seem work great . temperature control respond , set 69 , room actually cool 69 , reason , night , AC work . could set 60 , temperature would continually rise . usually wake time room hit 77 78 realize flung cover fit sweat . the room keep clean , part , one day room ' get clean 4:30 p.m. . notice red speck / splotch ceiling one area . kind creep , decide try overlook . really , good part hotel location , especially shopper . ' block Michigan Avenue , ' super easy shopping drop bag room . ' also easy buy quick snack grab bottled water one nearby drugstore , Potbelly Sandwich Works ( nearby Bloomingdales mall ) , Starbucks McDonald ' ( within couple block hotel ) . 
 Jul 7 2009 	 great Spot Nice Hotel Ambiance 	 stay three day business find hotel nice . get room back , end building , allow large , comfortable room . staff extremely attentive . hotel nice , old world anbaince . bar like fabulous old man 's club - heavy paneling , sumptuous sofas low lighting - , nice place work day bar close . although may personal taste thing ; old couple walk hear elderly gentleman say , & quot ; like funeral parlour & quot ; ! certainly disagree ! much lobby , not need one . right near Hancock Tower , restaurant great shopping . 
 Jul 6 2009 	 Perfection usual 	 second time stay Whitehall . perfect every way . room well decorate plush . stay 19th floor view great . personally prefer boutique hotel little detail offer large chain hotel . whitehall great location close everything . parking right across street valet . shop right around corner bar scene . surround high end hotel none hotel even come close Whitehall . stay Whitehall suite . room two bathroom dining bar area , living room , dress room , course impressive bedroom . lobby hotel nice simple . room spend time relaxation lie . staff friendly helpful . highly recommend hotel . place stay Chicago . 
 Jun 30 2009 	 Nice hotel loud a / c 	 hotel nice ( old remodeled . ) Mattress , duvet , pillow luxurious . room spotless . staff downstair friendly attentive . my complaint would individual a / c unit room , , noisy . understand hotel trying replace central air maybe year , long issue . positive side , drown traffic noise may . 
 Jun 19 2009 	 Speechless ... 	 ... good way . check June 17 walk room 78f immediately turn AC cool room . leave go sightsee return room cool . luckily cool evening decide open window call night . second night discover remote control do not ' work , lightbulb room Internet work .... mention air conditioner work . midnight second night , enough enough call front desk . maintenance guy came say & quot ; yea , not work . & quot ; thank huge insight , man ! case , staff upgrade we big room AC work . , however , stay Whitehall Hotel less stellar . impressed . 
 Jun 11 2009 	 great location great staff great bed 	 since familiar Chicago , look central location , walk distance shop clean room . whitehall meet expectation . staff Whitehall courteous helpful . room clean bed extremely comfortable . location excellent walk Michigan Avenue shopping . hear air conditioning concern traveler problem either 2 room . 
 Jun 7 2009 	 Hotel exceed expectation 	 whitehall locate near Magnificent mile John Hancock building . near CTA bus rail transport Lake Shore . service great food Hotel restaurant much well expect hotel restaurant . actually give we food could eat difinitly feel like get monie worth . corner room . clean comfortable . negative .. difficult see tv bed . overall , great place stay reasonable price . 
 Jun 1 2009 	 Terrible Service 	 experience past weekend , felt compel write first hotel review ever . family come Chicago wedding choose hotel first foremost location . 's central location key go town weekend , middle everywhere need numberous weekend activity . arrive checkin Friday night around 8 pm , tell three room unavailable , rest room book . said & quot ; plumbing problem . & quot ; effort contact advance make , even though book 2 month advance . ask option , tell 3 room available BEST WESTERN MILE SOUTH hotel . haggling even offer comp first night . think somewhat luxury hotel luxury price , offer night Best western incredulous , mention put we mile south plan . want we check Best Western next day check back Whitehall , impossible schedule keep day . kind service expect establishment . complain offer put we Talbott Hotel block away . offer first place ? make first offer Best western feel like huge lowball offer . explanation hotel also own Best Western . guess management care cut cost customer service . two hour Friday night waste hotel make miss reception take place nearby . the good outcome whole ordeal TALBOTT Hotel . beautiful intimate boutique hotel , spacious room incredibly professional staff . visit Chicago want stay great location wonderful comfort , service , style , favor spare hassle , stay TALBOTT Hotel . 
 May 26 2009 	 great stay ! 	 first trip Chicago not quite sure stay . due review able get decent rate decide stay . arrive pleasantly surprised hotel . wonderful location , staff friendly accommodate check - in easy . hotel 1/2 block magnificent mile John Hancock building . hotel cozy inviting . love fact middle huge city hotel intimate feel like home . room nice spacious enough 2 people bed comfortable . great stay would recommend hotel anyone . 
 May 10 2009 	 great location 	 Chicago stop really pleasantly suprise lovely city short break . hotel location great , magnificent mile . clean decent sized room . Felt bit business like service personal ( e.g . never feel like drink bar ) great base explore city plenty bar , restaurant shop nearby . 
 Apr 28 2009 	 Great Value ! across 4 season 	 2 room great value ! family member stay four season spend $ 400.00 night room . room 1 king bed goofy size Bathroom view side building . room clean cozy ! room 2 upgrade $ 20.00 . 2 Queens full Bathroom veiw & quot ; Delaware Place & quot ; street Front Hotel . nice room lot room much well view first time visitor would recommend spend extra money upgrade ! room clean comfortable . draw back 1 small elavator long wait go . lot well do remodling . staff good ! door man way clean Staff would give A+ 
 Mar 18 2009 	 perfect Boutique hotel ! 	 wife stay one - night getaway , pleasantly surprised . lobby , elevator hall smallish , expect boutique hotel date 1930 's . nonetheless well - appoint . check - in smooth , valet fast . room SWEET . bit small , well appoint . bed perfect , bathroom spotless tastefully appoint , high - end guest toiletry . gripe would wall seem bit thin . , great stay , walk distance city 's good restaurant bar . 
 Mar 11 2009 	 Perfect room location . faultless . 	 ' ve return 5 night Chicago stay Whitehall . the hotel , perfect . great location Magnificent Mile . close shop restaurant nearby . loop walkable Lincoln Park hotel . hotel part chain group think make well . personal feel add experience . room great bed pillow comfortable experienced . staff helpful check , guy front desk ( Lemar think ) call see happy room . great staff , great hotel , reasonable price . , would not hesitate recommend hotel . ' m back Chicago know will stay . 10 10 . Richard , Dublin , Ireland 
 Feb 6 2009 	 Small Feel Big City 	 overall hotel nice . electronic decor could use update . 
 Jan 13 2009 	 Great Location standard amenity 	 wife stay first week November 2008 . everything go great reservation Agoda . upon arrival upgrade Pinacle Queen , Larry front desk helpful charm . room small side , comfortable good shape . bed really comfortable sheet excelent shape . hotel well locate one block Hancock Center Water Tower . complimentary internet access , though be ING Caffe locate three block hotel complimentary internet access . couple block hotel Rush Street restaurant bar . hotel great value money , specially last thing want Chicago Downtown room . definitely stay again . the side get back home check credit card balance , hotel charge 8 usd credit card leave . many call hotel nobody able explain reason charge . 
 Jan 6 2009 	 nice alternative big City Hotels 	 business trip Windy City help discover Whitehall , look small property . truly boutique feel cozy lobby european flair hallway room . elevator super fast . king bed comfortable bathroom upscale reasonable size . size room fairly small nothing ordinary city property . staff helpful deliver remote tv room call let know mine miss . internet access daily fee . what prevent property get five rating ? climate control . room cold first night warm air come radiator thermostat set heat . report next morning come back find room stifle warm air pour . even thermostat window keep crack open 30 - degree cold outside , room stay hot . either 64 degree 80 degree two choice room temperature , regardless thermostat setting . I ' m try focus , however , property true find quiet side street northern part downtown area , step away Magnificent Mile shopping . be look alternative big chain great location , strongly take look Whitehall . 
 Dec 27 2008 	 Great Service 	 nice stay Chicago landmark hotel car damage store valet parking . car seven month old damage . valet park car confirm damage car . security officer assign case professional courteous . request damage repair bid , reimburse damage short period time . not hotel beautiful , service concern damage vehicle exceptional . 
 Nov 24 2008 	 lovely stay 	 read review book pay room concern would like . come back trip tell love hotel ! first , hotel room quite big , comfortable king bed . stay Hilton two Towers bedroom half size Whitehall . bathroom real cute , although yes carefully close faucet would leak ( possible make stop leak ) . even though pay really low rate , get nice bedroom could see Hancock Tower . service fast ( forgot shaving cream get less 2 minute ) , room fully equip good hair dryer , good iron iron board , two nice robe . elevator ... wait ! almost joke , right check elevator 's door open . conference Avenue Hotel , wait 5 minute everytime want go . heating system bit loud . course location great , close Hancock Tower . Bloomingdale 's mall nice cute Christmas tree . McCormicks & amp ; Schmidt round corner cool bar ( happy hour 10.30 11.30pm ) , nice restaurant . 
 Nov 11 2008 	 Loved Whitehall Hotel 	 return wonderful trip Whitehall Hotel Chicago . skeptical stay hotel due negative review . pleasantly surprised . love hotel & amp ; stay . accomodation service outstanding ! ! ! Renata Alex lobby exceptional ! ! ! ! ! ! ! ! thank wonderful stay ! ! ! ! ! ! 
 Oct 28 2008 	 can not understand critic 	 hotel tremendous find . worried criticism Trip Advisor RIDICULOUS . superb hotel , scrupulously clean , comfortable well - equip room , central location , , welcome efficient . evening felt come home . nothing much trouble member staff . bar , even elderly widow , cozy , good place entertain . son - in - law daughter stay block away expensive hotel Chicago . feel envy . whitehall wonderful value . wonderful . C Roberts , England 
 Oct 27 2008 	 wonderful stay 	 recently spend one week Whitehall . fantastic ! comfortable hotel bed ever sleep . food Hotel 's restaurant well par . try corn beef hash breakfast - BEST EVER ! plan return - hopefully soon . 
 Oct 25 2008 	 good value fantastic location ... 	 stay Whitehall take Illinois Bar Exam late July , 2008 . overall , stay quite pleasant . check - in quick , friend upgrade . far service , always efficient friendly . alert desk safe work properly , courteous employee come instantly quickly reset safe . far room , find major problem . know may & quot ; rough edge & quot ; read previous review , disappointed hotel whatsoever . little bit seem water damage wallpaper corner , note one 1 & quot ; slit pillowcase . aside , everything clean fairly up - to - date . sure , elevator tiny one public restroom ground floor tight , know go . room quiet ( cool via a / c ) , bed / linen extremely comfortable -- need relax preparation exam . previous review seem little dramatic - read , prepare bad , generally pleased room . hey - pay ( pay $ 159 night ) , great deal . expect ? doubt find anything comparable ( wich fantastic location ) less ! 
 Oct 7 2008 	 horrible experience ! 	 book hotel special & quot ; Girls Weekend & quot ; birthday celebration entice advertisement : & quot ; newly renovate boutique hotel near downtown Chicago . & quot ; arrive hotel immediately follow issue : •their restaurant bar work electrical licensure issue•No room service available•one elevator working•The bellman would help we luggage•one room a / c entire staywe understand one day . however , occur entire , 3 night stay . three room book hotel 2 - 3 night . we bring issue hotel hotel manager would anything give we reduce rate . bring directly hotel manager none amenity offer and/or advertise available use . offer we one free ride hotel limousine within 2 mile radius hotel trouble well free beer / wine conference room free pastry breakfast . however , amenity already offer hotel , nothing extra ! $ 250 - 300 per night could stay across street Four Seasons Hotel amenity go hotel price per night . the Whitehall Hotel lose five guest good , one travel agent ! 
 Oct 7 2008 	 another stay fine 	 Popped back last Saturday another night stay visit Chicago dinner friend . slight delay check less 5 minute . got room fine . issue thermostat air conditioner need bit work sort out . bathroom clean decor ok . ' m enthuse view room tend treat room place get change sleep - nothing , know lift bed check thing . pay $ 180 night , companion quite like remember purpose build hotel construction aspect property good say 4 season ( find pretentious unfriendly ) Westin ( find soulless ) . choose prefer . like Palmer Silversmith far away 36 hour meet , shop get way . so happy . 
 Sep 26 2008 	 would never stay 	 hotel horrible . hall look like hotel 80 's ( old , stinky , trash emptied day ) , elevator narrow 4 people tight fit , furniture room rib tear - cushion come chair , wall crack wallpaper come , paint stain make less visible , air conditioner break . service receive nightmare . room service recptionist could understand & quot ; soda & quot ; asked & quot ; sodas ... & quot ; not spa ( even though say - get massage therapist 's Four Seasons across street ) . inform hotel manager issue comp'ed one night 's stay ( not think enough broken airconditioner wake sweat 3 morning row ) . addition shower head perfect size 4 foot ( short ) person . someoone average height could showered hotel tall - FORGET ! call owner leave multiple message never even RETURNED phone call ! hotel recommend . service lousy - owner not even care enough call apologize ! suggestion - stay Four season right across street . 
 Sep 25 2008 	 Joni 	 spend lot time on - line looking & quot ; right & quot ; hotel would want Whitehall want 30th anniversary . even well expect . ' ve book on - line deeply dissappointe . whitehall Pinnacle King wonderful . four poster bed enough pillow , comforter , wonderffully comfortable sheet , clean room , great balthroom . staff go way helpful intrusive . close everything would want : : Michigan Ave . , State Street , Rush . hotel wonderful character . thank help we wonderful anniversary weekend . will back definitely ! 
 Sep 22 2008 	 check 10 minute check ! 	 disaster start . reserve two adjoining room Whitehall , upon check - in tell 1 ) one room ready ( 4:30pm ! ) 2 ) actually not adjoining room . confusion among front desk staff difference room & quot ; next & quot ; room & quot ; near & quot ; . wait 20 minute get front check - in line , want get room relax dinner took give . next , room . would expect well motel . wallpaper peel wall ( see picture ) a / c unit literally fall wall . little debate phone call , gather thing check . say front desk manager handle situation well charge we penny . skip -- well hotel deal city . thing go whitehall location . 
 Aug 31 2008 	 Great Location Great Anniversary Trip 	 wife need hotel downtown stay celebrate 6 year anniversary . stay downtown wedding night , want stay downtown . week huge music festival price skyhigh . search find great price online Whitehall . know nothing , look tripadvisor ( always ) . many people good , bad thing say hotel ... experience good . first , great location . block away Hancock building , shopping , great food ... everything walk distance . second , hotel classically beautiful clean . finally , treat we well . problem air conditioner , fix quickly . find anniversary , upgrade we . thrilled whole experience would recomend highly . 
 Aug 24 2008 	 Superb location 	 ambience fine european hotel . enjoy stay much . 
 Aug 7 2008 	 Good Hotel Fantastic Location 	 good thing Whitehall Hotel 's location , really close Magnificent Mile . everything really easy get hotel . the Hotel clean , friendly comfortable . room spacious , bright airy . good view window get atmosphere chicago life . really pleased hotel would recommend . 
 Jul 29 2008 	 disaster .... potential 	 Whitehall Hotel July 22nd & amp ; 23rd extremely disappointed . similar trouble reviews closet not work wet floor air conditioning unit . however , big trouble start night 23rd . return dinner 11:30pm , key room would not work . go front desk get new key , still luck . go back send someone key , luck . I go lobby say go call maintenance . 1 am must fallen asleep lobby , around 2 am , tell room could put hour wait maintenance . go temporary room around 2:30am depart 8 am awake 6:30am see room available get thing . guess , still ready . 7:10am , receive call door open ( cut door apart get room ) . leave , ask speak manager stay tell available would call later day . leave without settle bill . receive call later day manager offer gift certificate future visit . much discussion , receive credit stay . day later call receipt fax find number room charge put never use . guess people get door open help bar room . I know long review want people aware old hotel maintain well issue arise not expect immediate help . 
 Jul 15 2008 	 's lot fix 	 even not terrible experience front desk inadequacy first room , would comment hotel deteriate since stay year ago . staff still extremely cordial ( except check experience ) , room terrible shape . slide closet door would absolutely move . one open access hanger could use safe behind closed part . magnifying mirror bathroom loose bracket could use hung low , mention light work . chair desk upholstery wear stuffing come . look like sidewalk garbage pickup . this sad look forward return wonderful stay last year . 
 Jul 14 2008 	 go downhill 	 discover Whitehall Hotel July 2007 lovely stay . go back July 2008 terrible experience . arrive bit early check - in Thursday 2 room ready . return 3 pm check - in time room still ready . wait another 30 minute give key . one room tiny across elevator room spacious hall away noise elevator . go front desk , explain difference 2 room ask put room comparable large quieter room . tell would & quot ; upgrade & quot ; would cost we $ 30 per night . since could not imagine could , book pay identical room time , tell case . ask speak manager tell manager meeting . 60 minute get settle ready evening reservation , request large room anyway ask manager call we meeting conclude . Went & quot ; upgrade & quot ; expensive room find following-1 ) fabric chair desk wear thread stuff showing . 2 ) attempt use iron touch clothe iron work . call front desk new iron . 30 minute later- still iron . 2nd call new iron delivered.3 ) Closet door break could slide one side , make access safe impossible.4 ) magnify mirror bathroom hang loose wall . the front desk mangager call room 1 hour later even explain everything going make adjustment . arrive back evening activity find message hotel manager tell we & quot ; courtesy & quot ; reduciung SURCHARGE $ 30 PER NIGHT & quot ; $ 15 & quot ; PER NIGHT . wow , generous ! ! whitehall Hotel old converted apartment house seem miss add nice little detail small boutique hotel offer . fresh flower display lobby refresh sat wilt . lobby hall air condition get uncomfortable hot , muggy day . the location hotel great management , staff nice . Chicago lack hotel , will not return Whitehall next year . 
 Jul 10 2008 	 Superior accomodation great price 	 Whitehall Hotel provide we large room king size bed . view overlook Water Tower Place Hancock Bldg . one block Magnificent Mile . room exceptionally clean well appoint . even appear mink fir piece cover low portion bed . bathroom do marble tile quite attractive . morning receive USA Today could get complimentary coffee tea lobby . staff overly helpful friendly . arrive 10 a.m. call see could check time . say ordinarily could computer temporarily not know room could give we . graciously take luggage store we explore city . take cell number say would call room ready . call delighted room . hotel somewhat old look outside modern inside . hallway , however , give ambivance something twilight zone hall light fixture etc . -- like experienced get elevator MGM 's Tower Terror . Spooky , clean , attractive otherwise modern . place Chicago recommend would stay . great value ! 
 Jun 24 2008 	 Hidden Jewel 	 bit nervous book Whitehall one & quot ; not know be stay pay & quot ; web site , thorougly enjoy stay . room upscale , clean comfortable ; hotel 's small size bother we location put we right middle close Chicago 's great shopping , restaurant theatre district . staff wonderful ! 's hide jewel block away Michigan Ave . plan return . 
 Jun 22 2008 	 nice quaint hotel 	 say think quality service make good experience . employee helpful make we feel like welecome guest . yes , room small use , clean tell pride take condition hotel . would stay . 
 Jun 4 2008 	 Nice 	 okay , be small . hallway narrow . room small . bathroom small . elevator small . location ? half - block Michigan Avenue John Hancock Center - -in word , exactly want . room nicely appoint , well - maintain , quiet . staff excellent . ask clothe press overnight , ready perfect breakfast -- bone . ground floor staff ready direction , recommendation , handy taxi decide cab instead take convenient bus El . the thing complain size space . 're & quot ; big & quot ; person -- either width height -- might seriously well somewhere else . otherwise ? ' m look another excuse go Chicago stay . 
 May 21 2008 	 so - so hotel 	 husband stay Whitehall Friday 5/16 Sunday 5/18 first anniversary . pick hotel base location . great location ! one block Hancock Observatory , Michigan Ave . ( Magnificent Mile ) ton great shop restaurant . also easy walking lake , Navy Pier , attraction . luckily , spend time sightseeing , hotel room great . definitely small old , 's really complain , not really mind since really sleep . also use fitness center ; nothing fancy 2 treadmill stairclimber weight . walk mile every day plan will not even really need use fitness center ! planning spend lot time hotel choose luxurious , new place . check - in slow , front desk people helpful , Renata concierge extremely helpful ! suggest great jazz place ( Underground Wonder Bar , block away ) get we same - day reservation fantastic steakhouse ( Erie Cafe . ) overall , great experience Chicago hotel mediocre . 
 Apr 22 2008 	 love 	 go 3 mom daughter mother / daughter weekend . great experience . arrive room , bottle wine , chocolate cover strawberry fruit note management thank we stay . pay $ 164.00 night also . stay 17th floor room nice view . bed comfortable bathroom nice update . whole room beautiful . staff helpful . going go play & quot ; Wicked & quot ; could get boarding pass next day concierge volunteer take information home print pass we . exactly say would . also helpful make dining reservation make suggestion . bar nice mom enjoy go glass wine long day sight seeing . maybe low room nice love everything place . stay . would gladly recommend place everyone . 
 Apr 4 2008 	 avoid mean 	 good thing hotel view nice hotel ( Four Seasons ) side street . the hotel itslef grim room : dark , dirty , noisy . room , one window bad condtion hand try open ! image isolate noice weather condition . airconditione roar like hell , choice fresh air headache , none . hotel never get business ? 
 Mar 31 2008 	 Great Location get great Deal Magnificent Mile Four Star 	 great great location across street Four Seasons ultra luxe 900 Michigan Avenue , block Water Tower Place rest great shopping North Michigan Ave . hotel traditional modest scale room . one large ( typical city hotel ) nicely do seem refurbish recently . lobby small often get back group checking . make get elevator difficult . overall level service ok , great . also several large tour group european doctor . I get fantastic deal Hotwire would recommend hotel price pay ( $ 180 ) would pay $ 250 well option price . 
 Mar 22 2008 	 great location helpful staff . 	 get upgrade get room awesome , even though terrible view . bed comfortable staff friendly helpful . location close Michigan Ave . everything else want near . get room pretty cheap impressed . 
 Mar 20 2008 	 fabulous hotel ghostly 1920s aura 	 love place . 1920s almost spooky . fabulous character , wonderful staff top nosh inexpensive food would pay fortune home . right next Michigan Ave tourist sight easy reach . would stay . 
 Feb 29 2008 	 great little find 	 stay hotel 3 night September 07 husband , quick city break friend join we Cincinnati . book hotel Hotels R Us get great deal short stay there . the hotel locate quiet side street central location beach shop Mag Mile . staff extremely friendly great stay . the room although compact everything need nicely decorate . bed really comfy nice bed linen . like touch free tea coffee available morning lobby , could fill much want . friend come visit one morning , stay Marriott Downtown pay double amount pay every impressed hotel value money . ask reception could join we coffee say help . charge really nice touch.| really enjoy stay would recommend hotel enjoy small stylish hotel helpful staff , without pay top dollar stay Chicago . 
 Jan 12 2008 	 little tired 	 whitehall great location venerable old hotel . lobby nice , staff service great . unfortunately room little tired . ' ve stay several time ( book work ) different room time . wallpaper fade peel place . two enamel bathroom suite stain another two aircon / heating unit break . however , say staff great happy help request . location good - 2 minute Michigan short walk Lincoln Park . 
