good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 Nov 18 2009 	 great location Good hotel ok room 	 really enjoy stay , location hotel convenient shopping 34th street pretty good . lobby , elevator staff fantastic . night manager actually come room midnight help support computer issue wireless internet . room small clean , bathroom plumbing need update . woken one morning 6 guy room next we shower pipe really loud . overall great time would stay . 
 Nov 18 2009 	 Great Hotel great location great price 	 stay 4 night August wife two kid mother . two room , one huge bit small still space two double bed , wardrobe , bathroom great view Empire State ! ! issue size dirt , fact room spotless well serviced day friendly staff . case time spend room literally sleep sightseeing time ! location perfect , 10 min walk Times square Empire State , diagonally opposite madison square gardens Penn Station , perfect we travel train Boston . go Tick Tock diner every morning breakfast great , must put stone pancake ! ! diner get pack seat quickly still wait worth . overall perfect choice us price right well . go back ! ! 
 Nov 17 2009 	 bad hotel ever stay 	 stay hotel . absolutely filthy . travel least month stay variety hotel far bad hotel ever stay . non - smokers room smell cigarette smoke entire hotel . hall filthy , lobby constantly smell like nail polish service terrible . put tiny room smoke start come ask switch . unpolite staff switch we room two tiny bed , big enough sleep one person couple force sleep separate bed . ask large bed say . immediately check switch hotel remainder stay . reason hotel cheap obviously take care clean hotel . 
 Nov 17 2009 	 New Yorker Hotel 	 cool central location explore city , clean , well equip room , wlan , hotel history , friendly people , fast check 
 Nov 17 2009 	 Great Value Location 	 quick show / shopping trip sister mom . reserve two room . make sure ask suite city view . be much large . bed awesome . bed comfy , sheet luxury pillow incredible . hotel staff , friendly accomodating . lobby bustling activity day night . eat diner , Tick Tock hotel restaurant . great value delicious food . Steps Penn . sta subway . 
 Nov 17 2009 	 recommend New Yorker ! 	 get back couple night Manhattan stay New Yorker , primarliy save money . pleased kind surprised quality hotel . yes , room small , european big bathroom big walk - in closet , not huge people walk around room fine . quiet , clean , well decorate ( LOVE art deco ) , lobby good security , Tip Top Diner great ton healthy food choice Cooper Tavern great little bar decent happy hour . bed room cushy , top notch mattress mean alot we . yes , plastic cup bathroom neighborhood not Park Ave money , would stay heartbeat . ' ve travel USA Europe feel comfortable make recommendation . 
 Nov 17 2009 	 clean modern 	 spend 4 night New Yorker basic double room , south face , 26 floor . quiet 26th floor , can not speak low location . room clean modern small hd television . not expect suite - sized New York all . staff friendly helpful , esp . get we airport car late notice . Tick Tock Diner over - price , over - busy fun time hand . plenty nearby breakfast option subway within spit distance lobby . the garment district happen hour New Yorker 's location shop Madison Square Garden main reason we book . 
 Nov 16 2009 	 good rounder ......... 	 leave Las Vegas temperature 102 could not believe 36 New York especially research seem point fact October one good month visit New York ......... however help pain weather fab hotel . central heating / air con work treat room 32nd floor fab view Chrysler Empire state warm toast minute . our room immaculate lovely crisp white sheet comfy bed . large tv morning news report ample lighting . bathroom space leave lot desire . two girl holiday need lot room lotion potion . sadly lack pleased need bathroom 4 day . immaculate lot hot water fluffy towel would love spread potion . Wardrobe likewise rather small side . location fab everything want doorstep short walk away . staff extremley accomodate help we rain time bag . safe free charge locate lobby . would rather mine room hey girl can not everything . prepare take lot money New York everything cost ...... lot . average meal italian restaurant 49th street ( think ) $ 200 four . one starter four , 4 main meal , two desert two bottle wine . Ouch ouch ouch ....... wonder Macdonalds starbuck popular . ( prefer proper food though ) would not hesitate return gem hotel return summer month weather hopefully whole lot well . 
 Nov 15 2009 	 great trip 	 come back stay New Yorker four night . upgrade city view room around £ 100 total , money well spend . have lovely art deco style kingsize bedroom fabulous view city ( Empire State Building Madison Square Garden clear view main window ) hudson river , could even see Statue Liberty distance . whilst room not huge , big enough . tick tock diner superb , definitely go breakfast - try Eggs Benedict , yummy ! receive good service , room clean , hotel staff guest always greet we well . bed extremely comfortable , pillow well ' ve sleep on . give hotel location experience , miss watch Knicks game Madison Square Garden either . 
 Nov 14 2009 	 price 's bind well . 	 5 - night stay New Yorker Hotel . hotel good plus point , great central location , clean room good amenity . minus point room small , decor building room old , give impression dirty , even though hotel room well clean daily . reception staff unhelpful , border rude . leave impression spend money hotel charge , bind get well experience elswhere city . 
 Nov 13 2009 	 start spread news ............... 	 stay 3 night , handy go anywhere NYC . room clean comfortable & amp ; tidy . staff friendly enough . location right across street Penn Station & amp ; Madison Sq . Garden . subway next hotel . eat problem , load place choose . would certainly come back stay next time come city . 
 Nov 12 2009 	 Perfect base ... room may small clean comfortable perfectly form . Tick Tock Diner must ... 	 great hotel discover NYC . room state review small side hey .... long room NYC ? room stay 37th floor .. amazing view . room recently refurbish sympathetically Art Deco style . clean ... bed comfortable . small suggestion ... probably typical English .. tea make facility room . however starbuck right across objection bringing . staff pleasant consider vastness hotel could not fault service . Transfer Newark arrange we concierge . Tick Tock Diner amazing ..... must taste experience ... busy excellent . ( People line street within hotel ) . little wait however ... well oiled team provide excellent service . extensive menu , free refil coffee ... order small coffee ! ! ! YUM ! also eat hotel resturant .... little expensive side food good .... 
 Nov 11 2009 	 mixed bag 	 beautiful hotel convenient location , excellent diner restaurant ground floor . bed firm , water hot , cleaner efficient . that say - room truly tiny ; staff variable odd cheap gesture would not expect hotel apparently quality - charge leave luggage till flight , lack bar room service , annoying daily cutoff free internet service . bathroom , put politely , elderly . I tell could not change room , room type floor depend price - yet travel companion place ten floor apart charge . also , man check we could not seem get head round fact two man share one room , solo female charge company card - saga next day people lock room not apply credit card room despite clear instruction . so , yes , be bargain - reason , guess . 
 Nov 11 2009 	 Good Stay 	 hotel good small room , everything need . aware check ask credit card cash deposit . leave 300 dollar deposit . safe free charge locate reception . fault stay concierege bit rude ask question direct reception , eye contact offer help . work Hotel question ask could dealt friendly manner . fault staff really friendly . use tick tock diner breakfast , food good , however get bill staff write suggest tip , one day do not leave suggest tip waiter came ask ! ! ! ! suggestion ? ? ? ? ? ? ? good location thing would stay . 
 Nov 11 2009 	 New Yorker Great Location Great Hotel 	 return yesterday New York stay New Yorker . hotel great location far Times Square walk serveral time lot see way . one block away Macy 's 7th Ave , directly opposite Maddison Sq Gardens arena close Empire State Building . blue red Subway nearby . hotel lovely Art Deco clean bed comfy . huge hotel busy people comme go time however room suprisingly quiet ! tick Tock diner attatche hotel great breakfast fantastic . always look busy however never wait long table . Coopers Tarvern also attach hotel really nice quiet night cap . overall hotel good value money esp book UK rate hotel $ 299 per night . just tip go Macy 's show passport vistor center get 10 % discount pay tax 
 Nov 10 2009 	 great location small comfertable room 	 stay New Yorker start east - coast trip Miami . second stay hotel location can not beat . locate W 34th st 8 ave . across street Madison square garden . lie next Penn station , make accessible major airport perfect visit major site . Time square lie walk distance ( 10 - 15 minute ) . although room small consensus average NY hotel . good price - quality relationship clean room mediocre bathroom . 
 Nov 10 2009 	 would stay 	 stay one night hotel , fine . stay close Penn Station Javits Center.-About 1.5 block Penn Station - about 3 block ( long block , ave . ave . ) Javits - check 11 , problem - need show key enter elevator area - hotel definitely old feel . floor convoluted hallway , straightforward modern hotel . -soda machine certain floor - I would say room definitely small side , least compare Marriott Marquis . everything function clean . -Ate Coopers Tick Tock diner ( access lobby ) . Coopers fine meal , would go back . burger fry diner , probably bad ' ve : fry dry , burger dry way overcooked . -Did tourist stuff , hotel close Macy 's Empire State Building - do much contact staff check in / out , show key enter elevator area , ask direction . brief fine . 
 Nov 9 2009 	 wonderful Art Deco Hotel 	 Stayed & quot ; New Yorker & quot ; 27th Oct -1st Nov 09 find exactly describe . build furnishing classic 1930 Art Deco keep scratch referbishment sometime . reception staff swift efficient ( even though knowledge booking ) take 5 min sort check 3 hour early plan . the room 2 queen norm Plasma Tv bath & amp ; shower . 28 floor overlook MSG.We not bother Tick Tock diner breakfast . instead utilise small kiosk lobby sell croisant , coffee OJ fruit etc take breakfast wife bed every morning imagine get several brownie point . the room clean every day would hesitation recomende hotel friend book stay again . also centrally locate walk hope subway . there good bar oposite leave front door call Houndstooth good italian & quot ; Marios & quot ; round corner 9th+37th 
 Nov 6 2009 	 good comfortable tourist hotel 	 partner use wheelchair sometimes difficult get accessible room - hotel helpful arrival aspect room excellent . hotel large anonymous friendliest staff security staff . centrally locate , although area high quality food . would recommend get copy Michelin guide NYC ( not contain star restaurant contain instance Katz 's deli ) find good restautant 20 - 30 minute walk away . limousine arrange meet we fromJFK ( via hotel- $ 70 ) turn SUV inaccessible partner ( despite pre arrange spoken manager need ) . careful arrange transport hotel . finally - free wifi limit connectivity time use internet business centre dollar minute ! 
 Nov 3 2009 	 good central comfortable 	 stay New Yorker week end October 2009 . 27th floor impress modern decor efficient elevator , plentiful fast . lobby marvel ( maybe ' m easily pleased ) location perhaps good thing place . minus would firstly staff reception . not much interaction , check - in check - out really , occasion , could ' ve well . check - in involved queue vague line , wait catch staff member 's attention rather call . instead welcome , member staff seem concerned outline do don't hotel , essentially read rulebook we . our room quite small , within NYC norm account . furnishing fixture impressive , bed tv . shower , however , require extensive adjustment get temperature resemble bearable . wife simply give , veer freeze cold boiling hot tiny movement tap . we not eat hotel per se try hotel 's Tick Tock Diner . finish seem authentic ( be big diner fan ) , staff abrupt little world - weary food vary ok ( Denver Omelette ) good ( pancake ) downright awful ( iced water , admittedly really hotel 's fault ! ) . also try Skylight Diner nearby neither come close Comfort Diner East 45th St , well worth walk . funnily enough , security staff friendliest employee hotel . get pointer good place eat one lady security desk check room key elevator always smile . hotel arrange seat us bus Newark Airport ( € 27 ) fumble little execution , seemingly send one bus Newark one couple leave rest we behind - apparently reach NJ side Lincoln Tunnel turn back . nearly send wrong bus ( JFK ) . really get impression staff little lazy aspect job . overall , however , would love return New Yorker . comfortable 7 night , clean staff day want left room immaculate , show pride work clearly lack amongst ( possibly well - pay ) member staff , location , ' ve say , perfect facility seem pretty good . one final note - see back door room rate € 299 € 499 per night speak briefly another guest elevator pay much . pay much less , would certainly consider hotel worth rate hope guest pay significantly less reality . great 
 Nov 3 2009 	 great hotel ! 	 New Yorker Hotel awesome place stay within heart Manhattan- couple block away Empire State Buildung . room modern comfortable . also recommend hotel business meeting seminar . 
 Nov 1 2009 	 love hotel - perfect location 	 Perfect train , subway , shop ( Macys ) & amp ; Tick Tock Diner FAB . room great - slept anyway ! 
 Nov 1 2009 	 good centre stay 	 stay week 23rd oct 30oct 09 . room good 36th floor , request high floor want little quite . queen bed average room size new york , mean compact ! clean regularly fine . busy hotel corner 34th street 8th avenue , ideally locate madison square geaden , literally next block . port authority terminal 8 block straight hotel show . get great deal value price plan advance . not plan eat every night lot good restaurant near . 
 Oct 31 2009 	 Fantastic Location Explore New York 	 return 6 night break New York , stay New Yorker 34th Street . excellent location within 1 block Maceys street Empire State Building . next Penn Station give easy access subway . family room 2 double bed 32nd floor ample space plenty room storage . bathroom small size shower release trickle water . busy hotel friendly helpful staff . safe available room , however free use safe deposit box , dual control key within safe room behind reception desk . free use wifi pod touch room free use computer business room flight information online check . take 1 hour transfer taxi JFK 2.30pm , however , book hotel car return jouney JFK 3.30 arrive airport 5.45pm . take 2 half hour busy traffic NYC traffic police close random street attempt keep traffic move , however make difficult leave Manhatten . advise would leave ample time return airport transfer . use Hotel future trip . 
 Oct 31 2009 	 good location disappointing 	 stay New Yorker 4 night October 2009 . good location near Macys , Empire State , Madison Square . huge hotel ..... lobby big , busy impersonal . arrive late night quick check . reception staff efficient though particularly friendly . room disappointing , clean small . renovate previous reviewer said & quot ; wow factor & quot ; Bathroom do not appear renovate ( nothing wrong exactly v modern ) . expect New Yorker price . 
 Oct 29 2009 	 4 senior dublin ireland 	 stay new yorker 6 night find hotel good value money . staff great round room small clean . location good . tick tock resturant lobby serve good quality food reasonable . downside bar next lobby good waiting staff expect large normal tip beware . afew drink friend wait staff female . wanted18 $ tip irish man give 3 $ tip sling back say fine that s 3 $ lose . beware waiting staff cooper bar . 
 Oct 27 2009 	 impressed ! 	 first trip New York . hotel perfect location convention . staff courteous take care every need . stay ! 
 Oct 27 2009 	 Fantastic Hotel 	 Great Hotel great location explore city . disembark Aircraft 1.30 pm , arrive hotel 2.30pm ( use NJ Transit Newark ) less hour ! reception staff friendly efficient , room yet ready preliminary , receptionist tell we come back 3.00 key jump queue go straight collect key . information desk print boarding card return friendly Guy desk . we beer Coopers Tavern , hotel bar whilst wait unlike previous reviewer ( perhaps overcharge ? ) find beer charge $ 4.50 cheap particularly compare central London even local pub . drink couple time either go evening return , pleasant place nice friendly atmosphereroom good size city hotel , nicely furnish ' period ' Art Deco style fitting clean fresh , daily maid service good job . fact entire hotel keep clean tidy . the lobby quite impressive especially like Art Deco period ( great fan ) refurbishment complete bring Hotel back former glory impressive . this great position hotel explore city , subway station immediately outside , Penn Station road . empire State building less 10 min way ( pass Macy 's get ) . walk Times square 10 min . there really decent restaurant immediate vicinity unless like chain ( TGI Friday opposite ) Taxi cheap get reasonably Subway $ 2 ride not need eat near not want walk close enough thing . there couple good deli 's 38th use Breakfast although use Tick Tock Diner , hotel sell coffee pastry lobbyso summarise , great location , great value , great hotel . 
 Oct 25 2009 	 great value location ! 	 arrive back New Yorker today . sooo many hotel choose NYC , read review would take forever . ask friend go ny fairly often recommend stay , ask & quot ; want reasonable , clean hotel good location ? & quot ; recommend NY'er . right . book trip travelocity problem . travel mom , travelocity , room choice available time book queen bed , could deal , arrive ask want two double bed give we additional charge , although call previous day ask ti say would cost extra $ 50 per night , get nothing . hotel renovate recently . think room fine size ny , little tight , super small . fine two we . room look newly paint , bed comfy , lot pillow , clean . bathroom could use little updating , clean everything work fine . great view room . ok we , not much enjoy anyway . try Coopers Tavern , get dessert 24 hour Tick Tock Diner lobby . reasonable great late night sweet tooth ! starbuck across street be die hard . also coffee lobby ( buy , complimentary ) . coffee maker room . within walking distance Times Square ( 8 block ) , Macy 's , Empire State Buiding . free safe deposit box valuable lobby . go back NY , would definitely stay . 
 Oct 25 2009 	 ok hotel 	 Location wise hotel can not really fault , 5 min Time Square . negative however local neighborhood pricey eat etc compare area nice central . hotel ok - huge hotel especially personal friendly , downright rude either . room small clean , big enough want not & quot ; wow & quot ; factor . tastefully decorate quiet . bar expensive ( reflect price locally ) charge $ 18 glass wine bottle beer happy hour , beware . Tick Tock diner nice large portion also expensive $ 15 breakfast - would recommend walk 5 min away Time square eat similar food half price . we fantastic time NY next time would pay slightly stay somewhere upmarket pay somewhere personal little centre . 
 Oct 24 2009 	 real feel Classic New York 	 stay hotel 3 night September first ever visit New York City . trip keen time , high expectation visit , stay really add experience . due decor building , obvious influence Art Deco era hotel initially build . bedroom appear fresh , nice feature act reminder hotel 's history . although pay Metro Room , upgrade upon arrival City View room 27th floor , greatly appreciate give we fabulous view Empire State window , also Chrysler . one thing particularly good room quite quiet consider middle Manhattan , give busy city , nice able retreat back peaceful room end day ( though could still hear siren etc sometimes ) . location also good , Empire State , Macy 's Times Square within easy reach foot . we find staff friendly polite , would also recommend Tick - Tock diner situate Ground Floor hotel . I would definitely stay return New York City . 
 Oct 24 2009 	 would RECOMMEND NEW YORKER 	 return second trip New York nine month would highly recommend New Yorker . we love everything hotel , minute walk Reception area . the Art Decor style really nice , chandelier Reception , lift , corridor room . our room 33rd Floor fantastic view city , wonderful see everything light dark . the room refurbish , quite small enough room we . bathroom clean decent size . could hear neighbouring room toilet flush shower mention . air con / central heating useful mixed bag weather . the location also score top mark we , Macys end street Empire State Building next block . Times Square minute walk away Maddison Square Garden directly opposite . the hotel 24 hour diner - Tick Tock also nice , well popular , often queue breakfast time ! staff helpful , good idea show room card could enter lift always lot people mill about . we able store luggage bell boy last day , however pay $ 3 two suitcase backpack . one word warn , arrive JFK approach man ask want taxi , ask cost , say table car show - seem genuine enough . proceed take we past row yellow cab nearby multi storey , realise , licensed , genuine taxi driver . he get print brouchure car show we midtown hotel would $ 90 plus toll tip . excuse get away . join yellow cab queue group unlicense man approach people . genuine yellow cab set fee £ 45 plus toll tip . put aside , New Yorker excellent base look next trip New York . 
 Oct 23 2009 	 Fantastic Hotel ! 	 say fantastic hotel . great location explore city , within five minute walking distance empire state building , time square across road madison square gardens , ideal see concert sporting event . the staff really friendly feel even safe hotel representative lift make sure guest enter room floor . the room ideal size base . bathroom bath shower . flat screen tv one comfortable hotel bed sleep long time . hotel keep 's art deco feel , feel like step back time without lose modern comfort . we would definitely stay . 
 oct 22 2009 	 good value - ideal location ! ! ! 	 Fab hotel pay , old well keep recently renovate , would stay within reasonble walking distance everywhere ( like walk ) . 
 Oct 21 2009 	 Discusting Hotel Room 	 probably dirty hotel room ever stay entire life . path dirt door bathroom . looked not vacume month . could bring take show massive clump long black hair bathtub . come time bed sleep clothe , one top blanket , top rest clothe suitcase . take picture hair clump . 
 Oct 20 2009 	 much improve last 2 year ! extremely comfortable stay ! 	 ' ve stay last 3 trip NYC , occasion total 4 night 3 separate mini - visit City ( 6th , 14th/15th 18th October ) 3 different room - excellent . last night room 3520 - excellent view Empire State Chrysler building ( lie bed - cool ? ) , small 3 room . large room ( 2 queen bed ) 2938 , similar view window side . first night ( flight London ) 22nd floor , ' standard ' view NY rooftop water tank . 3 room perfectly clean , excellent bed , abundance good lighting ( definitely well anywhere else ' ve stay New York London ) , free wifi , flatscreen tv , pleasant toiletry ... unlike previous visit , experience time hotel 's freshly decorate extremely well maintain . ' negative ' ( unexpected ) sound plumb adjacent room , mention another recent reviewer . staff friendly helpful , be worth note checkout leave bag ( $ 1 per bag day ; $ 2 per bag per overnight will return hotel couple day ) - useful long bag check faciltie / locker Penn Station . 
 Oct 18 2009 	 good value - small room vith fantastic view 	 stay four night NYH pay extra city view . first offer excellent view Hudson River New Jersey . receptiondesk help find room view city . problem , view . wake every morning Empire State Building almost full size . room small , clean , bathtub new flatscreen . tic toc diner street level also good place breakfast . , love stay , since many sight NYC easy reach . 
 Oct 18 2009 	 almost ... 	 husband stay New Yorker week , one night . first visit NY , last night week New England . hotel beautiful , room lovely , upgrade city view room extra payment make booking , overlook Madison Square Garden , Empire State Chrysler Building . design room bathroom beautiful art deco , perfectly clean . arrive check early tell return 1 pm . 1 pm room still not ready end wait lobby half hour . slightly annoying happy leave luggage , go back check tell room would ready , otherwise have waste time wait . New York amazing , long afternoon sight seeing go bed midnight , terrible night 's sleep , partly go long , partly noise corridor sound happen room , noisy . also bathroom use next door , water pipe sound loud room . appreciate hotel old ( 1929 ) expect quieter experience . hotel lovely , perhaps unlucky inconsiderate floor mate think room sound proof , next time go ny either stay somewhere modern , hope well sound proof , outside Manhattan . public transport easy use travel Brooklyn example would issue . would automatically stay , would not avoid . would recommend hotel friend lovely , warn room may noisy like . tired follow day next full night 's sleep 48 hour away due travel home , not ideal . 
 Oct 18 2009 	 Good Standard ideally situate hotel 	 back five night stay friend . hotel staff friendly , room bathroom clean tick tock diner handy breakfast . because hotel 's location many sight want see , able walk rather rely subway get around . 2minutes macys , 10 minute empire state building , 15 time square 20 minute rockafeller centre abercrombie & amp ; fitch . use subway go ground zero catch ferry liberty & amp ; ell island . would recommend take one bus trip available first day familiarise Manhattan - well worth money . 
 Oct 17 2009 	 Love hotel 	 stay 3 time - every single time ' ve ever nyc.b location near sub , Times Square , Empire State , Macys - name .. friendly staff - always helpful , eg need cap minibus airport - arrive midnight miss plane REALLY need place toothbrush ... free wifi room .. clean , nice room difference size different view city . try TickTock - diner - sometimes bit crowded , always good food FRIENDLY service .. 
 Oct 16 2009 	 lovely hotel great location renovate room perfect ! 	 stay mother girl shopping trip 4 night . hotel great need . upgrade renovate room spacious lovely flat screen tv fine view river , although think hindsight , city view would impressive . batheroom clean big enough . hotel right near Macy 's , tube station right outside good old fashioned american style cafe serve excellent choc chip pancake downstairs . would def recommend go get opportunity ! 
 Oct 16 2009 	 would definitely stay 	 4th visit NYC ; stay Red Roof Inn ( RRI ) 2 previous time rate significantly increase . Booked New Yorker cheap rate RRI ( Travelocity special ) , area Manhattan far nice amenity . completely renovate refurbish Art Deco hotel history . room good size New York . bathroom clean fair sized ( however , little room place toiletry ) . bed comfortable ( not experience hotel long time ) though noise outside night ( frequent police siren ) . free internet surprisingly fast . near subway line walk distance Macy 's ( across street ) , Times Square , Theater District , etc . can not go wrong , whether be business leisure . 
 Oct 15 2009 	 Good Hotel ! ! central ! 	 middle New York .. something like .... reach Macey 's , Timesquare , Empire State Building easily foot , ther subway .... room bathroom small clean , bed comfortable . lcd tv free internet access . also gym available . 
 Oct 13 2009 	 great hotel - great location . 	 recently stay three night . great location , though little tough get drive Lincoln Tunnel not know parking hotel 8th . size hotel room big , New York standard . parking $ 35 per day good - although not pay park New York City anywhere else . 
 Oct 13 2009 	 Great Location ! ! 	 daughter stay Hotel love . rate reasonable location great . walk everywhere subway station close .. room not big , clean quiet .. not come New York stay room anyhow . 
