budget 	 hotel locate center London . allow easy access main objective , via bus via underground . we arrive late first impression lobby & quot ; frill & quot ; .Room clean keep like whole 5 day stay : 5 + star maintenance staff . furniture simple practical fit well neo style . comfortable bed , moderate size room 2 ppl maximum ( consider european standard , though american might find small , nonetheless tiny ) ; small bathroom , claustrophobic : ) . one many thing London will not spend day hotel room , feel really minor thing . great staff reception also restaurant / breakfast room . also maintenance stuff friendly great job . very good breakfast price ( enough option like : english breakfast , fruit , french croissant , cereal , several variety tea & amp ; coffee , etc ) . vegetable could add really make difference . stay 5 day enough morning option feel bored : ) really recommend hotel , first choice visit London . big price difference online lobby quote : book online , might able stay 50 % day . 
 Aug 22 2009 	 Handy Location 	 London day , not need close everything . tube station across road 's short trip middle town . main reason choose hotel Jack Ripper Tour run nearby , related site within short walk hotel . the buffet breakfast good ( extra cost good value ) get early make sure get seat not queue long . room small comfortable , pretty standard Ibis London . nearby & quot ; market & quot ; get good review Lonely Planet worth waste time - go see something definitely want see , rather hope find something value . 
 Aug 17 2009 	 well look 	 stay Saturday night whilst visit O2 dome friend Camden . handily locate 10 minute aldgate station . room £ 75 include breakfast much cheap hotel . major work go Aldgate East tube station mean lot scaffold outside past hotel OK , standard Ibis fare . room reasonably roomy bathroom slightly strange & quot ; pod & quot ; OK . not put immediate locale not invite . hotel 5 - 10 minute walk Spitalfields Market really nice . 
 Aug 10 2009 	 great hotel - Value money 	 stay IBIS London City four night July . overall impression good value money . room clean functional need - sleep relax foot hour ( hour ) shopping . service good . one lamp room not work , fix immediately tell receptionist . hotel guarantee fix problem room within 15 minute , ( case ) , one occasion bit trouble communicate receptionist , try make reconfirm reservation restaurant . none us native English speaker , end call cellphone . location okay price . Aldgate East station meter hotel entrance , 20 minute subway get anywhere central London . breakfast good , eat dinner hotel restaurant . food tasty , glass cutlery clean . great hotel . 
 Aug 5 2009 	 typically good IBIS 	 great location , right next Aldgate East tube ( 5 min walk Aldgate ) . much see area 10 min tube away City West end . room typically clean , fairly basic , IBIS standard - perfectly adequate . the staff helpful , bar good atmosphere ; price reasonable ! good place stay weekend town . only thing ' ve notice IBIS not provide hair dryer always strike odd . not bother wife always comment . 
 Jul 30 2009 	 Excellent Value London 	 typical standard Ibis - could anywhere world , offer excellent value comfortable room great location . could not handy Aldgate East tube station , pleasant 20min walk past Gherkin City St. Paul 's . excellent option budget . real downside , like lot modern Ibis hotel , one Pod type bathroom room - good sharing room ! 
 Jul 19 2009 	 Perfect location away crowd . 	 back fifth stay super hotel . many year ago , location would frown upon - outside City London far east - area thrive much offer tourist . want curry Brick Lane go Jack Ripper guided walk , hotel ideally suit . indeed , due location close tube bus route . part London 30 minute away . room clean functional ' ve never bother noise . breakfast great value . say , price creep since first stay two Summers ago weekend pay £ 35 night two year ago . add another tenner internet access hotel , sadly , start lose reputation value money . 
 Jun 8 2009 	 pretty good 	 stay 4 night Ibis London City like lot ! basic clean comfortable . very good location . around corner find Aldgate East tube station . I think breakfast good plenty choice not eat much ... drink bar late night waiter nice friendly . 's good know always something eat drink late night . the bathrom almost spotlessly clean . couple hair shower . overall , think perfect hotel budget . 
 may 29 2009 	 Value money - come ! 	 stay : 17 - 20 May 2009room : 544total amount : $ 220.5 GBP ( include breakfast extra : 5.5 /per person ) 1 ) arrive hotel 09:30 bit early usual check - in time ( 12:00 ) . leave luggage hotel without cost . proceed fast helpful . go eat breakfast nearby restaurant , cost 6.5GBP / per person , drink include . beacon salty.2 ) return hotel 12:00 , check - in ok . firstly , borrow hair - dryer reception , ok.3 ) read lot comment hotel . check bug bed . , find one . room clean everything ok.4 ) Breakfast 5.5gbp eat absolutely value money . eat breakfast hotel everyday.5 ) People nice helpful.6 ) someone complain siren sound . yup , definitely hear 's large think . walk around london whole day long , drag tired body back hotel , promise would bother much.7 ) Bathroom , shower 2 person time . be ok ! weakness:1 ) toilet paper clean . read someone comment . already bring . never use hotel toilet paper.2 ) receptionist need train direction . point wrong tube station famous location london eye . man , be possible.3 ) breakfast 2 kind meat . transportation : next Aldgate East station 5 min walk Aldgate station 10 min walk livepool station . overall : stay ibis London city , Bristol hotel Frankfurt , best western Paris write comment . do ask Ibis london city value money compare europe hotel stay trip . I swear Ibis london city absolutely value money . 
 may 10 2009 	 pleased ! 	 stay 3 night Ibis , London City Hotel . fact , celebrate 60th birthday London . location perfect , far London Liverpool Spitalfieds . bus round corner . welcome staff helpful visit . room nice - colours change . bathroom practical . breakfast plentiful way far & quot ; continental & quot ; . nice bar well restaurant could relax night . go London least year Ibis City choice . budget hotel way behind ! also contact matter , visit , manager address kind way . wish thank Ibis London ! Hans Sweden . 
 Apr 29 2009 	 nice room helpful staff nothing extraodinary 	 stay hotel 9 night . due nature trip literally not spend time room , sleep really not use facility . room pretty basic nice well - keep adequate size , room service every day include weekend . no - frill hotel though , hairdryer room example need borrow one reception , also need pay tv internet room rate time £ 9.99 24h may consider expensive . also not toiletry provide , soap flake basic shampoo would not recommend , well bring . room quiet bit cold though would not recommend place go winter . also location bit downside even though say City , hotel actually locate right next Tower Hamlets . hand conveniently locate right next Aldgate East Station plus . staff also helpful not problem . would recommend hotel manage book fair price . 
 Apr 11 2009 	 good stay 	 business trip London January , stay hotel . since hotel close office , suit fine . also , couple tube station adjacent hotel , make easy travel part London . Tesco Cost Cutter shop near , nice pub restros well . hotel french restro - bar . the room baic , clean . bathroom good spacious . tv basic channel unless get multimedia package ( fee ) . room iron ( iron board ) , coffee maker , hair dryer . thing miss Internet . need pay want use internet room ( DSL wifi ) . do not laptop ... hotel couple internet desktop near reception area . the staff usually french .... nice helpful . overall hotel value money would recommend look good place stay affordable rate . 
 Mar 27 2009 	 Bed Bugs – disgusting experience Ibis 	 stay Ibis hotel 2nd Feb , stay without incident experience night mean ' never set foot Ibis hotel ever again . after tire day training course get room crash bed 9.30pm wake feel something crawl hair . brush hand small insect fall onto bed . crush lot blood come ( ' know time blood ) . feel something else crawl hair shake head several insect fall bed . jump disbelief lift pillow see creature scurry cover . rang reception tell want different room kind infestation room . tell ' give another room fully book . pretty insistent point say ' call back . fifteen minute late reception call say someone would another room key . security man turn door , hand another room key demand key room . tell ' pack , say drop reception go leave . pretty amazed Manager ' come . say security man , ' even want see , reluctantly come room quite horrified bug crawl around bed . gather belonging pretty much still phase experience get lift new room . couple woman lift , , look toward floor think notice something crawl scarf . look closely bug . crush , ' know woman notice want ground open swallow feel dirty grimy . when get new room take clothe shake shower , shower – several time . then go reception ask speak manager , speak duty manager instead . now really get ' disturb . ' act way like out - of - the - ordinary event . say sorry say ' pay room far shocked experience act like everyday matter . ask speak manager say ' come back morning . I ' sleep much night , could still feel thing crawl I . I go reception morning ask speak manger amazingly attitude . apologetic , surprised experience . offer free weekend hotel wife ! ! ! ! really ! would take someone care back ! ? ' begin tell grimy disgusting experience make feel . unable write even make skin crawl . day whenever feel slight itch look still feel thing crawl I . I would save grim experience . 
 Mar 17 2009 	 good value money 	 recently stay Ibis London City attend Event London . travel want make sure feel safe , do . I book lastminute.com £ 75 . check - in not 3 pm , however , arrive early sight seeing . intend go hotel see secure room luggage stay tour around London ( not want lugg around ) however , able check early mean could put straight room . the room modern , clean , tidy spacious good two people - double room decent sized bed , queen think . contain LCD tv decent size , cost watch get access £ 1.99 -£5.99 depend . internet tv wireless keyboard also available £ 3 per hour . could also option accessing internet Laptop £ 4.95 per hour £ 9.99 24 hour . there also iPod connection could play music tv speaker , able use mobile right connection chord , good not cost extra money . there full length mirror , decent sized wardrobe , along desk bench / lounge cushion . Tea Coffee facility telephone leaflet call rate . security card entrance room make lot easy carry around rather key . bathroom good size shower shampoo / shower gel dispenser . water pressure fantastic . the view room , well , not one , look onto back building , however , not book get nice view , book comfort , get . ' m not aware outside noise peaceful sleep , bed little hard fairly comfortable . I find staff reception desk pleasant helpful , host restaurant buffet breakfast . buffet breakfast extra £ 5.50 top room , however , really good spread , bread , cereal , fruit , yogurt , fruit juice , tea coffee etc . even option people leave early , breakfast serve 4:30am 6:30am think . even though not go Restaurant dinner , menu well price , Starters £ 3.75 Steak main £ 16 . could also opt 2 3 course set menu £ 11.50 £ 15.50 respectively . child 's menu food nugget chip price £ 5.80 ( think bit steep child 's meal , not child sure ' go ' ) .As travel want make sure feel safe good hand , Ibis London City tick box look forward stay . 
 Mar 4 2009 	 cheap clean comfortable 	 assume visit London , be really look relatively affordable , basic place stay , fine . hotel pretty small room restaurant pretty poor . however , hotel base sufficient . locate right next tube station ( aldgate east ) nice bathroom , clean room , half - decent tv . 2 us new year 's eve get amazing deal ! 100 pound new year 's eve even less night 's surround blow away competition . definitely would recommend nice , safe , convenient base London . 
 Mar 3 2009 	 Hassle free stay London - absoutely complaint back ! 	 take 3 week find nice hotel reasonable enough London hotel expensive read previous review Ibis L.City positive decide book long w / end boyfriend . report back agree - hotel gr8 Ibis standard & amp ; staff helpful -got check early room ready total bonus early flight , location 2 min walk Aldgate East Station , end close 2 day not matter much use Liverpool St. Station approx 8 min away . accessible site tube 10 min journey less . plenty bar & amp ; restaurant nearby choose sightseeing & amp ; Bar Hotel . double room spotless compact 2 plenty storage & amp ; large Power Shower bonus . room back rather face street not sound . departure leave bag reception spot shopping later flight . can not recommend enough 1st trip London year - hassle free , quiet night condsidere size & amp ; fully book , friendly staff , great location - back . 
 Jan 8 2009 	 Excellent ! 	 fiance return 3 day stay Ibis London City probably one good hotel stay , term quality round . get excellent rate £ 49 per night , amazing price really inner city london hotel . near tube station aldgate east , literally 20 second walk hotel entrance ( turn right ) . do not bother hotel breakfast prefer eat move , there s great bakery past tube station perfect want something light . however hotel breakfast seem reasonable £ 5.50 , good buffet selection . room large , clean , stylishly decorate . comfy bed ! also opt drink bar one evening follow dinner french theme restaurant , excellent 5 star service staff . would hesistate stay hotel ! 
 Jan 1 2009 	 right choice 	 good hotel London ; adequate price zone 1 , good cleaniness helpful staff , always ibis . underground station ( Aldgate East ) right hotel downtown 15 minute . surroundig safe . 
 Dec 29 2008 	 good option 	 good experience stay Ibis London City . quite position compare hotel London first visit city , general sense everything smooth : helpful personel , clean nice room ( check picture ) , nice breakfast , good location ( front metro stop ) price seem extremely suitable London standard . one minor point would small size breakfast hall , not really annoy we even rather crowded . one useful tip could avoid & quot ; late riser 's breakfast & quot ; simply remain stuff normal breakfast . 
 Dec 25 2008 	 Great Hotel ! 	 plane arrive 7:30 arrive hotel 8:30 . room available let we check - in early . pay £ 5 per person buffet breakfast really nice go sightseeing . room small clean . probably would want two people per room . hotel also baggage closet hold luggage stay . valuable day check . tell luggage room fill early 's well go ahead check morning breakfast put luggage closet then . the location excellent , right next tube . hotel great value . 
 Dec 17 2008 	 Fab Place - hassle stay 	 check check fab place stay . really friendly reception staff , chatty smiley . easy check even large group check time . check excellent leave luggage service . the room good size large comfy bed pod style bathroom great power shower . also LCD tv good range channel . Tea & amp ; coffee make facility available . find traffic noise night hotel almost major road junction , expect . we book hotel well advance get fantastic 3 night long weekend rate £ 59.25 night ! ! not breakfast Wetherspoons 5 min walk away . place eat & amp ; drink around hotel area . area seem bit beat track use Aldgate East , Aldgate , Liverpool St & amp ; Tower Hill tube station within 15 min walk . find get area city easily accessible . we definitely look stay again . have stay London hotel easy go one . 
 Dec 6 2008 	 Average Hotel 	 stay 2 day business trip little disapppointe overall . hotel directly next Aldgate East tube station busy road must near hospital sound siren unavoidable go night . the room ok , bed comfortable whilst little unusual , shower pod quite good . the food average , pretty basic evening meal standard continental breakfast . know french hotel chain , stay London would expect hot breakfast be . I recently stay Premier Travell Inn superior almost respect . 
 Nov 26 2008 	 reasonable place stay London 	 stay one night attend conference around corner London Metropolitan University . I ' ve stay Ibis hotel & amp ; generally regard reasonable short stay - bit lack character perfectly adequate . this fine - room ok rather odd bathroom ' pod ' ! bit annoyed lack hairdryer ' ve come expect standard hotel room major issue . the breakfast bit basic - expect wide choice continental item £ 5.50 charge . I also use restuarant evening - advertise french restuarant & amp ; really , many french speak people use . food good & amp ; expensive . as ( old ) woman find good place stay & amp ; though neighbourhood not one would choose proximity conference , convenient & amp ; near tube . 
 Nov 23 2008 	 Good Value 	 2 star hotel locate within city London can not go far well stay , welcome receive excellent hotel immediately feel warm comfortable , locate around corner Aldgate East , quick link St Pancras , West end , City , Docklands , great locationroom clean shower excellent , sample breakfast buffet consider two day pay £ 14.95 holiday inn , £ 5.50 bargain eat.stay regret ! ! 
 Nov 4 2008 	 last place stay London 	 stay hotel three night August 2008 . arrive , appear non - smoking room immediately available , promise one start second night . live since sure whether request one time booking . next day give non - smoking room , however , stench chlorine begin wonder whether tobacco smell first room nicer . hairdryer room suppose available front desk . ask one evening , appear go able get hold one next morning . towel different shade white , yellow grey pillow case dark stain , ask replace . one day clean merely forgot replace towel ( take away leave floor forgot provide new one ) well wash cup room replenish tea bag . ask specifically . check - out request produce hairdryer naturally leave room . explanation effect help go back fifth floor return reception ultimate evidence pack hairdryer suitcase accident . top everything , ask store luggage several hour departure London ( one small bag acceptable cabin luggage ) , say luggage room full , absolutely could put bag reception desk either place put . could well suggest walk Liverpool Street Station check luggage room 6 pound . definitely last place ever stay London . ok , cheap , worth pay rather stay dirty stinky hotel poor service . 
 Nov 3 2008 	 good value hotel 	 hotel well place , around corner Aldgate East tube minute walk Aldgate . staff friendly helpful , room huge clean modern shower . often weekend deal price . worth explore Spitalfields area nearby historic successive migration past two century huguenot , Jews Bangladeshis . bagel all - night Beigel shop Brick Lane great . eat Kasturi restaurant Aldgate High Street . good . also eat pizza story Deli vegan meal Rootmaster restaurant old double - decker , old brewery complex Brick Lane . 
 Nov 1 2008 	 bad ! 	 hotel good price . reception staff helpful accommodate request ask room quiet side hotel honour . 's lot building work around hotel look outside not good inside room spacious , include big egg shape bathroom ! room quiet , bed big although be right next Aldgate East tube station could not hear train . 
 Aug 21 2008 	 good Close Metro 	 ' m use Ibis Hotel formula , be practical , clean , good breakfast . in case , metro station across street London bridge really close like 10 min walking . I get good weekend deal , 75 £ night , London quality impossible find well . 
 Aug 18 2008 	 exceptionally helpful staff- great value ! 	 trawl Tripadvisor length look impossible , clean , safe , affordable , centrally locate hotel could bring 5 teenage girl birthday celebration weekend . want shop , sight - see visit theatre hot august weekend . arrive Liverpool St stanste one stop away Aldgate East tube station . hotel right next door tube station lugging case . check - in smooth efficient birthday girl wish happy birthday ! room side side , I - pod could play speaker , bed spacious comfortable . capsule bathroom funky . noise travel room kettle hand cup tea . request extra towel , hair - dryer , taxi give promptly smile . eat breakfast morning restaurant . receptionist lovely sunny disposition . wait staff efficient short supply . breakfast buffet style serve til midday . food plentiful fresh . cost £ 5.50 worth every penny . evening menu look attractive not get sample . check worry 8 case day 's sight - seeing plan . luggage room completely full receptionist make fuss leave one room available store case til 6 pm . two occasion girl leave valuable personal item taxi , fantastic reception staff go lot trouble assist we get item back . incredible ! bar invite looking , group , provide much - need night - cap bring room . priceless . ! get beyond expect booked hotel , pleasant stay . 
 Jul 8 2008 	 amazing hotel pure quality 	 June partner stay London day , want stay hotel location . the hotel high stand must say never find anything complain , room quiet , clean inviting . the hotel bar welcome smart , whole weekend enjoyable hope return rather pleasant hotel near future . 
 Jul 5 2008 	 average hotel 	 Location great - literally around corner Aldgate East station . whole London city actually walkable want save money use tube . room , however - bathroom smell sewerage sometimes people room flush , room basic , price bit high basic amenity room . reception staff helpful . emailed check get reply straight away . 
 Jun 25 2008 	 great hotel 	 great hotel stay . room right size ( british size ) , clean , modern furniture , bathroom spotlessly clean , room bathroom clean daily basis . staff work reception helpfull ( french guy time hotel - polite ) . hotel within 1st underground zone , Aldergate tube station around corner , Brik Lane market 100 meter hotel . strongly recommend hotel ! 
 Jun 9 2008 	 Excellent value money 	 stay Ibis one night Sunday . hotel easy find , right next Aldgate East underground station . adjoining area glamorous part London , however convenient City , safe , lively enough bar , pub restaurant far away . good taste & quot ; real & quot ; London ! check - in staff extremely friendly , welcome helpful give quiet double room back hotel quite large , clean cheerfully decorate . facility luxurious , might need quick stopover tourist business purpose . later drink bar ( open 24 hour ) pretty good dinner reasonable price french restaurant . 80 % staff French , guest mixture portuguese , french Spanish . all - in - all great place offer exceptional value money . definitely make accommodation choice business trip future . 
 May 24 2008 	 good hotel great location staff good 	 clean , nice hotel . great location , close Aldagate Eat Tube Station . modern hotel , room clean , well maintain , although bathroom remind one cruise ship small . room hair blower , even piece paper write note . breakfast good , cold egg , cold bread , good coffee juice . spanish speaking staff friendly , call reception help make international phone call get & quot ; not know & quot ; . problem additional night book , hotel staff blame agency help , last day leave without eat breakfast . 
 May 23 2008 	 good clean basic room . breakfast good value 	 wife stay two night go Sound Music . hotel accessible , round corner Aldgate East underground station journey take 20 min Picadilly Circus . we get day pass cost £ 5.30 allow we travel peak zone 1 2 . ( start first journey 10.00am ticket could use remainder day . ) room ensuite shower basic clean practical tea coffee make facility tv.the buffet breakfast good . not meal restaurant enjoyable evening drink bar . would return . 
 may 10 2008 	 favourite London crash - pad 	 partner often stay hotel ' never anything great experience there . the neighbourhood little rough , ' never problem feel unsafe . ' local convenience shop across road , handy . ' short work curry house Brick Lane Spitalfield market . hotel benefit excellent transport link , Aldgate East tube station right next door – roll bed city matter minute ! room , like Ibis room , basic functional . room ’ separate bathroom , bathroom ' pod ' contain toilet , sink shower . ' great deal room pod ( really one person time ) , bear mind elderly think lack space may cause problem . breakfast ok , ' nice lounge bar lobby fancy nightcap adventure city . overall , ' good , clean hotel reasonable price . 
 Apr 12 2008 	 Nice Hotel 	 14 day 5 star luxury travel Egypt check Ibis hotel . check quick easy . love room . nice , clean . yes be small something feel homey . bathroom funny , round cubical , shower big power . lot space get dress . overall great ! web deal could surf internet evening day , nice . use laptop use tv purpose . internet crash one night take whole day fix ( not matter we ) good job fixing , man check every room ( small job ) see problem really fix . check quick easy well , keep bag locked room day . 
 Apr 2 2008 	 excellent location budget price 	 I m go review hotel standard Ibis , world - like french Travel - inn , reasonably price everything need , exceed budget travel hotel chain level friendliness service superb efficient , price - £ 69 night unlimited internet movie etc tv room extra £ 10 wish ( standard tv include Sky 1 satelitte channel ) free paper morningnice bar attach hotel restaurant ( do not eat comment ) nice power shower compact bathroom , critisism would extra pillow bed would nice ( probably could request ) bed possibly little firm like personal taste . immaculately clean however fresh towel daylocation wise superb - next door Aldgate East tube zone 1 5 - 10 minute 2 different tube line central london ( train every 2 - 3 minute ) , close Pettycoat Brick Lane market , Gerkin tower London . area reasonably quiet weekend centre London seem perfectly safe walk aroundthere several decent pub also food close proximity ease access west end mean do not really stop near hotel stayi would definately stay price easy access city probably unbeatableif drive edge congestion zone careful , obvious parking available 
 Mar 14 2008 	 Traffic noise night 	 spend one nite ibis week business . the hotel fairly close city 15 min walk Llyod 's building . its basic hotel , check - in long mistakenly cancel reservation . restaurant staff okay food good . the room clean , sparse - overlook main road traffic noise night . overall happy . 
 Mar 11 2008 	 good crash pad reasonable price near city 	 Pensioner couple spend weekend choose location near city transport . handy tube posh clean tidy helpful staff bar / restaurant / reception speak english room staff not ! room comfortable well appoint bath vg power shower breakfast continental bad london standard vg value money book advance room @ £ 65 double . would certainly go want near relation 10 min walk away . 
 Mar 1 2008 	 excellent value money ! 	 three we , 2 adult one four year old stay IBIS first weekend december . arrive Stansted take Xpress train Liverpool street . really convenient IBIS two stop away subway Aldgate East ( two underground line give pretty good coverage major area London ) . subway station meter entrance hotel ! hotelroom excellent : clean , flat screen tv spacious enough three we . close Bricklane lot fine indian / Bangladesh restaurant . daughter not want go first day travel sightseeing , convenient KFC Burger King close proximity . shop supermarket 500 meter distance . although read review Tripadvisor neighbourhood feel unsafe , never feel . the breafkfast buffet excellent . also dinner restaurant one night impressed quality . there & quot ; interesting event & quot ; : serious power failure manament evacuate whole building . nobody want stand outside hotel sunday morning way evacuation handle give good feeling would happen would serious emergency . pay EUR 115 per night three person include breakfast consider bargain X - mas Season London . excellent value money , next time travel London touristic purpose , will definitely return IBIS hotel ! 
 Feb 22 2008 	 Value money 	 city - financial district , right side metro station , ibis excellent option problem use tube . 's really walk distance Picadilly Circus Covent Garden one get 10 - 15 min tube abt 80 pound per night ( weekend rate ) 's dificult get well London ( similar 3 * * * hotel ) . clean friendly . return sure . 
 Jan 28 2008 	 good place stay tourism 	 first trip London , ( fiancé ) choose Ibis London City Hotel proximity Underground station.- LocationThe hotel locate really near Aldgate East Underground Station ( 1 minute walking ! ) . tourist visit main attraction London use & quot ; Tube & quot ; spend £ 5.3 1 - day TravelCard ( zone 1 2 ) also use buses.- neighborhoodthe street near hotel exactly beautiful sight . near main street ( Whitechapel Mansell ) reveal safe walk even late night . ' problem think ' well avoid side street underpass night . there little market buy chocolate , soft drink , snack thing ' sell hotel.- breakfastthe breakfast serve everyday : different type bread , croissant , cereal , juice , coffee ( coffee machine ) fruit . everything clean girl receive guest door restaurant kind.- staffeveryone really considerate , especially girl , two french guy ( one manager ) spanish guy work reception day , also , blonde guy wear glass work reception night . exception one guy work evening understand really want but … anyway ! ! clean staff efficient well - organize . Don ' expect smile laugh everyone seem serious worktime London ! ! - barit ' good place take " last pint night " eat sandwich go bed.- roomWe stay double bed room say good . really big room enough sleep take break watch tv . ten free channel available charge movie . the in - room internet connection charge separately speed so - so … - conclusionthe price good come London tourism business . great place enjoy good special moment life . 
 Jan 19 2008 	 Fantastic Hotel 	 stay London City Ibis partner friday night take double smoking room , go club need somewhere quite central expensive . room £ 69 cheap deal could find quite worried would find ! normally prefer pay peace mind luxury , due budget find cheap alternative . hotel easy walk London Liverpool st greet lovely friendly staff check . room bright , modern , clean , plenty space , exactly like picture internet . tea coffee , plenty towel , excellent tv , choice film internet connection lovely view window city . shower quite small , plenty hot water room warm . thing mention negative would room warm keep window open slightly noisy road work morning , do not bother we may old guest . shower gell , shampoo hairdryer provide bit pain . restaurant fantastic excellent value money ( cheese board well alot I ve expensive place ! ) meal staff call taxi we , general nothing much trouble . would like add arrive back 2 am bottle wine , rather worse wear porter even open wine we take back room ice ! also snack paninis available 24hours handy ! fact check 12 great we , continental breakfast still going arrive restaurant 11.30 , say lovely , fresh wide choice . overall quality hotel outstanding , price do not expect much surprised , would reccomend age . main positive location , cleanliness , staff restaurant / bar 
 Jan 2 2008 	 Excellent Value Money 	 stay Ibis two night New Year felt receive excellent value money London hotel peak time . whilst central key tourist hotspot hotel close Aldgate East tube station bus stop go part city . within yard Brick Lane curry house near river Petticoat Lane / Spitalfields market . hotel , room spotless adequate need . book breakfast see quality choice food offer decide take pay morning . consider eat New Year 's Day excellent spread - fresh tasty continental include fruit / cereal , ham , turkey , cheese , egg , croissant , pastry , preserve wide range drink . all would thoroughly recommend Ibis City expensive city come hotel . 
 Dec 26 2007 	 great hotel near sketchy neighborhood 	 good hotel . staff helpful . room good size London price . room bathroom clean hotel nice overall appearance inside . lifts floor not haul luggage stair . plus London ! entrance around corner Algate East tube ( underground train ) stop District ( green ) line . nice . however , hotel & quot ; edge & quot ; far neighborhood . close tower bridge really nice section London block sketchy part town . keep dark walk neighborhood minimum . construction go next door bit loud day problem night . 
 Dec 14 2007 	 good budget hotel 	 stay Ibis london city hotel 2 night . excellent location- right next Aldgate East tube station . near brick lane- good indian restaurant . moment build work go right next hotel . hotel warn check in- construction work 8am-6pm find work start around 7 am . not really bother we plan get morning anyway . the room bathroom clean . ask reception item number time , request deal . extra pillow towel since 1 set provide second day stay housekeeper take towel replace clean one . if book internet misleading think breakfast would include actually extra . the major problem try leave luggage day check . leave london evening want leave baggage hotel day whilst . however , check , receptionist tell we could not make reference incident ' last week ' mean could not leave bag . not make fuss ask speak manager allow we leave bag . put bag behind reception , bag ! Overall- clean budget hotel central london . would check certain facility available stay . 
 Dec 12 2007 	 Best Budget Hotel City London 	 good budget hotel within walk distance City London . hotel well run , professional staff , well maintain good amenity . one thing watch , although close City , traveller cautious personal security area immediately around hotel . ' ve problem 20 stay , underpasse side street well avoid alone night . say tube station within yard easy access taxi , use fine . the food hotel not fantastic , wold not expect anything different Ibis , job ; time inclination venture . 
 Dec 4 2007 	 good location Spitalfield Petticoat lane market 	 stay 3 night november . first arrive Aldgate east station , take exit right towards Petticoat lane , step turn leave past building site , hotel leave opposite sportec . take leave exit , hotel across 2 busy road . check fast , room say clean large enough two we . power shower great success , shampoo / soap dispenser wall . first floor room vacant , mind noise traffic building site staff store room lift right next door noise every morning around 7 am 9 am annoying , sound like drawer open closing , door slam lot bang . would stay 3 night . friendly staff restaurant bar though . borow hairdryer reception , charge £ 10 add account , make sure refund return dryer . 
