fabulous 	 chic , everyone friendly , service amazing room large comfortable . restaurant great bar , good meal , breakfast excellent . night fun select window color illumination . business center well appoint well fitness room . wholeheartedly recommend Hotel G anyone stay Beijing . enjoy time , sure . 
 Nov 9 2009 	 Hotel G home away home 	 later wife , China many thing take getting use .... traffic opposite side road ... language currency manner thing ment rather big change we go daily business . however .... we .... return Hotel - g like come home crazy often chaotic day . always make welcome excellant staff nothing much trouble wheather need taxi cab use MAC business centre could communicate office Sydney . shall always speak highly Hotel - g recomme stay anyone intend visit Beijing . General Manager Alex make point greet we personally one delicious breakfast . local knowledge subsequent recomendation make sightseeing tour great Wall enjoyable ... driver good private car sole purpose maximise time spectacular site prove worthy way enjoy experience . all wife throughly enjoy stay Hotel G. would recommend hotel - g friend work collegue definatly stay next time visit Beijing . 
 Nov 8 2009 	 recommend repeater 	 mention title , recommend Hotel G BJ repeater . staff good English . feel lilke BKK BJ . room quite large king size bed . wine restaurant 1st floor fine . Ntg complain . I use several time go bed midnight . wud hv well sofa . the weak point hotel location . it happen several time taxi driver make call hotel ask location . since hotel back road , walk main street catch taxi . ( taxi ever await front hotel . bell boy ) do not mind long weather fine rush hour , ( stay hotel , snow heavily ) bell boy , taxi front hotel mean tell BJ taxi driver explain wud like go . reason say & quot ; Recommend repeater & quot ; hotel locate away everything , live without taxi . sml gym . pool . spa . 
 Nov 3 2009 	 fantastic : location kindness ! 	 doubt choose hotel next trip Beijing . great host staff , like tell personally , much average chinese hotel ( know well ) . congratulation ! 
 Nov 2 2009 	 Value location style 	 new favourite hotel Beijing . super - friendly staff , great value money stylish , comfortable room nice bar / restaurant end day . Beijing many time trying find hotel tick box . well find reasonable . also , really conveniently locate business holiday traveller . 
 Oct 28 2009 	 Excellent Value Comfortable 	 ' m sure hotel deserve quite hype excessive praise seem get around ( be Ritz , folk ) be definitely great value money comfortable place stay . other point , 's chic lay back design personnel - staff warm accommodate without intrusive , space invite relax . care 's couple mile forbid City Tiananmen Square ? really want stay vicinity madness ? Beijing much offer , neighborhood around hotel diverse well worth explore . besides , cab cheap plentiful , unlike another reviewer 's experience , never trouble get one within moment leave hotel - usually one wait front door , , walk 30 second main street hail one . complaint location wish little close metro stop ( be brisk 20 - 25 minute walk ) . include breakfast perfect size , style choice . housekeeping fine we complimentary toiletry yummy . ' m sure luxurious hotel Beijing , likely kind dough . 
 Oct 26 2009 	 Hotel everything anticipate 	 stay Beijing two week end September choose Hotel G mainly location , disappoint . could travel shopping centre either foot taxi well central nightlife supply near night club . hotel fantastic , staff helpful able assist trip take local sight . girl front desk even supply useful map place wish visit address English Chinese prove extremely helpful travel one place another . book great room highly impressed result . spacious everything wi - fi i - pod dock . fantastic want check work wind . business centre also available allow access internet well send fax staff work hand help query . find gym along business centre find fill top range equipment use numerous occassion . equipment provide mean able full body workout different machine available use run mill basic tool . visit Scarlet bar every morning breakfast impress selection hot cold meal . often evening meal take adantage many special night offer include tapas night pasta wine night . perfect start evening . due length stay treat dinner Scarlet bar manager also general manager thank custom . think impressive never experience hotel chain , even though long stay they . overall would highly recommend hotel anyone want visit Beijing . location combine hotel provide everything would possibly need enjoyable stay . 
 Oct 20 2009 	 overhype 	 see blatantly fake review Hotel G Trip Advisor , would book hotel first place . however , husband ' " turn " plan trip , let legwork , wound Hotel G. think overhype ( falsely ) disappoint stay . room décor trendy / baroque / loud . like bit fun hotel room , Hotel G feel contrive bit date – late 90 ' come mind . room nicely appoint however king size bed , large tv , chair , mini fridge , read lamp , spacious bathroom nice toiletry . several small annoyance room add not - so - great stay . find room dark bit hard see , dark purple wall , dark floor , dark wood furniture . feel like purple cave ! instant coffee provide room , find use kettle big pain nowhere plug unless set ground . wound unplug phone instead could use kettle desktop . ledge soapdish shower , mean always bend shower reach soap shampoo sit show floor . water temperature shower seem fluctuate often hot cold back . Shower gel shampoo replenish daily basis find ring housekeeping ask additional toiletry . room shoddy workmanship – poor grout paint work , plus seem lot residual chemical odor work room ( like varnish , turpentine caulking ) .It seem like housekeeping knock door hour day , ring doorbell incessantly answer , even shower call busy . take put ' disturb ' sign door hour day peace quiet . dirty use coffee cup leave room replace clean . rang downstair request new cup , staff member deliver room barge straight past room without even ask could come ( turn speak English case ) . room well sound - proof could hear voice , tv footstep room we . meanwhile , loud music come floor bar restaurant we . hotel g website room brochure describe workout room ' state art gym ' , case translate half machine order weight assemble use . find staff oversee gym overbearing , would even let get cup water pick towel . may like sort fawn , find place tiny gym . find service restaurant bit surly , waiter command we " choose wine ! " " sit ! " . appreciate everyone ' English may perfect , way order around make we feel uncomfortable . hotel g get top mark however superb breakfast , great selection wonderful coffee . staff look dress like university student . suppose mean contribute ' hip ' feel place , feel somewhat amateurish . girl front desk staff friendly eager help , although request question deal somewhat haphazard way . other mention , need taxi see main sight Beijing . taxis cheap plentiful , would prefer stay interesting area city . hotel long way go would recommend , consider self - promote fake review Trip Advisor mean never 
 Oct 19 2009 	 's nice overrated 	 stay Shanghai Xiang G hotel Beijing , nice hotel nice spacious room . service , use 5 star chain hotel , good , staff eat behind bar , attentive , reception staff know city hard get information , everyone cool , bit lie back taste . Taxis hard get , hotel locate small side street . would recommend hotel business traveler . 
 Oct 17 2009 	 huge room good location trendy contrive . great hotel . 	 arrive Hotel G last weekend long flight London . have book & quot ; Great & quot ; room special offer rate thing sort jet lag . the & quot ; Great & quot ; room enormous - much big have expect , kingsize bed , large flatscreen tv , sofa , armchair , table . bathroom monsoon shower separate bath , room also include complementary soft drink ( plus bottled water - convenient Beijing tap water not suitable drinking ) reliable wireless broadband . the whole hotel new trendy without contrive . location might look ideal map actually Beijing huge , wherever end go good way something . definitely not put hotel not close Forbidden City - fact , feel plus ! 's lot stuff immediate area plenty restaurant around . like Bellagio Workers ' Stadium West Road also try Mountain Breeze restaurant next door hotel ( good ) .It 's 15 minute walk tube stop pain , taxis plentiful cheap . , get map area go , road confusing distance large . taxi driver also idea Hotel G , try get hotel 's address Chinese show they . the breakfast hotel good , western asian cook option . service variable though - seem depend whether restaurant manager not . in , really , really good hotel . be one good ' ve ever stay would absolutely recommend choose big chain Beijing . 
 Oct 15 2009 	 Great Facilities + Great Staff = Perfect Holiday 	 stay honeymoon , wonderful stay . even specially decorate room since honeymoon send complimentary bottle champagne ( sparkle wine ) . General Manager & amp ; Operations Manager take personal care we make sure need take care off . Good Size room , free wireless internet well stock mini bar . hotel locate right main street , easy access cab hotel around . popular business leisure traveler . good part friendly everyone be . we look forward go back Beijing stay Hotel g . 
 Oct 15 2009 	 want feel like rockstar last 4 album tank . 	 be nightlife ( one word : Latte ) , hotel could well situate . 's close big club many wonderful bar restaurant . yes , 's way daytime tourist spot , cab cheap , Beijing big can not really walk anywhere anyhow . and really nice place . staff fantastic , request room view , upgrade we & quot ; greatest & quot ; room top floor . fantastic . super hip , ridiculous bathroom , bedding , light . also great mini bar ( free soda ! ) price think pay ( $ 75 usd night ) , would say 's good value place ' ve ever stay . actual bill come ( apparently misunderstood detail web deal ) , seem bit like one might expect . still , be hard hold . really go way accommodate . book one weekend deal , eat Scarlett Sunday night , food half ( oh , be REALLY good ) .also , August , China feel empty ( ironic ! ) , Hotel G stay full , due price , welcome vibe place feel alive ( oppose awesome -- awesomely empty -- Opposite House ) . 
 Oct 11 2009 	 G stand GREAT ! ! 	 stay many great hotel throught world G right less half price ! great staff great room good location , one good bed ever sleep , nice free breakfast great manager name Alex aim please not could ask pleased . 
 Oct 10 2009 	 comfortable 	 love lobby . could well customer service maybe , nothing really bad happen . no one bother take luggage check true . check bit messy . ask credit card receipt deposit refund . forgot refund . trouble get thing correct . just wish confident warm . room comfortable , warm welcoming , slightly garish , fine . l'occitane product , wonderful towel , fruit room . comfortable bad . clean room ever see . totally quite . every day deliver treat room . nice . they even remember birthday send chocolate cake . nice touch . breakfast wonderful . simple compact buffet , perfect selection thing . kitchen , french toast apple compote maple syrup amazing . do not dinner hotel menu not work I . just go lovely charming italian fusion restaurant call Metro time , round corner . interesting take italian cuisine ( ' m italian ) . area kind strange , safe , rough look still . room overlook semi - derelict block flat . Front hotel face washing line wire pull lamp post , right pavement . kind common China , front boutique hotel pretentious area . Overall 's good hotel , Beijing , reasonable rate quality get . highly recommend . 
 oct 9 2009 	 say tin 	 come Beijing alone - husband Shanghai week 's business trip - g perfect place stay . staff sweet helpful , room service lightning fast . bring wrong salad bring right one five minute later . sell uber - cool , , bless them , be achingingly trendy , gorgeous , well run hotel feel extremely well take care single mrs Beijing . sort trip Wall summer palace 70 euro , day trip . hard define ... really feel home G. go easygoing couple like cool look room appreciate good , funky design cheerful obeisant service . single . will not feel place . enjoy ! 
 oct 9 2009 	 fantastic hotel make perfect holiday ! 	 first thing notice walk door friendliness staff particularly Janette front desk go way make we feel welcome continued help we throughout stay . take room fantastic size offer every home comfort could possibly wish . Scarlett bar double perfect place start day offer wide selection breakfast choice aswell great place spend evening whether evening meal place start night . top service provide whilst inside particular Alex immediately make we feel home go way make sure comfort Jessica introduce one many visit Scarlett bar always make sure stay enjoyable great knowledge surround area know good place go thing see . GM Alex take personal interest guest refreshing change . speak we regular basis make sure stay enjoyabe make we feel like member family . overall experience fantastic really feel like home away home . would suggest hotel anyone visit Beijing hotel staff inside good bar none . 
 oct 9 2009 	 superbly look Hotel G 	 stay Hotel G 8 day business trip also include couple leisure day . ideally locate inner city well market . hotel 9 month old room size decor superb . really relax , affable comfortable place . the breakfast include price variety western , asian vegetarian choice accommodate . ideally set day ahead . the team Hotel G welcome friendly well knowledgable helpful . I fortunate experience 3 room type ( good Great Greater ) stay , personal favourite Great Room . everything clean , new event downstairs bar great evening . the street Hotel locate small present occasional difficulty taxi driver find , never major problem . on whole terrific experience recommend highly enough . 
 oct 8 2009 	 Grumpy Old Lady leave happy 	 disabled drawback time . cause undue grumpiness must say Hoel G cope marvelously well . Janette front rush help whenever see , Alex , Scarlett Room provide optical recreation must say run Room utmost proficiency friendliness . unusual combination must say work Scarlet Room well . sit enjoy delicious latte Jesse lovely girl popped see enjoy stay . Thierry Chef even come check want steak done need anything menu content nice gesture . crown GM take time trouble come chat . thank GM Alex , Scarlet Alex , Thierry , Jannette Jesse make grumpy old traveller feel importand . DOWNSIDE treat every guest MANNER . MATTER take away GRUMPINESS . highly RECOMMENDED MISERABLE PEOPLE like . 
 Oct 7 2009 	 hotel color stay 	 first impression Hotel G brillant design neon light box window later find actually change color choice . friend make window red chinese moment trip . excellent service brand new hotel , must say . everyone speak good English , internet steady fast , bed pillow comfortable , spacious bathroom definitely plus enjoy cold shower hot ofuro bath . not miss clean gym well . two stretch machine personally like much . still room improvement breakfast area . food up - to - standard quality service little poor . sometimes wait get drink utensil . all , strongly recommend hotel pretty easy find . even though cab driver may know new hotel , say & quot ; gongtixilu & quot ; , big road next Olympiad game venue worker stadium , find colorful look hotel pleasant stay . 
 Oct 5 2009 	 fantastic hotel excellent staff . must trip Beijing ! 	 never Beijing check review trip advisor choose Hotel G , hotel fully justify rank one popular city . room modern designer furniture mod con include large screen tv free wifi . arrive meet manager bar offer we free upgrade - end take original room nice ! staff excellent - speak perfect english go main street get taxis we . although expensive high star rating , Hotel G one good hotel stay recommend friend family . downside new many taxi driver do not know location glad use hotel car pick we airport . would travel Beijing definately stay Hotel g . 
 Oct 4 2009 	 Wan na stay hippest place Beijing ? 	 great design hotel , cool , distinct dynamic ! room spacious really 5 star , wonderful staff , great food ( japanese european ) quiet area close mayor attraction . love superb bed rest busy day extensive complimentary breakfast get go . wonderful chinese restaurant almost next door , Mountain breeze ? definitely hip hotel see Beijing moment ! Peter Holland 
 Oct 4 2009 	 good hardly good 	 Hotel g nice boutique hotel . room large standard , nice fixture bathroom amenity . location fine . many boutique hotel problem always service particular case , breakfast . know easy find really well inform english fluent concierge staff Beijing not mean go extreme . also breakfast buffet reasonable could much well . service chaotic indifferent . fairness employee go extra mile general training obviously lack . also oft mention presence manager common area seem like need real plus . 
 oct 1 2009 	 Awesome - can not wait come back ! 	 Hotel g awesome ! impressed hotel , stay lot hotel world . decor service exceptional - particularly nice special attention give every guest Alex , General Manager . room enormous beautifuly decorate , massive bath gorgeous bathroom . think impressive thing & quot ; G & quot ; attention detail . amenity bathroom quality ( L'Occitane ) , furnishing sumptuous , every night special dessert deliver room ! easy get around city , although mostly cab , taxi 's expensive not problem . thank wonderful stay - can not wait come back ! 
 Sep 30 2009 	 Hotel g simply good ! 	 well upon arrive Beijing meet Airport driver quickly whisk we Hotel . walk lobby know right would enjoy stay . enjoy great location friendly staff say . simply good hotel stay world . good value dollar . would also say service provide Alex ( Hotel Manager ) exceptional make we feel welcome part family . Alex ( Bar Manager ) simply like good friend always go way make we feel welcome every night go Scarlett food drink staff make we feel like part family . thank Tony everything well . lastly Chef Mr. Loncle , make trip enjoyable fun we . busy kitchen would join we bar chat we make experience enjoyable . make amazing food desert go way make vegeterian dish girlfriend . thank everyone enjoyable trip lifetime . continue recommend Hotel . the room amazing simple pleasing . bed super comfortable pillow make fall deep sleep right away . free soda mini bar pleasant room fantastic , stay great room recommend . thank . 
 Sep 29 2009 	 Gorgeous hotel fantastic value 	 love Hotel G. ' great ' room corner room enormous . trendy decor , great bathroom L'Occitance product . gym small well equip new , high end equipment . manager friendly welcoming . free internet use Wii fun . slight let hot breakfast . ok good enough . chef really need lift game . consider good deal available online , hotel wonderful value . one suggestion would washing machine dryer gym guest use . Jia hotel Shanghai real plus . 
 Sep 29 2009 	 great location Spacious Friendly 	 8 night stay Sept 2009 visit Beijing 's famous site recommend friend stay recently . very impressed size style Greater Room affordable rate 5 star service Alex friendly personable staff , seem first name term guest . great gym business centre free wi - fi throughout hotel uncommon hotel also great bar call Scarlett special thank Tony . location also central popular Workers Stadium Sanlitun area within walking distance . 
 Sep 27 2009 	 potential greatness sloppy service 	 good location , though well place mall , restaurant clubs historic centre . excellent facility give price point -- spacious quiet room , bit style substance ; small well - equip gym . great breakfast include -- get serve . morning bite chaotic term order , attentiveness -- last wait 30 minute customer would come later serve . eventually leave airport underfed bit grumpy . pity , give strength . say , would go back , slightly low expectation . 
 Sep 27 2009 	 Excellent location service great english speak staff 	 whilst conduct business Beijing , say Hotel g surprise greatness . lobby warm welcoming . stay great room . quiet spacious plus comfortable bed pillow . tv satisfactory channel excellent wifi ( provide free throughout hotel ) . breakfast buffet good selection . location Hotel G superb , near bar short walk Sanlitun . 25 minute Beijing Capital airport via taxi . next time business Beijing , back Hotel g . 
 Sep 25 2009 	 HOTEL G AWESOME ! ! ! value money ! ! 	 awesome chic hotel ! ! stay 5 night parent another additional night superb . great value money location , service quality . staff extremely friendly helpful give accurate direction advice cost timing get place . would even provide print chinese direction restaurant want go ! recommend Long Island around corner massage well ( cheap 11 am 5 pm weekday ) ! extremely clean , large spacious room , large comfy bed , clean soft linen ( put hard find china ! ) , free wireless , ipod docking station , ( apparently also free nintendo wii kids ! ! ) , big bath tub , large shower , l'occitane bathroom product , free drink minibar , free local call phone , complimentary breakfast great selection generous feed , nightly surprise tapas delivery .... top .. pillow menu fussy sleeper ! ! would find additional cost anywhere else ! ! ! excellent value . would definitely recommend stay ! 
 Sep 24 2009 	 well worth money everyone 	 Prepare pleasantly surprise . stay 5 night booking handle superbly . room place exactly advertised , excellent . surprise large room . stay great room feel like suite . the in- house restaurant , include Scarlett , excellent , like dark , chill lounge type setting . service restaurant throughout hotel fantastic- staff able provide we information English arrange tour require . Bear mind also Hotel 's official address actually main road nearby , hotel alley road . landmark , tell cab driver Worker 's Gymnasium Worker 's Stadium . there 2 thing prevent hotel get excellent rating1 ) hotel smack subway station . mean 20 minute brisk walk near station . be come luggage , not even think take train . 2 ) boutique hotel , facility small gym , business centre roof garden . guest young child may trouble keeping occupy . 
 Sep 23 2009 	 great boutique hotel 	 book room ( Great Room ) www.agoda.com get great deal breakfast include ( total = ~ US $ 115 / night ) . hotel excellent staff good assist ; english excellent language never problem . room spacious funky . & quot ; choose & quot ; color light bedroom window night , one strange fun pleasure stay . bed super comfortable ; room service quick tasty . bathroom really big L'Occitane toiletry ( favorite ) bath shower . gym modern quite nice , not use . breakfast good lunch good well . cost food / drink reasonable . location hotel convenient walk distance many attraction . be fairly easy taxi find ; ever stuck , hotel always happy speak taxi driver . will definitely stay ! 
 Sep 22 2009 	 Hotel g stand Hotel Great although justice 	 Hotel g nothing short Brilliant quite simply good hotel stay . location whilst laneway aver 12 Yuan taxi ride main site shop . staff faultless desire help ensure great stay ( particularly Lisa , Bella Aaron front desk ) . english well hotel Shanghai Xian . food exception include breakfast late night snack . room sumptuous special moody decor comfortable bed pillow sleep ( would fit suitcase ) . review could write without mention hand management two Alex 's could make stay even memorable enjoyable . check hotel way hotel 
 Sep 22 2009 	 excellent - handy great service room match 	 great place - corporate traveller location , service essential . wlak nightclub , eat inhouse without rip , taxis door , excellent room - wothevery cent . 
 Sep 21 2009 	 Great First Bountique Hotel Experience China ! 	 good review Hotel G Tripadviser ture ! room unique ? big ? comfortable clean , service SUPER ! really feel like vip ! admit 's first time life greet hotel manager , Alex 's warm welcome not think stay another hotel Beijing . 
 Sep 19 2009 	 Unique hotel beijing - ' ve think everything Hotel g ! 	 stay Hotel g read Tripadvisor . first night honeymoon glad stay Hotel G. staff attentive without top . every little thing think - pillow menu , little sweet treat leave soom day , free internet etc . stay 4 different hotel China - others big chain ( Sheraton , Sofitel ) hotel g favourite . room big luxurious breakfast great - choose menu cook - much nice usual buffet get big hotel . location central although taxi driver sometimes trouble find - hotel give card small map 's much problem really . 
 Sep 14 2009 	 7 year live China good hotel experince country ! 	 arrival departure Hotel G staff service perfect . I ' ve live China past 7 year travel lot first second tier city . usually service catastrophe even 5 star hotel ... always find something say . staff can not right , least way would expect 5 star hotel . but hotel g experience . stay 4 day give plenty time disappointe still ... make fault performance ' m happy recomand traveler .... 
 Sep 14 2009 	 amazing boutique hotel ... hotel g nothing jaleous big 5 star chain ... 	 stay Hotel g couple day impress little boutique hotel . stylish charming , central amazing helpful staff delicious food . nothing negative say hotel could stay long would definitely extend stay . fair say come back HK 5 star hotel chain , highly deceive service offer compare Hotel G.I wish hotel brand could open everywhere . fan ! & quot ; HOTEL G tout un grand & quot ; 
 Sep 11 2009 	 one kind Beijing ~ kid friendly ~ Excellent Service 	 month long vacation China , stay two boutique hotel , URBN hotel Shanghai , hotel - G , excellent hardware service , never stay non - boutique hotel hotel good China ! please check review URBN hotel well going stay Shanghai . excellent room quality : - artistic design show furniture style , room color , window treatment , wall art , building material ... every tiny detail.- 2 iMac business center Skype instal , free internet- Free local calls- super comfy bed , yes , like sleep cloud . excellent service hospitality , definitely kid - friendly hotel.- breakfast resturaunt Scarlet joyful experience . greet new general manager Alex Chakrabarti every morning , vibrant , charming personality really give hotel warmth character . hotel would memorable without . travel toddler baby , nice kid , talk play daughter much laugh . one day chocolate moose send room kid . introduce collegue we , make we feel good stay top priority . would rate hotel - g high URBN hotel reason . breakfast wonderful , variety warm food menu range western cantonese , also self - serve cold bar include thing kid love , cereal , yogurt , milk , fruit , cheese .... service unbelievable , would warm baby milk without ask , Lisa , every morning , would come wipe dirty spot every time baby drop food throw food floor , know feel embarrassed resturaunt kid messy , make we feel comfortable , go way serve we , definitely see U.S. - Upon arrival , think coffee table middle room round glass table hazardous young child , call , come quickly remove them.- check - in , send pet fish bowl room kid ! nice little personal touch make stay memorable , sure will not get treatment 5 - star chain hotel . location good : - make sure check XiuShui Silk Market 10 - min taxi away- 798 Art Zone 10 - 15 min taxi ride , modern art , make sure check . - pizza resturaunt step road good place quick bite . ask anything could well : - water shower little hard adjust , little sensitive.- bell boy could smile little informative . first day , ask bell boy know good place quick bite , recommend resturuant across hotel , turn fancy pricey place nothing menu kid . next day , eat pizza place step road , turn right come hotel , pizza place nicely decorate western country place , pizza authentic , not go wrong rmb 100 feed 3 adult toddler . - arrive , staff front desk , guest , not busy , chat giggle , could make guest uncomfortable familiar chinese culture . - would nice ramp front entrance stroller wheelchair . overall , be one good hotel ever stay , stay next time Beijing family . highly recommend everyone read . 
 Sep 9 2009 	 affordable luxury attentive staff 	 tonight 's last night Hotel G- sadly husband move sample delight China ! say sadly- ' ve enjoy Beijing particularly Hotel g much . honeymoon give real vip welcome- complete floor candle light suite etc arrival heart - shape collection rose petal bed . room huge- expect Beijing well equip mod cons- air conditioning , free - wifi ( ' m use moment ) , plasma tv , big bathroom bath shower , lovely l'occitane bath body product , big comfy 6 ft wide bed . place think everything- able hire Nintendo Wis / dvd & quot ; pillow menu & quot ; - include one help sleep , also abillity choose colour light window ( probably look impressive see outside ) .We ' ve eat lovely breakfast daily hotel- room rate include choice breakfast - english style cook , chinese noodle + freshly squeeze juice choice hot drink . we also take advantage meal offer Sunday night- 50 % total bill dinner drinks- lovely meal great service- despite we arrive 20mins rate end ! staff attentive nothing seem much trouble- help we organise trip include driver day go great Wall- much flexible option tour bus would got spend long . ( husband 's collapse heap go bit along , hence time type ! ) Alex Chakrabaty , general manager seem make point introduce guest obviously key well thing run appear genuinely keen customer enjoy stay , top tip travel hotel near future trip taxi cost 150yuan / RMB ( local currency ) - manage queue designate taxi rank still get dodgy taxi- guide someone uniform ! make sure get one look like others- ( seem yellow+ another colour ) give receipt end journey - ask price high - could pop hotel double check ! would definitely try stay hotel if / when visit Beijing . seem like reasonable rate , get top rate hotel stay ! 
 Sep 7 2009 	 stay one week highly recommend Hotel G ! 	 stay Hotel G one week , business trip . room great , plenty high tech amenity , fabulous bathroom wonderful bedding . ' m glad choose Hotel G generic hotel chain ( Westin , etc ) offer throughout Beijing . place plenty character staff could pleasant accommodate . 
 Sep 3 2009 	 Best Hotel ' ever 	 business stay Hotel g every weekend three straight month . every stay unique experience excellent food , atmosphere good service ' find hotel . the room bathroom huge bed impressive even well bed home . the restaurant , Scarlet , ' great place relax hard day work excellent food drink . last least , thank staff , treat like guest hotel . 
 Sep 2 2009 	 Unique funky style excellent service 	 husband stay week friend . visit Beijing Viet Nam , look boutique hotel modern . confusion booking upon check - in , hotel staff upgrade we great room . great thing mention : - attentive staff - quality service . - spacious room - even spacious TV- enjoy nice drink pool table play sticknotable addition : - complimentary late afternoon snack deliver roomsdarle general manager treat we restaurant - Scarlet - become one memorable event Beijing husband . also give we great opportunity meet colleague - international staff local staff . seem we many staff meet actually enjoy work . Great Dinner China - call . usual facsimile four five star hotel . Funky Personal . exactly look - really hit spot ! 
 Aug 28 2009 	 over - rate 	 stay many recommendation - check , hotel empty . restaurant keep read much closed . service disappointing . cost , could easily stay many hotel Beijing - 's lot offer right 
 Aug 26 2009 	 good extended stay ...... 	 .... say , think . world trip 26 hotel experience already , enjoy everything unique hotel . huge room bathroom well ( important wife ) , stylish super clean , restaurant always lively good atmosphere around food , espec . breakfast tasty fair price . forget helpful friendly stuff satisfy wish even mention last Alex , General Manager , always present one day time manage hotel perfection . feel people work hotel like job make guest feel comfortable happy . do acceptionaly well . good luck carry way . Ernst Rena , Australia / Austria 
 Aug 14 2009 	 can not give place high enough rating ! ! ! ! 	 ' ve stay alot hotel year holiday inns hilton , ' ve never stay hotel great hotel G. will start review service , amazing staff honest genuinely care customer . staff friendly always help will even go well way help , case one guy get sick , ask direction english speak hospital , hotel give we direction also send we receptionist help translate incase level english not good hospital . hotel would ? ? ! ! service great , hotel . look night look mad ! ! light window look amazing dose not stop reception area modern retro furniture , restaraunt look great ! ! best part though room . not disapoint bathroom huge bed comfortable room great styling . buisness centre small well lay gym . roof top terrace also nice make nice relax area drink ! ! hotel location great right beside worker stadium 5minute taxi ride silk market cost 10rmb whcih 1EURO ! ! ! ! hotel fairly central main attraction beijing offer not far away . want go great wall hotel provide special taxi take wait ready leave ( another great service ) food hotel great ate restaraunt twice time fantastic well price . room service menu great order alot . well price fairly quick . finally thank million Alex Gm Tiger make stay hotel g amazing ! 
