Great 	 two interconnect room 4 night . lovely hotel great location . room smart well appoint . room service twice day . Lobby impressive however shop lobby two basement floor niche / expensive . breakfast good restaurant nicely decorate . fortunately include package else RMB240 each . have dinner restaurant however average limited menu selection feel . swimming pool lovely always empty . temp nice warm plenty towel etc provide chair . good Wi Fi coverage room - Complimentary - wish hotel . 
 luxurious great value ! ! 	 stay Peninsula classmate sightseeing around Beijing . location amazing look night market around corner fastfood place like Mcdonalds KFC . great window shopping international brand boutique hotel lobby , amazing breakfast ! ! hotel staff good english speaker ( rare Beijing ) friendly . lot personal touch like note leave room hotel , even complimentary cake anyone celebrate birthday stay Peninsula ... would reccomend hotel anyone look amazing time Beijing ! ! 
 Jul 6 2009 	 old classic luxurious dependable ever 	 stay 4 night June get excellent rate via British Airways website . first stay Peninsula Palace Hotel 9 year ago back many time . despite huge growth number international 5 - star hotel Beijing , grand hotel still one good . understand hotel rank top 3 Beijing . service impeccable ever . staff restaurant breakfast attentive efficient . buffet breakfast excellent many choice . room comfortable , although without expansive view ( room look neighbouring office building ) . chinese restaurant hotel one good city . location Peninsula beat , minute department store Wangfujiang minute away taxi Forbidden City . supermarket around corner snack bottled drink want use expensive minibar room . across road 2 new hotel i.e . Regent Legendale . hotel look good although make comparison stay either . Peninsula excellent choice safe bet want comfortable hotel prove great service excellent location . high end mall ( e.g . Chanel , Gucci etc ) basement level hotel although usually empty shopper . note - hotel locate area 5 - star hotel , therefore abound & quot ; wealthy traveller & quot ; chinese standard , likely approach young woman offering & quot ; massage service & quot ; go walk evening . pretty harmless worth aware . would definitely recommend hotel come back , despite competition . 
 Jun 21 2009 	 luxurious perfect biz trip lack personality 	 definitely 5 star hotel nice room top notch service . go back work , would definitely stay . however , go Beijing fun , might little boring . feel luxe , complete high - end shopping mall build right . suppose hope bit old school Peninsula . 
 Jun 16 2009 	 nice fancy lack something 	 Excellent service ; great breakfast ; amazing spa - world . room smallish something lack place . think memorable place exist less money . 
 Jun 14 2009 	 Classy hotel 	 Peninsula hotel famous world pretty expensive . , find one cheap orientaltravel.com site . around 120 usd , something like . not remember . room great , view ... hotel excellent , reception floor two floor luxorious shopping centre designer shop ... sure Peninsula one good hotel Beijing ... 
 Jun 9 2009 	 top usual 	 staff great ; room fine ; service excellent . shop hotel & quot ; ai not & quot ; bad either . the location convenient sightseeing . like hotel ! ! 
 Jun 1 2009 	 Peninsula Class - great trip Beijing 	 fabulous trip Beijing . level experience expect Peninsula deliver - . friendly staff . order Yang Zhou fry rice midnight ( hour cantonese restraunt close ) , friendly man end phone get hold someone overnight dining kitchen make variant fry rice ( admit would not & quot ; original & quot ; ) good ! ! overall well appoint hotel , great spa , good pool ( though heat , temp . keep high ) prompt service ( housekeeping well room dining ) 
 May 4 2009 	 excellent value money would stay every time 	 first Peninsula warn would not match lofty standard sister hotel New York Hong Kong . not comparison compare stay Four season Shanghai Peninsula beat marginally despite lot old . staff genuinely friendly appreciated guest officer take we mini tour room . love amenity provide well bathrobe bed . wide variety breakfast , sufficient satisfy craving , really felt welcome everywhere go . afternoon tea Peninsula ( provide part Winter Escapade package ) , good , although quite glamorous Hong Kong counterpart . one good thing hotel provide complimentary high speed internet access room - high time hotel follow example stop charge arm leg internet service . would not hesitate recommend property anyone . 
 Apr 20 2009 	 great time afterward ... 	 book winter special package overnight stay mid - December . fly Beijing one night business - relate event , love service . CNY 1300 , standard room , plus free breakfast , round - trip ( one - way , round - trip ) airport transfer one new BMW 7 - Series . large sign person hotel uniform waiting airport , take bag call car pull around . short ride , upon pull hotel full staff people stand outside ( December cold ) arrival . one open car door , one bag , one open hotel door , one take straight room check - in ( front desk ) . room , relaxed , go pool clothe / shoe preppe evening , enjoy take swim . pool attendant lay towel , bring bottled water , would walk along side pool swimming lap , little strange stranger watch swim back forth . come back evening attire ready lay room , go evening event . next day , wake go breakfast ( also include ) wow selection quality offering , thoroughly please stuffed . car service upon departure airport . know Beijing ( use live , Shanghai ) know taxi Wangfujing area airport 100 yuan , RT limo service save 200 Yuan would otherwise force spend . ( find afterward standard fee limo service usually CNY800 one - way ) plus free breakfast , free internet , free press shoe shine , feel like steal pay , service nice whole time . two complaint though ( one small , big ) , first room small side , really feel could bit big , tastefully decorate relatively modern ( 42 - inch plasma ) . walk room kind - of like & quot ; ? & quot ; reaction . second billing . give credit card room guarantee , pay cash . usually guarantee ( least experience ) use minibar charge leave something un - settle go . evening leave , find charge credit card room ( plus extra ) , even though bill pay full , cash , upon departure , wait 2 week take charge . un - happy learn , especially since credit card charge actual bill ( almost US $ 100 ) . embarrass go use card tell not enough balance ( could not think anything actually purchase ) , upon logging account see charge card Peninsula Beijing , ' m hold bill say pay full , cash . kind - of ruin great feeling leave hotel . hotel nice experience , still not understand billing office . 
 Mar 30 2009 	 Lovely stay 	 spend 3 day hotel . room quite large . tv bathroom nice touch . free internet convenient . location good . read another review , seem opposite feel ... prove great value tripadvisor . find room clean , service spectacular . the mood lighting room pleasant . hotel bit stuffy high end shop , still relax feel . bar Lobby great , snack give drink ... nice touch . front desk concierge , assist greatly provide direction , make reservation , translate bit chinese I . the Spa hand WAY rate ! beatuiful , nice facility , price sure could find one price double time . do not like trying sell one product .. especially relax time . want buy something , will ask ... do not try sell . end , typical hotel massage . the breakfast buffet truly huge amazing . pretty much everything would want , will make . worth price , even though may seem steep . skip lunch 3 day cos full breakfast ... eliminate lunch bill . essentially will not save anything ... will not end spending either . we arrange cab ... thru hotel , , translation help doorman , trip Mutianyu section wall . first quote 900RMB , coutere 600 , price accept . price , go wall , olympic venue , hou hai area . also next day use cabbie day rate 500 rmb ... driver 9hrs . perfect.ok ... back hotel . prior trip , email correspondence prompt . 
 Mar 23 2009 	 ok Hotel terribly poor service poorly manage 	 ' ve stay hotel past winter business trip . traditionally , ' ve stay Grand Hyatt , China New World , brand new Regent hotel ( Olympics ) . 3rd time stay first time least 6 - 7 year . first , pro : good location access wangfuje shop . 's 10 minute walk wangfuje 25 - 30 minute walk Tiananmen square . location important good location . room good , main room nice acceptable standard . dining facility good . con : outdated bathroom . terribly expensive good value . big issue poor , slow service . staff slow , understand need prompt service . example , request house - clean three time come room dry - cleaning get do conference . finally third call approximately 45 minute , finally come around . massive gripe poor management hotel . first , hotel way flexible hotel change . charge & quot ; no - show & quot ; fee since arrive one day system say suppose arrive . either corporate travel 's error Peninsula 's error ask Peninsula 's front desk address issue , receive & quot ; company policy & quot ; response . flexibility , hospitality . nothing . 's welcome feeling get say staff throughout hotel welcoming could not see way rest trip . upon two occassion two different breakfast , observe two different caucasian department head ( think one chef one manager ) berate chinese staff performance . may fine private setting , two manager publicly EMBARASSING DISGRACEFUL manner never accept . public disparaging remark two manager unacceptable make we patron guest uncomfortable . upon second manager pull action , approach manager politely inform action create unpleasant atmosphere we . manager respond , & quot ; thank input . anything input need , will let know .. & quot ; aloof terse quite insulting . standard Peninsula suppose exhibit , fall short . see caucasian chef hotel manager berate staff public , hope speak mind well . 
 Feb 27 2009 	 LOVED hotel ! 	 son stay Peninsula Hotel , Beijing , December 2008 . spend time room intend weather bitterly cold . enjoy every minute . accommodation luxurious service superb . comforter , deep tub , temperature lighting control , bathroom amenity , . . . . three hotel restaurant outstanding , breakfast buffet well ever experience . awoke every morning look forward breakfast . not know hotel nice world , ' ve stay plenty ! 
 Feb 9 2009 	 Impeccible Service 	 last 3 year , stay property 4 time , return soon . also stay shangri - La Beijing , find location much well . room great , Executive Lounge perfect , food restaurant bit pricey , excellent . staff always anything could ask , highly reccomend hotel . 
 Jan 28 2009 	 good stay Peninsula .. ? ? 	 trip Beijing purely business , base recommendation previous experience Peninsula Bangkok opt Peninsula . must say , good hotel ( border great one time ) . service mark .. however , something ' miss ' . Peninsula Bangkok , least touch something ' inside ' . Peninsula Beijing good sometimes great , still fealt ' business ' . maybe part reason business district around hotel , really inspire much ... least . go grab taxi get anywhere ( fun ) . say ; vander around forbid city , shop Wangfujing etc great ... great mall stuff around ... look , may opt try something different next stay . , would really mind go back either .... 
 Nov 10 2008 	 's definitely grow 	 stay hotel twice last two month . first time overnight trip , perhaps notice drawback hotel - chiefly room size , design different age room ( early 1990 ) expect huge deluxe hotel like many today . not walk shower , instance , old standard - walk shower , albeit hard slide screen . hotel definitely old school certain age - Chanel Gucci store lobby . guess first time come , expect absolutely blow away different class hotel people might expect Peninsula . not case , little disappointed . however , stick recent visit early November , time , realistic expectation regular 5 star hotel , actually impressed . guess be quite like Peninsula Hong Kong Tokyo , hotel . hotel also totally different room tariff structure , be like many negative recent review pay US $ 300 night . the room actually attractively design , comfortable . bed wonderful , disagree previous reviewer breakfast buffet want . like chinese breakfast , major treat . congee condiment delicious many choice feel would need eat 3 night try everything . I loooove gym . machine state - of - the - art , decor beautiful , attendant would bring cold towel middle workout water would want , good iPod jack machine could plug without run battery down . and enough say location . people might like Grand Hyatt location well ( close Tiananmen ) feel Peninsula close attraction shop wangfuje surround street 's easy hop cab go anywhere . walk Great Hall People hotel one night take 20 minute ( brisk pace ) .The hotel go bowl . think service staff excellent attitude helpful . particularly may find competent concierge staff Pen Beijing . 
 Nov 4 2008 	 par service staff Peninsula .... 	 spend 5 night Peninsula Beijing get great rate room breakfast want safe comfortable place since first time Beijing . solid location , close everything . unfortunately first 24 hour bit unsettling . check deluxe room ( fancy name standard ) , comfortable . first toilet problem quickly fix . warn thing come . good evening yummy breakfast buffet . buffet , wait every morning go regardless time . one person seat guest line often back . could buffet breakfast ? ! obviously need review staff chart . seat , lot server unclear either . actually fill comment card since seem enough server inside refill coffee / tea either . honest , well service Sheraton Saigon Peninsula Beijing . Sheraton buffet put shame . ' m huge Starwood fan debate St. Regis tad far center wonder wish stick loyalty . figure Asia , Peninsula gold standard stay HK Peninsula . sadly wrong . benchmark , long way go ! breakfast day 1 , return room , clean . look change jean , quickly realize find ! luckily wear plane hotel , know somewhere , definitely long room . happy camper . husband go reception . paranoid computer , since fit tiny safe provide . first time , safe size shoe box . upon inform hotel resident manager , housekeeper come room . head housekeeping also show unsympathetic ( surprise , surprise , .... ) . spend hour talk circle translation track jean . miracliously , insisting find , housekeeper epiphany recover ........... another guest room . highly confused comfortable hotel . even go watch security video mystery jean go desk chair room another guest room remain mystery . end day , want jean back glad aggressive staff . sad , since miss first full morning first day Beijing . general manager arrive , apologize profusely promise we move we another floor . , want woman cleaning room go forward . upon return outing , move we suite large safe . day four stay , learn room actually access club floor . would nice know benefit soon . club floor highly unimpressive , especially since four staffer stand center greet continue converse among try figure available . make feel like invade club , versus service . highly bizarre . funny another colleague arrive floor go around help guest , continue socialize . highly unprofessional . I would never pay full price hotel . read early review hotel modern . facility room fine . issue staff service , typically differentiate Peninsula vs. competitor . sad .... Beijing , would highly recommend stay american chain , understand manage guest take guest ' possession . yes , still mystify disappearance jean . 
 Nov 1 2008 	 rename Pennysula hotel 	 suppose one good hotel Beijing , disappointed . reserve king size bed , instead give 2 double bed check . take almost 30 minute check we . tissue paper , tooth brush , supply room , run toilet paper norm , way , toilet paper hard poor quality , go get . yet , still provide 2 half roll time . go figure ! staff polite service cafe average . breakfast expensive food always . Breakfast rmb 250 + person , fresh squeeze orange juice , good egg omelete must price . juice dilute water , omelete oily tiny spoon ham mushroom , can not even taste cheese even though order double cheese . 2 day , go across street Novotel breakfast . 's cheap selection . novotel breakfast buffet RMB 149 + per person , not mind juice freshly squeeze price . chef make omlete exactly order , little oil lot ham , mushroom cheese . lunch Chinese Restaurant Penisula , could believe tiny portion . compare Grand Hyatt Beijing around corner , expensive hotel price . 
 Oct 30 2008 	 far price old facility poor service 	 Peninsula Beijing old tired . room small furniture old . bath shower one unit . bath dirty dark leak time . tile crack toilet mark . lift lobby ' carpet badly stain smelly . breakfast spread poor service bad . cold tea coffee serve cold day fight keep cutlery ' replace . bar waitress close - to- zero knowledge alcohol . gym poorly facilitated staff english ability . good surprise , asian looking , may get rude treatment european manager well ! Oct 2008 , forgo chance stay 5 - star corporate hotel Peninsula Beijing , formerly know Palace Hotel name good memory fifteen year ago . pay market rate usd $ 330 3 night . day arrival , airport pickup staff hold piece soft a4 paper vague print hotel logo , lazily stand far away arrival gate . Limo good provide survive 10 minute walk smoke crazy traffic whole car park .. reception open wrong room initially wait 30 minutest correct room book . , shock see five - star hotel sound reputation worldwide small old fashioned guest room . different many young 5 - star hotel rain shower separate bath , Peninsula 's traditional handheld shower build inside bath look dirty old difficult climb . Shower water leak run bathroom floor even screen shut . crack wall dirty dark mark inside toilet bowl . Room Service set welcome fruit plate look angry tip give . out 3 day stay queue breakfast 2 morning ! jing restaurant poor spread food staff speak little English . cold tea coffee serve time cutlery always take away without replace . presence restaurant manager 3 meal . lobby bar girl understand Bailey Ice tell drink . supervisor finally bring drink , come without ice . gym facility also poor backwards . treadmill 80 % channel play mute , dumb bell 1 assistant speak English . one interesting incident - walk staff 's area mistake get lose . european hotel manager interrogate ask identity room number escort rudely ! Peninsula Hotel Beijing general old tired . although expatriate management staff still hire manage hotel , traditional english management present way fashion . , charge far high old facility poor service . 
 Oct 12 2008 	 amazing Breakfast ! 	 Location hotel 5 min walk main shopping area around 15 min Forbidden City , around 20 min Tiananmen Square . hotel overall excellent price , room bit small small bathroom . also careful sippery floor bathroom - quite dangerous . price hotel may higher usual due paralympic hold Beijing . breakfast good thing stay ! amazing . wide variety western asian dish , cook front make order . generally good western style hotel . 
 Aug 27 2008 	 nice ......... 	 usual hotel Beijing full travel agent put we Peninsula . would expect establishment staff / service room impeccable whole place exude atmosphere luxury living . hotel also conveniently locate shopping / sightseeing . the downside though so - call Lobby Bar Jing restaurant . be difficult understand many hotel city think would wish relax drink whilst watch fellow guest check luggage trolley shuttle fro . really not wish sit reception whilst sip gin tonic surely dedicate separate bar would good idea . 's plenty room one alteration make deserted ( expensive ) shopping arcade low ground floor level . the hotel 's website record testimonial Conde Naste Traveller magazine suggest Jing restaurant & quot ; one world 's top 75 new restaurant & quot ; . people Conde Naste really get bit statement true ' m banana ! dinner breakfast Jing ( latter could not believe breakfast could bad - ) . bland ( Beijing standard ) expensive little inspiration surely principal idea & quot ; fusion & quot ; restaurant . do give hotel go 'd book restaurant outside . 
 Aug 26 2008 	 love Peninsular 	 take long exciting tour around China , take usual site , return Beijing saty Peninsular celebrate wedding anniversary . disapointe , room lovely ( club room ) . club lounge excellent check departure . infact good tear away venture side . would recomend hotel service excellent . 
 Aug 17 2008 	 Loved Hotel 	 wonderful week , close fantastic shopping street , arrive day olympic torch arrive . People could not nice , Jing fab food meeting Americans . our stay include visit Forbidden City , Great Wall , Summer Place lunch one wonderous restaurant waiter waitress dress Emperor Empress , plus food great . next stop Xian . 
 Aug 17 2008 	 Olympic Gold 	 stay 5 night run - up Olympics corporate sponsor take major property Games . your reviewer comment age hotel car fleet . well , brand new BMW 7 Series augment couple long wheel base Rolls Royce Phantoms British Racing Green , make pleasant airport transfer . we stay one Beijing suit one high floor . Suite large , well furnish equipped . excellent standard housekeeping overall good place relax recover oppressive heat drain humidity . suite give access Club Lounge well serve friendly polite staff . spa run espa good strong chinese traditional massage . pool respectable 18 metre benefit daylight . Clean well tend . the Huang Ting Chinese restaurant excellent friendly service delicious dim sum lunch addictive Peking Duck well ever eat . enjoy Lobby Bar buzzy first class jazz trio late evening . lychee martinis delicious . yes , populate every luxury brand outlet include Harry Winston , perhaps bit high - end mall clearly cement status Grande Dame high end hotel Beijing . location real winner , walk distance Tiananmen Forbidden City doormen helpful provide direction taxi driver less well know site Beijing 's interesting mosque . in city plenty competition custom , Peninsula deliver term service , continuous investment attention detail . other last marathon . 
 Jul 19 2008 	 great stay 	 friend stay Peninsula Beijing 3 night May 2008 . first stop three week trip throughout Asia Peninsula Beijing set pretty high standard rest accommodation live . although bathroom not luxurious find Peninsula property , hotel many outstanding amenity . check -in quite fast efficient . check - in person incredibly helpful . kind enough exchange dollar drop bag hail we cab could hit nightlife get late . the hotel lobby nice low level quite shopping selection ( high - end boutique : Louis Vitton , Cartier , et al ) . lobby bar seem bit place nevertheless fun . one night even jazz flute ! breakfast great room service . the negative notice airport transfer service . car take quite old , wear date . other , Peninsula Beijing great location provide wonderful amenity . quite luxurious Beverly Hills location Hong Kong location , Beijing , be high end . 
