Location 	 great location great service comfortable bed ever . stay hotel 2 night August great hotel . staff helpful attentive . dine restaurant dinner breakfast could fault either occasion . would recommend hotel family friend . 
 Aug 19 2009 	 Great Location Service NYC 	 say enough great thing hotel . prior stay Essex House , stay Sofitel , Palace Empire . stay Essex House par exceed stay Palace blow hotel away . people work warm helpful . check we several time stay seem genuinely happy rare day hospitality industry . stay one suite , perfect travel 2 young child . room 1.5 bathroom , bedroom large flat screen tv separate living room sofa bed , another television desk . 37th floor hear outside noise . location great , directly accross Central Park , convenient Columbus Circle 5th Avenue . definitely top hotel choice return NYC . 
 Aug 15 2009 	 one affordable hotel Central Park 	 comfortable stay last evening New York . location second none -- directly across Central Park . hotel claim location , certainly one affordable among they . the room larger expect , lovely surprise . nicely decorate thoughtfully lay , lot desk space business traveler . lobby pretty , could see photo . their restaurant real stand . South Gate restaurant phenomenal . food imaginative . beautifully present delicious . waiter absolute gem . wish think ask name , really commend . gift certificate meal , expect service may level pay client might . pleasingly , completely wrong . service quick , efficient personable ( see review , personable service get high mark ) . level service carry hotel . concierge fine quick question , front desk / bell staff less helpful . package suppose leave front desk . inquire , idea talk . instead take initiative try help track , send concierge , also not , send bell desk ask . would much impressed first person simply say & quot ; not , let help find & quot ; rather say & quot ; go ask . try & quot ; .also , check lovely woman hotel help we bag car . , one bellman came actually argue front we carry bag whose job . find little off - putting . yes , may job carry bag , not help first place , glad someone take initiative rather fuss it . all , would certainly return Essex House . love hotel , exception small niggle service . 
 Aug 14 2009 	 Excellent stay good service NYC 	 do ton business travel New York year never find hotel really set apart . Essex . think ' ve stay dozen hotel adequate service , other mediocre . Essex , love service unusual graciousness . location central park south perfect . room nice . room service really great . find place always try stay future . include one small nit -- colleague travel give room unfortunately expose construction noise start really early hour morning . move right away . 
 Aug 3 2009 	 Bad service 	 service hotel null huge disappointment compare Jumeirah legacy service Dubai ( Emirates Towers ) London ( Carlton Tower ) . service lack efficiency detail - orientation . bad Jumeirah ... 
 Jul 20 2009 	 impressed 	 notice review hotel not good think thought . great location . beautiful room spacious . bedroom lack atmosphere tick box comfort . not use restaurant way pricey we would recommend Thomas Keller deli breakfast 5 minute walk away . recommend location comfort . 
 Jul 19 2009 	 far complacent trading Jumeirah reputation fall short Jumeirah standard 	 find somewhere less pretentious welcoming ........... easy budget stay Essex House 
 Jul 15 2009 	 rate way high 	 great hotel unbeatable location - right across middle central park . ' ve stay twice love . staff incredibly friendly , bar make great drink great place plan end day . bed incredibly comfy cover immaculate white linen , room spacious . criticism fan bathroom coffee maker . even well - equipt workout room water , fruit , ice , New York Times free everyday . stay good deal , like , top 10 hotel nyc 
 Jun 29 2009 	 beautiful hotel great location 	 unfortunately arrive right check - in ( 3 p.m. ) slow . staff friendly , though , think issue people problem room ( room type want available , etc . ) .Our room 8th floor view . stylishly decorate spacious , especially NYC standard . motion - sensor light bedside table , become rather annoying pretty quickly . one not seem work properly never turn unplugged . feature much convenient bathroom . love full - length mirror inside closet ; wish hotel . rate room pretty reasonable , park outrageous $ 65 / day . plenty much cheap garage within walking distance . also $ 15 / day fee wi - fi access bit steep ... room service price ridiculous . , plenty nice restaurant area much reasonable price . 
 Jun 25 2009 	 weak wifi 	 charge fifteen dollar room internet access yet signal weak use . eventually go Starbucks road check email . sound like minor point expensive , prime site hotel catering business community . lof work real handicap . also charge eighteen dollar tepid , room - service cocoa . know 's hotel 's fault noisy construction work outside window make difficult work . rest hotel fine . 
 Jun 17 2009 	 Fantastic Hotel 	 come New York friend get married end May . hotel location second none directly opposite Central Park close 5th Avenue Broadway . upgrade central park suite large apartment . comfortable bed furnishing superb view 33rd floor . staff friendly bend backwards help . tip would use 24hour deli 58th street back door hotel coffee , Breakfast snack hotel breakfast seem expensive get . 
 Jun 11 2009 	 wonderful 	 nice luxury hotel . pricey really great location across street central park close Columbus Circle ( delicious Jamba Juice ) . everyone good time . minus stuffy employee . snobby type attitude . 
 Jun 8 2009 	 expensive good location 	 young family suite , room service exensive slowna glass warm milk child £ 13 come 1 hr , cappucino £ 18 ! ! , good job there s 24 hr starbuck nearby , great location central park 5th , smart clean room , concierge helpful loan we stroller doormen brilliant . 
 Jun 2 2009 	 love vamp modern look 	 stay 5 day book 2 suite overlook central park . room furbish delightfully . son love phone panel could control light ac everything ! hi - tech ! ! choose room 3rd floor make we feel close park feel homely . concierge efficient helpful- book restaurant car . south gate restaurant good , though breakfast . room service great waiter need lesson smile warm ! overall , great experience ! would want stay hotel new york ! ! 
 Jun 2 2009 	 amazing room spa 	 besides fab location . central park walk across columbus circle fiffth avenue .The spa service definite reccommend . something absic nail beautifully facial must.we peak winter good time indoor gym spa besides easy access spot 
 May 31 2009 	 Location location clean 	 family book four room 4 night , include large suite . service good . breakfast bring room promptly excellent . valet bust bun hail taxi every time need one , though wait sometimes quite long . NY Times wait outside door morning . room clean , somewhat cramp small . sufficient easily accessible electrical outlet laptop . refrigerator pack item want room leftover . move item frig , make room leftover , charge item move . issue rectify simple complaint account credit . comment hotel restaurant eat . overall , stay acceptable , especially consider prime location Central Park . 
 May 19 2009 	 great stay - eventually ! 	 famous hotel . keen stay . book trip NYC ( first ) birthday surprise partner . decide would spend money good hotel . not disappointed . hotel fantastic location , overlook Central Park . room 35 floor view could spectacular . service area hotel exceptional , little aloof . review use word eventually dissappointment first day . book park view room small expense . check give room 5th floor . height even see tree line . expect . tell front desk unacceptable bit to - ing fro - ing give high room . issue room cleanliness . room clean . clean would expect . dust surface never remove point could write name . management deal complaint efficiently great humility . would hesitate recommend hotel anyone . great first NYC hotel return . 
 May 3 2009 	 one Best NYC hotel 	 yearly spring trip New York City , decide splurge stay Essex House . love stay Central Park South convenience able find somewhat discount rate hotel . respect , NYC hotel price aside hotel fabulous . room immaculate , unfortunately sometimes issue issue even high end NYC hotel , much city . Decor modern update fabulous bathroom - test wonderul hotel experience . return hotel , live reputation . 
 May 2 2009 	 sloppy service nothing special charge item receive 	 husband book one night anniversary . make reservation request bottle champagne room check - in . course get hotel ( on - time might add ) room ready request wine available . leave pretty quickly arrive since early dinner reservation show , way ask champagne cancel . naturally , get back room later night , wait warm bottle unopened champagne mushy - look cheese platter . call immediately ask take away charge , assure would taken care . get bill American Express later month , charge still . American Express could resolve issue , hotel refuse remove . still piss since look copy receipt clear someone else sign slip since name spell wrong . hotel go way quality since sale Jumeirah group never stay . 
 Apr 29 2009 	 friendly staff centrally locate good sized room . 	 staff Jumeriah conscientious meeting need ( double bed , quiet room ) go way show we several room make decision . we book ahead two three week , able secure fair rate NYC give location hotel rating . book last minute , rate easily twice pay . the room quite nice size accommodate two good sized bed , desk , chaise lounge decent sized bathroom . everything do relatively tastefully ( marble bath , one piece toilet , comforter , low voltage lighting , flat screen television ) , ' m bit stickler detail 's ' m able provide absolute glow review . opinion , quality renovation not great ( sloppy workmanship within room ) bath sink not drain well housekeeping issue ( cake dirt corner bathroom addition bit dust ) . suspect would switch room ask housekeep clean thoroughly bring attention , go not get undie bundle time . typically would say something , let slide . not take advantage bar spa , be available be inclined . entrance bar look quite nice lobby , not time sneak in . I would consider go back could get decent rate . course , money not issue would look option . 
 Apr 28 2009 	 Served need well . nothing steal . 	 stay , last minute , two night attend funeral . Booked flight+hotel via American Express , less $ 800 air two night Nashville . less two day ' notice . less airfare alone book separately . ( check Amex , you all , package . ) ask , front desk upgrade queen king room extra cost . room typical NYC size , big , clean modern build - in everything . bathroom one goofy salad - bowl sink , translucent salmon color ! whatever ! flat screen tv enormous . bed fresh supercomfortable . wifi cost $ full - strength connection , though functional . 11th floor room overlook 58th street full - out construction site ground level . low floor might bummer -- truck backhoe day long . ( quiet night . ) put laptop , camera , iPod inside room safe , punch little secret code , nobody steal anything day long , two day . ' m sorry people thing steal , not understand people leave valuable hotel provide safe . room service ridiculously overprice : $ 19 Mediterranean salad net $ 37 extra delivery / service charge . would eaten oatmeal soap have pay attention well . I ' m crazy Central Park South location -- horse across street make kind sad , wait patiently carriage . lovely park right , however . quieter street , prefer . trip , hotel completely satisfactory . 
 Apr 28 2009 	 good quality location vs price ratio NYC 	 sorry hear robbery report , since spend recently 5 night wife good experience . location undoubtedly good NYC , close every attraction trendy spot except perhaps Battery Park area . staff attitude good , wich New York like say outstanding , ( exception rude doorman , everyone else good excellent job need ) restaurant Bar Michelin star quality , room nice rate ask lobby area also great . I frequent traveler use stay 5 4 star Hotels often , could agree Hotel probably 5 star , indeed good 4.5 star , rate charge 5 star rate either , kind location room find anything close term dayly rate . definitely find good Hotel regardless rate , put rate equation , say Hotel must want spend 350 usd night . 
 Apr 13 2009 	 Perfect Midtown West Hotel 	 ' ve historically stay different hotel time visit NYC ( Four Seasons , New York Palace , Sofitel , Plaza , Parker Meridien , blakely , etc . ) , last two time ' ve stay Essex House continue future . fact , reservation family stay next month . last month wife stay Essex Suite kid stay Essex Double , room excellent ! double huge NYC standard Essex Suite absolutely enormous ( four we could easily fit ) . stay basic king size room Essex House year ago room small double still incredible room . room extremely tasteful clean new furnishing , comfortable bed , incredible array gadget room , marble bathroom , high end toiletry , etc . also , room extremely quiet ( muffled traffic noise outside ) . complaint cost breakfast restaurant bit steep . however , great thing area town multiple reasonably price restaurant couple block away . usually stay Ritz Four Seasons city hotel price range New York . Essex House excellent alternative . 
 Apr 4 2009 	 stay value possesion ! ! 	 really look forward stay , within day wife jewelry steal room maid hotel management not bother . local Police department say get report time theft room hotel . the jewelry not valuable - hundred dollar - sentimental value good hotel could get insurer write we say ' get lost' . we will not go back . 
 Mar 28 2009 	 Perfect 	 husband & amp ; stay Jumeriah hotel last year . say enough hotel staff , location , decor etc . upgrade Park view room upon arrival . arrive early morning check - in straight away . stay seven different hotel New York recent year none compare Jumeriah . celebrate special event want splurge bit luxury definitely place worth consider . Hint - stay hotel car would take destination within certain mileage free - ask front desk . improvement would say room could slightly large ( luxury hotel ) - , New York ! 
 Mar 28 2009 	 Advertised Management horrible 	 NY business plan family ( husband 2 girl , age 7 3 ) meet Friday could spend weekend NY . learn past experience regular hotel room suit need , generally book suit 2 room . stay , originally book one bedroom suite different hotel day plan stay decide check rate NY hotel stay past . stay Essex House many time part Westin chain stay one time right Jumeirah acquire always good experience . Essex House website advertise & quot ; junior suite & quot ; bedroom separate living area sofa bed price one bedroom suite hotel . since love location Essex House , expect give website 's description room would suitable , cancel original reservation book Essex House . check alone Friday , surprised see young -- inexperienced -- staff check . go room discover suite separate bedroom -- regular hotel room . call guest service request proper suite , tell nothing available . go front desk speak someone person , tell room available . ask speak manager . point family arrive . 10 - 15 minute , twenty - something heavily accented man introduce & quot ; day manger & quot ; meet . proceed argue 20 minute -- front family guest -- whether hotel 's description room website incorrect -- insisted & quot ; bedroom & quot ; mean separate room bed . tell displeased expected hotel make accommodation ( e.g. , suitable room , comp parking give we restaurant credit ) . tell hotel would & quot ; wrong & quot ; hotel wrong . ask speak another manager another 15 minute later greet equally youthful & quot ; night manager & quot ; pleasant day manager , echo could make accommodation hotel wrong believe hotel wrong . would & quot ; personally & quot ; offer we extended check . emphasize accommodation offer personally behalf Essex House ( ? ) light dawn -- Jumeirah must corporate policy giving accommodation guest hotel fault , must instruct employee always dispute guest 's allegation hotel fault . hospitality ? hardly . one unpleasant frustrating experience ever hotel . never stay Essex House continue own Jumeirah . 
 Mar 5 2009 	 stay . 	 Jumeirrah Essex House Hotel great art deco building look Central Park , room hotel totally redecorate since simply Essex House . we room 2806 3714 recommend , ( see photo ) .this hotel cheap , $ 40 breakfast , $ 40 afternoon tea etc service second none , not go want cheap N / Y city break . I find good way book deal booking department , , get contact name , phone American Express finalise booking , way get free Continental breakfast , late 4 pm checkout possible room upgrade . the whole point hotel stunning view get front hotel , good room floor 19 , get cheap deal chance floor , look onto courtyard . floor 19 thru 40 lift access . high floor stunning city view , actually interesting park view . high room brass telescope pass time look skyscrapper . book ask Central Park view sure ask room direct view central park , idea park view also side room would get stiff neck try twist head see park , ask right question . room 3714 great ice rink park view city view . the hotel could possibly well situate , close Columbus Circle , Broadway , 5th Avenue , Central Park , Museum Mile , Maddison Avenue etc . the hotel Black limos use first come first serve basis , ask driver , much ? ask whatever think fair , give $ 10 , go 10 block hotel . service great everyone hotel especially Housekeeping , breakfast staff really knowledgable concierge . the room simple comfortable , huge television automatic everything , well stock minibar prohibitive price . look foreward go back Essex House hotel , familly get together one week great place get back relax really tiring day Big Apple . 
 Mar 4 2009 	 wonderful location parking lot view 	 guess get pay . end hotel unexpectedly via Priceline bidding . & quot ; upgrade & quot ; king room overlook empty lot rear hotel low floor . obviously can not expect much booking via priceline . room average size new york hotel . room also average class opinion . location excellent . walk almost everywhere . would not happy much pay ( least back lot room ) $ 200 / night great New York hotel . 
 Feb 23 2009 	 good Room Great feature 	 Room bit small side especially th Bathroom esle nice . staff good great security . pizza guy escort room . love gadget location . phone control light temp room . tv sweet 42 & quot ; Plasma great . shine shoe well . great Art Deco Touches . 
 Feb 22 2009 	 Hotel ! ! 	 hotel beautiful ! location wonderful . step outside face Central Park . room could see ice skater pond . the room comfortable 2 double bed , tv lot channel choose . room clean well equip bathroom . we 18th floor view die . lobby marble look elegant . staying make feel important . the front house staff friendly proffesional lovely doorman . thoroughly recommend come , hope ! 
 Feb 20 2009 	 Close Museum Mile 	 stay long weekend . arrival quick smooth , staff nice helpful . the room central park king room . nice lighting , hdtv , turn service . never see maid , everything keep clean tidy . have nice stay , would . 
 Feb 9 2009 	 Great Location solid choice visitor business person . 	 second visit Essex House last 2 year . Native New Yorkers live New Jersey tend picky come rare stay NYC Hotel . quality price , not think get well hotel well location . book Essex King $ 275 / night . year ago thing room $ 375 / night . Essex House offer $ 29 upgrade basis availability check . take upgrade Manhattan View room quite nice sunny Courtyard face room . really great bed delicous sheet pillow . one reason pick hotel great bed . also enjoy Phillips HD Flatscreen . bathroom well last room stay . mold around grout tub , shower water pressure great . bathroom need little TLC . two minor complaint . lighting room ambitious , silly . setting mood need manual figure . take 10 minute turn light . control phone touch screen pad quite complicated . like special small floor light go walk come handy late night . last two complaint hear people 's shower / plumbing running wall , elevator chime everytime door open . otherwise NYC room quite large well design , hotel excellent location . even walk home theater . drive beware . $ 55 valet ! would suggest hotel family person want great NY location feel old NY Luxury . 
 Feb 6 2009 	 Nice Rooms 	 business meeting New York stay Essex House advice travel agent . hotel pretty nice , mood light fantastic room modern . serve purpose need serve , heat lighted bar closet pretty nice well . three relatively small issue , well , would hotel 5 - star review . first , incredible draft come window room . cold person , 10f difference bathroom side window side significant . second , fan bathroom , window steam anyone ' number two ' bathroom get benefit smell adequate diffusion occur . finally , tub look like put 80 's although clean , still look old place . deep soaker tub would really nice . 
 Feb 3 2009 	 love breakfast 	 suite ( cca 100sqm ) 27th floor ( Manhattan view ) 470usd per night overprice Manhattan . twice , , offer complementary upgrade junior real suite . check - in fast , suite everything 's part standard . want watch dvds , problem get player . would say small detail room require refurbishment ( window especially ) . breakfast amazing . berry .... really , really fresh , feel like Iam middle hot summer . fish selection ( tuna , salmon , trout , makrela , etc ) tasty . try restaurant , obviously adverise good town . pricey ( entree , main course , dessert , 2 glass table wine ) 230usd 2 . expensive nothing extra . good excellent . 
 Jan 26 2009 	 first stay NY 	 ` return Jumeirah Essex . we problem check in . the room clean andcomfortable . we essex junior suit . only one problem thatyou ` watch tv sofa bed , one armchair opposite tv.the staff friendly polite . the concierge helpful . the breakfast good . I like breakfast viewof Central Park . room service ok.they make mistake order butafter good . maybe problem english . fromukraine . great location . it first trip USA . NY , Miami , Orlando . really great . thank people meet . friendly . I really surprise . enjoyd stay . 
 Jan 18 2009 	 disappointing stay 	 stay Essex house Feb 08 , complaint member Jumeirah loyalty card Sirius , decide book another stay NYC trip December . however , time disappointed level service stay . arrive check 6 pm long journey tell room not ready . 6pm ! ! no - one check wish we ' welcome back ' , come expect Jumeirah hotel . give voucher order house cocktail wait room apology indication long wait might . tell , 10 minute later , ( anyone come order drink ) room ready , go find 3 staff member room scrub carpet , apologising & quot ; get stain & quot ; . delightful . mini bar restock charge water half drunk inside fridge despite tell would put bill . turn service offer first night stay mysterioiusly 4 night . Breakfast Southgate restaurant farce ; 20 minute wait time queue right lift , cause lot irritated people ( queue people try get lift ) apology ever make front house lady wait , seem least bother american restaurant staff ever meet . management restaurant seem disorganised border chaotic , every morning would stare half restaurant full empty table need clearing queue eat . clear restock properly constantly ask butter , jam , milk etc . wait staff , although well meaning , badly train inefficient . one morning finally sit wait 10 minute serve juice coffee end help juice serve 3 table around well . morning simple order 1 espresso decaf coffee plus 2 toast english muffin prove much handle not get right order first time ask even . two shine light stay Concierges - Cullen & amp ; lady whose name can not remember - excellent , polite accommodate request speed efficiency . aside two front house staff , rest appear merely look extra handout nothing provide would consider basic service 4 - 5 star hotel . problem tip people go extra mile , bellman lift suitcase onto trolley , give ticket storage wait tip ? not think . general feeling get many staff - everyone want money . terribly un-5 star . course put feedback form ( check staff interested response ' how stay ' merely tell respond email ) contact management ... ' m suprise disappointed . ' m unlikely go back Essex House - plenty hotel price range great location around Manhattan opinion Jumeirah need serious review management get service back scratch . 
 Dec 19 2008 	 Decent Location ........ 	 hotel supposedly recently renovate , flat screen tv motion activate lighting system turn randomly , little evidence . carpet heavily stain . bathroom vent / fan steam ; ever present mildew odor . shower useless plumbing clearly touch decade - fact tell gym use shower well buidle . door staff offer help we carry bag . wait 20 minute call bag pick leave one come . however , bed comfortable . 
 Dec 11 2008 	 nice 	 really enjoy short stay . room beautiful shower nice . room large new york standard . bell man helpful nice . drink finger food little restaurant overlook central park main floor . sausage sandwich excellent good chip ever taste . breakfast also nice , food drink pretty expensive . ( south gate restaurant worth money , food really delicious ) nice atmosphere , would stay . lady help we front desk also patient nice . 
