review 	 reading review decide share opinion . 2nd time stay fitzpatrick manhattan good remain good mediocre remain mediocre . bad part stay desk . agent good girl give we attitude first stay repeat second time . put regular room suppose two bed suite would say would pay extra could not find confirmation . explain forget say nothing could . speak reservation manager explain book 5 room one room suppose 2 bed suite . minute say mistake hotel end apologise everything fix . we start trip bad note problem have . the positive note stay besides brilliant room concierge Michael book we 3 show restaurant we include load time guide we right place . make stay excellent time always smile . bar staff also great especially David always great . new special Fitz light wallet . back month hope see good stay good bad become good . 
 great value perfect location 	 ' m back 5 night stay . not usually write hotel review think one really deserve mention . got great value deal , expect small room huge one 2 double bed 2 people . little noise nice cool room . staff lovely location perfect ( 5 min walk subway 59th street ) not use restaurant ( would 're New York ? ! ) get good bargain not think could much well . 
 Jul 27 2009 	 excellent friendly central boutique style hotel 	 Excellent staff willing help time . room fabelous , spacious recently upgrade , view leasr 4 star standard rest hotel . hotel well locate close Bloomingdales major store . do not forget get discount card reception ! restaurant / bar warm friendly , like lounge , good food service . 
 Jul 25 2009 	 Home away home 	 long trip Australia greet friendly efficiency continue ten day holiday . suite clean elegant , bed comfortable , great amenity room ( love fresh bottled water turndown service ) , perfect location Museums , Central Park madness Times Square Boradway . hotel may similar offering staff Fitz make home away home . matter request respond immediately not irish staff fun pleasant deal . come back Fitz long day sightseeing highlight holiday . 
 Jun 24 2009 	 nice 	 originally book Fitzpatrick Grand Central , call tell we oversell would book us sister hotel upgrade suite . get ( & quot ; & quot ; , several ) Presidential Suite , nice- probably nice accommodation will ever able afford New York . staff attentive . 
 Jun 5 2009 	 overrate hotel ever stay 	 $ 85 dressing gown would not take free . maid service 4days . a / c break cold . dirty stain upholstry carpets.wont rush back ! 
 May 18 2009 	 Excellent NYC Stay 	 recently stay one night find accommodation excellent . room spacious clean 2 flat screen tv . be near Central Park decent area great restaurant bar downstairs . 
 May 14 2009 	 will back ! 	 great experience minute walk hotel door time leave four day later ( 5 am morning ) . staff accommodate . arrive rental car able park car front hotel check . big relief consider never would found parking spot along street otherwise . arrive official check - in time suite not quite ready . set we lounge area free drink coupon . room ready finish drink . room clean , spacious quiet . bed pillow incredibly soft comfortable . quickly cater need request wine glass , cork screw plate bring room . french toiletry also wonderful . love olive soap . will definitely stay ( plus be locate within walking distance everything want ) . 
 May 6 2009 	 Perfect Stay 	 Great Hotel , nice room . staff friendly . hotel bar & amp ; restaurant nice . definately return . 
 Apr 28 2009 	 great location decent value room ; bad service horrible . 	 brief : prepaying room confirm reservation phone 2 hour prior arrival , tell room available . pleasantry offer & quot ; welcome , trip ? & quot ; & quot ; seem problem , let discuss manager find solution & quot ; rather & quot ; Name & quot ; & quot ; book another hotel since room & quot ; . course accept solution miraculously find room we . room quite nice , dust , break lamp incredibly uncomfortable broken sofa bed - fine . morning departure , terrible flood lobby tiny pot everywhere collect water dripping ceiling . check process , staff bit rude . would recommend hotel trip NYC . well midtown . 
 Apr 21 2009 	 great find NYC ! 	 great location . helpful polite staff . graciously help we late night check - in . room clean , functional , well - appoint . room include quality blow dryer ( usual hotel kind ) , mini fridge ( useful ) , separate sink / bar , bathrobe . basically , place lot room amenity would expect NYC hotel . not get chance dine restaurant , food look smell delicious . 
 Apr 14 2009 	 great stay lovely hotel convenient location 	 stay Easter weekend . room comfortable , staff helpful friendly , location convenient walk many place , be also close subway . 
 Apr 12 2009 	 Perfect location 	 Location could well - real bonus hotel . block subway , walk distance 5th Ave , central park , Macys etc . refurbish room nice , although view great . staff attentive polite though lady check we Saturday let side . snotty , rude mannerless . staff though make , particularly doormen concierge could accommodate . all great hotel . return . 
 Mar 24 2009 	 Excellent Choice NYC 	 Excellent Choice . nice small hotel Lexington near 57th st . Close Shopping , Museums 2 street block subway station 59th & amp ; Lexington . room clean staff friendly . bedroom Suite 2 room 2 flat screen television perfect travel Teenagers . cost 5 night less stay large chain hotel Times square lot space ! eat restaurant Irish Breakfast excellent recommend . would definitely stay future trip NYC . 
 Mar 22 2009 	 great location great hotel 	 sister stay long week - end , san husband child . want shopping , sightseeing visit museum mile . hotel ideally place thoroughly enjoy stay . staff helpful not make feel must tip everytime smile . restaurant great breakfast nice evening tired day shopping venture . room comfortable reaonable size . 
 Mar 4 2009 	 Perfect Xmas Shopping 	 although £ not strong get great deal NYC hotel continental airway . the Hotel easy find although reception small intimate . nice bar small restaurant . Most staff irish make feel welcome room shave refurbish . room compact well appoint contemporary furnishing . lovely walkinshower . very handy bloomingdale staff also gift certificate store . a pleasant stay ! 
 Feb 26 2009 	 Fantastic Fitzpatricks Hotel manhattan 	 get one good hotel ever stay . first time New york think pick good hotel . staff nice friendly . room perfect . king suite . plenty room . suite large tv sittingroom small tv bedroom . quite bit street noise mind . add New York experience . room available request . street view quiet . bed comfortable . perfect location 57th St Lexington Ave . great shopping area . underground 2 block walk hotel . fussy hotel even well thought would . perfect hotel perfect city . 
 Feb 2 2009 	 great hotel NYC ! 	 celebrate week 20th wedding anniversary NYC . Fitzpatrick Manhattan hotel truly accomodate help we make time city comfortable possible . time walk staff cater wish help we wonderful experience . would highly recommend anyone . 
 Jan 30 2009 	 Great Hotel location 	 first time NYC 7 year quite unsure stay . friend reccommende hotel thankful . short- staff helpful , room nice location BRILLIANT . shop show minute walk door subway two block away . 
 Jan 7 2009 	 Nice Hotel - Friendly People 	 stay Fitzpatrick 4 night friendly hotel great location . travel around bit far subway . Carol bar great make feel home . room descent size comfortable . would definately go back fitzpatrick give choice stay elsewhere would definately pop head bar see Carol ! 
 Jan 1 2009 	 new favorite NYC hotel 	 wife recently spend 5 day fitzpatrick base travel agent 's recomendation . usually stay nearer Times Square business meeting attend upper east side subway local # 6 station Lexington Avenue 3 block hotel . get king suite price usually pay nice king room near Times Square . room spacious , clean , nicely appoint . 16th floor face Lexington Ave complaint street noise . go back , may ask rear facing room . service good adjoining restaurant pleasant surprise . location perfect ; easy subway access , middle great shopping still close enough theater district walk . overall , good experience . 
 Dec 9 2008 	 Best Address Town 	 little bit cautious review site , workmate say could not go wrong - late arrival say staff lovely , book standard room everything - even tv position odd hard see angle say bathroom tiny - one good shower ' ve see hotel . huge factor hotel simply heart everything- short walk 10 min take corner 5th Ave Tiffanys- Central Park 15 min walk - beside Bloomingdales Department store afford . do not partake breakfast hotel mainly like take breakfast Irish Hotel , go local diner cheap , great athmosphere . Metro nearby take Ground Zero Wall St , althought use bar fairness great athmosphere , reception staff fantastic - include bell captian , particulary grateful arrange car JFK return Eve Thanksgiving none yellow cab want go JFKGreat City - Great Hotel ! 
 Dec 8 2008 	 highly recommend irish breakfast 	 highly recommend irish american breakfast Fitzpatrick . beautiful cafe excellent service . excellent food , great tea . wonderful experience . 
 Nov 18 2008 	 tiny tiny room 	 Location great .. room tiny & amp ; honest hotel well rate ! ! 
 Nov 17 2008 	 good 	 say fitzpatrick , class , class , class . excellent staff . Concierge Geraldine could not nicer . without stay new york would not good , recommend great bar restaurant . bar staff friendly feel like staying night , cosmopolitan fantastic . upgrade suite real treat , room clean housekeeping never call early annoy sleep . next time go back will stay , little bit expensive well worth . 
 Nov 11 2008 	 high price pay 	 room clean small price pay.booke online end pay much quoted.even get charge $ 42 2 people small breakfastwe will not go back 
 Nov 11 2008 	 recommend cosmopolitan 	 back 4 night Fitzpatricks ... NYC 5 time time book standard room one usual suspect . time , relative , pay bit 2 room suite ( sleep 3 ) . could not recommend Fitzpatrick 's enough - comfy bed , great staff , lovely food drink , helpful real home away home . never stay somewhere else 
 Oct 16 2008 	 Recommend Fitzpatrick Manhattan 	 first stay Fitzpatrick hotel New York hopefully first many . staff friendly look . reception staff welcome friendly time . concierge helpful obliging . housekeeping staff commend . upgrade suite enjoy luxury . toiletry excellent replace whenever require . great tea / coffee make facility . would definitely recommend turn - down service -one good hotel . definitely stay return New York . 
 Oct 10 2008 	 great Stay 	 every year come stay fitzpatrick great stay ! finish renovation miss bar new lobby look fab ! stay 4 night always treat great whenever come stay David Mike always willing help we whenever need . can not wait come back next year ! 
 Sep 16 2008 	 Relaxation Manhattan 	 great location walk public transport . Midtown East . personable staff , several language speak . comfortable room 3 -- separate bedroom sofabe . teenager say well sofabe ever sleep . rate various internet site quite high , AAA website give we good rate . hotel staff say could probably get well rate call hotel directly . sleep well . back hotel , fairly quiet . nice touch , turn bed evening . restaurant , Fitz , serve good food UK favorite , , hotel restaurant , high price diner . continental breakfast include . internet access additional fee . construction lobby time , never bother noise inconvenience . 
 Sep 14 2008 	 repeat visitor 	 back 6th stay Fitzpatrick 's . reception area renovation willing give benefit doubt regard service reception . great location stay many attraction shop within walking distance . must admit new bar lose charm charter previous visit despite effort Carol rest bar staff . ATMOSPHERE unlike previous visit . drink price bar increase since last visit even dearer not buy directly bar . however , room room service excellent . discover new gem last visit . Dinner Harbour Lights restaurant SeaPort overlook Manhattan Brooklyn bridge ( ask Helen Ballyhaunis ) . pizzas Lombardis Bleeker Street , Soho book pay use credit card well worth queue . if outlet shopping thing ( teenager Hollister ) visit Staten Island mall . get free ferry across local bus . return direct bus main bus station Manhattan 57th Street ( X31 / X51 ) 
 Aug 28 2008 	 Excellent choice 	 excellent location , clean , quite , intimate atmosphere , nice irish touch , suuuper comfy bed ... 
 Jul 19 2008 	 quiet clean modern helpfull 	 Fitzpatrick Hotel great location , short distance Broadway , Central Park museum district . room spaceous , modern , quiet amazingly airy comfortable ( good night sleep week ) . staff arrange we early check - in flight arrive 8 am allow we late check - out extra cost . good city hotel stay . 
 Jul 6 2008 	 enjoy stay 	 pleased hotel . suite , work perfectly since travel three child . room clean new ( great ) lot street noise ( great ) . location good , within easy walk distance Rockefeller Plaza Central Park . 
 Jun 9 2008 	 great location 	 stay ( 2 girl ) fitzpatrick March 2008 9 day , great location close everything feel safe come go hotel , see post poor breakfast not find , pancake die mmm . one evening meal good also . staff helpfull time . 
 Jun 6 2008 	 Excellent Stay 	 first time come New York stay Fitzpatrick could not well ! travel agent book car hotel service excellent ! arrive around noonish hotel assist Mike bell captain rest stay assist we question get we Broadway ticket cheap price ! really kind funny kid . room suite nearly perfect . one flaw room AC work really hot day arrive . house lady great job room well . there many store near hotel . buy many thing Apple Store Central Park 10 minute hotel . great restaurant around hotel well . eat Palace Restaurant excellent breakfast great price ! would defenetly stay Fitzpatrick let know read go stay renovation soon lobby . 
 May 25 2008 	 great location good room 	 stay Christmas 2007 . location really good , block Central Park posh shop 5th Avenue . room fine , clean well appoint . recently refurbish bar ... bartender bit plastic paddy though . one tip : be stay Christmas , not dinner Christams day .... way expensive ( $ 80 ) get . 
 may 7 2008 	 fantastic stay 	 wife return three night stay fitzpatrick Manahattan speak highly enough hotel . book hotel fitzpatrick toll free number greet friendly lady give lot information hotel facility . ocassion visit ny tenth wedding aniversary hotel pull stop may we fall welcome . upgrade suite beautiful , antique furniture , plasma screen , lush carpet , comfortable bed marble bathroom . real joy Fitzpatrick Manhattan staff , well train make feel welcome . location hotel central , block crysler building st patrick catheral . ny fast busy city however fitzpatrick oasis calm desert chaos . shall look another hotel return ny.ray ReidyGalwayIreland 
 Apr 30 2008 	 Nice Stay 	 first time stay fitzpatrick good experience . check quick pleasant give we upgrade ask . suite perfect party 3 people . room fairly large ny standard , conservative decor ok . king size bed comfortable , however short matress foot hang . air conditioning work well room also . bathroom small nice brown marble shower good water pressure . front desk receptive need easy deal . strange experience though , ask front desk bed turn say list service get back room sleeper coach touch . strange . overall , happy experience would recommend place fairly nice inexpensive suite ny standard . 
 Apr 22 2008 	 strongly recommend 	 great location , great staff okay room . stay 2 night go Boston St Patricks - hotel Boston patch one expensive ! ! room great okay ny - long room ! come back NYC 2008 stay Fitzpatricks ! 
 Apr 16 2008 	 one good stay 	 ususally bring family twice year past 3 year Fitzpatrick Manhatan . thing change quite bit last time stay . undergo renovation hotel . look promise aspect hotel change . the ReviewThe service restarant good use . waitress pretty much new . one waitress seem annoyed we could bad day ..... staff change lot .... good . besides usual high standard service Carol bar keep night interesting , Mike bellstand always talk help we anything need want whenever come , Jamal always make sure everything go good stay everyone else seem give cold shoulder general . front desk need get act together II tell one thng one person next day tell complete opposite another person . room great . course bed good feature room . tv great upgrade . stay Manhatan really hope staff get well . 
 Apr 3 2008 	 great 	 location fine , go expect standard Fitzpatrick Hotel Dublin , disappointed . we number silly problem room like faulty heater , nosiy air con prevent we sleep . the lift need major overhaul noisy extreme hear room hotel . bar area look fine brouchure cater young crowd , play loud music people shout hear . good spot relax . basic . staff mix bunch . friendly other cold awkward deal .this first time Big Apple , go back , not think stay Grand Central unless major renovation carry . 
 Mar 10 2008 	 great location 	 great location , staff friendly always eager help.we stay junior suite ( 3 people ) . incorparate one dbl bed , tell good sleep friend . get fold bed living area , comfiest foot day shopping , sleep great.the hotel great location shopping , restaurant etcsmall negitive be - there refurbishment go bar restaurant area end avoid bar , would nice somewhere relax shooping ect . 
 Feb 25 2008 	 New York Boys Tour 	 New York Feb cold ambience Fizpatrick Manhattan warm . warm , unassuming welcome know winner . foyer pleasant compact . bar / resturant area tastefully set provide comfortable dining drinking facility . two boy shop trip lady treat change room day two huge twin room double bed . room bathroom first class . staff excellent welcoming . bar staff exceptionally provide Soccer / football want . Location Hotel first rate proximity tourist site make walk subway travel easy . we back , woman though . 
 Feb 18 2008 	 Great Base Tourist 	 wife stay 11 - 14/02/2008 combine birthday / valentine day break . stay sister hotel , Fitzpatrick 's Grand Central,2 year ago could not get book time . arrive mid afternoon helpful front house staff soon we check dispatch 12th floor room . minor disappointment room rear hotel rather front request booking month . room nice warm air con already blow warm air- welcome -5c outside . hotel lot small lot NYC hotel , one reason choose . room basic requirements- coffee maker , foc safe lovely big soft bed , upholstered give 4 poster feel . big room slightly small one sister hotel plenty big we . en - suite bathroom / shower + build - in wardrobe give we ample space . flat screen tv , v poor reception never use much anyway . store stuff quick drink hotel bar , ` Fitzers ` . apparently recently refurbish feel bit dull lifeless . main reason choose hotel location . uptown end Lexington Avenue , awful lot real estate within easy walk distance- 10 minute Central Park , Rockefeller Centre ; 30 minute Broadway / Times Square etc . walk around get lost- whole area lay big grid , well signposted . time never use taxi subway . prebooke Grays Uptown Downtown Loop bus tour get round city , hop on / off stop 45 major tourist site length Manhattan . we not eat hotel all- atmosphere , state overprice . breakfast morning go round corner onto East 56th Street ` Madelines ` Diner nice breakfast roll ( eggs- easy + bacon / sausage ) coffee orange excellent price staff friendly could get anywhere . place eat Outback - Australian theme steakhouse 3rd Avenue ( 10 minute away ) . ok food reasonable price . also ` Bubbagumps ` Broadway / Times Square- critic label place tourist trap twice love - Forest Gump theme restaurant specialize mostly shrimp dish great 1st floor view Times Square . friendly good craic - probably tourist ! another nice place ` pj Carneys ` bar East 56th Street , side Lexington Ave Madeline ` . wee Irish bar mostly irish staff . lovely cold beer afternoon / evening special pint burger wing $ 9.95- £ 5.10 . could hardly get value like home heart NYC ! not forget tip , price ! ! summary , hotel may exciting cheap place stay NYC reliable wonderful location touring . 
 Feb 15 2008 	 Holiday New York 	 stay 4 night April 2006 part holiday . fantastic hotel . staff friendly . room spacious enough . location great also ..... 
 Feb 13 2008 	 great family hotel 	 decide go Fitzpatrick Hotel hear good thing cousin stay last summer . bring family first time NYC service top notch ( especially Euro ! ) check 5 night monday check Friday . cehcke 12 noon room ready store bag bellman Mike always help we throughout stay great give we direction especially underground . the location GREAT ! many store near hotel like bloomingdale . next two underground line take anywhere need go . recommend learn use subway much quick get around traffic . want good food go Smith Wollensky steak Bice Italian even though quite expensive food top notch . the room big confortable . at night go bar Carol bar great . only snag would say call front desk get help safe . call say would send someone nobody came call lady front desk seem get annoy us call ( important document need lock ) do with . once great hotel stay everyone friendly always willing help . 
 Feb 8 2008 	 Brillant Hotel - great location 	 Christmas party last year New York stay Fitzpatrick Lexington Ave . you can not get well location - bloomingdale 2 block 5th avenue even 5 min walk away . ( girl * * New Yorks good Nail bar around cornor ; - ) suite room - small perfectly form . fab power shower soft robe perfect cure hard day shopping . staff long term seem irish . helpful nothing seem much - even check fly till late night . hold bag order us mini - bus extra charge . the bar new quite modern ( sure keep rest hotel decor quite old - world ) hear rest hotel getting re - do maybe part it . the food bar really good quite reasonable NYC well ever ! 
 Feb 4 2008 	 Great Hotel Great Location friendly staff 	 Great Hotel .. friendly staff accomodate visitor .. room lovely clean .. great location central park , fifth avenue shop .. bar good fun night Bar Staff make we feel welcome .. overall great stay hotel definately return soon .. 
 Jan 21 2008 	 Loved ! 	 would defo return hotel . stay 3 night really enjoy . comfortable bed ever sleep ! room good size , walk small wardrobe , small bathroom , great shower , small room door tea / coffee make facility small fridge . the staff friendly helpfulsmall menu food nice breakfast good overprice . 
 Jan 16 2008 	 love fitzpatrick 	 stay least year annual shopping trip . always feel like home home . service excellant , room lovely comfortable bed world ! convenient bloomingdale 5th avenue shoppong . good irish breakfast every morning . 
 Jan 12 2008 	 mixed feeling place 	 read review must irish person love place ! ! stay last August restaurant renovation - could live , reduction price food despite eat tiny bar . room absolutely tiny noisy , bed comfortable all . service excellent although arrive 10 pm room still ready we . stay 2 night move onto W Times Square scene - really modern . 2 great night Bar Fitzpatrick like home want something New York style ! overall feel place rated pay . 
 Jan 5 2008 	 home away home ` ` Wicklow Family '' 	 fitzpatrick real home away home . wife 2 daughter stay hotel 8 night june 07.it fantastic much go back February . room excellent clean everything need . staff friendly helpful minute walk door feel welcome . the bar warm friendly mix visitor local make feel welcome bar ( spot famous face drink ) .The location perfect site New York , central park 5 min away subway 2 min . food hotel excellent well , Cod Goujons die , breakfast like mother use make . we great time , stay hotel around world top list . price good value money read review 's hotel say pricey get pay Fitzpatricks , President stay visit NY . good enough good enough . would say anyone going visit NY stay safe , friendly , well Loacted , Value money . many friend stay say , say HOME away HOME . 
 Jan 4 2008 	 fantastic bed shame traffic noise 	 stay 24th November 5 night book suite 2 adult 2 child comfortable bedroom 2 double bed sooo comfortable . the staff extremely helpful cleaning lady would never take tip leave , without leave note . each day come back room daughter toy monkey use prop different pose pillow think lovely touch . room spotless problem draughty window would double glaze window would half traffic noise keep away draught curtain . we love New York return , maybe different hotel . I think bit expensive 3,400 dollar breakfast ! though really enjoy stay . for change would try place different certainly back sometime future ......................... 
 Dec 16 2007 	 Towel 	 worldwide hotel go , mediocre establishment . however , US hotel go , would say quite good hotel . friendly , though overly efficient staff , reasonable sized bedroom , nice bar good food . 
 Nov 22 2007 	 great hotel fabulous location 	 read review site little concerned wait we , book holiday partner another couple . minute arrive greet reception know go ok . room lovely , old fashioned comfortable . relax quiet location . breakfast last morning Fitzers bar , complaint full Irish can not go wrong really ! ! bar currenlty undergo renovation look dark small moment . fully open yet , renovation due finish shortly . nice finish . overall location fantastic 57th lex , walk distance everywhere . would recommend , worth price . 
 Nov 19 2007 	 great stay fitzpatrick 	 bring family vacation October . I ve business first time bring everyone NY . greet straightaway bell captain Mike throughout stay guide we whatever need . the elevator tad slow take stair story problem ( even though stair could clean , jump garbage bag . ) . bar pricey everyday new york . eat restaurant , food good worth extra add ons bill gratuity tax etc . go different restaurant daily , Smith Wolensky great steak go hungry ! house lady clean room great , even though forgot give we turndown service one night , call lobby . tell bother late want let know do . , overall staff good . David help we good advice city , well Mike great asset hotel really kind child . time stay could mediocre , good outweigh bad greatly , worth price put suite 5 night . CAnt wait bring family back next year . 
 Oct 31 2007 	 ScaryNasty never 	 say not waste time stay . management poor quality especially yell staff front hotel guest . elevator always break expect climb stair room experience itsfelf . stairs cluttered Bags Bags trash , dirty linen tray . even hall cluttered bag dirty & amp ; clean linen make wonder bed change ? staff fear make decision every request give answer & quot ; let ASK MANAGER & quot ; wait wait . the room different . remodle look like Motel 6.my good thing say housekeeping staff pleasant housekeeping Manager great take care need without question busy suprise . maid great never ask thing make wonder everyone else scary . my plan stay elsewhere brainer . 
 Oct 30 2007 	 Average say least .... 	 honest hear nice hotel , get say average ! ! room smallish not like set bar . for price think could find well . still , good location . 
 Oct 12 2007 	 great location hotel ok 	 book Lastminute.com couple week ago birthday treat we sell 4 * boutique hotel .. also , know fantastic location close Bloomingdales short walk subway station , 5th & amp ; Madison Avenues Central Park . check , lobby & amp ; restaurant undergo refurbishment , not warn , however big notice say inconvenience , complimentary continental breakfast would available bar . next morning , try find pile pre - wrap croissant ( butter preserve ) , bowl fruit , well one juice , tea & amp ; coffee- hardly complete breakfast , appear hotel pay lip - service . go inconvenience customer , make proper effort ! room , although particularly big , clean , decorate nicely fantastically comfortable bed . however , careful game , CD library & amp ; film tv cost $ 9 per hour ! bathroom immaculate , free toiletry one robe ( odd two us ) , staff , especially Dave barman , Mike porter really friendly & amp ; helpful . all , bad hotel- excellent location & amp ; clean . however stay hotel States , disappointed fundamental quality , opinion rate 3 * . 4 * hotel generally decent breakfast , service lift staff use instead use guest one , bar not Irish theme pub . little tweak perfect , would excellent , moment , be ok . may think stay ..... 
 Oct 6 2007 	 do not waste money hotel 	 start hotel completly overprice room bar . room dark little light view brick wall window , food be not great , evalvator order , virtually facility could almost fit bar pocket facilityin place . would strongly recommend spend money worthy hotel new york city . 
