always 	 second stay London Elizabeth definitely look stay . deny tired shabby place chip crack . clean comfortable character . first room quite small must happy book next London trip room last weekend spacious two armchair , fireplace , desk wardrobe . street noise time not really bother we . room warm hotel ( air conditioning not turn ) . tea coffee facility take travel kettle etc , fridge find ledge outside window put milk . location brilliant , ( google , street view ) , bus stop outside , second away Lancaster Gate tube minute walk Kensington Gardens , minute Hyde Park . ( mid fifty ) easily walk back Royal Albert Hall ( take fifteen - twenty minute ) . staff meet friendly , check staff brilliant helpful . lovely pub around corner call Swan . Breakfast come room occasion bread roll stale , cereal , tin fruit , yoghurt fresh blueberry muffin . croissant , pastry brioche not ' comment freshness . add breakfast last time ( end June ) much well . time though , two we , breakfast not cost £ 80 everything price ( London ) bargain . afford pay , maybe , budget , would definitely try . 
 Jul 31 2009 	 convenient homely hotel 	 book " family fun weekend " we ( Mom , Dad ) two teenage daughter age 18 13 . package include two night accommodation , ticket Madam Taussads ( option ) , champagne cocktail prior dinner hotel ' restaurant , Rose Garden , daily newspaper , daily continental breakfast . ask hotel book ticket Grease give we arrival hotel . family room much spacious expect , four single bed arrange room spare , small table two chair one corner another chair dress table . bathroom suffice warm water plentiful . restaurant staff seem surprised arrival unsure allow order menu , waitress go check reception , welcoming . waitress struggle English although order different soup , serve . hiccup like occur throughout meal , one daughter look forward dessert disappoint arrive . realise afterwards wait hour first course arrive , good time ' rush wait ' phase we , think restaurant patron night . hotel conveniently locate , across road Hyde Park/ Kensington Gardens Lancaster Gate tube station bus stop outside front door . traffic noise audible room second floor . continental breakfast adequate , offer toast end first breakfast . request Madame Taussads ticket initially greet surprise . clearly voucher ' ready wait , take organise , staff apologetic . hotel Fawlty Tower feel , staff helpful good natured . husband suggest dinner hotel restaurant prior see Grease , give previous experience , rest we decline worried would miss show . ' choose hotel extend stay , two night good fun . wi - fi free work well . lift small take several trip transport luggage , fortunately staircase gracious wide . 
 Jul 5 2009 	 great staff service 	 kind helpfull staff , yes hotel need update room clean air con great bathroom great plenty hot water , brekfast good , reception staff helpfull especialy marcella , recomend friend , good location tube access go back . 
 Jul 2 2009 	 probabely well 5 * hotel 	 read review book little gem hotel.yes , agree could little t.l.c . , make superb service , clean room , & amp ; great value money.would stay , cause would , & amp ; would tell friend book straight away ! ! ! 
 Jun 19 2009 	 many rose ! 	 return London stay three night London Elizabeth Hotel family . as everyone else say , Hotel situate great location , face Hyde Park , minute Tube , pub round corner shop round corner also . bus stop front hotel . the staff lovely , especially girl serve breakfast desk staff helpful also . this do not make shabby , rundown depressing look Hotel however . really miserable . reception area gloomy smell rose hits soon walk . bit much sickening . furniture reception area tatty dirty looking . dining room abundance everything floral wall table linen . the breakfast good good service . cook breakfast excellent . I order room service - coffee one get full pot slice cake . 2 pound . excellent . the bed comfortable enough clean , bathroom , overall appearance carpet , furniture etc . really tired hotel could complete refurb . feel fustiness quite gloomy - especially call rose garden . nothing table path border wait rose . sit couple time drink enjoy view car park back unslightly flat . really disappointed , look forward garden . back room , husband son share twin room fourth floor do not get hour sleep night . room like sauna . fresh air , ceiling fan do not work , floor actually slope bed . I share room daughter first floor double door balcony table chair . lovely hear say - . noise traffic day night horrendous . overall hotel bit fawlty tower , breakfast great staff friendly helpful . would not stay however . 
 Jun 16 2009 	 1st Class Hotel exceptional staff 	 well say staff exceptional , booking speak Anna helpful polite , book room car parking space ( 1st class well much car parking LONDON ! ! ! ) explain compete marathon say would see could upgrade arrival . wow upgrade Elizabeth Suite , four poster bed old world room magnificant . book staff go way help we . breakfast superb , actually pay extra full English , although need , fresh fruit , fresh bread bake , fruit juice , cereal . full english superb though much need marathon . staff go way . would highly recommend hotel certainly go back next year . family run hotel show ! ! ! 
 Jun 15 2009 	 great location great personal service room equipment old . 	 spend wife 4 day London . check service stay great . room small , two enough , furniture equipment old . also smell hotel typical & quot ; old & quot ; . breakfast terrible , sweet pastry , yoghurt , cereal , fruit hard boil egg . also dinner , not realy good . side , location realy great . step tube , bus station next door hotel , across street Hyde park . price hotel also good . fact , would next time look another accomodation , people , like style would recommend . 
 May 31 2009 	 find gem hotel London -great location service comfortable room / beds- favorite far ! 	 London four time stay nice hotel . well far stay London Elizabeth Hotel Bayswater - looking Hyde Park . right Lancaster Gate tube station convenient nice neighborhood . small local 7 - 11 grocery type place nearby purchase essential like water . hotel lovely Rose Garden restaurant breakfast serve morning great coffee . sister receive excellent service everyone hotel . two week trip around England favorite place . hotel seem right Agatha Christie novel- lobby cushy chair always fire go . ask hot water tea bring lovely tray biscuit etc . would recommend good friend ! ! find internet hit jackpot . many british people stay gather word mouth . plus free wifi room ! ! ! 
 May 18 2009 	 great location great people TINY room ! ! 	 stay mid - April end April , tight fit two people ( actually , even 1 person ) . not air conditioning room , subject wind blow breeze window . ok plan spend much time room except shower sleep . small cruise ship inside bedroom . on hand , staff amazing breakfast pretty good . lot carb sugary item . end McDonalds get ' real ' food . would not stay tiny room elevator place money near talk tourist , big room . 
 May 13 2009 	 much expect 	 choose London Elizabeth place could find near central city allow four adult family member one room ( four twin bed ) . willing put almost anything avoid expense second room . delighted , therefore , find , addition meeting criterion , hotel nice place stay . reviewer point , London Elizabeth somewhat wear around edge ; however , money , issue . ten day , staff cheerfully bent backwards helpful , without exception . free continental breakfast substantial . lunch dinner reasonably price good . location across street Tube ( subway ) station beautiful Hyde Park . 's free internet access computer near lobby . hair dryer work well . stay London Elizabeth contribute lot towards enjoyment city . we comfortable , one stay summer month , one might consider air condition room . miscellaneous : not spend big buck international electrical adapter , ( blow electrical outlet try ! ) . go boot store arrive London ask cheap adapter . boot store everywhere . we buy London Pass Travel Card . use pass tourist sight , not pay spend time national art gallery museum , free . use travel card , though . well option would oyster Travelcard . oyster Card London Pass Travel Card give unbeatable , convenient , line - free access public transportation London . 
 may 11 2009 	 pleasantly surprised location service budget 	 find hotel London couple day business short notice , pleasantly surprised arrive London Elizabeth . location great , short distance Oxford Street / Mayfair , service excellent . hotel pair historic convert townhouse , little worn tired part charm . although fitness centre , free internet access , excellent staff good breakfast service include price . will not get much well value central London . 
 Apr 17 2009 	 great visit 	 review spot . furnishing major need renewal ( ex . wear chair beading water stain wood backsplash ) , staff outstanding , deluxe room first floor clean , pleasant , comfortable , location across Hyde Park Lancaster Gate tube entrance great . additionally , continental breakfast dining room convenient , pleasant , substantial . also find rate fairly reasonable give positive feature . long understand hotel somewhat worn adjust expectation accordingly , will excellent stay . 
 Apr 13 2009 	 poor worth money 	 hotel friendly staff need serious maintenance ( paint job , carpet , furnish , cleaning ) . book deluxe room parent anniversary , shocked see photo room . consider amount pay worth money . wonder standard room look like ! even shocking hotel recognize situation ; need ' touch - up ' point view . full - blow renovation probably accurate . 
 Mar 9 2009 	 Smashing hotel 	 hotel come across chance , great place stay . handy anywhere London , tube station across road . want walk , Oxford street shop 10 min away . staff friendly , helpfull . hotel would describe old - worldy , say , far nice appear photo . feel family run hotel , go way make feel comfortable enjoy stay . want 5 star treatment , check 5 star hotel across street , youl get service hospitality little hotel deliver . , fantastic , great location , friendly staff , great food restaurant , great rate ! ever go back London , hotel stay . 
 Mar 8 2009 	 Location 	 mention previously , location hotel second none , 2 - 3 min central line station Lancaster Gate . always , staff throughout helpful provide excellent service . hotel look tired public room bedroom ( 449 ) need work . due we family room , always get room front hotel little noisy , twin double room need remember ask room rear . base see city hotel need . 4th visit London Elizabeth would recommend frill , value money , room night . 
 Feb 26 2009 	 nice old world charm 	 Staff helpful , room ok , clean & amp ; comfortable . tv work well though . great location . would use , although agree lift .. 
 Feb 23 2009 	 Excellent round 	 come back 2 night half - term stay 12 year old son . excellent location , 2 min Lancaster Gate Tube Station ( Central Line ) , also bus stop right outside hotel . hotel quite date excellent night sleep , twin room big enough , hairdryer , trouser press , tv ceiling fan , useful find room really warm . staff friendly helpful , full english breakfast excellent - endless cup coffee need . also continential breakfast consist fruit , yoghurt , cereal , bread croissant available - quiet eat around 8:00am , would imagine get busy around 9:00am . elevator really really small - go claustrophobic . eat Hotel first night - good reasonably price . small shop round corner ( expensive though ) . overall excellent hotel stay would recommend , especiall location tube - 1 tube stop along Marble Arch McDonalds , KFC endless place eat start Oxford Street . my son love much want live : - ) 
 Feb 22 2009 	 great central location value money friendly staff 	 arrive receptionist friendly , helpful curtious . room ground floor four single bed , two bed put up child age 9 10 year . comfortable night sleep . room modern amenity need short break - hair dryer , trouser press , safe , tea & amp ; coffee facility room service appear inexpensive . continental breakfast include price extra £ 4.00 could cook breakfast . continental breakfast fine staff attentive give many refille coffee . lot meal deal tend eat out . the location fantastic two mintue walk Lancaster Gate tube road Hyde park . child love Princesses Diana memorial - water feature pirate ship playground Hyde park . they also offer free internet access , useful could checkin online return journey Manchester airport . although parking - £ 10 per day . 
 Feb 3 2009 	 would definitely stay 	 wife annual visitor London , ' ve stay many hotel bayswater area consider Elizabeth favorite . room always clean bathroom . find staff helpful friendly . look forward stay property . some poster complain elevator . yes , small . want tear center hotel spend million dollar replace would rather live minor inconvenience ? small elevator complaint small breakfast area inconsequential consider get nice hotel fabulous location . 
 Feb 3 2009 	 not go ! 	 hotel definitely overprice miserable condition offer . key word small tired ! elevator small hardly fit 2 people time . breakfast room accommodate guest get normal hour wait . breakfast selection limit , stale bread fresh fruit . basically cereal , toast coffee . sort compote edible . ask tea bring one pot . lady next we ask second pot argument bring . partner come later also want tea , waiter say drink whatever leave 2nd pot bring . rude ? ! ? room small , carpet stain bedspread white indefinite color . service terrible , especially breakfast , personnel hardly speak English frustrating time . the good thing location next tube station . however , lot hotel next tube station . my advice go , disapponte . 
 Jan 22 2009 	 Unbeatable Location ! 	 good thing hotel central location . 's bus stop right outside door Lancaster Gate Tube station across road . disappoint arrival long journey , tell hotel reservation keep wait receptionist confirm book agent . good thing print confirmation voucher . room quaint beautifully decorate . room ( 116 ) split level bathroom ( photo featured website ) , unfortunately , apart overlook fire escape , also two large air conditioning unit right outside window come loud bang around 1.00 a.m. every night 3 night stay . 's also pity price , cheap , mini bar / fridge room , let alone tea / coffee make facility . go theatre every evening often return midnight - nice , warm cuppa would welcome . breakfast adequate staff quite friendly . whole , would still recommend hotel . 
 Jan 21 2009 	 great deal great location great hotel 	 Location , Location , location - across road hyde park central line station lancaster gate ( excellent underground system get anywhere ) walk distance paddington heathrow express . stayed start trip go back month later end trip . got good deal website ( 3 night price 2 winter special ) - 65 pound night twin room include newspaper great breakfast : continental breakfast english breakfast make order - choice egg , mushroom , sausage , bacon , baked bean , tomato . time do not eat much lunch eat good breakfast . also similar great price wotif.com london elizabeth several time check site - worth look also include full continental english breakfast 65 pound night ( accord price list reception hotel twin usually 160 ) room clean comfortable need large definitely small . also computer available use free internet . staff great helpfull . 
 Jan 7 2009 	 Charming hotel 	 London Elizabeth quiet , small hotel residential area away madness central London . double twin room spacious nicely decorate . fancy hotel menu amenity . feel stay someone 's townhouse . public area cozy . staff wonderful helpful . the continental breakfast Rose Garden Restaurant enough start day . busy 9 am may wait table . skip dinner ; food ok . take tube Queensway eat Kam Tong Mr . Fish , latter Porchester Rd , take tube Portobello Rd fantastic Thai Churchill Arms ( make reservation . ) hotel conveniently locate across street Lancaster Gate Tube . bus stop front hotel five minute walk Paddington Station Heathrow Express . the Day Travel Card great value off - peak tube bus . use unlimited number time one day well value Oyster Card . 
 Dec 30 2008 	 ok 	 stay London Elizabeth two night 28 & amp ; 29 November 2008 find hotel OK . going function Royal Lancaster hotel ( road ) want pay price book hotel . 3 * hotel nothing , room ( 445 ) small bathroom . whole hotel need facelift , chair & amp ; carpet threadbare place . however staff good & amp ; helpful . breakfast room small busy around 9 am , wait 15 minute reception area table . one word warn . . . . lift small ( size shower cubicle ! ) take maximum three people . four we get one morning stuck floor . stick 5 minute somebody hear shout alarm bell . 5 minute long time stick tiny crowded space . afterwards notice take maximum three people ! ! ! would stay hotel . . . . . choice , . 
 Dec 14 2008 	 clean good staff next tube 	 Hotel opposite tube , excellent travelling , across Hyde Park , excellent walking . room ( 3 woman ! ) clean , large bed really comfortable . staff helpful , breakfast excellent , freshly make much could eat . want reasonably price hotel short break London go wrong hotel , ok 5 * luxury let pit thing perspective sleep , rest time enjoy sight . 3 professional woman want reasonably price 2 night break London see show , get pleased . 
 Dec 1 2008 	 wicked time 	 stay hotel weekend daughter go see musical Wicked - wicked time arrive leave - upgrade Janner Suite wonderful - hotel staff nice helpful say bad thing - great location - great breakfast - great staff - great room fully recommend 
 Nov 19 2008 	 great staff london elizabeth 	 stay four night christmas shopping / sightseeing break could fault hotel , room clean comfortable , staff helpful friendly location great . 
 Nov 16 2008 	 never 	 rate hotel ever first impression stay check ok lift like coffin end walk 3 floor heavy case rather risk . lift first impression room badly paint brown door room clean basic old breakfast laugh i m greedy person ask would 1 like ask full cooked breakfast 1 sausage 1 bacon 1 tomato 1tsp mushroom 1tsp bean . plus side great pub round corner ( opposite hyde park ) swan good food entertainment . road side busy noisy day night 
 Nov 12 2008 	 charming little hotel wonderful staff 	 wonderful little hotel terrific , young , multinational staff friendly , kind helpful . small single room bathroom comfortable scrupulously clean . decor English silk velvet upholstery chintz curtain flower carpet , bar dark pannele leather sofas : like english townhouse . continental breakfast generous choice cook breakfast meal good reasonably price . location perfect walk ( Hyde Park , Kensington Oxford Street Picadilly Circus Trafalgar Square ) access underground , bus Paddington Station , express train Heathrow . lovely place would unhesitatingly first choice return trip London . 
 Oct 6 2008 	 Happy go 	 public room cosy comfortable ; bar , though small , never overcrowded ; restaurant clean well light . staff excellent , polite friendly , efficient . the bedroom bite dark side clean tidy bathroom . if complaint traffic noise outside , London all . I happy give second chance ( price right ! ) 
 Aug 28 2008 	 Comfortable Accommodation 	 two - week stay hotel ( 10th 23rd August , 2008 ) , wife feel much home . , fantastic , friendly , courteous efficient staff- reception , restaurant , kitchen , bar , room service ( cleaner , room maid porter ) . couple good food fantastic location ; bus stop right door step . even much impressed decor room entire property ; continue effort make even well . bravo ! fact , efficient service , award 5 - star rating management staff hotel . keep . 
 Aug 7 2008 	 Lucked London 	 accolade trish staff . make 13 spoil Californians happy & amp ; welcome . course , fabulous location across street Hyde Park , Lancaster Gate tube station bus stop front help make stay agreeable . buy travel pass oyster card take good advantage location , comfortable clean room , high ceiling big bed even take advantage fabulous room upgrade offer . ( book 5 room 8 night . ) Breakfast Rose room also winner , heavy substantial enough sustain day 's hard sightseeing . hotel definitely cookie cutter copy hotel chain rather good way feel actually stay London . but finally real pleasure multinational staff , exceedingly pleasant , knowledgeable helpful . whether desk , bar restaurant ( & amp ; many double duty ) always delightful around especially Trish keep warmly together . 
 Jul 31 2008 	 staff friendly happy help 	 single mum 12 yr old daughter arrive hotel staff friendly helpful . breakfast great full cook continental sit rise garden watching squirrel across road small parkland across road . staff local knoledge area , hotel walk distance alot atraction , bus stop outside hotel , local shop near pub too . the hotel far enough away hussle bussle croud , across road Hyde Park hire deck chair watch world go past . pack swimming costume swimming area Kensington boat lake refeshe hot day . 
 Jul 26 2008 	 badly need face - lift 	 location fantastically convenient , ( directly across Lancaster gate entrance Hyde Park ) hotel badly need interior face - lift . book family room , locate fourth floor face street . room small , shabby , paint chip wall , dirty carpet . bathroom break tile moldy smell especially unpleasant . toilet flush consistently , hot water last minute turn cold , towel stain hole . unlike rest hotel , room air - condition , open window night cool room . result couple night fitful sleep due overwhelming street noise . thank goodness husband bring along earplug ! 
 Jun 5 2008 	 good choice well locate hotel look luxury romance 	 spend last weekend London Mother Laws 60th birthday . Friday night 9 adult 3 kid 4 adult join we saturday night . we book family package cost £ 300 per room two night - 2 adult 2 child room . include b & amp ; b family room , entry ticket either London Zoo London Eye three course dinner plus one champagne cocktail one night . the hotel location good , across road Hyde park , around corner tube 5 min walk Paddington . would 10 - 15 min walk Marble arch depend fast walk . the staff hotel always friendly helpful really make effort think staff real credit hotel . hotel redecorate place time really criticism , furniture furnishing look tired drab . definatly need lift can not manage many stair hotel . one lift guest , due age build tiny lift really two average sized people use one time possibly one suitcase squeeze . we book family room unfortunatley not mean double bed parent single bed kid . mean triple quad room - hotel ? bedroom good size London hotel good size bathroom money need spend . say clean , soft towel plenty toiletry . room front hotel warm left window open day . yes , noisey get bedtime close window put ceiling fan make room nice temperature . room would hot height summer though . aware ask room back hotel not want road noise outside terrace belong bar always quiet . the food good standard feel , whether not expect much exceed expectation ' m sure . european breakfast include price English ENGLAND EUROPE ANYMORE ? ? ? ? ? say £ 4 extra although not cook plenty people , enjoy although scramble egg recommend . to conclude want resonably price hotel good location fantastic staff definatly worth consider . not choice want luxury romantic break London . 
 Jun 2 2008 	 old fashioned comfort 	 husband , 16yr old son spend 3 day break London Elizabeth . location superb literally across road Lancaster Gate Tube also entrance Hyde Park . for reason could provide triple room book alternative offer ( extra cost ) turn Montagu Suite . although basement therefore somewhat dark , make load space , lovely double bed hanging , fireplace , bookcase etc make old fashioned comfortable room . addition bed son barely make impact space , still leave room sofa , easy chair , table , blanket chest etc . the bathroom good size bath long enough completely stretch enough hot water fill brim . the real side hot room noisy night window open , ceiling fan . shame tea coffee make facility room room service 24 hour quick reasonable ( e.g £ 2 big pot tea complimentary cake ) would certainly stay . 
 may 20 2008 	 clean hotel pity lift 	 stay hotel 4 night May . agree previous review state hotel could bit redecoration , though seem go stay . bathroom let chip tile miss grout room always clean , fresh towel bedlinen everyday . stay 6 month old daughter fact lift would not fit buggy bit annoying back quite sore carrying & amp ; stair . room heating last night 3 we quite cold morning though staff apologise . breakfast great staff friendly . not need use lift good hotel day stay . close tube hyde park . close queensway lot great food place . 
 May 2 2008 	 good comfortable 	 furniture somewhat threadbare , hotel charming . exceptionally clean , food ok staff super . friendly helpful . back room quiet . think front would noisy . good location London travel . 5 minute Paddington . 
 Apr 19 2008 	 Love / Hate Relationship 	 property enormous potential . excellent location . right around corner Lancaster Gate tube , 5 minute walk Paddington Station directly across Hyde Park . BONUS . staff friendly accomodating . really go way please . food sub - par surprising since full blown kitchen . breakfast ok . table not clean properly sit breakfast hair crumb table . bar quaint cozy . certain area hotel smell cigarette ... include room hallway btw . hotel furnishing decore quite shabby ... confused shabby CHIC . daughter stay Elizabeth Room nice great view park . however , not know last people stay dusty linen . room fairly large bathroom good size well . Neutrogena product choice 's deluxe , good product everyone . I say , , property potential excellent boutique property would sink money upgrade refurbishment . good stay might stay would book directly hotel rather book CentralRes rip we apply small percentage & quot ; deposit & quot ; think 1 night pre - payment , towards cost room keep whop 100 pound ! ! ! ! 
 Apr 13 2008 	 ok great 	 stay business . room tiny face fairly busy street . noise not bad , though . hotel directly across Hyde Park , be Underground stop within 100 foot hotel , walk distance Paddington Station . location fantastic . think pay close 100 gbp , fairly inexpensive . disappointed find hotel offer internet access . staff friendly , courteous , helpful . 
 Mar 23 2008 	 fair . 	 hotel price . service good staff friendly . decor old dirty . stay Elizabeth fourth floor . lift accomodate two people time stair many . room size good bed comfortable bathroom good . teapot room , although deliver anytime want . staff attentive . meal one would expect price room took long serve . like location stay less priced room . 
 Mar 6 2008 	 go Deluxe room . 	 hotel could great , however stay . stay one night Classic double room ( room 118 ) . hotel run promotion rate whether Pounds , Dollars Euros , make reasonable rate . unfortunately , room assign make feel like get good deal . request room bathtub face rear building , give . however , window cracked & amp ; warp carelessly fix hotel staff simply stuff tissue gap . effectively nothing fix problem , feel though window open let traffic noise . curtain , closed , block radiator provide heat anywhere curtain , make chilly night . the bathroom fairly laughable . bathtub smallest ever see 5 ' 8 & quot ; tall , would not able stand take shower . strange London hotel , shower curtain instead glass panel normally use curtain become part body shower . way keep cling . Yuck . bed pretty hard headboard squeak every move make , however sleep bad . however , awoken 7 am housekeeping staff chat directly outside door room . thin door & amp ; wall ! positive : room fairly big London standard . plenty storage space clothe luggage small desk . hotel free Wi - Fi , great , although get new access code day front desk . staff friendly helpful . location excellent - right across Hyde Park Lancaster Gate tube station . continental breakfast include pretty filling . believe pay additional £ 4 hot breakfast , not partake . all , would recommend hotel stay Classic room . would bet Deluxe room Suites would much acceptable . 
 Mar 3 2008 	 Decent hotel reasonable price 	 stay three night mid February 2008 find decent enough hotel . two thing note book depend preferencesroom smoke well non smoking . not know end smoking room non smoker feel smell bit . horrendous though . breakfast - want english breakfast sure book style breakfast pay extra . £ 4 plus £ 1 service charge per day little steep get think . the hotel situate right Hyde Park right next Lancaster gate tube station get around tube easy take walk Hyde Park easy . 's excellent indian restaurant close well french one pub around corner hotel well . the room clean well day decent bathroom . although back side hotel not problem noise level low give central London . I note breakfast time people problem get breakfast room bit small prepare wait although always ok fairness . 's problem size many table set 4 user pair could solve problem . overall though well trip good nice decent hotel relatively speak little way . 
 Feb 25 2008 	 wonderful staff good location . 	 second stay London Elizabeth , Lancaster Terrace north Hyde Park . we suite 2001 , Elizabeth Room year . husband LOVED Elizabeth room prefer suite . but main thing hotel staff . charming , polite knowledgeable , great fun chat decide place dinner wait cab . the breakfast room lovely , waitstaff polite offer good service , continental breakfast fill . the extra £ 4 full english breakfast also worth morning sausage , bacon , egg , mushroom , bean , tomato toast sound good . just around corner Bayswayter Swan Pub , much improve since 2001 , serve really excellent pub food . there bus stop right front hotel many stop include Victoria station Westminster Abbey . the Lancaster Gate tube station across street Central Line . and nothing fine sunny day walk Hyde Park Harrods visit Food Halls . we back , especially amazing special winter price ! 
 Feb 16 2008 	 live expectation 	 Elizabeth sound like good deal , wife book couple day sightseeing . staff could not friendly , 2 star review . lovely , hotel . lift experience , akin tight claustrophobic moment see Royal Marine training video . room small curious yellow stain wall . despite smoking ban come 7 month ago , room still reek cigarette . bed quite solid , acceptable . real problem place may room . front building , equip old sash window , room open slight noise time . noise night simply unbearable end tired tourist . 
 Jan 26 2008 	 location : Great - Hotel : average 	 hardly find well location bayswater area , close underground ( Lancaster Gate ) , Hyde Park across street far away Queensway ( app 10 min foot ) , find plenty restaurant shop . pub two minute walk away ( Swan , Bayswater road ) . hotel pretty much average , stay suite satisfied impressed . conservatory suite , panoramic stained - glass window - view wall . not fool expect stunning sight Hyde Park ! room size good , bath spacious clean , nothing complain . breakfast good pretty much average . staff polite provide service expect . ; average . , average word cover . get reasonable rate , good choise area . , many hotel choose Bayswater . compare rate location probably will not mistake whether pick hotel another one . would stay rate good time travel , will not spend extra conservatory suite . worth opinion . 
 Jan 8 2008 	 conservatory suite nice 	 Stayed wife son Christmas . get deal coservatory suite . quite comfortable three we . Squirrels roof morning wake call necessary .... really big deal speak management say go something . suite look Hyde Park -- back hotel look small square . parking lot . free Breakfast great shake enough get start day . never dine hotel can not comment . dining room pink ... pink pass meal there . probably good part stay staff ( speak 19 different language altogether - plus english ) really nice . see Hyde Park Suite huge ! ! overall positive stay . hotel old could use touch up great value money excellent location . 
