refuge 	 stay hotel reason lot traveller - conveniently locate train station . hotle moderately price , seem even bargain pay New York . our room recently refurbish lovely . bed spectacularly comfortable good sleep whole trip . unlike other , think room definitely large enough . view nice . room service ok , drink lounge downstair good quality , reasonably price accompany great service snack . surprise free wifi , pay , whereas 2 * hotel New York able provide it . the location ok , able find good restaurant use metro system ease . would definitely recommend . 
 Oct 6 2009 	 Bring upper 	 's something name place make feel important . location great . room bit disappointment - describe recently renovate , chip tile bathroom floor burn mark carpet - despite non - smoking room . everything except sheet towel BROWN . carpet BROWN . drape BROWN . chair upholstered BROWN . shower curtain BROWN . wallpaper BROWN . bathroom tile BROWN . frame around bathroom mirror BROWN . facial tissue BROWN holder . door paint BROWN . furniture BROWN . bedspread BROWN . lampshade BROWN . be unbelievable ! be naturally cheerful person sense absurd , come enjoy BROWN . otherwise , find somewhere else . 
 oct 4 2009 	 Great Time 	 Room pricey well worth . could not ask well location . 
 Oct 3 2009 	 nice Fairmont . 	 Furnishings service Fairmont 's usual standard . breakfast buffet great international traveler - lot option cater preference diverse culture . however , would say service Montrealais restaurant inconsistant . one server go beyond , one seem forget entirely . room service also inconsistent . fast , quality would expect place well - respect restaurant . ( e.g . overcooked , bland burger ; perfectly poach egg ruin set undrained top English muffin absorb water like sponge . ) sometimes butter , sometimes glass water , sometimes . find pour glass room service wine kind stingy , too . I however , love Les Voyageurs Bar . not mind pay $ 12 cocktail 's strong handmade . also serve great complimentary snack ( olive , chip , nuts etc . ) beverage , keep refill dish . an additional note - many cab driver drop side entrance - convenient . ( step doorman - ideal ' ve get luggage . ) ask pull around main entrance . 
 oct 1 2009 	 Excellent Location 	 well place visit Mont Royal , Old Town build main rail station well connect Olympic Park site . close shop restaurant . strongly recommend visitor join Fairmont Presidents Club want free internet access - hotel concierge gain immediate access . spacious room good view . would definitely stay . 
 Sep 28 2009 	 location make perfect 	 stay one night take train next morning hotel right train station . we , location perfect ! nice , comfortable room , bit small side . Room recently renovate . woman desk even offer we renovate room unrenovated room high floor originally book . price reasonable luxury hotel . go concierge desk dinner recommendation crowd , doorman see we head desk offer recommendation instead , helpful . 
 Sep 19 2009 	 5 star rating good reason ! 	 first foremost ... service well ever . travel often know exceptional service see receive . Beaver Club restaurant 5 diamond restaurant .... handful restaurant rate Canada . veeery pricey service food unparalleled . experience keep forever . my room rate little low find room limit space . room size use small furniture . confident pretty beautiful suite . also take note rent suite John Lennon Yoko Ono use famous & quot ; make love war & quot ; campaign war . it be suite # 1742 ... also take picture front instead . great location , close Bell Centre , well , everything downtown Montreal . 
 Sep 14 2009 	 good stay - especially good service . 	 return 2 night QE , part business , part leisure . good point : -very comfortable bed . well appoint stylish room , huge perfectly acceptable . Nice Miller Harris toiletry . gold floor lounge serve good continental breakfast floor concierge helpful charming . less good point : -The airconditione really quite noisy even low setting , fan stayed even turn off . not enough surface bathroom stuff . hotel bar area lack charm natural light , ( make good cocktail ) .Turndown service early , get ready go dinner call . however find general problem North America - perhaps Europeans go out / eat later ? ? lot choice hotel standard central Montreal would choose stay , location excellent staff friendly welcoming . 
 Sep 10 2009 	 Great Value Money 	 Excellent value money . room big adequate . location perfect . coffee shop serve great snack drink & amp ; kid drink ( & amp ; eat ) free . 
 Sep 8 2009 	 Fairmont quality need refresh badly ! 	 stay two night , bit Presidents club email good rate . location good , park anywhere downtown walk . pay $ 30 total 3 day close . subway train right , need go even . check area average well . pleasant service Fairmont service . room basic . bathroom adequate , fan . old tub toilet institutional style flush handle . strange . one small chair ( break armrest ) desk . wired internet , break ethernet cable . old style CRT tv 22 inch . bed supposedly queen feel like full good . firm mattress springy feel old . old style thermostat basic radiator / air conditioner . overall 2 star quality 4 star price . would stay many MODERN hotel downtown price . disappointing . 
 Sep 4 2009 	 Valet Parking ! give break ! 	 one traditional centrally locate landmark hotel , stay due favorable rate Company . average room comfortable bed , lack alternative valet parking enough ever stay ! take car give tiny blue paper , lose , otherwise find car need back . particularly annoying like get hotel multiple time day , need go every single time need park retrieve car . enough , hotel charge additional $ 26 per day parking ! stay downtown Montreal , try something less fancy near Crescent Street , Old Town Montreal . 
 Aug 30 2009 	 Excellent stay QE 	 spend one night Queen Elizabeth , town Montreal Film Festival . book two room hotels.com please able put we side - by - side room despite fully book . sign president 's club Fairmont website prior visit base another traveler 's recommendation early review . think worth , lobby get busy check - in nice short , private line . use valet $ 26 night , steep worth difficult park right center montreal . location hotel great , block lot shopping . restaurant many around , eat hotel 's bistro , Montrealis believe call . food adequate high price : nothing write home terrible either . service good , front desk staff helpful . upgrade we room king - size bed . room actually large expected reading review , certainly stay much much small room center city . bed comfortable , sleep wonderfully . overall would recommend hotel traveler , think would comfortable long stay well . 
 Aug 28 2009 	 QE always great 	 often go Montreal business leisure hotel definitely good spot town . beat location . sit right train station , walk distance everywhere need go , directly link underground city . Queen Elizabeth big hotel Montreal ( 1000 room ) interesting history behind . service level standardize always experience every time come . afford , gold floor fantastic ... slightly upgrade floor will find hotel , actually personalize boutique style hotel within hotel entrance . be look high service level , room need book , especially be business . be romantic week - end , regular room give intimacy need . finally , Sunday brunch really must , Fairmont ! ! beware ! ! family hotel . facility accommodate family , especially young child ; room design accommodate additional bed cot . room small ( cozy ) . ' family trip , option Montreal suit well need . another con ... hotel , especially Summer month ( high demand Montreal Summer ) get pricey ( mid June mid August ) . also QE host many convention , sometimes get fully book weekday ( tip : get fully book , try consolidator , sometimes room available even hotel say fully book ) . would recommend hotel anyone family trip . 
 Aug 27 2009 	 Nice Fairmont hotel . 	 go Fairmont Queen Elizabeth August 9 2009 tennis tournament ( Rogers ' cup ) . stay , atmosphere hotel really great official hotel tennis tournament . lot tennis player stay hotel week . general , Fairmont Queen Elizabeth really nice hotel ' perfect . HOTEL amenitie PUBLIC ROOMS : Fairmont Queen Elizabeth nice lobby lounge next . décor classy white marble floor . would say décor classic modern . ' still beautiful opinion . hotel nice fitness center good equipment plenty space personal workout . ' low floor , lobby . next fitness center , indoor pool two Jacuzzis . pool really big ' city hotel , resort . job . ' try hotel restaurant lot restaurant nearby ' comment , hear food pretty good . ' special particular hotel Montreal access underground shopping mall go level hotel lobby . mall literally hotel , ' need go outside reach . , would say Fairmont Queen Elizabeth nice public room good amenity hotel class . hotel ROOM : stay Fairmont room queen bed . find room small compare Fairmont hotel stay ' really beautiful . décor room modern compare rest hotel really nice furniture . bathroom small clean beautiful black marble floor wall . general , room great . service : service receive stay Queen Elizabeth good perfect . able check - in early reception employee seem really happy . job nothing . staff encounter thorough stay ' seem welcome guest enthusiasm . possible maximum score 10 , would give 7 10 service receive Fairmont Queen Elizabeth . overall rating : give Fairmont Queen Elizabeth 4 * 5 * nice amenity small , beautiful hotel room . reason ' give hotel 5 * service quality Fairmont hotel know . 
 Aug 26 2009 	 Tammy BEST 	 visit Montreal 42nd Anniversay last weekend . first time back thyis beautiful city since honeymoon exactly 42 year ago . the Queen perfectly locate many thing well nothing badly . our stay gold floor make especially enjoyable Tammy . make visit lounge area especially enjoyable . ( ' m certain title - attend snack drink area - , go way beyond expect service warmth . especially appreciate suggestion Restaurant Julien small ( not - such - an - elaborate - deal ) within walking distance . ( reason , ? ? Gold Room desk Saturday evening shift offer Menus & lt ; much help really & gt ; near ( walkable ) alternative Fairmont 's Beaver Club ) .a comment value : maybe thing change last couple year - think beer glass wine ought complimentary premium floor . honor Bar charge . : ( great selection beer . wine nice limited selection available . snack fine certainly remarkable . ( ' ve really enjoy spoil Ritz - Carlton Club Floor past year . ) thing consider , nothing would disuade stay ( Tammy might convince we return ) , would probably shop - around see might something & quot ; & quot ; . 
 Aug 26 2009 	 Nothing special 	 nothing wrong hotel , us charm character Fairmont hotel stay . room small , bathroom adequate . location great first visit . stay Montreal many time , location interesting . hotel charge 26 dollar day parking , pay 15 green p right behind hotel . week day , arrive later day , may helped we get spot . half rate hotel . hotel clean nice bed furniture , small large hotel feel . 
 Aug 24 2009 	 lovely hotel good location nice view city 	 stay long weekend escape NYC . date join President 's Club make check breeze give we amenity enjoy ( like morning paper ) . find little complain - minor thing like less frequent change linen few room attendant cause room service early evening ( 5:30 pm ) second day . room # 1078 tad small , ' ve stay tight quarter money . nice toiletry plush linen though . nice furniture much room storage - plenty mirror . lunch Montrealais Bistro Bar enjoy ½ pound burger - wait staff great ( staff attentive throughout hotel actually ) . Bistro pretty nice street view , price tad high , think comparable NYC 's east side hotelier price . word compliment housekeeping staff - leave behind paper grade . call hotel inquire , actually send someone check room , find miss item , return call offer send portfolio back ! considerate ! would stay , especially since almost directly Amtrak train station . great walking bike various neighborhood Montreal shop Old City Underground St. Catherine Ste . 
 Aug 21 2009 	 Great Location Yummy Brunch Buffet 	 Queen Elizabeth better location term shop . 's connect Place Ville Marie underground shopping mall , connect many mall like Eaton Centre Les Ailes , mention close proximity infamous Rue Ste.-Catherine . train station also directly beneath hotel , also ultra - convenient want arrive train . room little small side . ' m sure get slim pickin mostly like . think expect little term space maybe bed comfort , maybe little luxury , not big deal . far service go , must say valet service super speedy , give prop . concierge extremely helpful . take time , despite line , thoughtfully recommend restaurant provide print information location . thorough , prince fellow .. check - in slow , busy weekend . brunch restaurant next elevator , Le Montrealais , great . fresh fruit , fresh OJ , egg benedict , bacon , sausage , pastry ( must try one ) , crepe , yogurt , cheese . go early eat weekend get last everything . kid eat free , sure age , kid 6 under . Hubby say hot tub bit cold side , be pretty sensitive hot water . 
 Aug 18 2009 	 stay 	 let first say thing like hotel . location central place would want go , say , church Old Port St. Joseph 's Oratory shopping area etc . clean , must say , expect four - star hotel . read : arrive , parking already problem , since option ) valet service $ 26 dollar per day hotel , b ) green - p parking charge $ 8 dollar per hour . take PICK . check - in , 2 receptionist work wait 45 minute let we know room still clean . pool/ steam room open till 9 pm . much relaxation really need . travel 12 - month old baby call reception/ customer service ask use microwave warm baby 's milk , put hold 20 minute tell charge $ 10 rental fee microwave bring room use 1 minute ! ! ! much disappointment , lady reception tell boil water coffe maker say good suggestion . stay four - star hotel somewhere else uber primitive ? say hotel deserve four - star hotel . ' ve 3 - star hotel bathroom exhaust fan . one room ! bad . 
 Aug 14 2009 	 Great Location Elegant Hotel 	 hotel locate top Via Rail train station make convenient stay travel train . quick walk elevator ride train station bring lobby grand hotel . lobby lovely staff professional , friendly welcoming . room size adequate cleanliness also good . view hotel spectacular good location . walk St. Catherine Street many attraction . lovely stay . 
 Aug 5 2009 	 Excellent 	 great location , connect underground , great service , Beaver Club ! ! ! ! 
 Aug 4 2009 	 wonderful long weekend ! 	 boyfriend stay August long weekend wonderful time . arrive train easy walk train station right hotel . nice walk outside . request view Cathedral really wonderful come back room see right outside window ! room , smallish side , clean extremely comfortable . bed pillow invite hard leave room go sightseeing . bathroom small well , ' matter we still modern . rainfall shower head nice touch well . service speedy everyone super courteous we . check - in breeze ! downfall would note wall thin could hear everyone come room within little block room . could also hear people talk loudly sneeze coughing . overall though , location service , great hotel ! 
 Jul 29 2009 	 wonderful stay ! ! ! 	 stay Fairmont Queen e 3 night July 2009 fantastic time . travel train , could easy . get train not ever go outside hotel accessible underground . hotel lobby beautiful , room 16th floor magnificent view downtown , service absolutely superb . stay ' fairmont room ' , huge , certainly big enough we comfortable . bathroom quaint petite , everything need , include bathrobe , hairdryer , clothesline , etc . hotel location fantastic , concierge desk anything help activity Montreal . guide proper metro / subway , explain cab fare well equip , get want go appropriate / cost saving fashion . excellent service . we use pool every night Queen E , fantastic way end busy day ... pool , jacuzzi work room , really go wrong . accommodate age also wade pool young child . I would recommend Queen e anyone plan stay Montreal . would strongly recommend sign President 's Club membership arrival enjoy free internet access ( otherwise $ 13.95 + tax per 24 hrs ) morning newspaper every day stay . also accumulate point use towards future stay . always return Queen e travel Montreal ... easy , friendly , nice accommodation . 
 Jul 29 2009 	 great city location 	 grand dame Montreal show age bit , certainly get charm . look centrally locate hotel get good offer , solid choice . overall historically interesting ! first , stay hotel feel like journey back early 90 . need restoration ! second , series celebrity year . get chance , pop suite 1742 , 's Lennon / Ono hold 2nd Bed - In & quot ; give Peace Chance & quot ; event . book via offer hotels.com . although choose give 3 rate mean unhappy camper sense . 's keep fair balance hotel score TA . last time town stay Sofitel ( 3 block away ) , grade close 5 -- cost naturally . thank ODtravelers Wisconsin previous TA tip deli street , 2 floor lobby , train station level . great place breakfast ! get standard room 10th floor , ok . think room fairly tiny per north american standard . essentially bathroom . work fine . really miss safe box room though lock belonging securely . another security relate wish & quot ; lift key & quot ; people stay hotel access floor . room unfortunately soundproof . noise night guest come back hear neighbor tv , slightly annoying . Gym ok , equipment bit date . also nice pool . 
 Jul 28 2009 	 stunning hotel interesting history central location 	 beautiful hotel right main street Montreal heart city . many tourist attraction within easy walk distance transport ( bus , metro rail ) virtually door . entrance foyer grand staff welcome ( friendly doorman ! ) . not deceive hotel 's & quot ; Beaver Restaurant & quot ; , may look expensive 's really quite reasonable offer complete selection fine food , club sandwich gourmet meal . room 13th floor overlook Mont Royal McGill University ... absolutely breathtaking ! room spacious well appoint housekeeping offer ' turn - down service ' bed night place complimentary bottled water bedside . good enough John Lennon Yoko Ono , good enough we famous pair stay room 17th floor Fairmont famous & quot ; give peace chance & quot ; lie - in ' 69 . 5 night stay sheer indulgence ! highly recommend . 
 Jul 27 2009 	 queen good location 	 visit Montreal six seven time . always stay Queen Elizabeth except 2 time decide try hotel . queen locate street Rue St. Catherine location shopping . hotel sit underground ( great food shopping ) always eat Beaver Club locate lobby . eat place like Vargas nightlife 737 within walk distance Queen Elizabeth . also enjoy coffee pot room . cheep hotel great experience . 
 Jul 26 2009 	 absolutely fantastic ! 	 location excellent , service amazing , staff accomodate friendly . stay Montreal , honestly say good hotel yet . everyone concierge maid , doorman ( especially Douglas ) helpful go beyond call duty accommodate we . room large enough 4 us girl , though want stay hotel room Montreal experience outside ! ? ! ? room clean , hotel clean . Lennon / Ono room great see ( thank Douglas ! ! ) Gare Centrale conveniently locate shop restaurant ... everything close hand . wake cathedral view every morning feel european . overall great experience ! 
 Jul 23 2009 	 Personnel make extra special 	 first visit Montreal hotel everything perfectly . staff professional accommodating could ( especially Pascal & amp ; Jean Pierre ) . room big comfortable great view . location convenient Jazz Festival , Metro , shopping restaurant . definitely return & quot ; Queen & quot ; . 
 Jul 20 2009 	 low class hotel 5 star price * aviod HOTEL * 	 stay hotel weekend July . rate $ 300 / night expect get nice room good service wrong . book directly hotel ensure get good service . the check process slow ( wait time 20 minute ) . room available 4:30pm although check 4:00pm even ask get early check possible well advance . the room 2 - 3 star good . old tv room mostly french channel . water pressure low shower could barely take shower . internet room work bad problem encounter loud noise door slam day night . problem windows room leave open cause lot air pressure leave room guess , " SLAM " . anyways , get good night sleep wake 8 am house keep someone steal " disturb " sign . the valet parking temporarily lose car could find . good thing hotel overprice breakfast buffet . food pretty good . I would never ever stay hotel way price type room service get . 
 Jul 12 2009 	 great central location meeting 	 nice stay convention . connection underground city absolutely amazing . bell staff spot help unload arrive rain , front desk concierge excellent polite . room small side , 's beauty historic downtown hotel usually mean . nicely appoint . two basilicas within block ( Saint Mary , Queen World next door , Saint Patrick 's block ) handy Sunday Mass . Wish would know Saint Patrick 's English early . two block dozen great restaurant ( enjoy 3 brasseur tremendously ) . every need hand , IGA grocery store street , every imaginable food , retail , banking etc . within block two direction . 
 Jul 11 2009 	 lovely time 	 Accolades Queen Elizabeth staff . lovely stay despite negative review . yes , grand dame Montreal show age bit , room update comfortable . check - in process take mere second staff gracious . decide concentrate lot business stay Fairmont since many fantastic property around world . location perfect central much go . able walk nice shopping restaurant also relatively close Old Montreal . everyday room could stand comfortable mattress public area little sprucing , still feel much like destination hotel . thank Fairmont ! 
 Jun 23 2009 	 ok 	 hotel bad Fairmonts Canada . do not like fact bell door , one open door , carry package , get stuff , ask question lol , mean , I m princess expect . juniour suit nice though n location be not bad . price wise , fair . 
 Jun 9 2009 	 Excellent service great room view ! 	 book special 3 - night price 2 deal bargain rate via phone call hotel . arrive , informed would receive $ 50 per night food beverage credit member Fairmont Presidents ' Club ( sign online ) , would also receive free access Internet . request room view neighboring church give recently renovate room 17th floor spectacular view church city . room somewhat small expect , well - furnish kingsize bed , large flat screen tv , desk , armchair . lamp plentiful 3 - way eco - friendly bulb . bathroom compact amenity luxury hotel . dine 5 - star hotel restaurant piano bar - food service outstanding . overall , stay close perfect ; hotel staff extremely accommodating go way make visit delightful one . definitely stay next trip Montreal . 
 Jun 9 2009 	 nice hotel - good service 	 begin trip Canada special package rate $ 249 CAD night include breakfast . the room large , comfortable nice view Cathedral next door Montreal . bathroom bite tiny , door almost top toilet , shower nice large shower head . the breakfast large buffet nice . we eat dinner casual restaurant one night food excellant even though service rush . on last day find secret place - elevator lobby go level connect Underground shopping , secret . if go one level one train station find incredible food stand bread , cheese , wine , dessert , would able eat day . nothing hotel mention trove wonder ! 
 May 31 2009 	 GREAT location 	 stay Fairmont Queen Elizabeth two seperate occasion May , 2009 . arrive cruise ship , location hotel could want .. $ 12 CAD cab ride cruise terminal ( tip include ) . central train station locate two story hotel . many sandwich shop , Tim Horton 's Second Cup coffee lover , well McDonald 's Subway . I book directly hotel 's web site , category & quot ; package & quot ; . first stay term & quot ; Sweet Deal & quot ; .. $ 189cad first night , 1/2 price 2nd night ... breakfast buffet include day stay . package available Thurs- Sun . night stay . second stay , choose Imagine pkg . one night .. $ 199 CAD , breakfast buffet two ... 2nd night , choose regular senior rate , breakfast , leave early . recommend also join Fairmont President 's Club ( make reservation ) ... freq . guest program ... even go freq . guest ... give free in - room internet , amenity .. like daily newsdpaper . the room vary size ... stay , wide , flat - screen tv , pillow , upgrade bedding ... bathroom small ... shower curve large great shower head ... since Mrs . tourist , location perfect ... grayline bus pick hotel drop back ( approx . $ 39 tax senior rate ) ... airport bus pick hotel ( $ 15 CAD ) . arrange hotel .. since leave hotel day Ottawa , leave large suitcase , get upon return stay . convenience go directly train station wonderful ... 01 June , casino shuttle stop hotel ... find hotel personnel formal , friendly ... would definitely stay ... look package deal hotel web- site , compaint over - price ... 
 May 12 2009 	 great service average room 	 great plus hotel location service . staff , front desk housekeeping concierge friendly accomodate . hotel locate convenient spot downtown right Gare Centrale interconnect underground malls- provide access great shopping food . one big minus hotel room average quality . many competitor , even mid - range chain , upgrade bedding include thing like pillowtop mattresse comforter pillow ; Fairmont 's bed lack basically would expect mid - quality chain hotel 10 15 year ago . television small limited selection channel . room bathroom quite small , though clean decently decorate . internet access free President 's Club member ( wi - fi accessibility room - either use wire room go hall lobby use wi - fi . fitness center large well - equip . parking $ 26 / day in / out privilege , valet service obligatory . summary : good service location , Fairmont need strongly consider upgrading room remain competitive . 
 May 12 2009 	 great location overprice 	 stay one night FQE May 2009 2 year old baby . the hotel conveniently locate downtown Montreal direct acce Unerground Montréal . even access hotel train station . service excellent . the room small . pool open afternoon ( Saturday ) cold . overall nice stay think overpaid hotel . Hyatt Delta nice 50 $ less . 
 may 10 2009 	 wary extra charge 	 make poor assumption ersatz elegant hotel would provide complimentary local telephone call . imagine surprise find hotel charge $ 1.50 local call . receptionist explain & quot ; canadian telephone company determine rate & quot ; ... right . never inform cost local telephone call , information cost readily available . hotel also much far Palais ' congress conference center advertise many website . recommend Place ' Armes , Hotel W , Hotel Intercontinental ( oncy finish reservation ) . 
 Apr 23 2009 	 firmly 4 * deluxe Hotel great location 	 return Canada & amp ; stay 2 night . Hotel build 1958 & amp ; 1000 room spread 21 floor , careful view & amp ; room type book . room modern , tv 's pretty old . bathroom small & amp ; would imagine original size 1958 . service good , remember could one 2000 + guest stay . breakfast also good , tip upgrade Fairmont Gold room 19 floor , check , comp nibble 6 pm , check & amp ; comp continental breakfast , away 2000 peasant might encounter main restaurant . location great , Hotel perch railway & amp ; metro station , go basement & amp ; get land transportation immediately . we would recommend , remember due size Hotel , exclusive . 
 Apr 14 2009 	 Montreal engagement 	 stay Fairmont Valentines weekend , also happen boyfriend 's birthday . hotel ok . arrive pull front hotel go inside check - in find parking . front desk inform we indeed valet parking - $ 25 per day - speak doorman . complaint entire weekend would doorman . car park directly front hotel 7 car try give key say , be far away . tell we would go move around side door hotel . street one way , rush hour hassle not need want upon arrival Montreal ! stand hotel lobby least 20 minute boyfriend serve valet , appreciate . hotel not bad - certainly not go way however . get engage though still good weekend ever ! 
 Apr 7 2009 	 Nice Hotel Great Location ! 	 mum go Montreal shoot visit originate Toronto . stay Fairmont Queen Elizabeth great place stay visit montreal pleasure business . 's conveniently locate Via Rail station 's connect city underground ( close station Peel & amp ; bonaventure ) room spacious clean . nice furnish elegant . internet service room extra charge , not happy . room service available 24 hour bit disappointing . since hotel many connection street , train & amp ; underground system , management improve security policy . security guard 12 . everybody access public hotel area include elevator floor . stay see estrange people hang floor . overall experience good , would stay hotel . 
 Mar 22 2009 	 Great Hotel excellent location ! 	 stay Fairmont Queen Elizabeth back January boyfriend excellent stay , check breeze front desk helpful . make sure sign Fairmont Club Membership . receive complimentary internet connection , newspaper express check out . our room locate 17th floor clean well keep 3 night stay . hotel underground shopping centre shop small food court perfect quick snak . continue walk get Eaton Centre . go cold weekend helpful . hotel also right beside huge beautiful church . first time Montreal think Fairmont great . enjoy stay : ) 
 Mar 20 2009 	 queen show Age 	 first time stay Fairmont Queen E. although Fairmont Presidents Club Member , Valentines getaway weekend Montreal Toronto . take VIA 1 Train , reason book QE . 's location top Central Station . montreal cold February ( ) .this hotel date ! lobby look like 1959 leftover , even new remodeled room small , un appeal . stay numerous occasion Delta Centreville , Hilton Bonnevanture , excellent hotel stunning room . especially Delta Centreville . Queen e , room 19th floor - non smoking floor , unfortunately adjoining room smoker smoke billow adjoining room door . call front desk several occasion complain ( 4 time stay ) nothing do . upon check - out mention front desk clerk , apologize , state tourism Montreal , want loose guest smoking . well add , lose one ( ) . use ( say try use ) fitness facility pool , crowded kid ( 12 ) noisy facility also small hotel size . stay mid price Holiday Inn 's big well facility . ... barely step pool jump 12 year old . hot tub , fill kid . not get wrong like kid , say do , suppose romantic getaway . eat hotel restaurant , prefer dine Montreal 's finer dining establishment . even want dine , breakfast Montrealer , wait hour , instead make way Old Montreal nice Creperie . weekend spoil enjoy sight sound Montreal Mt . Tremblant . really use hotel place sleep . even bed hard , uncomfortable . room smell smoke ! ( next door ) . would never stay ! would recommend hotel anyone . bad location great . perhaps Fairmont executive pay hotel visit get standard one accustomed Fairmont Hotels ! ! ! ! 
 Mar 16 2009 	 great location great room great price ! 	 ' ve montreal maybe 50 - 60 time past 10 year never stay hotel . ' m sure will stay anywhere else ! can not beat location , be solid 4 star hotel . 's go to wow like Loews something nature , nice , well keep hotel . good thing connect underground city , numerous breakfast / coffee option elevator away . train station metro right , need ever go outside freeze winter day . walk nightlife St Catherine / Crescent Street within minute . park garage behind hotel will save buck . 
