San 	 average overall fine need . Thought would japanese hotel really refurbish hotel 80 's japanese decor . still , staff pleasant . room good size great big bath - probably good thing room ) twin room plenty space . 10 min cab Union Square 20 min bus ride outside . room idea restaurant like . Filmore St min walk roab interesting shop + restaurant . 
 Oct 12 2009 	 cheap makeover big disappointment 	 initially excited book Kabuki , become addicted JDV hotel , vitale particular ! hotel room however look nothing like glossy picture huge , huge disappointment ! arrival hotel seem understaffed , que front desk one porter sight busy wedding guest . get lift ( need clean ! ) dirty glass clear view table opposite lift . take staff 2 day remove , even complaint manager ! hotel room extremely poorly , cheaply quickly make room look like dirty old 1970 fixture , heavily artexe ceiling yellow pipe remain , tatty wooden frame crack decay around window door , paint . window screen make look like unfinished garden trelless fit card . light bulbs bathroom work intermittently , shower look 10 year old , miss 's dial cover toilet could hear flush room below . in fridge drink aloe juice open , half drunk return fridge . we burn dirty stain lamp shade . disgust dirty windows old metal slide door not slide , fact one would not open ! balcony 1 ft deep dirty fake grass mat it . the air filter look dirty slept door open night rather use aircon . bed comfortable yet make sheet turn back reveal multiple hole blood mark . paper peel wall area patch place item move wall cover hole . even leave pencil line one wall measure hang frame . view redeem feature , yet not like think main road dual carriageway would say may enjoy they . we make complaint first day show room high floor identical problem . guy show we offer excuse/ explanation poor state room & quot ; build 50 year old & quot ; , explanation solution look ! pay full front would leave immediately . sheet get change room depress . feel stupid con booking place spend much time away possible . the business centre also one 5 hotel stay 3 week trip charge use internet . please look visitor picture see reality 
 oct 9 2009 	 ok experience ... offer could deliever ... 	 Location Japan Town excellent close great food culture . hotel ok nothing ordinary . Lobby Garden describe quite beautiful room basic standard good . number one complaint popcorn ceiling . really ? ... day age ? scrape old stuff ! bathroom perplex w / too many door actually hit open . restaurant great decor Sunday breakfast buffet forgettable . $ 18 dollar powdered egg ? luckily , City Hotel . , would like ' Wowed ' . one last thing ... advertise ' welcome tea ' non - existent . : - ( 
 oct 8 2009 	 fabulous place Japantown 	 stay 6 9 year old boy corner king room rock view city slide door open along two wall . boy love ! love hotel general one get big thumb uniqueness ... deep soak tub , slide door , chaise lounge Japan town mall attach hotel . plus join Joie De Vrie club get email rate . get room $ 111 city rate run much high . 
 Oct 8 2009 	 lovely glad discount code 	 find great rate via facebook page & amp ; glad ... pro : wonderful location , comfy bed crisp linen , great shower pressure & amp ; nice flat screen / con : small expect room ( fine low frill & amp ; nowhere near five star ) & amp ; soak tub , sure ask 's wantoverall , lovely stay , especially price & amp ; definitely return San Francisco . especially discount code twitter facebook . enjoy ! 
 oct 8 2009 	 japanese Experience Heart San Francisco 	 enjoy wonderful stay Hotel Kabuki . service friendly warm arrive hotel . feel step hotel Japan . beautiful japanese garden lobby room rice paper screen japanese bath tub . hotel locate next Japantown provide we good restaurant shop . 
 oct 8 2009 	 Loved Kabuki ! 	 get good deal pre - pay room Hotel Kabuki satisfy . corner room 10th floor great view city . location nice , easy walk Union Square , far enough much quieter . lot great japanese restaurant area . travel car , not bother valet parking hotel . adjacent mall underground parking allow enter basement hotel without even go outside . 
 oct 8 2009 	 find internet deal grab enjoy stay upscale japanese hotel 	 internet special , get & quot ; deluxe view king room & quot ; $ 85 / night , price , stay amazing . japantown quieter area city ( though nice mall well - price asian eat ) , centrally locate , find easy walk section want explore . hotel staff kind , room elegantly decorate . complaint shower head pretty low , watch be tall side ! order room service one morning , food fine , nothing compare place eat morning . would definitely stay could find comparable deal . 
 Oct 7 2009 	 never ! 	 go San Francisco fairly often business usually stay JW Marriott . change pace , think would try Hotel Kabuki advertise japanese style room free INTERNET ACCESS . also sign Joie De Vivre program ( version point program ) booking . fill form listing preference , include whether would like water , white wine , red wine upon arrival . not drink , select water . arrive , tell choice wine -- hotel water ! hotel bottled water ? ! ask could Diet Coke , front desk say & quot ; & quot ; . tell want Diet Coke bottled water , could purchase Honor Bar . promise water ( simple ? ) , claim , say buy Bar . get bad . book japanese suite . hotel advertise free internet access internet access must business . cable room wifi limited range . spend HOUR phone various level tech support , avail . finally move another room , finally sporadic internet access . japanese theme quaint , room outdate , bathroom tile chip , even top toilet chip . ' m 5 ' 7 & quot ; , shower head WAY low , yet sink high stand toe wash face ! bathroom look like have not update since least 1980 's . & quot ; cute & quot ; thing flip scale ( think radiator ) . must 1950 's . one tatami mat huge worn area . 
 Oct 6 2009 	 Great Value reasonable price 	 first get San Francisco , booked & quot ; Mosser & quot ; hotel . primal location , room tiny ... tiny . pretty much not contain much else beside double bed . boyfriend mid full size luggage , room we lie luggage floor . every morning get dress struggle . decide look somewhere else , be move Hotel Kabuki . for $ 30 one night , get ten times comfort . room much much big . fit king size bed , write desk , full size bathroom separate shower bath , still ton room spare ! finally lie luggage still able walk around . it be 10 minute bus ride Union Square . 3 - day Muni passport , not worry get exact change . also hotel close major road & quot ; Geary & quot ; , bus frequent , rarely wait 5 minute bus . king size bed 400 thread count sheet comfortable , every night sleep like baby since get . bathroom nice decor , hot water shower take round 3 minute actually get hot - maybe 's room ? ton restaurant around - mostly japanese food . 's Japantown . lot cute shop nearby get japanese art craft . be quite neighborhood , definitely lively Union Square , would want hear people party go sleep ? 
 oct 2 2009 	 wonderful Hotel 	 wonderful time . stay week , mean price lower get 4 - night deal even less . room 16th floor could see Golden Gate clear day , beautiful view . parking relatively cheap compare rest city , garage next door direct access hotel elevator $ 16 24 hour . rest trip take advantage muni system ( google & quot ; MUNI 511 & quot ; plan one take day ) pretty easy several stop near hotel ease - go Alcatraz , Golden Gate Park , Bridge , Union Square , Port , Market Street , Fishermans Wharf , Ghirardelli Square use MUNI . there s also Safeway nearby cheap dinner room . lot restaurant nearby well ( mostly japanese course ) . fridge room kinda small fit breakfast item save litle money . shower really cool , keep towel / clothe floor soak . one complaint could control room temperature , least could not figure . warm sleeper seem hotel system switch & quot ; heat & quot ; certain hour , good we ( also September , still mildly warm outside ) . sleep slide door crack window cover pull pass . also mean little noise come - put cotton ear . also , share balcony room next , careful . room cozy , little tight . day care . bed pillow wonderful , love . pet friendly cat we charge we pet - fee ( may dog ) . reason would stay would experience somewhere else , though hotel outside & quot ; downtown & quot ; quieter , still within easy reach thing want . : - ) oh yah , free internet . discontinue room service . 
 oct 1 2009 	 hotel unique japanese style 	 hotel try beat ' bland ' japanese theme . carry well deep bath tub , wash stool ladle bathroom , tea - set , rice - paper / mural screen window , decor keeping . room large well - equip comfy bed . downside door vanity area glass door bath , suitable want privacy . also so - call balcony wide enough stand also connect directly next room . 
 Sep 27 2009 	 hotel quiet place submerge small local culture 	 end long day urban hiking , return Hotel Kabuki like & quot ; come home . & quot ; area quiet stark contrast hustle bustle Union Square . time , hotel directly connect Japan Center several japanese restaurant , bar store . also couple restaurant across street recommede we local San Franciscan ( Korea House fusion restaurant , couple door Korea House ) . room average size offer japanese soak tub , much appreciated feature . bed incredibly comfortable . the begin California cable car frequency start point day . 8 block hotel , nice walk . cab Union Square cost $ 7 ( sans tip ) .I would definitely stay . area peaceful . experience great hotel easily accessible . 
 Sep 27 2009 	 First Class 	 husband stay Hotel Kabuki recent short vacation SF . thank wonderful rate Expedia , enjoy stay King Club room price ordinarily would much expensive . bit disappointed hear ' ve cut back ammenitie room service , tea service , advertised welcome sake , although surprising due current economy . despite , enjoy central location near public transit ( SF Muni ) easy travel around city . customer service , cleanliness , ambience top notch . peaceful worth return ! 
 Sep 25 2009 	 Great Hotel Great Service 	 Hotel meet expectation . stay corner room roomy awesome view japantown surround area . room bathroom clean maid wonderful job cleaning room . bathroom big nice deep tub . staff helpful friendly . hotel close safeway small japanese grocery store pick food drink bring back . also 10 dollar cab ride place city hotel central location . highly reccomend anyone visit SF . 
 Sep 21 2009 	 Trendy Boutique Hotel 	 lovely hotel Japan Town . $ 2 journey Bus . 38 Union Square . Free Wi - Fi breakfast . happy hour bar / restaurant good value money . try 3 4 starter half price ( tapas style ) wash $ 3 pint beer .. bad . Bill , look bar mine information pretty good cocktail well . enjoy stay hotel & amp ; would definitely recommend .. 
 Sep 19 2009 	 gem 	 fly often San Francisco , mostly business . previous strategy use Expedia order get good deal random reasonably locate hotel reasonable condition . sample number hotel way ' ve change strategy settle Hotel Kabuki go - to location San Francisco book directly Joie de Vivre chain advantageous go travel bundler . like reviewer like hotel , enjoy japanese style bathroom 's soak tub . also enjoy japanese touch meditation garden , room decor , tie - in nearby spa . seem clean people thorough job mid - price hotel . also well treat staff . business traveler , much appreciate free high speed internet -- 's pet peeve mine hotel charge ( sometimes outrageous ) amount . 
 Sep 17 2009 	 relaxing stay 	 really like hotel . love thing japanese add pleasure japanese garden property location Japantown . bed large comfy , room spacious bathroom . particularly love deep japanese tub . looooong day sight see horrid & quot ; hills & quot ; ( think be mountain ! ) be nothing well relax one tub . pleasant stay . one complaint balcony bit small . would stay . 
 Sep 17 2009 	 Fun experience 	 Kabuki hotel great location visit Japantown ( check cute shop nearby japanese mall ) close trendy shop Filmore str . however , bit far everything else SF tourist might want see . room nicely decorate true japanese style without kitschy . parking easy underground parking garage . 
 Sep 15 2009 	 Quite Safe 	 love hotel seem quiet safe location . good sized room bath room . thing really bother amount mold behind overflow drain bathtub . ew . 
 Sep 15 2009 	 good place great service 1 hiccup 	 beautiful property middle Japan town . hotel staff always helpful pleasant . one problem final bill ; one email General Manager receive prompt professional reply satisfactorily address issue . 
 Sep 5 2009 	 unique comfortable hotel good location 	 stay 3 night husband , 4 year old son 20 year old nephew . front desk staff friendly helpful . Doormen hit miss . one particular attentive friendly . other somewhat aloof . lobby sublime garden . room well design little outdated . location great ; away hustle & amp ; bustle downtown . bus conveniently locate block away make Golden Gate park , Ocean Beach downtown easily accessible . several restaurant Geary kid friendly deliver . great parks/ playground nearby Pacific Heights . Kabuki Sundance theater & amp ; Yoshi 's jazz club within walking distance . perhaps good associate Kabuki Spa & amp ; Springs take relaxation whole new level short walk away . would great romantic getaway girl 's weekend well . 
 Sep 5 2009 	 nice end Roadtrip honeymoon 	 buy stay online 4 day arrive San Francisco end month long coast coast roadtrip . got great price would ' ve pay have ... lovely 2 night , be japantown therefore good location get place . the room comfortable ... nice big bed decent size bathroom . splurge room service breakfast lovely ... even get order slightly wrong ! leave airport morning therefore not return due time ' m sure would not problem service excellent ! restaurant worth visit menu japanese / western mix ... recommend burger ! use valet parking hire mustang convertible want look , parking short walk away , look safe enough decide take chance ! valet attentive informative go ! overall good place stay ! 
 Sep 1 2009 	 Fabulous ! 	 5 night . love ! ! ! staff great , front desk , & amp ; door man . so many people complain price food bar/ restraurant . find average food wonderful . every night try something new . great happy hour . : ) right next door small mall . every morning walk 3 bakerys coffee goody . many place eat , unique . since Ohio , excite we . ever get back , stay . 
 Aug 31 2009 	 great stay great location 	 stay 5 night japanese style hotel Japanese touch green tea shoji screen deep tub nifty shower . noisy street side first night move we inside face room nice view twin peak . eat nearby Sazu Ramen restaurant ( wonderful maguro ) , love shopping Ichibankan , buy snack Safeway . japantown pop festival unexpected bonus . location great access muni bus walk wharf , downtown , Golden Gate Park , Hayes Valley . front desk provide map , newspaper , cheerfully print boarding pass . 
 Aug 24 2009 	 good stay beware parking garage 	 nice location Japan town . clean quite area . nice walk bay would not suggest every day stay consider hill . nice , clean room . parking garage ok , beware need get 6:30 morning like catch flight , pay $ 50 fee ( cash ! ) open garage . 
 Aug 19 2009 	 Nice Good Location Little Ones 	 enjoy 4 - night stay Kabuki . due travel delay , arrive midnight call alert desk late arrival warmly greet . upper level view King room quiet simply decorate , nice , clean japanese soak tub . hear street noise ( even car alarm ) service elevator across hall , room well insulate share narrow balcony room next door . room electric kettle , teabag instant coffee traditional cast iron japanese tea pot cup tea . afternoon sake tasting attend . Desk Staff point convenient coupon discount japantown parking website . complaint would two share room lack door bathroom area cast light sleep area , unable light wc without dress area light go wake sleeper . japantown shop right next door , able enter Peace Plaza Center lobby . lot family friendly dining option , shopping , gift , snack option nearby well . enjoy pleasant pre - bedtime stroll japantown night . Geary Post Street bus frequent convenient . make return visit Kabuki next trip San Francisco . 
 Aug 16 2009 	 Perfect getaway honeymoon ! 	 hotel amazing great service , unique rice cracker pillow snack , delicious breakfast , close enough everything husband feel need experience San Francisco . staff go way see enjoy week . rate room reasonable plan stay next time visit San Francisco . 
 Aug 10 2009 	 overall great ... 	 really excited stay location ( center Japantown ) , however pretty much good thing . not really problem room except bathroom area . small nook toilet shower room glass door lock ! needless say , not good place stay want privacy family member , etc . shower . first night absolutely hot water . informed front desk problem could offer suggestion . send engineer say & quot ; everyone must take show time hot water . & quot ; ask we , & quot ; oh , like shower hot ? & quot ; well , duh ! wait hour try tub . still hot water . time front desk offer give we key could walk separate building take hot shower . seriously ? pay stay hotel room hot shower , walk someplace else hot shower ? mention pay extra soaking tub , end could not use anyway . end take cold shower not use tub next morning . overall , soak tub waste money service sub - par . location decent thing mall access hotel lobby . look somewhere really close Japantown , look Hotel Kabuki . not matter , definitely try someplace else . 
 Aug 10 2009 	 impressed Kabuki 	 excited stay Kabuki reading review Tripadvisor get great rate hotwire , stay 4 night , say ' m disappoint overall stay . corner room balcony , 7th floor see build next door busy Geary Street . nothing spectacular look lot street noise listen . go put toiletry counter bathroom , shock filth around sink . swipe finger across counter , black ! ! ! ! not believe back counter wipe , let alone clean , long time . look like person clean surface wipe ignore rest . make worry rest room 's cleanliness . one robe , wash clothe . housecleaning bring we request apologize get dryer , robe look like come dryer wrinkly . one tea bag ( regular store brand ) floor not look like vacuum . complain get room adjoin building balcony , though room size . night group hotel decide party balcony 3:00 morning shout courtyard echo room . obnoxious night ' ve hotel . front desk responsive call & quot ; guest & quot ; go back room , though ' m sure neighboring room happy since able hear everything next door we . stay lot hotel year , think hotel one disappointing stay ever , mostly high expectation sight . 
 Aug 7 2009 	 Great Hotel Great Neighborhood 	 book awesome deal hotel pleasantly surprised find nice hotel neighborhood Japantown ... room clean , nicely & amp ; simply decorate touch modern Asian , bed comfy , internet easy , plenty shop & amp ; eatery within walking distance . definitely recommend cute little asian shop & amp ; crepe right inside mall next door Fillmore St shop like Marc Jacobs , etc ! look forward go Kabuki Springs spa unlucky we , undergo cleaning / renovation week stay ... darn ... parking pain , , everything great ! 
 Aug 7 2009 	 relax Kabuki 	 nice nice hotel stay Yosemite . Centre Japan Town . Nasty $ 16 daily parking charge . everything else fantastic . bit distance downtown SF good base travel . staff nice polite . 
 Aug 5 2009 	 Great Hotel Good / Safe Location highly recommend SF First Timers 	 first time visit San Francisco , be glad choose hotel great introduction city ! Japantown far main San Francisco attraction , yet close noisy , overcrowded street popular part city . safe & amp ; clean place walk around , plenty japanese restaurant , grocery store , gift shop step away hotel . hotel accommodation great - room clean look like picture hotel 's website king size bed comfortable . floor pretty quiet - hear traveler night , maybe stay weekday . visit main attraction use public transportation walking . couple bus line close hotel , depend want go . look map San Francisco , see Japantown 10 - 15 minute away bus major attraction . also use GPS find good restaurant / shop delighted find get within 2 mile radius . doorman staff also helpful arrange taxi helping figure bus line take . would recommend first time traveler San Francisco get city pass ( available SF 's visitor website ) , include pass main attraction 7 day , unlimited pass bus / muni / trolley public transportation . 
 Aug 4 2009 	 great safe location nice hotel 	 stay 4 night ' Executive Sauna Suite ' comprise 2 room bathroom sauna . kid sleep sofa - bed living room . price good Expedia . arrive able park front hotel whilst check . car , good place stay park independent underground car park lift hotel lobby , $ 16 per day . room comfortable , especially king size bed , much sofa - bed . balcony overlook Peace Pagoda . fixture fitting probably need update , overly . lobby lovely Zen Garden . not eat hotel - breakfast expensive , go May 's Coffee Shop Kintetsu Mall ( opposite side Peace Pagoda , near Benihana ) . eat first night Benihana kid especially enjoy . great time San Francisco would recommend particular California Academy Sciences child adult alike ( especially aquarium , climate change exhibit green roof ) . 
 Aug 3 2009 	 Relaxing stay 	 Hotel Kabuki conveniently locate heart Japantown San Francisco , right next door Japan Center ( fill great japanese restaurant , cafe shop ) , close movie theater far Union Square ( take bus nr 38 Geary str ) . hotel quiet street , make great location relax busy day sightseeing . recently renovate , room modern yet cozy , king - size bed comfortable . bathroom Japanese soak tub bath salt enjoy . large flat - screen tv free wi - fi provide entertainment . the hotel 's restaurant breakfast instead decide walk step grab bite one cafe Japan Center . room rate originally higher get great deal Travelzoo . 
 Aug 1 2009 	 will back 	 love hotel , staff friendly , room lovely bed comfortable . japanese bath brilliant . toiletry supply [ especially soap ] excellent quality abundance towel . will back . 
 Jul 31 2009 	 ideal location anyone visit San Francisco . 	 room get $ 80.00 Travel Ticker could not ask well . room two walk - out balcony tenth floor phenomenal view either direction . room look like picture , lot nice touch like chaise longe print screen allow let light bamboo shutter close screen completely darken room . lobby lovely 's view japanese garden many place sit . use well - equip exercise room also view part garden . cold San Francisco hotel fantastic A / c crank heat . teenage daughter paradise Japan Town mall hunde foot away full japanese restaurant , knock - off jewelry , bag shop , Manga anime store wonderful hair salon get hair cut japanese style . enjoy walk mall every morning get coffee along freshly - make japanese pastry shape like fish , wonderful filling . across street Hotel Kabuki restaurant call Sanppo eat couple time great atmosphere , good tempura seafood soba . staff friendly thoughtful . within 20 minute walk Union Square part town take 20.00 double - decker tour bus take we tourist site get often please two day , bad deal . Union Square area 's lot shopping , like tour bus guide say , & quot ; Neiman Marcus , otherwise know needless mark - up . & quot ; line get San Francisco Museum Modern Art go around corner get . see inside well worth wait . great vacation we . 
 Jul 30 2009 	 Excellent hotel great location 	 wife really enjoy stay Hotel Kabuki three night stay San Francisco . staff friendly , hotel clean ( really nice - look lobby area japanese ambience ) , location suit we tremendously . japantown mall immediately adjacent hotel , convenient underground parking lot hotel . hotel also close Upper Fillmore area many restaurant , shop , casual eating area - great area simply wander dinner . 
 Jul 28 2009 	 Love place 	 sometimes get great rate , part 's center usual business / tourist action around Embaradero , Union Square wharf . hand , be close expensive hotel SF zoo Golden Gate Park Haight . room nice , underground park $ 2 / hr $ 16 24 hour ( in / out , matter we , valet $ 40 ) . not car , be $ 7 cab ride BART . restaurant 's bit overpriced ( $ 3 coffee go ) , room deal , be small price pay . nice spa around corner . bed comfortable , accommodate front desk , attentive management . second stay , will go back . one thing nuisance fitness center , one treadmill one bike -- render morning schedule uncertain wait machine . 
 Jul 26 2009 	 clean . lovely . quiet . 	 find great last minute deal feature msnbc.com . great location we . peace quiet pleasant surprise beat path . staff friendly . hotel pleasure home base . complaint everything close 8 pm Japantown . ( well may reason peace quiet ) . will grab provision Sutter Geary call night unless want $ 5 snicker $ 7 water minibar . 
 Jul 26 2009 	 love 	 town King Tut Exhibit . Hotel Kabuki grreat experience . check - in easy . room quite large bathroom fantastic . love soak tub . instead fluffy plain ' ole white robe get traditional japanese Kimono ! ! traditional tea service automatic . ask - willing . breakfast little steep - $ 18 . waitress good service excellent . Doorman helpful ; front desk helpful . plenty underground parking . $ 16 / night . hotel validate . would definitely go back . 
 Jul 20 2009 	 fine would try another location next time ; people polite 	 take San Francisco City Shuttle hotel since leave cost $ 17.00 bring we directly Hotel Kabuki . shuttle back $ 13 , might sort airport fee attach first time . give room 1007 friendly Daniel front desk . give information city , gym open . room corner room small balcony . nice , view nice . room decent size , bathroom configure oddly , maybe ' ' do Japan . one sink , full wall mirror , closet toilet combination area deep soak tub shower alongside . shower enough pressure make ok . area glass door , one else could use sink area take shower . never use deep soak tub trip . clear door inch away wall mirror would well suit romantic room . balcony door pretty shutter certainly lead lot natural light . never get tea service advertise website , though tea service room already . deal breaker , bit downer . also find easy walk city Hotel Kabuki , walker , everyone might think . never take public transportation anywhere , though one take cab back twice . employee encounter nice polite love doorman . exceptionally pleasant helpful . one sort force front desk help ; always smile , , think time , provide ask . answer always little tnetative regard garage , ahve car , may want get definite conclusive answer . also place lounge pick coffee $ 3.00 morning , since not alot place immediate area . I really get chance explore hotel , decor classic , neutral calming . also , good hotel see show Fillmore literally 3 block away . 
 Jul 18 2009 	 nice place stay 	 stay 2 day town . booked room 80USD avg per night travel ticker deal . hotel good value money . check easy hotel staff helpful friendly . room clean tidy , hot tub really nice . little distance attraction . taxi ride cost 7USD get chinatown area . need shuttle get airport , call shuttle directly . concierge charge another 6 dollar help arrange shuttle . good place stay . 
 Jul 18 2009 	 Nice hotel location great ! 	 hotel clean well furnish good size room friendly staff . hotel situate Japan town little outside centre city . may cause problem short time . area appear safe local shop supermarket within easy reach . as San Francisco hilly , unless super fit may find problem walk form hotel fisherman wharf etc . get taxis rest time . overall complaint hotel apart location 
 Jul 17 2009 	 Hotel Kabuki pretty unpleasant . 	 lobby full circling fly . our hotel room bizarrely construct , toilet TINY little alcove , shower another room entirely . fan , shower steam settle everything . result , room get musty stay way entire trip . the ' exercise room ' hardly , equipment 1970 hardly work . think use conference room . parking nightmare . car , stay somewhere else ! semi - good thing hotel proximity Japan Town ( be ) , breakfast buffet ( though be expensive ) , bed . otherwise , be really nothing good say hotel . 
 Jul 17 2009 	 one word : BEDBUGS 	 say . management claim room treat headboard remove , bug live . 200 bite . 
 Jul 12 2009 	 Meh 	 average service . room interesting decor . hotel bar ok . would stay price right . parking expensive difficult find . not fantastic , bad either . price rather expensive . 
 Jul 11 2009 	 Nice Hotel Location 	 really like Hotel Kabuki . get great rate great value . parking concern SF , could park next door cover lot direct elevator hotel $ 16 per night . spend full day sightseeing use bus system cable car ride bus stop hundred foot front door hotel . convenient not worry park popular tourist spot . like separate bathroom toilet , sink , shower little room . also , walk three block drugstore 8pm concern neighborhood . 
 Jul 8 2009 	 love stay ! 	 room clean ! bed really comfy opinion goose pillow sheet change every day ! room 16th floor , really LOVED ! view awesome night day . flat screen tv nice bonus , ! bathroom clean well . hotel awesome regard keep noise level . feel like one . quiet peaceful ; japanese style slide door cover glass door lead balcony allow virtually light peak dark night keep noise room outside . neighborhood seem safe . overall , really like hotel . two kid husband enjoy much ! would definitely recommend hotel . not pay $ 35 night parking valet . parking garage adjacent hotel $ 16 day , pay go . park along street day pay $ 16 overnight . 
 Jul 7 2009 	 Nice Location ; convenient ; nice room little worn ... 	 relatively large hotel nice neighborhood Japantown , conveniently connect Japantown plaza shopping mall , plenty good place eat ( Japanese & amp ; asian food , course ) shop ( excellent japanese bookstore shop ) . basic room , especially double , tight . lack kind dresser , mean live suitcase 5 day ; comfortable situation . japanese bath ( separate shower deep soak tub ) nice touch , take lot room would otherwise allow living space . room low - rise section ( junior suite , etc . ) much well , though view well tower . parking shopping plaza relatively cheap ( $ 15 / day ) convenient ( direct access elevator , straight room ) . in / out access , though . finish wear , corner furniture bit beat , place clean service fine ( though great ) . would stay , would opt large room . 
 Jul 5 2009 	 place fine single traveler 	 hotel 's appearance , outside , fine . however , room , small side oddly - configurate bathroom . toilet room , single sink & quot ; cove & quot ; little counter ( double room ) , combination japanese tub shower cramp operate single light switch . one party rise early attend conference , needless say , single light mechanism bother other try sleep . mention door separate bath area double bed area ? not know room similarly design ( top floor ) privacy trip problem . plus , hot tub , pool sauna . fitness area poor . place sit public place . uncomfortable seat lobby . good value cost . view nice . 
