beat 	 terrible 's nice hotel casino sleep night town . stay many other strip busy day traffic unbearable . terrible 's short drive strip walk athletic . room luxurious go vegas locked room , long somewhere crash that s sleazy smelly terrible 's make cut . 
 Jul 6 2009 	 not fool name 	 pro : cost , shuttle service to / from airport , onsite restaurant , comp gamblingcons : rude shuttle driver pick airport , food buffet disgusting , internet access 
 Jun 19 2009 	 Good ever 	 return late visit Las Vegas seventh stay Terribles . we would stay anywhere else find Terribles year ago . the location problem car property compact short walk room carpark restaurant . the food serve restaurant good reasonably price . the casino large enough good variety slot . Most staff fine course usual one two exception seem encounter everywhere go . we like visit big hotel strip would stay one Terribles suit we fine . as live UK always stay 2 week like enjoy slow pace terrible large noisy property elsewhere . 
 Jun 19 2009 	 Hotel Couples budget . 	 like strip , keep mind probably need car travel Terrible 's . stay hotel 5 night . room similar Best Western . clean , bed comfortable . casino great ! excellent play back slot blackjack table great . staff friendly , drink free flowing . downfall need well vent system . place get smokey . stay old part hotel . would definitely recommend stay new tower . Sign Players Card . get free slot play hat Tshirt . stay , request new room , even pay . overall good experience , especially couple budget . try buffet cafe good food good price . also , great Pool . cozy . lot tree even gardenia plant . 
 Jun 15 2009 	 certainly terrible ! 	 bite hesitant book hotel especially name go along , look budget hotel 4 night first time stay Vegas 3 friend , book 2 queen room ( 2 room ) .The hotel shuttle great , do not see many hotel offer , wait quite though upon arrival airport , 30 min , although land late around 11 pm wednesday night . short 10 min ride airport , know could easily got cab save wait , shuttle way back airport perfect , order front desk right time . huge car park front always park spot . on check do not wait long , say 1 queen room available moment apologise put friend ground floor & quot ; suite & quot ; say BONUS ! ! ! ! fantastic , desk say queen room would ready day want come back get key .... chance ! ! ! suite awesome , 2 seperate room , 2 plasma 's , gambling table , fridge , jet tub , walk shower , king bed , walk double sized patio either room , totally love room make trip special , hence say avoid front desk rest stay would not move we ! queen room friend ok , complaint , plasma , good sized bathroom , 2 queen bed , nice view pool area . the pool area nice never busy , fact ever see handful people round , nice big lined palm tree 's , nice setting.the hotel relatively quiet compare strip , could not hear noise late night , casino great , although big everything need , good low rate table plenty slot , bar casino good , offer happy hour drink every day 4 - 7 $ 2 draft beer , awesome deal . we eat restaurant hotel first floor every day , food value money fantastic , portion size enormous , even breakfast , price could not beat selection menu large I ve ever see , steak egg breakfast would cost we $ 5 evening meal could easily eat $ 10 . never busy get table right away every time . even brand Terrible Ketchup brown sauce terrible wine . it good 15 minute walk strip bring Bills / Ballys , get cab times $ 5 , especially late night do not fancy walk back , strip hotel distance be not far expect . walgreen 7/11 can not remember , right across road sell beer usual thing , would stock fridge room instead buy thing hotel day . all never single complaint hotel , except friend see 1 tiny cockroach upon arrival room , never see single one . would definatly reccommend hotel want low budget hotel that s strip bit quieter ( although casino always busy ) definately terrible stay heartbeat ! 
 Jun 9 2009 	 good comp Vegas 	 travel mom 4 night compe Flamingo total reward -Did not work , apparently husband name one account would not honor offer ( funny get e - mail name ) . end Terrible 's love ... sign player card 2 1/2 day medium playing room totally compe plus get free merchandise . casino smokier small side actually see lot winner . bingo Keno lounge Pai Gow , hopefully future . Buffet good restaurant not bad breakfast pf Changs across street Hard Rock 2 block . pool area real big nice say , lush / tropical . entertainment good service great front desk cocktail waitress . room clean , perferre tower roomy bathroom . bum , yeah ! definately stay . 
 May 29 2009 	 Worked ..... 	 ok folk here & quot ; recent & quot ; review terrible ..... get Sunday 24 th @ 3 p.m. nobody line check - in ( sweet ) check - in fast ! ! ! & quot ; standard & quot ; room within minute , old room clean w / a large flat screen tv , coffee maker ( drink coffee ) hair dryer etc . however mystery stain carpet figure wax ( biggie ) room fine , smoking room still real strong odor , maid , swear know leave room ! one morning go 1.5 hrs . come back get something clean smell good ! ! never even see ( ? ) remember & quot ; & quot ; Vegas hotel wait 4 - 5 pm get room clean ( relate ) casino , yes smell cig , hey , small old casino there s smoker ... bad other lead , slot good great good , keep play pay , get to know cash ! duh ... go see aunt @ Ballys $ 1585 ! ! ! slot .. woohoo . ok food , buffet Hmmmm OK , room service ( yes room service ) good get Turkey Club w / seasoned fry ( good ) total $ 11.06 , think bad seeing hurry need quick food , within 20 minute ! .... parking good , SAFE quick trip room etc . see shuttle to / from airport never use , also , need cab one day wait wait front see cab around ( ? ) go front desk ask cab say will call one , soon get front door cab ! ( nice ) folk , terrible fine place , $ 25 night pay ( Hotels.com ) worth , Drunk Fratboys , kid , Snobs regular people like want cheap / clean QUIET place gamble . oh , one last thing ( could kick ) never get player card , get one , give coupon book w / it kind goody .. oh , one thing , pool nice . 
 May 29 2009 	 good deal 	 fraction cost hotel strip , block away , great deal . stay several time , Rooms big clean , good many main brand room strip . save enough room get rental car whole week still hundreds saving ( gamble ) . size room cost couple hundred night strip especially friday saturday night rate go way , expensive room well . casino restaurant modest , money save jump rental car eat gamble casino city , saving enormous . since casino free parking save enough see city freedom confine taxi wait transportation . love place mainly not sit hotel , try different casino , buffet , see different thing . people realize far walk casino vegas even side side , 's rental car invaluable . good deal . 
 May 27 2009 	 Value buck 	 travel group co - worker . could get comp room Strip midweek , weekend . problem move road save couple hundred buck . other opt stay Bally 's $ 210 night , go Terribles $ 64 . stay never disappointed . arrive around noon Friday ask third floor courtyard room king bed , ready . bring one fellow traveler along . curious see kind room get place call Terribles . pleasantly surprised ; spacious clean , comfortable . think ask pay three time comprable room road . room flat screen tv coffee maker . courtyard room quiet . one thing love room window open . unless oppressively hot , prefer sleep fresh air come , rather AC blow . can not find many place Strip . one weak link room bathroom , tiny . , really issue . ( tower room large bathroom ) . love casino , favorite game . find Spin Poker Strip , terrible must dozen . pool peaceful relaxing . go anytime day problem find chaise either sun shade . cocktail service abundant . breakfast buffet great ; fresh waffle omlette station among thing . time earn enough point pay one night 's accommodation two meal . taxis , pay tad less $ 70 weekend . friend 's bill approach $ 500 mark . not car , look either $ 1.75 bus ride , $ 10 taxi ride , 1 mile walk Strip . ( however , free airport shuttle . ) also get ambience local casino mean little less bling bit smoke . add experience . love place continue come great gambling unprecedented value . 
 May 25 2009 	 Great Value 	 4th time vegas 1st time strip . we stay the3rd floor tower room big clean . [ need upgrade tower room ] . hotel great value money , example 2 drink cost $ 5 compare $ 15 strip . food reasonable pool area nice quiet . take approx 20 min walk strip sometimes take taxi Bally 's cost $ 8 . would much recommend hotel . much preferred hotel strip hotel . 
 May 6 2009 	 ok ! 	 ok hotel ok buffet really cheap . free shuttle Airport use work really well . 
 Apr 29 2009 	 name fitting 	 stay away - stay far away . although not actually stay property spend couple hour casino plane due leave . arrive afternoon April 24th friend park car parking lot outside casino . return car proceed airport . upon arrival airport unload luggage car discover car break bag contain laptop , traveler cheque & amp ; passport go . friend lose camera . security guard outside airport happen hear conversation state really bad area . time return property make complaint call home next day . person speak security department totally useless finally frustration hung phone . contact hotel / casino e - mail hear anything back yet . 
 Apr 14 2009 	 nice cheap hotel 	 stay 5 night $ 24 night . think one else stay never see hear anyone . room clean big huge flat screen tv . casino buffet good . resort fee ! good basic lodge cheap Vegas offer . 
 Apr 13 2009 	 can not beat ! 	 third trip Terrible 's , , great . $ 158 total ( receive coupon mail ) , tower room overlook garden / pool area . room large good size bathroom , table 2 chair , flat - screen tv ( watch besides morning news / weather ) . never problem get chaise around pool , could bring nice cold beer small store relax sun . convenient ! lobby staff , dealer pit boss friendly fun deal . everything ask grant smile . casino small enough dealer pit staff get know ... make friendly stay . the Cafe wonderful steak dinner $ 9.99 ... include salad , potato , steak cook way request nice cold beer ... delicious ! buffet breakfast great . dinner buffet fair ... night well other . , can not beat price . not everyone visit Vegas lot $ $ $ $ . travel budget , spend hotel one night would cost 5 night cost . play $ 5 Blackjack every day Terrible 's ( usually day ) ... lose $ 100 5 day period ... almost make feel like ' winner' . I already look forward next stay Terrible 's next spring . 
 Apr 11 2009 	 Great Value $ $ $ 	 good hotel price . room clean , staff helpful , free airport shuttle efficient convenient . 's locate accross street PF Changs Morton 's Steakhouse . Hard Rock 5 minute walk . customer middle age beyond be young hip always take advantage great price terrible walk Hard Rock . room quiet except moderate airplane noise 6:00 - 11:00PM . bed little soft . overall , would say 's excellent value dollar definately stay terrible . 
 Mar 27 2009 	 love Terrible be go back ! ! ! ! ! ! 	 hotel room spacious well appoint . beautiful evening view large window room . wait staff restaurant cocktail waitress casino prompt courteous . great time play slot machine slot club can not beat . fourth trip Las Vegas second time stay Terrible 's . definitely go back Las Vegas booking room Terrible 's Hotel ! 
 Mar 15 2009 	 stench smoke booze 	 nightmare check , 45 minute wait , chain smoking booze casino player stare wander close suitcase . the cheap rate lur . room fairly clean , noise guest parking lot last past midnight . stay risk . 
 Mar 4 2009 	 horrible service reception ( Jacque ? Jackie ? ) woman . never ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 stay several time problem , encounter absolutly rude receptionist think name Jacque , grey hair short , full figuered . rude slow ! ! ! wil never come back hotel . truly shame since room nice location like . 
 Feb 26 2009 	 love everything . 	 cheap chearful friendly , good food.traveld liverpool England , love terrible go back every year , well strip . find way round within aday . unlike big hotels.the big hotel lovely get lose hotel . terrible verry good . 
 Feb 25 2009 	 great value 	 never room go visit . hotel Wynn clean , great value service . plus $ $ $ -- yeah ! ! ! 
 Feb 24 2009 	 bad experience ever ! ! 	 name suggest , really terrible . first , reception personnel rudest ever encounter life . wait line 30 minute meet rude old lady unprofessional , inefficient slow . traveler 45 yr . , never receive kind . secondly , room old , yakky sheet blanket . one bar soap sink 3 people . thirdly , hallway full undesirable , pimp like . dhildren youngster we . transter move another hotel next day , although book 2 night . finally , follow refund thru Expedia . tell mgrs / customer service speak phone really rude Ex ; pedia agent . , unable reach compromise . know terrible hotel , sure , request fall deaf ear , summary , hope traveler make big mistake . pls note , 3 hotel price quote date . thank ! ! P.S . description want bottom , none . sorry ! ! 
 Feb 24 2009 	 Small Hotel ! great Value ! 	 room clean well keep ! stay new Tower room . although not use pool window overlook look tropical inviting . food hotel / casino reasonable good . breakfast buffet cheap offer want . omlet bar / waffle make order ( easy miss first time ) . walk first day strip long walk . take monorail get strip $ 13 day not go towards hotel not stop many place bus . next day go strip take bus $ 7 $ 7.50 day pass . take strip downtown . walk block catch bus go strip come home drop we hotel . problem bus stand stop seat open sit . would recommend hotel anyone want quiet place stay . casino smokey though . 
 Feb 9 2009 	 great hotel 	 love hotel cheap , clean , freindly definately book 
 Feb 7 2009 	 cheap clean room smokey lobby / casino . 	 save money call front desk directly reserve room . brother live Vegas . local come play stay . casino lobby SMOKEY . hallway lead old ( non tower ) room also smokey . thankfully room not smelly . hate smoke stay tower room . exception check in / out , by - pass casino get room . stay old room since inexpensive . room clean albeit old . picture show property new , tower room . old room look similar tower room up - to - date . tub look old . Bouganvillea Cafe extremely smokey buffet area . walk casino get Cafe buffet area . literally see smoke cloud casino Cafe . bad allergy can not handle . skip . sister smoke 2 pack day . even concede 's incredibly smokey . say , food super cheap , good . open 24 hour though . we typically walk strip . not let look deceive . although see Flamingo , take 30 minute walk . arrive Flamingo , Ballys , Caesars Bellagio . usually cab back . walk across street Hard Rock Cafe take free shuttle MGM grand . shuttle run every 30 minute so . Terrible 's also free shuttle airport . cab airport Terrible 's , less 5 minute ride . let cabbie take Freeway strip . by - pass strip completely . oh , cab fare base TIME distance ! look cheap food / drink strip , CVS , McDonalds , Chipotle across Mirage Walgreens M - n - m factory across New York New York . within walking distance Terrible 's find Bahama Breeze , PF Changs Cozymel 's restaurant . tasty bit pricey . be look stay cheap manage get smokey atmosphere room , Terrible 's worth price . family stay 6 time . although hate smoke , price make . 
 Jan 27 2009 	 Excellent Las Vegas Hotel 	 Excellent ! ' ve stay Treasure Island , Luxor , Bally 's , Stardust , Excalibur Palace Station far cleanliness , friendliness , convenience mobililty , price food concern , terrible well long shot ! room beautifully appoint , clean spacious . internet free bathroom huge . overlook beautiful pool even halfway hallway , elevator close . simple turn around corner elevator hotel 's garage get car . valet hassles long line half mile walk get car go anywhere . hotel staff overly professional get us ticket venue elsewhere make sure enjoy Vegas adventure . even tho casino area small compare strip hotel , slot loose atmosphere happy . mention simple phone call ahead time pick we airport stretch limo ? tell we 'd happy take we back whenever need go ? 16 oz . New York Strip $ 9.99 monster sized potatoe steam veggie ? beer free . recommend marguarita , die ! unlike strip hotel , cellphone work perfectly Terribles . know fact tour Imperial Palace , Treasure Island Mirage could not use keep touch . we be happy say find & quot ; home base & quot ; whenever go Las Vegas . need intimidation navigate monster hotel return warm welcoming one like terrible . 
 Jan 25 2009 	 good little casino town 	 really enjoy stay terrible vegas 12 time always stay strip , sure nice stay little quiter . food excellent , room clean nice , do not one bad thing say stay . 
 Jan 18 2009 	 Good Value Decent location 	 Terrible 's well expect . motel 6 price room clean well maintain . non - smoking room smell like smoke nice surprice since casino hallway smell like smoker convention town . room good size not feel date run . like park close room get car quickly ... something not get stay big strip hotel . location hotel bad . right across street Hard Rock Hotel / Casino big block away Tuscany Hotel / Casino . walkable strip close mile . also walkable drug store lot restaurant . easy get hotel without hassle strip . not use pool look ok decent landscaping around . not like ? casino small smoky unpleasant folk around include intoxicated guy bark something mini mart hotel . hotel credit , call security guy right away . even though casino small , live entertainment unfortunately particular night pretty awful . one guy electric guitar basically lip sync music even fake play guitar . overall though , hotel great deal support place like Las Vegas continue build expensive hotel many people budget . 
 Jan 10 2009 	 extremely pleased Pick Terrible 's Las Vegas 	 Consumer Electronic Show weekend Las Vegas . stuff come electronic shelf great , review for . when ' ve attend convention , usually stay Sam 's Town Casino Hotel , see Terrible 's Hotel head strip . I want little bit close action , since wife want tour Vegas , attend convention . check several website , find Terrible 's price Sam 's Town . after check tripadvisor.com , usual , decide book Terrible 's total two night total cost $ 125 . Strip hotel $ 200 + per night . check - in : horrible one clerk desk help customer , person keep pretend stand busy task . fortunately , another clerk come 15 minute jump right fray process everyone quickly . experience improve . get room : Terrible 's small casino front check - in desk . area around check - in desk extremely heavy smoke . allergy can not handle smoke minute place . breathe mouth head room . room : pleasantly surprised room tower portion ( new think ) , large , nice interior , large lcd tv ' quite modern . bed huge ! , wife arrive late flight , think great price . bathroom : simple , nice . hot water come faucet within 5 second . towel toiletry sufficient . location : locate Corner Paradise Flamingo , coordinate N36 06 49 , W115 09 11 accord GoogleEarth . 1 mile strip , walk distance would like . however , 's city bus carry strip . 1 mile convention center well . business area hotel nearby well office business . totally comfortable area . thing nearby : Bahama breeze side intersection . PF Chang 's right across street . Cozymel Mexican restaurant 1/4 block away . the name Terrible be always put past staying . however , tell price , place good , especially get tower room . check - out : go much well check - in . quick smooth morning . early time much smoke . Vegas get expensive weekend , place good money . two photograph take room . please see attached . 
 Jan 8 2009 	 Wall Wall Smoke 	 flight Vegas cancel Friday night . want sleep McCarran , decide take airline 's recommendation stay Terrible 's . positive side , room food cheap . however , hotel equivalent old tired Super 8 . room tiny furnishing fixture cry replace . 's free entertainment casino sure bring respirator thick smoke would cause wheeze 2 pay day addict . , okay place be pinch stay somewhere else choice . 
 Dec 16 2008 	 go stay Strip leave place know 	 stay several time . great value money . good clean room lovely pool . feel sorry reviewer stayed feel disappointed really not big ' Strip ' hotel do not try . casino much geared local . however provide great value money deal ' ve see want save money eat , drink course gambling . 
 Dec 1 2008 	 .. 	 husband spend one night here . the smell smoke strong everywhere , even elevator aisle .. People talk loudly outside room hour .. 6 morning ! .. point decide get leave place . the room ( except smell ) nice .. big enough clean . the hotel quite far Strip , have / rent car , be good solution . 
 Nov 26 2008 	 terrible ' hotel 	 want glitz crowd oversized hotel Vegas place . want relaxed , lay back intimate hotel hide gem . little group 3 40 yrs age do strip trip look something easy pocket book little getaway rain Vancouver , BC area . disappointed figure hotel 2 star unless take consideration strip humongous ( ' need gps get around like big hotel ) . would rate 3 ½ . take location consideration think strip rate guy hand stripper card litter gross . able walk strip easily within 10 minute Flamingo Rd fight crowd guy hand stripper card . problem walk day late night . hotel : room average , clean great view pool . room coffee maker great , first cup coffee trying wake get presentable . tower section ( 6 floor - use hotel key access - go elevator ) , appear new part hotel . pool nicely lay hot tub . ( use hotel key access ) side pool - close airport jet quite loud . exercise room 2nd floor tower section room 2248 ( use hotel key access ) room also desk one computer free use fast internet access air condition . 2 treadmill , 1 stationary bike , 2 elliptical , weight , bathroom shower / tub ( also sink outside bathroom , plenty towel ) bottled water dispenser keep nice cold . convenience store behind reception area beside player ' club . price place stop compare like CVS pharmacy Paradise ( 5 min walk ) towards Hard Rock / airport . ( price comparison Yellow Tail wine terrible ' $ 6.39 , pharmacy think $ 7 pharmacy well deal Sutter Home wine 2 $ 9 terrible ' $ 5.39 ) hard liquor beer also reasonably price terrible ' get 9000 point gambling player ' card – get liquor free ! got to like , use point free meal . ' gamble much get free deck card , free t - shirt hat ( spend dough Premium Outlet – note self – next time bring cash shopping ) .The restaurant / café buffet Terrible ' nice could beat price . eat pleased – like hotel - nothing fancy price expect – use coupon get value . enjoy meal staff extremely friendly helpful , even tell we coupon good we use get good value breakfast ( good one ) pay $ 9 ( plus tip $ 3 ) 3 we , buffet $ 10 buy one get one free coupon . lunch $ 15 ( plus tip $ 3 ) café 3 us $ 12 coupon . they free shuttle airport . fly Allegiant , let terrible ' know , send limo . ' time go home , book shuttle / limo front desk day . departure every ¾ hr . ' time go back airport , pre - booked shuttle pick early , use hotel shuttle , end pre - booked shuttle go pick we 1 pm – 3 hrs flight . flight leave 4 pm request late check , get , problem , charge . we able keep room key could still access pool exercise room ( exercise room tub shower want need shower flight go ) .Out : bus – $ 5 24 hr . bus pass , buy bus driver . go , go onto Vegas RTC bus site print schedule pay .25 cent grab one large book bus like 108 . find need route 108 ( use bus terrible ' Freemont / Premium Outlet Center back ) Route 202 ( terrible ' strip Red Lobster ) Deuce ( run strip 24 hrs use bus get outlet center airport ) . get $ 5 pass bus $ 1.25 except Deuce $ 2 time use . cabbe , Planet Hollywood back terrible ' cost we $ 10 include tip . Premium Outlet ( North Freemont st ) – recommend mall outlet mall merchandise high quality really good price , depend look for . exchange rate Terrible ' Bally ' ( $ 100 canadian get $ 76 U.S. – Nov 21/08 ) 
 Nov 4 2008 	 ok room rate pay 	 stay hotel weekend Las Vegas call hotel directly . give 10 % discount Entertainment Member . reserve room credit card charge 1st nite stay . booked & quot ; new tower room & quot ; total $ 89.00 per nite . check 10/31/08 check 11/2/08 . ( problem # 1 ) check process bit slow , present i d credit card rep , little know go authorize $ 240.00 hold credit card 2 nite stay , already pay first night . find signing paperwork , question tell security deposit unused fund would refunded checkout . understand , however wish rep warn advance alot less available credit use trip . ( problem # 2 ) go 5th floor new tower room , 20 min . getting settle unpack come find toilet would flush . go downstairs wait line least 15 min complain , reach front desk , staff friendly complaint immediately give different room 4th floor . new tower room nice , clean , modern , comfy bed , nice window view , huge flat screen tv ( get 5 channel ) , coffee maker , iron / board upon request . ( problem # 3 ) Sunday 11/2/08 couple hour checkout , find shower get hot water , likely due several guest take shower time . ( comment ) order steak dinner good price upstairs restaurant , good waiter friendly . as Casino , must say weekend visit , Terrible 's sure tight pay machine nothing take , take , take give anything return . base experiance would reccomend gambling anywhere strip . gamble anywhere vegas downtown freemont street casino's . out time spend casino , never offer cocktail drink anykind . staff ok , seem old kind staff always ( slow , relaxed kind mood ) 
 Nov 3 2008 	 great litle gem free pick airport 	 arrive airport around 21:00hrs know go phone hotel arrange pick 10mins later free shuttle . the ride hotel less 8mins arrrive check - in time shortest ever make . I give room see , dissapointe . spacious , clean , nice flat screen television wall . also , coffee make facility . bathroom big clean . the staff always pleasant polite.once get casino area , place peaceful especially room overlook pool . although , hotel 15/20min walk strip , frequent bus across road . bus go pass strip . return back hotel , stop Bally 's get stop outside Terrible 's hotel . the food bit hit miss buffet good value . they good value drink town except 99c margarita Flamingo 's strip . cost $ 10/12 per drink TI big hotel strip £ 2.75 get anytime day night . ( want ) ? brother stay TI strip impressed room Terrible 's . honeymoon room size pay more . Hardrock cafe road shop nearby well . overall , love place great value price . join club get beer little 95c great bargain use book voucher give you . I not gamble really say much casino much small big hotel . we would stay future trip back Vegas . great little gem place . LOVED Terrible 's 
 Oct 14 2008 	 Great Bargain 	 book hotel one night , October 9th $ 37.00 Expedia . price disappoint . arrive 8:30 happy give we room even though check 3 . room basic king bed & amp ; bed new flatscreen tv view pool . try breakfast buffet ok , pay $ 5.38 two since coupon . location great , walk distance Hard Rock CVS . rental car not walk far away . casino clean room . would defintely stay get rental car ! 
 Sep 25 2008 	 great inexpensive place night two 	 book one night way early thru hotel website nightly rate $ 29.99 w/ free breakfast $ 30 slot bonus . reservation MGMSignature 5 night flight come midnight , choose & quot ; waste & quot ; one day 's rate couple hour sleep signature . also get rental car follow morning . terrible free shuttle to / from airport wait us - call collect luggage carousel . check - in quick , wait , midnight . our room clean nice 2 queen bed , plasmatv view pool area . in morning breakfast buffet ; well worth free even $ 4.99 ( $ 2.99 kid , 3yr free ) price tag . I take free shuttle back airport get rental car husband take kid pool , large , clean time nobody else . enjoyable . hotel basic gym free internet pc gym area . terrible great choice need cheap place night two want save couple buck fly extra late fly extra early - free airport shuttle convienet take 10 - 15min . if not get turn possible long hike dreary hallway smokey casino get room , price great option . luxury mean clean , roomy place sleep . 
 Sep 23 2008 	 name say 	 book hotel price right hear good thing place . specifically request smoking room king size bed . get hotel long day exhausted say least . get room odor nothing terrible realize non - smoking room . call front desk let know need smoking room . tell come back front desk would give new key . problem lug bag back front desk mile away . send someone room new key like wild goose chase trying find new room . finally find , even bad odor . like walk circle every time leave room . walk front desk least 4 long hallway . make want go lobby . tell would iron room able get one maid . also , really nice tv room except get bad reception many channel . would not stay hotel pay . 
 Sep 18 2008 	 Best Hotel Value ! 	 not let us name fool ! 's awesome hotel ! luxurious ! stay new part hotel , really enjoy stay . pros:1 . ) huge plasma television ( though - 's many channel , not come vegas stay room watch tv night anyway ) . 2 . ) clean ! 3 . ) really cheap - $ 35 / night buffet = $ 10 / person ( Buffet not worth go be vegetarian ) . get free $ 20 free slot play stay hotelCons:1 . ) many channel TV2 . ) far strip ( probably can not hike strip ) 3 . ) Players Club line insanely long . overall , good hotel stay trip U.S. good bargain well ! come ! 
 Aug 24 2008 	 terrible people say 	 book room terrible ' Las Vegas , literally last minute – hour heading airport . friend go Vegas mutual friend ' party ; decide leave Vegas day early plan meet stay first night . room book phone friendly reservation agent use $ 59.00 rate $ 50.00 free slot play . when arrive hotel 11:00pm , line small check - in counter . assign non - smoking room ( important ! ) two queen bed . problem – ' 5 ' 2 " , two bed fine . room ' expect day Inn Comfort Inn : besides two bed flat screen tv , separate vanity area sink , shower / tub w.c . , a / c crank BTU 's . comment , observation , complaint : room coffee maker , coffee mug ; cup room ; water ' get hot ' like . also , typical many Vegas hotel , room long walk elevator bank . problem , might folk . 's Wynn Four Seasons , rate would not 59 buck one fancy Strip hotel , either . would stay , absolutely , especially free slot play include . 
