nice 	 hotel nice spend much time , chop room , double bed barely fit room , standard not bath small shower , bathroom tiny , unless pay suite , would not u would stay 4 star hotel , u will not wireless room , iron board , aircon ( hotel hot ) buy eye drop nose bleed hot night . rest hotel nice would recommend stay room awful try make much money possible we make room small get u get nothing , u even pay use hotel pool ! ? . 
 Excellent Location Noisy though . 	 Partner Stayed hotel 24th November 1 night see Lion King . arrive early get hotel go midday hotel staff could still check we although read normal check not 2.30pm . bonus ! Conceirge happy hold bag not possible though do not keep we . room 1st floor front hotel bit quieter other still noisy enough partner find hard get sleep . bed uncomfortable also do not help . extremely hard ! bathroom tiny ! excellent location tube 2 minute walk road Oxford street next street , perfect Christmas shopping explore London . would stay location 1 night ! 
 definitely will not go back 	 stay hotel 2 night , never go back . price cheap , read review still try b / c think London 's hotel like , small expensive . goodness , sleep one night , leg red dot , see nanny work hotel , therefore room clean . not feel comfortable hotel even though location great . receptionist lobby trainee , think tired job , can not hear say , talk nose . look sleepy . busy hotel , check , elevator working , end need walk ground floor , outdated hotel . walk distance British Museum . 
 Excellent - go suite include fab breakfast . great location comfortable room 	 thoroughly enjoy stay , seasoned traveller know like . excellent location theatre , good restaurant Oxford Street . good transport link , bus straight Victoria , Tottenham Court Road tube round corner . British Museum round corner . staff friendly helpful . choose top range suite excellent include luxury breakfast real term pay £ 149 ( £ 169 minus 2 x £ 10 breakfast ) air condition 7th floor noise . worth every penny . hotel full busy everyone keep smile ( except barmaid 11.00 night obviously long day ! ) concierge desk excellent help use London . plan make base next trip . 
 Oct 26 2009 	 small room well locate 	 pay £ 111 double room breakfast Saturday 24th October stay London see show . the hotel well locate 3 minute walk Tottenham Court tube station . arrive around 2.30pm , long queue check go something eat go back half hour later queue one two people . efficiant check we , direct room 252 2nd floor . the room small small double bed , fact room small room home king size bed well . be much wardrobe space , mini bar , drawer , tv hide away cupboard , pull shelf little way Sky Sports one , not expect . tea & amp ; coffee make facility importantly , plug socket right large mirror , ideal plug hairdryer straightener much well horrid hairdryer bathroom . room seem fairly quiet part hotel , disturbance night road noise guest . the bed comfy , bathroom also small shower cubicle good shower , shame towel pretty little , ' m five foot nothing size 12 cover important bit : ) alarm go around 9 am next morning several guest wonder go downstairs , use staircase surprised see one member staff direct people tell we false alarm - turn . lift seem take age arrive time want use use stair quite bit , along several guest , particularly go breakfast . breakfast huge great canteen style room , basically grab table , sit one go time get want . 's table service , apart clear table , make hot drink queue breakfast , be decent choice , bread , fruit , cereal , bacon , sausage , bean , hash brown scramble egg , powdery taste . say , hot serve , could pile plate want to . check efficient . I would stay not unreasonable price location Central London , would not stay one night due lack space room . 's big hotel , slightly confusing corridor another poster comment location excellent . 
 oct 22 2009 	 's Fuss ? 	 four we travel Liverpool stay hotel October 2009 - age range 27 - 80 . twin room adequate want i.e . reasonably price central hotel avoid get underground late night . first night spend day sightseeing go theatre not actually check 11 p.m . telephone hotel say go late tell worry good time , room would keep etc . room sure big enough we ( need ballroom ? ) bed comfortable clean , hotel warm , bathroom clean , clean towel , hot water , good shower , complimentary toiletry tea coffee . hairdryer room . tv Bar open till 2 ish . plenty lift . breakfast fine - pretty standard stuff - nothing complain . would definitely stay close Leicester Square set back quiet ....... Sunday morning witness film episode Bill ! ! ! yeah favourite Sam Callis , well chuffed . one complaint ........ stay London not nearly long enough ! ! ! 
 Oct 18 2009 	 great location - shoe box room 	 stay 3 time - great hotel location ( centre London : Oxford Rd X Charging Cross Rd X Tottenham Court Road ) affordable price . stayed single room size shoe box . open suitcase floor - 's room . bath & quot ; room & quot ; even small . breakfast room like uni canteen - quality food average . bear mind London . you probably could not get away room Vienna european capital except Paris maybe - charge price . long wait lift quite confusing corridor get room . 
 Oct 16 2009 	 never stay never 	 stay 3 night first time location . look web site , hope pleasureable stay ; summary - chaotic check - in , small room , wear dirty carpet , dark room , bath room insuffient light shaving morning ( guess would beard hair ) ; bad cold breakfast , cold boil egg , bad scrambled egg , noisy bar , bad all - continue intermittent noise night probably boiler keep awake -- relaxation . good thing location Edwardian , ibis , Thistle nearby - much well . never go . please not stay . well place . total waste money . 
 Oct 15 2009 	 great location ! 	 hotel location great ! central , 3min away tottenham court road tube ( central line ) . covent garden , soho oxford street jst minute walk away ! straight ( 10min journey ) bus right outside camden town young trendy traveller ! room stay reasonable size , bathroom shower cubicle quite small , job . air conditioning , electric fan , room 1 socket . breakfast ok . lifts slow move . however price friend pay , complaint would totally stay , mainly location ! 
 Oct 14 2009 	 Blackpool heart London 	 witness french visitor spinning act make meooowe sound next , idea try get vacant girl behind reception , totally uninterested going ignore check ! ! good start ? check faught lift get room ( 760 ) 7th floor , enter back check double . space around bed limit foot one side two foot , minus wardrobe dress table . bathroom even well , nearly 4 ft square total , like phone box toilet sink ! : ( light room low calorie bulbs take age light up . what actualy get £ 120 night Blackpool B & amp ; b bedroom , complement Canteen Longbridge , queuein food mandatory fight table ensue . the bedroom splendour comfort try sleep Boeing 757 across atlantic shop doorway cCharing Cross Road . in 30 year world travel without douibt bad hotel ever stay complete rip £ 120 night , however , great position within walk distance Picadilly Theatres ( 5 minute ) Oxford St ( 5 minute ) , feel suffer rest money burn , utopia ! car park rear subsidize 50 % stay hotel , conciarge stamp ticket . Tip London travel go weekend week price 40 % choice room geater . 
 Oct 13 2009 	 small room price pay 	 parking get discount car parkroom really small pay , travel lodge biggergood location though 
 Oct 10 2009 	 small room ever stayed 	 visit Hotel recently part coach trip , want stay London availibility we really glad get experience there . the room tiny hot , air con window small open part way t.v block ` opening . also noisy . bed comfortable really glad there . however clean breakfast o.k location excellent . we would return though . 
 Oct 10 2009 	 Good Location 	 return 1 night stay St Giles hotel , Location excellent 2 block Tottenham Court road tube station , staff friendly , good conceirge , room clean terrible smell mean window stay open , Breakfast busy much , cater lot guest . 
 Oct 6 2009 	 Terrific Location Decent Service Budget traveler 	 next Soho West end theater , two block British Museum , short walk Tottenham Court Road tube station , fantastic price , make lot minor complaint reviewer mention . room small clean . elevator usually crowd elevator time reasonable . concierge desk helpful . breakfast fine -- busy well - organize par mid - price ( expensive ) hotel London . street noise substantial window open closed window light - out time virtually eliminate noise . ( closing window high summer might problematical , though . ) Taxi pickup airport smooth . may easy please , go back little find . home base London cultural shopping activity , be great . 
 oct 2 2009 	 downside altogether fine basic purpose . 	 half bad review read . the service fine . concierge indeed helpful pleasant . the room ( single ) small , far luxurious , clean sufficient need . the elevator sometimes slow arrive ( 3rd floor ) .The european Breakfast great ! never wait long line ( come eat everyday around 08:00 . come later may different ) .The location perfect ! although also mean noise outside time . altogether : be look hotel spoil , , bed+shower+breakfast - 's fine . 
 Sep 27 2009 	 kind ok 	 stuck somewhere sleep one night get offer hotel , that s fine , look somewhere hang week / fortnight - keep move . comment review hold true . - room small ( everyone group say - sample size & gt ; 10 ) - room bit grubby ( weird smell ) - bed short ( single case ) - WFi absent room pay lobbyhowever- location good ( british museum less 3 min ) - find staff fine- Breakfast passable ( Lunch good ) - bar ok staff entertain tourist class hotel servicing seem coach party , budget holidy maker clubber market - one reviewer say & quot ; hostel & quot ; . price point keenbut expect pay . 
 Sep 23 2009 	 suitable midget 	 really look forward recent break London . arrive hotel reception stylish , end . queue book feel invisable free receptionist talk among ignore we . finally process give key , tell third floor , direction lift information . once reception area passge room narrow unattractive floor plasterer repair wall . possable carry suitcase room , door wide enough . push first drag . room ensuite tiny , dingy bed short . internet promise pool case go neighbouring club pay £ 4 . breakfast nightmare long wait full english cold scramble egg like rubber . obviously return . 
 Sep 23 2009 	 Executive Suites amazing bargain 	 really not expect room good description extremely happy quality accommodation , particularly huge window . big room east side 7th floor first week - wonderful panoramic view across London . room microwave crockery , welcome suprise . room second week view west , sofa perfect position admire sunset across rooftop . room spacious comfortable xcellent shower / bathroom fitting . grumble would long wait lift peak time . get good price booking.com would thoroughly recommend room . 
 Sep 23 2009 	 HOSTEL HOTEL 	 disappoint call 3 star hotel . location fantastic hotel really awful . room tiny , facility minimal moreover hotel big problem even find stairs- suffer claustrophobia . PLEASANT EXPERIENCE ! ! ! ! ! stay away ! ! ! ! 
 Sep 22 2009 	 tiny room ! ! 	 small double room wife ever stay anywhere . bright blue illuminated hotel sign outside window also make well light room ' ve ever sleep , good thing 2/3/4/5 morning ! ! also noisy , Tottenham Court Road , mean opening window not option room stuffy . breakfast okay , rather lukewarm . will not come back ! ! 
 Sep 21 2009 	 one good price 	 stay 3 night early month . stay hotel 2 previous occasion central Oxford street withe walk distance many show . room , although price , quite small carefull . forget breakfast - expensive may place within 100 mtrs hotel . pool & amp ; gym not belong hotel additional charge . helpful staff . 
 Sep 21 2009 	 clean enough bit smelly 	 Room/ shower room small expect however bit smelly due old furniture etc . breakfast ok great . would not stay . 
 Sep 20 2009 	 would stay 	 surface hotel present smart business like . however get pass reception room small date limited facility travelodge , less date . could bring use tiny bathroom yellow hair dryer . well breakfast backpacker hostel , include option limited seating . not mind basic hotel pretend disappoint get . Honesty would much well policy . 
 Sep 10 2009 	 Good Value Money 	 stay St Giles 3 year run . close West End theatre & amp ; tube . room small side do not plan staying day ! air con provide room fan seem help . slightly noisey window open centre London . breakfast great choice either full english continental . long go early be not much queue . time 8 morning rush also mean lift slow . all totally adequate , clean hotel think good value money . 
 Sep 7 2009 	 terrible hotel - even price 	 probably bad hotel remember stay , reception look fairly promising , although goodness know anyone disabled would manage step , single room around 10 ' x 6 ' grubby . bath dirty shower break shower head , thank goodness 1 night would move , arrive 10 pm time find another place . lift service morning laughable take around 6/7 minute turn . overall terrible hotel get feel resident share view . 
 Sep 6 2009 	 good budget Hotel Central London 	 always use hotel , leave live London . clean staff helpful , plastic stirrer room instead spoon , like . hot breakfast cold . room okay , bathroom bit tired bath . generally good locate spot . think though , stay Richmond tube , Richmond House Hotel lovely Parking , due dirty London seem . 
 Sep 3 2009 	 basic terrible food good value location 	 hotel good value money access fitness facility & amp ; pool central london price impressive . however warn hotel basic , room tiny , air - conditioning bad breakfast bad canteen I ve ever ! never less price pay would use hotel eat breakfast across road one many coffee shop area . 
 Sep 3 2009 	 Excellent Location 	 do not expect much price , room small ideal look bed night . People complain noise outside not lot middle London ! main thing let enough lift , people wait 15 minute high floor lift . breakfast need get early , queue hot food leave late selection excellent price pay . if want leave bag reception checking charge fee . would recommend somewhere easy reach everything .... defiantely use hotel 
 Sep 2 2009 	 great location great value would def stay ! ! 	 situate 2 min tottenham court road tube station , 2 min dominion theatre rock resident , 5 min shaftesbury theatre hairspray resident , hotel ideal stay london ! ! room slightly small side , sleep showered . nice bar couple drink great 2 night theatre ! ! ! ! 
 Sep 2 2009 	 central location 	 reading review hotel expect bad - but pleasantly surprised . room / bathroom clean . bathroom small powerful shower . room warm weather -just open window put fan . breakfast good . Staff helpfulThe hotel central weather good walk everywhere 
 Sep 1 2009 	 Location location location 	 look luxury wrong place want small room bathroom heart London decent price , . go back ... 
 Sep 1 2009 	 cheap cheerful 	 location hotel spot - on theatre weekend . room small hot clean comfortable . tiny ensuite ! breakfast bit scramble : although serve wide choice cook selection , nowhere near enough seat , leave wander around aimlessly tray whilst breakfast go cold ! one day would enough insist take tray room , least could sit eat ! english staff , usually happen cosmopolitan city , difficulty communicate . expensive bar downstairs . helpful concierge . overall pleasant stay : cheap central London ! 
 Aug 29 2009 	 compact convenient clean 	 room compact , hotel , huge 1960 concrete horror ( architecturally ... read ! ! ) . get huge discount put different spin place . pay full price think would found lack air conditioning ( although cool air fan , thankfully ! ) minute scale room bit let . pay , though , good enough clean reasonably equip . shower fine hotel restaurant alright well , although mass catering breakfast sight behold , rather like United Nations especially well attend day . staff friendly helpful would expect central London location central location really make place worthwhile , 3 minute walk British Museum tube station across road . get good price cope small room , think could lot bad . Less noise expect . 
 Aug 29 2009 	 enjoyable stay 	 read lot review book hotel expect see hotel filthy ! infact clean , everybody friendly helpful , plenty choice breakfast lift not seem slow we 8th floor . room hot somewhere sleep not expect stay room day fine . noisy not country expect ! close theatre within walk distance shop great . family could fault hotel would certainly go back . People obviously want 5 star luxury 3 star price ! ! 
 Aug 28 2009 	 Great Theatre / Shopping trip London 	 really impressse hotel consider location price pay . central location fantastic enjoy use pool , add bonus . stone throw Oxford st , China Town , Theatre 's , Sights etc . room small , ( never large room central London hotel tho ! ! ) nice & amp ; clean . would definately recommend hotel , 's great base break london want value money great location . think buffet breakfast good also , great variety available , help . come back stay another christmas shopping / threatre break year . 
 Aug 27 2009 	 small room 	 small room corner building . disgust furniture , dirty bathroom toilet . do not sleep well . Breakfast absolutely horrid . would not recommend anyone ! ! ! ! ! ! 
 Aug 26 2009 	 like queue stay ! 	 book 3 twin room air conditioning , window open marginally ( sheer drop ) & quot ; ventilation system & quot ; fail work despite repeat request we look at . after weary afternoon Capital , 3 young boy want cool pool -- spot lengthy queue reception make way gym ( take 10 min get lift ) ask ok 3 boy go pool & amp ; tell problem fact free swimming 1730 . perfect ! ! reception via street lift still take age 1 mum go get towel queue line reception . pay £ 12 admission -- queue lift -- & amp ; enter gym -- fill health form boy ( ask ! ! ) discover hour decide swim lane swimming -- completely inappropriate 3 11 's ! Manager duly apologise & amp ; promise money refund . after swelteringly hot night go room direct breakfast -- sorry go downstairs & amp ; join queue room full . great another queue ! decide rest party queue would get swim money back . get money back verbal confrontation desk manager tell gym manager right dictate hotel would -- not need hear & amp ; feel arguement 2 manager client . whilst waiting desk watch guest go upstairs breakfast room decline access ! ! generally hotel rundown , unloved feel deserve major overhaul modern society . however positive note breakfast food good & amp ; service attentive -- shame rest hotel learn . 
 Aug 23 2009 	 Good Value Money 	 stay hotel Hen Weekend one night . check early , allocate room straight away brilliant . reception staff helpful ensure we able stay floor . lift hotel incredibly slow not work properly ( press go go ) .The room tidy fairly clean . one complaint shower would not drain properly water not hot . the Concierge always helpful , able call we 3 taxi , not expensive . concierge also large room leave luggage , useful go check wait Limo home . as part stay go watch dirty Dancing Aldwich Theatre , not take long get hotel conveniently locate . I think Breakfast not good pretty basic , ( long queue peak times- 9 - 10 ) not even see toast available orange juice not nice . all need hotel fine , thing could improve . 
 Aug 20 2009 	 great location excellent value money 	 location paramount importance we read review expect much else . pleased say wrong ! ! able check early help smile receptionist , conciege welome staff come contact friendly helpful . 2 twin room second floor reasonable size - also front Bedford Ave quiet road able leave window open night . room clean , extra towel provide shower perfectly adequate . go breakfast 8.30 queue . breakfast good , hot lot choice . would certainly stay . 
 Aug 18 2009 	 enjoyable stay 	 read review extremely nervous arrive Hotel especially one choose Hotel first place . check v ery quick pleasant even let we check early . room clean adequate need . can not understand people complain size room earth want ? plenty menu choice breakfast time bar evening lovely Pimms Lemonade . the staff friendly would come back visit London . excellent base right centre city 
 Aug 16 2009 	 hot noisy bedroom small 	 stay one night find hotel standard regard room size , hot air con , double bed small partner end sleep living room area two seater settee ! breakfast like staff canteen staff buisy friendly , say can not blame rush foot ! pay less money 4 * dockland beautiful hotel although st giles good location would not stay . 
 Aug 16 2009 	 amazing location far well expect 	 theatre trip Les Miserables plan want somewhere central stay . clocked hotel many time stagger back club think locality perfect however outside inviting . we book online without problem . follow last minute change plan call hotel find parking . apparenlty simple question daily rate parking far complicated staff , take 7 attampt get answer ! ! ! similar question , park NCP carpark underneath hotel , £ 18 something day . discount rate check take car parking ticket concierge stamp ensure get right rate . we arrive 7.30 Friday night , wife impress outside hotel , honest look worse remember . rounded corner reach reception , suddenly look well ever imagine , typical marbled gold hotel swankyness , check superfast within minute swap upstairs lift second floor . we excutive room , interesting layout , super comfy bed decent sized bathroom . swivel flat screen bedroom living area splash proof one bathroom . we change head , 7 hour much wine later find immensely greatful location stagger back hotel . purchase couple beer vend machine go room . in morning pleasure executive breakfast . waitress pretty rubbbish food good , cereal , pastrys cheese bread . meat , youghurt even actimel available . option hot list ( boil egg solider , full Fry wife ) . much orange apple juice like tea coffee . we hit bathroom , say , good , water pressure absymil soft drizzle rather powerful blast want , mention 10 minute wait ( time ) till water get hot ! ! ! Saturday night perfect example good concierge service dress gape boob kindly find way get something fix ! Sunday simple check , wait around mess about . all great stay , could not ask well location , good bed decent price . hotel well worse . we check Sunday , superfast service arrive Friday 14th 7.30 
 Aug 6 2009 	 great hotel good location amazing breakfast 	 stay St Giles hotel 3 time . conveniently locate , right Centre Point 2 minute walk Oxford Street . room clean , couple stay , make sure twin room double room lot small twin room . good thing hotel breakfast , make sure book breakfast include . choice roll croissant , 's fruit yoghurt , also full English . 's many choice tea coffee also hot chocolate cold drink . downside hotel lift ( elevator ) . take long time get sometimes . think hotel accommodate least thousand people . find price hotel average get London . 
 Aug 4 2009 	 ok hotel - 's 	 every business hotel London seem , room hotel , small step change mind . thankfully able upgrade junior suite . other hotel absolute ok . location great , need take tube go shop . access swim pool exercise facility must one kind central London . 
 Aug 1 2009 	 great one two night stay - do not put ! 	 second time stay , two different group . short visit London , be great place . check - in efficient could check midday . room request clean , Small , yes expect £ 80 night b & amp ; b central London ? learn never book single hotel seem offer cupboard space room , wherever go world ! . breakfast room 7:45 Friday morning plenty space , also seem table previous visit . also stay weekend find ok . breakfast plentiful , choice continental meat , fruit , cereal , hot selection , back bacon , streaky rubbish ' ve place ! spend long period time London would better big room view window open understand tourist organise tour disappointed aspect St Giles , room service , window not open far , room small lot noise outside . it also warm air - conditioning standard room balance noise street . however , already book worried , be nowhere near bad review make , especially book somewhere rest head night central London . 
 Jul 30 2009 	 ok good value money 	 arrive staff helpful , mum go see hairspray tell we get friendly . room get back hot open window noisy do not get good night sleep , go shower morning one clean towel brown stain , disgusting . go breakfast ok nothing special bacon do not even look cooked . would stay good value money 
 Jul 29 2009 	 St Giles Hotel Holborn London . revisit 	 trip London son 's graduation , obviously special event book hotel 's proximity area London enjoy visit eg ; Liecester Square , Covent Garden , Oxford Street etc . yes hotel perfect , son work close hotel , able meet easily . what say hotel ? great location , comfortable bed end plus point . staff could occasional smile guest perhaps , room small , air con , need ask fan help cool room , fusty smell room , clean staff knock door even though disturb notice display , 08.00 am . Decor hotel tired dirty , lift floor work , need wait 10 20 minute one reach we , continental breakfast 2 item plus coffee go , decent bedroom furnising , room 12 & quot ; hang rail shelf , ( drawer keep SMALLS ) safe room not work . we future stick hotel previously visit satisfied with . July 2009 
 Jul 22 2009 	 location excellent hotel 	 good choice hotel disable , facility limited wheel chair user . get first floor restaurant use staff lift . also complain room tiny tell one room adapt wheel chair user ( hotel 700 room ) . location excellent westend . price little high room size 
 Jul 20 2009 	 good hotel room 	 stay St Giles one night July . request info car parking price book request get reply , check guy comment & quot ; oh want know much car parking ... ask ( conciege ) sort discount & quot ; - could not . room small door would open far enought get case ( pull along overnight case ! ) bed clean - convinced anything else .... one , dim , light bathroom close shower curtain shower dark ! wish spend extra £ 20 ( double room £ 90 ) stay somewhere nice ! ! 
 Jul 20 2009 	 enjoyable stay 	 little worried read review . arrive hour book time expect leave luggage concierge , however arrive desk concierge suggest try check . receptionist heplful look room ready check . room small everything need . bed comfortable bedding clean , bathroom allthough small pristine . on downside noisy window open expect location , poloce siren theatre goer blame . end closing window 1.30am . fan provide . breafast busy self service cater taste . we use stair except case quick wait lift . it go show different traveller experience ! 
 Jul 20 2009 	 great value would stay 	 great location - 2 min walk tottenham court road tube station , walk distance covent garden / leics square / theatre . check go fine , large group , staff friendly even though busy take time arrange we room floor . room be not ready straight away be not problem one room available could put bag whilst go see show . mixture twin room single room , yes room room small adequate wkd london , want big luxurious room , pay price ! . room clean comfortable bed . lady , remember take hairdryer though one room old fashion ! . lot choice breakfast , full english , cereal , crossiant etc . check 11 am , pay extra £ 20.00 keep room til evening . go day do not want take bag , pay pound concierge store give ticket collection . nice area settee reception , although do not use hotel bar , modern look popular . would come back hotel would recommend , romantic break want luxury . 
 Jul 18 2009 	 Poor Service - Consier somewhere else 	 stay one night St Giles hotel . ok , positive - good location close Oxford Street - ok it . on checking - ask want , welcome expect hotel . check girl complete check process without speak - key card holder - word stamp & quot ; CREDIT & quot ; stay business company pay room - question girl say room charge pay would able charge anything room . on arrive room - stay Executive Room 10th floor - quite large room nice floor ceiling window . room feel dirty , not strong use red make feel quite grubby . air - con work well bathroom spacious though seem much modern room . room service option , though tea / cvoffee provide room small fridge 4 bottle chill water - think nice touch . I ask direction next morning deal rude unhelpful staff . checking explain feel service really let hotel - didbnot receive apology . hotel certainly frill - really business hotel hvae since ask company remove booking list - suitable poor customer service . do consider somewhere else . 
 Jul 15 2009 	 Run hill ..... not go ! 	 Rude , rude , rude ! service speak . hotel staff rude come across many year travel . budget traveler stay many hostel cheap hotel take biscuit ! clean bedding sleeping stilt hut Amazon . fact wall thick . one night listen neighbour enjoy stay , decide time leave ! plus hairs bed bathroom enough make want go YHA ! run , run hill ..... fact save money stay hotel will able take cab ! 
 Jul 15 2009 	 not go ! ! ! would not recomend ever ! 	 book hotel three day stay 5 people July book June charge we ! ! ! ! ! ! credit card fraudulenty use . phone discuss treat contempt distain . interested . politeness discussion . definitely would 
 Jul 15 2009 	 Overpriced Thai Prison Style Rooms 	 end single room can not find another hotel time try get old room . be like western prison cell size . tiny luggage actually fit room . in renovate single room toilet separate rest room via thin curtain . eat mexican , clothe stink next day ! guest solve sleep lobby use public bathroom lobby . your sink inside shower tiny area . judge position sink design wash private part . the room basically long narrow chute lead tiny bed area way pass curtained bathroom . no in - room internet will £ 10 day lobby ! phone system terrible quality , barely hear person , vend machine not work properly cool way often save money ( one maid tell 2 warm Evians row ) .The corner room get smell thai kitchen directly room open window . not open window night will wake headache room small oxygen need adult . 
 Jul 13 2009 	 bit tropic UK 	 unfortunately , hit London terrible heat wave . however , everyone else group enjoy room require blanket hot night , room like blast furnace . make daily request 3 day 3 day nothing do make thing comfortable . finally able get mgmt . open window , help little ; however , since overlook local train stop , not quiet . 's inconvenient distance central London , take 35 - 40 minute reach city non - rush hour traffic . breakfast good reasonable , although eat meal . 
 Jul 12 2009 	 serve purpose hotel tired 	 hotel well locate West end competitively price . room enough room bed , wardrobe , small desk tiny shower room , clean everything work . noisy double glaze long overdue apart serious complaint . on enter hotel face flight stair , lift , ramp . concerned carrying suitcase , restrict mobility way could made reception . think actually illegal day . two bored porter ignore struggle bag , idea pay watch little pantomime . my room first floor leave bag try use stair , enough . narrow , extremely unpleasant , glad not try escape fire several hundred people dreadful space . breakfast acceptable quality room set remind student day 30 year ago splinter furniture , over - bright lighting rough floor - design get quickly possible certainly work . 
 Jul 11 2009 	 GREAT location BRILLIANT VALUE HOTEL 	 get say quite impressed St Giles . check early room 11.30am bonus . room ( double ) small clean . big plus point Sainsburys central 30second walk hotel ideal cheap snack drink . sell warm bacon baguette £ 1.50 big save £ 9.95 hotel want buffett breakfast . other plus point nice bar downstairs on - site gym basement course 5min walk west end etc . minus point room bit small 2 people lift really slow time , outside noise quite loud lack air conditioning room . will definitely stay though next visit London . 
