Excellent 	 wife recently stay property one year old . say enough wonderful service . hotel well manage , staff extremely pleasant professional . could get within 15 ft stair someone help we stroller . area close 2 large park adjacent metro stop . grocery across street several restaurant close . arrive early staff take we lounge brief stay room ready . regular marriott business traveler , use lounge . one nice compare . room clean well appoint . would definitely stay . 
 Terrific Service Interesting Neighbourhood 	 move hotel 3 night October 2009 stay London , attend business meeting . use Marylebone Station hotel put within walking distance early morning start . also business account , budget increase personal one . moment enter lobby , apparent enter luxury hotel . ratio staff clientele increase three - fold previous & quot ; leisure & quot ; hotel . decor beautiful service warm inviting . give early access room , even though expect store luggage . room clean , stylish comfortable , seat room previous hotel . I use business centre daily find quiet . question download view file , always helpful staff member nearby find answer ( not make feel silly asking ) .The neighbourhood interesting , lot arabic restaurant shop . coffee shop across corner , case want venture hotel 's restaurant . also particularly good restaurant call Beirut Express around corner , phenomenal food . course , Oxford street two block away , load shop fast - food place . near tube station within two block hotel well - locate lot interesting walk nearby . 
 Nice Hotel easy taxi ride airport Heathrow . 	 get taxi Heathrow Marriott £ 38 www.heathrowminicabs.com Tel [ -- ] get easy walk many tourist spot London 
 Aug 24 2009 	 good Marriott property London 	 find staff friendly arrive hotel , room bit disappointing . small price pay . stay Marriott Hotel Grosvenor House week price room amenity much well . 
 Aug 18 2009 	 regret 	 stay last minute family . one hotel would accommodate 4 person . concierge great help book side trip , ticket , bus take . pleased room location . walk neighborhood hookah bar experience . luckily , early review give head - up . 
 Aug 15 2009 	 Good Hotel Good service Central Location 	 Hotel quite nice , clean , good service . location convenient , central London . hotel small cozy staff good please customer . the surround street well go though , good place street far . bed comfy . restaurant room service food average overprice . get room near lift noisy . stay 6 time different room . besides room stay quite nice . 
 Aug 10 2009 	 Good Experiance Pricy 	 stay hotel exensive search similar standard London busy area . book family room nearly two week Marriot International Reservation get fairly good rate include breakfast compare find web ! although Costa Coffee 1 minute walk Hotel starbuck 5 minute away ! room bearly fit four us small compare Middle East , Asia , US standard fall within european standard . thrilled cleanness , hotel staff , can not complaint food resturant have . the location bad 10 - 15 minute walk Marble Arch tube station , Hyde Park famous Oxford street .. one small heck Hotel extensively authorize credit card lead block limit ! step several time explain receiption could fix supervisor addmitte mistake ! Remeber bring card back inconveiniant event ! 
 Jul 30 2009 	 good location good bed clean safe 	 stay one week xmas . nicely renovate property , helpful concierge . area - 5 min walk Marble Arch tube station - like mini Beirut , lot falafel shop & amp ; bar full man ( yes , mainly man ) smoking hukkas . can not say think dangerous , think good idea teenage daughter walk back hotel catch movie street ( evening ) . 
 Jul 25 2009 	 wonderful London Hotel family four - anyone ! 	 let start say really picky hotel hotel get high mark every category . 's , clean - number one issue - spacious . entire room , include bathroom , look like brand new two queen - size bed extremely comfortable . the staff across board friendly helpful - front desk people concierge . would always take time explain tube need take catch bus . we stay last month week use hotel base , take day trip local sightseeing . try find nice , clean hotel London accomodate family four ( 2 teenager ) challenge , hotel room small accomodate 3 . hotel far exceed expectation . the hotel short walk Marble Arch tube station also short walk catch bus ( although mostly use tube ) . mostly middle eastern type restaurant nearby ( none we like ) good pub - Duke York - block away . day eat lunch dinner section London sightseeing anyway . the hotel breakfast bit pricey , get coffee pastry across street hotel morning Costa Coffee ( really good coffee ) ! also eat dinner night bar area restaurant , serve much food restaurant also great appetizer bar food . the thing de Wi - Fi not free , guess lot nice hotel charge day . if look really nice hotel accomodate family four - ! 's definitely four - star quality extremely friendly helpful staff yummy food bar / restaurant . I never big Marriott fan , hotel change mind . 
 Jul 24 2009 	 lovely quiet hotel 	 lovely hotel , husband trip Buckingham Palace choosen hotel close proximity Palace . room clean spacious hotel staff attentive friendly thing would say mainly middle Eastern area mainly middle Eastern cafe / shop use bit shock say would recommend hotel friend . tube 10 minute walk easy reach everything tube . 
 Jul 22 2009 	 fantastic hotel ! clean market staff could not enough ! 	 London Marriott Hotel Marble Arch lovely hotel . nine we go daughter 18th birthday . hotel good 4 star hotel , clean luxurious staff could not enough we . not keen immediate surround area use taxi get want go be not problem . would definately recommend hotel anyone . 
 Jul 20 2009 	 great hotel London stay kid 	 4 night 2 kid club room 12th floor . room 2 queen sized bed , nice bathroom would expect Marriott . pool gym area well expect , nice use regularly . staff hotel great , especially concierge seem always smile despite constant barrage guest require service . like way even clean staff would smile say nice hello pass hall , well breakfast staff friendly efficient . actually give impression not mind cleaning , rather sufference . location handy Oxford St Hyde Pk - easy go jog around park . use bus tube away - almost distance Edgeware Rd little Baker St. one time catch tube Edgeware Rd , hop bus back hotel exhaust . watch Marriott Marble Arch call Marriott Park Lane , one George St. Club lounge handy us - one internet terminal restrict 20 min per use free wifi . also , drink include - cocktail hour expect . make use coffee machine give we away kid . Launderette 2 street away across road Masons arm - pop laundry machine quick bite wait . breakfast lovely selection include freshly make waffle kid love . seem plenty family weekend . we really enjoy stay would happily stay . 
 Jul 17 2009 	 ok hotel visit London 	 book hotel Marriott site ( book 3 night , get 1 night free ) . first morning tell breakfast include package would charge separately . 3 we would taken breakfast hotel 3 day amount nearly price free night .... suddenly free night seem less bonus ... decide breakfast outside hotel . the room spacious well keep . bed great sleep well . hotel well isolate keep window close avoid noise . the food restaurant expensive bad . daughter Cesars Salad pile salad 3 crumb Parmezan cheese . steak could chew forever . overall , good hotel stay visit London . locate near Notting Hill away major tourist attraction . hand , underground Marble Arch 5 minute walk . 
 Jul 13 2009 	 great base trip London ! ! 	 arrive back weekend trip London 5 friend . book Marriott Marble Arch great value money , accommodate we 2 room leisure faciltiesl ! say take locate hotel find realise much quick direct route one take pleased choice location . book 2 room interconnect door ( Marriott website ) check inform although room next interconnect hotel type room . find quite frustrating tell time book honest knowing probably would booked another hotel . however , side stay hotel ! staff encounter extremely friendly go extra mile help - especially door staff concierge ! room spacious , clean modern good part room bed - comfortable crisp white linen . 2 great night sleep ! ! good choice breakfast buffet although think pricey ( 2 breakfast pay room rate pay other ) . would room would definitely go breakfast . all fantastic trip London please choice hotel . 
 Jul 10 2009 	 staff exceptional ... 	 London Marble Arch quite walk away marble arch main road ... yet comfortable hotel exceptional staff ... concierge helpful everything need restaurant staff .. due mainly central location hotel , use bus service cover want London ... room well keep bed comfortable .. main road hotel dot arabic eatery people hence feel lil uneasy first .... overall nice stay lovely Marriott . 
 Jul 6 2009 	 comfortable hotel interesting location 	 cosmopolitan hotel -- people world . comfortable room , little nervous get tub shower . Maid service spotty -- call towel . front desk seem problem understand . good suggestion dinner car service airport conceirge . yes , one block many middle eastern restaurant , direction , none . scary . short walk tube . 
 Jul 5 2009 	 Loved much become Marriott reward member ! 	 impress size room layout . bathroom small sufficient . whole room clean . close proximity shop Oxford Street main Edgeware Road , relatively quiet . service include room service brilliant . pool order however use Jacuzzi sauna ( steam room ) . price food drink would expect centre London hotel . good part bed . incredibly comfortable not want leave . sleep well weekend . think may even buy Marriott bedding ! definitely stay recommend friend . 
 Jun 23 2009 	 clean hotel friendly staff 	 great hotel . room ( # 820 ) large ( european standard ) enough 2 adult 2 kid . smallish bathroom work . friendly staff , expensive hotel breakfast buffet . nice pool workout facility . close Marble Arch Tube stop ( approx . 6 block away ) close Oxford street , Hyde park ( Speaker 's Corner ) , Kensington , short ride Notting Hill - Portobello RD . diverse area ( lebanese , iranian ) conducive enjoy tea cafe nearby due hookka smoke . Felt safe satisfied . could get hotel price amenity London 's main Square mile , would happy . newly remodeled . 
 Jun 14 2009 	 Nice London Hotel 	 stay hotel one night London , extend business trip use Marriott point personal day . staff extremely courteous , room clean quiet . other mention , mostly middle eastern neighborhood , nice local restaurant . six pound taxi ride Paddington Station , use tube get around . nice walk tube station Hyde Park . 
 Jun 6 2009 	 luvly hotel . bar service slow nice food 	 pleased hotel however think address little deceptive . get bus Marble Arch go Marriot Marriot Park Lane . walk 5 minute Marriot Edgeware Rd . staff friendly , hotel clean tidy , room lovely , however bathroon small , barely enough room 1 person . breakfast lovely , plenty everything staff helpful . go 2 child , 12 & amp ; 10 would definitely recommend . 
 Jun 2 2009 	 great value all - around . 	 great location . great hotel . nicely seclude middle eastern neighborhood . easily accessible Tube major spot want visit . good way get Heathrow ( not much luggage travel light ) take Tube Holbron station transfer Marble Arch stop . take good hour 15 minute cheap ( 4 pound ) effective . make right come station make another right 2 block 7 minute walk George St. Make right George be ! get breakfast package well worth . accommodate healthy eater . gym adequate pool ok long walk around town . highly recommend . 
 Jun 1 2009 	 great hotel not deal Concierge 	 book 7 night stay Travel Agent . arrival offer upgrade Executive Lounge 40 GBP . pricey take convienece . room nice , hotel clean , neighborhood bad . staff Executive Lounge fabulous . could enough . common computer great really everyone considerate others- computer hog . big problem Concierge desk . Sunday man duty helpful . ask good route Picadilly Circus direct near bus route give map . next day ask different person duty good route tube would Waterloo Station say & quot ; take cab & quot ; explain want tube route brush cab . find way . ask help get ticket Oliver tell could get nothing . go box office get 4th row stall . book car get Heathrow Sunday morning . confirm Saturday night Sunday morning car , man duty see write book car service reservation car end take cab . review nice hotel . take 3 room . clean . Executive Lounge fabulous . breakfast wonderful . hotel would get 5 circle concierge actually help . stay whatever do not deal people displeased . 
 May 27 2009 	 good value hotel - shame noise ! 	 stay Hotel family weekend away - book 3 room . we ask high room , upon arrival tell low floor available . not worry much , Saturday night wedding could feel floor vibrating room ! try call reception / concierge approx 30 min get answer anyone - cross bleary eyed , go personally complain . after heated discussion staff - eventually get discount bill - time tired , not care ! bride groom wedding check lovely - even apologise say really allocate low room wedding guest put guest high room ( think really nice ! ) .The room comfortable - standard Marriott update nice apart vibrate floor ! ! drank bar - service great - staff efficient , even we ask different Ports late night ! , bad stay , mar noise - would really recommend want peace quiet , ensure speak direct guarantee high room weekend , 
 May 26 2009 	 great location helpful staff modern interior 	 want find charming & quot ; English & quot ; hotel London - chain - seem tiny room ( reasonable ) expensive . , great 2 night 3 deal , large room size , good review persuade try Marriott . not disappointed . location near Marble Arch Edgewater Rd - nothing see neighborhood , really , terrific central sightseeing city . around corner Edgewater central bus route - climb 15 bus go west site ( Oxford Street shop nearby Marks Spenser , St. Pauls , end Tower London ) take 414 east Knightsbridge get herrod . Buy Oyster card ask bus driver use easy kiosk route . , walk 5 minute tube . Costa Coffee across street easy / cheap breakfast good coffe , Patissarie Valerie elegant , yet still affordable breakfast . also ( busy ) Pret Manger tube stop breakfast / lunch sandwich . several English pub around neighborhood back street easy walking , ask concierge front desk . hotel spotless , modern , elegant small - lovely , helpful staff always willing give direction . able check early ( bless ) . one important note : request room two bed Expedia , unable guarantee ( even call Marriott Silver Award level ) , arrive tell 2 - bed room give guarantee ( assume available Marriott reservation ) . 2 bed key , reserve Marriott directly hotel . hotel tuck away side street , help noise ( quiet ) , though exterior non - descript , non - charming modern building scaffolding . room elegant , modern , decorate level expect Marriott , bit small size ( standard big city ) , plenty room two 2 giant suitcase . 
 may 20 2009 	 nice family hotel 	 would definitely recommend hotel . stay 3 night 2 teenager enjoyable stay . room clean , comfortable nicely decorate . plenty room we . staff friendly helpful . concierge recommend great italian restaurant within walking distance ( good price ! ) kind enough make reservation well . location good well . 5 minute walk Marble Arch . also walk Buckingham Palace 15 - 20 minute ( love walk ) . several bus tour arch area . cab Pancras station take 10 minute . breakfast quite nice . stay travel London . 
 Apr 28 2009 	 Impressed . excellent stay . 	 Marriott Marble Arch pleasant stay . room large , clean , well equipped , comfortable , quiet superb view London rooftop . staff extremely friendly polite . Buffet breakfast superb . lots choice ( no - one bat eyelid really * fill * long day sighseee ! ) . would definately stay . thank Marriott ! 
 Apr 22 2009 	 Friendly Hotel 	 would recommend hotel , hotel staff nice go extra mile . room quiet nicely decorate , typical marriott . outside do bar area need do overall great hotel affordable price central london . height luxury staff location make . 
 Apr 18 2009 	 friendly comfortable hotel 	 Staff excellent cuban doorman charm child friendly consierge locate cinema wee one watch 3d film . hotel quiet comfortable , breakfast excellent , pool small great place relax day street . location , interesting 5 minute walk Arabia Marble arch . 
 Apr 14 2009 	 posh fair comfortable 	 Easter holiday . hotel ( whole London ) pack tourist ( mainly italians spanish ) . well locate ( 5 minute walk Marble Arch reach St. George St ) . everybody , receptionist concierge , collaborative helpful . book family room ( two kid 8 - 12 ) , available first day stay smoker 's room 11th floor . decide keep anyway , smell . well equip little gym , sauna small pool part fair deal . great english breakfast ! 
 Apr 13 2009 	 great hotel fair location 	 nice hotel start finish . clerk upon check pleasant inform we upgrade 10 pound per person / night daily breakfast use & quot ; executive lounge & quot ; , allow tea / coffee / soda / water afternoon snack / dessert well comfy chair computer . find upgrade reasonable give . room large clean . bed comfortable well . problem imagine bathtub high might issue someone back / knee problem . hotel short walk bus and/or underground stop , area problem . 
 Apr 8 2009 	 bad hotel feel totally upfront 	 book hotel room Expedia . book 2 room 3 night request double bed room April 3 - 5 . Expedia say would contact hotel directly get approval request , . tell request approve would double bed room . husband suspect , continued believe doable request . upon check tell room king . staff tell totally book Easter weekend . mention reservation do Expedia receive impression since use Expedia , top heap speak receive special favor . however , state could put we upgrade room , sofa bed , would smoke room . assure we people rarely smoke room okay . unfortunately , case . smoky smell prevalent soon walk . due fact would four room , choice accept smoking room . sad part staff member misrepresented say Easter weekend people book room month advance ( book 1 month advance ) . later learn Easter weekend really follow weekend , weekend . believe truth always well option deal public would appreciate honesty . overall room okay . small clean . king bed comfortable . handwriting wall do child pencil remove . would consider stay , would need guarantee type room receive . 
 Apr 6 2009 	 place business London 	 good hotel 's categorie ' ve ever stay London business . ger really fair deal marriott.com ! room good sized comfortable clean . bathroom small bright modern . breakfast worth , great buffet . every staff friendly receptionist check Monday still know name check - out Friday . location Hotel perfect London ( business leisure ) 10 min Oxford Street , 7 min two Tube station 4 different underground line . 
 Mar 27 2009 	 good location value expensive city - likely stay 	 manage book stay decent rate Marriott promotion website . turn rate excellent location ( 4 block Marble arch tube station , close proximity convenient bus tube line , fair walking distance major site ) . hotel staff extremely friendly responsive ... front desk staff allow we check - in early , also upgrade room extra cost . tuck behind busy street , enjoy quiet stay . room roomy clean . long day , settle dinner hotel restaurant sorely disappoint - food extremely overprice merely edible . plenty well restaurant pub neighborhood . 
 Mar 25 2009 	 wish still 	 great hotel ...... bed sublime ... staff smiley attentive wthout face ... handsome doorman ! Excellent Excellent Excellent .. enjoyable hotel stay London year .. especially 4 people fit room . criticism outrageous price breakfast ... would nice eat hotel Starbucks wonderful Pattiserie Valerie nearby ... really not matter ... recommend hotel everyone listen ! 
 Mar 23 2009 	 pay lot little 	 extremely disappointed Marriott . always great experience Marriott hotel place make wish book different hotel . outside hotel , place cover scaffolding make place look unattractive . to perfectly frank , simply look ghetto . inside , somewhat improved . lobby small , however . request room double bed , think room would large . sadly , tight fit . bathroom small could even open door way back . disappoint bed . mattresse old springy , sit , could feel coil poke . mattress , half significantly dent half . sleep middle bed , would feel though entire bed slant . uncomfortable feeling . thing really irk we fact despite website advertising free wi - fi internet , none . absolutely WI - FI connection hotel , instead , high speed internet , atrocious asking price 15 pound log . cost 15 pound 24 hr usage , unreasonable . first , think 24 actual hour usage ... like , use 2 hour today , 2 hour tomorrow , 1 hour day , etc . no- like . moment log , say 8 am Monday , charge 15 pound till 8 am Tuesday , regardless fact internet 3 hour . still charge $ 22.50 ( 15 pound ) 3 hour internet . unreasonable thing ever hear . first check hotel , minibar completely stock . never use anything minibar instead buy drink supermarket put . checking , hotel bill we $ 70 pound item say use ! confrontation desk , able get charge delete , even open minibar put item slot take , automatically charge . name hotel misleading . actually 3 - 4 block ( 10 minute ) walk Marble Arch . another Marriott right across Marble Arch call Marriott Park Lane . place look whole lot nice ! thing good hotel concierge staff friendly helpful . 
 Mar 23 2009 	 real Marriott . 	 book four night check one . check - in , clerk immediately aggressively start up - selling . oh , 14 GBP per day internet ! noticeable recognition elite level Marriott system . scaffold building , dusty side street walk past number hookah cafe populate ogle Arabs . room nearly nice Courtyard States . bathroom tiny enough one could tooth seat toilet . bar bartender , waitress know make martini . hotel joke , advertise nowhere near one typically find Marriott ; sell dump . 
 Mar 16 2009 	 Marriott good ! ! 	 one nice hotel ' ve stay country . four day weekend break thro ' Superbreak suggest split package save money , always check offer rather Marriott web site ! room kingsize bed comfortable clean bathroom bright modern . bar restaurant really nice food high standard ! remember London hotel price 's worth extra ! ! staff professional friendly - nothing much trouble . hotel Edgware Road less 10 minute walk Oxford Street avoid main road lebanese Morroccan Restaurants ! interesting area ! use Oyster card main bus stop nearby Marble Arch tube 10 min away . never wait cab - Marriott doorman get one we everytime ! ! can not fault hotel want near shop Hyde Park little piece calm oasis bustle city ! ! 
 Mar 13 2009 	 great hotel 	 stay hotel friend great 2 x double bedded room , room refurbe bed comfortable . location good want go sight seeing sometimes quite long walk get thing . staff extremely helpful friendly , upon check upraded use executive suite free internet , continental breakfast , snack unlimited soft drink , cost we £ 35 day three we think great value money . eat restaurant twice food great ( especially dessert ! ) also hot chocolate bar everyday sight seeing shop great ! overall hotel great would definately go back . 
 Mar 9 2009 	 everything expect ! 	 great hotel , spotlessly clean , staff accommodate . room not ready give complimentary drink Chat 's Bar ! birthday , hence reason trip comlimentary bottle wine cake ! ! breakfast fab , could eat dinner restaurant , though drink little pricey side , fab meal . highly recommend Rissotto . would stay . 
 Mar 8 2009 	 friendly central hotel would really recommend hotel 	 stay mariott hotel marble arch london weekend break , find hotel room really nice clean staff extremely friendly would hesitation recommend anyone , hotel short walk oxford street . 
 Feb 23 2009 	 clean good sized room would return 	 arrive london , day Paris run - down hotel ; 3 girlfriend arrive , relieved . standard room ... 2 double bed / full bath ... nice bed etc . eat cafe one day , do not originally want , end get sub - par . , many cafe around corner ... explore . situate street majorly middle eastern population , anyone problem ... do not stay ... not , love ; good look man , nice car .. etc - good stay - would recommend - would return - fair price . 
 Feb 23 2009 	 Good Hotel Location 	 HotelStayed hotel weekend . room standard room 2 double bed , much view , clean comfortable Tea / Coffee , hairdryer , iron ironing board . good selection tv channel . shower powerful warm . room locate first floor beside lift , problem noise . Doorman helpful getting taxi readily available time . not breakfast hotel £ 18.95pp bit steep eat witherspoon £ 6 around corner . check smooth quick . lunch hotel bar / rrestaurant , lovely food nice surrounding , quiet private . use pool one occasion , small great london hotel . would recommend hotel weekend stay . get ThereWe arrive Gatwick , take Gatwick Express Victoria Station get taxi hotel cost £ 9 . 4 adult travel together avail ' 4 price 2 ' offer ( check website info condition available Gatwick Express ticket office ) SurroundingsThe hotel walk distance Marble Arch , Madam Tussauds , Hyde Park , many shop Oxford Street . close Hyde Park hop hop bus tour depart . walk home Shaftesbury Theatre see Hairspray , take hour not bad place buzz people . local restaurant middle Eastern flavour , also itallian restaurant around corner ( Marble Arch direction ) , witherspoon , Costa Coffee , Starbucks , McDonalds short walk away . dine Boxwood Cafe ( one Gordon Ramsey 's restaurant ) Berkley hotel Park Lane ( highly recommend special treat ) . get taxi £ 7 . 
 Feb 6 2009 	 good hotel great service minor issue spot perfect 	 stay London Marriott Marble Arch business February 2009 . previously stay Marriott Hotels business always enjoy great service facility . main reason select London Marriott Marble Arch stay London . the near Underground station hotel Marble Arch Central Line . turn right come station , turn second right Edgware Road . walk approx 300 yard find George Street right . turn George Street hotel immediately visible . 5 minute walk Underground hotel . the hotel busy part London - lot Middle East cafe restaurant , high proportion local also middle eastern extraction . ThereIt quite novelty walk past cafe people outside smoke hookah pipe ! usual shop immediate vicitnity - Sainsburys , MacDonalds Odeon cinema . the hotel modern building , well lay luxurious reception . adjoining bar get reasonable price bar meal , much expensive restaurant not use due ridiculous price - however , stay restaurant refurbish , although bar meal room service . check - in fast problem - staff friendly , efficent helpful number occasion . first class service ! room clean , comfortable bed , bathroom fitting work - plenty towel toiletry ! tv adequate , good range channel . use pool Health Club basement hotel - small pool , relaxation rather swimming . eat bar one evening , room service another . service excellent food good , although expensive . I one criticism , air conditioning . room absolutely freeze - call maintenance , agree not work , provide fan heater barely job . a good hotel whole . 
 Feb 5 2009 	 Marriot Marble Arch Hotel 	 stay family 23 Jan 09 8 night . everything perfect - convenient location ( 10min walk tube , 2 walk bus stop ) , extremely polite & amp ; helpful staff , ask early check - in , let we room 9 : , clean & amp ; spacious room 2 double bed , superb b'fast resturant ; purchase b'fast package , cost 30 pound per day addition 4 we , access Executive Lounge free drink , snack , fruit throughtout yr stay . the bad experience ... water supply 2 morning emergency repair carry . get go health club shower , quite embarrassing . truly hope accidental & amp ; not happen regularly . overall , enjoyed stay hotel also family . definately stay . 
 Jan 26 2009 	 Nicest Marriott ' ve 	 ' ve stay share Marriotts , far nice . room huge Europe , actually two double bed instead two twin bed ( reason book ) . four people able stay room comfortably . bathroom gorgeous , modern , extremely clean . staff super accomodate , always ready recommendation direction , willing split bill onto four different credit card . great location world , least super touristy purpose , still manage walk pretty much everywhere need go . hotel sort hide side street , make difficult find first get tube airport , friendly pub owner come give direction , friendly cab driver offer drive five block free . love hotel . price get bargain . 
 Jan 26 2009 	 great service great location - include pool ! 	 go stay hotel London 10 year . see several upgrade , say hotel locate great area - right Oxford road course park . safe - actually locate right middle eastern neighborhood , safe . not drink , people hour smoke hookah outside . never feel unsafe walk home . Paddington Express within walk distance - ' ve do plenty walk wheelie bag . the hotel well do . great breakfast , decent bar , room well appoint decently sized . store bag return day week later . gym Americans relatively small - three four treadmill , stepper weight . also pool - not huge , definitely swimmable . spend many hour lap there . I stay many Marriotts well hotel around London find one well centrally enough locate still accessible Heathrow Egham , work . 
 Jan 12 2009 	 london weekend break 	 stay hotel last weekend . book check site always . be not disappoint . minute walk reception nice atmosphere lovely scented candle burn . staff hotel helpful polite . staff breakfast room could not enough breakfast good everything could think ( include muffin pastry ... ) breakfast include rate work good value cost 18 pound per person would find bit expensive . I ask king size room also get 2 double bed would obviously bit spacious . everything need bathroom ample . would recommend hotel around 5 minute walk Oxford Street tube . piece advise would give booking show make sure pay get . go different stall pay 55 pound per ticket Lion King . make mistake check ticket give discover later price mark ticket 22.5 pound apparently common practice vigilent make sure do not get rip . would definately stay hotel . 
 Dec 14 2008 	 DISAPOINTED 	 hi everyone ! short review . I never get go trip terrible customer service . book 1 week hotel ( 2 room 6 guest ) find great deal breakfast include . detail breakfast guest register 2 room . always call hotel arrive tell well reservation . ask breakfast , tell 2 guest . read detail person phone check manager . spend almost 10 minute pay long distance , tell stick decision offer 2 breakfast . email guest relation dept cold . message get , 2 breakfast hope see soon . how major Hotel honor special ? disappointed cancel trip together . stay marriott 's point member . try location price much expensive . so that s review . type coupon discount voucher , check hotel first . thank ! 
