great 	 upgrade 3 bedroom apt fabulous : stylish , roomy modern . issue kitchen quickly set right helpful staff . bed comfortable plenty hot water well appoint bathroom . staff go way friendly helpful , especially Francesco . great little restraunt bar ; adjacent shopping arcade good gym pool . could want ? 
 Sep 13 2009 	 Great Bargain Expensive City ! 	 extend trip Venice , Paris , end London . London many time try stay apartment cook breakfast -- wine snack etc . place use long short term rental find Dolphin House internet search book room directly . little concerned central location . however -- Pimlico tube 5 minute walk away ecellent connection central London . however can not beat bargain 155 pound large apartment London . hotel book price -- get small room go meal . upon arrive staff check we quickly go apartment -- pleasant surprise -- huge one - bedroom apartment nicely modernly furnish . two flat screen tv 's -- one bedroom one living room . bedroom wonderful -- big pleanty storage incredibably comfortable bed vey fine linen duvet . the living room huge comfotably furnish -- sofa two chair small dining table . bathroom large lot space toilitrie , etc . kitchen two hob , microwave , toaster , tea coffee maker . our complaint entire apartment kitchen door could keep open . galley style kitchen door closed make claustraphobic hot cooking . fact one morning apparently set alarm cooking prop door open -- get call knock door . guess reasoning protect fire heavy door unable open . however would think could something . thing service two ( might add Villeroy Boch ! ) plan family apartment drink . would think could add wine glass , etc . go Dolphin Bar Grill drink dinner find quite good reasonable . also small shop , dry cleaner , fully equip gym pool . great location , value , comfortable apartment . even problem kitchen think stay next trip London . 
 Sep 11 2009 	 Pleasing experience 	 wife stay Dolphin House Services Apartments eight night . management staff friendly accommodate service staff efficient aim please . fact , could say enough wonderful treatment receive staff . one bedroom apartment spacious , clean , well maintain . two telephone , two large flat screen television set , work area living room , small fully operational kitchen , full bathroom . small fee , room could make wireless , find helpful . addition , Dolphin House arcade small grocery store , cleaner , travel agency , drug store , beauty salon , gift shop , liquor store , small coffee shop . also available large garden , fitness center , indoor swimming pool , restaurant , bar . the Dolphin House locate Pimlico , Thames Victoria Station . bit away & quot ; action , & quot ; taxis easily available . Tate Britain short walk Dolphin House several good restaurant pub nearby . negative side - not come play - Dolphin House air condition . place ideal fall , winter , spring season , would second thought stay hot summer . in summary , pleasing experience , importantly , wife happy Dolphin House . 
 Aug 17 2009 	 Lovely Room friendly staff 	 9 year old daughter stay one night London see Wicked show Apollo Victoria ( 15 min walk Hotel ) .We arrive early 3 oclock check time , however young man check we extremely polite , sorted room could go early , show we personally room . room book small studio room , like hotel room fridge microwave toaster , ideal require , nice clean room , rather warm although fan provide . I concern read previous review notice someone say area unsafe . single mum 9 year old daughter , return hotel theatre around 11 pm , walk Pimlico station , minute walk feel safe ( add also Poilce Officer - aware security etc ) wish actually stay long think whole Dolphin complex nice - definately return long stay , pleasant helpful staff add whole experience . Didnt use restaurant can not comment that . look forward plan another stay near christmas time long time 
 Aug 6 2009 	 good location clean apartment . 	 daughter double room apartment . nice experience . hotel clean , room good . staff allway , night day , kind . eat restaurant one day , good . easy take taxi , Pimlico tube station near . bar restaurant take breakfast dinner 
 Jul 23 2009 	 one good appartment stay ... 	 stay luxury apartment 4 day friend . excellent room , lot space , comfortable bed , ( ) fully equip .... even 2 LCD tv , one living - room , one bedroom ! ! ! nicely decorate english style furniture . especially like entertainment system ( despite pay service ) use , free charge , fitness centre ( swimming pool ) exist complex . furthermore , although describe self - cater apartment , housekeeper clean everyday . we not like fact ask we check hold 50 pound bank account , case use extra facility . anyway amount return check . wait 30 minute check , one employee , trying hard serve every wait customer ! walk distance ( ~5 minute ) Pimlico underground station , nice area unfortunately stay construction work next building , quite noisy morning . everything else perfect . 
 Jul 22 2009 	 please not bother ! 	 regret book hotel . luckily book 1 evening move much nice location London 's Mayfair . room situate ground floor , face car park resident ( assume live stay long term room ) walk leave car . enter room , dreadfully hot , quite surprise 19 - 21 degree day question . small fan room a / c . due ground floor location , reluctant opening window afternoon evening , also compound & quot ; interesting & quot ; look character see lurk around area walk afternoon . area appear house & quot ; commission & quot ; style flat say wife do not feel safe area . despite various attempt cool room , stay warm duration stay , make unpleasent night sleep disappointing introduction London . Fortunatley move another hotel improve mood , sleep memorie wonderful city . 
 Jul 9 2009 	 Nightmare fraud ripoff avoid cost 	 hotel . old apartment complex rent room . staff rude moment walk become obvious quickly . ground full elderly tennant apartment look like invader . litany guest complain constantly . call ahead early check tell could accommodate one room . Got 11 tell check time 3 expedite maid service check time , never happen . guest sleep cold air - condition lobby till 2:45 . got room 100 degree old brick wall absorb heat like Tandoori oven . call downstairs tell fan room sir . AC heatwave London . fan . hour later fan come , free plug place . unplug something use . tv Fan . everything like . widow screen open fly bug . window open business everyone 's else . anything room see . PRIVACY . could get room cool enough use , room cool dark thank heated brick , people get sick heat check next morning . & quot ; Sir advertise air - conditioning & quot ; Said man desk people get sick heat . come well rehearse line hotel . refund sir prepay booking . saw say 3 people lobby . fraud ripoff design lure defraud money check . avoid COSTS.They want hold 4 night blling two room SCAM FRAUD . virtually everything hotel say , not . scam get people pre - pay leave early steal money . entire premise place lure unsuspecting customer overseas know buy hold money leave . responsible hotel online booking service lead fraqud equally culpable . 
 Jun 8 2009 	 would return 	 good size room bed comfortable especially paris . staff helpful housekeeping good . issue lack information amenity local area especially transport attraction . possibly add ceiling fan would help hot 6 night stay . continental breakfast could improve well selection cereal fruit juice . 
 may 21 2009 	 stay London style ! 	 Dolphin House incredibly easy find even though small amount building work outside closed road , car park easily accessible . greet reception 2smiling lady incredibly helpful make room available we even though arrive 1 hour allocate check - in time . room clean tidy , although slightly warm window leave open whilst head gym work - out swim . facility fantastic , every machine gym enthusiast would need quiet although nice buzzy atmosphere . although eat restaurant evening overhear positive comment couple room next door menu look appetize reasonable . breakfast include room quality service food second none . sausage , bacon egg incredibly tasty certainly " cheap produce ! " overall stay extremely comfortable find Dolphin House excellently present professionally staff . 
 Apr 25 2009 	 can not get Space Money London 	 last , room London properly fit 2 open suitcase . not rip . elegant upmarket - look really affordable end day . heart London ( Pimlico ) area decent far downtown ( post - midnight taxi fare GBP 11.00 Soho ) . excellent fitness facility . 
 Apr 16 2009 	 nice flat problem . 	 stay Dolphin House 6 night spring break . overall , really great place stay . arrive late afternoon . walk Pimlico tube station 2 block , convenient . Pimlico Victoria line , easily get anywhere central London half hour . arrive , bit busy . long wait due computer , show room . much large expect : two large bedroom king size bed , living room , full bath , small kitchen . nicely furnish clean . would much well one room two double bed instead king . rather pointless two king size bed . daughter want friend stay , bed arrangement make difficult . furnishing modern . bed linen quite nice , although bed bite hard taste . thing turn broken : one light bulb , towel warm not work , tea kettle break . also , provide absolutely dish detergent , paper towel , dish rag dish towel , buy thing want dish . heck use entire bottle dish detergent laundry detergent week ? leave , ' m sure other well , suppose housekeeping staff take left . small shopping arcade hotel complex , nice get snack breakfast food . definitely save we money . restaurant quite good , although service slow . our flat hot noisy . although rather cool outside , inside boil hot . would open window , noisy . never figure hot , unless laundry something . noise mostly people upstairs sound rearrange furniture half night . a word warn rate : include clean room change linen , 10 pound per day . tell check , ask whether wanted do . come . sometimes would clean kitchen , sometimes would not , not know suppose 10 pound . also , wireless internet charge 25 pound / week access . annoyance feel something hotel provide charge . overall , great place stay , especially need want lot space . price comparable tiny room Mayfair , Covent Garden , Soho , much less expensive . quick easy get anywhere tube . Dolphin Square lovely nice kid room run around play . make sure ear plug light sleeper ! 
 Mar 25 2009 	 wow hidden Gem 	 find hotel Laterooms.com please ! ! hotel part Dolphin Square development great place stay heart London . the hotel mainly design long term stay also accept short stay , sadly stay 1 night back . the receptionist friendly helpful fact park big bonus . upgrade 1 bed apartment seperate living area Kitchette . plus fresh milk tea coffee ( little touch make difference ) . bed huge comfortable , great night sleep . there fantasic gym / fitness area great pool . restaurant good food great price . hotel also offer small shopping area hairdresser . like small village great metropolis London Pimlico tube 5 min walk heart london 1 tube stop away . I can not recommend place enough 
 Mar 24 2009 	 disappoint 	 Booked 2 twin room , 1 good , 1 tiny , price . expect clean towel every day , particularly shower door fit badly water pour onto floor , husband mop teh towel . however towel change twice week , poor 4 * . Hotel want £ 30 towel , Breakfast service dreadfully slow day several item miss menu , even fresh fruit ! ! however not tell we least 20 minute day , people select add delay . everyone end eat different time , ridiculous . reception staff checkout impatient rude , 3 party desk make complaint various thing . do not seem know whether hotel service apartment . stay year ago refurbishment excellent . look forward stay , disappointed time . will not stay again . only good thing Dolphin leisure suite excellent . 
 Mar 16 2009 	 great 	 honest review coloured fact bed spread dry semen . really mean ......... fact expect pay extra tenner set clean towel . apparently change every three day . surly arrogant service per usual Dolphin House . someone else paying go elsewhere . expect provision , eg moisturiser , available . good deserted cocktail bar . room service limit extreme term food available timing , like two thing ' take away ' menu . odd real failure . 
 Mar 16 2009 	 POOR POOR POOR Service 	 Horrible Service ... take 4 hour 6 phone call respond broken toilet request Monday morning ... oh mention RUDE staff ... cut , mid sentence , YA YA .... basic courtesy miss ... laundary service take 5 day , even pay day ... course , 4 phonecall reminder .... housekeeping request 4 time , always go voicemail course one return call .... wake 3 pm every single day ... mistake whatever reason fancy ... oh ya , not beleive knock wait open door .... put ' Sleepy ' sign stop people walk we time ! not go want privacy ... 
 Mar 8 2009 	 impressed apartment ! 	 impressed apartment - book online get great last minute deal get way money be worth . apartment decent size two people modern comfy . reception staff friendly helpful location good - minute walk Pimlico tube station 10 min Victoria train coach station . regret 's read small print not realise could ' ve use pool spa facility stay . would definitely stay . 
 Mar 1 2009 	 ok beware swimming pool schedule location 	 stay 6 night ( 2 adult , 1 9 - year - old child ) decently sized room bathroom tiny kitchen . fold bed add kid , extra kitchenware provide : exactly 2 knife , fork , plate etc . address issue , probably would solve easily , still bit silly . Room clean daily , towel replace every 3 day , dish kitchen problem ( fair enough ) .One important reason come free access swim pool nearby fitness center , since kid allow 10am - noon 2 - 5 pm , 9 - 6 weekend , seriously cut time see city . swimming early later possible adult kid , fitness center member would complain . host fail point time reservation . the location optimal 2 reason : 1 . nearby tube station Pimlico Victoria line , mean almost destination require least one switch . however , doubledecker bus 24 stop close take Westminster Abbey , Big Ben , Trafalgar Square etc . 2 . decent supermarket within walking distance . canned food like available close , e.g . fresh vegetable hard come by . there restaurant attach offer good food one - page menu . all decent value money serious complaint . 
 Feb 27 2009 	 weird place 	 one weird place ' ve stay . doubt lovely apartment room Dolphin House , room within building remind boarding school hospital , institutional cooking smell . also strange throbbing noise night , similar ship 's boiler gigantic washing machine . ignore & amp ; lack bowl kitchen corner , good value location . 
 Feb 16 2009 	 excellent staff terrible food ! 	 stay one night hotel would definitely go back , would not go way eat restaurant ! arrive , nightmare journey , latish Sunday night .. reception staff friendly efficient helpful gentleman carry bag room . initially allocate ground floor room , smell oddly toffee cake v large huge bed , nice . not apartment , although kitchen ' area ' . marvel lack coat hanger ( one ) , try find proper coffee ( ie decaff ) wonder hot radiator off . as late , go straight restaurant ( last order 9.45 ) . Staff ignore go ask see menu . food come quickly starter main course cold . main course really odd - Ribeye peppercorn butter saute potato . potatoe mushy watery leave greasy aftertaste butter margerine - nasty . would tell staff not say single word ! Breakfast also bite poor , overcooked poach egg margerine - ed soggy toastOn return room notice bathroom vanity unit trouble tiny ant , something ' m bother want bath towel . call reception send porter look quickly move different room 4th floor . small bathroom large kitchen area ( kettle , toaster , microwave ) even nicer first one . bed huge , confy load pillow . one plenty coathanger still proper coffee . the location excellent - 1 min walk catch 24 bus , take Victoria 5 min Westminster 10 . five min tube station nice quiet square . pool look nice , though not use . shop around . would go back - definately , be good price , good location room spacious , confortable clean . stay day London not eat every night something like ideal . will not eat ! 
 Feb 15 2009 	 spacious - miss touch 	 wife stay whilst work take place flat nearby . book Expedia , mistake still pay 4 night even though leave 3 night . room quiet spacious , leisure facility good . many finish touch miss : hairdryer cable short reach power point near mirror , bedroom facility listen radio , heating turn arrive , maid clearly not include clean tea cup room service . nevertheless , good value good location close Pimlico tube , local restaurant shop . addition in - house shop restaurant tapas bar , curry house Pizza Express within 400yds . excellent Sainsburys Marketplace Victoria Station short walk away . good spot , nice room , could try little hard customer care . 
 Feb 11 2009 	 great value money excellent location helpful staff . 	 stay 4 night Feb 2008 friend 50th birthday , even though live 2 hour away train . we one bedroom apartment third floor front building , overlook school . we find apartment large spacious , furnish reasonable standard . furniture equipment excellent condition , thread - bare chair stain carpet appear less month old stay Feb 08 . describe apartment functional , fancy trimming unnecessary extras , base sightseeing several day business trip , expect hotel ' centre ' & quot ; Holiday Experience & quot ; . want trimming , would well elsewhere , apartment live , luxurious holiday . when enter apartment find large hall area two main door , one lounge one bedroom . kitchen area access lounge bathroom access bedroom . hall also storage cupboard / extra wardrobe ( free standing ) iron board iron also locate . bedroom : bed comfortable bed linen excellent quality , sign wear . everything perfectly clean . wardrobe adequate space 3 4 day stay one person , two , may need use extra wardrobe storage space hall . dress table , locate dark side room away window natural light , nuisance . flat screen television UK Freeview channel . good quality hair dryer also provide . bathroom : clean basic toilet , bath+shower sink . cabinet store toiletry , nuisance , find mirror set far back sink . could not makeup facial pamper easily , guy probably would find adequate shaving . position dress table bathroom mirror , apartment obviously design man ? lounge : two - seater sofa lounge comfortable , sumptuous velour good quality . purple : - ) also coffee table , write desk , small dining table two chair large flat screen television . like many modern hotel day , television , game console , hotel information system wi - fi drive dedicated computer locate underneath tv . not problem able use laptop wi - fi without problem . kitchen : kitchen equipment basic , would expect type apartment , adequate job . kitchen apartment alcove lounge . floor , full kitchen provide . there two ring build - in hob , build - in microwave / oven build - in fridge . equipment function perfectly . complaint bare minimum cutlery utensil two people , could well equip perhaps . although ' remember welcome hamper , know quite reasonable compare aparthotel . staff : find staff friendly efficient . upon arrival room decide double bed split two single . phone reception maid appear quite promptly 15/20 minute , remove exist bed linen , split bed re - make bed new linen . sort within hour girl quite friendly congenial . ambience : apartment one quiet stay . apartment residential area many stay building business . absolutely noise 11 pm . day little different . school opposite time stay , build work go square . noise intrusive last normal work hour . location : excellent . 10minute walk Thames , 25 minute walk Victoria Rail Station borough Chelsea Westminster , 15 minute taxi Waterloo rail station , ' 10 minute walk Pimlico Tube Central London 15 minute away . within easy reach West end . negative : poor position mirror frustrate someone like need makeup , etc . could do wardrobe space . there minimum tourist information provide apartment , hardly information eat outside building , order takeaway . anyone expect arrive late research eat well hand . ensure take sufficient food evening meal breakfast . I would stay . 
 Feb 5 2009 	 comfortable luxurious 	 stay several day London work one bed apartment . price varied day day work £ 115 night great value since feel luxurious . spacious bedroom comfortable ( huge ) bed tv directly opposite . plenty wardrobe space well big closet large hallway . sit room also good size comfortable sofa two good area suitable work ( dining table desk ) . reasonably price internet access - £ 25 week . friendly staff . area quiet building site across road could bit noisy time . on downside Pimlico feel bit remote - shop find nearby one arcade couple newsagent / grocer tube . big supermarket might issue specific need stay long time . would also advise anyone stay weekend check whether Victoria line run okay ( upgrade closed day sunday wander round look bus ) . 
 Jan 23 2009 	 good value - great place 	 book 1 bedroom appartment price normally pay hotel - room London . expect much stay small studio look big picture web . hotel disappoint ! felt like upgrade suite ! spacious bedroom comfertable bed , wardrobe , flatscreen tv , desk bathroom en - suite . living room nicely decorate extra wardrobe build , sofa , chair dining table , flat screen tv desk . Kitchenette small functional . dishwasher , week tolerate : - ) hotel area clean nicely present . good surprise nice swimming - pool steam - room sauna . clean relax area . great big gym lot choice fitness squash . nice garden . close Pimlico station . find favorite London - hotel go back soon ! ! 
 Jan 20 2009 	 need work hard service 	 hotel conveniently locate . near facility shop , cinema , restaurant , although close Pimlico tube station . however , walk hotel , road deserted night quiet station hour occasion confront stranger ( ) , young group guy quite scary . staff polite not seem much power influence . try certain thing like upgrade flexibility . arrive US 11 am although huge place , would not find room go straight meeting without washing change . day 3 tell would change room pack belonging ( 3 suitcase Christmas present people ) get back evening say make mistake staying room pack nothing . day stay dish cup use leave dirty unwashed cleaning staff . also , book Expedia Hotels.com aware cancel change reservation whatsoever try 14 day prior go hotels.com Dolphin Square say & quot ; tough luck - lose money & quot ; . overall bad stay . usually stay Sloane Square Hotel lively , great breakfast ( breakfast Dolphin Square ) close good shop restaurant . much exciting stay . much safe night , especially woman . 
 Jan 18 2009 	 nice accomodation great service 	 stay three night ( one expect due ill time ) nice suite seperate lounge . the apartment set large complex building also feature gym residential apartment . suite include separate lounge end apartment probably cater space . en suite bathroom nice although glass block one side may everyone taste due let light bedroom night anyone use bathroom . the room come tv / pc system allow view dvds etc job although use view zoom tv remove message edge view use medium player pc . only niggle could find anyway control heating although not major issue weekend . become ill stay stomach virus staff helpful offer organise doctor . location wise area mix nice expensive live edge council style area . many local shop close around 10 pm meaning supply buy prior . pimlico station five minute walk make around 10 min journey central london . would happily stay many time . 
 Jan 11 2009 	 nice good value 	 really enjoy Dolphin House . book single room ( twin bed ) 50 pound . fridge , toaster , coffee maker . also , internet available tv 5 pound day . location 2 - 3 minute walk Pimlico tube station helpful . first could not find hotel back main road definitely keep thing quiet : ) bring shampoo however- free stuff make hair feel gross . plan stay August friend . 
 Jan 11 2009 	 nice property accord London standard .. .. 	 arrive hotel impressed way apartment complex look . modern luxurious looking . room small , look nice . bed main point room , large inviting . bathroom also pretty nice . several item advertise room , excist work . sit area room , microwave , bidet handheld shower . pay tv/ internet/ cd / dvd feature work room , nothing do fix . also get electrical shock light switch . thing room impressed , bed large powerful hairdryer ... go eat breakfast first morning . pay 11 pound continental breakfast option . terrible . never see bad continental breakfast ever . 3 cheese choose - blue cheese , camembert dry yellow cheese ... nothing would crave breakfast ... nice swimming pool apartment , glasswall annoying . whole resturant staff watching choose go pool ... hotel still refund deposit 50 pound require leave check , hope soon .. 
 Jan 3 2009 	 Tranquil historic setting 	 book four night stay family holiday web - site leave Western Australia . arrive several week travel inTurkey France , please high level luxury & quot ; Dolphin Palace & quot ; .we two bedroom apartment husband two teenage daughter - aged 17 & amp ; 15 . room clean , well appoint quite spacious , staff helpful knowledgeable area London . we enjoy hotel champagne bar evening relaxation free Wi - Fi access - also friendly staff . the shopping mall downstairs useful - especially little extra thing need extend stay . kitchen apartment adequate homely meal alternative week restaurant food . although , also find BEST indian restaurant nearby - Top Curry Centre - fantastic find ! stay also reasonable price - family four central London , please around . close transport , quiet location little luxury - look forward next visit ! 
 Nov 10 2008 	 great value room 	 book room lastminute .com £ 90 night really please facility . spotless room , wonderful large bed plenty pillow . ( actually couple great night sleep ) . leisure centre modern , clean well serviced . chose eat breakfast complex , wonderful quality food . good cheese omelette ever taste ingredient seem organically source . good walk Westminster , take long 15min make ideal place stay away hustle bustle . 
 Oct 26 2008 	 accomodate 	 Dolphin House combination hotel apartment . hallway & quot ; mall & quot ; several place purchase item since locate neighborhood . & quot ; mall hallway & quot ; everything would need , i.e. , grocery store , cafe , breakfast area , hair styling , liquor store , several shop . room adequate size two people . bathroom nice long vanity store toiletry . room internet access fee . tube block away , maybe 10 minute walk . shop stores area . room little warm due bathroom towel rack warm give fan room open window put fan . bed comfortable . clean establishment . 
 Oct 24 2008 	 ok 	 stay one bedroom apartment . enter apartment , wide narrow corridor see four door . leave , first door bedroom , second bathroom almost opposite front door , third galley kitchen , fourth lounge area . bedroom small side . two twin push together make king side bed , two night stand , small dresser three drawer 25 " ( ? ) LCD flatscreen tv top dresser . two large closet clothe . one room hang clothe plus four shelf , safe , iron ironing board . need shelf closet dresser big . big lovely Frette linen warm comforter . stay , weather warm October comforter warm we . bathroom tub shower , toilet , small sink , towel warm , two bath towel , two hand towel , bath mat . electrical outlet bathroom . also , washcloth / face cloth , ' need bring . kitchen galley kitchen . small microwave oven , stove , half refrigerator , dine glassware two , pot pan , measure cup measure spoon . dishwashe soap , Handiwipe , dish towel . refrigerator half size one freezer . lounge sofa , coffee table , side table lamp ( light dim ) , 32 " ( ? ) LCD flatscreen , desk chair , 30 " ( ? ) round dining table two upholstered armchair ( dine chair ) . light living room dim ( might want bring / buy high watt bulb ) . hallway , kitchen , bathroom fluorescent lighting . lighting bedroom much well living room . apartment hallway , vanity type table mirror . room face square ' notice construction noise . flightpath aircraft go Heathrow airport , hear plane occastionally . change towel every three day . check Friday first change Monday . replenish toiletry ( shampoo , lotion , body wash , soap ) bring own . the Pimlico tube station maintenance escalator mid - November , walk long flight stair . take # 24 bus transportation . come hotel , turn leave end street ' see # 24 bus go towards Victoria Station . go Victoria Station , Westminster Abbey , Trafalgar Square , Leicester Square , find much easy take bus subway . find nearest large supermarket Sainsburys . take # 24 bus get Warwick Way . supermarket right . get back hotel , cross street bus stop right go back . also , apartment wi - fi , bring computer . find internet access Lupus Street ( hotel , turn leave end street , turn right Claverton , leave Lupus . ' store couple block away . ' see sign internet access . cost £ 1 one hour . pay money get code login give hour ' time . one week use hour , good deal . pay £ 155 - 165 per night , people get great deal . 
 Oct 22 2008 	 Good Option 	 good quality apartment . book 2 bed/ 1 bath apartment 2 adult 2 kid . apartment also kitchen living room . huge room , not want spend great deal time hotel London . location good safe . 100 m Pimlico underground station . limited option pimlico , Victoria one stop give access line . 
 Oct 18 2008 	 worth consider 	 book Dolphin House last minute 2 night family five transit Holland Southwest England . get two bedroom apartment , room small experienced week early Harrington South Kensington ( see separate review ) however fitout nice facility far superior , although not get time fully utilise . instance , room rate give we access modern pool gym complex attach hotel full changeroom attach . downstair within complex also small selection shop include pharmacy , grocery store , cafe , travel agent . consider part town major tourist shopping area , handy shop nearby . pimlico tube station two block away . room washing machine dryer , however two laundrette nearby , one close Pimlico station . laptop able use wi - fi , also couple internet cafe near laundrette . 
 Oct 13 2008 	 Loved ! 	 stay hotel weekend deal fiancee absaloutely superb . staff extremely helpful friendly . service great . pay £ 170 2 night fabulos studio room kitchenette continental breakfast . request room view preferably high floor allocate us room fantastic view garden . room beautifully decorate clean . bathroom kitchen modern . pool add bonus . art deco style light blue pink light relax . problem resident complex .. seem think own pool snobby . obviously thiis nothing hotel problem . hotel near pimlico tube station aree lot little shop around area . wonderful weekend extremely impressed hotel . plan return next weekend break . strongly recommend Dolphin square 
