consistently 	 stay Hotel several time , use call Royal Lancaster , every time without fail make feel welcome . carefully rehearse corporate greeting chant every client genuine personal professional interest Guest right time arrival eventual departure . if lucky enough get room overlook Hyde Park view across London spectacular , especially night . the location central one tube station within yard / metre hotel entrance . also nice able walk Park Oxford St Knightsbridge shop , even Royal Albert Hall . also livery stable yard close wish ride Park . I would choose Nipa Restaurant alone ! 
 bad value money 	 small bathroom , small superior room , poor continental breakfast ! ! ! 
 good stay 	 stay one night happy . room smal clean good view 10th floor . staff friendly helpful . a good base sighseeing walk Oxford Street Hyde Park Harrods . intend see Winterwonderland tell tacky not go end . room breakfast charge high £ 24 head walk Jarvis Ramada 20 minute walk pay well rate £ 15.50 each . we park opposite Ramada Euro car park . £ 15 24 hour Sunday morning pay £ 10 twelve hour . I recommend stay Lancaster London . 
 Oct 23 2009 	 Fantastic Hotel great location great staff .. 	 return weekend stay Lancaster London fantastic stay . quite often visit london weekend away always stay along Bayswater Road know hotel always want stay .. well will not stay anywhere else ! ! ! arrive 8 pm greet Carlos lovely friendly professional worker , reception give we upgrade executive room . special thank make first stay special one . arrive room please upgrade . room large walk wardrobe / closet lovely marble bathroom . bed superkingsize big . room service tired get late , price reasonable london hotel tasty . view great , overlook Hyde park / kensington gardens also far wembley stadium . 16th floor . breakfast morning tasty plentiful good variety . location excellent everything - open top bus , tube , walk oxford street shop etc etc . walk Hyde park natural history museum onto Harrods back hotel . must say without doubt next time London stay Lancaster London . ( car park plenty space great ) 
 Oct 19 2009 	 absolutely brilliant ! good hotel stay great location outstanding service thank ! 	 & amp ; partner decide stay hotel celebrate birthday . uppon arrival advise upgrade Suite top floor ( 18th floor ) upgrade ! - size , cleanliness , facility etc inside room brilliant , clean entire hotel - well look after . there also park site brilliant . every member staff welcome we , especially Mario reception , well friendly doorman provide we map help we direction e.t.c . back room , view , amazing ! bathroom lovely clean , bed comfortable feel much home . the location hotel brilliant , situate opposite Hyde Park , next door underground , brisk walk straight shop e.t.c Oxford street . we venture Covent Gardens bite eat ( recommend doorman ) go nice walk morning Hyde Park . the hotel together throughly enjoy stay . quite critical , honestly be not one thing would change . thank wonderful weekend , partner really enjoy birthday hotel play massive part this . we would definately return hotel staff location deserve 10/10 ! thank 
 Oct 15 2009 	 upgrade Royal Park Suite - Fantastic Room / Location 	 upon arrival , upgrade Royal Park Suite 9th floor . room view fantastic . additionally , location ( near tube station ) superb travel throughout London . would definitely stay . 
 Oct 14 2009 	 excellent hotel wonderful staff great location 5minutes Paddington Station Heathrow Express train 	 return stay Hotel ...... first trip London ... staff helpful ... room bathroom spotless .... lot towel .... warm towel rack ... across street Hyde Park ......... three stop underground Oxford St Bond Street shopping ... bus stop across Street ...... 5 minute walk Paddington Station Heathrow Express train short walk Hyde Park Kensington Palace . would highly recommend Hotel . can not wait go back ! ! Eileen , USA 
 Oct 11 2009 	 relaxed friendly quality hotel top thai restaurant excellent hyde park location 	 location perfect enjoy central london , opposite rotal park , oxford street next central line tube station . staff friendly , informative good humour . Hotel 's thai restaurant excellent great value , one well eat . room excellent fantastic panoramic view central london , royal park , really feel close everything would want london . go afield easy lancaster gate tube station next door excellent bus link along bayswater road . could stay night hotel bar , warm relax open fire . well worth stay 
 Oct 11 2009 	 great view .... shame hotel ..... 	 husband go treat 10th wedding anniversary . arrival surprised small room consider pay Superior upgrade Deluxe . the view window fantastic - of City Hyde Park . the hotel well double glaze although busy road not bother traffic noise . bed huge - large kingsize pillow see well day . I ' ve always tell fold pillow half 's dead . I could fold pillow 4 's want to . hence stiff neck next morning . we request new pillow seem much well begin couple hour flop . we 15th floor window seal shut air available air conditioning unit hum vibrate every time on . we drink mini bar leave dirty glass tray replace next day come late next night dirty one still even though bed make . all expect much hotel suppose 4 star . in opinion Premier Inn southend far comfortable clean ... will save money next time . 
 oct 9 2009 	 great hotel great view great location ! 	 love hotel ! staff friendly , breakfast good everything clean . confortable british breakfast , buffet lot bread , cake fruit . the location great , right front Hyde Park . could go Buckingham Palace foot , enjoy park area . also close convenience store , tradicional pub subway . 
 Oct 6 2009 	 Perfect place stay London 	 beautiful view , perfect location & amp ; great service . would recommend hotel everyone . close Tube Hyde Park . particular would recommend Thai restaurant wonderful dinner . great staff ! 
 Sep 20 2009 	 lovely hotel great location 	 friend stay Royal Lancaster shopping theatre weekend break London . hotel excellent ; situated quieter , smart area overlook Hyde Park within easy reach West End tube ( Lancaster Gate station around corner ) . check speedy efficient shop Oxford Street 5 - 10 minute walk away . would definitely use hotel . 
 Sep 19 2009 	 Royal Lancaster London 	 stay Royal Lancaster Aug. 24 - 31st 2009 . although quiet comfortable , would say four star . travel alone get single room view city . unfortunately . 7th floor get good view London , get decent view Kensington fine . , website neglect mention view may limited depend floor place . room seem mini bar lock , not bother . come equip pot coffee tea cookie , tea , coffee , iron board iron , safe , decent essential stay . sign breakfas ( £ 15 ) $ 22 , continental although save time try find breakfast every morning , could save money grab something eat one local restaurant . hotel offer internet service ( £ 17 ) $ 27 ( per day , however internet cafe close monitor financial information feel comfortable use hotel 's security reason . room batrhoom small London not expect anything big . room little outdate although new update flat screened television carpet really need replace bathroom bit wall paper loose . swag drape fray chair room could probably use steam clean . get decent enough deal £ 145 per day 1800hotel figure get room probably use often therefore give much attention frequently use room . say , say staff pretty good . everyone friendly cocierege help everyday daily ventures city . like fact hotel doorman hail cab need hold door nice touch . lobby , restaurant common area nice seem hotel spend time room , hope future update room . despite room little bit disappointment would stay hotel . situate great location directly behind tube station , within walk distance Paddington train station , directly across Kensington Hyde Parks across way great shopping . tube stop West end , many nice restaraunt withe walk distance nice part Kensington feel pretty safe walking around night . would rate hotel 3 star , room need update . however , location staff area would make want stay next time would ask room high floor perhaps . 
 Sep 19 2009 	 Fantastic always 	 4th time stay hotel , excellent service always . disappointed . service 1st class , attentive staff , always know name , greet whenever walk reception area , nothing much trouble . great view city room stay . bed comfy . would highly recommend hotel stay London . can not wait go . 
 Sep 15 2009 	 fantastic wiews good location 	 next underground station , great wiews Hyde Park . 10 minute walk Marble Arch Oxford Street . I would recommend hotel , look surprise . 
 Sep 15 2009 	 Excellent Hotel great location 	 go london twice year look reasonable price hotel disapointe decide spend pound say could pleased.the room big comforable everything hotel staff , accommadation , location ( include next lancaster gate tube station ) make well ever london break 
 Sep 15 2009 	 Disappointing 	 read previous review high expectation hotel . location convenient , entrance smart check friendly . room , however , disappointment nothing like room show website . & quot ; city view & quot ; turn mean view car park , although advantage side hotel hear little less noise busy Baswater Road . room size ok central London , clean bed comfortable , decor furniture somewhat jade . bathroom smallest ever . 5 ' 1 & quot ; anyone much tall would need sit toilet sideway risk burn knee heat towel rail . could get cold water cold tap mean could drink tap water clean tooth warm water . choose go hotel 's expensive breakfast instead breakfast Dell restaurant overlook Serpentine Hyde Park . Royal Lancaster fine basic overnight pitstop long stay something special would look elsewhere . 
 Sep 14 2009 	 Faded grandure great staff 	 hotel type , lovely lobby belie state room . mine , reception tell ' lovely ' next left smell badly damp . problem aside , experience expensive , average staff friendly . 
 Sep 10 2009 	 Upscale mostly good value 	 stay nearly week comfortable quiet hotel , excellent service terrific location . two tube station nearby , plus Paddington Railroad Station . upon arrival , walk Paddington ( Heathrow Express ) hotel . never take cab London till leave bear luggage Victoria Station Gatwick Airport . able easily escape city traffic noise peaceful walk nearby Hyde Park real bonus . stay Executive Room city view 16th floor , nicely furnish , ample size , turndown service evening . maid staff could pleasant service mind . hotel drawback , however , include expensive drink lovely lounge -- wine bar coffee house nearby . eat hotel , find many small , less expensive restaurant neighborhood . also , beat high daily cost hotel charge wireless computer access rent wireless modem nearby computer shop . 
 Sep 9 2009 	 great hotel excellent view 	 girlfriend brilliant weekend break , one well far London . room spacious , everything need couple amazing view city Hyde park next door ! location perfect 10minute walk Paddington station . island restaurant ground floor amazing food aswell friendly staff . definatly go back soon possible 
 Sep 6 2009 	 fantastic hotel even well service 	 get back stay Royal Lancaster , great time . pick hotel due 's location ( close Paddington Tube ) rather reason . stay husband 40th birthday , arrive , tell upgrade executive room 16th floor , great view London Hyde Park . on arrival room , find birthday cake , balloon well letter wish husband happy birthday , really nice touch make day even special . would recommend stay hotel anyone want trip London . although Lancaster Gate tube second away hotel , Paddington station less 5 minute walk hotel . great location get around . price reasonable London , service well experienced city . agree exterior building may eye pleasing , not put , interior make . 
 Sep 5 2009 	 hotel commit meet need 's client . 	 comfortable hotel conveniently situate many London facility & amp ; attraction . the atmosphere welcome & amp ; efficient - staff level thoughtful & amp ; pay attention detail . 
 Sep 5 2009 	 large international hotel personal service something much small 	 hotel people like hotel . forget large , anonymous , noisy , think small , quietly efficient , unobtrusive personal service . I idea achieve pleased 
 Sep 2 2009 	 great location view shame building . 	 stay one night 22nd August . need close Lancaster Gate Sunday morning make hotel real choice , get good deal directly hotel website city view room £ 115 ( include taxis ) , area Saturday night seem pretty good I . check quite quick , although check slow – depend lucky timing seem . greet nice news room upgrade ( luck ' ask ) put executive room 15th floor fantastic view across West London . the room good size , small sofa nice flat screen television . unfortunately high nice big window mean furniture suffer sun fade little , room clean . bathroom ' well lay , basin awkwardly position behind door bidet , wish thing . come back Soho Saturday evening cost £ 10 black cab hotel fantastically locate tourist businessman like . park across road perfect stroll jogging morning , Paddington five minute walk away ( Heathrow Express train West Country ) west end Notting Hill 10 minute away . bus leave outside hotel ( local tourist ) Lancaster Gate ( Central Line ) Station hotel . the hotel , famous appearance original italian Job film , may one ugly building London ( opinion never allow build ) , inside one good locate hotel could hope stay visit London day . finally , word warn lift . four hotel ( four time five ) extremely slow arrive . Liked – Location price . dislike – Lifts ! 
 Sep 2 2009 	 bad .. 	 second time stay Royal Lancaster overall experience positive . location - say previously , Royal Lancaster tube station 200 meter away hotel . Paddington station also close , couple minute taxi ( cost 3 pound ) . Oxford street shopping tube stop away ( Marble Arch ) prefer big shopping centre take Central Line Westfield London ( 5 stop ) . much around hotel , except Hyde Park . check fast overall staff friendly helpful . continental breakfast come room ok couple pound upgrade british japanese one . selection continental one plentiful . hotel 2 restaurant , thai british one try . room service bad even though selection dish bit limited . no complaint room , even though also nothing spectacular . like fact window open AC bit noisy . complaint come last day room clean 9AM 3 pm even though put Clean Room outside . positive side - excellent selection tv channel . internet expensive case almost everywhere .. cost 18 gbp per 24 hour wireless offer . overall - bad , would stay . 
 Aug 29 2009 	 beautiful city centre hotel underground next door 	 stay 20 - 21/06/09.we booked queen sized bedroom arrival upgrade beautiful suite 2nd floor overlook park . I fault hotel , car parking attach . the staff reception professional , conciege helpful room service staff excellent . the room clean whilst evening , bed turn , curtain close tea / coffee replenish . on Sunday morning room service provide breakfast exactly time . one full breakfast enough two ! open curtain face artist painting hang park railing opposite . I wish could afford stay time . well do Royal Dorchester , trip forget ! ! 
 Aug 29 2009 	 Excellent value 	 lovely stay . staff friendly professional . room sixth floor , fine we . slight view park even though pay city view . good breakfast . get good rate via Tripadvisor ! 
 Aug 27 2009 	 Bad Bad Bad 	 want book & quot ; Weekend Break & quot ; package advertise Lancaster website ; say email reservation request , . two day pass response , call hotel directly . Sat hold 10 minute , call back ask receptionist reservation line still busy , could please call we back soon possible . two hour later , call , call , stay hold , leave message . 's four day later one hotel contact we phone email . accord website , room still available date want . snub ? could not want guest U.S. ? 
 Aug 21 2009 	 beautiful 	 clean spacious . remind we typical american hotel room use . tea coffee room . big comfy bed . breakfast include stay , pass . be great . even continental one . recommend upgrade hot breakfast one 's include sufficient . experience thrill last night , try access business center order print boarding pass next day say computer . next day still even gall say computer whole hotel . well , go concierge desk computer run , lady concierge help we get boarding pass . 15 minute walk Marble Arch across street Hyde Park / Kensington Gardens . 
 Aug 20 2009 	 Royal service beautiful room pleasant care 	 arrive tired welcome make comfortable . afternoontea pleasant prompt service . lovely clean room good rest . view . London thewindow great . ` would highly recommend hotel anyone want pleasant experience . 
 Aug 18 2009 	 fine hotel 	 secure great rate Royal Lancaster Otel.com , arrive front desk unaware reservation . minute later problem resolve upgrade we Executive room 18th floor fine view Hyde Park . room comfortable tastefully furnish blue gold . continental breakfast not remarkable , perfectly acceptable . excellent dinner Thai restaurant first floor . Royal Lancaster make excellent base weekend London . 
 Aug 18 2009 	 Excellent ! 	 fabulous hotel , staff extremely helpful , courteous efficent . very nicely decorate high standard . the hotel great location right beside Lancaster Gate tube station Hyde Park , near Marble Arch . room nice , lovely view city London Eye . negative thing say room small , bit cramp . would definately recommend hotel family friend . breakfast include stay extra charge get deliver room . great choice breakfast menu 4 * . also bar restaurant 1st floor , business centre internet access beside reception . big Bus Tour pass right outside hotel , really convenient long day sight seeing : - ) 
 Aug 17 2009 	 excellent 	 stay day visit london family , one good hotel ' ve stay , nice , cozy , good customer service , breakfast include great . hotel may little pricy , everything else london . bottom line , want nice place stay london , consider hotel , tube station around corner , kensington garden right across street offer beautiful peaceful place go walk jog . 
 Aug 11 2009 	 Lancaster London - favourite place ! 	 Lancaster London really close Paddington Station Heathrow Express ( 4 minute walk ) . perfectly suited ride downtown since Lancaster Gate station ( Central Line ) right Hotel . nice , constantly renovate room offer big choice size beautiful view Hide Park London downtown reasonable rate . great diversity food : 2 restaurant in - house another around . impressive meeting room state - of - the - art technical equipment . last least professional , kind responsive Hotel Team . Lancaster London favourite place London ! 
 Aug 9 2009 	 small thing let hotel 	 number minor inconvenience add create less pleasant experience hotel . honesty , ' probably perfectly fine ' want somewhere sleep , would search somewhere else return London . plane land 6.30am arrive hotel know ' able check yet , fine . store bag go sightseeing . come back 2.30pm , check - in suppose open , tell room ' ready yet . wait another hour ready , find ' twin reserve , double . mix continue another hour , end manger yelling staff member front we . room look really nice , good size bathroom , etc , although bed quite lumpy comfortable . one occasion maid make bed , fit sheet , sheet doona ( completely cover ) spread across bed . make . four star hotel expect well service . and end stay extra charge total nearly 30 pound ' . charge take , explanation get , apology . Upsides - location great , right next Lancaster Gate tube station , within walk distance Paddington Queensway station well . conceierge baggage staff lovely , help attraction idea , map , transportation advice tip find free wi - fi . 
 Aug 4 2009 	 Great Location 	 often stay Paddington area ease Heathrow Express central location . although room small , love elegant breakfast service , help staff , tube around corner , view Hyde Park . good way start holiday . 
 Aug 2 2009 	 Excellent hotel great central location ! 	 stay hotel partner one night 29th July . location perfect hotel situate Lancaster gate tube overlook Hyde park . birthday break partner ticket see Les Mis , location excellent ! upon arrival tell reception staff partner 's birthday surprise , later find cute half bottle champer ice room ! reception staff lovely good offer we room view Hyde park , except early check none clean , however effort go unnoticed . for price pay really pleased pleasant surprise size room , especially standard room . midland see far small room outside London , definitely plus review read London hotel seem stress tiny room be . Breakfast serve 11 am run late side ( arrive ten ) would recommend greet rather unimpressed woman remind we last couple eat late ( guess fair , push still say 11 ' m sure need remind late ) . breakfast continental small price ( £ 2 ) upgrade full English duly delicious ! certainly say ever find need stay central London would hesitate return hotel , staff friendly helpful location excellent . 
 Jul 25 2009 	 Superb location top - notch service comfort 	 overall experience everyone Royal Lancaster outstanding ! staff professional , friendly , knowledgeable extremely helpful , especially concierge staff . location , 5 - 10 minute walk Paddington Station right Lancaster Gate tube stop , allow we use great public transportation system quickly efficiently . room huge , european standard adequate . furnish nicely , extremely clean , bed comfortable . bathroom spotlessly clean hair dryer assortment toiletry . eat hotel , can not comment food , room relate service excellent . would hesitate return recommend other . 
 Jul 23 2009 	 Super city break ! 	 stay Royal Lancaster weekend 10th/11th/12th July 2009 partner attend birthday celebration London Saturday decide combine bit sightseeing relaxation ! feel get exactly want Royal Lancaster . lovely view Hyde Park right next Lancaster Gate Tube station , feel connect whole city away major hustle bustle . check around 3 pm Friday afternoon , spend afternoon relax room - offer we panoramic city view include Square Mile , Gherkin top London Eye . in - room facility excellent include proper hairdryer never highly enough rate ! central London hotel , actually pretty impressed mini - bar price - see expensive leed ! bathroom gorgeous , minor drainage problem report see almost immediately . continental breakfast include room deal , although choose , option upgrade full English inexpensive . breakfast serve beautiful bright room , food excellent quality plenty choice . staff friendly helpful , go extra mile partner forget cufflink try help even return hotel 4 am night , greet smile . would absolutely stay . 
 Jul 22 2009 	 great stay ... watch bill ! 	 husband enjoy great trip hotel July . find room comfortable clean , book regular room . location good ... quick stroll hyde park marbel arch , main tube stop , hop lancaster gate connect hotel quick connection . hotel little bar guest open late night cap , appreicate . also good bar experience Island restaurant . the bed fine clean good size two , worried . bathroom little small , desk mirror room fine since additional space . one warning ... book rate online royal lancaster website print confirmation email . email say & quot ; rate per night : 90 euroe & quot ; . get bill morning checkout , correct amount first night 113 euroe three . go speak front desk , try tell computer error discuss upon checkin , . keep insist print something else , clearly print email ! right thing begrudginly honor correct rate , urge check bill ! aside sour note end , enjoy stay would reccommend friend . 
 Jul 19 2009 	 pleasant comfortable stay excellently situate hotel . 	 hotel well situate . room little small side comfortablethe service friendly efficient department . compare USA many country internet free , daily charge ridiculously high . overall good stay would recommend other 
 Jul 12 2009 	 4 star convenient family 4 	 reluctantly return home week stay Royal Lancaster London . family trip - introduce child age 12 & amp ; 8 first trip abroad . book stay thru Virgin Vacations request 2 adjoining room . front desk difficult time fulfil request upon check able offer we alternative like much - upgrade Royal Suite non - smoking 3rd floor . appreciative gesture . thoroughly enjoy spaciousness suite location overlook park ( roof / car park area ) . travel nearly 20 hour pleased front desk prompt send 2 rollaway would need living room suite . housekeeping excellent fulfil every request timely manner . Room Service - prompt , efficient & amp ; courteous . also find concierge desk quite helpful courteous - purchase Original Bus Tour ticket stop adjacent back hotel - even walk we stop . love convenient location property tube Paddington Station . Lancaster Gate tube stop hotel couple ticket agent help purchase pass visitor not quite know . take 2 day trip Paddington Station easy 5 minute walk hotel . also find Paddington great place buy take away food - even Boots & amp ; grocery store . Continental Breakfast include rate wonderful quite satisfying morning . offer breakfast 06:45 - 11:00 day . need breakfast 06:45 deliver room - still include rate . couple negative . suite offer quiet sanctuary bedroom living room pick noise hallway & amp ; connect room . bed comfortable enough luxury level - hear hotel addressing issue probably spruce well mattress linen . like white linen duvet - dirty bedspread wonder . hotel cater business client definitely international cliental . also want state hotel handle family 4 leisure trip excellence show corporate traveler . would / will stay Royal Lancaster would recommend business leisure traveler travel family . 
 Jul 5 2009 	 well appoint stunning view across london 	 Excellent room , large great view across hyde park london comfortable bed . restaurant good good service great food . stay shiksa tent roof complete hookah pipe splendid baklava apple tea . would definitely stay . 
 Jul 1 2009 	 Home home 	 Warmly welcome courteous helpful staff continue throughout stay . Island Restaurant excellent . friend fish chip ( highly recommend ) lamb cook perfection . thoroughly recommend hotel Island Restaurant . 
 Jun 30 2009 	 Royal surely ..... simply mediocre ! ! 	 stay Royal Lancaster husband 4 night May . first time London compare hotel other general comment follow : 1 . check : quickly 2 . check : quick polite ( maybe say warm something englishman ! ! ) 3 . room : big , small bed ( husband 1,95 m ) , clean ( mould bathroom ) thin wall ( could listen lot thing ... go room & amp ; hallway ) also , room suppose & quot ; city view & quot ; … .but would well mention & quot ; parking view & quot ; could see parking ! ! ! take mind mention husband birthday ! ! not mention maybe would locate we basement ! ! ! ! ! ! executive room high level probably good view ! 4 . internet : internet service efficient cost 17 GBP per day 5 . breakfast : include continental breakfast package efficient ( bread , tost , lot croissant , cereal , fruit salad , variety ham cheese etc ) first day choose english breakfast island restaurant….good service slow restaurant 1 1/2 hour order eat breakfast ! ! ! ! ! ! ! 6 . location : excellent , Lancaster gate station underground central line right across Hyde Park 7 . service : good .. request ticket theatre 2 day say theatre close , answer phone finally book internet ! ! ! ! , thankfully stay London good option . would not generally recommend hotel already mention not know hotels london reviews trip advisor understand well ! compare hotel quite lot other big european city , one much bad ! ! 
 Jun 28 2009 	 clean convenient 	 stay Royal Lancaster five day business / pleasure trip . hotel diverse clientele , people around world . nice location- next Hyde Park convenient three tube stations- still way . check - in confused process . line people check time two people work . wait one line several people turn , clerk we wait several minute , tell we long check people , get back line . take we half hour check compare unhappy people lobby , probably lucky . get original room , incredibly small . decide upgrade room ( extra £ 50 per night ) - smoking room available try one , smell bad , decide wait non - smoking room become available ( three hour ) . third try charm . room little big first room , want room one person use computer desk allow person area watch tv settee rather sit bed chair . also nice view park . getting show little tricky . tub little high step in / out could little slippery , especially soap residue tub . could use non - skid mat type handle grab . towel warm nice touch . bed comfortable always like robe slipper room . housekeeping responsive- never five minute respond . electrical panel desk ' work , bring transformer plug computer within minute call . AC tricky- fine line cold stuffy room . one day fuse go AC- call housekeeping room within minute fix . breakfast include room . pretty standard far breakfast buffet concerned- juice , cereal , sausage , bacon , fruit … the egg cook order bring table , warm sit around morning . honestly , probably would eaten pay , recall kind pricey ( £ 20 ) . drink bar memorable , allow we wind . lot business traveler pretty busy not seem like enough people work bar night go . close even full bar . internet fee also ridiculously expensive- £ 17 per 24 - hour . many hotel still charge internet , steep price pay probably expensive recall pay decade . book ticket concierge city tour bus ticket authorize dealer . tell we stop , wait half hour bus without sighting decide walk Paddington Station . turn stop use company ongoing construction . would ' nice know could ' walk Paddington Station start . , be decent place stay travel business . 's luxury hotel , be clean convenient . 
 Jun 23 2009 	 Comfortable Excellent 	 location good business & amp ; private traveller , 5 minute Paddington station easy access from / to Heathrow . well balanced price quality . personnel hotel well train kind . hot Spot service available yet . quite suitable business traveller enough time spend time hotel . 
