FAB 	 Excellent value hotel great location . call negotiate great rate bed breakfast . good size room ( studio ) large bathroom . clean comfortable . good food especially room service curry ! ! staff come contact helpful , efficient friendly . take 15 minute walk Eye along river pass Houses Parliament great location . pleased hotel would stay . 
 Aug 26 2009 	 large room Nice location stroll poor room service need repair 	 live Mon - Fri nearly year , much turn Alan Partridge ( though get large plate yet ) .staff - excellent , always nice , pleasant helpful . but - turn service annoying . come 18:30 , close curtain , turn ? ? ? tv tuck sheet . sweet pillow : ( ( ( haharoom - ok , make hard get room , BUTDO not stay take room back , take one close road / rive / front . the back Waterloo train station Noisy . the good room one point towards Parliament . the inside / atrium one bit pointless keep net curtain close , come London view . they need ' sprucing - up ' . bathroom need new seal around shower door , power point bit loose , drain shower smell little . however large , cleanish nice tv 's . food - Room service poor . sorry way put . stay eat room , standard food . fish either rubbery , douse strong sauce ( old fish ? ? ? ) Cafe Latino amazing food . however holiday eat out . Location - Ten min walk Vauxhall tube , 15 Waterloo , fine I . great romantic stroll along river , Southbank , Parliament etc . ( would know ) .Is not middle , nice hectic day shopping / site seeing , nice stroll along river . 
 Aug 25 2009 	 lovely hotel 	 stay watch ashe oval- excellent location . moment arrive ( early yet room still available we ) time leave find staff friendly , helpful generally outstanding . breakfast plentiful varied buffet room clean high standard toiletry towel replenish require . use travel card sightsee round London use tube ( 5mins Vauxhall Station - 15mins Westminster ) bus - stop either side road opposite hotel allow get vast majority attraction minimum change - prefer bus due able see London travel . say room varied outlooks- far could make even number seem face courtyard opposite window - odd number face range railway executive room river view . overall recommend hotel return . 
 Aug 21 2009 	 Riverbank retreat 	 partner stay Park Plaza Riverbank hotel 19/08/09 . upon arrival hotel entrance really lovely staff firendly . unfortunately , room face train station back not great sight never less really nice room . bathroom modern clean . smell first walk room not pleasan , possibly fume station behind . we stay one night breakfast meal eat . breakfast good could help hungry go back second . 
 Aug 18 2009 	 Nice hotel location great 	 stay mix pleasure business . work day morning head London remainder day rest weekend . nice hotel location little tricky . well locate hotel London . 
 Aug 17 2009 	 fantastic location wonderfully modern clean 	 organise trip get drop pick hotel like . hotel perfect location walk London along embankment area Westiminster , hardly need use tube . hotel staff book coach load quickly want get sight see straight away able leave luggage quickly smoothly . breakfast buffet style serve everything anyone would want ! 
 Aug 16 2009 	 worth pay executive room 	 stay hotel 1 Saturday night pay executive roomthe enhancement additional shampoo , dental shaving gearThe executive lounge CLOSED - access available 18.30 serve canape consist meatball dish crisp glass cheap wineno newspaper , vend machine coffee nothing else - poorNo paper deliver room either morningI would strongly advise booking executive go bog standard little differencewe let reception know sorry - great ! also pat site parking £ 30 booki glad not street parking street rear hotel free weekendsWon ; stay would return Hilton Docklands Jubilee line work weekend - much well . 
 Aug 8 2009 	 nice location - hotel need work 	 hotel locate Thames River close Parliament Westminster Abbey . upon walk lobby impress decor cleanliness hotel . everything go downhill . go check 12 pm take redeye flight US . tell wait two hour would receive quieter room . exhausted travel feel would worth wait especially travel 8 month old . return 2 pm tell room available . shocked door elevator open greet filthy hallway . carpet look like not clean vacuumed year . greasy tire mark housekeeping cart filth . hope room would better . room impress . carpet room look dirty hallway bed hair sheet . also hair bathtub sink . also back hotel many train pass day long . idea make wait two hour noisy section hotel . call front desk talk problem , offer send someone clean room pay additional 45 pound per night quieter room . already pay $ 200 per night . opt stay someone come clean room , able rest get clean travel . leave room , someone clean . hope come back cleaner , invite room . come back discover housekeeper clean use get ready still hair . upon return trip , fill survey stay let know never stay hotel . surprise , receive email VP UK , offer free three day upgrade pay stay next year . kid ? family definitely return hotel . stay hotel stay Kensington - Earl Court area ( Hogarth ) previously . room small , half price spotless . please wary staying hotel . 
 Jul 26 2009 	 WONDERFUL stay 	 take son weekend London hotel excellent staff helpfull concierge exceptional knowlegeable eat club lounge staff excellent one slight disappointment non exsistant view although spend much time room would nice see river . 
 Jul 23 2009 	 Awesome Hotel decent price 	 Booked hotel chance one discount hotel website pleasantly surprise . definitely four star hotel book . Hotel 's decor extremely modern high class . room clean decent size brand new spa like bathroom . window even though look wall . not eat restaurant look nice . entire staff extremely friendly helpful . definitely good value money . location may great thing hotel . river extremely close Underground station bite walk nightlife . cab not hard come though easy enough catch one city . 
 Jul 22 2009 	 handy riverside south bank 	 good clean spacious accommodation close Thames easy reach South Bank . well locate park plazas london , short walk tube ( Vauxhall ) travel find reasonable restaurant etc .. hotel close Waterloo mainline track can not say noticed . also might wary venture outside night towards Vauxhall , otherwise problem . breakfast good value choice . free WI - FI.Room decor might everyone 's taste - distinct oriental theme room stay , life size geisha paint wall - ' m sure jacket glow dark - spooky ! 
 Jul 19 2009 	 bad 4 star hotel London ? 	 stay one night , riverside suite . door double wardrobe fall completely 's hinge upon enter room , narrowly miss ! take hour workman room fix prevent we get ready go . ask move tell possible . bathroom mould ceiling around shower whole suite clean carpet dirty stain . management seem unconcerned . 
 Jul 12 2009 	 Excellent hotel relax surrounding busy main railway directly behind hotel 	 choose hotel change location normal stay city opt hotel River Thames . arrive nicely spacious hotel reception invite bar lounge , find staff friendly & amp ; helpfull upon arrival . we give complimentry upgrade executive suite room see room love , spacious & amp ; stylishly decorate . bathroom also spacious bath seperate shower cubicle . extra compliment bath robe shower / bath slipper extra toiletry . extra room suite sofa , table & amp ; chair along extra draw space mini bar relaxed atmosphere low warm colour lighting infront blackout blind window . however hear noticed view / window directly main railway line form Vauxhall Waterloo , thought light sleeper go to noisy early morning onwards train back & amp ; forth . call reception possible room change take account , hotel busy could change till next day still want . room reserve we request helpfull restless night . I right 5 am train seem operate every 3 - 5 minute , disturb sleep point count train go hope would drift back sleep . breakfast confirm would like change room move quiter room far side near front . although lot small room ( probably standard / typical room ) still similar quality like seperate bath & amp ; shower decor , although bath robe , slipper extra toiletry room . nice though Thames view & amp ; quite room away busy railway line . good sleep second night since relocate . breakfast excellent much choose hot cold , plenty meat vegi option cater . eat hotel one night food equally enoyable reasonable , offer night pasta buffet £ 8.50 glass wine £ 5 & amp ; standard service charge 12 % also add hotel bar , price wise expect hotel London nice stylish bar relax atmosphere ideal relax drink night town . Bear mind location , go Victoria line close whole weekend ( Sat & amp ; Sunday ) engineering work , walk everytime Westminster get connection move around city . recommend light sleeper , make sure request quiter room moment book least check espacilly summer . overall nice hotel offer bit extra comfort bare mind location , espacilly engineer work occur weekend & amp ; hotel need rely underground get around city . take we around 20 minute hotel walk near tube station Westminster Victoria line close work . 
 Jul 12 2009 	 Best Hotel ever stay . 	 friendly staff , modern room , good toiletry , fantastic location . could want . hotel would suitable anyone . quiet room . fantastic breakfast . fantastic bar . amazing . ten Minutes Vauxhall Tube Station 15 minute London Eye Westminster . Minutes Imperial War Museum excellent tube link king Cross , St Pancreas Euston . difficult fault . may cheap certainly good value money . 
 Jun 30 2009 	 great location friendly staff 	 stay hotel three time last two year . first visit competition Aussie Hair Care stay night although stay , partner decide stay extra night feel would waste journey otherwise . arrive hotel could not believe nice actually look exactly website . time stay reception staff always friendly book we promptly . room not ready get , able keep baggage concierge helpful . room lovely bed extremely comfy , long journey train , good quick nap wonder round see sight . London Eye twice whilst stay London approximately 10 minute walk , lovely walk . get walk right opposite house parliament Big Ben take great photograph . also walk distance trafalgar square , covent garden leicester square . close bus route get place not really like walk , stay summer 2/3 time , walk great . amusement arcade , mcdonald aquarium right near london eye . would definately recommend hotel stay . 
 Jun 22 2009 	 Watch ' river view ' promise 	 quite good hotel great facility super ' executive ' package - great breakfast ' private ' club room . the big disappointment ' Special Requirement ' river view room totally ignore change ' if available ' - certainly not consumer expectation - 's hotel 's big differentiator - get commit - else not stay . 
 Jun 20 2009 	 grossly expensive .. tiny possible room 	 leave aside name .. grand lobby area .. restaurant .. enter room n u wl cry ur heart wonder u enter 5 star room regular tiny london hotel room .. like say .. room everything else magnifique do not spend time room inside hotel .. room really nothing much write home .. one stay tiny room pay sooooo much .. well stay 70 gbp room rather 150 GBP one .. surely pro like great location big ben n london eye within 5 - 10 mnt walking distance ... prudent traveller .. would rather recommend cheap hotel .. like local UK brand international one like .. 70 GBP similar kinda room feel would pay .. next time London .. stay 70 GBP one posting review ... n ws equally satisfied .. extra 70 - 80 pound pay do not give real value .. go one ' stay 5 star guy ' else move cheap one .. 
 Jun 19 2009 	 great hotel fantastic location 	 place stay London ! across river parlament & amp ; view BIG BEN ! ! ! London eye walking distance , imperial war museum & amp ; Tate Britain .Did mention price ? 80 euro / room .b mean , go ! 
 Jun 16 2009 	 First Class 	 stay Park Plaza business last week first impression & quot ; WOW & quot ; must wrong hotel ............ know price central London hotel budget allowance company allocate , sure mistake ! ! ! check book reception confirm right place ! ! ! ! check swift room ready although 2 hour early advertised arrival time . the room fabulous dark wood clean white linen bathroom die for . the bedroom bathroom spotless bed comfortable . unfortunately view railway line big issue reasonable double glazing mean disturb train noise . my toilet break , late first night stay , 10 min report fault member staff appear fix . could not fix immediately offer alternative room move fuss lot apology . hotel conveniently locate attend business meeting Milbank area , 10 minute stroll Lambeth Bridge , would well situate sight seeing around Westminster Area tourist . breakfast good , self serve buffet cook food , include vegetarian option , variety fruit , juice , pastry cereal . tea coffee serve table . overall first class hotel , helpful , professional staff good London location . 
 Jun 16 2009 	 hard beat 	 book last Minute.com , hour trawl net , offer good price . room clean little small - small would expect London honest . nice big / deep bath spotlessly clean bathroom . location good fifteen minute walk Trafalgar Square . staff good gripe something would bar area , busy evening . think lot people come eat restaurant ( get extremely crowd weekend need book even stay hotel ) . breakfast ( definitely expensive ever eat ) excellent . manage get another good rate would go back sure . 
 Jun 12 2009 	 first class 	 great hotel , clean , friendly staff , walk distance main attraction eg trafalgar square , westminster abbey , big ben ect , good breakfast , large rooms.beautiful view house parliament river thame , quite rooms.good internet / business service , coffee machine washing machine room ( apartment ) restaurant bar site 
 Jun 3 2009 	 great location staff brilliant 	 stay business since Nov08 May09 staff great , make stay really welcome . the hotel next Lambeth Bridge , one next Westminster bridge be far enough away Leicester Square / Soho etc , close enough walk within 15/20 min . walk good anyway pass London Eye , Parliament , Big Ben , Whitehall , Trafalgar Sq etcThe room normal size , bed really comfortable , well bathroom bath seperate shower ( modern ) 
 Jun 2 2009 	 loved view towards river Thames 	 business trip London stay 50 day Park Plaza Riverbank . mine room window face towards River Thames clear glimpse BIG BEN ! ! amazing take walk evening along bank river ! room service extremely efficient ambiance attractive . also lounge experience fantastic . in term connectivity near tube station , bus stop outside main entrance hotel . Waterloo station 15 min bus . talk local attraction , London Eye Big Ben 10 minute walk hotel . first visit London would different experience stay Park Plaza . one close memory go cherish life . 
 may 26 2009 	 ' Air conditioning ' work 	 wife friend stayed call " Superior Room " BB Saturday 24 th May 2009 . room advertise ' air conditioning ' room specification : -this room 1 double bed 2 single bed accommodate 2 person . these beautifully design bedroom , complete bespoke furniture ; queen size double / twin bed , plasma screen tv CD / dvd player , two direct dial telephone , coffee / tea maker , desk mini bar . all bedroom fully air conditioning offer direct modem link , iron iron board hairdryer in - room safe . spacious bathroom offer separate bath tub shower . room facility : additional bed upon request , air - conditioning , Baby cot , Bath , Coffee / Tea Maker , connect room , dvd player , Facilities disabled people , Hairdryer , Heating , Interactive TV , Iron ironing board , LCD flat screen tv , Maid service , Mini - bar , non - smoking room upon request , Pay - TV , Room Service , Room view upon request , Safe box , Satellite TV , Shower , smoke detector , Smoking Room , Telephone , telephone bathroom , Television , Wake - up call , WiFi internet connection , Wired internet , Working Desk , ToiletThe ' air conditioning ' work . enquire reception , answer " still heat / winter mode ' . 25o c Saturday room hot ' air conditioning ' say available 265 day year say fact intend stay 2 night check 1.this 4 star hotel opinion would go back sample Park Plaza chain London 
 May 18 2009 	 great weekend 	 Hotel staff really nice , make first time london extra special . 
 May 18 2009 	 good location Weekend stay 	 stay hotel one night 16th May 2009 . haid pay upgrade executive room extra £ 30 . would say worth money , . promise fruit arrival , robe , slipper choice pillow . reality fruit orange , apple plum . one robe , one pair slipper order luxury pillow tell ! ! careful promise free internet , tv room bring laptop . room clean nice fixture fitting . great bathroom decent sized flatscreen . use executive suite also part package provide free drink 6.30 8.30pm . quiet bar 11th floor ideal sit enjoy drink go . also breakfast Chino Latino restaurant nice queue . breakfast good standard although self service . major problem us temperature room . warm . tell air conditioning unit turn hope sort soon . would reccomend hotel overall experience good . location excellent within ten minute walk London Eye . 
 May 14 2009 	 bad reception staff ever ! ! ! 	 RECOMMENDED BUSINESS PEOPLE . SLOWEST CHECKIN ever . arrive hotel 2.30 pm tell receptionist rude german accent room ready leave luggage concierge come back later call want room ready . mean hell ? ? ? advertise 2 pm checkin ? ? ? helpless attend meeting go . finally come back 5 pm checkin desk another snobbish german receptionist tell handwriting bad tore registration form give new one ask fill neatly . mean rediculous ask tear away form already sign mention per manager need make sure form fill clearly good handwriting . like receptionst teach calligraphy behave like school teacher teach write clearly ? ? ? acceptable . next thing ask fill email address mandatory requirement apparently per manager checkin . say do not one avoid junk mail guy send promotional marketing tell possible do not one ? go anyway begin stay do not even ask rest checkout even ask stay thing basic manner customer service . whole staff include manager need learn english hospitality culture thorough customer service training . recommend ! ! ! ! 
 Apr 29 2009 	 would stay 	 nice room , nice restaurant ( kind asian fusion ) , pretty good location riverbank Thames . walk weather permit Buckingham Palace , Piccadilly Circus . buy exclusive premium ( whatever be call ) breakfast pretty good evening beer / wine / snack , would recommend 's budget . the service lounge bit spotty ( ' m probably kind ) . also , ' ve get little cafe basement hour not really make sense I . lot jazz / smooth music throughout lobby restaurant / lounge like . 's one computer internet lobby , kind hide close elevator come handy . hey , would stay ! 
 Apr 27 2009 	 usual good Park Plaza standard 	 arrive back UK trip Paris opt stay london one night . book hotel website bite expensive short time internet access Paris . get good rate cancelation fee . £ 130 one night , 4 star slap bang thame not think seem bad . arrival St Pancras station get tube close station say website , Vauxhall station , 10minute walk not bad lot case seem eternity till arrive . arrive hotel bag take check charge room book like thought , worry not state that . we upgrade River view room , room book view . room spacious , Clean well maintain . the view offer excellent even though lash outside . the bathroom massive , bath shower . the extra get room follow ( official website ) : -Executive Rooms river view Suites London lodge feature follow additional amenity : Bose CD / dvd playercomplimentary morning newspaperexclusive access Executive LoungeFruit water arrival Luxury bathrobe slippersone hour complimentary in - room internet accessplasma screen tv surround soundTwo telephonesupgraded bathroom amenitiesyour choice pillowwhich definite plus free . it bit walk ( 15 - 20minutes ) London eye thing could find fault with . I not get try restaurant locate hotel can not really comment . would return .... ? ? one night break london defiantly . long stay london , get good deal would . 
 Apr 23 2009 	 excellent location ! 	 first thing strike location hotel .. Albert embankment Thames across westminster parliament .. also stone 's throw London eye waterloo stationTry get room face riverone thing hotel well internet access . free internet . turn business usersbut overall nice place ! 
 Apr 21 2009 	 good week end away ever 	 stay fab hotel two night , son take part change guard buckingham palace .. prime location tourist spot . we take taxi oxford st , walk easily regent st , leicester square , picadilly circus , trafalgar square , whitehall , parliament st , westminster , walk along waterloo pier london eye array street performer buzz tourist etc , love , by10 clock walk back hotel amaze cover 1 day ! ! get map reception , , they re free ! must get around experience never forget.there mini supermarket right next hotel essential also , taxi fare cheap tube find , quick . go back home victoria line use , get bus vauxhall victoria station tube circle line , take 15 20 min king cross . 
 Apr 14 2009 	 huge wonderful room ! great location ! 	 great hotel ! staff wonderful helpful . location hard beat ... right across river Westminster Big Ben ! room clean comfortable . draw back 's 10 min walk Underground station . 
