well 	 15 year . WOW even well remember ! Frist , FREE Parking & amp ; SAFE ! take frist timer city , fall love . great walking , Great Resterants Bars within 2 block . kind food can not get 2 block . walk around block , get 30 bus see world . jump 49 bus front , go Golden Gate Park see King TUT de - Young . walk around park 3 4 hour get bus pass go see everything go City . staff helpful get way . yes street side room little street noise . hell sound City . sleep window open take . extra charge . rate great , romms . not dumb , stay save $ $ spend great time check City . good base trip . b Sandbank -spark NV . 
 Jul 3 2009 	 would stay 	 redeem quality hotel . conveniently locate Lombard Street . many place eat within walking distance Fisherman 's Wharf minute away . parking free always park matter time come . room clean fresh good view Golden Gate Bridge . front staff bit reserve upon arrival , soon enough thorough enough interaction warm quickly welcoming . elevator die course day check thus lug luggage stair third floor . would stay , reasonable certainly fairly central want San Fran . would ideal hotel computer internet access guest . 
 Jun 12 2009 	 long Home Away home 	 visit San Francisco past 15 year . always stay hotel last trip , long . first , room give we door handle fall . complain front desk , ask completely hang . difference really make ? next came leave Humus someone leave ice bucket previous stay . imagine smell . bring bucket front desk request another . ask , tell open . cleanliness really go hill . go someone hand knee washing bathroom floor lucky use glass take replace new one . mattresse poor condition . would comfortable night 's sleep floor . say , redeem quality hotel . conveniently locate Lombard Street . many place eat within walking distance Fisherman 's Wharf minute away . parking free , ' ve ever San Francisco , will know 's bargain . always park matter time come . overall , ' m disappointed quality hotel . grant , would never call 5 Star hotel , be average joe limited budget , use get money 's worth . 
 Jun 6 2009 	 nice motel free parking middle San Francisco 	 stay two night cow Hollow Inn . Lombard street ( famous crooked street ) . room clean , work perfect , gladly recommend motel anyone . free wifi , coffee maker room . stay 3rd floor , room quite . the motel close lot restaurant . eat breakfast Mel 's Diner , food reasonable good quality . New York style pizza restaurant close cow hollow , food excellent . 
 may 20 2009 	 wonderful hotel spacious parking 	 look hotel S.F . trip America bite concerned rental car . read reviews hotel free parking . parking ! spacious one , car safe walk Fisherman 's Wharf touristic site . although quite walk center S.F . would definitely stay hotel ! close hotel could take bus want , room clean big bathroom , room decorate elegant way . appreciated view S.F. , although mean site street ( mean noise ) . Breakfast not include , much appreciated breakfast place next door ( Bay Watch ) well dinner Mel 's drive - inn across street . Hope visit America day future , go s.f . definitely book room cow Hollow ! 
 may 17 2009 	 could not ask well 	 arrive promptly find parking space . drive LA SF stop way Best Western Hotels way . holtel fantastic location accessibe shop local bus . must recomend burger restaurant nearby Barneys Gourmet Handburgers . ( ' m veggie range option fantastic ) 
 May 17 2009 	 good base see SF - parking ! 	 recommend friend live SF , cow Hollow not disappoint . room bed little small enjoy elsewhere trip everything clean tidy parking real bonus . even though 's little centre not touch car stay ( real pleasure drive coast San Diego ) instead utilise highly efficient bus network . shop restaurant immediately behind hotel Chestnut Street excellent . 
 May 12 2009 	 book ! 	 stay year ago ( review trip photo remind need input review 5 - week cross - country trip ) . research lot place review point cow Hollow . yes , would stay , dispute . not & quot ; lovely & quot ; hotel standard far hotel concern . easy , easy get close everything want see less 24 - hr long stay San Fran . safe walk parking underground supervised staff . check side parkage guest . restaurant vary neighbourhood , arrive sunset safe enough walk street & quot ; shop & quot ; bite eat . walk 4 block back opted 50' - style place across street . would definately stay , hopefully get back someday . vote yes ! 
 May 11 2009 	 good value great location 	 cow Hollow Motor Inn immaculate hotel good location good price . public transportation close many restaurant variety price range . parking on - site convenient . be go - to - stay place S.F . visit . 
 Apr 28 2009 	 great stay ! ! 	 book suite 3 adult 2 child base friend recommendation . never visit SF , hesitant neighborhood stay ' true ' condition hotel - often picture deceive ... case cow Hollow ! Steven Micheal helpful desk , suite spacious , clean well stock . dissappointment noise street - but ' m pretty sure SF weekend , unless get several story hotel . aside , would stay cow Hollow family . great location , bus door food area delicious ! Barney 's Burgers , Pluto 's , Liverpool Lils ... yum ! ! 
 Apr 13 2009 	 Filthy Disgusting Rude Employees . stay . 	 upon arrival advise high level break 's car , security . hotel like maze several different elevator go different part hotel , staff friendly helpful . lock door break ( part handle fall closed door suite ) suite old , stuffy , dirty , mold bathroom . sleep top sheet , clothing . air conditioner work . upon leave stair ( several - elevator system confuse ) discover shopping bag fill garbage stairwell . gross . price $ 150USD ... complain manager repulsive experience ... take $ 5 . far bad hotel stay drive Seattle L.A . 
 Apr 11 2009 	 great location free parking good hotel 	 main reason we booking cow hollow price & amp ; location ( great ! ) . bonus free parking - not think far ahead easy drive ( come south Golden Gate bridge ) large parking area easy park , get bag , check in . the room clean , big enough , facilite need ... include coffee maker , tv , phone , iron , wi - fi access . location great - lot restaurant & amp ; shop nearby , walk everywhere hotel ( mean short walk happy use foot ) - Golden Gate Bridge , Fisherman 's Wharf , etc . also easy parking mean could take car spin without worry find space return . there breakfast include go across road ( Lombard St ) morning Mel 's drive - in great diner ( opinion ! ) . return SF , will likely book , especially ' ve get rental car . 
 Apr 10 2009 	 stumble . surprisingly good ! 	 room clean . free secure parking plus . staff polite cordial . location good . nice neighborhood . cost reasonable . would stay . 
 Apr 3 2009 	 cow Hollow Suites perfect 	 stay cow Hollow Suites Christmas New Year fall completely love property ! one bedroom suite big first apartment , beautifully furnish fully equip kitchen spacious bathroom , keep spotlessly clean throughout stay . use fireplace every night ( romantic ) even friend home - cook meal . the location can not beat -- walk distance wharf , Crissy Field , Exploratorim , Presidio , even bridge ( be feel energetic ) , plenty public transport option get location city . Marina district lot great restaurant choice ( mention good market stocking kitchen ) lively without cacophonous . ( although be sensitive noise might want bring ear plug . city , . ) will definitely back ! 
 Mar 3 2009 	 treat ! ! ! ! 	 boyfriend find free time week , decide meet San Francisco last minute getaway evening . want stay near easy access Golden Gate Bridge , additional need early check ( early ) . randomly call 2 motel / inn AAA book , arbitrarily select Cow Hollow Motor Inn $ Suites ..... happy ! ! ! friendly staff accommodate early check request .... room simply amazing ! ! decision stay fluke time ; part definite plan future ! ! ! truly SAN FRANCISCO treat ! ! ! ! ! 
 Feb 6 2009 	 old hotel well keep ; super location ! 	 stay similar type hotel Marina , cow hollow well / big / easy free parking area SF , BIG PLUS ! obviously old hotel , everything seem clean fairly new . online rate , web site work , good ( pay $ 79 ) . comfy bed , great view window take Lombard side -- wary , street busy noise may problem light sleeper . tv advertise 80 + channel , 50 come -- one not go SF watch tv . fairly quiet concern room , bathroom noise bathroom , seem common hotel . one block great shopping / eating / movie area Chestnut Street . also Mel 's Diner right across street Lombard . # 1 hotel stay Marina . 
 Jan 3 2009 	 Excellent Value 	 stay family Inn ( Suites ) December 08 . ideal place we , ( ) car ( free parking ) , ( b ) want need stay Union Square traditional tourist area ( C ) want something economical . high : * great location Marina , near restaurant number shop one block away Chestnut St. * reasonable price ( pay less $ 100 / not ) mention , free parking ( refrigerator another $ 5 ) * free wifi * spacious room , bathtublows : * perhaps bad couple day people working desk dealt seem unhappy ( tired ? ) -- unprofessional , seem . * strong smell marijuana smoke one hallway -- thankfully near room -- time . 
 Dec 30 2008 	 Nice Hotel 	 nice hotel . stay December girlfriend wonderful time . place clean , front desk really nice location good , lot good restaurant near also bus stop . 
 Nov 9 2008 	 great choice ! 	 Great Location , charming Marina District . good sized room , clean well maintain . helpful reception desk staff - ask get quiet room . plenty good restaurant around Marina 10 minute walk away . would definitely return . 
 Nov 8 2008 	 Holy cow ! 	 book cow Hollow motor inn due Marina location price first time trip San Francisco . arrive 3 hour prior check - in due early flight arrival , room available we immediately ! staff courteous helpful time throughout stay . the room functional : nothing incredibly fancy , clean comfortable . television small , visit San Fran watch tv hotel room . room large big city standard ! neighborhood hip , fun part town number little bistro , shop , restaurant . restaurant hotel open breakfast lunch , worth least one visit . highly recommend walk one block home Plate amazing food ! location distance many touristy section town . free parking hotel , although rent car stay ( would want try park Fisherman 's wharf anyways ) . hotel conveniently locate near two bus line ( within one block 's walk ) . 30 muni bus run Fisherman 's Wharf Chinatown Downtown . 's 10 minute ride wharf , maybe 20 minute downtown . bus run late night , sure leave plenty time get destination ride bus . we certainly willing stay Cow Hollow Motor Inn . next time , believe rent car use base explore Napa , etc . , car certainly require SF ! 
 Oct 12 2008 	 Great Marina Location 	 husband stay great hotel first four night round world trip . site parking bonus . room spacious clean everything need . really appreciate fre WIFI . location great , numerous fantastic neighbourhood bar restaurant around corner Chestnut Street - particularly recommend Mamacitas mexican fantastic food . walk Pier 39 several time park Fort Mason - lovely view Golden Gate Bridge bay area . also walk Lombard Street ( mean be quite hill ! ) cable car stop catch cable car Chinatown Union Square . 
 Oct 7 2008 	 great motel 	 well locate motel close many attraction San Francisco offer easy reach . car park huge , check quick easy room large large bathroom plenty hang space drawer . there tea coffee make facility room , tv , air con double glazing . room extremely clean well maintain . breakfast within build excellent cafe ground floor open breakfast lunch . internet user internet access , without laptop , three minute walk Fillmore Street internet cafe . we definitely stay motel next trip . the rate $ 135 per day plus tax . 
 Oct 2 2008 	 another enjoyable weekend ! 	 2nd time stay cow Hollow San Francisco Blues Festival . , enjoy stay . we book ( 3 ) room . room face Steiner large well appoint . one reviewer say , everything ask for . we actually request refrigerator ( $ 5 ) day - stay able stock drink group traveler . for first couple hour arrival - sit window take . agree other - Mel 's good breakfast . Izzy 's great . husband prime rib happy . also venture Cha Cha Cha 's Haight - Friday night wild party sangria tapas . really fun ! problem noise , always bring earplug - realize ' m city . 
 Oct 1 2008 	 Great Place stay 	 Set Lombard Street motel ideal three night stay . we request room quiet location preferably view get Golden Gate distance . parking premium San Francisco seem adequate herethe room cleanliness excellent . bed comfortable . right opposite Inn Mels diner great quick good food . the Wharf Area good walk away easily accessible . do not put name initially ! 
 Sep 28 2008 	 deliver everything promise ! 	 please Cow Hollow Motor Inn . I ' ve give 5 star , 's stylish ' destination hotel ' ( be ! ) , deliver really well everything promise comfortable , good value place stay . our room spacious sunny . bed big comfy nice sheet ; bathroom big clean ; parking free directly hotel , nice view city . Decor not personal taste ( quite old - fashioned , little bit chintz ) pleasant . room face busy Lombard Street window shut not bother traffic noise . good thing location Marina / cow hollow area . really nice restaurant doorstep ( try Bistro Aix round corner Steiner - mmmmm ) . also two great shopping area , Union Street Chestnut Street ( full cafe , restaurant , nice shop boutique ) . generally area quite affluent , busy , lot young people , safe welcoming feeling . number 30 bus connect quickly main tourist area . I think overall cow Hollow offer really good value nice location . 
 Sep 27 2008 	 great price comfortable 	 husband stay cow Hollow Inn September 20 - 25 . book base TripAdvisor review . ' m glad find hotel way book directly hotel ( Orbitz , hotels.com , etc ) . hotel easy get great neighborhood . little worried might much around hotel since 's near Union Square Fisherman 's Wharf , be actually quite little shop least 30 restaurant within 2 block radius hotel . first night , walk bay - quick 1/4 - 1/2 mile walk - great way look million - dollar house area ( beautiful architecture ! ) 's upscale neighborhood always feel safe outside . there several bus stop within 2 - 3 block . use bus system entire time - 's definitely easy way get around . get rental car , use get to / from airport trip Muir Woods one day . hotel free parking . our room clean well every day . not interaction hotel staff check - in check - out . recommend bring key chain give loose key . we problem noise , however husband often fall asleep tv , two we probably use noise . room first floor face Steiner street ( ' ve attach photo take window , face corner Steiner Lombard ) .Things not add take away stay , would recommend hotel management : - picture website seriously need update . ugly wallpaper picture long room . room much pleasant look person website pictures.- would ' ve nice comfy chair small couch corner room . bay window lovely , be big empty space next . room single king bed , double bed room probably fill space better.- would not book stay website secure server ( http vs. https ) .- go check 5:30am , one front desk . minute , think hear someone rustle back , call & quot ; hello ? ? & quot ; trick . : ) think employee going hang back slow time , bell door desk would easy solution . we eat many restaurant close hotel enjoy : - Country Sky Chinese ( across Steiner street ) - love place ! food fantastic staff incredibly sweet.- Barney 's Gourmet Hamburgers ( next door Steiner ) - food good , wait long ( restaurant not full ) . would still recommend place - seem though entire town short wait staff , everyone work hard.- Izzy 's Steak Chops ( across Steiner street ) - treat . Swordfish love , husband lamb say good , good would . expensive place visited.- Mel 's Diner ( across Lombard street ) - 50 's style , jukebox diner . food good , milkshake great . enjoy meal , not really make think & quot ; San Francisco & quot ; .- Squat Gobble ( Chestnut , 2 block walk hotel ) - lunch fantastic . lot salad crepes.- korean BBQ ( can not remember actual name restaurant , be right next hotel Steiner street ) - get take - out one night eat hotel room . husband really enjoy , first time either we eat korean food , can not tell authentic . 
 Sep 1 2008 	 pleasant surprise ! 	 stay 3 night cow Hollow Motor Inn . like hotel . room large clean . although room face Lombard St. noise dampen two thing : upon check - in lady desk offer we ear - plug ( free charge ) , turn fan room . hotel free parking critical we , since drive . location good great public transportation , use time go museum city attraction . the front desk staff excptionally helpful . all - highly recommend location price . 
 Aug 21 2008 	 Great Hotel 	 return three night cow Hollow Motor Inn . corner room two queen face Lombard . room clean .We not bother street traffic turn fan help drown . room nice roomy 4 adult size people . nice area bay window part table 2 chair . eat Mels , across street Bay Watch , right next door . please unusual selection Bay Watch breakfast . complaint not realize check could rent refrigerator $ 5.00 night . tell upon check could save $ 40.00 per day spend breakfast cool drink . also charge $ 4.00 per person call shuttle airport . would suggest call shuttle see could save $ 4.00 per person . pay shuttle driver $ 10.00 per person . keep mind make arrangement get airport . I would definitely recommend hotel ! 
 Aug 20 2008 	 Cozy cow Hollow 	 husband 4 teenaged girl stay cow Hollow Inn weekend early Aug. book three room . motor inn suggest we San Francisco native - turn great choice . good : reasonably price - include free parking , room good size . great location - easy pick bus , near water , great little shop restaurant within walk distance . staff uniformly terrific - answer every question care . free Wifi . bad : 's motel - view room inside wall next building . on balance , would absolutely stay . home Plate , block inn wonderful breakfast , Aix Bistro around corner lovely place dinner . 
 Aug 15 2008 	 certainly luxurious definitely Clean Functional 	 motel exactly reviewer explain surprise . be . pro : price - reasonable . large room . basic bathroom surprisingly nice towel . clean . quiet air conditioning - clunk noise . great location Chestnut , Union Fillmore Streets . convenient parking . con : bed comfortable euro - bed pillowtop mattress . staff neither rude friendly . I guess would describe 1960 's style motel , like visitor , slept not look great hotel experience . Union Square , be whole different atmosphere . visit family live Marina District perfect choice . you can not beat price , size location . know be get luxury hotel , get clean basic one . 
 Jul 15 2008 	 SF kid 	 live CA want spend 2 day SF . stay cow hollow many year ago w/o kid . time 8 year old son . room # 336 look balcony quieter street side . window could actually see golden gate bridge cool consider basic , thrills hotel . window open safety latch .... recommend toddler kid might lean long way . something . room clean spacious money good deal SF . good thing park car free register guest . parking lot not see must check desk first . park car not drive leave . catch # 30 bus one block get various place include Fisherman 's Wharf $ 1.50 adult $ .50 kid ( bargain ) . beware strange character bus kid not use see sort thing . son not figure learn experience . kid - Mel 's dinner across street , pizza place corner , IHOP street . without kid - adult - cool restaurant Chestnut Street one block . spend lot stay Fisherman 's Wharf ? want hotel room frill , breakfast , etc . want save money souvenirs museum - stay . 
 May 23 2008 	 ' Til Cows come home ... 	 go SF Bay Breakers ... thus party ' til cow come home ! : ) cow hollow great central place stay - 10 block walk Van Ness Muni bus , 12 block ( plus steep hill ) cable car . sunny day , room & lt ; slight & gt ; view Golden Gate Bridge ( stand right place crane neck balence one foot ) . bed comfy , room good size , shower good pressure tall enough , everything clean . 's basic good kind basic . plus , parking free ! drawback - enough towel , happy give we extra ask . 
 May 16 2008 	 great hotel 	 stay two night hotel small child . front desk clerk always friendly phone . pleasantly surprised arrival find small lobby garage well decorate . hotel much lovely inside expect . we double double - bed room , small need , leave . clean pretty mostly quiet . bed slightly hard , sleep well night . location fine ... not stay marina district find full energy life . bus system easy use find way need without much trouble . not within walking distance Fisherman 's Wharf touristy location child , glad public transit . hooray free parking ... one main reason look property , make big difference choice . I would highly recommend Cow Hollow . 
 Apr 14 2008 	 Perfecet we ! 	 come family wedding . lot room book us hotel . perfect easy . great location front desk helpful . definately stay . 
 Apr 13 2008 	 Good 	 excellent cow hollow location Lombard Street . easy , safe walk Chestnut St bus line ( # 30 ) via Fillmore Street , Chestnut St Union St. shopping restaurant , well Palace Fine Arts Marina . clean , beautifully decorate hotel . Interior hallway lovely wall paper new carpet . traditional decorate design ... moulding , chair rail , plaid etc . stay deluxe king room third floor back perfect view Golden Gate Bridge . lombard busy fast move traffic ... would not stay side front Lombard ... definite noise issue side hotel . request city bay view back , away Lombard . Interior , secure elevator . clean , spacious , safe underground parking . room spacious , beautifully furnished , restful color design , excellent condition . soda machine third floor malfunction ( take money ... lot , not dispense soda , break coin return ) .housekeepe replace towels linen daily , unless request . sure ask enough shampoo soap . otherwise , lovely well care hotel . professional friendly staff desk . however , one young lady hotel desk appear unfamiliar public transportation airport probably familiarize various route choice i.e . bart , bus , shuttle etc . assist guest regard . otherwise , perfect service . 
 Apr 4 2008 	 great location price room etc .... 	 book & quot ; west coast adventure & quot ; . San Francisco LA Las Vegas . really wish could brought cow Hollow along rest trip . clean , comfortable great location . great parking ! can not wait return . 
 Mar 2 2008 	 great location 	 hotel great location . beautiful area lot restaurant shop , within walk distance marina . be shape , also walk Palace Fine Arts Golden Gate Bridge . hotel offer free parking . room clean , unless get right room noisy . want quiet , recommend ask inside room high floor . room large bed average quality . also offer free wi - fi . overall , 's good deal price . 
 Feb 25 2008 	 Perfect Place Stay 	 husband stay president 's day weekend . book base review trip advisor excellent price definitely disappointed . room extremely spacious clean - bathroom . staff friendly love parking garage plenty parking . already love area around hotel - Chestnut street many little gem 's also easy walk waterfront . everything easy walking distance hotel , include lot good restaurant shop little market . downside think & quot ; city view & quot ; room , mean face Lombard street incredibly noisy . however , noise never bother we sleep like baby every night . maybe could bother people though ? would definitely stay probably next year return San Francisco . 
 Feb 1 2008 	 return cow Hollow . 	 room clean comfortable . hang desk beautiful chandelier give room nice touch . room back build absolutely street noise . bathroom clean in - room coffee good . staff friendly . many small restaurant , coffee shop walgreen around corner . convenient ! come back . 
 Jan 30 2008 	 great location reasonable price 	 cow Hollow Motor Inn offer spacious , attractive room great location reasonable price . 's block Embarcadero . many interesting restaurant shop walk distance catch bus take China Town Fisherman 's Wharf right around corner . 
 Jan 5 2008 	 Plain Jane Hotel 	 cow Hollow receive good review thought would give try . plain hotel amenite . lobby , office parking garage . concierge , be totally . hotel room bathroom large , coffee maker fridge . bring pizza one night , save piece breakfast cover ant next morning ! YUK price reasonable nicer hotel Union Square . parking free , however , stay pick rental car explore redwood sausilito area north Golden Gate . first floor ( really second entire first floor parking garage ) traffic verry loud . wake several time night . like area well downtown . remind bit leave bank paris ... lot tiny little restaurant shop ... also big store . go back San Fran , stay ( marina ) district like atmosphere well . do not think stay cow hollow though . 
 Nov 27 2007 	 great bang buck ! 	 we'ver go cow hollow year . great location Marina , Lombard . one block Chestnut , three block Union Street . literally dozen good restaurant within comfortable walking distance . be important : price reasonable , e.g. , king bed , large room around $ 90 plus 14 % tax . free parking . my wife usually reserve two - bedroom suite another couple , around $ 325 total , get great place entertain San Francisco . suite expansive living / din area . kitchen small size , adequate wine snack dinner entertain . go number year bad experience . prefer type & quot ; neighborhood & quot ; hotel location pricing . enjoy ! 
 Nov 25 2007 	 safe convenient good value shortcoming . 	 stay , two area operate owner , Coventry Chelsea , since 1981 . generally speak , premise well - maintain room , especially bathroom , , neat clean . several year ago desk internet access add , replace table two chair arrangement . leave room without really comfortable place sit relax , read , etc . within easy , safe , walk distance couple block , myriad small cafe bar . tmovie theater , Walgreens , coffee house , etc . leave car park take bus stop around corner downtown area . 20 - 30 minute heart town without worry place park . bottom line luxury establishment darn good value . like high - rise downtown atmosphere , dining room , bar club in - house not mind pay extra $ 100- $ 200 ambience , place . opposite true , think happy cow Hollow . safe , secure clean comfortable 
 Nov 13 2007 	 cow Hollow - really Good Value 	 stay 5 night cow hollow first visit San Francisco delighted accommodation prove excellent value money . room good size , certainly much large several medium rate hotel use London year . 30 min comfortable walk Fisherman 's Wharf not fancy exercise area well serve public transport . also many varied eating place within easy walk distance - special recommendation Baywatch Restaurant next door serve fantastic breakfast . 
 Nov 2 2007 	 cow hollow run down / rude front desk 	 stay cow hollow several year . past two year really go hill . service front desk always horrible . right rude . ask anything specific , backside room , king , etc . , say honor . time ignore . also , street noise increasingly horrible . always noise machine , even help time . I look elsewhere next trip . bad , use well job . room rundown . desk lamp , bathtub stopper . full price good , worth tired exasperated whole trip . 
 Oct 26 2007 	 decent budget - motel 	 tired traveller get plane rental car need stall , place . not expect anything fancy , room standard . room clean , staff friendly location quite good . steinerstreet good irish pub eat , busy amici pizza - restaurant must good business . it nice walk Chestnut Ave Bay 10 minute walk . partner satisfied . 
 Oct 8 2007 	 Great Location 	 ' ve stay several time . location great . right restaurant , public transportation , shopping . short , pleasant walk Ghiradelli Square Fisherman 's Wharf . helpful staff , free parking . price , can not think anything else would expect hotel not find Cow Hollow . 
 Oct 8 2007 	 Moovvve ! cow Hollow Motor Inn Suites SFCA ! 	 back SFCA four year ago decide stay place stay discover place go downhill . want stay Presidio area SF good part city opinion . go local AAA office ask clean , comfortable importantly affordable motel / inn immediate area give name cow Hollow Chelsea Inn other area own company . walk around go back cow hollow , guess name wicked kool also ! , say disappointed stay save large part stay cow Hollow Motor Inn Suites . room clean spacious price reasonable SF , think . would highly recommend suggest anyone want clean comfortable stay trendy part SFCA look - up cow hollow sister hotel , even one Napa /Sonoma wine country . awesome ..... thank guy thanks SF great ! 
 Oct 6 2007 	 Good Value Money 	 stay 10 day sightseeing trip find location perfect , near enough take bus centre San Francisco smart area restaurant cafe eat evening grab coffee first thing . inn locate quite busy street not find traffic noise disturb back large car park seem empty time , hustle bustle restaurant around corner handy evening noisy ! room spacious maid service excellent day . staff helpful friendly book us car hire also shuttle return airport . if visit would stay good value money great location visit different part city , even take bus outside inn across Golden Gate bridge also city . 
 Oct 4 2007 	 Pleasant 	 choose cow Hollow suit previous review , disappointed . location great -- ton great restaurant type neighborhood , good area walk , could walk waterfront . free underground parking , ! ( SF hotel charge $ 25 park day ) . suite great -- ask give 1 bedroom suite , spacious comfortable . clean neat well - equip . really fully - equip 1 bedroom apartment , full kitchen , work fireplace ( wood provide ) , hardwood floor , king size 4 - post bed ( comfy ) , modern , large bathroom , 2 tv , internet access . much nicer large typical hotel room large even suit hotel . staff friendly helpful -- problem issue complaint . beef something would street noise -- first floor typical city street noise . high floor would quiet , noise level overall acceptable . 
 Oct 3 2007 	 amazing place amazing location amazing food ! 	 place great -- super friendly staff , able put we nice room & quot ; view & quot ; second day marginally high rate ( although extra view not anything great , not worry ) . can not beat location ! good restaurant ' ve ever eat street -- include famous diner corner lombard steiner ! great experience , would stay ! 
 Aug 30 2007 	 Quality Bargain rate 	 family four stay cow Hollow Motor Inn August . room perfectly comfortable clean two night stay . yes , could hear traffic street surprise none us trouble sleep . choose hotel free parking . leave car take bus around corner , travel city , & amp ; park see Giants Chinatown , Marina , trouble . teenager think take city bus cable car part & quot ; experience & quot ; enjoy . people desk helpful map direction . plenty restaurant area . 
 Aug 15 2007 	 great price 	 really like location hotel . easy access bus route major tourist attraction city . great restaurant shop nearby . reasonably price compare many hotel San Fran . absolutely would stay ! 
 Aug 14 2007 	 nice noisy 	 nice hotel . clean , well furnish free parking . downtown area , close bus stop take town . great neighborhood tremendous variety place eat drink . major problem noise night . Hotel Lombard major highway Golden Gate Bridge . truck car run night long . hotel run Lombard Chestnut . chestnut much quieter . would suggest someone stay insist room close Chestnut Street . 
 Aug 8 2007 	 cleanfriendly old 	 stay 2 night . room 2 dbl bed . clean safe also old . fussy fancy old funiture carpet take guard . eviews say front desk friendly ... find charm helpful.the location nice limited time see great deal would well stay near wharf see tourist stuff ride trolly . city bus right around corner hotel time spend great.if botherd od furniture place perfect ... price parking can not beat ... old clean . 
 Jul 2 2007 	 Nice Stay 	 stay cow Hollow Motor Inn one night town watch Giants play ( get see Barry hit # 750 ) . Motel well keep , room large SF standard , lot counter space bathroom , good water pressure . Place seem secure , use room key access elevator . good parking free enclose parking lot , parking space premium SF , hotel charge $ 35 - 45 dollar per day parking . heck pay $ 30 park ballgame another $ 12 go farmer market ferry building . note entry numerous place eat within 2 square block motel include Mels Diner ( American Graffitti fame ) right across street . 3rd floor king w/ city view , nice view however open window noise Lombard Street loud , closed noise barley audiable . staff effeicent check take less 5 minute . motel meet need hesitate stay . 
