Nice 	 room clean , nicely appoint . small , expect give location . comfortable bed . staff friendly responsive . 
 Great Stay 	 go NYC Macy Parade , arrive Tuesday Nov. 24 . stay till Nov. 28 . make short sweet . perfect stay , clean , comfortable , wonder ful staff . room big , know go NYC . stay room . complaint , make point stay . staff , go way help ! ! want room nice go long day NYC place go . want spend day hotel , place , clean , bed extremely comfortable , pillow great ! can not say enought kind thing hotel . walk broadway , ask get taxi , need one . stay . 
 great 	 hotel perfect ! room beautiful , clean , comfortable . staff nice accomadating . location great , little busy , be come New York . 
 Sep 21 2009 	 Great Hotel 	 great stay hotel . couple minor concern take management , great helping . staff encounter friendly . business center come handy since bring along laptop . yes , room small compare normal hotel , NYC think suitable size . walk late night never feel unsafe location . fact , see NYPD officer post many street , safety concern . overall great stay would recommend hotel . 
 Sep 17 2009 	 10 5 ! 	 family ( wife 2 child 24 27 ) award Hampton 10 5 ! great hotel helpful staff good breakfast ever get hotel stay US , Europe , Africa South East Asia . compete Allegria Guest House Stellenbosch South Africa . we bedroom 4 people de room nice . large comfortable bed , nice flatscreen tv free internet service . location along 8th Avenue walking distance downtown Manhattan course good asset . so , stay hotel next visit New York ! 
 Sep 17 2009 	 Great Hotel 	 girlfriend book hotel last minute pleasantly surpise nice . staff helpful friendly , room clean nice . bed comfortable . continental breakfast treat especially city want something quick easy . would definatley stay hotel ! ! price right ! 
 Sep 4 2009 	 great location fab room great staff 	 lovely little hotel , staff helpful free internet kiosk , can not ask well . breakfast include typical american fare . would like soya milk available , never ask can not complain . location well ! ! close Times Square Broadway still nice small quiet hotel , big room ! 
 Aug 25 2009 	 Great Customer Service still exist ! ! 	 hotel far good hotel ' ve stay New York City ! visit New York City 3 time last year time stay different hotel . never stay anywhere else ! customer service far well ever experience ! ask refrigerator room promptly , housekeeping show one . next day , ask chance , would little microwave room could reheat food purchase ? minute , housekeeping show one ! great ! hot breakfast morning fabulous ! week , also set breakfast go bag ! sure grab life saver street shopping ! 
 Aug 25 2009 	 good location nice hotel 	 stay one night August ' 09 actually like . problem encounter involve shower . water luke warm pressure not great , otherwise hotel clean room spacious . 's great area city , would probably stay . 
 Aug 17 2009 	 Food Stolen Room - Hot Water 	 change room 2 time stay . request room high floor city view upon arrival 8/8/2009 receive room high floor view . try call downstairs phone room work . go back downstairs lobby request room view . receive room view ( room 2706 ) . check go day . upon return 11:30 PM night proceed take shower discover hot water . call downstairs report issue tell let water run 10 minute . run 20 minute never get hot . go downstairs talk front desk desk clerk give another room ( room 2606 ) . request shower cap front desk take 30 minute one bring room . always shower cap ready wait Hampton Inn stay matter city ' . 8/9/2009 buy 3 brownie Chelsea Market NY bring room . two individually wrap . leave room 7:30 8/10/2009 return 6:30 pm . upon return room find one brownie eat cleaning staff . report issue front desk tell talk manager next day 8/11/2009 . next morning try reach manager unsuccessful able talk front desk . lady front desk offer full free night apply bill . although offer free night consolation incident completely solve issue . appal upset leave something room return get back . extremely unsettling . know brownie may seem unimportant hotel staff scare bother know leave something room take time get back . principal , moral trust important stay one Hampton Inn hotel not expect anything steal take . also not expect change room two different time expect hot water room request ready upon arrival . apparently Hampton Inn / Manhattan Times Square South new hotel already adapt thug staff . location convenient close Times Square . space ... well , New York City space limit everywhere complaint . area , safe place NYC careful watch surrounding . elevator slow annoying . overall , interior hotel nice 6 7 day stay room clean . one bad cleaning experience come back room find ice bucket clean bathroom thoroughly clean well . overall , would recommend hotel convenience , location fun time , not expect hot water 27th floor not leave anything sit want keep . 
 Aug 12 2009 	 would stay 	 stay three night Hampton Inn woudl go back . new thing work . make reservation two couple three night , some night use Hilton Points . confusing desk staff almost miss prepaid day tour . elevator problem , two one break , take long time get . ticket show one night decide way could sure make performance walk fourteen fight stair . least 32nd floor . room tight could walk closet someone sit desk . vacation worry make tour performance get elevator resolve registration problem . 
 Aug 10 2009 	 tight squeeze poor location . 	 hotel consistent level quality would expect Hampton Inn . room small . 2 elevator . one break one elevator 32 floor . there not service elevator cleaning staff get elevator garbage bag . : ( not give water bottle go soda machine get something drink , soda machine break . although hotel within walking distance Times Square , sketchy section . feel safe walk back night . staff reception desk friendly breakfast ok . air condition work well . 
 Aug 10 2009 	 New Hotel ... many kink work . 	 typical Hampton Inn . problem , though . first , one elevator break entire time . hotel two , 30 + story hotel , one elevator nearly enough . the shower would completely lose water 1 - 2 second every 45 second so . our room ice bucket . call front desk one , come 45 minute later , go get . give plastic liner even ask one . fellow say ice bucket new not need one . by way , also locate pretty rough look neighborhood . 
 Aug 9 2009 	 quite ready prime time 	 ' m normally pretty big fan Hampton Inn travel family . breakfast save we considerable time money . however , Times Square South hotel operation three week show . ie : , two elevator 32 floor ( six room per floor ) , shower head instal backwards . , location lend family venue . one group , fifteen year old female , physically accost fellow passer - by outside hotel ( immediately rescue equally hostile mother ) . would recommend Hampton Inn Times Square North location family . stay April go well . 
 Aug 19 2009 	 Uma boa escolha . 
