glorious 	 stay Claridge 's weekend November suite , tell recently ' refurbish ' . bedroom living room , although large central London , rather worn vintage curtain chip paint tired carpet - fine generally , £ 1,200 per night ! service standard good , probably amongst good town , lobby one glamorous . we , though , room big let - down . brown furniture , cheap picture old fashioned light . remind chic Connaught , albeit room fraction size . 
 Oct 14 2009 	 heaven 	 rate hotel high enough , ' ve stay many time go back 
 Oct 13 2009 	 amazing birthday treat - SheilaL - Hertfordshire 	 surprise birthday present wonderful family . arrival door car whisk open smartly dress doorman mine daughter luggage remove stow hotel quickly think driver still reel service . meet genuinely polite smile staff direct we wait receptionist . previous comment room , despite top price bracket mean , well decorate , airy , clean comfortable bottle gently chill champagne sideboard assorted fruit . bathroom good size , one large bath see London hotel shower similar monsoon downpour . loved quirk problem bath could pull cord either maid valet , poirot ! quickly freshen whisked sumptuous lunch Gordon Ramsey restaurant . family remember really want taste good food top chef actually taste , always hear intensity flavour want sample . say , disappointed way , food superb taste supreme . staff highly attentive helpful , whilst rush make mind . wine list amazing something every pocket . hotel well situate near Bond Street , Oxford Street Regent Street shopping major site tourist . staff find delight , perhaps get back give ! ! . like idea service charge sort age old problem tip much . expect always people moan , let face , service receive deserve . travel world stay top hotel plus point come old fashioned personal discreet service considerate staff feel Claridge 's top tree . want modern hotel whizzy staff stay one leave Claridge 's people may appreciate . certainly birthday remember . 
 oct 8 2009 	 good hotel 	 Claridges hotel London good hotel experience ever . travel frequently stay high end hotel beyond expectation . room impeccable lobby center action . mayfair location great . one block Bond St tube station , use every day . theo , concierge , good . 
 Sep 9 2009 	 u need right surname ! ! 	 phone hotel make reservation 2 night stay , tell hotel fully book - normally use maiden name booking hotel . phone ten minute later use husband name , ask confirm surprize surprize , get reservation 2 night tell fully book ! ! ! ! ! ! staff seem forget guest keep job drop attitude 
 Sep 3 2009 	 disappointed high expectation 	 stay wide range hotel even club London depend mood vary neighborhood preference . stay Claridge 's sister hotel , Connaught , several time full range experience exquisite awful . hear much Claridge 's thought would step Connaught . find discount special rate Claridge 's web site , book expect good . need come extra day early book extra day telephone , understand first day cheap room available would take nice room high price move cheap room next morning . exterior impressive , interior seem ordinary luxury hotel nothing special . central stairwell hallway compare Connaught . think service well good London hotel . room service dinner arrive roll table glass water , bread butter , flower bud vase decor . fact doorman never open door ; attend elevator not attend night , one must duck around corner secondary elevator hour . worst yet , go front desk arrange move cheap room first night front desk try & quot ; upsell & quot ; stay room high price . say , want low rate prepare move different room , front desk deny low rate booking , even call reservation department . spend 10 minute dig print confirmation Claridge 's web site persuade book low rate . say not change room would stay room low rate ( spend 1/2 hour packing move . ) feel uncomfortable press issue , expect treat hotel reputation . perhaps treat way pay low rate hotel -- judge luxury hotel treat low ranking patron . hand , location superb , close Bond Street Tube station , bed comfortable . room clean , pleasant , well maintain , nothing particularly elegant . 
 Sep 2 2009 	 Superb Service one London 's top hotel 	 one bedroom suite large well appoint London standard . public space obviously beautiful . great fitness center ! service food breakfast / tea restaurant good . location ideal . impressively , service superb . everyone doorman , bellman , front desk staff concierge could nicer helpful . concierge arrange hard get dinner reservation virtually notice ! friendly welcoming ambience . definitely new hotel choice London . 
 Aug 21 2009 	 Service orient Wish Rooms would match 	 Overall really like Clardige 's . staff service orient addition kind helpful . breakfast also nice . however , get art deco room could use refurbishing . Clardige 's would update bathroom plumbing would even well ! would recommend ask modern room art deco one . 
 Aug 19 2009 	 good food London 	 Excellent food service , upgrade suite , overall fantastic experience . 
 Aug 15 2009 	 Birthday Treat 	 stay one night midweek , dine Gordon Ramseys . the welcome enter hotel one warm ' ve ever experience . everyone staff attempt make eye contact smile , pleasant , unusual Central London ! book delux double , find special offer AMEX subsequently provide champagne , breakfast voucher Harvey Nics . contact hotel prior arrival , ask special offer include , immediately agree . upon arrival , upgrade suite . lounge suite big lounge home ! wonderful . we pre dinner drink bar , quite crowded , although wait staff still attentive , find we table . place nice buzz , yummy nibble . Dinner Gordon Ramseys restaurant excellent . taste menu really enjoy . small point would prefer select wine recommend course , rather choose wine list each . the suit comfortable surprisingly quiet , although fifth floor . bed comfortable . breakfast morning good . client clearly demand , every combination breakfast item seem available . check smooth , leave bag hotel collect later spot shopping ! enjoyable stay . 
 Aug 10 2009 	 simply Best London 	 extreemly pleased stay claridge . super service , perfect location hotel splende . would recomend anyone appreciate greatness og service luxury . 
 Aug 10 2009 	 Absolute Indulgence 	 recently 2 night stay suite Claridges . amazing Art Deco style hotel heart Mayfair everything offer romantic special occasion . book Junior Suite upgrade beautiful large Mayfair Suite . staff attentive , helpful polite concierge particular go way help we reservation . location hotel perfect theatre , dinner shopping . memorable stay would definitely go back . minor negative would lack cd player room - GBP2.00 charge apply want play music selection . 
 Aug 4 2009 	 good good enough 	 agree many Tripadvisor member write : public room impressive , location excellent , service ( charming elevator ! ) room ... room small see decor 2 suite ( 1700 pound per night ) , impressed . nice hotel , worth money . might want consider look elsewhere . 
 Jul 28 2009 	 hotel London 	 Claridge 's simply good hotel London ( ' ve stay , example , Dorchester Langham compare Claridge 's ) . service professional friendly ( lift operator , butler suit etc . ) , hotel clean location quiet good . get free upgrade huge suite ( include example expresso room ! ) complimentary champagne , flower , chocolate , fruit three different water choose . Lunch Gordon Ramsey 's really good . , perfect hotel experience ! 
 Jul 23 2009 	 top rate stay Claridges expect 	 standard Claridges consistently high , make return property pleasure . staff professional , room lovely comfortable , drink well serve . 
 Jul 21 2009 	 Claridge 's good ! ! 	 love stay Claridge 's . every hotel elegant staff helpful . know 's expensive , sometimes need splurge . location ideal close Selfridges House Fraser . 's 10 pound cab ride Paddington tube station high speed train Heathrow . 
 Jul 18 2009 	 everything 	 two wonderful day Claridges upgrade ( extra charge ) suite . be luxurious , service professional , friendly exactly would expect good hotel London . naturally , everything costly 's expect . Art Deco decor exquisite attention detail little extra touch make extra special . two dinner Gordon Ramsays Claridges ( £ 70 per head plus wine , water etc ) delicious whole experience one never forget . ever afford , definitely go back Claridges 
 Jul 11 2009 	 expensive sure would stay 	 Claridge 's name . celebs stay , boyfriend 's birthday thought would treat see fuss . ready check 2 pm tell room ready . good start . go lunch tell would recieve phonecall mobile room ready - certainly within hour . receive phonecall . 3.45pm go back hotel - concern time since due go 6 pm - although room ready ( well otherwise would happy ) receive form apology . suppose good hotel London ! time make fuss pay per night , lose couple hour room equate good drink bar ! top air conditioning work hot uncomfortable night sleep . moan aside beautiful hotel great location prepared pay odd everything . £ 31 full english breakfast ? not think . make reservation make sure money problem . also , write complaint letter mangement stay , expect receive reply - still wait hear back letter date 25th May ! let know receive form response honest , ' m expect ! 
 Jun 25 2009 	 wonderful wonderful wonderful 	 quite simply - WONDERFUL . stay one night , special treat husband birthday . everything place special , include staff do not care arrive without match suitcase . far concerned whilst stay hotel treat like royalty . hotel steep history add ambience . recall last time fabulous night sleep hotel , pillow die . eat late lunch inthe reading room fantastic consider heart Mayfair price good . food excellent service superb , want cheap cheerful continental breakfast place , hand , want spoilt death , make feel special do not mind spend little bit morethen place you.i 
 Jun 22 2009 	 agree Spencer Tracy 	 moment enter feel nothing problem , . Claridge 's uniique compare . step rest - from fantastic concierege , lift operator ( lift include small couch ) know , opulent yet perfectly understate english room unbeatable . get well fact help seem truly like job hotel feel . one bit advice anything possible long pay not even need write chit , staff know accomodates perfection.7 night enough London can not stay anywhere else ! ! 
 May 31 2009 	 friendly efficient staff huge room old school glamour - could ask ? 	 thought would rewrite review Claridges stay quite time recently nothing praise . stay quite hotel central London ( lot indifferent therefore can not bother write ) decide really one good option around . staff friendly , not take long recognise understand adhere preference without ask . manager always knock around introduce readily , go way help guest way . mater type room huge , bathroom might old clean bath always extra long super deep perfect relax soak end hard day shopping work ! furnishing old spotless bed comfortable ever sleep . spoilt choice come eat Gordon Ramseys downstairs want splash fine dining hotel restaurant wth equally fine dining surprisingly affordable price ( three course set menu around £ 40 include little extra amuse bouche etc ) opt room service surprisingly high quality although somewhat pricy option . , long look something ultra modern , will not go wrong Claridges ! 
 May 20 2009 	 Magnificent Mayfair Jewel 	 Claridge 's exquisite property locate heart Mayfair . distinctly Art Deco hotel favor many famous guest see many walk lobby hallway . get two Deluxe King Rooms special offer , breathtaking view ( Mayfair rooftop / building ) , room suprisingly spacious London . never even hotel stay friend say nothing good thing . Bentley Continental Flying Spur pick we airport take we hotel , wonderful staff butler helpful securing restaurant reservation theatre ticket well suggest new , fun thing around city . room art deco style oppose classical ( choice ) . restaurant hotel nothing fantastic ! ! ! eat breakfast every morning read Room Foyer ( one morning Room , next Foyer , etc . ) lovely . also afternoon tea Foyer impeccable , theatre . west end within short walking distance see Mary Poppins fantastic ! ! ! also hotel , Gordon Ramsay restaurant , good signature one Hospital Road , certainly nice evening . although make use fitness facility , massage spa fantastic . see three Barbra Streisand concert , O2 Dome really Greenwich hotel make transportation venue easy . negative hotel location . really nothing interest within walking distance ( West end ) Bond Street Knightsbridge / St . James . , certainly one London 's top hotel would return future , especially undergo major re - do . 
 may 18 2009 	 Fabulous Unique Faultless 	 fortunate come back second stay world 's perfect hotel . moment taxi pull outside white gloved hand whisk away luggage , bed large comfortable lie across without touch side , unobtrusive turndown service include replace supermarket bookmark claridge 's , unique delicious cocktail bar , immaculate delectable breakfast , ability doorman summon taxi ( case moment ) empty london street , everything immaculate . but , Claridges deliver service . without distinguish way tourist save lifetime treat , jaded business man regular visit , blue blooded european royalty , standard service pitch perfectly . despite number guest , everyone make feel value individual - mention check go theatre evening , next day ask enjoy show . of course pay want bed night london , will not appreciate hotel . want trendy , cut edge fashion , will not appeal either . want taste possibly famous vintage hotel , one claridge . 
 may 18 2009 	 great Stay - Disaster throw . 	 friend book secret location last minute . imagine delight find Claridge's . we 26 mile Marathon call Moonwalk Breast Cancer evening . we arrive knock decor . check great give late check due require sleep early hour rather evening . show room maid still clean pot tea provide we wait . the room great large bed fantastic bathroom . unpacked get change go afternoon tea . Floral Afternoon Tea delight , whole thing yummy ! duet play piano double bass excellent . follow tea go try get sleep go night , bed comfortable go straight . shower get clothing Marathon still prepare challenge ahead think could hear shower run look bathroom see water run ceiling . someone obviously leave bath run . rang reception straight away say emergency explain situation . switch bathroom lobby light flickering reach bathroom towel stop flow door bathroom like swimming pool . someone appear door seem understand problem room way water going stop get switch bath . electrician arrive water running bedroom gather everyte put wardrobe . electrician announce unsafe go plunge we darkness . we point need leave register Marathon , could really do without feel less organise not complete preparation disaster . leave hotel need assure would indeed come back dry room return . ask receptionist step one side guest checking not want think Claridge 's fall apart . receptionist call executive housekeeper whose name Jutta Asta , explain situation , say would well return early hour morning . when get Hyde Park realise leave camera battery charge room due panic forget . intend record sight way round bitterly disappoint , however rang Claridge 's explain happen gate close could come back collect send one Hyde Park . incredible service . we complete Marathon arrive back Jutta wait we indeed , moment everyte sorted staff rally collect thing room give another room breakfast champagne order tired happy . slept hour go Gordon Ramsey 's lunch . excellent service spot on . although disaster cause anyway Claridge 's guest , treat extremely well Claridge 's certainly pull stop make we feel well situation . Jutta Asta Executive Housekeeper fantastic thank enough everything . also Christophe come way across Hyde Park camera battery . the service unbeatable . stay . 
 May 4 2009 	 undoubtedly good hotel London ... 	 travel around world business leisure . often stay luxury hotel really pay attention detail make feel hotel worth every penny . there many 5 star hotel London . state good town , second none ... accord , London 5 star hotel old fashonne . lack serious overall renovation refurbishing . dorechester among hotel provide excellent service old fashonne furniture . contrary Paris 5 7 real palace ( outstanding building , beautiful furniture , excellent food , premier service ... ) , London boast real palace exceed common luxury standard ... except CLARIDGES.My wife want stay Mayfair hotel . area locate center london 's main attraction . point , Claridges hotel perfectly situate . we want stay moden / art deco room hotel service quality still sense . reserve Claridges suite design David Linley , genius furniture designer . we arrive London early morning . Bentley limousine wait we . driver friendly class . at hotel , upgrade we Linley suite one good modern / art deco style suite hotel . bottle champagne , fruit plate flower put suite . during stay , test staff . butler together concierge professional friendly . show pay attention request . order food via room service ad also eat main restaurant . everything perfect . food quality great like many french palace . as summary , spend 3 unforgettable day hotel . claridge definitely good hotel London . perfect gateway people expect well . thank much hotel 's staff 
 May 4 2009 	 Superb superb superb 	 Claridges one Londons famous hotel , one world , long illustrious history , favour old new money ( apparently one occasion diplomat rang Claridges ask speak king , receive reply ... certainly sir , one ? ) .I spot deal website 3 night Easter seem good true , book . turn agent mistake price honour anyway . thank goodness , experience miss . firstly room ... small king room tell enormous London , big anywhere else . king bed fact 6 ' 6 ' superke supremely comfortable . room service twice daily never interrupt service purpose . room overlook interior courtyard view ... next bathroom ... truly deserve mention ... fabulous double depth half sink 6 ' bath fill time retain water heat make good bath hotel . furthermore room soundsystem fed bathroom . partner love bath together spend age enjoy . practical get clean point view awesome showerhead size dinnerplate drench ! food ... breakfast restaurant room twice . time lovely service faultless . also afternoon tea fantastic , make real occasion ... expensive yes ... £ 60 2 , wonderful , 30 type tea offer , sandwich divine , scone light cake rich ... service immaculate please understand afternoon tea event set aside least couple hour enjoy experience . not evening meal drink evening bar fumoir ( smoking ban designate cigar bar , characterful non - smoking bar ) . cost drink , everything , pricey , £ 7 pint beer , do not go claridge close wallet . service throughout utterly faultless pleasure moment arrival checkout . stay , even though know will pay much next time , place fab . even , list lifetime & quot ; must & quot ; experience . and yes , something special stepping Harrods cab requesting & quot ; Claridges please & quot ; ... even Harrods bag sandwich snack room till dinner ! ! 
 Apr 23 2009 	 Fantastic break great location 	 return 3 lovely night Claridges London . treat wonderfully minute arrive case swiftly deal . offer complimentary champagne welcome drink room treat well throughout 3 night stay . aware true 5 star hotel prepare pay 5 star price well come ! choose come accept prcie lovely time . slight gripe wait every morning breakfast slightly slow service breakfast - however rush ! ! location great everything walk distance . enjoy ! ! 
 Apr 14 2009 	 luxurious weekend London 	 wife planning weekend away decide go London love much . we look luxurious relax Easter Weekend . stay Claridges year ago business remebere really like . research many five star hotel decide property would good suit need . we arrive Thursday morning arrange car hotel Concierge pick we Heathrow . arrive hotel around 10 be able check early junior suite . room excellent . 750 sq ft . seperate small sitting room two comfortable chair , tv , mini bar desk . afternoon tea ! bathroom large ( white marble ) water pressure shower terrific . bedroom large lot closet space , king size bed nice old furniture . old property keep room hallway excellent . would say carpet replace last couple year . get great feeling history hotel decor furnishing reason do not feel worn . wife spa treatment enjoy . use gym twice nicely equip proffessional grade equipment . the package good value London five star hotel . pay $ 495 pound ( $ 900 canadian ) juinor suite include bottle champagne arrival full english breakfast two morning . love afternoon tea property . pricey ( 30 pound ) enjoyable . day . London great city walk tourist . hotel excellent location window shopping great store . eat great two michelin star restaurant ( Square ) 5 minute walk . last night eat Gordon Ramsey restaurant hotel . nice one would expect . lastly , staff property exceptional can not think . I ve stay number four season hotel ( standard excelence ) claridge rank equally term service value . prepare spend money 5 star London , stay claridge , worth every penny 
 Apr 11 2009 	 stunning . pricey worth every penny . 	 apart location beauty hotel , thing stand quality friendliness service , absolutely outstanding . nothing much trouble . every request handle effortless efficiency . food also exceptionally high standard . 
 Apr 10 2009 	 friendly palace ! 	 yes , Kate Moss bar Marc Jacobs lobby beauty hotel everyone treat friendly manner . I nonentity get loveliest , genuine welcome imaginable . the staff , year , truly concerned guest . arrival like come home long , arduous trip away . if want take someone special somewhere special go . the calm romantic venue imaginable . the bed bathroom without equal . the tall , immaculate gentleman keep close eye everything manager ; Alex , deputy , without equal . I turn 6 child tow welcome plutocrat would expect . just perfect . 
 Mar 16 2009 	 spencer tracy right ! ! ! 	 apparently , Spencer Tracy remark die , do not want go heaven- want go claridge ! ! say , could not agree more . I stay elderly Mother whilst visit London theatre trip . expensive , deny - pure unadulterated luxury , much worth expense special occasion . nothing much trouble anyone , one thought cut ( often happen high class establishment ) every member staff come contact could not enough we , never feel hand tip - make refreshing change book afternoon tea - bliss ( try ENGLISH tea ) theatre come back supper - divine ! ! breakfast follow day - can not begin tell delicious wasEverything perfect.yes , expensive , treat , special occasion - Claridges absolute must.in fact , Birthday August , book theatre ticket Claridges husband . advice ....... save , push boat stay beautiful art deco hotel pillow menu ( 12 different type pillow - kid ) 3 different type caviar in - room dining menu ! ! truly experience least lifetime 
 Mar 3 2009 	 lovely .. ..... ! 	 enter Hotel 2 minute walk Bond Street tube , welcome wonderful lobby area .... check ok - reception staff keep call housekeeping check room ready ... escort upstairs . man reception walk we briefly around foyer give we little history building take we floor old elevator London- one old fashioned one see floor rush past ! room comfortable functional honest look little bad wear ( unless Art Deco style ? ? ) - great shake & quot ; amazing & quot ; .. one big plus point though , bath like swimming pool ! deep perfect sharing ! go London meal Gordon Ramsay Claridges think would make sense stay save discomfort walk killer heel ! ! restaurant wonderful food utterly superb - well worth visit afford - cheap ..... anything . location excellent , spend couple hour walk hotel , Oxford Street towards Marble Arch , along Park Lane towards Buckingham Palace , Big Ben , Downing Street back Trafalgar Square return hotel .. truly excellently place ! like say , worth afford , think probably well place stay money ? 
 Feb 5 2009 	 Claridge 's high hotel become low hotel . 	 ? one room hotel prepare we door connect next . therefore , hear sound voice next television three day . ? air - conditioning hotel annoying sound airplane . ? water rest room hotel not flow . ? employee remainder ten people stand reception desk greet we morning . japanese ? ? three housekeeper chitchatting eat we return room . ? claim promise hotel charge . ? surely sincerity . ? hotel forget tradition british boast . ? hotel collapse Japan . ? want never stay hotel . likely stay hotel american style stay London . 
 Feb 5 2009 	 Excellent Hotel Incredilbe Staff 	 arrive doorman promptly assist we luggage . ask name last deal . check breeze , upgrade fantastic two room suite decorate perfectly . room clean say pillow bed comfortable ' ve sleep . entire staff incredibly helpful booking show , dinner , car , etc . bar food hotel incredible well . treat Square Meal beer make champagne yeast ( Korbel Kru think ) . breakfast wonderful service excellent . wife need strong hair dryer room within minute . quick request heating pad extension cord . great hotel romantic getaway . truly five star service . 
 Feb 1 2009 	 simply good 	 Claridges epitomy style . try compete hotel simply need - Claridges ! book 5 night sumptious room locate first floor allow one ascend / descend grand staircase savour magnificent atmosphere recall many great history do . room suit Claridges huge bathroom beautifully appoint art deco tap fixture bath tubs large lap ! button summon valet maid butler remind status hotel service level deploy silent effortless manner . course tea bag room , one call tea within five minute tea arrive - tea bag ! flat screen tv 's , free wireless internet , complimentary champagne , crisp white sheet magnificent art deco room indulge sense make stay Claridges memorable experience . servcice perfect , concierge get dinner reservation theatre seat could secure . afternoon tea grand lobby must drink hidden bar lobby . Ramsay 's must dine . cross threshold Clardges invitation world discreet service forget style - even stay claridge must visit London . 
 Jan 28 2009 	 expect 	 sorry say disapointe ; stay 5 star hotel world alot well London . I decide push boat book two bedroom suite , room actually impressive size , find fixture fitting somewhat date shabby £ 1400 per night plus 7 % service charge feel quite angry . in addition staff complete personality bypass ; treat much well much less hotel . we decide try Gordon Ramseys service exellent ; food expect , ex pat live Belgium , find 20 restaurant equal Ramseys within mile home . to sum everthing basically rate , drastically price hotel . Marriott County Hall everthing Claridges term staff service.i booking . 
 Jan 27 2009 	 Excellent Night 	 girlfriend stay Claridges Friday go ( 23rd ) Celebration 30th Birthday 1st year together , treat . think blonde expect Travelodge , pull outside Claridges mouth agape . welcome polite courteous Staff , also wonderful check marble flooring , open fireplace flame blaze , sweeping staircase lead Grand piano ..... want impress achieve within first 20 second ! ! receptionist inform special occasion , upgrade King Deluxe room Claridges suite extra cost , welcome indeed . upon enter Suite overwhelmed ( though try show ) , blonde amazed , spacious , clean , majestic , impress ! ! ask bell boy pot tea bring ( Suite rather oddly not hot drink make facility ) obviously lose translation , upon call room service , sumptuous salver contain huge pot english tea , milk , sugar , cup brownie arrive within 5 minute . return dinner reservation head Bar , happily while away hour 3 am sip glorious gin cocktail wine comfortable sofas Reception ( light ) watch guest meand . morning breakfast deliver room bang 9 am request , set 's splendour , everything except black pudding forget , soon bring ..... delicious ! return enormous snug bed ever pleasure sleep couple hour unfortunate time come leave . one bad point wait age Reception book due adequate Staff , annoy little consider high standard receive everywhere else , good money ever spend . plenty brownie point blonde well ! ! 
 Jan 9 2009 	 Wedding Night Venue 	 spend wedding night Claridges 23 December 08 . be always dream mine stay Claridges , visit tea dinner Gordon Ramsey 's restaurant several occasion . opinion , be beautiful hotel London . we defer honeymoon till Feb 09 due kid / Xmas big day decide spend night luxury - certainly . room lovely , particularly original art deco feature , spacious elegant big comfortable bed . exactly need exhaustion day . send piece lingerie press dressing go supper frankly surprised see have charge £ 12.50 service . literally silk camisole could pressed iron walk wardrobe area . little point feel excessive consider clean involve . main gripe not get bed 0200 complete room breakfast request 0900 delivery morning . 0700 phone rang - breakfast serve gaahh ? ! misread writing meant rob two hour much need rest kid five , will appreciate gall ! seem strange wake couple clearly stay wedding night early breakfast , could check would doubt handwriting . but otherwise truly lovely experience much befit one 's first night marry couple . enjoy 
 Jan 8 2009 	 London 's good 	 Claridges firm favourite stay London . stay times time room service excellent . the hotel stunning whist thoroughly modernise ' modern ' hotel , retain many original fixture fitting . cut edge look Claridges may . , however , fan glamarous era travel want glimpse past hotel delight . each time stayed upgrade last occassion give Mayfair suite . room beautiful good bathroom London mile . say quite different time would ask move not like allocate room . breakfast great treat . Dinner Gordon Ramsay 's restaurant good although book well advance . many amazing restaurant London can not get table concierge helpful arrange dinner . downside ? like reviewer error bill check proper look pay bill . 
 Dec 19 2008 	 Quirky - needs sharpen act 	 one expect lot hotel reputation . unfortunately , seem trading reputation . say outset exception reception staff , staff could friendly helpful - lift operator ( yes , still work ) absolute gem . , thing not good . book Deluxe King week advance , order champagne , chocolate flower room check official time , dinner book Gordon Ramsay 's Maze ( Gordon Ramsay hotel book month ago ) . arrival , state time , find porter excellent receptionist brusque , almost rude demand wife 's name - ? no - one ever ask , could see reason request . show room , immediately notice none request item place . tell would arrive later , help we along would send two glass champagne . never arrive . end flower turn two hour , follow sharp phone call - reception make excuse - champagne chocolate arrive even later . fruit tray consist small bunch grape , single tangerine , solitary , bruise apple . good start . , give hotel due , remove charge late item . room large airy , original Art Deco style , well equip main , although tv picture quality rather poor . Turndown service nicely do . the next morning go breakfast . queue table ( queue ? 5 star hotel ? ) , give table overlook aforementioned queue , . table also subject freeze blast cold air front door . although ask different tea , one pot turn we share . we room service twice , excellent . - well . we run toilet paper - spare - rang housekeeping none come . odd . one day flannel disappear bathroom , reappear next . although hair dryer supply , power point beside mirror . end improvise chair wardrobe door ( see picture ! ) . suppose traditional clientele maid stuff , rest use adopt Camilla look . the bed , impressive , two single push together sag badly n middle , keep roll . final night , find sound insulation room non - existent . gentleman next door come 0300 start party . hear every detail paper thin isolating door finally complain reception 0400 . music stop conversation still keep we awake another hour . complain check receptionist little interest problem . all curious experience . hotel reflect standard early age , seek kind experience , despite inconsistent service level , may good choice . want value lot money , look elsewhere . ' ve got tell taxi driver & quot ; Claridge 's , please & quot ; - certain buzz - realise offer little beyond name , traveller expectation modern faciltiie predictable service would well elsewhere . I also find amazing guest get priority signature restaurant . fortunately Maze yard away , , least , still need advance booking . 
 Dec 11 2008 	 beautiful good expect 	 Claridges never short custom status . status entice we book night go Paris wedding anniversary . longing stay Claridges time gaze beautiful staircase every time pass lobby meet friend drink dinner . whilst many positive aspect stay - nice well appoint room art deco furniture , excellent bathroom look original 1920 's porcelain , comfy bed , turndown ample space - find half eat chocolate bar mini bar arrive room less positive . of course oversight happen anywhere hotel busy Claridges perhaps surprising . however sincerely doubt Jolie - Pitts arrive suite ( stay previous week ) would find anything sort ! go charge upwards ot £ 300 night need make sure mini bar check servicing room . report instance apologetic ( slightly insincere ) receptionist way shopping , yet follow later replacement forthcoming . our room make request . ask non allergenic pillow relax bath dinner , housekeeping arrive last minute change room allocate pillow non allergenic . thankfully husband able close bathroom door deal . alone would irritation . breakfast include room rate - fine stage make clear . perhaps include room rate . whilst decent breakfast , service slow side pay around £ 40 privilege . know have opt pain au chocolat St Pancras way Eurostar . in summary , gorgeous hotel ' m glad stay , would return ? probably . would rather gaze staircase lobby imagine world luxury top . dream reality not quite match . would recommend Claridges ( London institution ) friend would tell look ! 
 Nov 15 2008 	 Timeless Style 	 spend long weekend London return Claridge 's third time . we love whole : place , service , flower arrangement , silver sugar tong nicely lie sugar box breakfast . detail everything sure know care they . step inside take back time wildeian era beauty style life . go , pamper forget leave behind . easy check , hard check ! ! good food , great service . only mishap : bathrobe dirty ; put back hanger every morning sometimes ' forget ' put fresh one new guest arrive . careful , really Claridge 's ! 
