great 	 small hotel clean , roomy , well maintain , good staff free breakfast . can not beat price NYC . Chinatown / Little Italy . 
 great value hotel new york 	 stay bowery hanbee thanksgiving , hotel lovely , room large modern , hotel locate close little Italy chinatown great dining , short walk get subway ( green line ) find great getting sight , hotel provide self service breakfast enough get start morning , area hotel locate seem bit dodge problem . really enjoy stay value hotel toward standard hotel price rangeis unbeliveable stay . 
 Sep 27 2009 	 great option NYC first visit 	 despite room locate lobby floor ( 2nd ) , not problem noise inside hotel outside ( ok , room look directly top small building ) , like TA member report . good option , want pay good price good modern room . chinatown not definetely problem we , really funny interesting blend local feel area pretty safe , even late hour night . hotel next Mulberry St ( Little Italy ) San Gennaro Fest , street quite busy full cop . subway station nearby , not use , walk everywhere ( mean , everywhere ) .The room not big , careful size luggage , comfortable , clean modern , big LCD television . bathroom good size . use internet wi - fi free staff quite nice good knowledge surronde area . the breakfast include price , basic continental ( bread , bagel , muffin , tea , milk , coffee , juice , waffle ) , enough we nedd . once outside , ready explore NYC , reach Broadway 5 min , well busy Canal St. if not mind stay Chinatown want good place relax still save $ spend city , good choice . 
 Sep 25 2009 	 good vibrant location 	 hotel right heart Little Italy China Town . noisy part fun New York - city never sleep ' . never far away anything three subway station within walking distance get great location city . staff always ready help anything recommendation restaurant one night spot . room third floor corner hotel little niggle ( personal thing ) quite noisy night . secure room high floor reduce . partner snore make good use ear plug ! ! Hint hotel : triple glaze check window seal would help . great watch bustle surround area window . everyone go business selling ware other look somewhere eat shop . great place eat breakfast , not want partake free continental one , Landmark . take leave Hotel walk five minute opposite road . great breakfast fraction cost go town be hot freshly cooked . great Chinese go Nam Son vietnamese restaurant . wow ! great menu food fantastic . take right hotel cross Bowery , carry yard Nam Son right . well worth visit . great place stay would definitely stay . 
 Sep 23 2009 	 excellent property . 	 stay 5 night end August . hotel fairly new everything good shape . price great get ( usd $ 150 / night ) . stay 709 , face south , clean comfortable . street noise issue noise hallway ( guy kick vend machine 2 am ) annoying . location super convenient . be sandwich within block Chinatown , LES Little Italy quick walk Soho , East , West Greenwich Villages . 
 Sep 19 2009 	 nice enough noisy 	 Based Tripadvisor review say low floor noisy , month advance request room upper floor . arrive , give room bottom floor tell room upper floor people stay long , even though stay 5 night . receptionist offer ear plugs ! suspect keep bottom floor Travelzoo special rate 4 night . bottom floor , actually second floor , noisy traffic Bowery . truck even shake hotel . design flaw room , frosted window wall separate bathroom bedroom , mean light bathroom window light bedroom dawn . mean sleep poorly . room nice enough , large , clean , new . hotel block subway , convenient . continental breakfast unimpressive . hotel good deal Travelzoo special rate , would not stay regular rate . 
 Sep 15 2009 	 end result leave bitter taste 	 first 3 night 2 week holiday here.been city many time . location good . last day pack bag leave room , ready grab get back . get delay morning get back 3 . have not check book leave day bag ready room . try charge 300 dollar extra night . ( even though book night 195 . manager would not come speak me.just speak phone receptionist . never arrogant attitude place I ve stay around world . impression leave . fume . get girl reception reduce 100 dollar half hour argument . base service would stay clear place . 
 Sep 11 2009 	 definitely back ! 	 husband visit NYC first time July 2009 . look " deal " come hotel order save money since figure would spend much time anyway . able book 4 night travelzoo special rate $ 115 / night . trip approach serious doubt location previous review state centrally locate great first time tourist . agonized decision even check - in hotel , however back . observation information wish new stress decision.1 - this hotel CLOSE China Town . China Town proper approx two block away Little Italy . scare first , really great . love hustle bustle around hotel , foot / back message location close hotel great long day walk city . ferrara ' Bakery perfect late night espresso gelato ! ! 2 - Don ' afraid take subway airport hotel . fly JFK take Air Tran ACE line wachington/4th station transfer BD line downtown two stop Grand Street Station . station 1 block hotel ! 3 - the Spring Street Canal Street Stations 4 - 5 block hotel provide direct access BD C lines4 - there great shop restaurant Spring Street spend quite bit time INEXPENSIVE shop Broadway Soho – within walk distance hotel.5 - we stay 9th floor hear lick traffic noise.6 - the room small bring ton luggage , however small posting make believe . one large suitcase , carry one roll suitcase two backpack climb self . 7 - the continental breakfast include bagel , muffin , cereal , hard boil egg – fruit , enough get we started.8 - the staff nice helpful9 - we never feel unsafe travel hotel hour day night include subway . 
 Sep 8 2009 	 fantastic new hotel close everything ! 	 girlfriend stay 4 night Labour Day weekend . choose hotel base fact Best Western 's able use Air Miles gift card . luckily , hotel turn wonderful little gem lower Manhattan . the hotel clean , new , simple stylish . room good size consider 's Manhattan . read another review say bed comfortable reviewer ever sleep hotel 's true ! bed incredibly comfortable . be nice flat screen tv wall , desk , chair room safe large enough fit 15 & quot ; laptop room spare . bathroom also clean . we not find hotel noisy 8th floor . also not notice noise within hotel either . the WiFi tricky use iPhone bedroom easy use lobby . small business centre 2 computer printer . internet computer quick easy use . complaint hard get computer hotel busy always line use computer . need anything time sensitive , go early bring computer . the complimentary breakfast spread great well . 's muffin , bagel , toast , fruit , waffle , hard boil egg , coffee juice . finally , hotel close lot great neighbourhood . chinatown doorstep , little Italy couple block west , Canal St couple block sout , SoHo 5 minute walk north west Lower East Side block east . Famous New York institution like Katz 's Deli , Russ & amp ; Daughters Lombardi 's within 5 - 10 minute walk well . 4 subway station near hotel , anywhere 2 10 minute walk away . overall , 's fantastic hotel would highly recommend hotel anybody . 
 Aug 31 2009 	 sleek modern surprisingly comfortable great location . 	 hotel fantastic . modern , clean , well - appoint room comfy sleek time . wish apartment look great . treat stay even well roll bed Chinatown morning -- get coffee Roasting Plant Orchard , pick pork bun one local chinese bakery , get fruit street vendor , head back hotel . love hotel much hurry leave . front desk staff even let we check hour late charge . 
 Aug 30 2009 	 great location nice room . impressed . 	 wife stay hotel recently honeymoon . room bit small standard NYC . room still fairly new , clean modern fitting . location wise , hotel close everything short walk / cab / train ride away . breakfast area bit crowd peak time far complimentary breakfast go , fine . complmentary wireless bit patchy able hang onto signal time get job do . would definitely recommend hotel would stay . 
 Aug 21 2009 	 great value hotel great location 	 son stay July first trip NY . book ' double double ' could double bed . hotel modern clean staff really friendly helpful . complaint would wall seem transmit noise clearly quite bit noise guest slam room door hour . the room big enough without massive bed comfortable ever hotel . real high point though location . walk front door edge Chinatown colour activity , surround Chinese , Thai , Vietnamese etc . restaurant . hundred metre Grand St. Little Italy . area feel safe wonder around early hour without ever feel threatened way . be also far walk Brooklyn Bridge late one night . less 10 minute away Canal St. ( good quality ) fake also one large subway station great connection rest city . I would highly recommend . 
 Aug 16 2009 	 good value - clean - modern big noise issue Floor 2 	 stay three night wife family . room clean modern . flat screen tv good . bed comfortable . one room ( # 210 ) two double hardly space one bed wardrobe desk / chair ( see photo ) . move bed get in - room safe ! daughter report WiFi slow . one work internet computer reception area , guest use . say , good value , clean modern facility , close subway . big issue - give hotel 3 star - noise . two room Floor 2 - locate near reception breakfast room . reception desk phone ' warble ' loudly enough hear room . much bad though , two waffle maker breakfast area make penetrate beep noise loud alarm clock ! sound amusing , really not . complain hotel management tell nothing could do , even though accept noise loud . bottom line : want sleep beyond 7 am ( first waffle make ) , refuse ROOM floor 2 . floor 3 would issue . yes , would recommend hotel - not take room Floor 2 , unless early riser ! 
 Aug 11 2009 	 Nice Hotel Clean ! 	 stay two night last weekend love . got couple hour check - in start , room ready let we check . room small , clean bathroom spotless ! free breakfast ok , mostly cereal toast . free internet access allow we check tour head . staff pleasant friendly . would definitely stay . 
 Aug 11 2009 	 Love place - the staff fabulous . 	 hotel great value money . absolutely love . location chinatown block subway . staff , especially night receptionist ( think 's name Stanley ) extremely friendly . clean , inexpensive hotel . 
 Jul 31 2009 	 Excellent 	 stay two night , room big enough 4 we , clean secure . guest can not go roam different floor need key card make elevator work . free internet , free continental breakfast room safe big enough laptop . get around simple enough via subway station near . good thing say hotel firendly helpful hotel staff . negative early check ( 11:00 ) parking . would go back recommend . 
 Jul 27 2009 	 Perfect place stay mind stay Chinatown 	 spend two night hotel . first trip New York therefore new much get around city . check around 6 pm Wednesday . front desk person work time extremely helpful . without would able enjoy city much . explain we everything help able see main attraction within one day . the room sort small 99 usd ( special promotion September ) , modern , clean comfortable . flatscreen tv , coffeemaker walk shower , nice . hotel small fitness center top floor . breakfast serve next front desk . good continental breakfast plenty food . also like little lounge area next reception . go read book morning check email . two , free internet station . location great . , without help front desk person would lose lucky . walk three block towards Brodway towards Midtown take we half hour . really recommend everyone walk New York . would never see small detail take cab . thing nice location . chinatown bit dirty affect hotel . little Italy block away great experience walk two different world lie close together . I would stay hotel heartbeat . already plane return back amazing city definately stay place get good rate . 
 Jul 25 2009 	 good value Big Apple 	 ' ve stay 10 different hotel NYC 10 year . hotel far good value . place clean reasonable 's space location . plus free breakfast generous . ' m sure stay hotel next stay NYC well . but recommend request quieter room , since room face Bowery , be pretty noisy . 
 Jul 24 2009 	 great location nice hotel money will never go back . 	 husband travel New York City time year weekend getaway decide stay Best Western Bowery never stay Chinatown Lower East Side . hotel staff welcome professional ; room sizeable New York standard well equipped ; standard cleanliness top notch . location great- short block subway withe easy walk distance Soho , Nolita Little Italy , middle Chinatown interesting . traffic noise terrible neither we get good night 's sleep three night stay . hotel corner Grand St. Bowery , Bowery major trucking route city . truck stop light Bowery Grand roar back action . goes night lie watch dawn break , trash truck arrive , many backing , judge noise . maybe get room back side building face Bowery Grand would happy , maybe high third floor , wher stay . everything else saitisfactory will not go back . 
 Jul 19 2009 	 great little hotel downtown would stay 	 stay 2 night suite 9 night standard room . location perfect we want downtown experience , close Little Italy , SoHo subway station . staff , especially Hugo , brilliant always friendly . complimentary breakfast internet use lobby also bonus . definately stay next visit New York . Greetings South Australia ! 
 Jul 14 2009 	 say would write follow review ! 	 try keep short ' m eat dinner type . prior stay 2008 , hotel overcharge card mistake . on arrival meet General Manager offer profuse apology also room upgrade . the room excellent , original room book good value , especially Manhattan , notorious pricey , pokey room . there be b & amp ; subway line close , fancy , authentic chinese cooking ( takeaway & amp ; restaurant ) close by . good value secure . 
 Jul 2 2009 	 another great review ! ! 	 first time trip NY could not well place stay . loved hotel . get travelzoo price ( $ 119 ) think maybe hotel would reflect low price . totally opposite . everyone 's comment right . can not think anything negative . thing use put clothe dresser limit left clothe suitcase , love floor hard surface carpet . not worry step : ) winter time even heat floor bathroom -- -found turn switch leave room - when come back floor toasty , especially middle June ! ! ) hotel staff great . look Dina -- great suggestion Joe 's shanghai good ! ! give direction - its within walking . also turn we onto & quot ; Rice Riches & quot ; , thing serve rice pudding . must 25 different type . love rice pudding ask direction -- also within walk distance - kid love it - have keep go back . kid would say , & quot ; Dina , rock ! ! & quot ; get one evening see we lobby come see need anything . know leave next day going want say good - bye ! ! not get well ! ! ! thank , Dina . 
 Jul 1 2009 	 beat ? 	 stay night two child ( 9 - 14 ) late June . travel frequently hotel shopper . can not say ' ve find clean , well locate , friendly hotel money city ' ve stay , comparative scale . stay several night NYC last year much expensive hotel favourite . got great deal internet 119.00 night , shop around . read good review wonder would meet expectation . worry . staff unbelievable William front desk go way help answer question . subway stop 1.5 block away food Chinatown add bonus . Felt safe night . neighbourhood quiet night , trouble sleep either . hotel NYC . contest . thank trip advisor great advice . 
 Jun 30 2009 	 enjoy stay best western Hanbee ! 	 wife stay BW Bowery Hanbee 5 night May , 2009 NYC son 's graduation . find special rate internet . location Chinatown centrally locate respect many sight NYC . however hotel locate 2 block subway line entrance Grand St. , several block another subway line entrance Canal St. heart Chinatown . many reasonably price eatery Chinatown like chinese food . like middle hustle bustle Chinatown . Little Italy nearby find touristy restaurant price expensive compare Chinatown . our room clean , well - maintain modern flat - panel tv mount wall , though find tad small lay two 26 inch suitcase , bring help transport son 's clothe back home . room small wardrobe closet hanger dresser keep clothe suitcase . re - arrange furniture find unobstrusive location one suitcase . the hotel entrance locate near southeast corner Bowery Grand St. , 30 yard south corner occupy bank . easy miss . enter double glass door ground floor , walk 15 foot pass doorman / security person bank two elevator go lobby hotel desk second floor . elevator transport floor grind second floor , electronic room card key must insert slot . we find entire hotel staff courteous service - orient . example second night considerable noise commotion come across hall 8th floor room 3 . call front desk clerk complain loud noise doorman / security person send quiet intoxicated guest . the hotel offer simple complimentary breakfast every morning small dining area next front desk . recommend guest delay go breakfast sometimes crowded service end . the hotel small fitness center top floor , use . 
 Jun 28 2009 	 GREAT Place 	 see good review , high hope . disappointed . great place stay . clean , close several subway line , dozen different place eat close hotel moderately price . room nothing fancy , breakfast simple , price location , can not ask . friendly staff glad answer question . miss do not stay . 
 Jun 27 2009 	 Good Value Money - would stay 	 ideally situate next Chinatown Little Italy . hotel clean good value money . complaint would recommend hotel look cheap nice hotel NY ! 
 Jun 22 2009 	 another great review 	 ' m use think ( right wrong ) Best Western 's horrible property prefer Westin 's , etc . well case boy wrong . hotel GREAT find . great value , good location . clean , upscale hotel . need well parking solution , concern . BEST VALUE Manhattan . 
 Jun 10 2009 	 Best Western Bowery Hanbee Hotel : excellent property ; close everything ! 	 4 adult 2 - yr old grandson arrive , check , family receive beautiful ' boutique ' room , complete laminate - wood floor , flat - panel tv , usual amenity . property , locate : & lt ; http : //book.bestwestern.com / bestwestern / productInfo.do ? propertyCode=33133 & gt ; , lie heart low Manhattan : Canal Street shopping , subway couple block walk ; block east Little Italy , etc . would Loved couple extra day spend locale , ther sooo much . enjoy ! 
 Jun 7 2009 	 Good Location Great Value 	 travel New York frequently find amazing price hotel on - line free internet access continental breakfast ! location excellent - middle Chinatown , block away Little Italy , close proximity subway . staff helpful efficient . bed comfortable room well do flat screen tv 's , room safe , amenity . recommendation stay second floor , step away registration desk , office , breakfast area . loud , especially morning people begin breakfast checking . 
 Jun 1 2009 	 great location great hotel 	 beautiful room . location middle China Town block Little Italy . subway block away . Head O'Neals bar / restaurant . beautiful decor , great food Sex City film time . 
 May 26 2009 	 nice comfortable modern room 	 mom travel NYC every year . hotel perfect day shopping wander thru SoHo , Chinatown Little Italy . staff friendly room recently renovate . room show may problem guest child . small set back reception tv fuzzy , . overall good pick . 
 May 26 2009 	 Great Location - Great hotel 	 place great - not use facility 4 5 star hotel place suit perfectly . room spotlessly clean bed extremely comfortable good 5 star stay . staff really look though enjoy job helpful . location great - slap bang middle chinatown , 2 block little italy , 4 block downtown broadway shop minute either east village soho . loved ! 
 May 19 2009 	 lovely room fantastic location 	 book hotel see feature Travelzoo 's top 20 newsletter incredibly impressed . not fool name & quot ; Best Western & quot ; -- place nicer many & quot ; 4 - star & quot ; hotel ' ve stay city . room brand - new , bright cheery , bed comfortable . room ( bathroom ! ) big window let lot light . plus , get free WiFi breakfast stay . honestly , price pay ( $ 119 night ) , location size / quality room , reason stay elsewhere visit New York . two thumb ! 
 May 11 2009 	 Brilliant Hotel great location . 	 stay Best western Bowery Hanbee 5 night find whole experience brilliant . check fast friendly , room 9th floor spotlessly clean , comfortable king size bed , excellent shower en - sutie bathroom . the location good Chinatown Little Italy easy access 2 subway station . subway easy cheap , love use it . we would return hotel next time New York without doubt . 
 May 7 2009 	 lovely ! 	 stay friend 12 day like lot . clean , helpful staff , nice breakfast , good price , great location . everything need big city . 
 May 7 2009 	 great location great staff great room 	 spend four night moment arrive know onto good thing . great , friendly welcome , lot info local area / transport / breakfast arrangement map provide check . give room right near lift ( pet aversion ) ask move - problem whatsoever . location great , room snug fabulous ( bed toooo comfortable ) complimentary breakfast good . Free Wifi use two computer printer lounge area guest use . New York always people street hour security never issue we ( 2 woman ) . great find look forward stay . take tip past reviewer went Cafe Habana - cnr Elizabeth Prince Sts Soho - terrific - get to roasted corn ! 
 Apr 29 2009 	 great time NYC 	 stay 4 night hotel first trip NYC . pretty new hotel Chinatown . room spacious squeeky clean . staff friendly helpful advice , even look weather one morning . breakfast standard fare include breakfast , find great restaurant area . hotel Chinatown , couple block Little Italy . within easy walk distance subway station . trip even well nice hotel . would stay heartbeat recommend anyone . 
 Apr 27 2009 	 could not ask ! ! 	 love everything place . chinatown one favorite area , everybody meet friendly ( staff , vendor , people street ) , hotel room marvelous ( quiet , roomy , squeaky clean ) , continental breakfast perfect ( cereal , fruit , toast , hardboile egg , Minutemaid OJ ) ! ! ! hope distant future . Highy recommend like Soho , Chinatown , Little Italy , etc . 
 Apr 26 2009 	 nice Enough hotel 	 stay weekend Travelzoo $ 89 promo rate . $ 89 / night could not beat . room fairly large clean quirk . dresser put clothe - armoire ( sp ? ) could hang . bathtowel washcloth hand towel . Heat / AC control coffee maker top rearrange adjust . hardwood floor room nice touch , odd black vinyl tile bathroom floor low wall . hall underlit . we arrive Friday night find spot Centre Street could park weekend . extremely congested area drive even walk . location fine , heart chinatown short walk Little Italy , Soho , Tribeca Village . third floor Grand Street side little noisy - native NYer music ear . staff friendly . for price would stay , prefer hotel charge rate . 
 Apr 25 2009 	 Great Location good deal 	 terrific location want stay Chinatown / Little Italy . hotel small oasis chaotic downtown area . comfortable , clean room , noisy ( try get 8th 9th floor want quiet ) . breakfast pretty decent , bit chaotic table . apart - go . 
 Apr 23 2009 	 location clean safe ! 	 hotel perfect location . right border Chinatown Little Italy ! close metro station well walk distance SoHo . area safe main street . parking offsite , expensive , nyc.the room FABULOUS ! assume recently remodel . bed linen comy , stay one night unwind , relax veg front flat screen tv . bathroom superb . shower wonderful , powerful shower . plenty room bathroom . would certainly stay ! ! free breakfast , small dining area . take meal sit couch overlook street : nice way start day . the staff pleasant helpful , hotel free internet . 
 Apr 22 2009 	 Nice Clean Hotel 	 room spacious especially NYC . impressed . staff friendly , bed comfortable , important everything clean . great location Chinatown , close little Italy- plenty great food area . travel 3 boy age 7 , 10 12 . 
 Apr 17 2009 	 surpass expectation ! ! ! ! ! ! ! ! ! 	 pleasantly surprised aspect hotel - room bright airy feel homey . disappointed -got amazing deal room hgh floor 2 Queen Beds - early check in - very clean . nothing negative say stay here . will definitely return next year ! ! ! ! ! ! ! ! 
 Apr 16 2009 	 cozy stay . good enough night 's rest fill tummy start day . 	 experience : far great experience place . good rest . accessible food . : ) room : room big 2 queen size bed . since 4 , ok . besides expect New York ? good enough . get cabinet hang clothe , table lamp chair read write , sofa single pax stand lamp , small round table coffee maker top . LCD tv fix wall . amenity , good enough resting . the toilet bad . small big well . : ) get tub , toilet , pedestal sink glass top . Location Amenities : hotel locate Chinatown . bowery corner Grand . step hotel , step away chinese restaurant take pack lunch pack dinner like roast pork rice , grill pork rice , soy chicken rice , etc . food wise , problem . step , Little Italy already . pasta pizza conveniet well . fruit stand right front gate hotel fruit lover , will not problem . like : clean room . clean linen . comfy bed . Hot Cold Independent Aircon System room . coffee maker complimentary coffee condiment . Complimentary Shampoo Conditioner Soap . toothbrush toothpaste upon request . complimentary breakfast . food : bread full wheat , bagel , boil egg , coffee , juice , milk , oats , chocolate , butter , cream cheese , creamer ) complimentary use business center plus printing . free WIFI room ! ! ! : ) dislike : since place 3rd floor , road noise hear tolerable . however 3 be 4 am , garbage truck pick trash , newspaper delivery , fruit delivery , sleep bugging . maybe suggest high floor . dont know additional charge appear credit card bill . although small amount . 
 Apr 12 2009 	 great value 	 stay Best western Bowery Hanbee Hotel 231 Grand St. four night . fabulous , especially promotional price get [ -- ] . room large use NYC . per advice Trip Advisor , ask room high avoid street noise . get room 9th floor ( advise front desk room double vs king tend quieter side hotel ) . problem noise . service excellent , especially Susan front desk . everyone helpful friendly . free use internet printer especially useful printing boarding pass local direction hoptstop.com . plenty good & amp ; cheap place eat near ( within 2 block ) . 
 Apr 10 2009 	 great value family ; would stay ! 	 wife , along two teenage daughter , return 7 - day , 6 - night stay . we , hotel definitely great value ! reasonably - sized room two comfortable queen bed , bathroom ( great shower , although combination tub / shower would nice ) not cramp , flat screen TV . & quot ; & quot ; rate $ 109 / night , include breakfast -- cereal , oatmeal , bagel , toast , muffin , fruit , hard - boil egg ( seem freshly prepared morning ) , juice , decent coffee tea . nothing & quot ; special , & quot ; get we good -- fast -- start every morning ! ' ve typically stay close midtown , hotel location work well we . spend time sightseeing , shopping eating area , hotel close least two subway station , either one & quot ; minute & quot ; almost destination Manhattan -- make . ( think will ride subway much stay , would highly recommend purchase appropriate & quot ; unlimited ride & quot ; pass . ) find hotel staff pleasant , helpful accommodating . room , hotel general , clean tidy . be fairly new , nicely do , good - look . feel safe secure . part , relatively quiet -- although late one night , couple guest across hall pretty rambunctious , could hear street noise 5th floor room -- 's city , cryin ' loud . having say , couple comparatively small addition room would make stay much well : even slightly large table ; two simple , small foot - print chair instead large arm chair ; small chest drawer ( even second luggage stand ) ; couple hook wall back door jacket ; small refrigerator . also , exception one two day , ask fourth bath towel ( remember , four we ) consistently . again , feel like hotel really great value around . would absolutely stay next time travel NYC ! 
 Mar 24 2009 	 great hotel ! beautiful room clean bathrooms comfortable bed ! 	 Hotel locate 2 block Grand street subway . hotel require card access 11p.m . unauthorized guest unable enter . staff nice . importantly , room BEAUTIFUL . bed comfortable , room immaculate , bathroom look though build . potential flaw hear slight noise time time come outside . MANHATTAN ! else expect ? : ) satisfied . 
 Mar 24 2009 	 excellent valuelocation room service overall experience 	 stay dozen & quot ; inexpensive & quot ; NYC hotel one , far away , good bunch . location perfect - half block subway , heart Chinatown right near Little Italy , Soho , Lower East Side . walk distace Canal street shopping also Financial District . able walk block get Manhattan Bridge walk back across Brooklyn Bridge . room clean - hotel ~1yr old clean well maintain . bathroom nice decent size NYC . flatscreen sweet free HBO plus ( pay - per - view ) . two queen bed comfortable clean . overall value great - pay ~90 buck Travelzoo , unheard unless stay bedbug , roach infest dump share bathroom bunch stranger . place even throw breakfast ( cereal , hardboile egg , toast , muffin ) . also fitness room treadmill , elliptical , bike . - nice view NYC skyline work . one thing - service excellent . request later check give we xtra hour , give excellent suggestion dinner ( touristy joint ) , entire staff make special effort give we nice greeting whenever see they . I will back ! ! ! ! ! ! ! ! 
 Mar 20 2009 	 great value Manhatten 	 son return 3 night stay Hanbee Hotel would go back minute . would recommend hotel people who:1 . look clean , comfortable hotel within easy walk distance Chinatown , Little Italy , Lower East Side , SoHo2 . not care hotel not fancy lobby3 . not mind road noise4 . not mind hallway bit drearywe room 2 queen sized bed . find bed comfortable , room large enough maneuver around , bathroom clean ( floor even heat ! ) , nice flat screen tv wall . climate control work well . room face Grand St. could hear street traffic get use . light sleeper might problem type room . think interior room would quieter . the front desk staff friendly helpful . the complimentary breakfast not much right home . toast , bagel , muffin , cereal , hard boil egg , juice , tea , coffee . wish fruit . the location great , room clean , price right definitely stay hotel ! 
