Excellent 	 much research choose stay K & amp ; K London business sightseeing disappoint . location roughly 150 yard Earl 's Court tube station . rely heavily mass transportation trip . ExCel convention center bit trip take little hour reach South Kensington area much nice area around ExCel . also use train system number trip meet client . connection Victoria several station easy Earl 's Court tube station . it quiet . hotel block main drag . addition , get room overlooks courtyard . minimal noise city within hotel . the room small ( typical Europe ) well design . internet free ( although wifi room may need connect via cable ) .The bed comfortable bed new . the bath well design plenty light . the staff attentive . case early package arrive schedule . deal concern professionally notify we promptly arrive . learn also schedule stay sister hotel Paris phone ahead , confirm reservation ensure well care . class act ! really enjoy hotel location . wide range restaurant foot hotel . use restaurant hotel look clean active morning . I stay Hotel George . 
 Oct 15 2009 	 great location value . 	 stay one week sightseeing usual tourist place . locate near Earl 's Court tube station make get Heathrow convenient city trip quite convenient well . the room small well organize . staff friendly helpful . staff guest european feel . breakfast great . hotel get busy week progress service suffer bit . would stay . free high speed internet several computer use cost . 
 Oct 14 2009 	 Good Value London 	 stay Saturday night last October girlfriend Mum . pick reason not disappoint result . we able get three room bit cost two . offer off - street parking reasonable rate - tough find London . even though park 24 hour - since go museum mid - afternoon Sunday - charge we one day not quibble ( think pretty fair ) .The hotel around corner Earls Court Tube , make easy get Victoria Theatre ( Billy Elliot ) . room clean comfortable little cramp ( calling & quot ; suite & quot ; bit stretch ) . expect London pay top dollar . anyway not issue unless plan live extended period time . the place european feel respect furnishing resident . front desk helpful efficient breakfast buffet worth get part price room . couple bottle wine bar show Saturday service fine . I not think much well price range good quality hotel within 5 minute tube ride Victoria . 
 Oct 13 2009 	 poor price 	 excited book hotel complete let . experience bad time enter hotel . nobody offer take huge suitacase , guy reception know connect internet room extremely small . have not see hotel corridor small one KK . size bathroom comparable one local train , must say . book place 4 night check 1 night . lady extremely pleasant helpful checking understand issue . good part stay . stay hotel u stay Hilton £ 20 cheap per day . always go big brand .. learn lesson . 
 Oct 12 2009 	 great little spot reasonable price 	 spend 8 day base London Family vacation . interesting neighborhood easy access underground within walk distance Kennsington Street upscale Chelsea establishment . room comfy breakfast great . part British Airways special great deal . love garden . 
 Oct 11 2009 	 Cozy place big city 	 Hotel clean cozy . staff friendly . location convenient tube station close . 
 Oct 10 2009 	 Modern hotel great breakfast 	 husband stay London K & amp ; K long weekend . breakfast buffet great . location hotel close Earls Court station ( around corner ) . clean room , comfortable bed , pilow . many dinner / restaurant choice neighborhood give proximity train , problem . internet / computer available lobby basement level . nice friendly staff . 
 Oct 8 2009 	 wonderful hotel ! 	 wonderful little hotel London . close tube station , travel within city quite easy , although prefer walk everywhere , might good location . room small , horribly , quite clean bright . bathroom not large , also quite nice modern . look London budget , still nice amenity , really appreciate free internet free buffet breakfast ( sure breakfast always include , deal book ) . breakfast really fantastic , full english breakfast , include fruit juice . question would stay next trip London . 
 Oct 7 2009 	 top - notch 	 K & amp ; K Hotel George , everything exterior façade bedroom furnishing bathroom fixture gleam , well polished , impeccably maintain – scuff mark stain sight . service similarly polished professional – check - in , check - out , luggage storage fast pleasant , whenever turn room key reception prior leave hotel , meet smile thank - you . garden tranquil lovely , buffet breakfast bountiful delicious , room utterly clean comfortable – single thing could find fault top - caliber hotel . reserve single room , upgrade twin room . request , give upper - floor room face garden , lovely view street noise . also ' bother noise neighboring room hallway . room quite spacious , excellent amenity include flat - screen tv , fast reliable Ethernet connection , large safe , mini - fridge , tea / coffee maker , wonderfully comfortable bed . bathroom tiny , everything function extremely well spic span . take Tube Heathrow hotel easy , since Earl ' court station step - free access to / from Piccadilly Line . stay hotel two day , enjoy area west London time . long stay , ' find stay hotel bit limiting , enjoy spend time Islington , City East end , ' bit hike place Earl ' Court . 
 Oct 6 2009 	 recommend it- 's highly overrated Tripadvisor 	 stay week hotel read wonderfull review site . agree many thing think experience also depend roomtype . would like add comment base stay standard double room : - room small , bathroom tiny- double bed small well- 1 chair desk , place ( space ) sit except bed- iron room- 4 teabag finish replace . forth day ask reception refill . laundry bag shoepolish.- staff generally nice . blond lady frontdesk professional sneer young colleague front customers- ask 3 time open door sauna . tell access roomkey , true . could tell first place.- breakfast good manage efficiently- another + stay business internet - access room- room gardenside quiet many restaurant / supermarket around corner . metro also 2 minute walk - the corridor door 4th floor stay look worn . not check floor , look much old might expect look website . stay hotel area much well value money . example NH Hilton . price large room well equip . recommend hotel picky stay long . clean ok , not expect 160 Euro night ? 
 Oct 6 2009 	 Starting Place Hotel 	 great central location near Earls Court Station , walk distance Harrods . small room comfortable great breakfast . 
 Oct 5 2009 	 high quality hotel London charm 	 husband stay brief honeymoon London . spend age Trip Advisor search high quality hotel rate highly . little disappointed room impersonal , corporate charm . every way hotel good - room spacious , bed huge , shower great breakfast lovely , although run hot food 10.30 last day . staff friendly left small bottle champagne flower petal bed day arrive . minute away tube station important we . would stay would recommend other , would recommend honeymoon romantic getaway . 
 oct 4 2009 	 Excellent find hotel ! 	 stay hotel two occasion return . hotel clean renovate . location also good Earls Court tube station within approximately 4 minute walking distance . breakfast good , Buffet style . gem hotel worth visit . 
 Sep 22 2009 	 Superb Location Service 	 ' m always nervous booking hotel Earls Court tend lot different reality advertise website . K & amp ; K hotel . moment pick phone speak hotel moment leave staff could well . the hotel great location around 5 minute earl Court Tube . spacious lobby / bar area morning coffee water available complimentary basis . also free WiFi must day age . however vacation not laptop Blackberry five terminal use . the breakfast buffet well stock suffice need . smoker small terrace ample garden back tug weed non smoker garden patio provide wonderful rest place noise London . we triple room well price . room comfortable , touch small side clean decent size bathroom . overall , place find ! clean , good value good location . Book ! 
 Sep 22 2009 	 tranquil keep pinch remind we London 	 partner stay long weekend September , birthday treat , pay much normally would stay somewhere bit special definately dissappointe . the room quite spacious french door lead onto lovely garden , unfortunately stay could access garden room repair carry wrought iron step . the bathroom quite small walk shower fabulous . the breakfast include room rate great , much choice , include champagne , do not eat 10.00 morning busy early , still well stocked . we extremely lucky weather late september take full advantage sit lovely garden day , peaceful add bonus definately enhance stay here . the location hotel great , close earl court station 6 stop picadilly line central london , quiet residential street . would definately stay . 
 Sep 19 2009 	 highly recommend 	 husband & amp ; stay one delightful night K+K George Hotel . staff helpful . location great , short walk Earls Court Tube Station . room comfortable overlook garden , cleanliness first class . well stock buffet breakfast , hotel seem provide . would definately stay . 
 Sep 17 2009 	 can not recommend 	 Good• Location – close useful tube stop great one ( Earl ' Court ) elevator line ( Circle , District , Picadilly ) . numerous convenience store nearby.• Lobby computer almost always free , 4 1 floor , printer . plus Microsoft software loaded.• Shower roomy enough , water plentiful , Grohe fixture nice.• Room , hotel overall , exterior area quiet.• charge incoming fax . reasonably price call room.• good blackberry reception.• room safe good size work well easily.• tv nice ( large ) flat screen numerous channel include french , spanish , italian , german , japanese , great selection . turn start take eternity.• Elevators small quick.• Shoe horn strong , larger normal . Not• Buffet breakfast look great picture ' . Bacon undercooke salty . egg runny . fruit selection limit . bread ordinary ( sliced bread package ) sweet . plus ' 14 Pounds per person per day … • Housekeeping . ' vacuum effectively stay ( 9 day ) . never sure towel glass replace clean one . ' always restock coffee / tea set consumable . ' replace use shoe wipe leave desk 3 days.• tiny tiny room . executive King barely enough room turn around in.• Slow arrival hot water sink . ' hard imagine go shave morning , take 4 - 5 minute ( exaggeration ) get hot water sink.• poor lighting room . Desk lamp joke working.• much place sit room . bed , desk chair , one chair small table . sofa . bed low ' serve another seat surface.• Closet / drawer space efficiently organize limited.• Reception personnel quite mechanical . overall not measure comparable stay UK continent . rating . 
 Sep 1 2009 	 Terrific 	 5 night thoroughly enjoy stay ! ! ! location FABULOUS . be around corner Earl 's Court tube station extremely residential side street ( scary deserted -- loud busy ) grocery store eatery galore . perfect check - in room ready get 11 am . witness other lucky , hotel oversell . manager deal couple 1 night need go another hotel , welcome breakfast make transition painless . happy way handle situation .... beware , doorman accessible doorway . need go several step get front door . as far room go : sleep three we comfortable . 2 adult 1 - 7 yr old child . bathroom really modern small way 2 we could time would one shower sink . make work though . the bed comfortable duvet snugly .... breakfast tolerable . cereal , croissant , egg sausage . need repeatedly ask coffee refill , otherwise decently stock go 10am . the internet free . issue rude Spaniard kid insist sit hour playing game wait free computer . parental supervision management busy . feel address hotel .... make sure get room overlook beautiful garden . terrific view . stay great will refer hotel lot client . wish could say Paris leg trip .... happy travel ! ! ! 
 Aug 26 2009 	 continue wonderful 	 staying number year visit London continue choice - can not beat price , location , service . per comment room spotless , well appoint ( fridge , safe , open window ) , free internet room , terrific breakfast , beautiful large garden ( real treat London ) bring coffee bottle wine read enjoy outdoors . Close Earls Court tube ( 3 minute ) , good restaurant ( try Little French Restaurant - 5 min walk ) , safe area , grocery store , wine store , bank , laundromat , pharmacy , within 5 min walk . ask room face garden quiet space - construction across street ongoing - annoying sleeping . 
 Aug 23 2009 	 Fabulous Boutique Hotel everything ! Location Service Value champagne breakfast ! ! 	 search London good value , good location ( close Earl 's Court Subway station ) , good hotel . K & amp ; K George absolute hidden gem . everything savvy traveller could want . room modern , clean , well appoint , price one good value ever . staff superb , champagne , full English Breakfast Buffet world ! flight attendant stay hundred hotel pick City London . hotel locate beautiful neighborhood must eat fabulous restaurant find Europe : Benito Bistro ! italian treasure restaurant couple block away hotel enjoy one good meal anywhere ! owner Benito son family treat rare experience - fabulous food , superb service , unbelievable value , nice family meet ! enjoy ! 
 Aug 22 2009 	 clean nice location 	 find hotel clean . breakfast similar buffet , well stock something everyone . location great . hotel modern ( wife would prefer something little old world feel ) . overall , pleasant stay . also appreciate free internet lounge . 
 Aug 21 2009 	 overall good ... 	 stay K+K London past week . party four ( husband , wife two kid ( 11 18 ) ) . base review , agree hotel location good . South Ken relatively quiet residential area safe . hotel clean staff responsive . Access Tube excellent ( two minute walk ) . bkfast buffet also great way start day . k+k well although reason scamble egg do strange way kind sauce add . overall , good hotel ( three star ) .Now mixed part . room small . know trouble . however , room could hear neighbor floor walk floor night even , room next we could hear thumping wall next bed head board . surmize thump relate amorous neighbor . first night could live ... second third fun . the k+k essentially gut - rehabbe series townhouse convert hotel . nice exterior , old bone builide use process conversion hotel living space , work well . good value money , four star . staff try hard efficeient , outside London real local knowledge . 
 Aug 9 2009 	 stay anywhere else ? 	 child stay K & amp ; K Hotel George seven night . fussy stay research hotel month decide K & amp ; K Hotel George . room spotless , bed extremely comfortable . stay triple room adequate size bathrooom . safe room mini fridge use anything need keep cold . remove item fridge set aside . clerk desk say fine . replace item later . internet use free ! full english breakfast include price room . fantastic ! something everyone- fresh dry fruit , bacon , cold cut , salmon , pastry , egg , cereal , juice , bread , mushroom , bean , granola , yogurt , tea , coffee champagne ! even soy milk daughter . breakfast enough last us dinner . morning selection tea lobby bowl fresh apple reception desk guest sample throughout day . multilingual staff extremely helpful polite . go way service . get hotel airport take Picadilly Line straight Earl 's Court Station . hotel two minute walk tube station . simply take Earl 's Court Road exit , turn leave station , walk corner take first left turn ( Trebovir Street ) , take next right Templeton Street . hotel leave . leave airport follow sign underground purchase Oyster pass length stay . purchase three pass 28.50 pound , travel week without worry . pass purchase cover zone 1 & amp ; 2 encompass tourist sight . use Oyster Pass tube , bus overland train unlimited trip throughout day ! remember tell clerk include return fare tube stay seven day . 3 pound deposit include price Oyster pass refunded airport befroe leave . directly across street tube station postoffice exchange money without pay commission . japanese indian restaurant ( Masala ) also across tube staion leave . Zizzi 's italian restaurant side tube staion food ok , vary entree preparation menu . 's serve state ! find staff bit rude . however , right tube station side post office Strada restaurant good food . serve filter water bottle free well pay water Zizzi 's . Strada quite ten minute walk form hotel worth . would definately stay hotel . 
 Aug 8 2009 	 really nice hotel 	 room size pretty good . room three size quite adequate . hotel extremely close subway add convenience hotel . hotel clean breakfast really good ! matter fact end catch tour another hotel ( Marriott ) take look breakfast meager offer hotel . bathroom okay ..... problem door shower , shower large water constantly get floor . slightly negative thing say hotel . staff courteous knowlegible . hotel extremly clean offer free internet usage . would absolutely stay . oh really wonderful thing hotel could open window let fresh air versus rely air conditioning . quite restaurant around hotel could get various type food good . eat breakfast hotel state eali good selection food . 
 Aug 6 2009 	 dissapointe 	 clean , quiet , comfortable hotel . bedroom small , bathroom luxurious bath shower . breakfast ok scramble egg cold every morning , good selection fruit . gym joke - tiny fitness room 3 piece equipment .. 2 internet point break guest remark broken week fix . room service staff helpful friendly . reception staff stern . 
 Aug 5 2009 	 Lovely Hotel Little Gem 	 London hotel comparison know like like hotel . lovely little gem , much offer . first location , location , location . Loved Earl 's Court neighborhood , feel like come home busy day . tube close hotel , many shop restaurant close hotel tube . loved deli directly across Earl 's Court Underground Station . hotel clean . one personal & quot ; must & quot ; hotel . staff nice helpful . breakfast buffet nice , enjoy morning head city . lovely garden behind breakfast area . room small nice find suitable enjoyable sleeping . want large luxury suite , stay . want great place come back full day sightseeing , go wrong hotel . 
 Jul 30 2009 	 would highly recommend hotel . 	 stay k+k week , would highly recommend hotel . hotel spotless ; five computer free wireless access ; location convenient . importantly , staff wonderful . able provide we ton information ; go way assist book various tour ; everyone nice friendly . breakfast something everyone fill . Kensington really within walk distance major sight , tube stop , extremely convenient , two block away . really enjoy stay would go back time ! 
 Jul 24 2009 	 Convenient almost faultless 	 bad part experience K+K St. George , unfortunately , check - in process . desk clerk , name Jens , describe officious . base Trip Advisor review , politely ask courtyard view room available . informed could check , highly unlikely , would entail great deal trouble part . 30 - second computer check , basically laugh , say courtyard view room offer would require substantial upgrade part . honestly not pushy way - asking politely . make feel insignificant line even inquire . bad start . ask Wi Fi available room - iPhone Wi Fi compatibility . answer - computer hookup room - helpful case . problem . however , get room ( 1st floor - front - on view construction - could not help feel intentional desk clerk 's part - check Wi Fi find hotel , fact , service , require password . call front desk , unluckily , get Jens . inquire Wi Fi , tell , & quot ; oh , Wi Fi - room get it . & quot ; ' m clear could not honest make initial inquiry . another black mark . other inhospitable Jens , stay k+k quite nice . room large ( european standard ) , clean , invite . buffet breakfast major plus well . hotel boast business center five computer - well one computer upstairs four downstair - three actually work one point two . always line use computer . minor frustration . Earl 's Court Tube stop easy four - minute walk plenty thing walk area well - include Kensington Gardens . 's also convenient Heathrow - direct shot Piccadilly Line . overall , hotel positive experience would recommend . 
 Jul 21 2009 	 excellent hotel superb location simply good . 	 husband stay superb hotel two night July 2009.it centrally locate minute fron Earlscourt Tube Station travel around city convenient . there number nice restaurant pub nearby . check service excellent fast friendly . reception staff always friendly helpful direction etc . our room stylish , airconditione fully equip . Breakfast delicious buffet really wide choice quality food enjoy lie serve untill 11.30am ! everyone a - list pride take care gueststhere beautifully landscape garden back hotel lovely place relax unwind busy day sightseeing , unexpected gem ! hotel bar perfect pre / after dinner drink . plenty exercise sightseeing visit gym /saunas hotel . there number computer full internet access printer must budget airline passenger ! ! lovely find hotel . look forward next trip London good experience ! will not stay anywhere else . 
 Jul 20 2009 	 modern convenient great breakfast 	 locate within block Earl 's Court Tube station within block various pub , shop , restaurant convenience store . complimentary breakfast buffet BEST ever staff available helpful . bit pricy side . 
 Jul 20 2009 	 Oasis centre London 	 ' ve stay several occasion various family celebration . 's lovely hotel , near Earl 's Court tube station easy reach anywhere centre London . garden chair table little oasis peaceful . hotel seem get busy buffet breakfast crowd people select scrumptious selection . breakfast real highlight much quality choice food drink . little bar cozy relaxing . 
 Jul 19 2009 	 would definitely stay 	 hotel couple minute walk Earls Court tube station . stay area 's handy heathrow centre london . able check 2 hour early . staff really friendly helpful , nothing much trouble . nice garden back . breakfast everything could want , include champagne . side think bed little hard ask extra pillow ( arrive couple minute ) . apart complaint whatsoever . would stay get good price Hotel.com 
 Jul 7 2009 	 wonderful location 	 2 day London location able see everything want see . easy access via Earls Court Tube Station Heathrow Airport . long day sightseeing marvellous come back perfectly cool room . staff friendly helpful . comfortable lobby lovely garden back . good choice breakfast . back ! 
 Jul 5 2009 	 almost perfect 	 wonderful stay June 14 - 18 . book two room directly hotel website reservation wait we arrive . hotel full morning arrival ( BA transfer fine job Gatwick ) could immediately check , staff store luggage able freshen change downstairs restroom . room ( book double we another teenager ) clean , well appoint decent sized ( great , adequate ) . room air conditioning , safe , great shower ( standard european partial enclosure ) , LCD tv substantial storage space . breakfast include rate terrific - cook egg , fixin full traditional english breakfast , cold cut , cereal , pastry , juice , coffee , tea , etc . service always smile punctual go front desk housekeeping . front desk always staff 24/7 ( worry hand key leaving - 's big heavy thing would want carry anyway ) . front desk also help call cab sell tourist ticket ( big bus tour , example ) . five available internet terminal four dedicated printer , free . three elevator , work fine , although small american standard . garden back beautiful , well maintain pleasant diversion city around . location quite convenient . Earl 's Court underground station 5 minute walk access three line take we pretty much everywhere need go . choose Oyster card travel surely save money , like everything else London , be inexpensive . surround neighborhood quite active , especially Earl 's Court rd fine meal Earl 's Court Tavern ( good sunday roast dinner ) , Nando 's Little Fench restaurant . wide chocie restaurant area worry come home hungry day about . about negative worn carpeting second floor hallway , really nitpick . book hotel confidence ; sure satisfy certainly hope stay future . 
 Jul 2 2009 	 convenient clean good value ! 	 family stay K + K Hotel George end June 2009 . book hotel web site airfare . stay K + K Hotel Paris think modern , clean locate safe location . true London K + K ! conveniently locate two block ( 5 min . walk ) Earl 's Court Underground station , hotel numerous restaurant , grocery , pharmacy store within easy walk distance . McDonald 's , Starbucks , Burger King , Subway short walking distance hotel . hotel room , like London , small normal U.S. hotel , still roomy enough since room much . public area hotel modern tastefully decorate . computer free internet access lobby four locate low level guest use e - mail web need . make easy keep touch relative work back home . breakfast include room good ! scramble egg , sausage , bacon , sort roll croissant , meat cheese variety cereal juice offer . Breakfast serve 6:30 a.m. 11:30 a.m. great early late departure . staff courteous helpful . room always clean stocked afternoon return . wonderful garden rear hotel relax read one free newspaper lobby . location , cleanliness , courteous staff modern amenity fair price , K + K beat . stay . 
 Jun 29 2009 	 okay hotel - nothing glaringly wrong nothing rave either 	 stay recently 1 night . well present , boutique property extremely well maintain . hotel ' reception area nice . room well appoint clean hotel beautiful garden outside . breakfast buffet okay – ' well , include room rate . staff eager help lovely attitude . guest upmarket high calibre . note problem sound insulation floor hotel – could hear guy room walk around ! staff reception seem aware problem . hand room build granite noise blocker door ' hear noise corridor problem hotel . hotel Earls Court good location . Earls Court centrally locate area London good access Piccadilly Lines , District Line Circle line tube . take 14 minute get Regent Street Piccadilly line . tourist impossible get around London tube matter hotel stay – unless willing spend fortune cab . underground fairly easy navigate understand . large Tesco supermarket within easy 9 minute stroll hotel . this hotel ok good choice area exhibit visit Earls Court Exhibition centre nothing write home . preferred hotel London Space Apart Hotel Bayswater . 
 Jun 24 2009 	 could not recommend highly enough 	 great location . great value . room lovely really nice view garden . book deal include afternoon tea bus trip . would really recommend . hope back soon ! 
 Jun 23 2009 	 still like hotel 	 second visit K & amp ; K George . 's still lovely hotel , conveniently locate near Earl 's Court tube station , quiet side street . clean , good service , great breakfast ( sure include rate ) . sure insist room back overlook garden . room 5th floor complaint low toilet seat - may problem bad knee ( may account long line use toilet lobby ) . drop key time leave could take time many guest line . careful shower temperature - fluctuate suddenly . 
 Jun 20 2009 	 Good London Accommodation 	 Positives : - close Earl 's Court tube station- handy shops- comfortable- breakfast include ; good selection & amp ; quality food + great serv ice- reasonably sized room London- nice barnegative : - reception service could well ( staff training ? / unable answer question ) - check slow ( insufficient staff ? ) 
 Jun 18 2009 	 beautiful inside ! 	 impressive ! beautiful property quiet Kensington neighborhood great restaurant Earls Court tube station conveniently close . enjoyed stay much . problem & quot ; include & quot ; breakfast . book room Hotels.com , website state breakfast include . want problem get , call Hotels.com two week prior arrival call hotel manager duty confirm breakfast include reservation . get , first morning eat lovely breakfast . second morning , go breakfast , tell we would 15 GBP ; explained call refer front desk . front desk say Hotels.com & quot ; always say call manager not & quot ; , breakfast not include not first morning . front desk helpful previous morning recommend bus route ( tube strike ) , regard breakfast , cold rude . 's great place stay , beware & quot ; include & quot ; breakfast may ! 
 Jun 18 2009 	 great place stay London 	 come back 4 day London stay k+k George Hotel great time . lovely hotel nice room friendly staff . read review Trip Advisor bit concerned room especially bathroom might bit small , pleasantly surprised . stay 4th floor happy room . room big enough , bathroom . compare K+K George hotel London stay ( price ) , true gem . everything extremely clean staff friendly helpful . lovely garden backyard rare feature city like London . breakfast probably good ' ve ever hotel . find everything full english breakfast salmon , lovely pastried good selection fruit cheese . buffet rather large constantly refill friendly staff . never wait 5 minute anythig replace . staff also attentive come refill coffee tea . hotel quiet area Earl 's Court literally right around corner Earl 's Court tube station 10 Minute trube journey Leicester Square . even though room face front could sleep window open problem . hotel also perfect fly Heathrow airport direct tube airport Earl 's Court station take 35 Minutes Heathrow . I highly reccomend hotel pleasant stay London ! 
 Jun 10 2009 	 great Stay Londontown ! 	 Hotel k+k George conveniently locate near Earl 's Court Underground station largely residential area London . room bathroom large well - appoint , update clean . bed comfortable , . love large breakfast selection offer morning people front desk helpful . free internet sauna / exercise room nice amenity . hotel much large traditional bed breakfast personalize quaint high rise hotel . would definitely stay future . 
 Jun 3 2009 	 try book time stay overnight london 	 compare hotels london price category hotel different classmodern , spacy room - breakfast include location easy reach subway : - ) 
 Jun 2 2009 	 London Luxury EXCELLENT Value . LOVED ! 	 K+K George easily one highlight 9 - day London experience . 's beautifully maintain hotel short walk Earl 's Court tube station ( provide convenient access two main tube line London ) . room small certainly adequate . american learn soon later european hotel much small be use , though less equipped . high - speed internet terminal delicious breakfast overlook garden nice feature make K+K George stand . George even Paulo , hotel cat live outdoors gardens greet guest warmly venture outside . hotel nearby two hotel list TripAdvisor , Trebovir Amsterdam . say walk way tube station daily K+K George make look shabby comparison fresh paint spotless interior . could happy stay ! 
 May 31 2009 	 comfortable hotel good location 	 lovely modern hotel spacious , comfortable room , great bathroom good staff . room overlook pretty courtyard quiet , breakfast buffet excellent . location near Earl 's Court tube station 1 block main road , also day service laundry convenient . front desk staff friendly helpful overall excellent value enjoyable stay . drawback staff call private taxi service , black taxi , driver , although friendly , not know London well enough . 
