wow 	 girlfriend spend 9 wonderful night hotel must say one good hotel every in . very close union square view 10th floor beautiful staff friendly try cater ur every need . room clear neat bed big soft comfort level die coffee maker fast . tea sherry afternoon lobby great long day out . the problem leak bathroom sort pretty quickly . resturant diner stone throw away food great , shopping u want designer store macey square . 
 Jun 26 2009 	 Nice ! 	 stay Kensington Park three night . room nice - bed comfortable ! location good , close Union Square . front desk staff friendly helpful , never catch concierge ! end get information via front desk person phone concierge . pay discount price , good value , ' m sure would happy value pay . although hotel refurbish , part still date . , internet slow . 
 Jun 19 2009 	 round pleasurable trip 	 husband stay Kensington Park hotel 4 night could not fault . location could not well . walk distance f rom cable car pick , Macy 's , Tiffiany 's main shopping Mall within easy walk distance . hotel clean staff extremely helpful . rec eption staff delight offer advice question pose . reception area little quirky afternoon ritual complimentary sherry unusual offering , although must say nice way meet guest stay hotel turn little social gathering , room spacious clean side find garbage collection street cleaning do early hour morning room directly area make noisy . luckly not every day , not last long . hotel theatre seem well attend restaurant next door , ( access reception area ) good . fact restaurant San Francisco eat high standard . 
 Jun 13 2009 	 Awesome Hotel 	 first trip San Francisco not really know expect stay ..... little research online stay TheKensington Park Hotel ...... wow ! ! ! great lobby free evening tea & amp ; sherry . great bed , large flat screen tv 's shower great water pressure ! ! 1 block Union Square ...... price affordable large city . 
 Jun 10 2009 	 simply Perfect 	 always stay hotel town recommend colleague friend well . perfect location - step Union Square . Powell Street Bart station block away , come San Francisco airport save price cab shuttle ! hotel Elks Club building , still maintain air & quot ; clubiness & quot ; - old world european charm . Tea Sherry afternoon hotel delightful touch . room pleasant , clean although may hear street noise ( ask earplug front desk , case ) , never bother noise hallway , adjoining room , etc . hotel seem attract respectful clientele . hint : morning coffee , go corner Borders bookstore visit 2nd floor coffee shop . grab seat window , directly overlook Union Square , enjoy people - watch fine ! 
 May 17 2009 	 Kensington Park Hotel - Fit Royalty 	 everyone know travel expensive . tight budget , oftentime first place cut hotel quality really need place lie head night . however , one important part trip . want share bed bedbug mites long day sightseeing ? truly ruin good time , don'tcha think ? experience Kensington Park Hotel San Francisco wonderful . one Personality Hotels SF locate 450 Post Street , right heart Union Square . stay November 2008 couple night recent weeklong adventure May 5 - 11 , 2009 . would go back ? first , price right . obviously , look website , Kensington Park bite high budget . however , remember be SF everything pretty expensive . get great deal air hotel Honolulu book right away . air / hotel deal ( believe , comb usual site ) , Kensington pop within budget , jump chance stay again . what learn last fall bed truly heavenly , especially day walk hill store . never sleep bed well one , include bed home . not even know describe . 's right firmness softness ease ache body sleep every night . melt comforter engulf softness . another good quality hotel staff accommodate . flight arrive 5:55 a.m. time get city around 7:15 a.m . despite ungodly hour , staff allow BFF check way ahead schedule . ( call double check reservation , put request early check - in say could not guarantee anything . ) imagine either look pretty have - it red - eye flight Honolulu staff , accommodate . like believe latter sure . the room give ( # 4 fifth floor ) bite small one receive last trip . however , could also two people last fall three . even though room bathroom small , still satisfactory . everything clean , definite plus . mold , mildew hair bathroom . bed make everything seem order . peek room , check website . yes , probably professionally do picture doubt enhance little help Photoshop . , trust . 's exactly room look like , tad less bright vibrant . still , bed room definitely live PR / marketing hype website . another good thing staff be friendly . hate admit , life remember name guy front desk . actually three different people front desk different time day night . however , night shift / early morning guy definitely stand . 's guy check we ( time last time remember right ) . every time see we , would greet we big smile address us name . yeah , actually remember name ! amazing hotel seem almost fully book . kind customer service sign Kensington Park really go extra mile guest . if be convince try hotel next SF visit , let add 's skip away shop Union Square , step away Muni ( cable car bus ) couple block BART . location hot , hot , hot . definitely try Kensington Park Hotel 's fit royalty . -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- check : http : //skycastles808.blogspot.com / http : //movieaddictsclub.blogspot.com/ 
 May 14 2009 	 lovely hotel fabulous location 	 stay Kensington Park 2 night . location perfect , walkingdistance many restaurant , shopping cable car . nice thepersonal service touch small boutique hotel . staff veryhelpful transportation restaurant suggestion . face street anddid get street noise downtown San Francisco , anylarge city . would absolutley come back . 
 May 13 2009 	 newly renovate pet - friendly 	 go room renovate every detail immaculate . location perfet . central need . eat Farollon restauant twice . food good expensive hotel heart San Francisco . love pet - friendly . able take dog anywhere make life easy . staff love toward dog . love architechture . combine old world charm comfort technology . bed bed pristine soo comfortable . 
 May 12 2009 	 Luxurious Romance Fun Package 	 Kensington Park Personality Hotel hotel get . one good SF . right heart Union Square everything accessible walk right outside hotel ! view room great , telescope see ( spy ! ) people outside ! fun ! right outside window could see union square , ice skating rink ( go winter time ) Macys light ! bed super comfy , one good sleep ever . staff friendly , room clean , comfortable , also showroom , cinema one floor well seafood restaurant next door . highly recommend place . hotel luxuriously theme quite romantic time spend . however , shopping , eat , skate , look around , much fun ! 
 May 6 2009 	 gem ! 	 could not agree previous review - 's true ! ! perfect location ! friendly , helpful attentative staff . although meal available hotel nice provide morning coffe / tea also complimentary afternoon sherry lounge area . room spatious , nicely design bed comfortable . only drawback ( minor though ) , light sleeper - street noise San Francisco neighbour next room ! hey - hotel sound proof ! 
 Mar 26 2009 	 great location really comfortable 	 spend 3 night short stop . hotel brilliant location - yard away Union Square , cable car route , bus shop . not restaurant not matter find great diner next block 5 minute away . the staff really friendly helpful give advice place go get , book airport transfer anything else might need . hotel couple complimentary pc free internet access too . the room really comfortable - possibly comfortable bed ' ve ever come across . room clean well - maintain . our negative point would poor window room . 12 floor wind howl whistle window gave bit draught . small point otherwise lovely stay . 
 Mar 12 2009 	 great location nice hotel ! 	 nice hotel , great location , clean tidy . nice touch complimentarytea / coffee sherry afternoon . wonderful bed , mostcomfortable ' ve ever note hotel . really enjoyable stay fairvalue . minor complaint would lack milk room make tea / coffee ( provide ) complimentary water . go , will not disappoint . 
 Feb 15 2009 	 Nice Rooms great location 	 stay Sept 2008 holiday tour California . stay 3 night . hotel ideally locate see San Francisco . positive : -- great location- clean modern rooms- reasonably price San FranciscoNegatives : -- Valet parking expensive , different hotel San Fran . while San Francisco follow trip : -- boat trip Alcratraz Golden Gate bridge- Trolley tour city - defiantly worth see different sites- Hire car Napa Valley . Visited Sonoma , petrify forest , Ye Old Faithful geyser winery . defiantly worth doing.- visit China town , pier 39 , Coit tower- great meal North Beach Calzone 's Columbus 
 Jan 28 2009 	 bargain ! 	 keep thinking would discover room rate cheap , instead find location , linen , view , tv , update bathroom , doorman , valet parking , except even hope . hassle check not rate , keep print confirmation make reservation online . eventually come figure , nice . definitely go upgrade $ 20 get 10th floor view quiet , except street noise . even coffee juice , sherry tea evening , along slipper spa lotion take . could please . 
 Jan 22 2009 	 well situate friendly hotel 	 Booked hotel 3 night stay first look SF . find staff friendly helpful hotel short walk Union Square , SF shop famous cable car transport take waterfront great old SF house . the room clean comfortable particularly big . back build although much view away street noise front . there breakfast provide complimentary tea sherry 4 6 afternoon- great way finish shopping trip . the hotel restaurant next door big conference time restaurant often full . price appear little steep . try Sear Fine food Powell . there room service actually get food small cafe situate 2 door away - La Tasa think . simply walk pick food save 20 % . cafe good place grab bagel coffee breakfast . ( limited ) coffee make facility room . 
 Nov 29 2008 	 fantastic place stay 	 stay hotel 3 night mid November wife 9 yr old son . stayed 10th floor view Union Square telescope room peek thru & amp ; see going across street . the room comfortable nicely decorate . bed comfortable ambience fantastic . the location near Union Square shop find food hungry . also within short walking distance tram station need venture away Union Square . walgreen also around corner need get water neccessitie . like drive San Francisco rent car leave SF , Hertz within 5 min walk hotel collect car . 
 Nov 24 2008 	 lovely place 	 take long find place look good enough . much san fran unless want pay big bux . firstly location hotel well could get . powell st . union square . entrance hotel nice grand . reception large nice could re - vamp interior design area . lovely fresh apple reception counter anyone take . great little touch . room get front build 9th floor . surprise get go room . lovely , two double bed look unreal , lovely big headboard , lovely sheet pillow . decor different main part hotel . alot nicer bed room . bedside locker fab lamp , telephone radio . wall mount flat screen tv . load walk space bed furniture , wardrobe big iron ironing board . bathroom perfect size , bath bit date still manage bath lovely . look forward come back room every evening ! bit noise weekend people drink , not bad , week noise form truck alot police fire engine zoom past every do not mind , part experience . 
 Nov 4 2008 	 fantastic location ! 	 stay hotel bfore know bathroom spacious ( compare sister hotel around block ) room update stay 2 year ago , clean , nicely decorate room . room not central air open window bit circulation fine except night could hear street noise . complaint shower amenity restock front desk staff knowledgeable local ( touristy ) place dine . location terrific , 6 block Chinatown Gate Cable car stop 1/2 block away everything else walk distance 
 Oct 28 2008 	 actually need 	 small , old hotel locate downtown core San Francisco , block major chain hotel attend conference . appear renovate recently good effect . room hotel upper floor 12 storey building , low floor occupy theatre chapter Benevolent Protective Order Elks . upside bit less street noise . room small , stylishly decorate clean . check quick , front desk staff always helpful friendly . concierge available afternoon evening help reservation tour . room include : - comfy bed choice pillow - small bathroom , lot water pressure shower - hairdryer - flat screen tv - free wireless internet ( forget mention check 's free ask ) - mine telescope sightseeing ( alley ? ) - walk - in closet ironroom include - safe ( leave valuable concierge home - function coffee maker ( complementary coffee available morning ) - mini fridge barthis hotel restaurant , pool nightclub , theatre . cafe breakfast one side , trendy restaurant . Union Square , cable car route major store 1 block away . much San Francisco , nice waste money hotel amenity time use . although enthralled city spend little time room , find comfy , peaceful oasis rest adventure next day . travel without kid , would definitely stay . 
 Oct 27 2008 	 Excellent Location 	 Kensington Park Hotel first hotel California Honeymoon . Jetlagged tired arrive friendly welcome attempt sell we upgrade . honeymoon take , hindsight sure worth additional money . top floor corner room nice ( although bit noisy ) , comfy bed , jacuzzi bathtub , BIG tv coffeemaker . day San Francisco location ideal 's close Union Square , cable car , transport , good restaurant , etc 
 Oct 12 2008 	 love 	 great location . staff nice . extremely helpful . would stay . 
 Sep 28 2008 	 's no - brainer ! stay ! 	 write reason help visitor San Francisco choose great place stay . site invaluable whilst painstakingly research hotel , tour , etc review convince book right place fussy mum , 5 - year old daughter myself . we arrive hotel around 6 morning . lone guy reception pleasant , say room available would give special instruction maid service arrive 9 am ( something ) rush job we . sleep sofas armchair , little later , guy tell good room - room 50 , 9th floor , face Nob Hill . inquire room hour later , lady ( take first nice guy ) tell , rather accusingly curtly , room still unavailable check - in actually 3 pm , imply favour . well , excuuuse , ask , polite , not say anything warrant reaction . minor blip . got room around 10 am - tastefully do , taupe wall , dark brown furniture , high bed , huge pillow , unnecessary faux brown fur throw bed , brown crystal chandelier , glass stem table lamp , large LCD wall telly , velvet - line drawer ! , roomy bathroom , glass ! wastepaper basket , shower - in - bathtub combo , H2O brand toiletry , fan ( chilly night anyway ) , coffee - maker ( good warm drink night since fresh coffee available corridor every morning anyway ) , San Francisco Chronicle every day . small walk - in closet . watch door , tho ' , slam hard . ice maker noisy ' beverage room ' next room 51 . ice maker find floor 9 & amp ; 12 . classy clean quiet view hotel - Fairmont ? - 's beautiful night uplit flag flutter wind . not hear refuse truck morning . could occasionally hear dingdingde cable car even tho ' away main street - imagine din stay face Post Street . location fantastic - cable car stop right corner Disney shop use . shop everywhere ! BART , cable car turnaround , muni stop near - might seem bit far can not walk straight line - sidewalks pack people . not stay Fisherman 's Wharf area - find dirty , repetitive , shop , stuff Ghiradelli square/ Cannery etc so - call shopping hubs ghost - town . happen ? instead , stay Union Square area , enjoy tourist , buy 3 - day MUNI pass ride cable car death . fun , pass great place great view climb hill not wan na climb . the staff commendable ' m say ' m compare lackadaisical gloomy staff Waikiki Resort Hotel Oahu endure day early . ask anything really jump . ask small refrigerator time take lift room , close door put door card dresser , one staff already door mini - fridge . 2 minute ! hotel represent Grayline Tours concierge happily help booking . ask night concierge , sweetie call Christian , side tour bus sit 17 - mile drive / Monterey / Carmel tour . unsure immediately begin call Grayline . speak hour later , hunch laptop try get answer . later leave message mum - sit right side . right . get good view video shot , something could not drive back driver take inland highway , coastal road . thank , Christian . day concierge , Robert , whilst look kinda gruff , take pain make we feel home tell we hotel guest ' m . book airport shuttle later change detail time etc . early , also make change tour booking Grayline Christian help . Christian Robert immediately reach phone rectify everything - hesitation , no - err - ehmm - why - don't - you - stick - with - the - original - plan - it' - so - troublesome - for - I - to - rearrange - everything vibe . pretend - concierge Hawaii hotel actually tell use public phone ask help re - confirm tour . Sheesh ! love stay Kensington miss already . nice every whim cater . part tip - be patronise Farallon Restaurant ground level love look surreal jellyfish ceiling light , stop 4th floor - couple jellyfish ceiling . ' m sure security camera watch video light think insane light soo unusual . not book Grayline 's day city tour - HUGELY disappointing . expect tour guide , know , human . get headphone - pre - record - narration - kind - of - tour horde tourist double - decker bus . shell - shock feel cheat . ( research tour month ago , find lot positive buzz San Fran Shuttle tour , make point let guest get many point interest possible . think city tour not think much . plus , expensive Grayline . big mistake . not even see Painted Ladies Palace Fine Arts , much less get bus place . get 3 place - Mission Dolores ( 25minutes - leave no - one time take $ 5 guide tour anyway , lot passenger not even get ) , Twin Peaks vista point Golden Gate Bridge ( come , driver stop bridge ; would attack otherwise . ) hope help ! cheer ! 
 Aug 28 2008 	 great time great location ! 	 boutique hotel spacious average San Francisco one . right Post Powell directly Union Square ! room clean staff friendly helpful . business centre open 24/7 free internet access printer . would highly recommend hotel hope return ! 
 Aug 26 2008 	 Perfect location 	 stay week teenage daughter everything perfect . Took BART airport hotel block walk station , cable car stop nearby bus . great shopping abound plenty restaurant . Room decorate eclectic mix old new , loved fur throw comfortable bed . staff extremely friendly helpful . 
 Aug 25 2008 	 fantastic location 	 book hotel read review trip advisor . what fantastic hotel . staff excellent , wealth knowledge always willing give advice . the room , although little small side family four , comfortable ( bed sooooo soft , lovely crisp white bedding ) complimentary coffee , sherry newspapers add extra . we please find complimentary internet access game room , pleased teenager coffee orange serve morning . location could easy . right Union square short walk main rail bus network . we fabulous time San Fran would return hotel ever come back . definately worth booking . 
 Aug 13 2008 	 final leg honeymoon - lovely ! 	 stay Kensington Park Hotel last 4 night honeymoon last month . hotel middle everything ! ! ! fabulous location ! ! lobby grand vintage - look , room modern chic comparison . upon arrivial , try upgrade we ... money ... actually take we tour ( husband tempt ) difference negligable , stuck room . the staff friendly helpful restaurant recommendation direction transit tip . the room clean newly decorate spacious boutique hotel . we small problem valet parking end stay - separte operation fix problem without much ordeal . overall really good quality stay excellent location ! 
 Aug 11 2008 	 refined era / wonderful stay 	 never write review , trip worthy several : recently opportunity visit San Francisco first time . Kensington Park Hotel great selection . staff , desk clerk , clean employee , maintenance , manager dedicated individual commit toward represent hotel hospitality excellence . our stay , beyond expectation . arrange reservation speak Personality Hotel rep . ( 800 # ) extremely pleasant , helpful , professional . rep . ask whether trip business pleasure ( . ) merely mention personal celebration pass . unbeknownst we , convey Kensington Park personnel reservation memory never forget . hope window / view , surprise , accommodation go well beyond expectation . we would recomme Kensington Park without hesitation . Dining Favorites : Firenze , ( North Beach ) great food , atmosphere attentive staff Cafe Greco : ( North Beach ) wonderful lunch Panini , pleasant staff Ferry Building Shop & amp ; Dining & amp ; Saturday Market Tour : Wine Country Shuttle Tour ( $ 95 ) memorable experience favorite : V. Sattuti Vineyard Wine Tasting , lunch packaging wine shipping ! 
 Jul 13 2008 	 great find ! 	 spend two night San Francisco celebrate birthday anniversary spend night East Brother Light Station Point Richmond ( another great little story ) .The staff friendly , professional extremely helpful . we book Royal Court room luxury linen , flat screen tv amenity robe , slipper , deluxe toiletry , etc . , everything expect . room ( # 75 ) 11th floor Nob Hill View workday city amazingly quiet night ! know airconditione , ceiling fan open window keep room comfortable . Staff even offer put additional fan room desire , decline necessary . we purposely want stay close BART station local bus fly want get around exclusively local transportation two foot . hotel locate Union Square close everything . would highly recommend hotel would stay . 
 Jul 8 2008 	 simply best 	 go San Francisco every year past 25 year . run across Kensington Place Internet thought would try . stay plenty premium hotel , would rate Kensington Place good good lot well price nice staff . not think beat . find new place stay . 
 Jul 8 2008 	 Comfort Quality Charm - favorite place SF 	 stay Kensington Park two different occasion , two week apart . find room generously size actual walk closet . bed comfortable nice comforter . appreaciated two chair wealth restaurant literature room . first room 51 , 9th floor . great view Nob Hill , nice bathroom shower instead tub . complimentary morning coffee service directly across door , incredibly convenient , noisy . complimentary newspaper morning , complimentary afternoon tea sherry Lobby . staff quite pleasant helpful . less satisfactory stay next weekend another close major hotel , switch back small , intimate Kensington Park final night San Francisco . room lower , view , closet bath still large room spacious . level comfort security experience two week . relief return Kensington Park . the Lobby gorgeous , theatre function room KP along Elks Lodge . KP 's location close bus , cable car , subway . terrific restaurant , always table available , close along jazz night club . chinatown close walk , shop central , Union Square 1/2 block away . Hertz rental location around corner . the KP vintage , get quirk , nothing interfere comfort . not get stuffy feel old 5 star hotel vintage strip . KP update modern sensibility without lose original charm . room baths superior un - name hotel , fancy dressed doorman , around corner . staff service KP much well well . we would highly recommend Kensington Park lovely place stay be San Francisco . sure ask rear room view . return San Francisco , will stay Kensington Park , ask Room 51 . praise Kensington Park enough - well run , well design place make feel home . 
 Jul 1 2008 	 nice stay 	 location great , front desk staff helpful , room comfortable . review suggest room small not think uncomfortably small . counter space bathroom really not problem either . water pressure shower amazing . bed comfortable . one concern prior stay fact hotel air condition . way discover A / C AAA travel guide get week trip . south worried . initially find slightly stuffy ceiling fan room opening window help . even though outside temperature 80 throughout stay , lack A / C not really seem problem . bit noisy window open though . , would suggest hotel good price , comfortable room , great staff , location . 
 Jun 27 2008 	 Romantic Hotel 	 hotel nothing special , romantic . ceiling fan low profile light give nice glow bed . bathroom feature allow relax bath . noise would hope , not unbearable . location great , block away cable car . 
 Jun 12 2008 	 good value great location 	 partner stay 2 friend 4 night . room well appoint bed comfortable . arrive early Saturday evening long drive Yosemite . welcome receive great even bring complimentary bottle great red wine room . hotel old , creak groan plumb nothing major . room coffee make machine make great coffee also free coffee upstairs want . bathroom well appoint everything work fine . the location really convenient get around public transport feel safe time although street around Union Square plague beggar vagrant . ignore not cause we problem . we never around afternoon tea / sherry mixer - maybe next time ! all - in - all , KPH great value hotel part town would certainly recommend . 
 Jun 11 2008 	 absolutely amazing 	 wife get marry Michigan May 30th want go San Francisco honeymoon , plan week long trip city . first hotel stay ( saturday - tuesday ) Kensington Park , far impressive hotel good experience . front desk help extremely helpful , go far print menus 5 different romantic restaurant we request suggestion dinner , call one restaurant make reservation we ( make sure tell honeymoon give we really good table ) , walk outside hail cab we . get back evening bottle red wine two wine glass room note congratulate we marriage . there love seat elevator . enough say . we 12 ( top ) floor room 96 , queen room view . could hear traffic , not mind . remind we bustle live city , not nearly loud wake we us raise voice talk it . overall , amazing start honeymoon bum stay somewhere else last half trip . would DEFINITELY stay . great honeymoon hotel , especially room 96 ! 
 may 24 2008 	 need bit tweak 	 boyfriend stay hotel 6 night , think pretty good idea whether be good hotel . break pro con , since quite : pro : great location catch bus , streetcar cable car ; great location late night dining ; bed super comfortable ; room ready we check 9 a.m. con : woman phone tell way would room ready early quite rude . housekeeping would call we ask want room clean , even & quot ; disturb & quot ; sign door - take nap ? housekeeping leave 4 everyday can not get anything time . pink stain comforter get . use sheet 4 night , left & quot ; please wash sheet & quot ; sign bed would change sheet ( clean ) . pink stain still get home sheet & quot ; clean & quot ; , mean not change sheet guest . , , , big CON . gross ! room really noisy hotel old , could hear guest take shower , etc . claim tea coffee morning , never hot water tea . minibar never take food back hotel put fridge . toilet not flush right ( keep flush 20 minute ) . , hotel $ 70 night , would rave , $ 200 , be absolutely insane . even & quot ; Royal Court & quot ; room , expensive , give one - dollar slipper bust coffee machine . hear Donatello really nice 's street .... 
 May 17 2008 	 nice hotel greal location . 	 book hotel basis TripAdvisor review . leave booking last minute , lucky get room . check - in guest decide not want stay hotel long friend tell dangerous . hotel right Union Sq think great location : central near public transport system certainly dangerous ( although be busy part town ) .hotel room fine . free wi - fi , mini - bar , restaurant breakfast either . free coffee every morning evening mixer ( not able attend ) . nice big tv room . terrible view window though . completely serviceable hotel real complaint except food facility . San Francisco business seem tourist hotel . holiday , lack restaurant facility etc not problem be travel work , busy jet - lag , sometimes need convenience . anyway , overall , favourable hotel . clean relatively cheap . staff incredibly helpful polite . vacation location hard beat . 
