excellent 	 stay Wolcott , would recommend anyone . room large clean . Maid service everyday . staff friendly . locate 2 block away Empire State Building , conviniently place . bathroom little small side . otherwise room clean . the entrance foyer particularily impressive budget hotel . complimentary coffee muffin breakfast well . this hotel make great base explore Manhattan . far Macy 's , Herald Square . 
 locationlocationlocation great price 	 location important be try impress anyone stay interested see site spend hard earn cash enjoy rather swish hotel , place need . quite low expectation read review , fine . old school hotel - like bit character . staff friendly helpful - location make - price , not think could well - literally around corner Macys , Empire State , Madison Sq Garden , Jack Demsey 's pub ( man watch english soccer match . live ) couple block Time Square subway close travel afield . hotel also locker available 50 cent store luggage last day late flight . make criticism small bathroom - cares - New York ! 
 Trustworthy hotel good price 	 new york - hotel - research internet find one . first trip Big Apple expectation , price seem extremly reasonable consider location hotel go . experience nut shell positive . tidy look lobby corridor sympathetic room everything basic visitor need . & quot ; life & quot ; hotel room anyway ? next line som + - : + nice tidy look interior+ enough fresh - look room ( corridor smell like 5 - star hotel ; ) ) + tv + safe+ price easy payment methods+ Location- staff seem bit bored way rude ( don´t let affect stay ) give hotel 8 10 . 
 Great Location 	 hotel suit need perfectly . book twin room ideal need ( spend sleep time ) . bathroom large , clean tidy yes shower work perfectly . ideally situate staff helpful pleasant . complaint whatsoever would use . 
 Dec 6 2008 	 Loved Hotel 	 stay Wolcott 5 night 26th November 1st December , thoroughly enjoy stay . hotel beautiful . despite ' ve read many review , reception staff could nicer helpful . elevator quite slow though ( mention previous review ) , biggie ! room quite large , clean , also get terrific view Empire State Building . housekeeping come every day stay . obviously budget hotel , standard high price . locate centrally , 2 block Empire State Building Macy 's . restaurant hotel , 's Dunkin donut across road , terrific Irish Pub 1 block away ( serve good steak ' ve ever ! ) would hesitate recommend hotel anyone . 
 Dec 1 2008 	 Superb hotel ! ! 	 stay Wolcott honeymoon . hotel superb location . room fine - clean everything change whenever need . the hotel staff really helpful sorted travel without hassle . muffin tea / coffee fine spectacular . Dunkin donut across road excellent . the criticism taxis add bill end - $ 30 night ! ! not make hotel anywhere near cheap first thought . 
 Nov 28 2008 	 Old World Charm 	 stay hotel twice . hotel historical , charming lobby . first time get large nice room . second time arrive , get small crammed room overlook dumpster . ask look two room , finallly settle one view Empire State Building . room much small plainer room first stay Wolcott Hotel . hotel convenient location , near Empire State Building Fifth Avenue . 
 Nov 28 2008 	 Great Location 	 Hotel exactly expect . old certain area could bit refurbishment suppose add character . room spacious New York standard clean although decor leave lot desire . location great , could see empire state building room everything want walk distance short taxi ride . whole reasonably price hotel clean spacious room need be stay New York not really spend much time . 
 Nov 23 2008 	 wedding plan dash ! 	 sharing story unfortunate ordeal Hotel Wolcott sale staff , hope save potential customer ( esp . bride - to - be ) similar experience . bait - and - switch routine Hotel Wolcott attempt unprofessional inexcusable . disappoint beautiful hotel staff management little business sense . search element go wedding like date , lot " not - ever " , " almost " magically find one ' right . case Hotel Walcott . stumble upon almost completely accident , moment step opulent Beaux - Arts lobby feel " one " . contact Walcott sale office book room 25 + wedding guest . sale agent ( Crystal ) seem friendly , try sell we $ 245 / night regular price April 2009 . point website list $ 225 / night . checking offer we $ 200 / night , roughly 10 % discount price website , little prodding come $ 190 . spidey sense tingly … feel scamme somehow . still , love , decide book . fiancé call back couple day later speak Crystal manager ( Paul ) , shock briskly dismiss . refuse give we quote rate , ' want accept wedding block , something bring attention first place ! crush . seek compromise , offer guarantee least 15 room , would even put credit card reserve . good , remind we " quote , guarantee . " want guest stay esteemed Wolcott , ' call reserve themselves . we take business elsewhere . 
 Nov 18 2008 	 can not go wrong book hotel 	 pleasure stay fantastic hotel early November . build beautiful . get see old ballroom behind reception desk ( bag keep cos late flight home ) . ballroom use big old jazz club New York 1920 's feel smell history enter room . the location could well , everywhere within walking distance ( comfy shoe ) . 's good way see New York sight shop too . the staff friendly helpful room big , clean , tv , safe , bathroom ....... everything could want . will go back someday ( soon hope : - ) ) 
 Nov 17 2008 	 Great 	 Location titele great . also big , clean bathroom . got extremely low rate , would therefore reason complain , even not satisfied . overall pleased accommodation . 
 Nov 14 2008 	 wonderful time new york 	 wallcot hotel good location , room spacious clean . people fairly friendly coffee muffin good start day . hotel shabby chic , still well worth visit . husband stay 1st nov 2008 4 night .. tour viator well worth booking , exspecially new york city tour , worth every penny . visit central park horse carriage ride worth , must go subway . wonderful trip . 
 Nov 1 2008 	 great location ! ! good price .... 	 mum spend 5 night hotel October . main reason chose hotel price . much reasonable other . want spend dollar explore ( shopping ! ) rather expensive hotel . glad ..... hotel perfect . yes , room basic , everything need ( comfy bed , tv , big bathroom , safe ) , plus serve coffee muffin every morning lobby . speak lobby , lovely ! ! really grand , could read history building whilst drinking coffee : - ) main reason would recommend hotel location . can not get ideal . right next door ( well , good ) Empire State Building , 5th Avenue ( oh , shop ! ) Maddison Sq garden short walk away , find wander around soon hit Times Sq , Central Park etc . infact use subway , get Staten Island ferry ( surround area ) .there plenty place eat drink nr hotel , mainly deli style place , be want . staff polite helpful . oh , Dunkin ' donut accross road , frequent officer NYPD . know , ' m mature laugh cop eat donut , tickle : - ) 
 Oct 29 2008 	 great location welcome could well 	 stay teenage daughter three night . expect triple room ( two single bed adjoin single bed partition ) disappointed get one room two single like hospital bed put front tv . room back - view pretty quiet - decide stick - bed comfy sleep fairly well even window open ! good thing hotel : fantastic location ( less 10 min walk 34th street ) ; much coffee muffin get morning ; overall good value money ; reasonably quiet - least back ; clean enough . bad thing hotel : bit shabby ; slow lift - exception one young girl visitor desk - miserable staff ! ! much rude unwelcoming . someone please teach smile .... 
 Sep 26 2008 	 Love Hotel ! 	 son stay Hotel Wolcott two separate occasion , thoroughly enjoy stay time . can not beat money location . room decent size , clean , staff pleasant helpful . lobby amazing . make feel though ' ve step back time . locker , concierge , gift shop / snack store . also snack machine . be within easy walk distance MSG Empire State Bldg , also donut shop , post office , ton souviner shop . one complaint , though , would morning ritual slamming door . want sleep morning , door slam hallway , pretty impossible . , complaint . would definently stay recommend friend . 
 Sep 26 2008 	 fabulous position 	 girlfriend fab 5 night location walk distance Times Sq , 3 block Empire State building , old building location cantbe fault 
 Sep 25 2008 	 do not ever stay 	 hotel joke . arrive nothing work . change room arrival one allocate dark need light could move around bed , plus place smell bleach . new room large trouble begin , iron board , hairdryer work , shower tap miss logo know hot cold work , get 4 request safe work overall 8 different call fix toilet 2 day . room dirty , hoover around skirting result son bite possible flea bed bug . top book transfer back JFK turn 1 hour late booking girl interested look though internet , plus english terrible . trust , pay extra go different hotel , never recommend place anyone . hotel run past history , yes foyer pretty care Buddy Holly , hotel tired run . 
 Sep 24 2008 	 lovely hotel old grand 	 stay Wolcott 4 night . walk entrance lobby grand beautiful . lift long wait small , complain , 's . staff seem ok , overly friendly , rude either . evening flight home ask leave bag reception get take back deposit amazing old ballroom , seem waste . beautiful use storage area . apparently think make restaurant . would wonderful . get chance look . the location not bad . near Macy 's esb , not many place eat closey . well find Empire Diner bottom esb , apart fairly long walk Times Square area good restaurant . irish bar / restaurant leave hotel , couple block not bad reasonably price . our room small , clean not much anyway , much see . would recommend go New York Christmas time ( 1 December onwards ) light , shop window decoration . ice skating rink Central Park Rockefeller lovely . snow , add Christmas feel . 's second trip New York partner 's first absolutely love place . Macy 's die . spend lot time buy Christmas pressie bring home . we complaint Wolcott hotel , go , hopefully next December , would stay bit close Time Square . 
 Sep 24 2008 	 Great Short Stay 	 Hotel ideal location around corner Empire State Building . staff pleasant free coffe / tea muffin every morning hotel lobby . room clean presentable although room face 5th avenue traffic could noisy late night . 
 Sep 10 2008 	 Great Location clean comfortable .. 	 search extensively 3 bed hotel room New York - find Wolcott ... offering . great location , clean reasonably price New York hotel price . staff friendly , room service everyday ( fresh towel require ) , coffee morning great , muffin . would definitely recommend Wolcott . probably negative point would make would regard noisy air - conditioner ... want stay cool ... take ear plug . 
