really 	 room spacious although feel bit impersonal 'cause be big , staff make really friendly helpful . desk staff excellent move we room look across hudson ( ? ) river . the location poor , get pricey cab subway times square ( rubbish ) central park ( nice ) area . got good deal hotwire feel decent value choice . 
 Bad 	 family - wife , three boy ( 11 , 8 & amp ; 5 ) - New York Thanksgiving . choose Embassy Suites familiar chain ( ' ve stay hotel Washington DC Monteray Bay ) , frankly , not many hotel comfortably accommodate family five one room . the NYC version Embassy Suites pretty hope . familiar brand , know gig . big room ( well , two actually ) , decent breakfast , free drink evening . promise . on hotel particular , not find room especially date , comment review . find matress bit soft - design simply age ' m sure . not make great night 's sleep . as location , think fine . 's good base Brooklyn ferry south island . 's brisk five minute walk underground , rapid transit midtown attraction . not lazy - need five minute walk comprehensive breakfast ! 
 far can not deliver promise room 	 main reason stay Embassy Suites allegedly offer suite two double bed , mean family two teen fit - save price second room . ( otherwise , hotel end Manhattan , be 25 dollar taxi fare mid - town ) .However , work we first two time stay Embassy Suites Manhattan , past two stay two - bed reservation turn King size bed cot - & quot ; go somewhere else be happy . & quot ; , cot freeze cold flimsy blanket , especially place next window . breakfast buffet ok mob . stand line food , fight table . even table , hostess may try remove chair get coffee , happen we - even though daughter still table . protest , however mildly , might invite torrent sarcasm , protest ( & quot ; Excuse , chair & quot ; ) . much hospitality - problem ? ? ? ? business center : two day row , wait behind bunch kid work .... ' m sure business work . lots kid though , ' ve got wait . suite need work - lamp without knob turn , mildew bathtub , bent towel rack hide towel fall toilet reach , rack bent ..... , get two bed desk , might worth . bring lot patience buffet business center . otherwise , look mid - town . . 
 Oct 30 2009 	 will back .. 	 fly red - eye arrive 9:30 . give we room hour , even give breakfast . make order fill . short nap go rest day . not make back time manager 's reception . use NY Sports Club . take little walk find , be much big small exercise room Embassy Suites . trainer club help we use equipment not familiar , really appreciated . would stay hotel , 's roomy compare little room uptown . 
 Oct 25 2009 	 great value great location . 	 Love place space ( comfortable teen parent share suite ) location ( beautiful walk along Hudson ) ease ( restaurant movie theatre reach without go outdoors . ) convenient mid - town , 10 minute walk subway pleasant enough . 
 Oct 24 2009 	 quiet reason 	 agree reviewer location . since Wall St area , pretty much close anything tourist want . plus close subway stop probably 5 block away . like quiet , place you . the room pretty spacious nicely furnish Embassy Suites know . clean nice parent young kid park close playset . the breakfast include okay - super pack people selection food average . 
 Oct 21 2009 	 Classic Embassy suit show age 	 far ES 's go , average . good location be anything require something cab . bad access subway due WTC . small room . get wear tear see bathroom . mold grout shower . place visibly wear tub . accessory tray ledge replace age ago . ' m big fan window face hallway . breakfast nice . nothing special correct temperature . 
 Oct 19 2009 	 we ... 	 Room 1510 . realize everyone idea & quot ; clean & quot ; . say , room filthy . would venture guess never see vacuum . dirty / tear drape . work ant farm surround base toilet . every morning clean mess . 2 teenager tow book hotel space consider book show / hockey game / dinner every day not plan spend much time room . fold sofa not make fold back room suppose & quot ; serviced & quot ; request part job . drink glass never replace clean one . use place sink , housekeeping simply put dirty glass ( lipstick still ) back tray never empty ice bucket water melt ice . we order room service first night . interesting 3 4 item arrive order . order 2 filet mignon ( receive 2 NY strip ) penne pasta dish arrive rigatoni . bring attention attendant delivering simply answer : & quot ; not that . & quot ; husband open menu book point order man grab book tear page say : & quot ; not menu 3 year ! & quot ; order meal , room service person speak not say word item order ..... quick & quot ; okay , right up . & quot ; 4th item burger ...... guess burger still menu . way item indeed good . steak well do tough . ( medium rare desire ) pasta simply ridiculous . 
 Oct 15 2009 	 would stay ! 	 location exactly convenient planning spend much time midtown , great , quiet location family small child not look nightlife . room clean spacious ( especially NYC standard ! ) amazingly quiet . ( will not find midtown ! ) bus subway short walk away , staff member always available hail cab . cab fare midtown roughly $ 15 without tip , well worth tired little one . nice weather , small child , great location walk Greenwich Village , SoHo , Financial District , Battery Park . the complimentary breakfast one good ' ve hotel decent selection make - to - order omelet . would definitely stay . 
 Oct 15 2009 	 View die 	 lifetime , visit many hotel , far , good hotel ever stay . staff courteous helpful . encounter problem not able resolve . room clean well keep . appeal thing hotel location . stay corner room 10th floor view whose description rival title James Bond movie ; view die . able see Hudson River New Jersey one large window bedroom Statute Liberty large window . hotel right across street Battery Park walk along water , water gently collide dike . Battery Park playground kid enjoy play . night , City light simply breath- taking . another great thing hotel serve free hot traditional american breakfast cold continental breakfast receive hotel . hotel part large complex consist restaurant , movie theater , New York Sports Club within short walking distance . side hotel across street , close ground zero , excellent dining opportunity . strongly recommend hotel anyone visit New York City . 
 Oct 14 2009 	 BEST HOTEL NYC 	 come guest October 2009 absolutely thrilled hotel . hotel absolutely amazing . staff hospitable hotel great location / scenery . hotel beautiful . front desk aware aniversary trip . place suite beautiful view overlook hudson river New Jersey ( statue liberty right river ) . tia hospitable kind front desk . check , professional answer question . also , may add , Cheryl prize hotel . really care guest come door Embassy Suites take notice hospitability . simply good never forget trip . could not go well ! thank whole STAFF ! 
 Oct 13 2009 	 want move 	 wife big fan Embassy Suites - love get tiny room . decide go New York Fourth July , book room Embassy Suites Battery Park , Manhattan . one good idea ' ever . great place . first , Mapquest ; close within walking distance everything want . , able self - park two block away Greenwich Street . even surprising , hotel validate ticket save money parking . check - in breeze . staff courteous attentive . appear well manage facility . room rock – nice size , clean up - to - date . get corner suite two window – one beautiful , big view Hudson River ; fantastic view Statue Liberty . room configuration allow work watch television living room without bother wife sleep bedroom . request refrigerator store leftover – deliver promptly . the hotel bar second floor free happy hour every evening . ' also get cafeteria serve complimentary breakfast , ' talk muffin , juice , coffee . ' talk fresh , make - to - order omelet , bacon , pancake , sausage , juice , toast , bagel , coffee – get idea – come room . we return another visit friend late September stay wonderful . hotel also close number restaurant outside seating overlook water . 's jogging / bike path along river , public tennis basketball court nearby . will definitely back . 
 Oct 12 2009 	 perfectly locate 	 Embassy Suites locate Waterfront 's edge north end adjacent WTC area . well run hotel pleasant room , nice view lot wonderful restaurant shop close . also perfect place walk SoHo , tribeca , Greenwich Village , Chelsea , Little Italy , NoLita , Chinatown , Financial District Southport water transportation available . never leave waterfront go run . walk night completely safe , even 12:30am walk SoHo various street waterfront Broadway North edge Greenwich Village . 
 Oct 11 2009 	 hard beat value NYC despite hassle 	 stay Embassy Suites husband two small child family wedding . check bit hassle , room request get room , course , crib request . several phone call approximately 2.5 hour , finally arrive ( little one 's bedtime ) .That say , hotel property nice , clean , room clean downright spacious - price pretty reasonable New York . breakfast quite zoo Saturday Sunday morning . never see chaos Embassy Suites hotel . 8:30 huge long line 20 minute wait sub - par cafeteria breakfast . coffee horrendous bagel embarrassment New York . , thing right price ( include room ) . depsite hassle , would recommend hotel . hotel property nice clean , room clean downright spacious NYC . plan go bagel store around corner breakfast ready deal less - than - attentive staff . 
 Oct 11 2009 	 great size room even NY City 	 recently travel NYC college - age daughter , sister boyfriend . stay Embassy Suites last three day trip , stay one night New Jersey u2 concert one night UWS room sister book . minute doorman open cab door Embassy Suites , immediately clear would nice stay . everyone bellman person bring we extra towel professional . room could ask - roomy nicely decorate . currently construction go next door , really not bother we figure , NY . also event weekend - believe call Tunnel Towers run , name firefighter run foot one bridge help 9/11 . make nice Sunday , music people mill outside . last day , bellman store baggage ( charge , worth ! ) also coordinate car service we get jfk.all , stay hotel great definitely part next trip . 
 oct 9 2009 	 wonderful hotel NYC 	 Mom , Daughter stay 3 week daughter Fashion Institute College . daughter class , Mom would get city bus would fun . daughter use pull sofa room tv , Mom bedroom tv . see Carnival cruise ship right bedroom window . ' m glad stay instead broadway . 's quieter relax . would take city bus go Battery Park look boat Statue Liberty . the problem one washer dryer whole hotel , evening weekend hard get wash do . breadfast We d. usually problem then . we would definately come back ! 
 oct 8 2009 	 Plenty space no - man' - land 	 noteworthy aspect property location : Battery Park City . technically part Manhattan , feel like another country -- bland , night life , shop . 's fine location not plan leave hotel , exclusively concerned business World Financial Center BPC . , plan business pleasure part city , location major drawback -- far subway , inconvenient expensive cab , inconvenient walk . on hand , room nearly large Embassy Suites meeting room , breakfast room , amenity perfectly in - line mid / low tier business - class hotel . several casual dining option hotel close , well movie theater . one outstanding feature access large adjacent health club . the property modern good condition . find cleanliness fine NYC ( bit dirty standard US city ) -- mildew shower grout edge carpet not vacuum quite time . 
 oct 8 2009 	 good location lot construction 	 Embassy Suites one thing go - size room . Rooms Manhattan typically small , Embassy . really not matter much , travel alone . location not great , LOT construction go around hotel - attribute World Trade Center memorial . far room go , fine - would expect Embassy Suites . bathroom could ' ve bit clean , overall pretty neutral experience . 
 Oct 6 2009 	 could bad . . . 	 travel business NYC quite bit . stay extended stay October 2009 . hotel generic . room feel like could basic midrange business hotel room anywhere US . decoration kind place Sandstone instead wood granite , big , clunky hard - to - damage furniture , rug pattern not show dirt . . . location right river . 's bit way ( separate & quot ; genuine & quot ; tribeca Westside Highway ) . place want go honeymoon . 's perfectly fine ( somewhat downmarket ) business option . the room pretty large ( be bedroom sit area ) . bathroom totally generic . breakfast morning okay -- remind bit dormitory food college ( type selection ) . 's DSW shoe store movie theater right hotel , lot lunch time eat option . river walk nice . gym great hotel gym -- 's New York Sports Club , connect right hotel , not get well option term gym . can not say lot great thing place ( except gym way well hotel ) , lot bad thing either . 
 Sep 29 2009 	 wonderful 	 front desk friendly . Aida helpful informative . Breakfast delicious ! view ! & quot ; 
 Sep 29 2009 	 Giving smoking room deal breaker 	 stay hotel 2 night . plus side , room great NYC , spacious . high end , bad . not want hang room ... minus side -- 1 . despite request non - smoking room , get smoky room time . ask chance change get curt response , maybe be NY . smell terrible , could not sleep first night . leave window open 24 hour help next night ok , though noisy.2 . staff helpful friendly . soap room either day . argue take fake minibar charge bill . check take forever one person phone 20 minute , sort huge problem couple front . 
 Sep 23 2009 	 Service outstanding -- especially Alfiya Koval front desk 	 stay hotel several night almost every week past year . pleased hotel service give staff . would particularly mention Ms. Koval handle reservation solve problem might stay . often first person see check always professional pleasant . frequent business traveler , way treat hotel staff important . Alfiya Koval one good deal . exactly type representative every hotel strive staff position employee regularly interact guest . 
 Sep 21 2009 	 nice ! 	 nice hotel . we enjoy stay much . bed comfortable , ammenitie great , service great . great location . 
 Sep 16 2009 	 overprice great location 	 girlfriend & amp ; feel hotel overprice actually . expect suite like find hotel like middle road hotel room . living area separate bedroom tv 's room basic double bed tiny . bathroom basic also . on plus side get free buffet breakfast every morning free drink every evening 1730 - 1930 . location bit way near ground zero good want escape hustle & amp ; bustle NYC . Chambers St Subway 7 miute walk away handy get around . overall impressed hotel mainly positive review feel kind . know NY pricey hotel ' m sure must well price ! 
 Sep 14 2009 	 good size room Embassy standard 	 Embassy nice size room great bed , otherwise meet standard other chain . upon check - in , problem reservation wait almost half hour resolve issue . , two day five day stay leave receipt door - check front desk think checking - not understand since solid confirmation . , check room , mold shower shower curtain . tired long day travel , wait next morning report . clean , poor housekeeping . , concierge rude . first night , make dinner reservation we . go ask simple question two day later , abrupt unwilling help . thing figure expect tip make reservation - plan tip end stay . needless , say seek help . , poor customer service . 
 Sep 9 2009 	 Nice hotel ... 	 nice hotel , good service , good breakfast . location great . daughter wake first night sleeper sofa many bite arm doctor think bedbug . hope bring home ! ther parking expensive internet free . 
 Sep 8 2009 	 Excellent Hotel 	 stay Emabssy Suites 7 night think anything negative say it . the suite spacious clean . the breakfast great selection choose also manager special 2 hour night free drink snack manage go busy explore New York . the hotel 10 minute walk Chamber Street subway buy 7 day ticket 27 dollar excellent value travel subway it . I use hotel return New york visit . plenty eat place surround hotel also nearby do not let town location put 10 minute tube Times Square 
 Sep 7 2009 	 Awesome 	 hotel locate next Hudson River block Ground Zero . staff extremely courteous . breakfast good , crowd . one negative mini - bar refrigerator . use keep infant 's milk cold charge time open refrigerator door . charge remove without hassle . negative charge accessing internet room . use internet printer free business center . 
 Sep 7 2009 	 Loved ! 	 stay labor day weekend kid low Manhatten / Statue Liberty . love stay Embassy Suites . go New York twice year stay numerous area far favorite hotel price . find location wonderful . could walk great restaurant tribeca 10 minute . beautiful 20 min walk Castle Clinton ( Statue Liberty ) via esplanade . walk fabulous beautiful view . right across hotel Irish Hunger Memorial ... true gem . walk Chinatown 25 minute . pluses- suite NYC huge inexpensive , free make order breakfast free cocktail great perk . room clean bed comfortable . no close midtown , take cab subway enjoy away craziness end day . 
 Sep 7 2009 	 stay away river - side room ! 	 come back great trip NYC . stay 3 night Embassy Suites request room view river . preferred room 2 dble bed since kid , available interior hotel . got nice size suite king pull - out couch . view wonderful , noise awful ! 6 am bus , taxis construction truck honk horn ( despite no - honking law ) ; ferry boat blast horn startling awake . unless really want view , opt quieter room . hot breakfast great , evening reception . concierge helpful direction . couple good restaurant outdoor seating overlook river building across street . 
 Sep 1 2009 	 would stay ! 	 stay Embassy Suites early month great time . room excellent facility within . special thank front desk staff , especially Erika help every one mine wife 's query . next time New York , will definitely stay . 
 Aug 31 2009 	 Rave - Magdalena 	 know appreciate customer take time send note service well do employee , call feedback rave . well want know average approximately three visit month Embassy Suites Hotel 102 North end Avenue NYC past year . visit hotel past eight year . must say service past year never well . reason due attentive guest service agent staff . particular , Magdalena go beyond ensure feel like come place patronage appreciate . make feel like home away home , must say unique compare hotel . show cheer well sum , saying & quot ; sometimes want go , always know name always glad come & quot ; . Embassy Suites always hotel choice , job well do . 
 Aug 27 2009 	 could ask ? 	 recently stay Embassy Suites hotel NYC husband child , check - in check - out everything in - between love every part stay . two room book two - double bed , since hotel sell connect room availabe ask Magda front desk could upgrade we waterfront suit next . smile face check inventory wish grant , awesome start vacation . Magda inform we hotel facility , complimentary breakfast important thing - happy hour . francisco help we luggage , lovely gentelman , get room stun amazing view service receive far . suitekeeper , think name Barbra nice accomodate well , get us extras need room . unfortunately lot sightseeing time we go back home : ( definitely stay Embassy Suites NYC next NYC trip . 
 Aug 27 2009 	 terrific hotel ! 	 wonderful hotel ! stay Aug 7 - 9 . offer we early check - in ( get noon ) third floor room , could wait room view ready . take early check . bit surprised even offer we view room book Expedia pay pre - pay rate $ 137 / not . hotel appear fresh clean – hallway stairway recently paint . room nice size , clean bed comfortable . unlike Embassy Suites refrigerator room , however room one tell could one upon request . hallway stairway recently paint . breakfast good , plenty hot cold choice – enjoy chocolate chip pancake . lot table available , breakfast room right outside atrium . breakfast 8 am Sat , 9 am Sun walk atrium 10 am always table available . manager ' reception busy bartender friendly efficient . staff , ( front desk , breakfast room , houseclean ) polite , friendly perform job diligently . front desk staff ready answer question . hear give advice subway , direction , tourist site , etc . provide brochure . despite 10 min walk subway , think hotel great location . across street hotel Rockefeller Park . wonderful playground , head north ' find Tom Otterness sculpture . head south pass World Financial Center . go back entrance hotel , turn right walk ½ block World Financial Center / Winter Garden . drug store , retail shopping several restaurant ( check www.worldfinancial center.com see list store / restaurant ) . two restaurant outside dining along Hudson Battery Park City Esplandade . esplanade tree line walk along Hudson – beautiful . plenty people around Esplanade night well . really nice sit watch water busy day sightseeing . another good website check www.downtownny.com . order free map downtown area , get brochure restaurant area . Stone St. nearby cobblestoned street lot restaurant . we really enjoy stay definitely back ! 
 Aug 27 2009 	 hotel real deal - 	 hotel - great service , location , great room amazing staff . receive kind professional service time book room time check . Cheryl , Jessica , Keri , Denise Magda accommodate personnel ever encounter travel . everyone bell captain bartender housekeeping accommodate . would highly recommend hotel great stay Big Apple especially want little room breathe away congest area city . 
 Aug 26 2009 	 Great Hotel great service great location ! 	 hotel offer expect ! full breakfast every morning include rate plus complimentary drink per night , plus . movie theater connect hotel , plenty restaurant connect hotel , include chevy 's ( mexican ) . 5 dollar cab ride china town . could see statue liberty room , entrance ferry right across street ! room spacious , seperate living room bedroom . staff helpful . special thank Armando Morris help facilitate trip airport . get private car airport Ken ( Hicksville Limousine ) service 40 $ LGA airport ! overall great hotel , continue recommend hotel ! 
 Aug 24 2009 	 great room great service great hotel ! 	 friend town decide spend night NYC . book room Embassy Suites downtown NYC . start finish , truly enjoy stay . person front desk name Jessica , friendly & amp ; helpful ; inform we happy hour afternoon continental breakfast morning unaware . impressed event food breakfast great . awesome omelet ! room big cozy . hotel great condition keep clean . also great location downtown ( minute walk PATH train ) . would definitely recommend hotel anyone look stay NYC certainly stay . 
 Aug 24 2009 	 good value NYC 	 live Long Island want place stay couple night avoid commute . Embassy Suites offer great weekend deal $ 179 night ( AAA discount ) . include breakfast make easy family . breakfast area little small go little early not want wait table . location well visit midtown Central Park area museum , great value easily compensate additional subway ride . walk Chinatown . long walk , bad . complimentary happy hour great make back time . sure stay . parking $ 60 / night take train . plus , place recently refurnish . sleeper sofa actually firm comfortable ! son grateful . 
 Aug 22 2009 	 great location great value 	 live hour away Central NJ , need place stay city night decide go day . rate comparable hotel vicinity , other standard size room - two room suite , breakfast include . location extremely convenient - walk distance PATH / subway , stone 's throw World Financial Center ferry . walk front door be middle everything . walk back be megaplex movie theatre ( not even go outside ) .We city early take chance maybe could check - in early ... 12:30 . even flinch desk clerk - suite 10 minute later able enjoy rest day . run NYC 1/2 Marathon Sunday ( finish line Battery Park - walk distance ) , afterwards look forward shower , breakfast unwind . upon return ask possible late check - out . , even flinch offer 1pm check - out . we problem honor bar ( look like prior folk go town not want get charge ) . mention desk , shortly someone came take care everything give we something trouble ( not even trouble we first place ) . housekeeping staff extremely friendly - greet we pass hallway . 
 Aug 21 2009 	 great good service 	 fantastic hotel location good . around corner ground zero & amp ; centry21 small walk subway . love free happy hour room extra clean.we back & gt ; 
 Aug 21 2009 	 Excellent 	 choose hotel rating find online . Embassy Suites Hotel New York City lot plus : comfortable , clean room ( get upgrade King suite ! ) , really accomodate front end help good breakfast . the staff cordial super accommodating , one bellman particular ( name Morris ) go way find we cab take we woodbury mall recommend really fun place chelsea NYC . also make sure , check , get we cab quickly catch flight back home time . enjoy stay would definitely go back recommend friend . hotel really people work . friendly accomodate request stump . 
 Aug 20 2009 	 Downtown New York ? stay ! 	 hotel nice location . right across World Financial Center one side magnificent view Hudson River . free breakfast everyday also , call " Manager ' Reception " every afternoon , favorite cocktail . without doubt , highlight hotel high - quality staff . room service housekeeper , check - in staff , five star personnel . check hotel , recommend wait line Keni available . make sure feel home , good , understand guest … definitively get room fit need . close elevator , gym , low floor , quiet ? make sure happen . cook - to - order breakfast fantastic … feel like omelet anything possible inside , stay hotel … main train line within walking distance , path NJ Train also close … feel like take ferry NJ , cross street . probably good hotel downtown area , one best NYC . maybe close Time Square , want get hotel bump million people ? 
 Aug 19 2009 	 bad hotel management outside construction ruin brand - new room good location 	 6 - day stay three suite 4 teenagershotel locate construction zone , unfinished . room big new matresse softProblem # 1 : blood wall room , manager come verify , tell we clean next day send wine cheese apologize , thing happen clean next day although think manager could done night kleenex . problem # 2 : nobody pick dirty dish room service hallway , despite two phone call pick do , old plate rib stay 24h . tonite garbage bag bag dirty sheet lie floor front room come back 6 pm . call take away . problem # 3 : third day 6 electronic key stop work , take twenty minute get new one ( elevator crowd interview marathon law student hotel bell boy say service elevator work , line front desk person tell must change something reservation apology even smile ) problem # 4 : construction noisy side : wall tremble ( room 1003,4,5 ) problem # 5 : staff train properly : breakfast room ( go early get quiet moment ) busboy yell across room converse , throw mug bin without care noise ; front desk greet manage quite inefficiently , maid deposit card 11 am say call get room do ( obviously late sleeper convenient ) , nobody say hello ( one exception greeter breakfast room lovely job care ) STAFF attentive EAGER please guest . 
 Aug 19 2009 	 like animal bed bug ... 	 ' ve stay many Embassy Suites US business hotel far bad . second time here - the first time April family - the kid find mouse sleeper sofa . time come business ( client locate actross street ) bite bed bug foot leg . contact front desk clerk try convince mosquito . never stay 
 Aug 18 2009 	 Great Hotel 	 hotel great place stay . location away congestion nyc however locate close enough subway make easy get . walkto subway 4 block . however view Hudson river beautiful . nice able come back tranquil set busy day amongst crowd . right ground zero . make sure visit visitor center firehouse right Liberty . emotional . room large clean . staff helpful . mixed review concierge . one night arrive extremely helpful . arrange ticket see Mary Poppins evening . great show . however one day concierge time send 22 year old daughter ask good italian restuarant ... ignore boyfriend , allow old customer go ahead . dismiss question . know true standing right hear whole thing . rude . breakfast great . would definitely go back ther . 
 Aug 18 2009 	 positive choice 	 select base tripadvisor member review . reality match review . good choice . good size room . Bathroom separate convenient also sleep sofa bed : allow privacy . restaurant across street financial center ( hotel ) . breakfast cocktail available . cocktail : finger food ( chip ... ) drink . riverside park across street hotel pleasant . also ferry go NJ front hotel ( allow also access statue liberty tour manhattan tour book day ) . ground zero next block . Brooklyn brigde South Seaport walking distance , liberty tour . great location set NY visit . .The suite side lobby window light traffic people use sofa bed . could awake passage atrium noise around breakfast time . problem we walk early . use cook room ( microwave ) deliver plate use . , convenient , much hotel experience NY previous time . we move central park location site 2 day 
 Aug 13 2009 	 love hotel perfect stay ! 	 hotel wonderful . room clean large party 4 . clean lady great check we make sure evertything need . would recommend hotel everyone . 
 Aug 13 2009 	 great service 	 arrive early morning 5 day Vegas , front office good , hotel sell night room we . give we access breakfast room time finish room ready we . we happy since check time 4 pm . room clean large compare NYC hotel . defiantly come back next year . 
 Aug 12 2009 	 Nice Hotel Financial District 	 return 5 nite stay Embassy Suites Uptown Manhattan . nice location home base see Statue Liberty , Coney Island etc ... subway 15 minute walk get anywhere else would like go . pro ... nice cooked order breakfast , manager reception good drink snack , directly across street Battery City lovely view Hudson River , many park playground close , safe neighborhood . con ... $ 60 . day park car privlige , area surround hotel heavy construction , perticular Embassy not mini refrigerator room ( call request one deliver set ) nice hotel money NYC . would stay maybe wait construction Freedom Tower complete . the staff helpful hotel concierge staff great source info really know city well . also 5 restaurant right hotel drug store right across street . 
 Aug 11 2009 	 great hotel 	 extremely nice hotel . chic , great location- close downtown attraction ( empire state , battery park , NYU , Little Italy etc ) .come free breakfast cocktail hour ! ! ! total DEAL ! ! love back . 
