great 	 arrive Hotel early afternoon decide move previously book Hotel . staff great find we room 19th Floor view Nob Hill partly Bay . rate good value include Executive Lounge access 2 day . the public area ground floor large well furnished . our room King large certainly adequate , view mention quite good downtown San Francisco . room well furnish , almost new , clean smallish bathroom . suffer somewhat noise room , bathroom anything go bedroom . the whole Hotel seem well adapt 4 star accomodation . every member Staff come across warm helpful , Bar Staff , Door Staff Reception Staff . the Hotel 5 min walk Union Square , one block away corner Powell Street , therefore easy access Cable Cars . could walk Market Street Trolley bus 15 min easy . never use Bart say far be . we dinner Hotel , try breakfast Executive lounge find Lori 's Diner opposite side Powell Street preferred choice . I know not pay Exec Lounge , probably good job , stay many similar Hotels Marriott chain chain , find Executive lounge poor value . open breakfast evening , yes get access computer internet free ( internet otherwise quite expensive ) , breakfast complimentry wonderful selection available , evening snack small size small quantity yes could free soft drink coffee glass wine come cost $ 8 per glass . we use bar evening , quite unusually , seem relax great attentive staff . there parking valet parking available hotel not use , not know cost . overall , excellant , 4 star accommodation good rate close popular part San Francisco . to get airport end stay , private limo hire ( Town Car , call ) $ 38 plus tip . take 30 min . 
 Oct 11 2009 	 convenient location close shopping . 	 16 year old daughter , friend friend mom decide short , one night trip San Francisco . stay able get family rate due friend son work affiliate hotel . room normally go $ 250 , might stay . , nice hotel great location . walk China Town Westfield Mall . close bus trolley car . room typical Marriott , spacious comfy bed . always count Marriott consistancy ! get good info direction front desk . many hotel think would less expensive area , , always count Marriott good . 
 Oct 10 2009 	 nice hotel excellent service . 	 service good feature Marriott Union Square . check ( early ) , ask quiet room move & quot ; interior & quot ; room . end alcove end hall , overlook adjacent rooftop . even , view fine . importantly , quiet . hear almost hall noise street noise hear tv adjacent room . quite impressive center - city location . I also get excellent recommendation quick lunch sushi dinner within short walk . BART also easy walk . location not especially unique -- many downtown hotel downtown sf.i impressed desk staff help another guest check . woman behind desk patient calm guest stress . within time take print boarding pass , solve problem guest delight . cleanliness excellent throughout . also , room many modern amenity , include panel connect electronic wide screen tv , lot convenient outlet recharge , mp3 - ready clock radio , ethernet cable ready desk ( in - room wireless ) . like hotel category , modest fee internet connectivity . kudo dual flush toilet . the hotel not & quot ; perfect & quot ; , solid . imperfection : could not find pool , bid deal . young daughter would probably bore , solid business hotel , probably 10 minute walk convention center . starbuck hotel , one across street one every block around SF , not problem get caffeine morning . 
 oct 9 2009 	 Divine weekend ! 	 great location ! near cable car , shopping , BART , restaurant , Union Square ! ! ! large busy hotel , exceed expectation ! concierge desk always busy several people duty accommodate . plus knowledgeable pleasant ! room spacious , though view minimal . room service thorough quick flexible . , perfect location hotel wonderful weekend San Francisco ! 
 Oct 8 2009 	 great location average hotel ... 	 love Marriott Hotels love stay city . ' ve stay numerous Marriott Hotels , include one Europe . decide book hotel ( Marriott Hotel Fourth St ) 2 night celebrate birthday family . hear recently renovate excited celebrate . location ideal , room letdown . guess expect much . pretty basic room really can not say much bathroom . plan stay city , definitely will not choose Marriott . 
 Oct 8 2009 	 Great Location money 	 great location Union Square shopping , restaurant , Chinatown , cable car stop - park car not use two day ! room spacious comfortable . got great rate location ! 
 oct 4 2009 	 great location nice room . 	 nice hotel great location . one block shopping district , block Whole Foods , close walk distance chinatown major museum gallery less block streetcar Fisherman 's Wharf . public transportation system great subway block away well always ton cab wait outside hotel need . fall love San Francisco , room Marriot , cheap , great view one comfortable bed ' ve ever sleep away home . feather bed comforter pillow . fitness centre well - equip recommend hotel want clean comfortable stay heart city . 
 oct 2 2009 	 renovation make difference meeting space 	 great hotel attend conference Moscone West . nicely locate , several restaurant bar nearby , shopping block away . stay 2005 , meet space second third floor maze - like . new renovation open area , room much much easy locate . stay 10 day , fortunate enough get large corner room . need consider number delivery conference ! room spacious clean , housekeep nice job . however , shipping / receiving & quot ; lost & quot ; several package , include perishable good . I host two meeting hotel staff fantastic work . 
 Sep 30 2009 	 Excellent every respect 	 stay one night business , thoroughly enjoy Marriott . other mention , location convenient great shopping , restaurant , sight - see , public transportation . BART easy three block away , cable car one block away . Marriott re - design hotel well do ; loung lobby area quite stylish without stuffy . service good . exercise facility good , fair amount space , lot treadmill , free weight , weight machine . eat breakfast restaurant . overall , hotel work well business , shopper , tourist . highly recommend ! 
 Sep 18 2009 	 great location sightseeing 	 opt location Marriott 's due able get corner ' junior suite ' good price Labor Day weekend . room well worth , give we view Powell St. cable car line well way Bay . from understand , hotel recently acquire Marriott completely renovate . new feel not wear yet . decor hip without feel trendy . downstair lounge seem active though never spend time there . the hotel 's location provide 20 minute walk Ferry Building waterfront 25 minute walk & amp ; Park - home Giants . also catch Powell St. cable car outside front door walk couple block BART station exploration . be also short ( uphill ) walk Nob Hill Chinatown . , ideal sightseeing . the room service live ' ve come expect ' big city ' Marriott 's . professional service check - in check - out . room clean comfortable . plenty amenity . 
 Sep 13 2009 	 overall nice hotel . location great . 	 stay 4 night get nice new room high floor . room adequately equip , clean . bathroom . bed equally comfortable . say another traveller , room lack safe deposit box fridge . bother noise whatsoever . say , hotel appear fairly empty . overall , service average , really care except breakfast . breakfast , average well - good omelet though . fitness room nice well equip . great asset hotel certainly location , right center Union Square close anything one would need - cable car , shop , bus etc . 
 Sep 1 2009 	 perfect location 	 stay 2 night month highly recommend . perfect location transport - use BART airport get short walk station . door staff bell boy excellent , desk staff could bit personable attentive - try use airport check - in terminal next front desk , clearly struggle , man desk busy phone arrange weekend girlfreind book flight help we ! room perfect - corner family room 18th floor window 2 side overlook Macey 's Sutter Street - fab ! downside bar WAY expensive - $ 9 Gin Tonic ! ! ! every guest load money ! MInd , street opposite Union Square GREAT bar - look seedy outside , excellent inside call Gold Dust Lounge . we get 3 dat MUNI pass use many time get city . car parking charge , really not need car - drop hire car back go city - not miss . 
 Aug 31 2009 	 nice hotel 	 stay Mariott Union Square Mid - August quite happy choice . clean , big room , comfortable bed , nice interior , friendly personell . location quite middle everything . cablecar stop right edge hotel buidle , Mall Downtown short walk away Chinatown begin right 2 block behind hotel . would advise parking nearby garage , much cheap valet hotel , especially Sundays . 
 Aug 28 2009 	 great location 	 Marriott one important reason - always know be go get . exception . nice hotel , nice room . bathroom stupidly tiny full length mirror room , excellent . great location , strongly recommend Union Square . lot bar restaurant around area . good luck get cable car , buy three day pass successfully board , constantly pack . catch bus time . mostly walk everywhere . beautiful city . Pacific Heights gorgeous . cow Harbour divine , love . hate Fishermans Wharf , be full cheap cr * p , total waste space . hated . Alcatraz excellent . Lombard street charming , well worth hike one mother hill . lose weight SF ! walk North Beach Union Square , Chinatown , get really good view city . go Vesuvio bar next Citylights bar , 's Jack Kerouac ' beat generation ' name use hang apparently - good time ! eat good restaurant , can not remember name , be recommend Lonely Planet . 
 Aug 26 2009 	 close perfect place stay imagine ! 	 amazing location heart San Francisco , central everything ! room impeccable : clean , quiet , elegant , comfortable bed , high end linen towel ... definitely 3 star experience . staff attentive , generous , everyone seem enjoy job . ( seem sense pride excitement , perhaps due recent remake Marriott . ) happen upon amazing AAA rate online browse hotel , make extra request ( could not guarantee ) like early check - in , extra pillow ... meet ! thing would like refrig / microwave ( standard hotel ) . use well - equip -maintained fitness center guest laundry , eat restaurant bar area . decor throughout hotel beautiful -- bold vibrant color , modern design -- though understate ( mention & quot ; elegant & quot ; ? ! ) 
 Aug 17 2009 	 allow call Marriott Hotel 	 bad Marriott Hotel stay . plumbing hear night - sound like neighbor ' bathroom next pillow . valet pull keep circle block could pull , quickly unload bag , husband went look parking - easy SF / Union Square . guarantee top floor try put low floor - win battle . topper call Marriott help transfer customer service center close ! ! really market Motel 6 - without price benefit . 
 Jul 30 2009 	 great property 	 stay Marriott Union Square 4 day . property newly renovate . lobby nice , modern spacious . room beautiful , large , completely renovate . pay junior suite access conceirge lounge , basically full servie breakfast . fitness room large new equipment . location ( many note ) can not beat : one block Union Sq ; Cable car stop corner , short walk Chinatown . stay return San Francisco . 
 Jul 22 2009 	 Excellent location 	 hotel perfect four day stay San Francisco . central location make convenient trolley excellent shopping Union Square . able walk catch public transit Chinatown well tourist cultural site city include Fisherman 's Wharf . concierge helpful . 
 Jul 14 2009 	 might new favorite SF Marriott ... 	 someone travel SF maybe four time year , ' ve become quite content stay Marriott property 55 Fourth Street , full - service Marriott . 's easy get BART close everything . kick , decide stay newly - convert Union Square Marriott Powell ( know , hill get REALLY steep ) . loved . got great room ( 2801 ) , one , ' m tell , six hotel sweeping view Coit Towers , bay really large room separate living room , bedroom bathroom 's two room ( big shower , vanity toilet bath / shower ) . concierge lounge huge view side look toward Union Square downtown . wine / beer lobby opt eat elsewhere ( , be SF ! ) . unsure parking , not need drive city anyway . close everything , Starbucks across street . would stay heartbeat . 
 Jul 6 2009 	 enjoy stay 	 customer service excellent , except front desk , front desk could little friendly / helpful . doormen excellent , truly good customer service . rest staff excellent . room nice , comfortable bed . restaurant great , good food great service , good price . great location . negative ? cost parking ! $ 50.00 per night ! know parking S.F . valuable , $ 50 per night seem bit extreme . wish hotel pool . enjoy stay , go back ! 
 Jun 30 2009 	 clean modern hotel unbeatable location 	 stay couple night room nice new . 28th floor well insulate cable car sound gay parade street . easily walk everything location , not need car . negative : room need fridge safe , concierge - level happy hour charge ridiculous price beer . 
 Jun 27 2009 	 Good Location Ok Value Thin Walls 	 stay Hotel 480 , Marriott Union Square , two occasion , room update . times business ( conference Moscone Center ) , special conference rate considerable deal good available internet rate . renovation take care issue previous stay , specifically room update everything beautiful good working order . also like fact property non - smoking , previous room little smoky , even though non - smoking room non - smoking floor . , respect ' much improve . I always find room spacious sunny . previous stay two double bed room extremely spacious , especially San Francisco . two people travel together would comfortable room . ' also conveniently locate near public transportation . Powell BART station four block south . always schlep luggage station , little tricky give crowd Union Square . , folk bulkier baggage may wish catch cab . , however super easy , fast cheap take BART SFO . unfortunately find wall thin subsequently room second stay noisy . loud door / drawer slamming / bang go first night second stay awaken early morning . call front desk put stop , still significant noise transfer less degree throughout stay . give , would inclined try another hotel next time . 
 Jun 21 2009 	 great location great service 	 stay hotel mainly location deal get room . nice locate directly cable car route . service employee nice courteous . room nice cozy . room small side . make good use space could bit big price . bed room one comfortable hotel . negative hotel . hotel bar remodel . time want go drink could bar close . second problem bathroom small . way two people could get ready go bathroom time . last complaint internet free . cost stay hotel class would like free internet . think internet around $ 12.00 day little high . 
 Jun 11 2009 	 Great Hotel 	 Amount money pay service receive satisfied . 
 Jun 8 2009 	 Excellent Hotel Excellent Location Excellent Value 	 stay five night end May . hotel brand Marriott operate full power yet . bar lounge area still renovate view hard push complete end June expert . check staff find efficient pleasant enough concierge always keen assist . room renovate like reviewer find bathroom basic side Marriott . not use restaurant expensive budget plenty place eat within minute hotel . location excellent . arrive San Francisco Airport via BART ; get Powell Street 's straight 10 minute walk corner Sutter Street hotel . starbuck one corner , Walgreens another diner . also minute away main attraction around Union Square . overall excellent hotel offer good standard money . bar lounge area complete improve still far . this fourth trip San Francisco would certainly stay Marriott Union Square . first time city hotel would fit bill . 
 may 25 2009 	 improve renovation complete June 	 know review lobby undergo renovation , business center bar comfortable lounging area . none highlight hotel book Marriott . select hotel location - perfect get almost anywhere via cable car , BART , bus walk Marriott property . originally book Stanford Court Nob Hill need cancel due knee injury ( much climb bum knee ) . Desk staff bell man pleasant helpful . avoid concierge previous review , well floor 6 8 ( noisy ) . husband use fitness center find adequate . guest room newly update bit sterile , unpleasant . comment size bathroom right . small bath since Paris think . think price reasonable downtown SF , probably renovation . Walgreen be across street provide snack & amp ; essential - clearly gear foreign tourist . 
 May 23 2009 	 newly renovate room common area 	 nice , newly renovate hotel style renovation similar Marriott Renaissance Hotel Brand . excellent front desk housekeeping service . great location north Union Square Powell , right cable car line . bathroom bit small , well appoint . 
 May 20 2009 	 Location location location 	 AWESOME location someone visit first time ! pick hotel base review trip advisor extremely satisfied . within walking distance everywhere want go ( like walk ) . first visit San Francisco , not rent CAR . need . also recommend take guide bus tour first day decide want go back spend time . LOVED shop Chinatown ! be already plan return trip November 5 night enough we . see lot comment front desk say personally , neither impressed disappointed . gentleman Bell Desk helpful ! 
 May 16 2009 	 Excellent Location 	 stay 4 night end April . room lovely clean situated 23rd floor , view shop Union Square . excellent location get around San Francisco . close Chinatown lot nearby restaurant . cable car line pass stop across road corner Powell Sutter . the staff front desk bellmen friendly helpful . conceirge also give good advice regard transport area . two gripe , personal safe room , ( although safety deposit box available downstair , however bit inconvenience ) . plus not bar hotel time stay . believe rectify sometime June notice post hotel correct . if not wish breakfast Marriott Lori 's Diner opposite corner good place breakfast ( prepare queue , busy ) . also starbuck right opposite . overall nice hotel good location . 
 may 14 2009 	 excellent location unfriendly Concierge 	 agree another review write lady Concierge quite unpleasant . not rude review describe , easily imagine like that . the & quot ; key & quot ; uniform le Clef d'Or . ( Golden Key ) Concierge would go several training obtain staff wear , well good ! Les Clefs d'Or USA website state : & quot ; cross gold key member ’ lapel international symbol organization assurance deal experience concierge dedicated provide high quality service . member , extensive networking , able provide ultimate service guest . Les Clefs ' concierge continually educate daily encounter experience home city country . concierge broaden enhance knowledge , understand contact worldwide , effort provide good possible service guest provide add value hotel . & quot ; concierge lady anything describe . ask pet shop location San Francisco , googling , told & quot ; be 1 & quot ; . one ? ! whole San Francisco ? ? ( early go Front Desk question concierge , Front Desk tell bit search none ! ) go one pet shop give , ask shop SF not many pet store tell lot ! go Concierge lady information , googling , phone rang pick . still midst help , instead tell guest call right back , keep talk guest , turn computer screen , point info . goodness , professionalism ..... maybe write GM inform poor service . I use hoteli major 5 star hotel chain , say attitude Concierge unacceptable . the bellstaff probably helpful pleasant 5 night stay . the location however excellent step away Union Square . although hotel give feel simple holiday Inn kind hotel ( word , luxurious ) , newly renovate thus clean . bathroom tiny least be new . strange provide soap , soap dish though . housekeeping good , change bathtowel sheet , clearly vacuum clean bathroom floor 6 day , dust start pile corner . one glance looks clean , thoroughly . stay newly renovate , easily imagine hotel start wear year time . 
 May 13 2009 	 Superior Full - Service Marriott ... 	 return 3 - night stay . pleasant , low - key , quiet , boutique - like . ROOM : new spiffy , & quot ; Compact & quot ; bathroom not bother . glare omission : SAFE brand - new Marriott : unforgivable unbelievable . flat - panel tv analog signal ; not make internet connection dial - up go along fuzzy tv picture . way , HBO , STARZ , turn FOX Business Channel . note management : give we real coffee mug instead WASTEFUL paper cup room ! concierge lounge : nice , roomy , high quality food limit selection consistent recent downgrade across country . Closed Saturday , reopen Sunday late afternoon . gym : new Life Fitness treadmill ( 6 ) , strider ( 3 ) , bike ( 3 ) ; tv 's . water fountain ( instead current dispenser ) would save throwaway cup . not Californians suppose environmentally - aware ? location : probably good feature . close tourist trap ( cable car , shopping , Chinatown ) 
 Apr 29 2009 	 Rude Concierge Lack luster staff 	 ok , two bad thing hotel Front Desk Staff Concierge . first experience set tone stay . check ask series question front desk woman rehearse personality . check room ( six Floor ) immediately lay take nap . within thirty minute hear noise think bowling alley . come find , Fitness Center . get back go stair think stop night not problem fall asleep . go concierge see could go bite eat . go old lady grey / blond hair wear name badge sitting concierge desk . came ask & quot ; concierge ? & quot ; . reply snip say & quot ; well sit right ? & quot ; give odd look like & quot ; could ask silly question ? & quot ; . say want find place dinner , reply even bad first one , & quot ; maybe try restaurant ... & quot ; . well decide give one shot ask specific question , & quot ; see map San Francisco US Mint . know open tour gift shop ? & quot ; roll eye give look like & quot ; stupid ? & quot ; said & quot ; Noooo , not tour ... & quot ; . point walk away not even give common courtesy say good bye . see woman sit desk two key lapel pin stay clear . plain rude ! final straw , get back room around 9 pm . go stair get ready bed go sleep . 1 pm start hear noise . come find , fitness room open 24 hour around clock . call front desk say fitness room open 24 could not anything . ask moved say full . finally get sleep around 2:00am . 5:30am noise start again . I never stay HOTEL ever ! 
 Apr 22 2009 	 stay clear room 821 ( room 6th 	 POOR PLANNING ! stay Room 821 right fitness room . say one thing & quot ; FREE WEIGHTS & quot ; ! fitness room open 24hrs time hear free weight bang floor echo vibrate floor friend room seventh floor . regard comfort people wake sound sleep 4 am morning . call front desk clue . 
 Apr 21 2009 	 Relaxing Stay 	 arrive Friday evening , give car valet , begin fantastic weekend . ask front desk clerk , Andres , room face Coit Tower reward wonderful corner room 19th floor view Bay Powell Street hill could see cable car go . hotel small , bar would wonderful asset , hey , great bar restaurant within step hotel corner Powell Sutter . real minus small bathroom little counter space toiletry , make work . service superb overall . Hotel newly renovate room clean well appoint . ask late check Sunday morning give 2 P.M. able go Ferry Building wonderful breakfast shopping indoor Ferry Building marketplace . 
 Apr 7 2009 	 First Review complete Renovation- Excellent Choice 	 HOTEL REVIEW # 170 Marriott Union SquareMY TRAVEL STYLE : possible , try stay away business hotel strongly prefer resort resemble four Seasons , Aman , Oberoi try find similar property low cost . seek " wow " experience encourage view hotel stay respective review ( click name ) .LOCATION : excellent . block shop Union Square nightlife Geary street . type ROOM : Standard Room . BED / SHEETS / pillow : excellent bed , high quality linen , perfect pillow . lighting : good lighting bedroom bathroom . BATHROOM / SHOWER : downside room . bathroom tiny barely room put toiletry bag . good job space small . shower good water pressure make consistently hot desire . toiletry : Bed & amp ; bath product … . good . cleanliness : hotel 3 day old clean . a / c : ' usecloset space : average size , may small 2 people unpack item . STYLE ROOM : comfortable room nice style . common area : lobby small really place hang . look like hip boutique hotel oppose Marriott . QUIET / MORNING light : room exceptionally quiet could hear loud car go occasionally . definitely worth get high floor less street noise . food : room service food quality mediocre . tv / INTERNET : tv many channel . internet available $ 12.95service : staff nice . one person send wrong direction make late meeting city . summary : definitely one good Marriott experience since brand new , look less like Marriott like boutique hotel . also stay W Monaco , top choice $ 200 hotel range . ok tiny bathroom , highly recommend hotel . 
 Apr 3 2009 	 great Room Friendly Service Fantastic Location 	 stay 7 night February - reception friendly offer choice room . room large comfortable , daily service leave immaculate . lobby area still renovation , may price good . hotel location outstanding want downtown ( one block Union Square ) tram line easy get around . tram line add little noise room lower , room well insulate sound , not problem . stay room less $ 100 U.S. night ... hard beat . use restaurant , good breakfast place nearby , want eat hotel city many good restaurant ? 
 Mar 28 2009 	 change Marriott April 1 2009- need fine tuning 	 stay 9 night Hotel 480 . first important thing know lobby front door area construction . big deal spend 30 second area day . construction get great deal , ( 94.00 per night - expedia ) . construction work do day , people proplem unless late sleeper . the room nice , appear almost new carpet , furniture fixture . room two proplem . first even though 19th floor window curtain floor ceiling window bathroom . big deal worker / window washer come ( , mad dash become fully dressed ) . really hotel sort curtain cover , person good telescope another building could get good show . the issue old story chase hot water morning . thought hotel beat proplem . shower morning ongoing problem day . range cold hot , moment right throw . perhaps 19th floor bearing , so . the hotel work want attact business crowd , end story ! staff ok , great , bad , clean staff miss couple thing stay , spoken fix . we take advice another site ask corner unit upper floor , good advice regard traffic outside noise , ( downtown ) , corner unit give 2nd door close keep hallway noise invading room . ( weekend guest seem make noise ) proplem lock small hallway pried open , hardware frame miss , big deal fire want leave quickly ! ! , Marriiott big company sure fix issue . overall clean well appoint would stay . 
 Mar 27 2009 	 BEST value ever ! 	 base review husband book room another hotel stay previously . can not believe clean , stylish room room rate pay . still renovation go lobby exterior , probably reason low room rate . definitely well $ . hopefully roomrate still affordable next trip back SF . Walgreens , Diner Starbucks right across street . right cable car run . great staff service . 
 Mar 10 2009 	 Excellent Customer Service 	 stay hotel 25 - feb-2009 4 - mar-2009 would like highlight excellent customer service receive staff especially Diana ( front - desk ) , James ( bellman ) 2 concierge . we also reservation J W Marriott last minute base review site decide make reservation instead . yes , hotel still undergo renovation inconvenience . service , large room , comfortable bed location make it . I travel 73 - year - old mother worry beforehand far hotel shopping area end find short walk breeze make several trip back hotel day unload shopping bag . I also use fitness center everyday adequate . tv screen cardio machine make workout enjoyable . jonz 
 Mar 6 2009 	 Excellent Hotel great location brand new room friendlt staff 	 book hotel reading report . want centrally locate hotel reasonably price nice room view . get expect ! arrive Hotel 480 ten hour flight clean rather date lobby , concierge explane ' new ' lobby next door wrap would move next day , something happen stay . show room 21st floor . room good size , brand new , totally refurbish smell new carpet fresh plaster ! bed comfortable bathroom classy marble top new bath / shower wc . 32 ' flat screen tv 30 something channel include important weather channel . location . hotel 480 sit convienently corner Sutter Powell , cable car , ( like tram pull underground cable ) run right outside ! Union square ( 1 block ) Westfield shopping mall one way way Fishermans Wharf . also various bus run along Sutter Geary ( 1 block away ) . drug store opposite corner Loris Diner . negative due renovation bar restaurant close whilst relocate new lobby . room service time available Breakfast . we minor inconvience plenty place eat / drink within minute walk . also try gym new life fitness machine ! would highly recommend hotel . 
 Feb 25 2009 	 well still yet 	 stay Hotel 480 two year row 2 - day conference . renovation superb . room modern much comfortable 2008 visit . hotel also affordable . Cleanliness , however , seem forte . will spare detail , suffice say clean crew could much well job ( probably wear hair net ) ! 
 Feb 11 2009 	 Awful Customer Service 	 manager Chris nice . grant need make change reservation accommodation us fact book hotels.com instead reservation system make we go multiple loop hole two hour phone get resolve . unbelieveable . customer service ever . 
 Feb 8 2009 	 Loved 480 ! 	 read early review tell everyone dead 480 . 480 locate & quot ; 480 & quot ; Sutter Street . easy remember hotel name hotel hotel . bring family s.f . chinese New Year Parade festivity . 1 block parade course close festivity . like everything room . bed comfortable . nice , thick comfy bedspread 4 pillow bed . flat screen tv not really much time watch . nice alcove hold small coffee pot coffee / tea . headboard two reading light mention . color / decorate nice . bathroom light shower want disburb family member sleep shower . ( bathroom frost glass slide door concerned light might bright ) . unsure parking garage hotel end park another lot understand quite bit less expensive . run cleaning lady hall morning nice . bellman / doormen nice , friendly helpful . next time come back s.f . definetely stay 480 . time long one night . Kudos 480 nice job renovation friendly helpful service . 
 Jan 22 2009 	 Great room 	 book room two bed check - in none available upgrade we Jr. Suite sweet . room big & amp ; nice especially bathroom . hotel smell brand new problem exterior hotel undergo construction . hear construction ; great place plus be locate near Union Square . definately stay beware parking $ 46 per day however , parking garage right next cheap $ 30 . would recommend park instead . 
 Jan 19 2009 	 absolute gem ! favorite list . 	 first attract hotel price range ; hear SF expensive first time , happy find hotel $ 150 night ( actually get $ 110 / night ) .from minute arrive , could pick well hotel ! staff friendly . arrive 7:30 a.m. ( well , check ) Chris room within minute . room ! ! desk clerk seem friendly concierge , bell hop doormen AWESOME ! ! ! always warm greeting smile face ; accommodate helpful ! room AWESOME ! ! ! not good view , not horrible either- room 1203 . great 's little alcove entrance . room pretty big ( king bed ) immediately fall love color decor . bathroom tiny size , also liked decorate . water pressure perfect ! ! maybe even bite much faucet sink . toiletrie Bath & amp ; body work . love headboard bed -- two little reading light give enough light read , enough disturb person side bed . flat screen tvs room . nice sit area ( chair / ottoman ) near bay window room . LOCATION , LOCATION , LOCATION ! ! ! not think well spot entire city . less 100 ft Powell / Hyde trolley Starbuck 's one corner Walgreen 's . lot dining option direction walk outside . far renovation concern , thing notice front ( facade ) cover scaffold entrance hotel . never hear construction noise ( .. not room day ) . inconvenience troubled renovation -- can not wait go back do see be go look like ! small , sort important note : elevator quick ! never wait second . nice come back want go rest room . hotel wait 10 minute elevator . travel ( single female ) always feel safe hotel surround area . , great trolley stop basically right outside hotel entrance . travel tip go:1 . get go San Francisco card ! save $ 50 attractions- pay $ 79 3 day pass : Wine Country tour , bike bridge Sausalito , City Bus Tour , Wax Museum , Alcatraz tour . purchase online , advance.2 . grayline tour ( probably tour ) : definitely ask detailed description actual tour . take two Grayline tour ( GoCard ) neither one really match brochure description . City Bus tour Wine Country Tour.3 . tell miss go Scoma 's Boudin 's lunch / dinner . place ok , worth $ $ . Fish Chips Scoma 's ( Sausalito ) - $ 24- way overprice nothing special . fair Boudin 's , chowder ; Jumbo Shrimp Chips ( $ 24.95 ) - shrimp tasty , worth money . 4 . get pass trolley , MUNI , cable car system -- convenient instead carry around change and/or money fare . 3 day pass ( buy Walgreen 's ) $ 18 . 5 . look Real World San Francisco house , be 953 Lombard ( crooked section -- 's Leavenworth Jones .. 's steep walk back hyde- crooked street begin ! ) , wait go back stay Hotel 480 . seem like lot return customer . time spend 5 minute lobby ( wait shuttle / tour bus ) , people constantly say hi employee use first name . remind bit cheers- everyone know other name . nothing amazing experience Hotel 480 highly recommend ! ( definitely check discount hotel sites- hotels.com , travelocity , etc . reasonable rate -- happy get $ 110 night , feel 's worth least $ 200- $ 250 ! ) 
