Marriott 	 get back hotel . disappointment . Website represent 5 star hotel , claim robe slipper room , turn service daily newspaper . none prove true . website feature hotel look contemporary well keep . room assign small ( web say spacious ) need renovation . carpet almost bare , wallpaper dirty wood work bang . bathroom small door could even open wide would hit toilet 1/2 open . service spotty . several time come back room still dirty glass replace . we charge 3 pound print boarding pass . never hear ! good thing hotel location fabulous . neighborhod great walk around . one friend employee Marriott subsidiary . ask pay upgrade partner celebrate birthday . tell hotel room available - right ! not even offer complimentary breakfast . glad not work Marriott chain ! not go unless not intend spend time room . 
 great reliable hotel experience . 	 travel often business enjoy Marriott London Grosvenor Square . hotel comfortable nearly standard amenity . hotel gym small pool surround area safe outdoor cardio easy . hotel also convenient lot restaurant , shopping , tube ' m work . criticism wireless internet connection flaky hotel restaurant / bar easily accessible . want get drink nosh hotel bar long day , likely find pub restaurant ( Maize ) book , even bar stool . 
 Sep 5 2009 	 fabulous location 	 stay long weekend July really enjoy experience . book room overlook Grosvenor Square , truly pleasure look window every day see lovely tree well - maintain park . arrive early morning not expect room ready time , not . however , charming lady check we , take mobile number say would call room become ready , set coffee nearby . sure enough , around 11 , call say could check , think great service . the room not large room ever stay , perfectly adequate modern decoration comfortable surrounding certainly make size . small niggle one sign bathroom say order save planet hang towel re - use . would quite happy , except towel rail bathroom hang , hook back door already occupy bathrobe . option chuck floor , bath tub . bit daft towel rail . location - wise , possible walk everywhere . walk Bond Street , Regent Street , Trafalgar Square , end Covent Garden Strand bridge ( think Waterloo Bridge ) . long walk , take taxi back , Grosvenor Square certainly centrally locate . all , love stay premium location ( couple block Selfridges ) , lovely view room friendliness staff . concierge hoot ! would definitely stay . 
 Sep 1 2009 	 american style London 	 Hotels London challenge - usually small room expensive . therefore , visit one night end 2 week holiday , burn Marriott mile splurge Grosvenor . prove wise decision . superior room access club lounge ( provide breakfast ) . room spacious , lovely , large bath . location reasonably convenient - 2 block Bond St. tube stop close lot Oxford Street shopping . feel London palpable . ' m glad cheap ! 
 Aug 31 2009 	 great location poor service 	 certainly can not fault location . within stone throw Oxford Street yet locate relatively peaceful Grosvenor Square , room also excellent , club room terrace area . however , wedding reception take place night stay . music reception extremely loud clearly audible lobby . however , alarmed could hear loud clear room . expect would sound turn evening 11.30pm still thump . rang reception complain music eventually turn . guest put position ask loud music turn , particularly 5 star hotel . also breakfast deliver room couple item substitute thing . think b'fast include rate upon check tell breakfast include eat club lounge . nobody inform we charge full amount breakfast expect pay room service fee . stand firm check insist would pay breakfast make clear we could eat club lounge . also mention noise problem time checking tell book club room locate low floor therefore close wedding reception hold . could know .. ? one member checkout staff also act unprofessionally interefere discuss concern receptionist check . overall , great location , great room lousy customer service . 
 Aug 20 2009 	 great time stay beautiful hotel 	 wonderful hotel . find peaceful even though central London close busy shopping tourist area . we large room bed child . room clean everything seem perfect- problem room . bathroom large well appoint . we upgrade could use lounge basement big plus could breakfast morning well water drink throughout day . decor lounge odd overall nice plus access it . the restaurant ( Maze ) Gordon Ramsey restaurant difficult get into- suggest book soon book room hotel want eat . pricey food exotic child . the staff great wonderful experience hotel . would highly recommend anyone travel London want quiet retreat end day . 
 Aug 17 2009 	 bright part day 	 check Marriott London Grosvenor Square Hotel , one day someone ask day bluntly tell . super appreciative welcome staff change room give king size bed , smoking room view . fore one night , comfort right need . great bed , nicely appoint room , tasty fast room service , quiet . would , , stay . 
 Aug 7 2009 	 5 Star Hotel 	 London Grosvenor Square Marriott top notch hotel , doorman concierge front desk . everyone extremely helpful , service excellent . free internet would nice , that s ok . everything hotel 5 - star . 
 Jul 27 2009 	 expensive worth ! ! ! 	 Excellent Location- upscale location block Bond Street tube station . near Hyde Park Kensington Gardens . spacious room european standard ( bit small US Marriott room ) luxurious bathroom ( completely tiled ) . Breakfast include food great . would stay next visit . 
 Jul 11 2009 	 Awesome London hotel 	 hotel wonderful . location ideal block shop Oxford Street include Selfridges ( right corner ) Topshop ( block away . ) room large London standard Marriott quality level States . room service delicious since come Gordon Ramsey 's restaurant hotel 's available 24 hour day convenient . drawback affordable breakfast option hotel , plenty place eat nearby . also , wireless internet quite expensive . 
 May 21 2009 	 fabulous location staff 	 simply say enough Marriot Grosvenor Square . locate ideally -- across american Canadian Embassies , three block Bond Street station , Hyde Park , Connaught , short walk Berkeley Square , Buckingham Palace , Saville Row . beautiful new renovate toom ( 3d 6th floor April 09 ) , nicely appoint club room good food throughout day . importantly , concierge among well experience . search , find , right restaurant we ( easy two kid 10 still desire eat well ) ; even find we good french restaurant outlandandishly expensive call colleague hotel . wonderful around . 
 May 21 2009 	 Fantastic Hotel ! excellent choice short break ! 	 go Marriott London Grosvenor Square 4 year old son long w / e . location amazing ; Oxford street , close bond street tube station , walk distance bus stop Selfridges . room give we ( Superior think ) absolutely fantastic , huge London standard ( previous stay appoint tiny small room could hardly fit luggage cot bed ) decoration new nice . 4th floor overlook hotel open terrace . breakfast access business lounge ; business lounge pleasant internet access , pc , newspaper , magazine , quite small intimate . also serve breakfast small selection indeed not bad ; must admit could well truly ok ( coffee , tea , juice , scrubble egg , cheese cereal fresh fruit ) .If need go back London , would definitely go back ! ! ! 
 May 10 2009 	 Terrific Hotel greatlocation 	 stay 7 night can not say enough hotel . location , ambiance , friendly staff close transit make ideal stay . three we double room big enough . tip - choose pay use executive lounge . it be worth ! food galore good capuccino machine around . this first trip London hotel add memorable experience . ' ve travel much bothbusiness pleasure , hotel rank quite high value get price . 
 Apr 23 2009 	 great place stay visit London 	 husband , 10 year old son return 5 day trip London . stay 4 night Marriott Grosvenor Square could not please . room third floor , told renovate fairly recently . room two comfortable double bed , enough space not trip , nicely appoint bathroom good shower . clean , pleasant comfortable . staff deal friendly , pleasant helpful , particularly concierge . location great . easy 3 minute walk nearest underground station ( Bond St. ) walk distance lot great shopping restaurant . area feel safe walk around , day night . get pretty good deal room ( $ 300 / night ) would happily go back . 
 Apr 22 2009 	 exellent location everything 	 nice easter holiday , stay child newly renovate roomthe bathroom renovate floor level show photo include , quiet close everything city london.ha access lounge club brekfast snack day.it 5 * 
 Apr 14 2009 	 nice look hotel - good location - staff ok 	 decide stay hotel attend conference London stay Crowne Plaza St. James ( see separate review ) . friend want extra day London leave see sight . please first hotel stayed really look forward move . first experience great . go check - in tell could find reservation . lady help seem concerned . ask internet lobby could pull reservation laptop tell have 5 pound ! finally give slip go business center could look . go print time get somehow mysteriously find . little odd . room nice - room 308 two double bed nice view Grosvenor Square . room recently update beautiful - nice , comfy bed clean . room especially bathroom small side nicely appoint marble , dark wood finish , good amenity . location great - close Bond Street tube station , Oxford Street , Hyde Park , Bond Street - would say London shopping would probably great place stay . 's definitely crowded area also mean lot store restaurant nearby . eat restaurant . peek gym - small , nothing special . wireless internet 15 pound night pricey . & quot ; business center & quot ; tiny room two desktop computer printer - would say business friendly hotel . overall though nice hotel good location , staff could improve - one place walk front desk concierge , first one actually speak - not exactly go way help . stay London , think would try another place . 
 Apr 1 2009 	 Convenient Location Poor service expensive 	 hotel location great bed fabulous everything else fall wayside . service poor fail meet request every occasion . advertise fridges available room not take 2 hour 4 attempt get ice room last attempt receptionist finally common sense tell ice mackine could go . bed breakfast option bar restaurant franchise Gordon Ramsay unless want pay £ 20 breakfast eat quite frankly find unacceptable especially ask bnb rate time booking . drank bar one glass wine one bottle lager rediculously stupid £ 17 expect 12.5 % service charge . expect London charge bite OTT hotel take michael . bedroom nice bathroom small dingy tiny bath . oh want £ 15 use wifi time Marriott come line rest world free wifi . wehen pay room price do not expect rip everything . 
 Mar 28 2009 	 Construktion Noise around Room without Notice 	 staff reception rude prebooke non smoker room say could not give garanty we name 5 star hotel . first night room ' ve wake lot noise workman early morning . the reception warn we anything . move room . cold get tabel restaurant even custemer hotel . 
 Mar 28 2009 	 nice quiet close stuff 	 would not know couple block Oxford street shopping . really big department store lot people . think room price bite high side , use Marriott Rewards point . several place eat within walking distance . bond St. close tube station . traffic noise , hotel seem popular event , like wedding reception , weekend . make Gordon Ramsey 's restaurant , attach , menu look nice . couple good antique mall close well be kind thing . 
 Mar 27 2009 	 great location Terrible Staff 	 hotel fine , staff unhelpful & amp ; sometimes rude . work go hotel , advise booking . think expensive rate , advise . enjoy weekend London , go next time , would chose another hotel . 
 Mar 23 2009 	 Gorgeous Place ! ! ! 	 hotel cheap , be worth every penny ! staff excellent , location convenient , room clean , food terrific - Gordon Ramsay 's Maze Grille hotel ! ask well hotel ! 
 Mar 16 2009 	 Best Valentine '' Day Best Hotel 	 spend 2 night wonderful lovely Hotel Love . this first Valentine 's day together . everything exelent , room romantic , beautiful . favourite Marriott bed pillow : ) hope come back one day . 
 Mar 12 2009 	 nice hotel bit pricy 	 visit London stay Marriott summer vacation . nice hotel , good location ( Mayfair ) . satisfied service . however , consider budget , bit costly . cost - sensitive , leave satisfied . 
 Mar 4 2009 	 make special trip . 	 upgrade club room good decision . room GORGEOUS ! garden tub , faux fire place large 4 post bed lot room . even terrace . perfect romatic weekend ! 
 Feb 22 2009 	 lovely stay ! 	 stay hotel short weekend visit . upgrade executive room spacious , extremely comfortable look undergone recent refurbishment . hotel also conveniently locate many major attraction , Hyde Park , Oxford Street Buckingham Palace , within walking distance . would hesitate stay hotel . 
 Feb 7 2009 	 New Look 	 love new look ' Club Rooms ' contemporary comfortable . suit classy location status hotel . breakfast room yummy . will back . 
 Feb 6 2009 	 great hotel ! 	 love stay marriot hotel ! hotel look beautiful service excellent . be also clean . room big everything need . breakfast also nice , 's lot choose . location also good , be step away oxford street ! would certainly advise people go . 
 Feb 3 2009 	 feel experience luxury chic classic hotel 	 stay hotel friend . enter hotel embrace touch chic clasic offer hotel . location excellent , situate fashinable Myfair near famous Oxford Street . hotel athmospere warm room cosy confortable . nevertheless , strong point hotel personnel . friendly , offer always personalize service show lot passion work , lead we live great experience hotel . would sure repete back London , amazing city ! 
 Feb 1 2009 	 Fantastic Hotel 	 great hotel fabulous location . all staff exceptionally polite helpful moment taxi arrive moment leave ; take trouble make we feel special . the hotel beautifully maintain absolutely spotless great attention detail . we dine Maze Grill , site wonderful meal . ok , 's basically steak , well prepared starter dessert exceptional attentive discreet service . the room little small wall maybe little thin , problem couple next room blaze row ! short walk hotel designer shop New Bond Street affordable one Oxford Street . square peace nice walk around photo take Eisenhower ! can not recommend enough . 
 Jan 21 2009 	 lovely hotel heart London 	 stay hotel two night , quick city trip London . moment walk hotel feel special , staff extremely helpful attentive . check smooth upgrade since hotel fully book , good . room traditional Marriott style , personally like . also club lounge look good see take care great enthusiasm , regard go believe Robin , get warm welcome tell person passionate job . feel bad leave two night already , stay hotel , I m sure make short visit London often future , doubt stay hotel ! 
 Jan 11 2009 	 Great Location London Experience 	 Location hotel real winner would choose stay . locate Oxford St. shopper would home , great London shopping area along Piccadilly Circus within 30 - 45 min walk , ' get catch sight see en - route . Bond St underground station also 5 min walk access place field via underground like London Eye accessible hotel . hotel service upon arrival pleasant friendly good advice give concierge London sight . room small give previous Marriott hotel ' stay , though probably due age thus layout building , therefore compare say new build hotel US ' stay . apart size room amenity would expect Marriott comfortable . we ' get chance try hotel restaurant recommend find nice restaurant St Christopher ' Place quiet Oxford St. bustle . also love trendy steak house name Gaucho near Tower Bridge pricey worth ! overall , great hotel London sightseer shopper ! 
 Dec 26 2008 	 great hotel 	 wife recently spend 6 pleasant night fine hotel London . book another Marriott hotel change one close place want go . arrive Dec. 13 , 2008 ( Saturday ) around 2:45pm give room 2nd floor . request high floor room book room Marriott 's website ask young lady get high floor room . check tell we would able give we one another hour . tell would like high floor room would wait lobby . less 1 minute sit , one staff member came ask we could offer we something warm drink cold wet outside . take offer get cup coffee tea . less 15 minute later , young lady check we early came tell we room ready . give we key breakfast voucher also show we take elevator ( lift ) .We find room end hallway 5th floor . clean , nicely decorate , equip flat screen tv spacious 2 we . good , quiet , rate 205 GBP include daily full breakfast 2 & quot ; Maze & quot ; Grill . since fly California , tired . go . get something eat , return room go bed . next morning , find note night maid tell we could not turn bed & quot ; disturb & quot ; sign . service ! also receive newspaper every morning . overall , enjoy stay hotel would definitely return . hotel restaurant staff friendly , room clean quiet hotel want go different place . could not find anything complaint false fire alarm 7:45 one morning . construction go next hotel , worker remove scaffolding loud . 
 Dec 16 2008 	 stay 	 appalling hotel , live marriott standard , disappointed . reserve club room . arrive 10 pm function loud music . club room first floor . club room extremely small , bath bathroom , room around bed move . music downstairs loud . return reception immediately . downgrade room upper floor . room refurbish since 70 80 . also try book dinnner either Maze restaurant Maze grill sit night . tell book . could not dinner hotel restaurant even though resident ! ! ! ! saturday return room 2:30pm housekeeping yet attend room . ring room clean , order two sandwich room service soggy unappetising charge 40 pond sterling . order breakfast room , get pancake , juice tea , 44 pound sterling ! ! ! departure try charge we original club room never stay extortionate amount money . usually marriott hotel safe bet , definitely stay MARRIOTT GROSVENOR LONDON ! ! ! ! ! 
 Dec 13 2008 	 pleasant great location friendly staff 	 nice stay . return 2 week stay Africa stop way home . pleasant , staff friendly helpful , breakfast nice . room clean , little small efficient . breakfast room look park across street close US Embassy . bed comfortable . use point stay enjoy visit . London great hotel convenient everything . would stay ! ! 
 Dec 12 2008 	 romantic weekend bit Christmas shopping 	 moment arrive morning let know somewhere special . doorman let we take bag warm reception warm welcome staff help we relax flight , train taxi journey . room luxurious comfortable . location hotel shop unbeatable , 30 second Oxford Street . think wife return Hotel load bag least three time . executive lounge get place relax drink day shop get ready join nightlife London . Great Hotel , great staff , great location , will go back . 
 Dec 2 2008 	 little piece Heaven ! ! ! 	 back three night break London Marriott Grosvenor Square London . ( Fri Sat Sun ) give idea type person float boat . ' m 40 year old professional like reasonable quality thing especially good food , pleasant surrounding good manner . I take hotel . ( go London least one year ) room friend stay deluxe room ( 230 ) second floor modern newly renovate room club floor . however hotel bedroom sleep washing store purchase room although little small everything say tin . clean bed comfortable one well shower ' ve use hotel . décor non offensive see picture club room seem little date . give toiletry , robe , slipper nice flat screen tv good hair - dryer fit worldwide plug socket . room second floor front hotel one evening jewish wedding never hear thing friend light sleeper . hotel locate second Oxford Street 5 minute walk Regents Street walk . the two good element hotel Gordon Ramsay Grill room serve breakfast every morning . waiter service buffet like . like fill plate not place like good quality food serve good service pleasant smile one . the staff hotel could fault well mannered helpful take time chat make holiday . would go hotel yes yes yes Concierge 's business card hope dine restaurant dinner book month advance . good be . score 10 .......... 10 without doubt . Marriott Grosvenor Square see next year ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Nov 9 2008 	 great efficient hotel - watch front though 	 great efficient hotel . detail correct , 2 upgrade colleague . warn reception party / disco still hour go offer high floor room . would suggest room front well - general noise night lorry / truck 0600 hrs . will go back though - lounge Gold elite good Club room nice . 
 Oct 21 2008 	 mess Marriott 	 stay Marriott Hotels world one really live expectation . good news want location Mayfair area fit bill . bad news lot hotel choose make wrong choice ! stay hotel several time last three month time issue . one time tell & quot ; upgrade & quot ; one & quot ; recently renovate room & quot ; . renovation recent guy still paint corridor ! room ok overlook one side street . noise constant . not garbage truck construction . more recently stay one & quot ; non - renovated & quot ; room ok one minor exception ; namely bathroom . small walk - in closet trust not big either ! never see bathroom small . as Maze must admit rather put colleague go sit bar tell & quot ; can not sit unless dinner & quot ; . , & quot ; excuse & quot ; & quot ; help & quot ; . maybe be part Gordon Ramsey & quot ; attitude & quot ; ? ? ? ? all - in - all would recommend hotel anyone choice . unfortunately not moment ... 's company 's & quot ; preferred vendor & quot ; list ! 
 Oct 2 2008 	 plenty well place 	 book Club level room , pleasantly surprised size decor ( one newly - decorate Club room , small patio ) . parent ( late 50 ) previous fan hotel , rather disappointed Club room modern , rather previous & quot ; Chintzy & quot ; style . book room category we , room tiny comparison - barely enough room fit round bed , small bathroom ( bath ) could accommodate one person . our problem begin 10:30pm , music function room we wake . call Reception tell would go least 1 am . attempt reduce volume fail , eventually move - music loud simply chance sleep . Duty Manager say would send room key alternative room we . ten minute elapse room key materialised - call query tell post door room move ! time 11:30pm . eventually another member staff show we new room . room dirty , bed everywhere - obviously housekeep not clean room . move suite 4th floor positively ancient decor furnishing . bed supremely uncomfortable facility date . still , time simply desperate sleep , took give . at check - out ask speak Manager , certainly not pay full £ 350 per night charge move virtually midnight . lengthy delay simply could wait long , yet Manager appear . end , hotel charge we half - rate , compensation . I not understand newly - refurbish room adequately sound - proof - would certainly avoid problem . also , place expensive Club room directly function room ? allocate room function room attend function ? still , even room perfect , still many niggly problem , like service front desk slow housekeeping incompetent rude . allegedly Marriott 's flagship hotel London . can not understand - rest laurel make effort give customer good experience . be certainly worth price charge . go somewhere else . go Brown 's Hotel ( also Mayfair ) weekend difference two could great . price differential not huge , service experience whole much well brown . 
 Sep 7 2008 	 Typical Marriott Experience 	 recent stay Marriott Grosvenor Square expect large Marriott . location Mayfair neighborhood perfect , provide walk access thoroughfare like Oxford New Bond Streets , neighborhood like Marylebone , Soho , Knightsbridge , Westminster , etc . Marriott Grosvenor Square also home Gordon Ramsey restaurant , Maze . room extremely date , although hotel apparently update floor Garden Suites . highlight include comfortable bed , hair dryer , & quot ; American & quot ; 110V outlet , lowlight include construction noise day , grimy bathroom , extremely expensive wireless internet ( 20 pound / day ... ) . look luxury , place ; look location , look ! 
 Sep 7 2008 	 want live hotel ! ! ! 	 stay hotel couple day wish much . use Marriott point book room upgrade suite check . suite fantastic- huge living room lovely large bedroom bathroom , lovely molton brown toiletry finish excitement room . concierge- Harry fab . help we get table Maze grill lunch remember name leave hotel , wish we good day out- one weekend feel like regulars- fantastic service ! executive lounge also great , stock normal soft drink honesty bar also ad lovely desert available afternoon home make brownie , flapjack . breakfast lounge also acceptable . well usual selection cereal yoghurt , choice scramble egg bacon also cheese , hams , along pastry , bread etc . I would definitely come back hotel . Oxford Street , selfridge literally two minute walk away near tube around corner ! 
 Aug 17 2008 	 good spot Mayfair 	 stay Marriott point , arrive morning , impressed reception tell could come back later stay inferior room . however , supervisor sort - find already free room we , great . room fairly small thin wall , nicely furnish , look onto Square . hotel restaurant seem overpriced - street north decent eatery far away . proximity Oxford St Bond St great . central London , quiet pleasant location . think hotel compare well hotel Mayfair stay - would come back convenience peace London . 
 Aug 2 2008 	 disappoint 	 disappointed Marriott Grosvenor squarebee platinum member get use upgrade , upgrade . say hotel book . the safe work , shower head leak floor huge wet brown spot carpet . ask different room tell not available . ask problem fix leave several hour . return nothing do . complain finally shower fix eventually safe . spot say nothing could do . staff friendly room worth cost 
 Jul 11 2008 	 Ali Baba Forty thief 	 pay $ 575 one night & quot ; DE LUXE single ROOM & quot ; place first floor upon rubbish dump hotel stick scaffold rubbish slope . realize 7,30 a.m. supplier truck start park window . complain manager say could nothing room already prepay . addition try charge breakfast twice check . avoid . plenty good hotel around corner . 
 Jun 24 2008 	 fantastic 	 short Business Trip London get back feel share . hotel simply FANTASTIC ! get Hotel City sell due Wimbledon therefore manage company get suite Hotel . Suite amazing . beautiful view could sense care every single detail room . bed ! dream dream - unfortunately wake due meeting . rarely see impeccable service . Reception Departure warm smile sincere appreciation guest , although Hotel full ( especially many middle eastern big family ) , never tired great assist . food fantastic really worth stopover whoever come London . 
 Jun 9 2008 	 Gorgeous Hotel would highly recommend 	 stunning every way . room bathroom luxurious , traditional old - world english style . location quite good Park Lane , though bit tube . breakfast fantastic , though pricey . service quite nice , lobby area great place relax drink . really gorgeous hotel , would highly recommend . 
 May 3 2008 	 Beautiful Hotel GREAT Location ! 	 stay Marriott Grosvenor Square late April . go well . get hotel , take Tube ( London Underground ) . little long ( 45 minute Heathrow ) , $ 4 GBP . different $ 50 GBP would cost take taxi come weak U.S. Dollar time , every dollar count . would recommend tube not mind take train . the inside hotel GREAT . upon check - in upgrade suite due Marriott Platinum status - nice touch . room huge wife could hope . , ask view Grosvenor Square , also include U.S. Embassy . the hotel minute Oxford Street , huge shopping area . 's cup tea , would suggest stay here . everything hotel wonderful ..... great location , great time Easy get around . would STRONGLY recommend hotel would stay heartbeat . 
 Mar 29 2008 	 not recommend hotel 	 stay Marriott Grosvenor Square entire week Easter holiday 2008 . undergo extensive renovation warn we prior stay . restaurant breakfast extremely loud construction entire stay . extremely disapointe lack concern guest . hotel expensive room small . front desk hostess rude give we wrong information regard travel two ocassion week . quite honest , positive hotel location . recommend stay hotel . many hotel London much well service concern guest . 
 Mar 28 2008 	 Marriott terrific ! 	 return home two - week stay hotel . provide First Class experience we . room nice size seating area plus lovely bathroom . ' ve London many time & quot ; tour & quot ; . Marriott 's convenient location Mayfair central many train trip various direction London . other , area lovely easy access good shopping , restaurant public transportation . Marriott Gold Members entitle use Executive Lounge apparently privilege also comes stay certain room hotel . 's nicely furnish outfitted hotel guest . continental breakfast adequate major saving eat breakfast elsewhere hotel nearby area . unlike Concierge Lounges U.S. Marriotts , evening fare substantial . offer small canape bite - sized dessert could never substitue meal , delicious beautifully present snack . free wireless connection Lounge significant saving since internet usage often available free U.K . also one free public computer use everyone Lounge . good part Marriott wonderful service provide staff . will treat like royalty hotel ! concierge service excellent . every single employee kind , care helpful two week . anything request act upon quickly . would HIGHLY recommend London Marriott ! 
 Mar 23 2008 	 beware construction 	 construction start stay December 2007 recent trip March 2008 full swing . worker scaffold outside front side building , board area lobby area noisiest part ( jackhammer / electric saw brick stone work ) center courtyard . nowhere within hotel affect noise vibration . ( seriously , jackhammer ...... ) Mayfair location hotel convenient would stay elsewhere work complete . 
