Coulde 	 slightly sceptical hotel read review site , like previous New York hotel ( similar review ) , decide go ahead book . arrival quite surprise much small lobby compare previous New York hotel ( Grand Hyatt ) , certainly not make less hotel . check 6 pm greet helpful polite man name Adelin something similar upgrade we corner room kitchenette amazing view . room nice clean , large comfiest bed ever sleep . staff extremely friendly , especially one valet 's . sure name either always wear large coat outside , always ask we enjoy day always stop chat . the location hotel not bad , walk bit hotel be talk 5 - 10minute walk Grand Central always Taxi 's outside ready business . I not try room service / hotel restaurant never normally pay price room service not seem expensive . get breakfast every morning little place corner 44th + 2nd call Plaza Delhi amazing pancake bagel really good price ( 2 cream cheese bagel + 3 large pancake syrup + 2 large coffee 's $ 9.95 ) .We not really try hotel facility pool gym etc , plan not really find time / do not energy walk around NY day . I would definitely stay hotel , stay thanksgiving get really good price hotel advance booking site . would recommend hotel anyone . 
 amazing view 	 would definitely recommmend hotel location panorama room . front desk staff could helpful though ! 
 great hotel .... quite walk shop sight 	 wonderful start hotel get upgrade huge room ( mini suite ? ) 39th floor . fantastic view high .... make sure really clear emergency stair ! room clean , staff really pleasant pool / gym good . my son wonderful time except distance shop sight . first walk Broadway 34th Street etc time get already ache foot . decide get cab fine cost really start mount . stay really need make sure get grip subway . 
 good hotel NY 	 Luxury hotel , cheap price , good service ... word ! 
 Oct 19 2009 	 Million Dollar Views .... ok Room Location . quiet . 	 Decent LocationWell sized room average furnishing / conditionQuietMillion $ view use well know hotel book website pre - pay 3 1/2 Star accomodation . expect much Millenium U.N. Plaza . know location would far east side ( 1st 2nd ave 44th ) have walk bit ( actually enjoy quite much ) . check smooth courteous . like say , not expect much room , open door room ( 3820 ) blow away . room great ... million $ view Manhattan . truly breath take ( see pic ) room well size impossibly quiet . friend stay Marriott East 15th floor say hear every taxi horn night . room Millenium good A / C / Heat , comfy bed , safe . minibar cabinet , lock . go front desk ask key , tell long provide service . might good idea take & quot ; mini bar & quot ; label cabinet . fabulous pool workout room 27th floor overlook U.N. East River . not use , see family fun . , satisfied , pay & quot ; rack rate & quot ; ' m sure million dollar view would make & quot ; slightly average & quot ; quality . 
 Oct 14 2009 	 great view . good location . nice large room . 	 book room Priceline 3 night . give corner room 38th floor west tower . view incredible . one window could see Chrysler Building Empire State Building . window view river beyond . hotel clean , room large , bed comfortable . walk Grand Central Terminal 10 minute . bad consider likely whole lot walk NYC . complaint great stay . 
 Oct 14 2009 	 like hotel less less 	 book room new tower . checking , receptionist try get change old tower ( & quot ; excellent view & quot ; ) - hindsight bit cheeky , since room cheaper . the goodThe room size adequate New York ( anywhere else ) . relatively recently update , furnishing new clean . bathroom fine . bed excellent like soft mattress . tv large , oldish lcd.the badno minibarRoom service times convenient hotel ( i.e . lunch ? ! ) lunch dinner hotel restaurantbreakfast greasy unhealthythe lack minibar restaurant & quot ; temporary & quot ; . well , also & quot ; temporarily & quot ; lack last time stay , way back . overall , though price cheap , similarly - price well option area . come back help . 
 Oct 10 2009 	 exceptional staff comfy bed wonderful view Manhattan 	 hotel accommodate . stay deal travelzoo include free summer breakfast buffet . food great , good variety , plus fresh 100 % juice choose . pool nice could warm bit becasuse prefer heated pool . not know last two hotel ' ve visit ( first different hotel ) , maid staff make pull sofa bed . get room , one problem . could see sheet guest ( ) stay room prior still maid closed sofa bed unchanged bed inside . ew . one turn stay . -but come quickly put fresh sheet . small fitness center , use , nice noticed dust equipment . spa facility get massage ; believe in - room . origianlly pay one superior room get upgrade junior suite nice 2 big flat screen Samsung tv , 2 full bath french door divide suite two living quarter . separate room , yeah ! would visit hotel despite minor aggravation state previously . 
 oct 9 2009 	 fantastic location ! 	 wife stay millennium un plaza hotel 3 night prior trans atlantic cruise med . check desk clerk ask we want view new york sky line east river un . pick new york sky line . 22nd floor view chrysler empire state building fabulous.the hotel situate area many outstanding ethnic restaurant ... possibly due proximity un . truely outstanding hotel recommend highly.dennis 
 Oct 8 2009 	 decent room nice view 	 annoy call cot not advise check fee per night use cot . never charge we though . staff nice helpful though . view amazing , hotel update , decent enough . good location . interesting staying midst UN people . 
 Sep 29 2009 	 GREAT HOTEL ! ! ! 	 room big clean ! bathroom big one person . I love stay hotel . location great near UN . however , be short walk Grand Central train subway . excellent staff ! downside fitness center . small . 
 Sep 26 2009 	 Great Location Decent Hotel 	 spend 6 night honeymoon give room East Tower 33rd floor , look East River Queens , probably would picturesque view would side look Manhattan still great view . room large clean huge bed tv decent standard decor unlike other comment . bit look bit date bathroom , everything work look bit tired need update . wall prove bit thin , baby room next first 3 night , fortunately not cry much wall not lot block noise . maid came housekeep friendly courteous saw , room pass corridor concierge friendly efficient . location great , five minute walk Grand Central subway 20 minute walk Times Square . overall enjoy stay although may well hotel New York leave positive impression . 
 Sep 13 2009 	 good location - quiet pool ! 	 daughter stay four night brilliant time . find location central . ten minute walk Grand Central Station travel south walk distance theatre land / Central Park etc . like walk tho think nothing 30 40 minute walk get somewhere . swim pool great - main reason booking . amazing pool 27th floor - view East River round Empire State Chrysler building fantastic . breakfast John 's Diner corner 2nd Avenue 44th Street . love . everything porridge , grapefruit , french toast type egg , bacon etc never end coffee . would love go back . downside cost drink hotel bar . small glass wine $ 12 ( £ 8 ) . 
 Sep 3 2009 	 exceed expectation . amazing view . great service . 	 Reading Tripadvisor really help . upon check - in ask get room west tower . since 11 am morning , room available assure save nice room we come back lunch get room key . well , certainly disappoint . get room 38th floor north west corner amazing view Manhattan . room spacious bed comfortable . one good sleep Millenium UN long time . the check - in staff concierge friendliest approachable . the breakfast buffet quite decent assortment fruit pastry . athough price double espresso close $ 8 tax tip . thing , go Starbucks $ 2.50.all , great stay Millenium UN definiately recommend . 
 Aug 26 2009 	 could well 	 hotel need major change room renovation customer service . even though complex look modern , lobby restaurant look like disco 70 ' mirror wall . think also cut staff one person work check cause long wait check check . arrive 1 pm annoy immediately tell room ready check time 3 pm . know fact hotel NYC full capacity economy ' room , probably clean time next guest clean people work . 2:50pm try check keep say check 3 pm . finally able check 3 pm . believe room ready want make wait 10 minute comply process . NYC , time waste job accommodate guest , good , seem top priority . the room stayed suppose upgrade superior room look like standard room ( look pic room website travel site ) . room high floor view magnificent . décor look modern fixture come apart wall lot scruff mark . bathroom generous size bathtub look grimy even though clean , mildew around tile surround bathtub , shower curtain slightly moldy toilet slow flush . bed comfortable pillow seem overuse 5 year -when lay head sink bottom . seem new item replace large flat screen tv toilet paper . everything else old , overuse poorly maintain . I also $ 19 buffet breakfast hotel restaurant . food average much selection . believe high cost food service presentation . Tablecloth cover table , cloth napkin stem glass water juice use . waiter dress fine restaurant dinner service necessary morning buffet style breakfast service require bus boy clean table . restaurant operate breakfast . this hotel really every type traveler . family small child , old young couple , business people , Africans associate UN , western Europeans , euro trash flight attendant fill hotel . there fee wifi could get free public connection lobby . want newspaper go lobby get . slip invoice door last day wait line check area . if find good deal ok stay hotel . think Millennium Times Square well competition keep standard . 
 Aug 22 2009 	 love love love 	 friend make trip nyc .... young small town do not know expect ... get nyc everthing run smoothly till get hotel cab driver yell we tip enough even though do not help we luggage anything rude completely think $ 7 enough tip oh well ... go inside one lady working do not really help we give we hard time ... end wait lobby 2 half hour even get check send fax around cause think young lying ... ( bellhop see frustrated help we , talk we , exceptionally nice we ) finally able check say wait get room cause ready ... one bellhop say something sudden give we room key ... request room west tower since read review well go room be not expect much since east side ... get room 34th floor upgrade we superior suite ... 2 entrance room , 2 bathroom , 2 shower , living room , 2 40 & quot ; flatscreen , mini fridge . , great view perfect . clean modern .. since time everyone amazing ... totally make wait ... revceive complimentary buffett breakfast ( may add DELICIOUS ) great service well ... friend nyc come visit also say great hotel compare alot nyc room small water pressure could shower time perfect ... thing way main attraction do not know use subway ( teach : ) ) do not mind take cab around fine ... first think trip go disaster tturne sooo great ... even make friend lifeguard get we great deal lincoln cab cheap even want take we show we around ... would deffinitly go back ! ! ! ! ! ! staff sooo great helpful accomadating ( since one else city help we need ) think maybe girl check bad day : ) one thing ... one night huge thunder lightening storm would never know be not look outside .... could hear nothing ( soundproof ) 
 Aug 19 2009 	 Hotel need redone ! 	 rug get elevator gross welt wrinkle look like major flood happend get room view great wall gross food hand print window toothpaste wall bath room hair bed change room little well ! pay money stay family not gross sleep brush tooth 
 Aug 14 2009 	 great hotel money Manhattan 	 wife 10 - month old son stay $ 200 / night ( thank www.expedia.com ) . hotel almost across street United Nations complex ( halfway 1st 2nd ave northside 44th St ) absolute center nightlife tourist attraction , extremely easy walk sort place ( Grand Central Terminal , Rockefeller Center , Central Park , UN ... obviously ) . hotel room modern , although bad , lobby could use light clean room bathroom huge . ask stay West Tower room western face ( great view City ) . 
 Aug 6 2009 	 pleasant stay ! 	 husband NY business UN , make location perfect one ! stay 6 night . wary arrive hotel , negative review read site . pleasantly surprised every way ... staff , pleasant accommodating ! treat we like 4 - 5 star hotel . pre - purchase price good deal town , availability long stay , would stayed long . the bed rather soft , plush feel . get use , not want get bed ! pillow , find comfortable . comforter make we feel right home , since 's use bed . breakfast buffet quite delicious . yes , $ 18.95 , reviewer comment pricey , compare price ny , quite reasonable . everything high ny ! room need refurbishing , clean , huge ! room 40th floor , city view , view magnificent ! bank closet slide door ( safe ) , minibar area ( long functional ) cabinet top ( great store snack , med , etc . sit area near windows actually open . love room ! highly recommend hotel anyone want stay hub busyness midtown . travel part sightsee bit time - consume , 's nice quiet area . not mind walk bit nearest subway , great location . however , not energy time walk catch public transportation , 's place . cab easy catch right front hotel , constantly drop guest hotel . I picky come hotel . , find room quite nice ... problem odor type , one huge plus ... window unit a / c . however , find temperature bit difficult control . , find comfortable turn run . slept turn night , quite comfy hot weather . really hate leave next day ! oh , forgot add .... internet access $ 12.95 per 24 hour . 
 Aug 5 2009 	 fantastic view central location 	 choose hotel 's view swimming pool dissapointe . spaciuos room ` great travel 4 year old . proximity Grand central station practical . not even visit Empire state Top rock , view include Chrysler building , Empire State building , Brooklyn bridge UN building . 
 Jul 22 2009 	 FABULOUS place ! ! 	 pleased hotel arrive . staff helpful courteous . room amazing incredible view ! ! clean minimalistic styling . totally pleased would return second ! bad thing pool close 6 p.m room service fast great food . 
 Jul 21 2009 	 stay West Tower 	 first need say Staff Millennium UN Plaza Hotel nice try well overwhelm ! arrive romantic weekend away city tell & quot ; New Updated & quot ; Superior Room East tower ready ( point know vast difference East West tower ) . go room expect find magnificent view picture photo tripadvisor take post guest stay . instead look wall window ( window four foot ground stain couch front , yes stand front window look , couch see many picture right front window ! room appear side drape guest photo block morning light flooding around large gap shade edge wall pull shade , none four room see ) tub bathroom . go front desk move us room bad shape , stain rip furniture bathroom two - inch gap rug floor threshold miss . back front desk . move we third time ( still East Tower yes move bag three time offer help ) late plan first glance room look fine , drop stuff headed evening plan . check bathroom , Mold mildew everywhere , even floor . front desk , nice young woman tell we we move west tower please pack bag would move return ticket play afternoon . pack head , return evening find move another room east tower . room seem ok least amount stain far , still one high window floor couch front , go take shower next morning . get shower break ! back front desk , young woman working think genuinely surprise move we West tower . let see room move difference room like night day ( room see floor ceiling window bed nice furniture simple thing like bed skirt window real drape block morning sun nap afternoon West Tower . go tell wife breakfast yes move fifth room ( bed breakfast package , breakfast buffet ok , four star hotel one toaster , guest stand line toast bread bagel ) . ask compensate felt like lose weekend ( wife feel whole weekend truly throw , feel always unsettled ) hotel offer take fifty dollar bill trouble . would consider stay hotel would sure west tower . 
 Jul 20 2009 	 unusually large room slightly date . 	 New York , room unusually large . actually like place location . hotel old gret view Manhattan skyline . my room somewhat date make size room comfortable bed . nice staff ! 
 Jul 13 2009 	 posh hotel lol 	 think market hotel friendly people excellent view , although make sure get good room low market room standard , u get 40 & quot ; samsung lcd every room gd lol 
 Jul 10 2009 	 worth view 	 Magnificent view particular top floor new side tower . long time user hotel notice downgrade variety fruit item use serve breakfast . anyway hotel still good option stay Manhattan . 
 Jul 9 2009 	 Nice Stay 	 great hotel , also location great . room good money , come great view comfy bed , nice LCD TV ' even turn barley room . bus drop we 7th Ave & amp ; 32nd near Penn Station . walk hotel lot fun . take Broadway 34th street walk way 2nd Ave 44th street hotel . hotel great like walk around , be close everything except go see Statue Liberty take bus ( South Ferry ) Battery Park tour boat depart . Ground Zero short walk park . Walk Canal Street shopping ( lot good deal ) take metro back 34th street catch bus . Time Square , Central Park everything else close enough walk hotel . good location , know subway bus system ' excellent choice , , be still good like walk . always ask direction , people help , surprised . go fun . 
 Jul 6 2009 	 could well 	 second stay UN plaza . reservation elsewhere , decide would give place another chance WOW we . . bad experience begin DOWNGRADE reserve online travelzoo.com : SUPERIOR KING , smoke CORNER ROOM , QUEEN , NON - SMOKING . clerk also put we room whose upgrade new bed big tv . old tower , nice view , ugly room . complain move new tower , modern facility , except bathroom , sink mean child . uncomfortable sofa badly stain , bed , one 5 year ago KING comfy . fridge order present . ice deliver room service ( tip ) . much complain , let make simple . service : jamaican desk clerk nice , one clerk , could job well enough . 4 star hotel one desk clerk ? ? evening clerk RUDE . restaurant serve breakfast , place advertise . breakfast ( $ 25 ! ! ) like Holiday Inn breakfast bagel , cereal melon . ! anything else cost ? LUNCH ? DINNER ? wait staff attentive friendly -- welcome apologetic , too . the pool see well day . lifeguard talk cell phone day long ? water cold . window dirty pool . tarp hang pool badly stain . shower dirty . place smell . the room : staff clean well happy get tip daily , course . a / c not work well , repair . room service fast nice ice whatever need . the bellhop attentive . concierge knowledgeable . okay -- like hotel . , enough return , unless improve . many hotel try . would return UN plaza ? want need pool , find another place stay . dozen hotel ny pool -- check . good Millenium Hilton , 3 mile Times Square . one far Times Square cab subway , make sure tell cabby exactly go get ! problem suppose classy place , remarkable staff , hotel would dump , truly ! tell hotel MAJOR RENOVATION since last . lie . slowly fall apart show . reservation Millenium Hilton Ground Zero initially , altered tell renovation . disappointment ! Hilton well staff , eager please beautiful , elegant room wonderful pool restaurant ! -- must commend staff UN plaza . look like downsized , even though palce book solid . staff pleasant go overboard , think well treat management . something air tell . 
 Jul 4 2009 	 wonderful View Friendly Service 	 upon arrival 8 pm hotel , immediately greet take care doorman . unfortunately , room ready , reception desk send we bar ( could benefit update ) free drink . tell room ready , go room 38th floor blow away view East River , UN , Empire State Building Chrysler Building . astonishing consider low price room , totally unexpected . room still clean , sit wait friendly staff clean room . room decent quite roomy , something not expect Manhattan . would nice mirror main room , instead mirror wall next toilet ( flattering view ) , get ready morning . overall , wonderful stay . staff super ! even though hotel not close subway station , location still good . 
 Jun 30 2009 	 great time 	 read many review seem base look , great time hotel , come visit NY city need nice clean place centrally locate come back long day fun time city.pros : VIEW , view can not go sleepbed , large comfortablesize , room quite large NY styleTV , big flat lcdcon : bathroom , could use touchsubway , 5 min ( seem lot whole day outside ) internet , chargewe not use hotel facility can not tell much , arrive ( 7 am ) room ready offer refresh fitness center , come back noon get room view east river change city view.true , room not top art look outside window forget ( room start floor 28 guess room great view ) .for 160 ( without tax ) per night think good deal nyc.hope helpfull : - ) 
 Jun 28 2009 	 nice hotel- especially upgrade 	 stay hotel 1 night . book Hotwire get good price . warn reviewer not always room ready check time , suprise person desk tell we room open . return one hour later , much computer click desk clerk , tell we still room available , would upgrade we Executive Suite ! room beautiful , bedroom , living room , 1 1/2 bath , kitchenette , great view spotless . we use fitness center ok . small hotel size not tv . we eat breakfast buffet fine . one downside omlette additional fee . the staff helpful courteous . we would stay , especially able get good rate . 
 Jun 22 2009 	 fancy lobby good reception otherwise ok 	 get cheap , be okay . reception doorman always proffesional polite . room little cosy . have issue leak air conditioner . offer immediately change upgrade corner room . room size except long hallway . not impress maid twice reset alarm 6 be we . sliver soap remain bathroom leave room , toiletry replace . Maid service slack . nice neighbourhood . security prominent . internet expensive . Foyer public area keep immaculate condition . 
 Jun 13 2009 	 recomende 	 spend week hotel , orderd via Hot Wire - 120 per nught , room larg comfort , bad ok , bathroom- top art , need maintenance , internet cost 12.5 $ per 24h - robbery ! good choice , mentiond good restorant around gym+sweeme pool+ tennis court level 38 
 Jun 3 2009 	 Millennium UN Plaza - memorable Memorial Day Weekend stay 	 staff Millennium UN Plaza Hotel New York City first rate , could say recent ? renovation . room supposedly update section two tower hotel , clearly update do cheap . bedroom under - furnish size , tv large room , artwork spare inappropriate . room 's HVAC also seem update somewhat noisy thermostat work properly . mirror ; three bathroom one bedroom . odd . also price coffee maker room . and room clean , not seem like anybody really care look really comfortable . room seem cold unfinished . it also appear , renovation , not get around replace floor covering hallway floor ( 33rd ) . carpet badly buckle patch dark tan duct / carpet tape . really look awful get elevator ; good first impression all . would stay ? despite fantastic view , sorry , . 
 Jun 3 2009 	 favourite New York Hotel 	 travel U.K. New York twice year favourite Hotel . the hotel may modern love it . on last visit ( May 09 ) arrive evening check quick give romm choice . room 39th Floor view Chrysler & amp ; Empire State building stunning , particually night . room large other visit New York . comfortable king size bed room large flat screen t.v . , desk , chair minibar . bathroom small well equip . room spotlessly clean , although be fairly old . wi - fi availalbe room ( charge ) safe large enough laptop . the staff friendly helpful - particular Frank front door know everything City always happy help out . the hotel less 10 minute walk Subway Grand central bus stop 2nd Ave ( bus South St. Seaport & amp ; South Ferry ) 42nd St. ( bus Times Square ) $ 25 able get week unlimited travel Subway Busses . for good breakfast go John 's Diner corner 2nd Ave & amp ; 44th St. there small deli 44th St. handy buying food drink . in summary , comfortable hotel superb view - already look forward next visit . 
 Jun 1 2009 	 good location not spend much time room 	 book Hotwire.com use betterbidding.com determine hotel would get . get room $ 129 / night , think excellent value . however , hotel pretty outdated spare - the lobby scream & quot ; 80 ! & quot ; room somewhat shabby . staff extremely friendly helpful , not plan spend much time room ( ) hotel fine get great deal Hotwire . 
 May 30 2009 	 great value ! 	 hotel provide excellent value New York City . room decent size clean . staff also professional courteous . arrive around 7 pm tell room ready . without complain , concierge immediately call restaurant ( Ambassador Grill ) tell expect give free meal free drink . although find restaurant outdated decor , really appreciate gesture enjoy food Ambassador Grill . next morning , also receive breakfast coupon next two day ! advantage stay hotel : * free wifi connection lobby * excellent pool fitness centre great view 27th floor * great view room * friendly staff * room nice size clean * flat screen lcd tv roomssome con : * location - bit way , expect walk block get subway tourist attraction ( exception UN ) . walk Times Square 15 minute . actually lose 10 pound trip walk . * ice machine * outdated decor restaurant * coffee maker room 
 May 27 2009 	 terrible 	 OVERBOOKED HOTEL . one receptionist greet we 2:00 pm . customer service skill poor . would not look eye ( probably know everyone go furious realize room over - booked ) . two receptionist return check 3:00 tell we would wait one seem work hard help guest get room . many people wait lobby check . one friend wait 5:00 - dinner reservation 5:00 downtown . inexcusable . toilet broken room . not stop run . bathtub drain . wait 20 minute get take coffee Sunday morning . would not recommend hotel . plenty hotel stay NYC . 
 May 26 2009 	 Fantastic ! 	 Excellent ! stay Millenium Plaza 4 night family . New York take breath away arrive hotel airport , still say : & quot ; WOW ! & quot ; view suite 37 floor amazing ! not even go Empire State Building view room good ! not try breakfast , room - service restaurant , go swimming - pool 27th floor ! 's way relax sightseeing shop ! 5 min walk Grand Central problem transport . would always recommend hotel everyone go New York - especially want ny take breath away . see pic . 
 May 23 2009 	 Great Hotel . Great Price . 	 Booked hotel Hotwire . 's locate quiet area bit beat path 's still well locate - lot place walkable like walk ( close conference attend ) . besides , cab plentiful reasonably price . room pretty big New York standard . room kitchen ( bit run ) , wide screen tv large bathroom . view room pretty nice . pay internet though . fyi - take airport shuttle Newark take hour half get hotel ( last stop ) aware . 
 May 19 2009 	 great hotel budget ! 	 locate 6 block Grand Central , 's great location want avoid chaos area . be probably not like walk . hotel : arrive 9 am room ready . specifically ask reservation manager non - smoking room arrive , tell iwe non - smoking floor room smell like smoke let know likely someone smoked not suppose would change room . our room 4039 40th floor West Tower . corner room AMAZING view Chrysler Building Empire State Building well East River . bed comfortable , room bathroom spacious . even large flat screen tv . suggestion would make room could use little TLC . carpet , door handle , door chair little worn . could probably spend $ 100 really nice job updating room . , NYC hotel , complaint . food : budget , several option area . 44th 1st 2nd ave , little deli / store seating back . get omellete , hashbrown toast $ 3.99 bagel $ 0.85 . people suggest John 's 2nd 44th . 's good John really nice . two people though , will cost $ 20.one night supper L'Ecole , French Culinary Institute restaurant . student prepare 5 course meal $ 42 . amazing experience . NYC , restaurant cheap walk away 5 - course meal two include bottle wine $ 130 steal . also get teacher - prepare 4 course meal $ 42 . food delicious well prepared . prepare food way & quot ; supposed & quot ; prepared preference , tell . example , one customer upset lamb still pink . dinner partner try explain not eat lamb well do . . .however , preference , state . 
 may 14 2009 	 would definitely return ! 	 spend 5 night April . Booked 2 room one 3 people 2 . tell go would pullout bed third person not complain pay price double room . get , room pull bed available upgrade suite extra charge . fantastic . 4th stay New York different hotel favourite yet . great location - less 5 min walk Grand Central Station . would definitely return ! 
