seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Nov 10 2009 	 fool Shame 	 fool , shame . will not fool . ' m seven star player 2 year . hear treat special , not believe waste time money . think treat bad Diamond Player , imagine bad ignore 7star . staff rude , angry inconvience question . computer System break 3 -4 hour , think would credit play , way . think forgot loyalty . not stay play anymore . ' ve learn lesson stay MGM property . treat like vip every time , annual trip . adio 
 Nov 8 2009 	 Good Value Toby Keiths Bar good part Harrahs 	 go getaway reality that s exactly get . book thru Allegiant Air get upgrade room definately worth . Carnival Court great place drink flair bartender extremely entertaining . piano bar blast . every night different crowd crowd give player give . spend lot time Tobys bar . Leo awesome bartender . never great drink . order mason jar drink . put vodka bottle upside cup run around bar twice till jar 3/4 full vodka . awesome . house band great . Harrahs get little old price still good base vegas fun . 
 Nov 8 2009 	 Fun casino great customer service 	 DH stay Harrahs October 28 November 2 classic room , sixth floor , view , spend much time room anyways . room clean - housekeeping wonderful leave plenty clean towel upon request . casino fun , lot variety penny slot , drink service good cw find we , duel piano bar lively . enjoy Flavors buffet breakfast one morning - food fresh hot - waitress pleasant keep coffee cup full . every Harrahs ' employee ( check , cashier , housekeeping , security , valet , waitress ) come contact polite , helpful , thank we visit Harrahs . course location real winner ! 
 Nov 6 2009 	 AWFUL 	 start resorvation 's day check - in inform us cancel show would see could . next day go take shower shower handle keep slip hot , thank GOD check stepping would burn water shut & amp ; drip & amp ; drip , call ( 4 am ) inform ask want someone come & amp ; look ... DUH .... yes ! ! ! ! return room ( 10hrs call ) one come fix problem call & amp ; someone come look & amp ; inform we know problem previous complaint , could fix problem without drill shower handle . one call find problem resolve change room work shower , instead nice shower husband hold handle outside shower make sure get burn . VEGAS EXPERIENCE ! ! ! ! ! 
 Nov 2 2009 	 much ... 	 one thing say Harrah 's absolutely love dealer Flavors Buffet .... beyond , much . Stayed Mardi Gras tower tell rude check guy room newly renovate . ask noise .. reponse .. & quot ; Vegas , be room 3 am , can not really blame anyone noise . & quot ; really ? ? ? ok , room . 2 hour wait ( yes , room ready 11 pm check ) first one elevator shaft ( yay , vibration clank night long ) friend side face Carnival Court ( yes go 2 am .... Halloween 4 am . ) odd number seem carnival court side even number face parking lot type cool unit produce type hum ... bad . yes , hear toilet flush individual room next . room nice well appoint coffee maker ( decaf ) much noise taste . will not stay room slot entirely tight ... would still gamble dealer . management ... need spot check front desk staff . horrible rude . housekeeping not much well . 
 Nov 2 2009 	 never .... 	 always loyal Harrahs matter people say . last trip ..... never ! book complimentary Deluxe Executive Suite ( ' ve stay ) find way go let check room . give several different excuse - mostly effect , be important enough get one suite . funny thing ..... diamond status ! go figure ! guess Harrahs not want keep loyal customer happy . going put one basic room literally tear put mini suite , happen shoebox awful furnishing large bathroom . go back , BEG nice room ( end oversized basic room ) . never treat way property Las vegas . hand - mom basic room ceasar palace book upgrade question ask mini suite two bathroom , huge jacuzzi dual headed shower . never stay harrah 's Las Vegas .... lose loyalty ! 
 Nov 2 2009 	 one Huge Relaxing Week Vacation 	 fourth trip Vegas time stay Harrah 's . relaxing , comfortable exciting location . need getaway Vegas spot . big gambler , enjoy comfortable guest room really enjoy Harrah 's . ( see picture ) nothing fancy , ask anything large , plenty room whatever . great hospitality everyone , good food great service great golf Angel Park . 
 Nov 1 2009 	 mediocre 	 stay one night . book room harrah 's website , $ 39 , weekday . assign room cool tower view . room tiny , clean . part loose room . $ 39 per night strip , complain . 
 Oct 31 2009 	 Harrah 's = good value money . 	 nice hotel Strip job . room basic clean . housekeeping prompt efficient . twice never problem bar awful penazzi experience . great location monorail add bonus . 
 Oct 30 2009 	 Harrah 's Cafe .... avoid ! ! ! ! 	 generally like Harrah 's term Improv Mac King show great , never gamble stay , seem like decent , run mill casino hotel . even flavor buffet decent enough , far buffet go anyways ... surprised breakfast Harrah 's Cafe right catch cab airport . $ 16 buck one bad cup coffee ' ve ever , biscuit dry , hashbrown average ... ok , handle , be not expect much really , omelette terrible ... omelette suppose least cheese , right ? wanted avoid another buffet day travel , wish go starbuck ... breakfast experience nightmare , make Denny 's look good comparison . many great place lunch dinner ... good breakfast place strip ? go Rio strip decent breakfast seem Vegas . 
 Oct 29 2009 	 GREAT location GREAT CASINO / HOTEL ACCOMMODATIONS ! ! ! 	 Awesome , awesome , awesome ! staff really friendly , get great rate room , location casino strip PERFECTION ! matter be look , casino ! nightclub like pure across street shop step outside ! right next Paris , Flamingo , Ceasers , Mirage . table always open dealer super friendly . can not wait go back ! ! ! 
 Oct 28 2009 	 great location great price - always go back 	 Harrah 's right middle strip , can not get central . price can not beat . check check go smoothly . shuttle Rio right front door . room nice spacious . noise Carnival outdoor bar . pool look nice , though small not spend time . housekeeping always well do . Star Bucks right lobby - perfect place grab Vivanno smoothie morning coffee . buffet really good well . go back Vegas , love . always look Harrah 's place stay . 
 Oct 28 2009 	 HARRAHS OFFER LONG LINE UPS 	 suggest rio ! ton well 4 day suffer Harrah 's last week . check Diamond member client process reservation upgrade . God forbid check normal line . People wait hour - unforgivably bad service know many check in get - massively understaffed . no hotel know outside Las Vegas charge per minute usage even make 1 - 800 local phone call ! Diamong Club offer joke , food cheap , nasty smoke everywhere . initial suite a / c system sound like loud vacuum cleaner . last least every guestroom iron lock iron boad - insult render iron board unusable . 
 Oct 26 2009 	 Harrah 's Accomdation Surprised Us 	 base other comment size hotel room read TA Vegas forum , kind nervous stay Harrah 's since spouse almost 6 ' 5 & quot ; small guy . glad finally check saw room , fine well expect . assign room Carnival Tower ( happen farth Carnival Court noise seem odd , know little fact ... quiet room also exceed expectation ) ! bathroom large shiney marble floor large countertop sink offer enough room we . request King / Non - smoking room fortunate get , also table 2 chair window also small couch plenty seat space . room overlook McDonalds little food court right outside north entrance Harrah 's casino also view Mirage volcano . housekeep great job , pleased check - in service receive also not long wait check - in even though around 3:30pm Saturday . definately stay Harrah 's since one reason choose hotel central location strip . 
 Oct 26 2009 	 AWFUL ! 	 husband stay past weekend , book room several month prior , gold card member stay several time due location . management must change since last stay staff rude unaccomodating . despite request month ago non smoking room king size bed , receive smoking room two full bed , room smell disgusting could offer housekeeping spray air freshener . complain front desk telephone manage advise six month pregnant smell make nauseous . offer apology , resolution anything , tell full good could move morning . well morning , could not breathe clothe smell . miserable vacation thank staff Harrahs would neevr stay , even free . find hard believe non smoking room full consider Harrahs own several hotel vicinity one could help . even worth complain sink stop dirty . 
 Oct 25 2009 	 Great Location Monorial Stop not gamble ! 	 celebrate birthday month ago Las Vegas stay Harrah 's hotel strip . friend 's parent provide we free stay , one good gift ever ! Harrah 's own hotel / casino across U.S. , many Las Vegas Ceasar 's Palace , Flamingo , Paris Las Vegas . Harrah 's hotel fabolous location strip next Venetian across street Forum Shops Ceasars . Harrah 's offer two tower one stay near Strip . however , room stay view back strip overlook parking garage Venetian . room comfortable clean , need Las Vegas , place sleep . able fit five people room two double bed . bathroom linen clean . rowdy people hallway sleep quarter quiet . not personally try buffet , friend eat breakfast buffet say amazing . however , come Las Vegas late night take $ 5.99 steak egg offer . friend happy eat small restaurant downstair Harrah's . the monorail stop back hotel near bridge connect Harrah 's Imperial Palace next door . monorail take far north Sahara hotel last stop MGM Grand hotel . take monorail day pass waste since walk strip time . group , would suggest ride cab instead pay monorail . literally use day pass one ride MGM walk strip back Harrah 's . fun gambling , lose Harrah 's . issue casino hotel feel stuffy enjoy open space Venetian New York New York offer gambler . check Mirage Treasurer Island remember kind dark casino floor . however , hole wall casino next Harrah 's friend big minimum bet small hotel casino . I would reccomend Harrah traveler can not beat location walkable strip nearby major shopping Venetian , Forum , Wynn , Fashion Show Mall . monorail stop back hotel take hotel strip . room clean , well maintain , comfortable . good Luck Casino BON voyage ! 
 Oct 24 2009 	 room need update 	 Attended conference recently . ' deluxe ' room mislead . need update room . however , staff nice accommodating . change room question ask dissatifie first one . first give room 6th floor move much high . think high floor little well . do not know stay competitive beautiful choice Vegas . 
 oct 22 2009 	 Hotel okay ... plan ever stay . 	 arrive 5:00pm ... book Classic room ( cheap category ) queen bed ... course , one available end hall , away elevator . strip view ... get look 2 parking garage . room spotless ... much appreciated . never understand total Rewards desk open evening ( stay Rio recently , ) . kiosk available check / get comp . annoying , town 3 - day all - day seminar Venetian , get back Harrah 's TW desk close . drink service almost non - existant , slot horribly tight , , see anyone else hit much anything . feel need stay ... ever . nothing make want go back . 
 Oct 20 2009 	 nice would want ? ? 	 big , clean hotel fair price .. parking free location central .. right strip middle action ... 
 Oct 20 2009 	 girl get to fun ! ! ! ! 	 group friend head Vegas twice year , stay different hotel time , hotel flip coin decide whether wanted stay base terrible review . well get to tell be impressed room update , clean perfect place strip ! ! check quick room ready even though get 2 hour check - in . definitly stay , oh legend concert awesome check ! ! ! ! ! 
 Oct 20 2009 	 great 50th birthday Vegas 	 planning spending 50th birthday Vegas decide stay /suites various hotel , notice total Rewards card could get suite compe 4 night Harrahs . think odd booked suite , receive confirmation . notice review people problem Harrahs honor suite reservation . contact Harrahs tell computer glitch early year cause room compe internet site . get standard reply would everything could honor reservation could guaranttee suite . not special occasion would minded room free night . call ask manager . get talk Dallas Holmes . explain casino host could comp suite . course 2 month speak several time . put lot note reservation make sure get sort upgrade suite available . give man A+ customer service . understand come could make sure get suite . turn get suite free 4 night . also get meet great gave chance thank person . Harrahs old property usually stay get compe . old property thing perhaps new nice new propertys . feel Harrahs good place stay not want spend alot money not care fancy stuff . experiece past postitive . yes pool great 's old ! ! ! ! ! ! yes food expensive coffeeshop food expensive unless leave strip . depend budget taste , consider Harrahs . 
 Oct 19 2009 	 great location do not pay upgrade room 	 HOTEL -harrah location perfect hotel many problem . we arrive hotel 11 am tell 1 3 room ready . explain tell would room ready arrive 11 am . tell come back 1 room would ready , return 1 room ready , request take one room ready early tell we room ready . finally give room 415 still not together like request . front desk personnel extremely hard work . room face Carnival Court loud can not sleep 3 4 morning . 9th floor feel like bar . pay 15 dollar night room upgrade worth . room still outdate tell balcony , balcony 2 foot wide 1 foot deep , one person could fit . could wrap hotel say great location horrible room . CASINO- casino nice , bit outdated like everything else , game like everywhere else slot well . play mostly black jack dealer nice . RESTAURANT- Buffet ok food average nothing write home . Toby Keith restaurant good , service bit slow wing great . duel Pianos bar fun , good drink reasonably price . SPA - my wife get nail do spa . like hotel casino , spa nothing spectacular service good price . Harrahs ok hotel ok room ok casino . Harrahs many Vegas property stay one next Vegas trip one . 
 Oct 18 2009 	 nice one hope bad ... 	 agree several review . room date , clean . weekend fare , feel like ' m overcharged room - view rooftop machinery . gambling crowd not spend lot time room , might good . business traveler , non - gambler , be great . my room seem dark , worn , cramp . noise hall room quite noticable . staff keep room clean . since ' m extend stay , plus corner hotel . 
 Oct 17 2009 	 Harrah 's great location / value Las Vegas strip . 	 book package ( hotel air fare combine ) thru Expedia -- second trip Las Vegas ( last trip 11/2003 ) . excellent price , nice coupon book promise , comfortable room ( although end 2 queen instead king request ( say $ 25 night upgrade room classic originally book ) . Stayed Carnval tower 2606 -- clean , quiet promise , large marble bathroom , comfortable bed , & amp ; close elevator . pool / hot tub area close 5 pm ( begin 10/1/09 ) nice afternoon distraction . especially enjoy 24 hour McDonald 's right next door ( Harrah 's coffee maker room ) $ 1 marguarita @ Casino Royale next McDonald 's . Harrah 's old hotel , nice not need super fancy . also enjoy free shuttle Rio ( although disappointed Show Sky vacation week trip ) . Harrah be also monorail stop catch & quot ; Deuce bus & quot ; convenient Harrah 's , although walk alot hotel / casino 's strip . plan use cell phone , not leave credit card file front desk . flavor buffet good ( especially $ 5 coupon per person booklet receive check - in ) . 
 Oct 16 2009 	 Location Great Service Great ! 	 stay Harrah 's great location . however , trip customer service terrible . check Sunday 11:30am . husband travel 2 couple . check room ready . however , one couple 's room ready . 2nd couple 's room ready well . request King Rooms . 2nd couple go check status room hour later , room ready . check hour later , room ready . continue check every hour , tell room ready . one ever offerre search different King room we . keep offer room 2 double , want . 4 m , suppose check - in time , check status room , tell ready . husband ask speak manager , tell check 4 pm - 6 pm , manager would even speak we 6 pm . clerk rude . finally 5:55pm , room ready , 6 1/2 hour arrive . get room discover light entrance area room . also deadbolt work . notify hotel every day , never fix either problem . overall , disappointed hotel trip . love Vegas , stay Harrah 's ! 
 Oct 15 2009 	 Great Time - Place 	 stay 6 night , 5 compe . stay twice deluxe room Mardi Gras tower - renovate room . husband love tv bathroom flat screen bedroom . finally coffee maker , though one cup use . overlook pool standard pool , nothing fancy . 2 couple stay Mirage use Mirage pool fabulous across road Harrahs . carnaval we noise carry patio door open ( small balcony ) silence door close - not bother usually go bed early midnight til early . staff friendly though dealer could social . drink fairly quick see tip . breakfast Cafe price reasonable food good . hotel decent location great plus - handy everything strip . easy get around hotel . use valet service parking great - quick friendly . speed bump could knock bit - way high . always great time return . sightseeing day trip spend early morning hour gambling . always something see - love Vegas . 
 Oct 14 2009 	 ok price probably stay . 	 overall okay 39 dollar spend . however gamble good , food cafe definitely worth price ( club sandwich chili bowl 30 ! ! ) buffet so - so . eat well half price . also , concierge need lesson customer service . disappointed would keep people like staff . thing enjoy fact connect Imperial Palace location near center strip . 
 Oct 14 2009 	 Honest Straight Forward Review 	 good : location strip Harrah 's Imperial Palace ( connect ) unbeatable price room , that s look . monorail station right lobby , wonderful ( station MGM Bally 's LONG walk road ) . room see clean tidy , housekeep good job . front desk quick efficient , get long check line fast hotel stay . Carnival Court bar load fun , bartender bottle trick live music ( also outdoor blackjack table ) , Poker Room nice . the Bad : book regular room , pay $ 35 night upgrade & quot ; minisuite & quot ; . apparently & quot ; minisuite & quot ; mean room 2 phone coffee maker bathroom , otherwise exactly like regular room ! not bother pay upgrade ! find food choice lack , even & quot ; newly remodel buffet & quot ; , however easily remedied short walk across street Mirage , great food . Harrah 's Sunday breakfast buffet change lunch 9:45 , since lunch time ? ? pool word : terrible . actual pool tiny freezing , not bother try swim . could pool desert cold ? completely shade DAY . want catch sun walk stairs pool sit & quot ; sun deck & quot ; , normal people refer : roof . the annoying thing far room temperature . use energy efficient motion detector thermostat , AC not kick be room . unfortunately wall unit mounted angle away bed , sleep AC never kick ! two night get middle night dance around side room get temperature reasonable level . for young people never Vegas , think twice Harrah 's , anywhere North Strip matter . group 30 's easily minority , look true surround property besides Mirage . example , sit drink piano bar karaoke hour , & quot ; High Ho Silver , away & quot ; start sing . thank . young people would much fun South Strip area Excalibur MGM , insane club scene Palms . 
 Oct 13 2009 	 Great Location Great value money 	 Great Place stay Strip . ' ve stay Southside strip , want central location . staff friendly willing accomodate request . room clean roomy . one minor drawback even though fridge room , allow use , merchandise . another note mention drink service gaming floor hard find . would stay . 
 Oct 13 2009 	 problem harrah 	 complete third stay harrah , say glad ignore negative review . yet problem service , staff room . however , pool area could use improvement . 
 Oct 12 2009 	 recommend friend -- give two thumb ! ! 	 Harrah be recommend highly friend frequent Las Vegas . compare hotel price online impressed price quality rating well package deal . upon arrival Harrah 's bit line front check - in desk , move quickly . woman assist we friendly make we feel rush . take time answer question . room clean , quiet beautiful view . buffet excellent variety ' eye stomach ' appeal cuisine prompt table service . Toby Keith 's Love Bar fantastic we ' rock ' night . come back definately stay Harrah 's middle Las Vegas Strip Action , friendly staff . 
 Oct 12 2009 	 happy stay accesible disabled 	 happy check . staff could helpful . able get room people disabiltie , easy get around , bathroom huge . elevator easy get take need go . stay rio much central . can not tell impressed gentleman check we . treat like family member unclear issue reservation . go feel travel agency fault . casino easy get around . restraunt perfect nice people work . 
 oct 9 2009 	 would stay ! 	 price . location . casino . Monorail . hotel great value please . upgrade & quot ; volcano view & quot ; room . room Mirage would least double . 
 oct 9 2009 	 great time ! 	 stay Harrah 's Las Vegas past 3 night . room compe great . stay Carnaval tower . room clean comfortable . staff Hotel nice pleasant . side resturant wait think long get recognize wait person even get coffee . three time ask someone get we water coffee . nice able sit eat still play Keno able watch board , first trip Vegas usually go Atlantic City . already plan visit Vegas next year stay Harrah 's . 
 oct 9 2009 	 well expect 	 skeptical stay old hotel since free not go complain . say pleasently surprised . room nice hotel staff pleasant . two concern casino much & quot ; smoky & quot ; casino gamble pool area compare pool new hotel . 
 Oct 8 2009 	 Good Value great location 	 take mother long await first trip Las Vegas , stay 4 nite Harrahs . location hotel perfect , near many casino easy walk mom . ceasar , Bellagio , Venetian Wynn walkable . room new tower clean , small . hardly notice since almost entire trip ! harrah opulent casino , price accordingly , also compe casino room . eat restuarant . harrah smokier casino , think due low ceiling . unless special trip honeymoon , hotel perfect . 
 oct 8 2009 	 room wonderful ... get one remodel 	 pool fitness center pathetic ! room nice stay one redone , old one bad shape ! 
 Oct 8 2009 	 Geriatric Center Strip 	 stay 10 night due employer participation trade show company select Harrahs we stay cheapest offer convention booking service . Vegas know Harrahs bottom end food chain expectation dismal prior arrival dire experience brace for . there 2 tower room Harrahs . Mardis Gras Carnaval . arrival 5pm informed room ready - seem common theme hotel base review . after dinner lounge around finally get room 7.30pm - good start front desk staff rather indifferent customer first impression . room Mardis Gras Tower small , dark , depress connect door room next door occupy . bathroom also small dark . 3 night room move Carnaval tower peristant complint noise . would equate Mardi Gras tower room Motel 6 style room . the Carnaval tower beeen somewhat refurbish room slightly large . bathroom , light etc similar previous room . tv 's 1980 's poor channel choice picture quality . room marginally quieter . hear neighbour activity quite easily , toilet flush immense & quot ; woosh & quot ; , door slam easily room within 20 yard akin gun shot person inconsiderate ( let us face people ) . 10 night get one uninterrupted night sleep . would equate room old Hampton Inn . Internet charge exactly lighne fast . eat dinner oyster bar ( mediocre food ) breakfast cafe . breakfast quality reasonable cheap - average $ 20 / head ( include tax tip ) fairly basic offering . ALWAYS wait table breakfast yet restaurant always half empty - strange . valet parking fairly efficient naviagte ridiculous speed bump get enter smelly back part hotel . the guest hotel mainly elderly obviously strict budget . walker , ride cart etc common vast majority smoke . smell cigarette smoke permeate build everything - nasty . casino low ceiling , feels cramp slot / table almost shoe horn next one another . not smoke soon casino - nasty . our room service reasonabley prompt room fairly clean , carpet feel little nasty though . Shower water escape tub easily volume low . safe room use anything valuable . basically bottom feeder hotel casino save 's location apparantly loyal age clientel . if 50 , budget , smoke 40 day dress sense Archie Bunker - place . not bother . 
 oct 8 2009 	 Great Hotel adult 	 ' ve always stay Excalibur decide different part strip time . Harrah 's great location strip - close everything . hotel lay great . not walk mile get room show venue . choice slot fantatic . room exceptionaly clean - nice scent . first time ' ve enjoy smell hotel room ! . will stay . 
 Oct 8 2009 	 shabby - great service ! 	 ' m finally get around writing review , really enjoy stay Harrah 's . get upgrade suite check via airport impress big room ! additionally , get room service one night pretty good - constantly surprised level service . love Harrah 's connect Paris - parent stay - nice able easily walk room meet , etc . 
 Oct 8 2009 	 great location ! 	 long ready stand line get check room , rest stay enjoyable . enough hotel clerk available checking , wait approximately 1/2 hour . book room Harrah 's website receive great deal . price quote we different price clerk record . however , honor price without question . the room comfortable fancy . Location centrally locate strip make convenient walk many casino . we not eat meal Harrah 's since want venture , can not really comment food . all , great experience . 
