agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Oct 20 2009 	 Perfect place business stay NY City 	 good place stay NY City especially go business . good location town major bank headquarters walking distance . 51st St. subway station right beneath hotel priceless cold winter hot summer . plenty restaurant cultural attraction area . room comfortable extremely tidy , spacious well illuminated . good thing place magnificent staff . lobby team lead Mr. Dennis Jarrín always kind , efficient , willing help . 
 Oct 19 2009 	 Great NYC Getaway- truly Hidden Gem ! ! 	 ' ve do , read lot review property stay . friend please everything hotel . centrally locate many attraction NYC- particularly , shop district , Central Park , Times Square . also , place outside comfortable walking radius , taxicabs plentiful bustling area , also subway station basically right next door property , also use . concierge make amazing restaurant recommendation , also appropriate give look ( particular type cuisine , approximate price range , etc ) . room quite spacious NYC , substantially large other ' ve stay , comparable NYC property . everyone staff , particularly Dennis one manager , go way ensure stay comfortable pleasant . can not say enough positive thing hotel . also enjoy great buffet breakfast hotel one morning . , staff atmosphere hotel serve enhance stay Manhattan . 
 Oct 16 2009 	 helpful friendly 	 enjoyable stay Doubletree Metropolitan Hotel NYC . staff helpful , especially Keith Homes guest service help we resolve small issue room . addition , go way make sure satisfied everything stay . staff personnel like truly make difference travel . 
 Oct 13 2009 	 excellent location Hotel need renovate 	 Excellent location , good concept room need renovate : ok short stay , nothing really enjoyable , bed old well carpet ( would walk barefoot ... ) . much well NYC price ... 
 Oct 12 2009 	 great place stay baby family 	 spend Christmas 16 - month - old , mother - in - law get room hall 2 night well . love much close - first time NYC , unique hotel ' m sure ! cot provide baby able tuck corner disturb go bed . also blanket warm enough . face away Lex noise worry . breakfast great concierge give we good recommendation place eat ( include Christmas dinner ! ) . one complaint fridge , charge we take thing store leftover babyfood ; eventually settle checkout . also make use free Wifi evening baby sleep sit lobby . 
 Oct 11 2009 	 nice hotel excelent localization 	 cheap hotel , however there´s cheap hotel Manhattan ... nice hotel , close main attraction besides metro station . 
 Oct 11 2009 	 great deal Manhattan excellent service 	 minute Janice Ryan front desk check we experience good . explain sister first trip NYC also birthday , insure room special . partial view Chrysler Bldg sister room complementary fruit basket . manager introduce ( Keith Homes ) small box chocolate bday suprise . desk staff helpful throughout 5 day stay cooke always welcome treat return , tired tour NYC . luggage store upon arrival cke problem . we feel Doubletree certainly add wonderfull NYC trip . 
 oct 9 2009 	 great price clean quiet comfortable room area 	 Doubletree perfectly nice hotel cost third even less ritzier hotel surround Upper East Side . 's definitely league , say , Waldorf , street , really pleasant . staff friendly helpful , room reasonably comfy . not beautifully decorate ( odd lamp , many bare wall , etc . ) , clean dingy . also quiet . plus , get to love greet check - in large , warm , delicious chocolate chip cookie everyone party . want stay area , not want spend fortune , good choice . 
 Oct 8 2009 	 Okay price 	 Doubletree centrally locate Midtown East . overall room little small bathroom really small . nice front desk staff . good buffet breakfast morning . 
 oct 8 2009 	 good deal 	 get great deal hotel room - happen & quot ; accessible & quot ; room make bathroom layout bit odd , room big , bed comfortable , overall place pretty quiet . location excellent ! would stay , even though lobby rest place so - so . 
 Oct 8 2009 	 Warm smile tasty cookie ! : ) 	 say really enjoy stay hotel . hotel staff friendly professional . share one queen bedroom friend pleased roomy we . want stay room comfortable bed , clean bathroom HDTV HBO channel ? think nothing plus . perhaps , try yummy chocolate chip cookie ! like homemade one mom would bake . check , hand cookie card key . great ? hotel manager Dennis Jarrin kind enough pack cookie flight home . highly recommend Doubletree Metropolitan hotel want stay Midtown Manhattan ! 
 Oct 5 2009 	 great value good location good service 	 stay hotel three night flee Sheraton Times Square . mini - suite 19th floor . room spacious ( New York ) live area , desk , wall window . service good arrive check throughout stay . use room service prompt good . room clean alot towel quality linen . free wifi lobby , decent bar well . workout room clean adequate array equipment . location good within walk distance many attraction include Grand Central . little far Broadway theatre not mind 15 20 minute walk , walk back theatre . 
 Oct 5 2009 	 would never stay ! 	 stay Doubletree Metropolitan Sept. 29 - Oct.1 , 2009 . disappointed moment walk lobby . read online hotel renovate . must back 70 's . greet immediately help friendly staff . go room could not believe decor condition room bathroom . furnishing , decoration carpet old . bathroom tiny ; mold shower tile poorly repair guage renovation cheap . look window see brick wall . husband sit chair desk , climb bed get side room . call request renovated room . tell room renovate time , offer room 2 floor configuration , view street , accept heartbeat . the room air conditioner old -- register along wall . not kick night . the place free wi - fi lobby always crowd loud . the 2 positive : staff friendly location great . it noisy outside , well , people close door hallway . like door slam . think area 4 room converge door position right next other . we would stay . use positive image Doubltree Hotels . 
 oct 4 2009 	 Terrible Customer Service 	 stay hotel many time , not good experience hotel staff . always need wait front desk help serve guest chat business front desk . think many know feel like long haul flight NY desperate rest bed room key work check - in . ask staff attend need within one second understand business deal , least ask wait minute instead ignore . second thing hope house keep staff keep noise level . know can not control noise vacuum machine , please not yell voice vacuum machine . last thing annoy one time try call guest hotel . make call 1 am ( eastern time ) ask operator connect call . operator reply , & quot ; ! & quot ; ask reply , & quot ; ok ? & quot ; hang . wonder extremely busy connect call 1 am morning . stay hotel , wish everything smooth . otherwise good luck need help fix something change something . good luck need rest daytime . wake every 10 15 minute police car , fire truck car honking . 
 Sep 23 2009 	 excellent value great quality 	 conveniently locate hotel perfect mid - town visitor , enjoy comfortably appoint elegantly decorate room , well pleasant bar area breakfast room . staff pleasant friendly , include general manager , whose experienced vision customer service feel throughout hotel . real pleasure staying would definitely recommend hotel . 
 Sep 17 2009 	 Perfect location helpful staff 	 stay Metropolitan Doubletree several time last year , company agreement hotel . never really encounter problem check colleague adore warm chocolate chip cookie get , check . lobby clean , quite modern free internet access . experience different room different size , . complain bed : always clean good sleep . towel clean , Neutrogena toiletry highly apreciated . AC always work , thing miss real temperature control . although admit bathroom good condition room need refurbishment . least room new nice tv , radio connect MP3 safe closet ( hotel provide one ! ) . gym quite big carpet lately renew . honestly : much time spend room , stay New York ? want relax romantic vacation , New York good place go . ; - ) important thing stay New York location ! location Doubletree excellent . major attraction walk distance easily reachable metro next hotel . experience staff good , always encounter corteous , friendly professional staff . especially Dennis Jarrin helpful give good advice . I would definitely return doubletree short trip New York 
 Sep 13 2009 	 not waste trip NYC place 	 use Hilton HHonors point stay overnight function , one bad hotel ever stay -- say something . would never stay another Doubletree . would rate around Motel 6 day Inn stay nice hotel chain . room shabby , small neglect . heating / cool unit look like last replace late 80 's , blow cool air . check walk rain could not even get room warm . bathroom floor unclean . bathroom tub black pockmark touch one handle room sticky . not ask ! executive lounge open 7 - 11am offer meagre selection fruit cold cereal . waste trip New York -- - area still rotten experience . look around location city enjoy ! 
 Sep 8 2009 	 great pleasant stay DT Metro bring earplug case ... 	 admit try rebooke since afraid bad review website . upon walk lobby pleasantly surprise . lobby clean , modern , narrow , something expect NYC hotel Doubletree . great time , check easy , hassle long wait . get hotel travel awhile arrive hotel check time . hotel staff ( especially housekeeping , & amp ; bellstaff : & lt ; ) -thank ) pleasant greet family smile warm hello . ask Concierge ( Jennifer ) several different suggestion , disappoint . Britney check mother quickly . originally book package deal Expedia ( normally book hilton honors since member ) , afraid would treat disdain complete opposite happen . book queen size bed ask could get double instead . unfortunetely unable upgrade king room corner room allow space . turn great since niece nephew end visit we awhile . breakfast opt daily breakfast run adjacent Metro cafe . believe affiliate hotel . elevator run fine never problem long wait . hotel diagonally across Waldorf Astoria , next subway . feel safe especially since fire station police station block . People complain noise find hillarious , would think would want close emergency department case ( especially solo go atm night ) . bring earplug really need nyc walk place foot time time get back hotel knock anyway . one negative , see trace mold shower think disturb especially since beautifully remodel bathroom . nyc see many hotel since building old adequate air circulation . would definetely stay , hotel clean , lively , happy ! thank wonderful stay . 
 Sep 2 2009 	 Good Value Money . clean . Good Location . 	 stay 29th Aug - 1st Sep . check easy pleasant . pick complimentary cookie lovely warm ! . stayed room 910 9th floor look Staples shop direct Subway . king size bed comfortable linen white clean . tv L.G LCD HD 40 & quot ; great plenty channel . also desk & amp ; computer chair , plus small sofa room . safe locate top closet work well rather small could not fit laptop . plenty storage clothe also empty suitcase . bathroom sink counter locate separate side room main bathroom . bathroom bath / shower toilet work well water pressure good , also always hot water available . although might big bathroom fine NY well could possibly get elsewhere . floor room Ice Machine Vending Machines handy . lift quick never wait long minute one . internet pay , look wireless connection local University connect free may go lobby connect free . not use food service hotel comment area bar locate hotel always full people must good . Maid service efficient , always clean suitable time . we hear Fire engine times night not bother we tired walk around NY fall back asleep straight away . checkout quick easy , add extras bill like hotel try put pleased overall . 
 Sep 2 2009 	 know get $ 150 would pay $ 500 stay somewhere else ! 	 drive hotel find garage around corner discount rate hotel guest . since oversized truck charge we extra- problem . walk small cramp lobby hotel everything look ok . do not know walk corridor room . hotel straight B movie hotel dilapidate everything old outdated decor . get room go worse terrible . , keep mind , get & quot ; deal & quot ; priceline , believe get 3 1/2 star hotel $ 150 . walk musty smell right bat . would go change room right run late dinner . stay survey damage . Bathroom look like mold infestation . closet musty smell cause avoid use . rug tear corner , wall paper peel corner . good part find someone else 's eat & quot ; parfait & quot ; ? corner bathroom . staff never clean well nice running chocolate stain run cup half eat dessert lay . baseboard bathroom fall that s bathroom ! air conditioner one find nasty old motel .... old anything ' ve see . really , tired go , get idea disaster . 
 Aug 31 2009 	 great weekend Doubletree Metro 	 Hubby return weekend Doubletree Metropolitan New York . experience lovely . location perfect we . drawback fire station across street . never disturb we . maybe lucke . room huge big enough . clean , lovely modern decor . love stainless steel round sink bathroom contemporary feature . bed sooooo comfortable crisp sheet , pile feather pillow snuggly feather duvet . turn temp room could use . want take bed - linen , pillow - home we . arrive early room available not wait . everyone friendly . drink bar . expensive nice spot relax . not eat restaurant can not give review . location far enough Times Square thick close enough walk , well walk distance anything Midtown . 's subway entrance right next hotel other close . complaint business center . go print boarding pass , charge . connection slooooooooowwwwwww . reset 2 computer get one work right . eventually work minor frustration . the room not perfect . desk chip . bathroom small someone use much caulk . minor . price reasonable bed alone worth . definitely return hotel . 
 Aug 30 2009 	 Run dump 	 clue line check everyone argue something . , 2 3 desk clerk actually serve customer stand . another disappointed guest come spouse complete distraught pay & quot ; free parking & quot ; . needless say , suite like picture anywhere close . clearly , suite run , roll away make , safe work , enought room . last straw come make roll away daughter lay bed pain spring come mattress . enough pack bag leave without spend 7 day book . never happy pay money real hotel , service amenity tell we management care top detail . 
 Aug 30 2009 	 good location busy rowdy hotel 	 stay 2 night overall pleased room . pro : - close subway- comfortable bed , lot pillows- huge flat screen tv great choice channels- lot mirror , storage space desktop / counters- Decor modern , carpet bathroom bite worn- front desk housekeeping staff friendly helpfulcon : - busy hotel , lobby always cram , system lining - up front - desk assistance ( get cut front time think stand line ) , elevator always full and- entire floor reek marijuana Sunday morning- soundproof , hear activity hallway car honking siren street- Bathroom ( toilet tub ) fan , leave room musty damp feeling , probably cause smell previous guest complain about- sink vanity outside bathroom , towel bar place hang towel , leave space practically useless someone bathroom- little vanity space- Sink splash strongly ( seem silly , end wet shirt first try washing hand ) give price , would consider stay . would shop around though first try stay less touristy area . 
 Aug 21 2009 	 great room great rate great breakfast 	 husband stay five day find hotel staff pleasant , room clean , everything work , problem bathroom . 18th floor , back hotel quiet . rate book , non - refundable , include breakfast buffet , great ! wonderful waffle ! would stay . 
 Aug 18 2009 	 good choice Manhattan 	 good location . hotel modern construction comfortable room nice style . staff kind . stay two continuos room 5 night excellent experience . & quot ; Metro Cafe & quot ; first floor side principal entrance , wich good alternative fast healthty food . 
 Aug 17 2009 	 great location .. everything need 	 really enjoy stay . right subway line extremely convenient . not need much help staff great get need . book rate get complimentary buffet nice eat hotel get since early riser . beverage not include coffee reasonable ( & lt ; $ 2 ) .. would cautious whatever price charge juice though fyi.the sink area main shower / toilet area nice since monther / daughter .. would not want bathroom together . cookie awesome always ! ! 
 Aug 15 2009 	 NYC - reasonable comfortable good location 	 good location . decent room - comfortable small bed . warm cookie appreciate arrival . open lobby strange . good deli next door . reasonable room NYC . 
 Aug 14 2009 	 disapointing hotel ; go elswhere 	 hotel disapointing . long tooth 's location 's redeem quality . probably decent 20 year ago today dirty hotel avoid . check hotel ; receptionist pleasant welcoming , however , arrive room find dirty carpet , old , outdated decor , trash previous guest trashcan , lock not work , terrible airconditioning . need complete overhaul ; stay elsewhere . 
 Aug 14 2009 	 Mold Trash Bad Attitudes 	 arrive , room smell like teenage boy 's locker room . contact guest service move upgrade king size room . arrive new room , bathroom smell like mold urine , chest drawer pull away wall large pile trash behind , carpet dirty crumb , shower curtain visible mold . smell overpower . room clean & quot ; guest - ready & quot ; . pay $ 14.95 24 - hour wireless internet access . work periodically . good business trip . contact front desk nice man , say problem , happen will refund money . next morning , continue happen . contact front desk , man answer rude inform give refund internet . check account apparently man night give refund . give refund internet . bar tiny . lobby constantly fill teenager sit around use internet . smell like smoke people stand one foot front door smoker & quot ; pole & quot ; . get Guest Relations Manager 's name - Believe will need . 
 Aug 11 2009 	 ok be use crash - pad not expect luxury 	 already read review , know not 5 - star experience , would rate 3 - star hotel base room allocate . room fairly small - even european standard - date . could refurb bring 21st century . bathroom similarly cramp date could use new bathroom suite . add woe room fact could hear aircon unit outside hotel whir hour , not entirely conducive good night 's rest . public area hotel good though , bar fine , wi - fi reception well use we everyone else look thing , concierge pleasant helpful . ( say , concierge send we italian restaurant look close 9.30pm - city never sleep , apparently ! ) , hotel ok be look somewhere clean lay head freshen , want . small change room could make nice place stay . 
 Aug 10 2009 	 Good Deal Cost 	 look reasonable place stay city good location , quiet , decent room bathroom - Double Tree place stay . downside cost use internet - deal NYC . would stay . 
 Aug 10 2009 	 price point well 	 stay 2 night Doubletree June . hotel reasonably price , not seem get much . room tiny , wear smell . although lobby appear recently renovate , room need face lift . depend side hotel stay , room extremely loud due street traffic . location hotel great . close subway within walk distance restaurant bar . although hotel reasonably price , would think could pay stay place far nicer . 
 Aug 4 2009 	 complaint 	 guest Doubletree Metropolitan July 23 - 25 pleasant experience . staff helpful allow check early ( 10:30 ) . subway stop right outside door , convenient . midtown attraction , well Central Park easily walkable . good bagel city around corner Ess - a - Bagel Third Ave . room small , especially bathroom , still comfortable . drawback local police & amp ; fire station block , constant siren noise . 
 Aug 4 2009 	 right price right size good location 	 pleasant surprise find & quot ; roomy & quot ; hotel clean , well light well locate New York right price . pay around $ 200 Thursday night weekend July 4th . would absolutely stay . 
 Aug 3 2009 	 one Big Complain 	 Nice hotel , nice people , great location . twice employee enter room & quot ; disturb & quot ; sign hang door . room ( know person accidentally drop hotel employee computer form floor ) second time room get dress maintenance try come fix service call past guest . reason , would stay . 
 Jul 23 2009 	 Pleasant surprise 	 stay terrific . staff prompt request . complimentary breakfast buffet . warning -- still pay drink buffet reasonable . room nice New York especially rate . right across street Subway stop convenient . street fair right outside Saturday try leave would little inconvenient get cab carry much . 
 Jul 21 2009 	 think good ... 	 stay Doubletree Metropolitan one night end June 2009 Mother . manage get really good deal book direct online rechecke weekly leave US - get twin room , breakfast $ 200 centre NYC think excellent . first impression excellent , spacious lobby staff fall help , chatty friendly professional . room ( two queen bed ) 19th floor quite small clean good quality bed towel . free wi - fi internet room . breakfast excellent - hot buffet available - request refuse . luggage store we check ( cost $ 2 per bag explain upfront ) useful not leave airport late afternoon . excellent stay . 
 Jul 19 2009 	 stay 	 hotel two block Waldorf . subway corner . within easy walk distance Times Square , Theatre , Central Park , etc . great location . service great , room clean big enough . price , can not go wrong . 
 Jul 9 2009 	 Old Dirty room 	 first room leak toilet , move another room look much small first one . bother request another room hard move big luggage since hotel staff hand we another key offer send anybody assist we . take time call service . room old musty air conditioning unit set fan . bathroom main complain . small , close door without touch toilet . carpeting look old . candy room dusty even partially consume . 's shame ! pillow need double pillow - casing since look dirty . housekeeping night 12th floor polite . almost return home cancel vacation never experience like good hotel chain . know hotel NY City tell expect much . try Doubletree many time past satisfied . Doubletree Hotel expect something good name . room Doubletree Metropolitan Hotel NY City impressive . hotel room need renovate look new clean , bathroom size must consider seriously . people give hotel good review base location accessibility , think 's pay . care quality cleanliness , hotel ! 
 Jul 7 2009 	 Great Staff Nice Hotel 	 stay Doubletree Metropolitan July 4th weekend get good rate Hilton website ( include breakfast ) mid - century modern architecture . staff friendly check - in , even though couple hour early find we available room . also able get late check - out without hassle . unfortunately , bathroom first room give bad shape , go back front desk move different room . desk clerk speak a / the manager , see front desk area almost every time go downstairs . gracious , apologized bathroom , even follow phone call new room . the room decent size , although ' m big fan sink expose separate shower / toilet . obvious part hotel refurbish part , room sink area look new , shower area didn't . the location great get subway ( 6 ) , fairly easy walk Times Square . want right & quot ; action & quot ; , probably not good place stay . area quiet , although 24 hour cvs couple block , much else available night . the lobby compact , even though be large hotel rarely see anyone wait reception . every single staff member encounter extremely nice , fresh cookie add bonus . complimentary breakfast buffet great , wait staff cordial , one ever put coupon breakfast . charge minimal gratuity room book complimentary breakfast . would stay ? get good rate definitely would . hotel clean , fairly convenient , staff great . 
 Jul 6 2009 	 Hotel ok use wonderful 	 wife stay DoubleTree Metropolitan late June 2009 couple night . choose hotel primarily two reason : 1 ) stay hotel back 2005 wonderful experience 2 ) price good . although price still good , room bit run . sheet stain , shower bug wall cobwebs dust ball wall . ask another room staff accommodate give we another . 2nd room little well . room short anyway . hotel nice lobby happy hour bar . 7 block east 5 block snorth Times Square . 's plenty store locate street ( 51st Lexington ) . & quot ; New York Lunchenette & quot ; one favorite breakfast place around corner 50th Lexington . cab ride hotel LGA $ 35 $ 40 .... JFK $ 45 fix rate . also take subway lot less either airport , take bus part way . the staff nice polite . hotel close central park . I think last renovation 2004 , practically brand new hotel first visit . would definitely stay hotel , although ' m sure wife would not . not think hotel bad price pay . beware be look luxurious hotel plush accommodation , may see hotel . Hope help . 
 Jul 6 2009 	 bad 	 stay 3 night 4th July Weekend . book though certain low fair website not show name . worth price , much . pro : Location - 6 train right outside door ( one stop Grand Central ) , e v train 2 block north . Rockefeller center 10 minute walk away . not even unreasonable walk Times Square ( although e train 42nd street / pabt fast , 4 stop ) . room : good size Manhattan . private bathroom , small one . parking : attach garage offer discount $ 30 / night parking guest . get Valet ticket stamp front desk . con : climate control : could not find thermostat . choice High Low . overprice amenity : roll away bed $ 50 / night ( glad buy air mattress , maid even kind enough make every day ) . not even touch minibar stuff leave set . sensor . internet would arm leg . fortunately , could connect Cornell Medical School wi - fi room . elevator : morning , wait 15 minute empty enough elevator make 8th floor go . take stair . minor inconvenience , still . not go room service anything else , will not comment that . all , 's room would cost $ 90 less outside city . keep mind pay $ 180 + . 
 Jul 2 2009 	 mediocre experience good 	 would like begin positive fortunately we usually involve people part experience . staff member encounter courteous helpful . concierge receive special kudo helpful courteous humor aplomb . alas several negative outweigh positive staff . air conditioner function properly need turn full level room barely tolerableeven night really hot yet outside buyer beware ! imagine scorch may become heat wave . perhaps experience either resemble purgatory sample hell earth . alas b go vacation ? water never become hot either sink bath washing . stopper drain sink one simply waste water drain use sink . also hotel engage deceit gouge innocent would make madoff proud ! tray room appear item complimentary bottle water ... however one soon discover touch item tray 20 second ( kidding ) pay $ 7.00 item . finally park garage make certain receipt stamp hotel pay discount rate $ 30.00 . forget stamp pay full price . end pay 440.00 2 night ironically consider bargain NYC . would rather book & quot ; room & quot ; suite Central Park rather pay price value receive . 
 Jul 1 2009 	 bad nothing special - decent place stay get good rate 	 look great NY hotel experience , not . room bit tired okay . need reasonably price place stay good location , okay ( may well able well ) . room decent size , especially NY . not particularly cheerful nicely furnish , , be pay much either . shower almost water pressure make wash hair lengthy process . tv remote control battery dead , respond request quickly . however , service colleague Africa good . luggage not arrive . inform hotel expect luggage arrive separately notify . second afternoon stay , hotel tell luggage arrive , went buy change clothe . night , discover hotel luggage since morning . cost quality room service poor -- small salad available -- cheap salad $ 13 basic lettuce tomatoe . pizza totally bland . 
 Jun 29 2009 	 Pleasnat stay Great Location 	 hotel great value great location plus really comfortable , clean pleasant . room average size . overall really nice pleasant place stay . top service expect Doubletree . staff encounter accommodate . woman check nice , course , get cookie . sometimes think people trouble staff hotel pleasant people around . rarely trouble staff hotel Doubletree exception . treat people respect get treat respect . the location 51st Lexington great mid town location . price New York City ( $ 180 per night Hilton website ) , good hotel . 
 Jun 25 2009 	 good value money 	 anxious stay reading comment tripadvisor . travel bunch girlfriend Ireland , select hotel pay full front Expedia . first arrival , receptionist friendly person world however upgrade room large one extra cost . stay staff friendly concierge ' recommendation excellent . room decor little tired bed comfortable clean . room flat screen tv . stay 3rd floor , friend different floor agree could little noisy corridor street . think value money location would stay . 
 Jun 19 2009 	 recommend 	 buy package deal include hotel good value . package deal , not expect much - pleasant surprise find hotel friendly staff adequate facility . 9th floor face 51th St. , bit noisy , especially fire station next block . it noisy enough trouble we - sleep fine , bed good . room huge accommodate two person two large piece luggage . room clean well maintain , service every day . complaint cost WiFi room , although free access lobby . checkout process breeze - time . would certainly stay ! 
 Jun 17 2009 	 stay ! 	 June 6 June 8 , 2009 , stay Doubletree Metropolitan Hotel New York , New York . book hotel fare Priceline , call hotel make request two hotel room . ask reservation attendant would include reservation , possible , would like two room double bed , view New York ( first visit city ) , early check - in . explain could guarantee request , type request usually accomodate . travel companion arrive hotel June 6 , tell room ready double - bed room available . express disappointment front desk attendant , explain two male two female party ( non - couple ) would feel comfortable sharing bed . offer we two cot two room , $ 50 per cot , per night . would additional $ 200 stay . ask cot much , front desk clerk merely shrug shoulder reply . point , feel rude , ask could speak manager . manager come , seem immediately confrontational hostile . want tell understand hotel ' side , feel upset would charge much keep companion comfortable . instead keep repeat " want ? " , suggest discount rate cot . say would ask housekeeping could discount rate , ' go make promise . point , guest watch interaction become embarrassed demeanor . , say would fine , would come back two hour see room ready . return , one room ready four we go single room change dinner . return dinner , desk attendant switch shift help different clerk . tell we double bed available second room , give we . last day , check , ask clerk additional charge room . tell $ 8 fee mini - bar , item purchase . explain purchase item , give disbelieving stare . say going send someone check mini - bar room , confirm nothing missing . tell would fine . take key , tell take charge bill , waive hand dismiss . point , request complimentary cookie , receive one check - in . hand one bag , waive hand second time dismiss I . although fully understand request guarantee , ' feel receive customer service come expect Hilton brand . also find disrespectful interaction hotel staff , clerk iterate ( manager initial confrontation ) " Priceline customer , " decidedly negative connotation . beyond lack service , hotel also amenity issue . first room directly adjacent Fire Department cot . second room also cot , smell like smoke ( even though non - smoking floor ) . first bathroom smell like mildew sink would spray water everywhere . bathroom screw handle shower faucet . lastly , try call much - advertise " breakfast , lunch , dinner " room service , tell open 11 am 6 pm . base last encounter management , choose complain person , instead fill survey leave room . drop survey morning second day , include name , address , phone number , hotel room card . however , never contact regard concern . also , cot situation never follow , ' last day sure ' charge . 
 Jun 13 2009 	 Great Location good value 	 Doubletree Metropolitan ideally locate . buy $ 25 7 day unlimited metro card get $ 75 dollar worth travel feel safe time . pre - booked room 16th 18th floor end 16th floor complaint room bathroom issue noise . 
 Jun 4 2009 	 small room bathroom dirty 	 hotel Doubeltree standard . must one rundown one network . average good , stay location room . the bathtub look like 2nd life need replace . 
