vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Sep 30 2009 	 stay elsewhere hotel go downhill . 	 carpet room hall stain tear . ice machine work , vend machine order . first enter room , trash full trash . charge $ 5 parking , expect take receipt cashier reimbursement . bathroom sink leak . tub old stain . bartender rude grouchy . 
 Sep 28 2009 	 nothing fancy great deal 	 be look posh , stay away . place see well day room run $ 12 night try complain much . room adequate ( seem nice North Tower ) , check - in need improvement although staff friendly casino table always seem seat open even nickel player . good size pool so - so pool area . nice location top end Fremont . short walk California Main St. Station food well . be elevator one evening thinking be never problem wait one - promptly get stick floor 2 3 . one point figure stuck night able call elevator technician sprung hour . security professional making sure okay , etc . overall bad stay . 
 Sep 24 2009 	 Military Reunion Friendly 	 group rate $ 29 night great area compe hospitality . group sale cater great job help fix issue come . 30 room total , well other comforable . issue change room Plaza great place reunion . room good size plenty closet space . small bathroom coffee room drawback . Resteraunt buffet nothing special . banquet food bit high bid food great , banquet room nice banquet serve staff perfect . bar banquet price little high bartender super friendly . 
 Sep 12 2009 	 Great Price Good hotel 	 horrible place stay like people say . pay 12.00+tax online get upgrade mini suite 10.00 buck . like Fremont street look fancy resort feel ... go stay strip go find Fremont . room clean great view . get hungry place call Firefly Fly Dome Plaza second floor . 
 Sep 5 2009 	 Good Thought 	 Hotel old , guess price ok . expect room modern consider location hotel . casino fun . consider another hotel Vegas . 
 Sep 4 2009 	 ok keep mind price 	 pro : Close Freemont Street , price , viewcons : old , noise insulation , short shower . a friend mine stay 8/30/2009 . arrive , noticed valet parking right next bus station . big issue . bad part lack signage find check . 's quite walk parking registration desk . get lucky get room Freemont Street view . elevator right next front desk . room clean decent . however , could really use update . style room still stick 70 's ( expect 's old hotel ) . big complaint place shower head short ( maybe 5 foot ) , toilet EXTREMELY slow rock sit . 6th floor corner main facade . great view . Freemont Street Experience eye level . downside , easily able hear music street . not already exhausted get , ' m sure sleep could issue . not eat onsite place , nothing really say . elevator not slow . overall , think get pay . know 's use expression , be completely accurate describe stay . 
 Aug 22 2009 	 .... get pay '' 	 fairly clean ... long walk front desk south tower . buffet good . overall plan lo sight see planning staying room long time .... be cheap okay place stay . location enjoy Fremont Street Experience AWESOME make cleaniness overall inside appearance Hotel . extra $ 20 $ 30 night upgrade well hotel would highly recommend . 
 Aug 7 2009 	 get pay 	 Booked hotel less $ 30 night price , receive expect price . hotel staff not friendly . long walk smokey casino ( course , be Vegas ) get South Tower elevator ( although thankfully , 3 set door lead outside various spot throughout casino brave heat would rather walk casino ) . room old , furniture chip worn , wallpaper peeling , floor dirty ( first walk could see vacuum mark , main path room vacuum ) . bathroom fairly clean . good view pool Fremont Street experience room . bed pillow pretty comfortable one wake sore . it however great spot , end Fremont St Experience . get food money hotel , eat grill next South Tower Elevators . get cheeseburger steak fry $ 6 definitely fill . however , Paradise Buffet Fremont ( street ) offer breakfast , lunch , dinner buffet around $ 6 - 8 per person good selection food . if want go strip , ride deuce public bus system . bus clean although sometimes crowded drop - off right downtown Fremont . be go ride 5 time / be least 3 day , HIGHLY recommend get $ 15 3 - day bus pass ( be also good Vegas public bus ) . be go town ( ie . Hoover Dam Red Rock Canyon , highly recommend , $ 5 per car 's great Vegas deal ) 's easy rent car . take TAXI , -very expensive- ( taxi ride airport downtown Plaza cost we $ 36 ) .Overall will not complain much hotel price . want somewhere sleep shower Vegas not care update / spotless room hotel , certainly can not beat price . 
 Jul 25 2009 	 pretty average get pay ! 	 father fly Vegas 21st birthday . arrive hotel 11 pm , place 3rd floor . get room , smell bit like nursing home , tired not care .... fact room look onto rooftop cubby large purple light point directly window , light little balcony shorting , a / c unit dot lie beyond . fridge ! dad 's room not much well , ( furious pay bit extra deluxe room , obviously . sell night though think safe assume poor quality room get late . ) went talk lovely people move we next day . place 15th floor , room smell lovely , great view fremont ( love fremont ! spend day one strip , honestly say think strip overrate . atmosphere Fremont lay back , people be not push shove try get .... honestly say fun Fremont anywhere else .... oh go see Tournament king ! poo ! ) neither room fridge . odd , right ? rest trip great , would reccommend buffet . food dry stale , dad go put whip cream blueberry find cream separate . sick 3 hour . get chance though , try omlet house diner right next buffet ... food fantastic ! oh forget , go lombardis ( waiter kind enough box meal do not miss Rat Pack Back show ... fettucini delicious ! ) Rat Pack show well do . guy play Sinatra look like Liam Neeson , dead ring vocal . however pop spring extra front row seat ... even tip usher still got put far right stage , second tier . bum , quality show make . guess anything need help , would customer service skill front desk usher . really give impression see many tourist , do not care satisfied . want end positive note commend waitstaff Lombardi 's great attitude service ! 
 Jul 23 2009 	 bad Hotel ever 	 book room ( 3 ) way advance , take child significant other see Van Halen Christmas gift . bit spook enter parking structure bus terminal . follow wind course find Front desk . finally check , go another trek find room . room old , shabby clean . tv 's not work bed 1950 , linen wrinkly threadbare . bathroom also 1950 . decor 3 picture room . room look like bachelor party forgot repair damage . pay low price figure get pay complaining would not get we anything well . never ! 
 Jul 18 2009 	 fancy special worth value pay . 	 first stay - downtown , great location partying . hotel room clean , staff person speak friendly nice . expectation set high know hotel / casino old . price pay , expecation meet . note - drive , valet , much well parking garage really much well parking suface lot right beside hotel / casino . Valet fast ! cheap room go much work well . plan room much , tv reception terrible , take book maybe slipper , carpet 21st floor , south tower need cleaning change . 
 Jul 12 2009 	 could use TLC still good price . 	 first say overall good place stay . price , location atmosphere great . say , thing could use attention . iron put room dark residue tranferre one shirt ruin fiance shirt . shower fan , look like 60 's , fall wall shower . a / C do not need keep room cool night tv reception horrible . still great time though . 
 Jul 12 2009 	 good spot cheap classic Vegas 	 stay Plaza June 7 - 11 June 18 - 20 . husband travel , basic need clean safe . standard clean may vary folk , read ... ( ( keep mind , standard even low Vegas , since literally room place shower sleep . ) ) first room South Tower , upgrade Strip view , spectacular sound , include view Greyhound station , haha ! room clean , musty due age . bathroom clean , , little date ... caulk around tub edge peel area look like water leak . however , shower water hot forceful never run , perfect wash Vegas hair . air conditioner freeze last night , since leave anyway , bother maintenance . second room North Tower , remodel . first thing , check bed bed bug , find , gross brown stain sheet , ask switch room immediately . hassle , staff apologetic . room still bite mustiness , new feel . shower situation first time . iron black burn spot , notice first , nearly ruin new shirt . time , bed comfortable , could use pillow . Plaza late check - out policy , extra $ 20 , stay room til 6 pm , great we since leave midnight flight . allow we sleep day re - coup night . would recommend hotel friend ? handle age mustiness , Plaza problem . prefer modern feel , might consider another place . the hotel casino staff helpful friendly . hotel 24 hour McDonald 's addition pizza shop buffet restaurant , eat . husband stay Plaza , stay compe , however , room area cheap around . goal gamble , play poker , stay night go non - stop , Fremont St. perfect we . not spend much time gamble Plaza . 's walk distance Binion 's , spend lot time poker room . Golden Nugget nearby , pool spa fantastic . Fremont St. summer promotion call & quot ; Summer 69 & quot ; dealer staff wear tie - dye shirt , live show every night street , music era . Fremont St. experience include music Kiss Queen . 30 crowd tend old we . fine Fremont , careful venturing far away , especially night , neighborhood get dodgy quickly . however , never feel unsafe walk around Fremont 3am . the vibe old Vegas much different downtown . want dancing fountain night club , area might . want gamble , stay cheap , meet sort Vegas character bite mellow experience overall , head Fremont Plaza . as friend live Vegas put , & quot ; would worry people part town , guy adventurous handle it . & quot ; : - ) 
 Jul 9 2009 	 good pricelevel 	 need cheap hotel lot posibilitie get hotel . sure , many spectacular hotel Las Vegas , money pay one , can´t really expect much . good restaurant good cheap food . plenty room casino central location old part strip . get window face strip fantastic view night . so plan stay cheap Vegas would recommend hotel time . $ 7,77 buffet worth diggin , even you´re stay hotel . 
 Jul 6 2009 	 great price 	 love hotel , yeah cheap get pay . staff nice . ask fix ice machine floor fix next day . try find place would deliver pizza hotel concierge call we back different pizza places.only one bad thing smoking floor could not even open window , would say excellent 
 Jul 3 2009 	 Bad First slowly improve 	 stay Jan 09 room much clean , basic clean . time room well keep call someone come clean thing . buffet impressive little offer . casino sport book good friendly staff . desk staff friendly , seem testy time . enjoy pool area basic area long sun , someplace sit lie maybe drink , good . take little care concern room , ok . 
 Jun 30 2009 	 good 	 ok hotel great room large could good clean pool area ok basic staff friendly helpful . hotel well day none light room work . iv stay bad would not rush back however pay bad . 
 Jun 28 2009 	 anywhere ! 	 stay Plaza amount money ( even free room ) . funky smell upon walk casino . room filthy , moldy smelling , date ! dissappointe hotel , let ruin trip . next time would stay downtown hotel except one . husband never take shoe carpet room , hope bring home & quot ; friend & quot ; ( bedbug ) . downtown area blast clean . Fremont Street Experience awesome much party atmosphere much ruckus . exaggerate review , tell truth . find another hotel besides one ! ! ! 
 Jun 17 2009 	 Plaza ... never 	 okay , know price reasonable expect get pay . , fact , stay numerous occasion last twenty year . year well truly blot copy book . condense description stay : book via Internet , request none - smoking room overlook Fremont Street . June 1st arrive check . informed North Tower temporarily use would stay South Tower . could , however , take advantage current & quot ; deal & quot ; & quot ; luxury & quot ; suit $ 15 per night extra . unfortunately none - smoke suite , , promise suite completely clean would residue smoke . we ask place far away railway possible - find overlooking ... & quot ; suite & quot ; , first glance , appear quite nice - though coffee maker would handy - unpacked sat admire view ( quite spectacular ) . train come , come , come ... half mile it . we decide minor fault would bear . apply badly stain carpet . two day later wind rise - curtain ! discover window FRAMES appear hold place duck tape - dry curl away . once decide make fuss ( well , Brits know tolerance , not ? ) day four come back late afternoon find maid come room , exchange pleasantry went - find touch bedroom bathroom even though connect door wide open . time complain - inform , place & quot ; disturb & quot ; sign bedroom door around 9 am ( whilst go fetch coffee snack bar ) hotel & quot ; policy & quot ; disregard say room day ? ? ? ? happy , could logic ? day five . family move suite next door - could hear quite clearly . go dinner , come back find & quot ; suite & quot ; reek cigarette smoke . seep connect door . well , give brief idea stay . checkout voice dissatifaction - avail . then return home check bill , find charge we $ 30 per night ... okay , hear shout complain early , louder etc . never go back , even offer we & quot ; special deal & quot ; . 
 Jun 7 2009 	 Sad upsetting ... 	 live Las Vegas visit Plaza year . time see pointless change oddball repair ever nessesary . company operate Plaza , Tamares , clearly interested amass property maintain . come dollar , Plaza sad casualty . excuse this . a good example grand Center Stage resturant . close turn monstrosity , & quot ; Dome & quot ; , blatent example tamare respect 's property . place Robert Deniro Sharon Stone dine Casino ! James Gandolfini Julia Roberts dine mexican , helen Hunt Kevin Spacy scene Pay Forward . classy , refined , unpretentious , beautiful remnant old Vegas . appaule see half asse sport memorablila ( clearly borrow Las Vegas Club ) cheap tv 's beautiful leather booth . be bad enough 's sport bar , dide not even right . Lombardies seem okay , will not say anything . some employee alright , other barley speak english could indifferent . employee fire , replace people give damn . my last gripe signage . Plaza incredibly cool signage , yellow light burn word Plaza red flickering neon . way almost month yet get clear answer anyone hase not tend to . it be embaressing . downtown hotel really clean act really good job ( Gold Spike , El cortez , Golden Gate ) Plaza , amazing poential become Palms downtown , leave rot everyone witness . I put foot Tamares Nevagante . they business run hotel never speak well . 
 Jun 4 2009 	 Sigh ... Plaza . 	 one favorite place gamble . plain old school . send free night figure & quot ; heck ... & quot ; knew not going get venetian , Plaza right edge young single professional limit . ( well within frat boy budget parti limit though . ) room ( # 2006 ) average size , sheet / blanket / towel spotless , carpet nasty decor style 1976 . bad lack in - room safe , lug cash around whole time . one bright spot act & quot ; Aqua Lounge , & quot ; & quot ; Four - Tops & quot ; , & quot ; Temptations & quot ; , & quot ; Spinners & quot ; kind cover act really good . comp also pretty generous cocktail waitress fast , never wait drink . continue frequent Plaza gambler , not think will stay . 
 Jun 4 2009 	 Filthy Disgusting ! ! ! 	 stay Vegas night way L.A . Husband book room Plaza Vegas.com $ 25 / night . pay much ! ! ! break cry check . place filthy disgusting . one room water hair bath tub . carpet room hall nasty ! ! whole place smell like smoke , bad . sleep sock , not want bare foot floor . wake black bug crawl weave sock ! ! suppose 3 night , check early morning first night . 117 degree , would sleep car . move South Point Resort & amp ; Casino , interestingly rank 3 star vegas.com , Plaza . would rank Plaza negative 10 star hotel , Plaza would get high rating book . hotel not fit house prisoner ! ! 
 may 26 2009 	 place fit homeless ! 	 stay Plaza many time past always satisfied past trip.1 . elevator slow , half work one work dirty would touch anything ! spit one urinated , maybe bad want imagine that.2 . never take flip - flop room shower . hate think stain floor.3 . 4 night , 3 cold showers.4 . hallway smell like sewer.5 . make reservation several month ago request non - smoking king size pool view . Got smoke , stink , king , pool view water air work . 106 degree ! 6 . change room 3 time , still gross place . waste hour half vacation time get room.7 . pool area bar open Mon . tue . Vegas , open everyday ! 8 . call jog track dirty never hose . someone spit goober whole time . lovely see run . also large vodka lay track worker ever bother pick up.9 . bed uncomfortable . could not even snuggle cover afraid filth beds.10 . use perfume air freshener able stand smell . hope everyone get idea . gamble one bit give money . 
 May 24 2009 	 Understaffed break price high . 	 stay hotel 5 different time , enjoy stay every time last stay . although stay May 09 last 04 . maybe change owner Boyd gaming may problem . check nightmare . never enough checker . room reserve smoking room , & quot ; upgrade & quot ; ( price ) nonsmoke room . fawcet sink break , shower run hot , cold tub barely drain . wallpaper tear , room obviously run . room clean maid service okay . north tower , 6 elevator , time break , work . wait one time main floor 20 minute one work time finally show . leave luggage ( 6th floor ) wait 5 elevator , stop full . could use stair , get main , could not use get back , door main lock . arrive Vegas day early , try get room Plaza , quote unreasonably high price , find price right , nice room Nugget . say stay Plaza several time , like town , recomende Plaza many many people , seeing run currently would never recomend anyone stay . goodness room upgrade , room upgrade like ? 
 May 23 2009 	 scam ! ! 	 purchase ticket see & quot ; Rat Pack Back & quot ; . buy vip ticket . get dress . however , seat , head waiter tell we 40.00 could table . figure realize already vip ticket . escort & quot ; table & quot ; sit elbow elbow twelve people cafeteria table speaker . really look forward show eventually ask husband please pay extra forty dollar could nice table . mar perfect evening time . go show stay hotel . recommend family friend . disappointed & quot ; service & quot ; .france Strait 
 May 19 2009 	 absolutely nothing wrong hotel casino ! ! ! ! 	 find review helpful want put 2 cent . stay Plaza downtown Las Vegas . kind skeptical getting room cheap night . thought - exactly get cheap rate ? know Vegas , hang room , really - much time actually go spend room ? Vegas trip correct way - much time ! ! ! ! already know location exactly want . room end clean presentable . stay old part hotel , room outdate . good water pressure hot water time . ( stay place neither positive thing ) . staff hotel casino friendly . buffet downstairs , eat place accessible . would stay without blink eye . please Plaza . 
 may 13 2009 	 dump ! 	 place fall apart . stay large group two six elevator work . People force drag luggage stairwell get place . poor hotel weather . room ok , wish bring flipflop shower . feel unsafe downstair foodcourt . several transient roam around talk . daughter scared ask go back room . would recommend hotel anyone . sorry , Plaza , time demolition remodeling ! not waste money ! 
 May 9 2009 	 good experince Plaza 	 stay Plaza 8 night . room 1556 south tower . elevator fast never problem get one . room clean not bad $ 30 night . great able walk front door hotel watch Fremont Experience . problem maid not get room around 3 pm air conditioner noisy . , Plaza good place stay would definitely stay . 
 Apr 29 2009 	 old run - down great view ! 	 stay Plaza 2 night . get great deal web request non - smoking room . arrive tell non - smoking room available catagory - extra upgrade . well , way hotel full anyway upgrade mini - suite . large 14th floor . overall clean , everything old run - down . great view strip ! room South Tower walk casino part get hotel . casino basically whole hotel smell like decade tobacco smoking - nice ! location good , right Fremont street . bus service strip $ 7 return , rental car able drive strip . basically park free big hotel strip . the elevator problem - wait age . the parking hotel either valet $ 5 refund gamble casino ( didi not ! ) 
 Apr 28 2009 	 Central Location - great room 	 pro : central locationeasy access bus service , TaxiHas casinogood viewscon : well maintainedhave wait 10 min get elevator 
 Apr 27 2009 	 get Real Old 	 yup . be . two favorite hotel Vegas Club Plaza Hotel downtown Vegas . Standard Rooms Plaza get old dirty . one time , bathtub drain plug ( God know ) water would drain properly . , would stand ankle foot dirty water take shower . also , water luke warm dribble shower head . would recommend Deluxe Rooms face Fremont Street Experience . big refrigerator ( least room ) . like cheap afternoon show stage . usually cost $ 9 ... watch 1 hour show beat lose money crap table . overall , would recommend hotel budget mind traveller . , stay feel cheap . btw - newbie , want park cover garage , sure park third level ... lead directly second floor hotel lobby . 
 Apr 24 2009 	 bad 	 old . room stains carpet room hall . hard tine breathing , ask non smoking room room old old smoke smell . luggage even smell like room leave . nice place back 70 's everything still . need re - do bad way . read review book not hight expectation . bad review read true . 
 Apr 15 2009 	 problem encounter 	 request non - smoking room give one - come change . drag suitcase Casino area occasion . might suggest sort separate pathway make guest live part hotel . notice little child take casino game machine area go hotel room - . door bathroom vanity break leave . could also hear voice noise next room adjoin door . request operator assist call New York call could connected front desk still bill we US $ 6.00 - time take matter run late bus airport queue front desk long . hope write hotel matter . apart problem , hotel good value money 
 Apr 8 2009 	 smell give headache 	 see 3 cockroach bathroom , ask refund , not get already use room couple hour . even cheap strip hotel . stay away . also , pay internet , barely work . 
 Apr 2 2009 	 BRITAIN ? 10 thing need know ... 	 ok , stay last week 7 day , United Kingdom slightly different slant thing ... 1 . ' the Wynn ' , be Wynn price either . pay $ 30 night upgrade room , South Tower number 1652 ( high floor / strip view ) fantastic - price - check picture.2 . room service efficiently every day clean towel / sheet / soap / shampoo etc.3 . 6 lift work fast.4 . location good end Freemont Street , right action.5 . ' Rat Pack Back ' currently show , get discount ticket ' Tix tonight ' ( strip show ) will great night.6 . Corona / Bud / Bud Light $ 2.00 bottle , ( $ 7.00 bottle + tax + tip strip ! ! ! ) Crown Royal $ 2.00 shot , downtown hotel similar offer on.7 . Buffet $ 7.77 day , every day , enough choice - want go Mandalay Bay , be $ 40 there.8.speaking , 's hour deuce bus top Freemont Street Mandalay Bay , $ 3 fare sometimes quick walk bus average 5mph.9 . lot go hotel Freemont Street whole , dress style casual / slacker / anything goes.10 . , be WYNN ! ! ! 's great value downtown hotel recommend anyone budget - £ 280 ( $ 400 ) flight Thomas Cook Manchester UK cheap hotel / food / drink get - compare holiday ' Eurozone ' get lot bang buck . we will back ... 
 Mar 30 2009 	 bad not picky . 	 yes , hotel old , yes could use work , not go Vegas room . want place able sleep take shower , able comfortably . find amazing people complain hotel pay $ 30 night . not problem elevator , although , south tower know work read review go , pay attention . fact , every elevator there . sure , hotel potential , price would definitely go . nice place still travel budget . 
 Mar 22 2009 	 terrible hotel not good value 	 boyfriend recently stay Plaza brother suggest would cheap place stay wedding guest . nice idea since everyone already pay airfare , unfortunately not time check hotel know disgusting not deal . read online hotel old need remodeling decide get suite hope room would decent . wrong . suite mean get big disgusting room rather small one . lose everyone 's reservation ( even bridal party ! ) assign room last minute , end north tower much bad south tower . shake bed painting check bed bug refuse use shower ... go spa / salon Golden Nugget instead . two evelator work time need leave wait 10 minute . want stay downtown recommend Golden Nugget Main Street Station . wedding guest good experience place . stay Plaza unless get room $ 30 , 's 's worth . spend $ 100 plenty good deal Strip right ! 
 Mar 22 2009 	 Cheep clean hard bed two work elevator . 	 book room Plaza rate $ 30 night 4 night . friend stay Nugget need room crash hour . travel wife way would ever book room hotel . room clean ; huge hair ball floor towel room . mattress might well cement block . recommend bring Clorox wipe clean remote , phone , door knob . currently 2 elevator work north tower bellboy say like several month . wait get always 5 minute stop every floor . internet $ 30 3 day $ 12 / day . overall , want cheap room picky cleanliness plaza might work . also look Las Vegas Club California Club . locate across street Fremont Street . stay little nice price usually $ 40 / night . the Gloden Nuget really nice great pool room go around $ 50.00 / night . 
 Mar 22 2009 	 cheap . price quality 	 22 , first trip Vegas expect . casino pretty standard , Front desk staff kind helpful . first head room start notice thing . 6 elevator 2 work , floor hallway litter stain . finally enter room realize King bed reserve instead 2 queen , common problem ' ve encounter . sit bed feel spring poke . one bed much bad . still fall asleep fine , morning turn shower water trickel shower head . definitely need CLR something . barely work massage setting deal . short , ' ve stay bad place , least 24 hour mcdonald lobby , plan come vegas party , stay strip . know next time . 
 Mar 18 2009 	 great room price 	 Plaza great price , $ 27 / night weekend , since 4 we sharing room , even cheap . need place sleep shower , exactly Plaza provide . parking seem shady , give fact pay $ 5 park , refundable cashier 's cage ... sure even policy ( perhaps greyhound lot next door ? ) . parking elevator pretty slow ... probably slow scary elevator ever ! inside elevator take 1 minute go 1 floor ! hotel lobby locate far parking elevator guess expect hotel / casino . elevator go room pretty fast . ' m sure reviewer talk say 2 6 elevator work . seem like elevator work get floor time little wait . room run old , get pay . roomy enough fit 4 sit area corner . bed old hard . bathroom ok , towel rack side toilet , seem kind gross since 3 guy pee stand ( course guy pee stand ) pee spray toilet onto towel ... gross . put towel rack toilet away pee spray . nice thing bathroom change room area could close room bathroom . ' m sure whether Plaza internet never able connect . never opportunity try 777 buffet . poker room close midnight ... new concept . sport book surround security guard check room card ensure active bet order stay sport book area . guess lot vagrant Plaza . ' m use see security guard casino ' ve never see many . Fremont St. experience must try , Plaza begin Fremont St . Golden Gate Casino $ 2 shrimp cocktail pretty good . find cheap crap table ( $ 3 ) El Cortez street , 10 minute walk . want try fry twinkie oreo Mermaids casino never close around midnight . $ 2 beer sell Fremont St . 99 cent margarita Fremont Casino worth little alcohol content . like Fremont area much , much cheap compare strip ... include stripper ( $ 20 cover + 2 drink ) : ) 
