nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Oct 16 2009 	 Comfortable stay great view 	 Hyatt Regency 's room face Bay Bridge offer quite amazing view , fact slide window open add pleasure . make visit Regency Club Lounge , will visually mesmorize panorama Treasure Island span across Bay . lobby expansive , food well prepare , wait staff average , fitness center compact yet utilitarian . room furnishing fairly standard size , small bath vanity outside bathroom generous counterspace . location near Embarcadero Ferry Building great , artisans pitch ware open area weekend . parking outrageous San Francisco , get include package , be significant value . proximity Union Square , Nob Hill sight great , BART station across street . solid Hyatt experience , service could bit friendly anticipatory . 
 Oct 15 2009 	 Awesome location everything else so - so 	 get great price hotel Priceline , pay full price review would much bad go write . the location convenient , everyone else say . room clean bed fairly comfortable . enjoy ipod dock . tv joke , nice flat screen tv hook mediocre cable system afford poor picture quality - 's point , might well old 19 inch color tv . bathroom small cramp , exhaust fan . addition , tub backing take shower , annoying . fortunately , call maintenance come hour clear blockage . noise - wise hotel absolute joke . could hear noise atrium , noise outside , noise room we , lot pound , slamming , etc . zero insulation place , be type person like go bed early , sleep late , place may good . slide glass door non - existent balcony joke . not close way lack proper insulation bone chill cold air blow room outside ( mention street noise ) , even door fully closed . recommend stay low floor hotel get atrium street noise , would not give we room hotel . hotel nickel dim death . parking $ 58 buck . internet $ 10 day ! not even think touch mini bar , sensor charge automatically even move anything , suck often like use mini bar store item . ; ) btw , carpet hallway stain . addition , extension cord run across carpet , tape , tacky look ! pool apparently , could use one SFO unless indoor . fitness center close still kindly give discount card nearby fitness center , charge $ 10 day ! last certainly least , maid actually barge room without knock one day , naked . situation awkward say least ! ! ! ! 
 Oct 13 2009 	 great hotel fantastic location ! 	 nice hotel close everything easy access public transportation . great view bay Ferry Building . 
 Oct 12 2009 	 unbelievable value ... get 	 San Francisco first city book accomodation 2 week californian holiday find deal - Friday / Saturday night $ 69 Sunday night $ 99 - simply could not turn . Hyatt Regency perfect location us stunning view Bay easy access Ferry building , hotel , uber - impressive lobby , even guide book ! cheap cost may result 70s architecture long vogue fact hotel shop renovate large fitness centre instal ( although small machine weight room available meet need ) might recession , whatever reason rock - bottom price view definitely great base explore SF ! 
 Oct 10 2009 	 nice anoymous 	 stay Hyatt Regency San Francisco August 21 - 25 , 2009 . make reservation , specifically ask upper room king bed . special booking indicate room level 1 - 12 available make special request upper room call confirm reservation confirmation . reservation make several month advance anticipate problem get room request . upon arrival tell room available first floor . disappointment say least . also , warn mini - bar room monitor electronically . move anything , record purchase . want refrigerator , additional $ 15 / day . fair however , call front desk inform accidentally move item , charge we . seem little chinzy major hotel chain allow 's customer 's use in - room refrigerator . do not ' believe mention room description . room nice . large , clean comfortable . in - room bath product smell horrible though end go Walgreens across street purchase . like big , chain hotel and/or frequent quest program , would not bad place stay . lovely boutique hotel San Francisoco provide personalize service , would first choice place . 
 oct 8 2009 	 beautiful place photograph ... 	 start place beuatiful , day night test camera 's limit . angle , scuplture , lighting , elevator , even view window great . loaction great spot head direction get lose & quot ; city & quot ; . drink great . real complaint guess either lot guest break rule still smoke intheir room much smoking do past , old , smokey scent . asthmatic allergy , & quot ; old smokey & quot ; scent not work well . end sick every morning night stay . , service great , room clean comfortable picture speak . 
 Oct 8 2009 	 love room 	 stay Hyatt Regency August enjoy stay much . arrive late , around 9 pm ask upgrade ... first say fully book , said & quot ; let see & quot ; .... upgrade business type room think . fully renovate , little sit area , carpet clean .. overall modern nice . enjoy room much , 16 month old room nice place run around . balcony too . the location nice walking distance Union Square China Town . great time . 
 oct 8 2009 	 Nice hotel . clean quiet . 	 go business trip . think hotel quiet clean . clean staff good . 
 Oct 8 2009 	 Loved every second ! 	 hotel great . clean room large , nice change typical small hotel room San Francisco . location amazing near everything want near ( Pier 39 , Ghiradelli Square , shopping ) . downside would parking . would lucky find spot street , watch parking ticket not park street alternative valet parking 55 day . , great hotel ! 
 Oct 3 2009 	 Great Hyatt Experience 	 return vacation spouse . please Hyatt . front desk associate friendly upgrade we room balcony harbor view . say stay week nice . ( get impression business traveler rush rather rude ) . lobby atrium beautiful large sculpture running stream . room good size clean . bed comfortable decent linen lot pillow . bathroom smallish adequate . sink counter outside toilet / shower area . hotel full , several conference , not hear much noise sleep well . stay AAA special breakfast include . morning buffet many good selection . weekend make order omelet . couple morning order menu . area San Francisco nice border financial district . Ferry Building short walk street . cable car stop outside hotel trolley subway also close . restaurant store within walk distance many little walk away . chinatown short cable car ride hill ( walk back hill ) . take couple bus tour ; one Muir Woods / Sausalito pick we hotel . another tour Napa Wine country pick we Ferry Building . pier 39 Fisherman 's Wharf short trolley ride pick front Ferry Building . great location see city . ( warn however , homeless people everywhere even good location ) 
 Oct 1 2009 	 ideal location nice room friendly people . ? 	 return 1 x night stay Hyatt Regency stop Canada . go 1 x day want somewhere close action & amp ; easy get & amp ; international airport . Hyatt tick box . be directly BART station airport perfect . also easy walk harbour , market site . room quiet , clean comfortable large expect . certainly complaint would happily stay . 
 oct 1 2009 	 really really Hyatt SF 	 can not believe hotel consider Hyatt . hear Hyatt name expect pleasant hotel experince . definatly recieve . make reservation pay extra Bay View room . joke , particial bay view could see outside balcony lean rail . guess place call Regency Club top hotel great view city extra $ 75.00 day . joke , already spend almost $ 300.00 per night basic room call & quot ; Bay View & quot ; bad service . not forget extra charge $ 57.00 per night valet parking . not mind little walk parking garage $ 32.00 night . the thing say nice hotel location . location nice close shopping pier . 
 Sep 28 2009 	 great atrium close pier 	 get ok rate hotwire- $ 200 4 star . parking $ 50 extra . one big disappointment people next room start smoke really make room gross start middle night . get 2 different story staff meaningful redress . change room late . not seem though go check put stop . rest hotel pretty classy . probably really hot one time staff enthusiasm run 75 % . good exceptional . 
 Sep 21 2009 	 Glass lift atrium fabulous harbour view 	 well situate 4 * hotel . fly SFO use BART travel City $ 8.10 way . station right outside hotel . not look much outside stunning internal atrium . helpful reception staff concierge desk . upgrade harbour view balcony ( deal time ) get book 2 get one night free Expedia . well equip good sized room , nice able sit balcony . close amenity , cable car stop right outside . buy MUNI pass couple day ( ask reception direction ) . Saturday morning Farmers Market harbour front - well worth stroll around , lot thing try . downside pay internet - come Hyatt , Holiday Inn Express give free , need look ! ! 
 Sep 21 2009 	 Excellent location value 	 stay 3 night September 2009 . got deal via Hyatt 's website £ 51 per night . bargain . room update recently , clean view Ferry Building . comfortable bed . nice toiletry . 's great spot enjoy facility Ferry Building , walk Fisherman 's Wharf even explore rest City . trolley bus stop right outisde couple minute Embarcedero train stop . quiet relax . 
 Sep 17 2009 	 4 day Hyatt Regency 	 recently spend night Hyatt Regency San Francisco . really enjoy property , mostly location . right Embarcadero , easy access trollie , restaurant , museum , farmer 's market . NUTSHELL : pros- Excellent Location , close ton restaurant , Ferry Building Cons - Parking price criminal state , Pool , Small roomsI brief .... look exclusive , ultra - trendy hotel , . try new Intercontinental , maybe W hotel . hotel offer ideal location , close almost everything . Fisherman 's Wharf little bit walk , two dollar trolly . hotel well keep , impressive lobby . layout corridor room bit odd , room stay small side . amazing balcony , view Ocean Embarcadero . highly recommend upgrade Regency Club floor , appetizer night well breakfast morning . illegal charge much Hyatt parking , advise continue Drumm Street , past Hyatt , turn right Clay street . self parking $ 30 night , 2 minute walk hotel . save $ 20 night ! return San Francisco , would definitely consider stay , great service , amazing location , overall good value pay . Hope review help ! Tyson Brohman [ -- ] 
 Sep 14 2009 	 lovely room lovely view step Bart . 	 serve right . pleasant staff , great transportation availability , clean comfortable room . stay club level provide nice view , snack etc . enjoy stay would stay . could not ask . 
 Sep 9 2009 	 Average Conference Hotel 	 teenage daughter stay Hyatt Embarcadero three night . select hotel base location near Ferry Building disappoint . great location also enjoy close Union Square midst lot congestion . large hotel somewhat impersonal . front desk staff quite abrupt find interested help we except try upsell we expensive room ( eventually ) . although request & quot ; quiet & quot ; room ( Hyatt Rewards member ) assign room busy street side could hear doorman blow whistle taxi every minute well lot street noise include bus transit system / trolley . inquire another room tell way get quieter room upgrade ( spend another $ 40 per night ) . clear go need . new room much well - face Embarcadero could also see bay / water . room spacious balcony really like . quite quiet except room capacity connect room could hear gentleman next door talk phone listening either radio tv double door - soundproof . luckily go bed early side . gym decent couple elliptical trainer bike along weight equipment . one morning go lobby breakfast - first really expensive ( buffet $ 25 per person ) two us $ 50 . selection okay worth cost . able special order egg scramble order easy egg . deliver completely cook . bring server 's attention , proceed give lecture order egg point patron watch . ( appear order easy medium / well do , order plain easy mean undercooked / watery ) . server haughty attitude sure return visit . movie selection room good bed fine . bathroom carpeting could use upgrading appear little worn bathroom small . the valet pleasant hail cab we another guest reject ( supposedly take credit card ) actually turn horrible odor like driver live cab / have shower day . appear know driver converse get . although chilly keep window entire ride airport . sure would stay unless attend conference . think probably well place stay area . overall pleasant experience . 
 Sep 8 2009 	 Best San Francisco want fun ! 	 hotel long Labor Day weekend . everyone everything perfect . location perfect venture anywhere . eat hotel due bad review site . however , eat closeby disappointed . tour day , cross street Ferry Building buy freshly make cheese , freshly make bread bottle wine enjoy view hotel window . 
 Sep 7 2009 	 Loved hotel . close public transportation 	 husband really enjoy four night stay Hyatt Regency August 28 - September 1 . book AAA card rate 119 3 night last night around 135 without taxis . ask king size non - smoking room , without connect door , room high floor avoid street noise . end stay 14th floor face Market Street problem street noise . would ask high floor room concern street noise let know check front desk . explain somewhat light sleeper need room would not noisy . Transportation- amazed arrive BART hotel right . exit BART station walk step could see hotel . idea would close . muni bus one cable car also right . use MUNI BART . use public transportation entire time trip . ride SFO airport BART half hour . room- room somewhat small , not bad two people . room clean bed comfy ! ! room take care daily . one thing find little strange arrive hotel pee toilet toilet paper . ask front desk explain someone housekeeping would make sure bathroom clean . food- eat two morning Noah 's Bagels hotel . Walgreen 's , Starbucks , Taco Bell Express , place call Burger Bistro ( serve breakfast & amp ; lunch ) directly across street . also many food selection Ferry Station across street . eat good Mexican Restaurant one night . Location- mainly Financial District seem like thing close around 9 - 10 pm seem . chinatown 15 minute walk away 3 minute bus ride . Overall- really enjoy stay hotel would definitely stay visit . front desk staff extremely friendly would go way help . hotel offer breakfast buffet morning cost around 25 per person . also bar lobby area also . glass elevator fun never wait . 
 Sep 3 2009 	 premium luxurious hotel great location 	 stay Hyatt Regency way week Sonoma could finish business enjoy weekend San Francisco . hotel great weekend rate book top floor , Regency floor bayside view room $ 149 night Hyatt Platinum AAA membership . stay room 1714 great view Bay Bridge Ferry Building . lady check we , Kathleen , polished welcoming . valet park car - in spite $ 50 parking fee , park San Francisco expensive anywhere parking ticket $ 73 minimum privelege , plan drive Twin Peaks , Lombard Street , beach Pacific Heights , want flexibility . the hotel update 70 's genre way ' m sure become classic time . glass elevator feature movie & quot ; Earthquake & quot ; bit thrill whisk 17th floor . floor floor 15 different grade decor 16ht 17th floor . room small standard ( look around 300 sf ) every inch use well decorate nicely contemporary way , dark wood , nice stone floor tile entry bath area & quot ; Mirror TV & quot ; inset bathroom mirror , nice watch news golf be shave . towel toiletry organize nicely Pottery Barn style bin beneath sink . bedroom nice flat screen tv 2 thing not like slide door open one inch ( bolt not open wider - I guess prevent jumper ) ceiling height uncomforably low . building almost feel like honeycomb hotel room . we not use mini bar Regency Club upstairs everything need way water , juice drink . the Regency Club nice perk great view . least one employee always duty club hour accomodate . breakfast presentation adequate yougurt , fruit cereal well smoke salmon , bagel trimming . weekend actually try & quot ; notch & quot ; add band dancing midnight Regency Club member . rely public transporation , well place stay right outside hotel BART access airport BART route , ferry connection across Bay , Cable Car stop plenty taxi 's . Union Square block away Ferry Building great shop restaurant . street Tadich Grill , probably good seafood place SF , well Carnelian Room - a great place drink 55th floor Bank America Building . chinatown four block street California Grant Nob Hill cable car ride away ( 10 block walk uphill ) . actually catch cable car stop Fishermans wharf/ Union Square cable car - very handy . we brunch Sunday Mark Hopkins , experience would highly recommend . food excellent limitless champagne caviar nice brunch choice incredible view San Francisco . year ' ve stay lot place San Francisco admit stay 18th floor Fairmont tower still probably favorite place . the Hyatt Regency true business hotel , luxury hotel - more Toyota Avalon Lexus service great , $ 149 price ( good room ) could not beat . one part thought - if call valet 10 minute head , will usually car ready - seem case us 8 9 time need car . 
 Sep 3 2009 	 Nice Location Noisy 	 Hotel situate decent location however noisy ! park overly expensive . avoid pay extra $ 22 valet fee parking opposite hotel . could hear traffic night . staff good concierge mixed bag . room service little slow accomodate . one thing would avoid cost rental desk . possibly bad rental service imagine . staff , long queue end run around San Fran pick Sat Nav baby seat do not even reserve . totally useless . room reasonable size , fact quite large . hotel overall well keep , modern comfortable . sure would stay still good . 
 Sep 2 2009 	 okay 	 get room priceline good price . valet parking $ 57 / day slow service ( u need inform half hour need car ) . solution : next block $ 32 / day . free Internet , charge 11 / day . open refrigerator charge content . buy beer water bottle cool room 's fridge witout charge . suck . great location : public transportation / walk attraction . super deal buy $ 59 City Pass give 7 day free ride buses+ entrance five attraction . worth every penny . leisure client & quot ; feel & quot ; welcome bussine client hotel . pay 100 - 120 / night parking next door right value . 
 Sep 1 2009 	 great hotel convenient location 	 stay Hyatt Regency Embarcadero Street Financial District 3 night , 4 day Aug. 28 - 31 , 2009 . LocationThe hotel locate Financial District convenient public transportation ( would recommend since parking expensive ) . grab BART train airport arrive directly front hotel 35 minute . fare $ 8.10 one way , reasonable . soon emerge station , hotel right front we ( Drumm Street side ) .In term nearby attraction , Ferry Buiding right across street contain many shop , restaurant , etc . farmer market great fresh fruit , pastry , etc .. certain day morning . Fisherman 's Wharf 39 43 , 30 minute walk along scenic route . also hop MUNI F line , couple buck convenient . chinatown , walk 10 minute . Nob Hill , Union Square other walkable , could also easily reach via muni taxi . Exterior / InteriorThe exterior well maintain attractive . atrium beautifully decorate - very clean professional . restaurant , concierge , amenity locate . room 9th floor clean , fresh decent view downtown building well bay bridge . book online get excellent rate $ 90 ( ! ! ) truly bargain . ServiceService great . check process easy staff helpful fast . room clean daily basis everything need provide -- coffee , tea , toiletry , flat panel tv , Internet , Ipod radio , magazine , paper , etc .. check snap . 
 Sep 1 2009 	 great location hilly city 	 stay Hyatt Hotel Embarcadero , San Francisco three night August visit family . although not usually stay upscale hotel San Francisco , price right . bid room Priceline accept bid considerably less $ 100.00 per night . location great knee problem handle hill . the entrance subway , Muni BART 300 foot hotel . allow easy access via BART airport . ride airport hotel take 30 minute cost currently $ 8.10 one way . also Ferry Building shop restaurant across street . hotel bed comfortable first night stay 15th floor . room quiet financial district . leave town day upon return city Hyatt give room 9th floor . room quiet first bad . awaken 4:00 one morning & quot ; yeller & quot ; suspect might cable car . would hear . 45 minute , stop . carpet stain one spot second room , still bed comfortable . both time register ask room Bay view possible . times tell cost would additional $ 40.00 refuse . bargain precious give could go sit Peet 's Coffee Shop across street view Bay . first room view Trans America building enjoy . , experience good great value landmark , pyramid shape hotel . 
 Aug 25 2009 	 excellent choice without car 	 stay mid August 97 $ per night ( priceline ) stay . room clean comfy- nice open window.t Bathroom bite small . transport service right outside door ferry build great food option fantastic Farmers Market unbeatable . take bus minute Union Square shopping . Califnia Cable car never crowd like Powell St. Line go right China town . take muni across town GG Park . take historic F line trolley Wharf . concierge bit new think nice tryling pay wireless call tech support give wireless free ! ! must say would never pay full price room miss fridge car would never pay parking car can not beat . use room service hotel restaurant- much good food nearby ! ! ! get room 3rd floor bit loud time get nice bay bridge view . 
 Aug 22 2009 	 Great Hotel 	 Hyatt Regency perfect stay we . great location , cool architecture nice bar . the hotel central everywhere want go walk distance lot place . book wine country tour meeting place group Ferry Building , across street hotel ! also great bar serve great drink . sangrias good order pitcher time ! one major con hotel parking - charger $ 50 per night ! outrageous ! next time ' m San Francisco would still definitely stay . 
 Aug 21 2009 	 Great Stay 	 get great $ 85 deal Priceline - can not beat . location great Market meet California . lobby awesome . fantastic 70 's futuristic architecture . room comfortable , window OPEN . check valet friendly efficient . would definitely stay . 
 Aug 21 2009 	 couple positive couple negative 	 ' ve stay Hyatt Regency San Francisco several time always come away vaguely irritated . hotel fantastically situate across Ferry Building , great Bay view . 's monstrous , cavernous conference hotel . many room balcony equip two chair little table . recommend deluxe King - ask room & quot ; - close Embarcadero . & quot ; building build next hotel obstruct view . room small side , though recently renovate nice big slider . definitely pay extra concierge lounge . opinion , be one good . situate revolving lounge , fantastic view great food , equally nice service . finish renovation area last year 's primary reason stay . negative . front desk staff not warm helpful , valet take infuriate 45 minute bring car around . ( plus be outrageous $ 50 night ) ( - every time include visit week ago remember thing year ago ) . room service beyond slow ( 45 minute hotel busy ) quality food good . ( egg benedict yesterday morning arrive cold , one egg rupture hollandaise sauce solidify little pitcher pourable . night cheeseburger odd - seem like meat soy filler remind junior high lunchroom ) . another little negative - minibar not service stay : diet coke / pepsi . , positive equal negative leave straddle middle one . ' m sucker view able sit outside , get slight nod . 
 Aug 18 2009 	 decent convenient hotel 	 husband choose hotel , due name brand , price , location ( husband want stay within financial district ) . disappointed . overall : hotel clean , comfortable , well lay . hotel room clean beds plush . sleep quite well . addition , partial view Bay bridge pier . hotel staff ( especially concierge ) helpful friendly . addition , BART station locate right next muni cable car stop ( take Fisherman 's Wharf ) across street . location : can not beat , unless stay Fisherman 's Wharf . however , rent car glad not park expensive San Francisco . everything close ( either decent walk short train ride away ) , not miss rental car anyways . boot , arrive leave airport breeze , BART station nearby . con : bed plush . , wonderful . however , like firm bed , might problem . also , bathroom small . particular , toilet quite small . , not issue either , husband . lastly , location . locate within financial district . therefore , quite middle thing . husband issue walk ( apprx 45mins ) and/or take public transportation ( apprx 15mins ) , , might issue . warn . 
 Aug 18 2009 	 Wonderful Location 	 happy choice Hotels . great location , F Trains , Cable Cars , Ferry Market right outside door . even walk Fisherman 's Wharf , 's bit walk weather perfect . concierge recommend Oriental Pearl China Town ... yummy . would absolutely stay . 
 Aug 16 2009 	 Loved - Perfect Location Great Value 	 stay Friday night - offer Friday night value - include valet parking ( normally $ 50 ! ) - room get upgrade top floor , pay $ 149 night Friday night special - room normally 2nd floor smile make conversation ( nice general ) help get upgrade . Regency Club top floor $ 75 upgrade - friend allow we go . view amazing ! food abundant point ruin dinner restaurant go . even massage chair Regency Club . really enjoy wake close ever amazing SF Farmer 's Market . spend entire morning afternoon across street car still park Hyatt - car good 24 hour time check in . we also friend get room Hotwire day stay $ 120 ! ! street parking across street hotel weekend ! view 17th floor amazing say least- bed comfortable , room clean , bathroom upgrade ( like entire roomWe even get free $ 10 appetizer check Eclipse bar Atrium . go tot bar get drink table service lacking . drink bad price either - Ketel one Vodka Martini $ 6 ! good valueanother note - one side hotel balconie side street view ( Bay Bridge ) street side Saturday morning , may awaken street band trumpet flute- hear 9 am continue 11am+Easy check - valet parking guy bit nicer - insist parking pay - think many people know rate include parking - deal ! 
 Aug 13 2009 	 Farmers ' Market Cable Car Central Location ! 	 someone completely obsess food , hotel dream come true . step Ferry Building Ferry Plaza Farmers ' Market , Hyatt Regency SF EXCELLENT location . remotely interested food , plan trip around Saturday Farmers ' Market . unlike anything ' ve ever see ! Ferry Building amazing -- virtual mecca food . also , avoid line people wait Powell cable car line instead jump ( supposedly less picturesque , still awesome ! ) almost - empty California line right FRONT hotel ! go California Nob Hill avoid crowd spend extra time eat shopping ! muni BART outside doorstep . buy $ 24 7 day muni pass ( also available 1 day 3 day ) hop bus , streetcar , cable car , subway leisure . one good decision make trip . the room nicely appoint , crisp white linen bed colorful accent pillow . housekeep nice job bring we anything need moment 's notice . fridge available $ 15 / stay . wireless wire internet connection available -- free . one drawback hotel . one drawback noise came connect door room adjoining room ( people know -- two different family throughout four night talk loudly ) . dead tired not keep we sleep , ' m sure call front desk would rectify situation . the fitness center great machine ( elliptical , treadmill , bike ) , free weight , bench , feel great able get workout marathon eating . lobby really cool . huge hotel , would not expect prompt personalize service -- manage accomplish . everyone front desk , everyone phone , everyone come room polite , helpful , prompt . two woman 20 , never feel unsafe . this luxury hotel , big step basic . would highly , highly , highly recommend base trip San Francisco leisure business traveler alike . 
 Aug 9 2009 	 stay Regency Floor ! 	 great place , great location , cable right front , F line trolley back entrance . walk ferry building many sight . must stay Regency floor . allow private access Regency Club 18th floor many amentie , massage chair , computer food . wonderful continental breakfast everything need well snack drink available day . happy hour fantastic , cheese , roasted veggie , appetizer drink honor bar . go , need dinner . view amazing . parking $ 57 park lot ( Embarcadero 3 4 ) less block away $ 32 without privilege , need use cable car , etc . get $ 11 Muni pass allow unlimited use cable car public transportation day . 
 Aug 8 2009 	 Pleasant stay 	 large room . great location next waterfront ferry building . right F Line streetcar BART cable car ( California street ) . good service . expensive parking 
 Aug 7 2009 	 great location hotel need work 	 Location can not beat everything San Francisco , cleanliness issue bathroom hallway fake dusty plant balcony need remove . two elevator top 3 floor 3 14 floor real problem full house like experience . property nice overprice room especially bar . 
 Aug 7 2009 	 Great Place stay 	 Location hotel perfect , clean staff friendly . request room city / bay view well worth upgrade . the downside hotel 5 elevator . several occasion wait 5min . long elevator . able use stair ( use emergency ) . city transportation within walking distance . walk warf 's approx . 20min . use Muni alot $ 2 round trip ticket good approx . 6hrs . trolley $ 5 one way , ride trolley , start end right front door hotel . cab reasonable well , usually park front hotel . would stay . 
