sport 	 Staff wonderful , professional first - rate ! could not ask ! weekend special load fun ! 
 Oct 18 2009 	 Fantastic : ) 	 stay Golden Gate Hotel least 8 time year ... swing Vegas would ! ! ! love Vegas ... love Golden Gate . great price nice room . do not need 5 star need clean ... Golden Gate never let . room re - do love . flat screen tv 's room coffee jazz want need Hotel . room small would ok family couple great deal ! old hotel tell . do not shock old tile bathroom water go hot cold shower ... honestly Vegas need place lie head ... can not tell great Hotel . bit weary first soooo glad try ! ! ! ! .... 
 Oct 13 2009 	 Best Place Downtown 	 go Vegas almost every month never stay Golden Gate , first time love place . espectacular view room small cozy , clean lot well one strip ... stay , actually friend drink room window open great time . staff helpfull . not forget get shrimp cocktail 99cent 
 Oct 11 2009 	 inexpensive lay head 	 inexpensive hotel Fremont st . Staff friendly . not think stay really need get sleep though . room back alley garbage truck arrive around 5:30am every day dumpt many dumpster bottle can . sleep awakened noise . 
 oct 9 2009 	 Affordable frill hotel old downtown Las Vegas 	 husband stay Golden Gate weekend . since need room sleep , decide stay Golden Gate . never stay Strip , figure , rather spend money nice dinner , show gambling room , choose Golden Gate . stay Lady Luck Plaza Hotel Casino . motel / hotel old Downtown Vegas luxurious , people stay certainly budget simply not like spend much $ $ $ hotel room . Parking Golden Gate pretty limit - valet parking free tip person work . staff friendly helpful - able choose room . room stay small , cozy , modern feel . look like room recently renovate . husband thought & quot ; small & quot ; since Europe use small motel / hotel room . like say , need room bed bathroom . bathroom small , clean . be matter . bed , mattress pretty soft , like soft plush mattress , good . prefer hard bed , , everybody different . food , deli downstairs casino . sandwich pretty goood , one get hungry middle night . be really say , would recommend place family young child , since room really small . would recommend hotel young single , couple budget need room shower bed . not stay look luxury , need room 's clean affordable , 's place stay . would certainly stay Golden Gate . 
 Oct 8 2009 	 old VEGAS STYLE LOVED . 	 stay 3 night strip red eye 4th night . find reasonable rate hotel place crash last day since checkout time 11 am flight 11 pm . check hotel strip rent car drive Red Rock Canyon couple hour . bit tired check Golden Gate hotel fall love . take quick cat nap recharge truly enjoy Fremont Street . hard time leave 11:30pm flight . definately next time would stay 2 night strip 1 night Fremont Street . Golden Gate Hotel Casino great history . room bit small compare room strip build 1907 . great souvenir shopping Fremont Street 
 Sep 29 2009 	 Old Vegas Charm ! 	 5th trip Las Vegas , 1st time stay downtown . Golden Gate , first hotel Las Vegas , seem like appropriate choice . room clean large . decor date , expect anyway . really want & quot ; old Vegas & quot ; experience . casino intimate Vegas standard , cosy . food standard fare plentiful . sure try famous Shrimp Cocktail . ( free , sign Promotions Desk ) .Our room cost we $ 24 / night , 4th night free ! 's budget travel ? book next trip Vegas . 
 Sep 24 2009 	 convenient friendly reasonable price 	 stay Golden Gate Hotel & amp ; Casino September 2009 . room reasonably price , clean decent size . bathroom bite small , manageable . staff friendly . casino lively . restaurant good offering friendly staff . seat along counter table booth . deli convenient also 99 cent shrimp cocktail . casino right begin Fremont Street Experience can not beat location . parking valet rear hotel , convenient deli , hotel check - in , hotel elevator casino . enjoy flat screen tv ihome ipod dock clock radio . true room face Fremont Street noisy . one elevator not want room far away elevator need let hotel know . 
 Aug 25 2009 	 Excellent value 	 stay bit trip around US . hotel nice ; ipod dock flat screen tv nice touch room always clean high standard . yes , room little small , price expect Buckingham Palace . another downside distance strip ... deuce excellent bus , one ever 10 min . however , one night traffic take 2hrs get back ... warn ! hotel however excellent freemont street ; street amazing love free show ! casino strip also lot cheap ( $ 2 blackjack freemont instance ) excellent cheap buffet ( altrhough diner hotel immense ! ) half price ticket big show Las Vegas available purchase street . excellent stay . yes be get glamour location main Las Vegas hotel . , friendly staff , cheap room cheap casino nearby ! 
 Aug 21 2009 	 bad money 	 get back 4 night stay Golden Gate , Downtown Las Vegas . review state , room small , however , solo traveler , not look load space room update . flat screen LCD tv nice , nice easy chair . housekeep good coffee maker room always plus . able get good night sleep bed ( something always able fancy hotel ) . check - in check - out easy staff courteous friendly . real major improvement would suggest would install kind light shower , work smell hallway ( rug freshener maybe ? ) . expect ( oh yeah , not hot water problem anytime ) . would recommend hotel solo traveler small couple . 
 Aug 19 2009 	 diamond ruff 	 think one Vegas 's hide gem like . room although small ( not want put 2 people room ) recently remodel . nice curtain window , nice comfy mattress soft pillow , armour sit good sized flat screened tv plenty enough channel good reception . bathroom small old school industrial toilet . bathroom kind remind something 60 's tealish colored tile wall . plumbing bathtub bit slow stand shower water . come folk first hotel Las Vegas ! guess replace plumbing would gut build something drastic . ' ve check rate consistently stay rarely go 20 - 25 night . look forward next stay Golden Gate first list place stay . 
 Aug 10 2009 	 really enjoy Golden Gate 	 course 3 month road trip , stay Golden Gate 3 time total 4 night , stay different room time . first thing say , value wise 's hard imagine well deal . pay $ 23 first two stay smoke room include Friday night , $ 47 third time non - smoking room . the non - smoking room stay lot small reason , though still adequate . like big bathroom , dissapointe , like enough space get clean , price will not bother . shower 's fit soaking plate always steam hot water . complimentary bottle bar Neutragena shampoo & amp ; soap nice touch . the smoking room really smell smoke - sound obvious , day 's increasingly unusual smoking permit enclose space really notice first . soon get use though . the bed comfortable plenty pillow . room re - fit deco style furniture lamp compliment set . new flat screen tv 's , large side board plenty hang space tuck away ' build ' cupboard behind door useful , pleasing addition . location wise , hotel obviously Fremont . personally , love area Vegas - vibe 's , like self contain , super lay back mini Vegas community hint pretension . want get strip , be fairly easy shuttle bus , be go day be alone , taxi much well bet . we eat last night - cold food , really good . especially suprise 99c shrimp cocktail ( join 1906 club free play food deal ) , beef sandwich melt mouth . be always queue move quick reassure quality freshness . want shrimp cocktail , go straight cashier . table good fun day get $ 3 Blackjack play , $ 5 upward night . slot tuck away bit tired , bar good place kick back watch action . staff wise , apart one grumpy valet , helpful , polite courteous . noise wise , complaint , gue go bed last Fremont experience light show ( 1 am weekend ) , probably bother , many hotel room Fremont . , want unique experience prefer blow money gambling , stay Fremont , soak take room Golden Gate . 
 Jul 27 2009 	 amazing deal ! beware LOUDNESS ! 	 get two queen room $ 19 Thursday night . amazing deal gorgeous , clean room complete awesome television even iPod dock alarm clock ! however - room situate along Fremont Street experience - mean insanely loud midnight . need sleep , go Walgreen 's buy earplug ! 's fabulous deal , beware will need sleep ask room not right Fremont ! 
 Jul 25 2009 	 decent room price 	 pay $ 40 saturday night june . 2 queen bed . cosy set toilet old . room even LCD tv . room quite small feeling good . u want budget yet decent room , hotel stay . 
 Jul 25 2009 	 Ï really recommend Golden Gate 	 Las Vegas - Golden Gate Casino & amp ; Hotel - Ï really recommend Golden Gate . Date July 23 , 2009tripadvisor Member , Rio de Janeiro , BrazilI recommend stay Golden Gate several reason , well locate , Fremont Street fantastic , besides event , everything need find kind gift take home , etc course stay famous neon street- Fremont Street Experience - staff professional , helpful friendly . the price affordable budget , shrimp cocktail wonderful , try approve , sign member 's club buy .99c . be great ! forget try prime rib another tip breakfast , good price many option menu . the hotel casino safe , air conditioning stop work complain help desk clerk immediately solve problem , 108 degree time minute work ! room well clean , sample shampoo , bath soap , shower gel , etc Neutrogena , great enjoy . hope review help traveler planning spend his / her vacation , worry travel alone , say atmosphere comfortable , safe . 
 Jul 17 2009 	 Classic Ambiance 	 good deal Vegas ! can not beat price location want experience Freemont Street . employee friendly incredibly helpful . room small ( expect , place build 100 year ago ) bed comfortable 4 star hotel strip . hotel right Freemont Street Bay City Diner downstairs favorite place eat Las Vegas , eat tere twice . can not beat price quality food . huge bowl pasta $ 5.99 large salad $ 6.99 would cost $ 13 anywhere else . the strip fun , want something low - key check Downtown las Vegas stay Golden Gate . 
 Jul 16 2009 	 Nice Price ... 	 stay midweek pay $ 19 per night ! , pay $ 50 , would let - down happy , cheap stay right . short : tell use run - down motel good job remodeling recently . show spend good money make nicer fall short go way ( flat - panel television [ dozen channel ] ; Neutrogena bath product [ never replace old tile floor ] ; nice new credenza TV [ empty mini - closet fridge ] ) . still window AC unit , really keep room cool . bed comfortable new linen ; little soft taste , certainly comfortable . room overall tiny , typical hotel 100 year old - , need lot room be Vegas ? Bathroom also tiny , shower stall nice - tile floor ceiling , good showerhead . beat location , right end Fremont Street . good feature small size hotel overall : easy run drop something room without navigate hundred elevator thousand guest . security present night , good see . friendly valet park car , comp , right behind hotel . 
 Jul 11 2009 	 great location price 	 spend friday night hotel pay $ 40 . room basic small plus side remodel problem bed , bathroom shower . intend spend lot time room would not pick Golden Gate . like we need room freshern get hour sleep place stay ... 
 Jul 5 2009 	 good cheap room . 	 book room hotel not really care history place . look save buck . not care hotel not pool , fitness room , night club room service , need place sleep night , shower morning . check breeze . arrive Las Vegas early , get hotel around 11:30am . room ready , could not check early , offer hold stuff could go eat , check site ( also hold stuff hour check , room Strip would not ready 3 pm ) .After eat play poker head back check . 's small hotel , line really short . clerk friendly , give choice either quiet room face back , one face Freemont St . choose room face Freemont St. , 'cause want view Freemont St. Experience . the room small , decent . tell recently redecorate . paint fresh , carpet new , nice art hanging wall . will not confuse Golden Gate Wynn Bellagio , offer perk expensive room not . room come nice LCD television iPod compatible ihome alarm clock also let listen soothe nature sound . bed comfortable , enjoy sleep . window curtain surprisingly good job block noise Freemont St . experience . could still hear , not stop enjoy nice nap first night there . the bathroom tile need replace , shower nice high , hot , provide nice soap make Nuetrogena . usually not use hotel soap , stay . all , nice stay . would stay , sure . ( Tip : want room face Freemont St. ask room 3rd floor . 3rd floor window come nice flower bed , view not partially block hotel signage . ) 
 Jun 30 2009 	 Good Room ` ` Fremont St . experience '' 	 100 year old building care could still use additional work . exterior building look great remodeled room exception rather tired , wear tiny bathroom . upon check give choice quiet room back room face Fremont St. action . choose latter . room window open band playing . also , nice view overhead visual sound show Fremont St. famous . casino fill evening player seem enjoy ' ve see casino . internet service cheap fair speed . parking free despite travel site post . basically , receive nicely furnish room bargain price . 
 Jun 16 2009 	 Perfect perfectand almost perfect 	 last 15 year , wife stay almost downtown hotel Vegas like closeness Freemont street area . December stay Binions , gamble Golden Gate one night wife ask could check one room , hear remodel . impress enough book 4 night June Vegas getaway . room must one good house , plenty big enough , bird eye view Freemont street Main street . book , ask room 404 . corner room top floor , overlook Freemont Main street . both hotel casino staff friendly , restaurant great special , within walk distance downtown offer . this old hotel , lot charm character , old problem . shower decent pressure , water temp fluctuate without warn , times quick foot ! also , lone elevator bit slow clunky , 4 floor , take stair quick option . overall would recommend hotel anyone want great time downtown , can not go wrong location price . stay . P.S ; summer love promotion Freemont St. lot fun 
 Jun 11 2009 	 nice place stay budget . return . 	 stay May 23 , 2009 airline change flight need cheap place one night . 's locate canopy Fremont Street safe area . 's end street next Main Street . pullman suitcase trouble walk bus stop 4th Fremont . my first impression walk hotel / casino dark like feel place . old ( build 1906 ) good shape , spotless not smell funky . also plenty security people time . I not see hotel sign roam around dead end Bay City Diner . back go find Deli .99 Shrimp Cocktail . need player card get deal although not eat seafood , look like good deal like little crustacean . cocktail large serve parfait glass . see people happily gobble surprised big ( cocktail , diner ) . bad can not eat seafood would great deal . really want check - in can not seem find desk finally ask . officer point back deli see hotel desk actually doorway right deli . miss ? be big enough . the registration nice quiet area comfy antique look seat sit need wait look wallet etc . lot wood paneling ( icky 60 's stuff . be nice wood . ) nice character . cross antique victorian old western movie feel . the man desk manager promptly check . polite seem happy serve client answer question . email hotel something pre - trip have answer even remember email . staff encounter nice well . attitude anyone . there safe room get safety deposit box passport & amp ; video camera ( be tiny camcorder fit ) go elevator . 's really small , old little slow ( Imperial Palace elevator slow ) build 100 year old , 's wonder even one . although be old , not feel unsafe . the hallway long small property wall buttery yellow coloured plaster . kind dull clean good repair . also ice machine pop machine . not remember price remark reasonably price compare other well $ 2 . get room use interesting key card . instead usual & quot ; credit card & quot ; style , one chunky plastic sort antique shape key . one swipe open door take look inside . know expect small room functional . furniture room new within past year include leather club chair , modern - retro style floor lamp , large cadenza big LG flat screen TV & amp ; Hamilton Beach coffee maker , two night table , two table lamp Ipod docking station . curtain , bed , bed pillow - top mattress ( almost comfy one MGM Signature ) also new , carpet . thing totally redone bathroom mine miniscule ( workable ) . toiletry Nutragena well ' ve expensive room . towel thin rough side plenty . bathroom clean , tile teh floor wall could revamp . not quote look like could originals hotel open 1906 long afterwards . sure room bathroom back . small tile chip many grout repair bathroom feel gross dirty . counter / tap / toilet look new shower head one large rainshower one . long neck ' m sure would easily accommodate someone quite tall . closet door narrow look inside saw actually go really deep lot room . the airconditioner work well block noise Fremont Street Experience / band outside ( guess play night . cool ! ) . music stuff end midnight . room not face towards Fremont sideways alleyway employee use break . 's also throw glass beer bottle A / C not hear noise . the big thing bother room little lip floor bathroom meet rest room keep forget . not exactly step danger catch foot trip little bit nuisance . look close room , notice edge carpet meet baseboard little dusty . either maid take shortcut vacuuming machine allow close contact wall rest room spotless ' m germaphobe . there hairdryer room available front desk . able get one evening use follow morning ' ve notice review past day say folk able keep hour . not experience maybe not busy night even though Saturday lot go on . if room - service important , not . 's big deal go bring something downstairs though ? usually stay venetian Signature thing budget time . $ 19.06 scared might get honestly pleased . absolutely trouble would definitely stay recommend other . nice stay small place ' ve pay many time money room even half nice city ( even though much big one Golden Gate ) . want try something different mega - resort save $ $ give Golden Gate try . 
 Jun 8 2009 	 Good Deal Price 	 Service good , room old & amp ; small clean . bed good firm mattress . 's locate Freemont St. downtown original area . long cover promenade free concert & amp ; several casino . night video show long promenade ceiling . noisy area . 
 Jun 8 2009 	 perfect casino ` ` home '' feel hospitality ! ! 	 love casino / hotel . everyone sooooo friendly , desk clerk , Allen , Debbie , Conrad ... housekeep people , dealer blackjack , floor personnel , cashier CW 's , restaurant people , even security . Bernie , one security people make point make sure great time . can not say enough outgoing friendly everyone be . I believe room renovate Golden Gate , vouch room face Fremont street two bed . room large , ... new carpet , pillowtop mattress good one sleep Golden Nugget , bathroom though small , adequate , clean pin . tub / shower combination , could soak , love poor old hip , could shower do . plenty hot water , air conditioning nice cool , really enjoy coffee room ! Golden Nugget ! know room would noisy Fremont Street Experience Light show go , ... since fully intend late every night , not problem . say one night exhausted , go room 11:30 pm . fell asleep nothing wake till morning , ... guess be tired enough , even light show will not keep awake . LOL . heavy drape keep light want way . even film light show window . unique vantage point whole Fremont Street thing . Food Bay City Diner inexpensive , delicious . service good , usually pretty fast . deli sandwich great well , not know Shrimp Cocktails 99c ! famous since 1957 ! old casino / hotel Las Vegas , ... hope stick around lot long . luck gambling also~ ! fun slot excellent blackjack rule . I highly recommend hotel ... thing say take away ... not happy iron hair dryer could check one hour time . mention put website people aware . that s ' m put . will not stop go back .. make make arrangement . 
 Jun 7 2009 	 like . Clean Friendly well worth $ 19.06 night ! 	 book May 31 June 5 Golden Gate . not sure would like , also book couple night Golden Nugget . one night GG , cancel reservation . I arrive GG early Sunday . anything ready face Fremont , leave belonging front desk go wander Fremont Street . come back , still early smoking room available far . head housekeeper tell since room newly renovate , would smell anything . right . room # 207 - second floor face Fremont . small , perfect one person not go spend lot time room anyway . like way decorate , . small closet , large dresser plenty room clothe . room flat - screen tv coffee maker ( coffee , cup & amp ; etc ) . also clock radio iPod dock . ' ve read review say paper - thin wall , one complain play music , could not bad . the front desk iron hair dryer available . place busy , let certain amount time , opt wet hair wrinkle clothe anyway . the bathroom kind date , clean . ' m fan separate hot cold water knob , old fashioned style add ambiance . never seem get shower water temperature right , not get burn , 's count . I would like comfortable bed , $ 19.06 / night be talk Wynn quality mattresse . thing not like , short , could not get close bathroom mirror apply makeup . use large mirror wall bed , lighting room kind dim useful purpose . could use swing - out makeup mirror brighter lighting near mirror . overall , like stay Golden Gate . would not hesitate stay . everyone come contact work super helpful friendly . Valet fast friendly , . one small lot Valet never wait minute car . ( eat downstairs Bay City Diner food & amp ; service good time ) 
 Jun 7 2009 	 great place party ! 	 reserve room $ 20 solely purpose place hang light show downtown . give room overlook Fremont , exactly want . open window enjoy music people watch street . room small , clean update . bed comfy although not spend night . enjoy drink view two couple . hotel & amp ; casino clean everyone nice . 
 Jun 1 2009 	 old smelt ... front desk ' valet ' poor service 	 stay overall poor . arrive hotel , ask valet park ? try direct self - serve parking street . head park street park ? feel would receive tip ? ? ? pull ' valet ' let park car . hurry get bag since stand stand demand get everything . check - in , first thing say need photo i d valid credit card . barely ' hi ' even fake courteous gesture give . try ignore well . get key , go smelly hallway 2nd floor far corner . low behold , room previous people communicate review , tiny room , clean . ask quieter room 2 bed , get completely opposite . phone sister long distance ask check expedia online see room availability hotel , say able book night . go back downstairs ask alternate room , tell sell night . mention available still book , mean room available ? Alex keep mention , room sell . second time night , first impression , staff willing re - direct ' find way around ' . unhelpful valet & amp ; staff . Front desk valet service classify provide customer service customer . certainly , hotel rate 2 - star reason . small barely update room , first last impression -- poor service . also note , hotel room service . phone get 2 extra towel . housekeeping open 7am-3pm ! want towel , go downstairs ! also can not describe hotel style besides poor incredible staff . poor impression . would recommend anyone even 1 night merely cheap rate . 
 may 27 2009 	 nice stay Golden Gate Hotel / Casino . 	 stay Golden Gate five night -- May 15 May 19 . room recently refurbish imo look nice . room ( # 252 ) small good solo guest . room face Plaza quiet . room clean , bed comfortable , water hot cold need , television new flat screen limited channel ok , room clean every day . I enjoy stay Golden Gate take advantage diner great sandwich shrimp cocktail snack bar . play slot many hour big win several small one . drink service play slot excellent . would certainly stay . 
 may 18 2009 	 stay 	 first time stay , book October . prefer spend less money room , gambling . the room small side , nice clean . bathroom small somewhat outdated , clean . shower head new , come ceiling , 6 ' 3 , could stand directly . experience & quot ; hot water & quot ; issue , , showered afternoon , ample hot water . room clean day . I orignally book smoking room , non smoking room available . contact hotel time prior visit , change room , say non available . get checkin late night , switch non smoking room . the noise bad , also room directly freemont street . with hotel 4 story , never issue wait elevator . 
 Apr 23 2009 	 Cozy 	 find Golden Gate remodel room , really excited stay . , four woman / one room , stay 6 night . find casino hotel cozy . room newly redone , look really nice clean . pillow top bed , comfortable . pillow decent . flat screen tv coffee maker . our first room one small room figure would manage . room , window totally open , overlook Fremont Street really like . bathroom tub shower small . also small closet . go next morning , one room clean big . mom go see could move , open , . room three window overlook Fremont Street . closet deeply previous room . bathroom tile shower , picture post . shower door , opening . kind neat way . really need redo bathroom . anything redo caulk around sink area , not look clean . grout around tile look bit dirty . , bathroom whole lot not issue , even four we get ready morning . shower makeup room . large mirror hung wall . cold water issue other . shower anywhere 6:30am 8:00am . middle stay instal new large shower head . great . I think room dark not mind might . door two inch gap bottom not hear lot noise hall . noise Fremont Street . know , would go sleep last show . room noisy Freemont light show , loud . love hang window watch it . the motorcycle cage window , good view loud well . also man microphone come speaker something underneath window , never check see . continue maybe 30 minute last light show . everything settle , not recall much noise . could really tired . the noise like window . could replace , would great . housekeeping learn four we , give we extra soap shampoo . even noise bathroom , love room . we love shrimp cocktail . player card 99cent , available shrimp bar . eat Bay City Diner , think food good . receive money credit card daily , receive $ 5 day . little luck casino . nice day go casino come back tiny one gamble bit ant room not far away long walk hall room . want something fancy plush , place . ' m sure many people tolerate noise room . I love . price could beat . 
 Apr 20 2009 	 well would expect $ 19 	 first , consider Golden Gate , please understand go get 4 - star accomodation $ 19.06 . long reasonable expectation , probably disappointed . wife book room Saturday , April 11th promotional rate $ 19.06 . , Saturday night , ridiculous deal . since 100 room , check - in breeze . receive room & quot ; old & quot ; section hotel , mean room extremely small . ok we . not choose Golden Gate amenity , . room clean look nice art - deco motif . frame photo Frank Sinatra Louis Armstrong wall , think cool . also sweet flat - screen TV . bathroom , , small functional one exception . previous reviewer note , hot water morning . , admittedly , frustrating willing overlook price . cold shower helped work hangover - induce haze anyway . when ask front desk water , tell since GG old hotel ( old Vegas ) , hot water not readily available morning shower afternoon , acceptable temperature . rather ridiculous , , $ 19 . one cool thing room window open . crack - fully open , window . 's rarity Vegas . , think Golden Gate great value . be go gamble , highly recommend signing player club . wife receive $ 20 $ 25 free play every DAY week ! ! ! ! ! incredible news we , play almost nothing machine . downtown one night could gotten $ 300 free play play every day . well - publicize , however . find accident card would not work go player 's club desk get another one . apparently every player get random bonus add account . sweet ! 
 Apr 13 2009 	 good budget option Downtown Las Vegas 	 online travel site start promote killer Vegas deal March , decide take off - budget , Easter weekend getaway . prior trip vegas , would stay on / near strip , decide give Downtown try time ( close Binion 's pokwer torunament ) , find $ 20 per night rate Golden Gate - could not refuse . the location ideal budget , want rent car . walk good gaming , lot cheap eat . hotel diner open 24/7 , offer decent special - less $ 10 . evening , Fremont Street come alive music , demonstration lot people watch . typically 2 band perform , well solo musician , overhead rock music video light show every couple hour . hotel originally build 1906 , bill old hotel Las Vegas . room furnishing modern well maintain , basic hotel change much - small room bathroom . room comfortable , two major gripes:1 . hot water morning . stay two night , try take shower 10 11 , water FREEZING COLD . water warm enough take decent shower evening.2 . noisy . housekeeping staff vacuuming hall 7 8 , wake we ; hallway sound also carry , happen noisy neighbor . for complain OUTSIDE noise : last Fremont Street rock video & quot ; light show & quot ; typically start midnight , 12:15 . time , crowd go , street vendor . plan go sleep 12:30 , look elsewhere . 
 Apr 3 2009 	 excellent value fantastic staff . 	 good price . bathroom could use renovation though . new pillow top mattress , flat screen tv 's , etc . hotel obviously date part attraction . Valet parking excellent . would stay . 
