work 	 trip # 5 London past 3 year 5 hotel stay , feel Strand Palace work well . booked package Air Canada Vacations get reasonable rate include breakfast . assign standard single room small like London hotel room price range , clean , comfortable , functional home 8 day night . complaint . location great easy walk central London attrraction hotel within 5 minute walk 4 tube station ( embankment , Charing Cross , Temple Covent Garden ) . lot cheap fast eat handy well great dining theatre . hotel breakfast pretty standard english breakfast fare serve fresh hot . Seemed wait weekend . hotel staff friendly helpful doorman Strand welcoming . overall hotel rate well value price . would stay . 
 Nov 16 2009 	 Great Location 	 Strand Palace offer decent hotel great central London location , ideal visit Covent Garden , Trafalgar Square , Leicester Square West End . stay dive time around Paddington Bayswater pleasant surprise one need break bank experience . stay visit London film festival would say primary focus business traveller ( cheap rate single room ) overseas tourist . amuse ask provide passport detail arrival assume overseas . respect overseas visitor hotel pretty shameless increase revenue stream . forget bring toiletry ' use overprice vending machine ' . Superdrug Boots Strand minute walk away thing much cheap . hotel quite bit character elegance . room clean comfortable come extra would expect . large hotel also find unusually peaceful away lobby area even though hotel busy . buffet breakfast good well organise generally service little impersonal ; would expect large hotel ' something personally bother . hotel also decent look restaurant ( ' visit ) 3 bar convenient nothing exceptional . one slight bugbear need pay store bag check - out something would usually expect provide courtesy hotel . say £ 2 per item one bag large group baggage might nasty last day surprise . overall though hotel recommend could lot lot bad London within price range . already book stay early next year see show girlfriend would hesitation make Strand palace prefer choice trip capital . 
 Nov 14 2009 	 good price London excellent location 	 come London turn place stay , find sth ASAP . Strand Palace actually one free room not much choice . the hotel quite scary , enormous ( guess 's usually free room ) dark , look like kingdom hospital von Trier 's movie . nevertheless London affordable location perfect . room small bathroom ok , breakfast really good make sure wake early enough queue get table big . anyway - London not spend much time room . clean bathroom , bed nice location need . hotel 
 Nov 13 2009 	 locationlocationlocation 	 stay 9 day Oct. could happy . book room 6 month ahead , read several negative report , apprehensive decision . time arrive hotel leave , one outstanding experience . staff could helpful friendly , everytime pass staff member always smile hello . we club king room , face Strand little noisy first , bother first night . room surprisingly large nice bathroom plenty large great shower / tub combo . full english breakfast every morning superb plentiful , restaurant also good , outstanding staff member . hotel within walk distance almost everything . stay pleasant . 
 Nov 12 2009 	 enjoyable stay London amazing location . 	 Strand Palace live expectation . arrive early London 24 hour fly Australia . arrival early pre - book early check could freshen hit London . first hiccup could not find reservation , even though book directly hotel hold confirmation email . , credit card use guarantee reject accept 20 min later ( yes ' long stand Reception waiting check . ) arrival decent sized room London standard , try find turn air conditioning room hot . shocked find way cool room tiny fan . , rang reception see could move air condition room , find room air con already stay high category . even though bathroom tiny , clean well appoint . attempt breakfast hotel one day totally put terse greeter . staff breakfast room much nicer helpful , efficient smile . good thing hotel location . ' Strand , opposite Savoy Hotel , far Charing Cross station , right behind Covent Garden amongst theatre . bus doorstep , Charing Cross 400 m away British Rail train Underground ( Bakerloo Northern line ) Covent Garden Underground 500 m away ( Piccadilly line ) . 
 Nov 12 2009 	 comfortable stay good location good service friendly staff . 	 Strand good location , staff friendly convenience , comfortable stay , highly recommend . 
 Nov 11 2009 	 Great Hotel 	 stay 7 day brilliant . staff , amenity , location everything . make sure book club room . London room great . 
 Nov 11 2009 	 disappoint 	 4th stay give Room 407 , rate Club Room . small ( small usual ! ) corner room desk 1/2 size table arm chair wall mount tv prove challenge get chair . room also noisy even window wood panel close . also ask bath robe Housekeeping . Tip day - not stay Room 407.we extend one night no - one , even manager , able offer we low rate . original rate lot less GBP200 quote extra night . clean , staff friendly , great location . use restaurant - brilliant little place right next door ( across luggage store call Exeter cafe ) serve full English 2 egg , bacon , sausage , baked bean , toast fabulous coffee gbp4.00will return Strand ? . repeat visitor hotel feel give inferior Club room great location concession rate even consider extended stay - could move however favourite hotel fully book much well rate free wireless room . will Grand next time . 
 Nov 10 2009 	 heart London 	 good location - middle everything : - ) room allway nice get back afternoon - nice clean . : - ) service good . : - ) noice room , aircondition ( fan ) outside : - ( 
 Nov 7 2009 	 Small smelly room 	 hate room , stank cigarette smoke ( even though be ban ) , size shoebox would never go back . ( know update room since , size unlikely change ) . 
 Nov 3 2009 	 great location 	 stay room 368 front hotel look onto Strand . first night Saturday quite noisy Strand bus people 2 am morning . room not proper double glaze window obviously go hear noise . put fan room drownre street noise also use earplug . would recommend ask room interior hotel light sleeper . I sleep well Sun / Mon . we stay Club room big everthing clean . bed comfy . apart bit noise street complaint . breakfast brilliant great selection offer . check quick easy . Charing Cross underground station 1 min walk away make easy travel London . Strand Palace great location explore London would definately stay visit London again . we use Oyster card travel around underground make thing easy . simple use underground . can not wait go ack London stay Strand Palace . 
 Nov 2 2009 	 good stay fantastic location . 	 stay Strand Palace work end September 2009 . Club Single clean , albeit usual small size London hotel room . face one inner courtyard bit heat wave , , hot . main drawback forewarn forearmed review least lead expect . sleep top duvet fan go night ! room rather good , small expect . bathroom nice fairly good shower 's newly refurbish , be clean . nice toiletry . find bed surprisingly hard uncomfortable usually like hard mattress would not let stop stay again . I arrive 7 pm ish week not queue check - in like staff speak helpful . not however give gym pass advertise club room , knew not go use , not chase . maybe something would like bear mind important ' m one mention this . yes 8 step lead reception , can not actually believe anyone complain ! hardy enough carry bag lift ( ' m wee girl ! ) not bother breakfast room service first night good guy bring helpful . I like decor throughout agree wish bedroom air condition like lobby ! would stop go back , would go back winter . overall pleasant stay would go back recommend friend . btw travel king Cross get tube Covent Garden walk 7 minute hotel pull case be wimp ! 
 Nov 2 2009 	 central clean price right ! 	 take wife first trip London concerned cleanliness , base past experience . find hotel nice , clean well locate . 5 minute walk Trafalgar Square , Covent Garden Market , Tube Thames . might bit noisy Summer window open well room directly Strand . breakfast buffet ample beat price ( London ) ! ! stay ! ! 
 Nov 2 2009 	 love location 	 Strand Palace awesome location visit London foot . 's close Underground station popular tourist spot . 's location West End mean restaurant shop nearby . I club single room three night , plenty . room update clean . bed comfortable , though pillow terrible . fairly warm late October , run tabletop fan keep air move room , enough . one thing bother guestroom door slam . morning people leave day site see whatever , get pretty loud easy jet - lag american sleep . : 
 Nov 2 2009 	 Perfect 	 fault hotel . top priority location book hotel could ask well location strand palace . covent garden round corner , Liecster square piccadily . bus stop front door easy navigate round city . room clean decent size . Heater work perfectly need . tv good channel . shower great . bed hard , prefer hard bed . breakfast busy tasty . I return next trip london recomend friend . 
 Oct 25 2009 	 Value 	 ' ve book hotel via hotels.com , 's superior clubsingle room size okay . excellent price excellent location . new , clean helpful staff ev en store lugguage ' ve check , quick shopping cuaght flight ! ! ! 
 Oct 25 2009 	 good location service 	 whole thought Strand Palace well run comfortable , convenient location . service reception excellent cleaning could fault . wide choice breakfast although room busy staff efficient feel calm relaxation . my reservation single ' club ' room . nicely decorate even wooden shutter , work well curtain . however , small , disappointing . this historic hotel suppose side lovely art deco design occasional small room . 
 Oct 24 2009 	 good long weekend 	 stay strand palace many time notice mark improvement decor last stay service always polite friendy reception make feel welcomeroom always clean tidy location hotel one good stay london covent garden china town west end theatre close bythe breakfast good wide selection would strongly recommend hotel 
 Oct 23 2009 	 great location London sightseeing theatre shopping transport Small Rooms Bad Service . 	 Strand Palace great location London sightseeing , theatre , shopping transport , unfortunately room service let . choose Double Club Room thinking would better standard large normal double room . instead find room big enough fit double / queen bed allow space walk around . room definitely big show website photo . not sure book online get reduce rate notice seem get well room book directly hotel . say book pay Club room would expect well . the point note room heat ; air - condition plug - in desk fan cool room . site mention air - conditioning give standard hotel room rate would normally expect . sheet large enough fit bed case double bed sheet use queen size barely cover base bed . good check Club Rooms actually include Virgin Gym Access Pass . never provide one Club Room information room state include . check site , still state include Club room . could oversight Club check - in person hotel brochure Club check - in available 2 5 day stay , could check they . breakfast include room rate worth way . selection change daily good standard . again great location not bother pay extra club Room 's . worth . 
 Oct 23 2009 	 great choice traveller recognise quality value . 	 great location main line link . Ideal Covent garden tourist attraction . short stay ( 3 night ) , business travellor - accessibility tube bus important . tick every box . good simple bus journey Whitehall , directly outside hotel . easy convenient . small ( ish ) single room perfect . quiet full natural light ( day ) ; great lighting room ( eve ) . certainly dimly light - like many hotel room - enable work relax quite easily . also - room warm cool quickly ( easily ) , probably due small size simple operate radiator ; great could open window easily , let fresh air require ( something often possible hotel , regardless star rating ) . couple lovely view room , excellent cleaning staff ( friendly , polite respectful ) , free bottled water usual tea / coffee - would not hesitate book . overall - staff helpful attentive ( concierge particular ) , keen ensure stay ( plan ) run smoothly possible . finally , breakfast lovely - lot choice attention detail . staff extremely busy ( hotel full , stay ) , ensure thing run like clockwork . carvery - lovely ( good value ) . 
 Oct 23 2009 	 great location service food - need 	 secong stay . everything ram smoothly occasion . excellent position see sight show . easy walk distance many minute drive Euston & amp ; king cross . we certainly stay next visit London . also good Oxford Street Regent Street shopping 
 Oct 21 2009 	 great hotel ! Great Location 	 Strand Palace good hotel good price . elite hotel , find room comfortable clean . simple single bed sufficient space . claustropobic like hotel room . middle construction several floor last year . also hotel one city block , recommend reserve room locate mddle hotel . reserve outside room window street , alot street traffic Strand major thoroughfare . 
 Oct 19 2009 	 Great Location Class ! ! 	 stay three night ' Strand Palace & quot ; , central everything need London . room although small ( huge bathroom ) well appoint , staff helpful . whole experience positive . would definately stay next visit recommend visitor . 
 Oct 16 2009 	 Great Location Great Service Excellent Hotel ! 	 locate West end , convenient walk around town . close many theatre , many nice restaurant . hotel service reasonably good . 
 Oct 16 2009 	 locked room 	 reservation have make website mysteriously cancel . wait 20 min figure ( one else queue ) . finally get room , credit card balance allow authorization one night machine would not accept german bank card ( work cash point ) . program key one night ! next morning breakfast not able get back room would not reprogram key card pay rest stay ( 2 day ) advance . ask could pay later day since get meeting , , pay would let back room . it feel big impersonal hotel lobby challenge get every single time always pack bus load people . pay leave luggage 2 hour last day even though have stay last 3 night . Location be good though . 
 Oct 15 2009 	 get 12 ! 	 location wise hard beat room cramp poorly decorate . get room first place maze room direction leave lot desire . check 12 pm , leave room 11.55 iron shirt arrive back 12.03 locked room . dispute front desk get back , finally check 12.15 . surely grace period 15 - 30 minute room key become inoperative . 
 Oct 14 2009 	 Location location location ! ! ! 	 stay Strand Palace many time last year . reason return , primarily , excellent location , immediately opposite Savoy Hotel Strand . hotel excellent base explore many sight west end , Covent Garden , theatreland , Soho , Trafalgar Square , Westminster legal quarter . recent year hotel make improvement room public area always find clean friendly . breakfast great . room perfectly adequate , certainly luxurious , clean well enough space comfortable . recent visit use fantastic Virgin Active gym pool across road token hotel issue free stay club room . look central hotel reasonable price Strand Palace hard beat . 
 Oct 14 2009 	 Pristine ideally locate outstanding staff 	 want explore west end , Theatreland South Bank hotel ideal walk pretty well anywhere would want see . the public area room excellent condition exceptionally clean . room first floor view speak quiet . friend room corridor face Strand noticed traffic live midde nowhere use unusual level quiet . our room well appoint ensuite shower room spotless . shower particularly invigorate . bedroom fairly warm , window not open not appear air conditioning room might get hot height summer . hotel must already think electric fan room . every single member staff encounter helpful , friendly keen please . highly recommend ! 
 Oct 13 2009 	 wonderful experience 	 Hotel spotlessly clean , lovely restaurent , efficient check desk & amp ; helpful concierge area . room comfortable & amp ; clean . location ideal London activity . would stay without question . 
 Oct 10 2009 	 Perfect location clean room - love strand palace hotel 	 always come back Strand palace hotel , ' ve stay several time . perfect location Convent garden , max . 5 minute walk Trafalgar sq . 7 minute til Piccadilly circus . thing would like comment , be miss air - condition room .. middle summer 's hot room , also miss mini - bar room . , good value money . 
 Oct 8 2009 	 outstanding value - outstanding service 	 solo traveller would find hotel absolutely wonderful - especially female ! ! location hotel great - close Charing Cross tube station . Concierge Desk over - the - top helpful securing tube pass Heathrow Express ticket ... well general inquiry . check - in easy pleasant assistant -the courtyard room quiet ghastly view ugly building - room quickly switch . breakfast delightful - efficient service great array choice . hotel well price would return - absolutely terrific . 
 Oct 8 2009 	 great place central London 	 find special rate hotel single would approximately 150 usd night .For splurge , hey , ' m worth ! hotel close Covent Garden , theater underground bus route . single really single , remind upscale dorm room , attach bath . single bed , build desk closet . tv wall . tastefully decorate contemporary style . window wooden shutter really help 4 sunrise . concierge , housekeeping room service great . as woman travel alone feel comfortable . 
 Oct 8 2009 	 Love Hotel ! 	 almost always stay Strand Palace short trip London . hide gem , center everything , 5 min walk Trafalgar square , middle theater district , bus stop nearby convenient route take directly Paddington Tower , unbelieveble London price ! everything close ! breakfast may crowd , especially weekend , room may require extra round cleaning ( ) , love ! 
 Oct 8 2009 	 Perfect hotel 	 stay one night visit London go show would definitely recommend . perfectly locate theatre staff helpful friendly . 
 oct 8 2009 	 GREAT location THOUGH SMALL ROOMS 	 stay Palace three night , clean hotel , great location even Club room size dissapointing . bed confortable first floor front hotel noise issue . stay hotel would great place stay see London . 
 Oct 7 2009 	 short musical London visit 	 second visit hotel would happily return next time go London . be locate near everything - shopping - theatre - restaurant . 
 Oct 7 2009 	 great location great price consider central 	 staff friendly efficient despite large full hotel . bedroom be not big clean every amenity - lot complimentary tea , coffe , water , toiletry , etc . lot choice breakfast food good standard . great location price - close tube station , major tourist attraction withe easy walking distance . close Covent Garden , theatre , river , Trafalgar Square , London Eye , etc . 
 Oct 6 2009 	 Excellent location service / building problem : Ramps Luggage 	 pro : -The hotel centrally locate near Charing Cross tube station walk distance main London attraction . need take tube stay . additionally small shop nearby ( boot , Tesco ) need toiletry quick take - away snack . bank around corner.-the room clean . shower curtain magnet low part would not move shower . great idea ! -The room safe box free use . also , magazine provide room entertainment well guide London . the con : -The check - in process take way long give room key not work , go back reception area queue again - the room small european standard . minibar importantly , A / C . fan provide enough opening window not make sense due amount traffic main road - where room facing - wireless free use . ridiculous price charge want use it.-The big obvious issue RAMPS LUGGAGE ! access street ( 12 step ) ramp nobody come help -in spite carry large suitcase , backpack laptop bagadditionally want leave luggage storage room upon check , guess ? yes , RAMPS storage room either . top PAY leave luggage . 's first time ever ' ve ask pay leave luggage . be per room , be per luggage item ( 2 pound per luggage item ) . absolutely non - sense - breakfast average / poor . many choice term food refreshment . -Bizarre incident second day hotel : friend come drop suitcase leave place security guy follow we elevator -of course , , one come help lift suitcase street reception area- almost room aisle . ' m still wonder ... dress business clothe think reason may look suspiciousas whole , location great sightseeing room clean problem room temperature , lack ramp luggage poor breakfast mean will not stay . concerned central location clean room , be worth . otherwise , look somewhere else . business - like hotel area much worth one . 
 Oct 4 2009 	 Immaculate room bathroom hot water excellent service . 	 need central London location . Strand Palace Hotel excellent clean room new bathroom . hot water , excellent bed excellent service . food world class hotel restaurant , big surprise . fact , referral hotel staff excellent . 
 Oct 3 2009 	 fantastic location excellent food 	 fantastic location , thing within walk distance excellent bus service right outside hotel . Covent Garden underground station Charing Cross 5 min walk . shopping , sight - see theatre accessable . buffet breakfast excellent - plenty choice . evening restaurant offer excellent food reasonable price . air conditioning would nice room , manage fan - room Strand noise problem double glazing shutter night . room bathroom spotless . staff excellent helpful . would definately stay already recommend friend . 
 oct 2 2009 	 excellent value money 	 hotel ideally locate , staff without exceptrion extremely friendly , helpful service - orient , last least : single room nice . 
 oct 2 2009 	 terrific location 	 check 9/24 , 9/29 . small , clean room . lack A / c issue stay doubt would stay summer . close good food shopping . nice pedestrian area staff - friendly . encounter one incident : arrange wake call first morning , yet wake call continue every morning not want receive call ; speak front desk never fix . good hotel take travel alarm clock . ' m sure not clock radio especially since music t.v . additional charge music want listen . would stay . 
 oct 1 2009 	 good place good stay nice people 	 good location , smile hotel porter Miguel nice recptionist , Gemma 
 Oct 1 2009 	 good choice - Club room stylish modern comfortable 	 Club room front hotel face Strand , room newly refurbish , elegant without fussy , nicely equip . downside air conditioning - 's fine prefer fresh air open window , road busy 's noisy . mid - summer would probably uncomfortably hot would avoid , otherwise would happily stay . location - west end , close City , Parliament South Bank - excellent public transport abundant . note - think Club room refurbish none other . be right , would choose Club room . 
 Sep 30 2009 	 excellent location small room without a / c 	 fantastic location theatre life good eating . also , far tube station . hotel seem popular keep reception area busy almost around clock . breakfast good breakfast room jam pack 7 - 9 a.m . even seat procedure well manage . room small tend get warm even late September . open window option light sleeper . 
 Sep 30 2009 	 hotel central - perfect London 's attraction West End 	 always use hotel visit London , . really central attraction . staff really friendly helpful time . room spacious , clean comfortable . 
 Sep 30 2009 	 ` ` diamond '' 	 back fabulous weekend husband , go strand palace birthday surprise husband , dissapointe . staff lovely , leave complimentary bottle wine card husband birthday room . kingsize club room front hotel , great could lose bed . room pretty warm fan cool we . Room immaculate , leave bottle water toiletry every day . breakfast terrific much choice food lovely , get busy especially weekend do not wait long table staff efficient . would certainly go back hotel , would certainly recommend . 
 Sep 29 2009 	 superb location 	 Staff extremely helpful . book standard room small ask upgrade club room - request deal quickly efficiently . club room perfect , worth little extra pay . hotel location perfect , would definitely stay . 
 Sep 29 2009 	 great location - cozy hotel 	 service fine . room ok sound outside window little bit annoying . also small refrigerator need cool water ( vend machine hotel corridor empty water supply ) .great location good food . 
 Sep 29 2009 	 Pros - Lots Cons 	 First Pros ; Breakfast quite adequate . location goodcon ; pretty much everthing else . very long wait get room cramp ( ' m use large european city hotel know small ) . air stale window could open much . would not want open anyway noisy . bad part however book process , cancellation charge dispute credit card company etc . I realize people might lucky enough issue , certainly among . time meet traveler await room ( pro well ? ) seem experience similar issue book . all could not say people lobby seem enjoy . maybe bad time year ? sure , would not stay room free charge . 
 Sep 28 2009 	 Favorite London Hotel ... 	 ' ve book two day 10 day time . ' ve stay Strand Palace six time ; , child , lastly , friend , share one newly decorate double room . keep look book , net , whilst walk around London , hotel could try & quot ; next time & quot ; , can not find place compare location , price , ambience , convenience . love Tesco Express right across road ; love two subway line 5 min away , love Waterstones end street , course , sight within walking distance . negative last trip plastic glass bathroom -- -i call tell room service would bring we proper glass , way endure . trip will probably pack small glass bag ! anyway , good experience . even find smallness single room quite charming . wonder reviewer complain size room , unairconditioned room , etc . stay many hotel Europe 4 - 5 star . 
 Sep 28 2009 	 Perfect Location clean little pricey maybe ? 	 say .... check mid week 3 night stay greet friendly conceirge nice staff reception desk . make reservation http : //www.booking.com/ recomende another reviewer hotel . the location excellent , really do not think well ! ! situate v close tube Victoria line station come Gatwaick location . also , Covent Garden , Soho , Trafalgar Sq etc . right behind hotel Covent Garden nice bar / eatery . Soho go eat also place call & quot ; Couch & quot ; Dean Street lunch , excellent . place v close dinner etc . the London Eye also within easy access tube ( 1 stop think ? ) walk , something must / visit . Myself partner shop sight see London many year ago . room spotless , enough want . bathroom large enough bedroom . complaint . vouch food eat time bar / restaurant always seem busy enough . room also come fan bedroom / bathroom window open air room . problem housekeeping come around 8.30 morning loud . price could little cheap too . I do not get review leave hotel . hotel do not advertise air con either do not sprise do not . would say . also , room size perfect we , Hotel ( think ) sleep , sit day ..... want somewhere clean , right location secure . hotel fit bill perfectly go back . 
 Sep 27 2009 	 Grand exterior - disappointing interior 	 Strand Palace good , central three star London Hotel . I stay one night work . location fabulous - two minute walk Covent Garden many excellent restaurant bar keep entertain . the entrance build grand - quite excited arrival think work finally splash ! ! reception staff friendly efficient . downside standard room . single room one top floor . absolutely tiny old fashion . bathroom pokey look though need update pronto ! colleague a / c window would not open , suffer awful night sleep . hallway redecorate stay replacement carpet look naff , old fashion . the breakfast plus . plenty fruit , pastry , cereal hot food offer . restaurant breakfast get extremely busy wait five minute table & quot ; overflow & quot ; restaurant seat in . all good hotel . probably would not choose stay think room justify price . however , hear room refurbish perhaps well value money . 
 Sep 23 2009 	 PERFECT ROUND LOVE ! ! 	 simple clean modern bedroom . service excellent . easy access theatre land , theatre within walking distance . central site see , walk pubic transport . Good Restaurant within Hotel ( serve excellent breakfast ) plenty choice nearby . good value give locality amenity available . 
 Sep 23 2009 	 great location - would stay 	 book club room stay 7th floor . room small clean quiet . english breakfast also good abundant . hotel centrally locate - easy walk Trafalgar square Thames . station also quite near . the hotel bit expensive be look something cheap business people give 's location , reasonable . 
 Sep 22 2009 	 great hotel get even great ! ! 	 stay Strand Palace 6 year ago . location terrific , directly front Covent Garden right theatre district . decide go back know would stay Strand Palace . get unbelievable ! ! completely remodel . room spacious clean , large desk , safe , roomy closet spacious bathroom . restaurant serve awsome hot buffet rival pricier restaurant city . staff nice , especially restuarant staff . know alot european hotel american hotel , Strand Palace definitely american standard hotel . two thumb Strand ! ! 
 Sep 21 2009 	 great location chambermaid well train 	 like location hotel much . near theatre , restaurant place interest . also happy receptionist ' service - generally , prompt polite . concierge also helpful . however , think well train chambermaid . able find T - shirt go back room bed neatly make , realise later ' hide ' pillow . follow day , find dirt - like thing bath - tub last night hotel , find bottle detergent basin ! colleague travel find use rag toilet , second day stay . for good location comfortable accommodation , not mind stay hotel . really hope could well chambermaid though . 
 Sep 20 2009 	 's Location Location Location 	 finish four night stay Strand Palace Hotel must say impressed . I standard room seventh floor room satisfy need . without doubt small hotel room ever stay . bed twin size mattress room little twice wide mattress . bed comfortable room neat clean . tv flat screen , bad much watch anyway . I surprise close attraction hotel . thing within easy walk distance . another add plus fact many bus line run front hotel least two underground station within walk distance . the meal eat hotel continental breakfast Diva cafe . enough help get whole day . hotel surround numerous restaurant cafe . find place meal problem . should stay Stand Palace Hotel ? depend & quot ; high maintenance & quot ; . need pamper total luxury , place you . but , look nice , clean , safe hotel fantastic location , would crazy consider Stand Palace . highly recommend . 
 Sep 19 2009 	 Excellent location accommodate service 	 much enjoy stay Strand Palace Hotel London . room clean location fantastic . within walking distance Covent Garden , Trafalgar Square , National Gallery , National Portrait Gallery much ! concierge extremely helpful accommodating . purchase ticket football game online , lead error , Andrew able call stadium correct mistake would able pick ticket person . additionally , able secure Saturday reservation last minute excellent hotel want try special occasion . drawback hotel not air conditioning , fan place room . luckily , weather hot air conditioning not need night . overall , great experience ! 
 Sep 16 2009 	 excellent base trip London 	 well worth money . central position sight seeing . room high standard breakfast die . service staff excellent . would definetly use recomend other . 
 Sep 14 2009 	 Perfect location excellent service 	 hotel fabulous . clean room service great . breakfast lovely . service conceirge help find local bus tour . due go back finish course stay Strand 
 Sep 13 2009 	 small nice 	 stay strand palace August year . stay single room . single room small clean enough - would not want spend couple night room . main issue air condition one hot day year . fan supply circulate warm air around room . bar fine expensive . Breakfast - hotel really busy not relax experience . food fine . 
 Sep 11 2009 	 GREAT HOTEL GREAT price 4 STAR + 	 Great Hotel , cleen , great service close theater land great food breakfast .good value 
 Sep 10 2009 	 centrally locate 	 stay Strand August 2009 . prosthe hotel centrally locate within walking distance many tourist site . the morning breakfast include room good . the staff helpful pleasant . the consthere air condiitioning . 25 degree make sleep unpleasant . it extremely noisey get room front building . city bus pound street quite late . 
 Sep 9 2009 	 Excellent Place stay 	 second time year strand palace . stay various hotel around central london year mostly disappointing money pay far great value money.it clean [ recently refurbish ] staff friendly helpful , standard double room good size , do not book breakfast carvery ok could get cheap meal outside hotel , also price cocktail mask bar bit shocking fool pay , drink holiday do not mind : - ) overall plan go back london next year definitely book hotel unless price go dramatically , I ve check have not far , hang till xmas book something 
 Sep 3 2009 	 Good Hotel 	 really enjoy stay Strand Palace Hotel London close everything train station road within walking distance many theatre , staff friendly helpful , room clean , breakfast good plently . kid really enjoy stay here . we stay next visit London . 
 Sep 1 2009 	 great location good stay 	 5th stay Strand Palace . book club single room , much different standard one . housekeeping staff good job keeping maintain stock toiletry , mineral water packet biscuit . as one go 2 - 3 time year theatre , location wonderful . nice stay crowd tube deal public transporation ! possible walk nearly theatre withe 10 - 15 minute . breakfast perfectly adequate , never wait table . since get food poison fish dinner previous stay , otherwise avoid restaurant . however , numerous choice within step front door . pass Virgin health club nice - good pool , sauna 2 minute away . majour drawback window able open 4 - 5 inch , one two would open & quot ; health safety reason & quot ; . absolute stupidity government interference ! fan okay job keeping room cool . 
 Aug 26 2009 	 good hotel GREAT location 	 Strand Palace Hotel good hotel great location . perfect weekend break ! step door , will find immediately Strand , superb location like Leicester Square , Trafalgar Square Covent Garden minute away ( foot ) ! english breakfast great serve almost immediately every morning . room size average ( ' ve see small London ) housekeeping perfect ! staff friendly . 
