Great 	 wonderful stay wife 1st Anniversary hope stay ! Got town early Friday , staff extremely nice helpful even though not room ready early . store luggage we even let we get item back already store . go sightseeing come back check - in breeze find give we free upgrade suite anniversary . room nice clean lot room spread relax . later stay , realize forgot shaving gel call front desk see help since run late dinner reservation someone room time flat shaving cream . one great thing hotel location . right middle everything Michigan Ave ! ! shopping could want ability run bag room drag town . quick access numerous restaurant short walk lobby , well bus stop across street take various museum point interest city . thing could see someone fault place noise Northwestern Hospital right next door . 27th floor noise bother we wife light sleeper . , Avenue Hotel great place stay enjoy Chicago look forward return soon . 
 Oct 5 2009 	 comfortable bed .... ... 	 book use point credit card company . arrive hotel 1:00 . check time 3:00 . tell room not ready yet check luggage go explore . rain cold go back 2:30 hoping room might ready little bit early . without check , tell room would ready 10 minute . sit wait . minute later , people start line check . sat line go . stay hotel frequently never encounter . not understand not let people check room become availalbe . room nice . play extra $ 30 room 2 queen bed versus king room book . bed EXTREMELY comfortable . would slept like baby except two thing : lot siren night long could not get temperature room quite right . bathroom nice size . plenty room two people share sink space . second morning , lose hot water shower . sound like toilet room next door flush right happen . quickly recoverd minute later , lose hot water good . good way start day . call front desk offer send someone look shower already . apology receive . hotel awesome location . one block Michigan Ave centrally locate . ' m sure would stay due customer service issue . 
 Oct 5 2009 	 convenient location ok hotel 	 Location can not beat like shop dining - Mich Ave WaterTower Place right around corner . close Northwestern Hospital siren street noise may bother light sleeper . hotel room pretty spacious bit worn consider price . staff friendly , other much . $ 25 restock charge in - room snack / drink joke . would pay Coke ? overall nice place stay city . 
 Sep 24 2009 	 Fan Avenue Hotel Chicago 	 travel Chicago twice year business choose Avenue Hotel past four trip . come San Francisco standard high find Avenue Hotel offer several major plus . first , location Magnificent Mile can not beat . second , upgrade room receive two last four visit large Chicago standard amentie business traveler serious shopper expect first class hotel . bed comfortable bathroom also nice incredibly clean . wakeup call deliver time friendly voice . Staff Avenue Hotel friendly , accommodate well train customer service . third , room lcoate high floor view incredible . not try health Club , draw negative comment website , look completely acceptable . overall fan hotel plan return . 
 Sep 23 2009 	 excellent location dreamy bed 	 go 28th anniversary excellent time get standard room king size bed Priceline $ 122 night . public area small would limit pay , well worth price pay . room nicely appoint furnishing comfortable , bed absolutely awesome -- great linen pillow ! room large definitely large enough . complimentary wireless nice ipod dock flat screen tv . coffee maker hair dryer good quality . besides bed , location perfect . 3/4 mile Navy Pier farth walk . Johns Hancock Bldg . , shop excellent restaurant within 1/2 mile walkable . look window corner Michigan Huron Tiffany 's , Saks , Nieman - Marcus . valet parking garage costly surprise $ 96 two day . concierge little stuffy not volunteer much information . use internet answer question . 
 Sep 18 2009 	 nice room bad location 	 allocate junior suite 14th floor , high enough hear traffic noise high enough drown emergency vehicle siren arrive , day night , massive hospital across road . plus contant thumping noise , maybe water pump something aircon , also go day night . find sleep really difficult , shame bed lovely comfortable , pillow die ! run battle housekeep extra pilow , every night would get wardrobe , every day would put back ... 's pity not zealous cleaning . first night spill sugar counter top coffee machine , 3 day later still . coffe make supply tray not refill time , ring bring room . other niggle really enjoy stay Chicago would love come . would stay Avenue would request room back next time . 
 Sep 16 2009 	 pleasantly surprise 	 Booked priceline- four Star- Four Star might reach certainly solid 3 3.5 star . lobby quite plain . four check desk . door man helpful . room nice- recently remodelled- nice well light bathroom , new fixture , big multi stream shower head adequate pressure . towel rich . room also spacious . bed comfortable . room clean . closet , area wall indent clothe bar ( find hotel use Ramada ) . couple block Michigan Avenue . 
 Sep 4 2009 	 excellent location lovely suite . 	 stay six place , quite tired arrive Chicago . Avenue Hotel easy find pleasantly surprise quite close everything locate . ( Steps Mag Mile ) stay not break bank mean money leave shop unlike hotel area . check easy lovely corner suite ( 2315 ) lounge , bathroom bedroom . bed comfy , sleep well since arrive state 18 day previous ! lovely clean linen touch like zebra print dress gown little wardrobe tuck round corner . the mini bar well stock lounge . furnish comfy sofa zebra print arm chair , great place relax . ( maybe light bit odd room well consider everywhere else ? ) bathroom well appoint great shower , curve rail ( Fab ! ) lovely plush clean towel , good product well care for . we love stay sorry weather not well could try rooftop pool . I would definitely stay , doorman great hail cab reception staff welcome helpful . recommendation round ! 
 Sep 3 2009 	 GREAT location WONDERFUL property ... 	 Avenue Hotel wonderful property great location Chicago activity . large , well - appoint room comfortable relax , however , internal external noise abound ! lot siren day night hear every movement , right outside room . lobby stark modern , even roach coach serve complimentary coffee hotel . money one pay , serve complimentary continental breakfast well . lobby close door make uncomfortable chilly weather . fireplace lit would make much difference anyway . in - room coffee maker one single - serve model difficult operate . luxury property , expect real coffee mug cheap , tiny paper cup provide along mini - moo liquid creamer . pre - package coffee condiment fine 1 2 star hotel . overall , 's excellent property not plan spend lot time hotel not coffee junkie .. convenient Magnificent Mile location within walk distance short cab ride many activity Navy Pier , shop Wrigley Field . 2 block sak importantly , 2 block Walgreens whatever forgot airline take you . upon check - in , hotel attempt charge $ 50 per day incidental fee cash debit / check card customer . Priceline probably bury info fine print not read , simply decline pay $ 50 per day fee charge one - time $ 50 fee ( fair ) . pay fee cash otherwise take 5 - 7 business day get money back . hotel staff kind enough tell front . pay cash , money return check - out not incur hotel charge phone room service . run $ 50 charge prior check - out , ask another $ 50 . also , really reason rent car Chicago . avoid $ 45 per day parking fee hotel cab use public transportation . Chicago excellent public transportation service even go suburb . if kick caffeine addiction hotel implement suggestion ( coffee .. not expect redeisgn lobby behalf ) would definitely return Avenue Hotel . 
 Sep 3 2009 	 Chicago good city Avenue hotel good hotel 	 go Chicago spend day New York 6 day . exhausted want relax real holiday . begin people , Chicago specially hotel nice . get upgrade , thank Arta , enjoy every single day hotel . people work hotel really nice helpful always smile make feel wellcome . I recommend anyone travel Chicago pick hotel , situation , magnificient mile , quality hotel value people work . 
 Sep 2 2009 	 Great Location Reasonable Hotel 	 like pretty much everyone , location excellent downtown Chicago - within easy distance bus metro . initially give large room 39th floor ( fantastic view ) ... next aircon hotel . kick , even furniture vibrate , say nothing noise . first offer change & quot ; small & quot ; room nothing else available - saw room bad joke - small understatement . refuse substitute small room , large room 28th floor find available ( ! ) move fine comfortable . front desk staff really helpful . the downstair bar good lunch / dinner - avoid breakfast service slow less friendly . a big plus business centre possibility check - in print boarding card free , make hassle O'Hare bit less . 
 Aug 31 2009 	 Perfect Location Perfect Price 	 able get really great rate Priceline day arrival . hotel renovate believe use Radisson . pleasantly suprise ! could akse well location ! take train MDW ( Orange line transfer red line ) walk 10 minute hotel . we greet graciously upgrade large room southern view city 36th floor . bed comfortable ever sleep great night 's sleep . the front desk call room within 15=30 mintue make sure everything okay . ask upgrade ( cause hear standard room small ) lady say yes . ( nice , can not spell name , ask , tell we Bulgaria ) .The less positive thing hotel : elevator TINY take .... a / c unit loud , bother we would turn turn later . get turn room stay cool night . the room modern spacious . like large leather couch zebra chair sooooo comfortable . vern , concierge helpful direction suggestion . this hotel provide central location everything want see . would hesitate go back Avenue hotel . block Lake Michigan , shop eatery . 
 Aug 17 2009 	 Good Hotel step North Michigan Avenue 	 opinion , hotel 3 3.5 star hotel . staff friendly courteous . find great deal one - bedroom suite . part , decor furniture average . living room , leather sofa comfortable . bathroom , shower head curve shower rod nice , tile poorly lay toilet look industrial ( like sport stadium ) . bedroom , pillow comfortable , waffle texture blanket somewhat uncomfortable . air conditioning unit moderately loud sun make temperature slightly warm afternoon . complimentary wireless internet easy use speed adequate . rooftop pool basic small . hotel locate step heart North Michigan Avenue shop attraction . also within walking distance Navy Pier Millennium Park . would stay hotel find another great deal . 
 Aug 12 2009 	 expect 4 star hotel 	 location hotel great . right Michigan Ave right around corner form Gino 's East . room small price pay extra go king two queen . place understaffed could never find anyone help we . bell hop drop two bag reception desk still unload 3 other expect take room . get help , bell hop actually demand tip . overall think will go back big chain get well service , big room well price . 
 Aug 9 2009 	 truly superb hotel everyone 	 Booked Hotel Hotwire bargain wasnot expect much , moment arrive know special holiday . initially problem room could problem 1 year old , staff move we room superior & amp ; massive . house keep staff doorman reception staff welcome every time name go way provide we place could take toddler . room always spotlessly clean fresh towel daily & amp ; lovely toiletry . bed comfortable pillow make want stay bed . I praise hotel enough staff make staff one truely remember 
 Aug 5 2009 	 great location 	 nice hotel locate one block Michigan Avenue . room large clean nice city view ( 22nd floor ) . decor sleek modern . nice picture frame Chicago . bathroom small . tub water drain slow . front desk staff helpful friendly . roof pool nice view city lake . however , need clean window . food hotel restaurant average . breakfast recommend Corner Bakery Cafe one block hotel . stay away hotel parking lot . charge $ 48.00 plus taxis per day . not need car Chicago . use public transportation taxi . overall , good hotel value downtown Chicago . 
 Aug 4 2009 	 unbeatable place stay Chicago 	 stay two night well half birthday weekend city , please hotel . prior arrival already decide request upgrade - birthday . check immediately upgrade we corner suite amazing view . know read site previous guest upgrade without ask tend pessimistic ' think possible – well guess wrong . room spotless , well appoint . robe world soft bed – ' think ever sleep good hotel . staff always friendly always greet & quot ; hello & quot ; smile pass hallway . despite great room friendly staff , main attraction Avenue Hotel location - step Chicago 's iconic destination . overall , would not hesitate stay . 
 Aug 4 2009 	 Pay Location . 	 loaction hotel fantastic . stafff service ' could well ' . valet parking laughable $ 48 overnight adn service , well let say could ' ve get car lot quick , instruction get staff attention ! room spacious minibar price give ! matter much take advise $ 25 refill charge . overall view hotel price , definitely pay location . 
 Aug 1 2009 	 small room tub peel 	 think would spacious room two queen couch . instead little enough room walk side King bed . 
 Jul 30 2009 	 Avenue Hotel Chicago make honeymoon extra special ! 	 Avenue Hotel Chicago make honeymoon extra special great service helpfulness direction . also provide we sweet upgrade ! upgrade regular king bed room top floor corner suite ! amazing view city Lake Michigan . roof top pool amazing ! plan come back year anniversary ! stay Palmer House friendly . avenue sleek modern feel romantic view city . 's close Mag Mile close Gold Coast . great hotel ! 
 Jul 29 2009 	 wonderful stay wonderful room 	 look centrally locate hotel Chicago child friendly . find 2 room wasn´t sure would suit requirement phone reservation advice . offer kids room available line similar discount would find travel website . get hotel late everything run smoothly . check go quick kid get milk cookie love . room spacious , fun ( especially kid ) comfortable . like lighting design parent could stay without interrupt kid . thing wasn´t happy , size bathroom . try bath 2 kid bit difficult manouvere tiny space . 
 Jul 28 2009 	 good hotel great location 	 return long weekend spend Chicago stay Avenue . room small kind dark location can not beat . walk shopping restaurant . 
 Jul 28 2009 	 Perfect Hotel Chicago Trip 	 stay Avenue March 3 friend trip Washington Chicago Minnesota . stay Avenue highlight trip . shop Chicago AMAZING ! ! ! step hotel ! staff hotel incredible . pretty chilly gentleman around 10 pm actually go main road hail cab we , come lobby entrance pick we . thank soooo much . guest not forget little thing like , really beyond book ! actual hotel beautiful & amp ; modern . room decor fantastic & amp ; suite well lay out . thank part vacation make much expect ! 
 Jul 27 2009 	 Decent 3 1/2 star need little TLC 	 check room 2902 Friday afternoon . check smooth . room spacious clean . bathroom small . tub little bit dirty tiny hair prior we tub water drain , call maintenace . hotel good location . bed comfy pillow little bit soft liking . housekeep quick response toilet paper towel request maintenance . elevator bite slow especially around check time . pool much much small see hotel website . employee accomodate except Bellmen , quick tip actually ask one . decent hotel value . be careful cab driver , different rate airport . visit Millenium Park , Navy Pier , Oak Street Beach ( pack beach towel ) eat Gino 's East Chicago Deep Dish around corner hotel .. pizza like soup , hot mushy . excellent spinach stick though . good ice cream ice cream shop Millineum Park . also eat Weber Grill , get seat right away reservation . overly impressed restaurant , good steak well . Corner Bakery right street hotel good breakfast . niu serve Japanese , cool atmosphere good food . one fav 's Yogurt Couture Erie State , yogurt bar every top imaginable open til 4 am Saturday 
 Jul 27 2009 	 determine four star ? ? ? 	 go Hotwire ask 4 star Chicago Hotel weekend . come Avenue Hotel . well , room small , could not order room service , would place put ! highly tout rooftop bar view not open 6 p.m. bartender show . minimally , uninterestingly furnish - view advertise , not stay lack anyone . bar around neighborhood jumping , one . bed bed comfortable . bathroom also small - clean . question criterion four star , since must tremendous gap four five , judge hotel ! ! many choice Chicago , not think would choose one . 
 Jul 26 2009 	 great experience 	 great location , room 22nd floor , nice outlook , quiet . walk tourist attraction Avenue Hotel . staff extremely polite helpful . would hesitate stay 
 Jul 23 2009 	 Great Hotel Cubs Weekend 	 travel Chicago several time year look hotel Cubs weekend friend . familiar Avenue Hotel book discount hotel website . turn great stay we . location convenient , one block Michigan Avenue close Water Tower area . find roof top pool exercise facility nice plus . go swimming 7 am Saturday morning wonderful view Lake Michigan lap . the hotel bed comfortable everything room new include high def flat screen tv . Valet parking hotel little high $ 45 / night . lot close $ 20 $ 30 per night . roof top restaurant offer nice breakfast eat . , pleased stay . 
 Jul 22 2009 	 compliment around every corner 	 2 friend stay downtown concert . choose Avenue Hotel price , location , pool roof . must mistake price b / c get much pay , $ 167 . corner suite , windows galor bedroom living area , flat screen , awesome leather couch , pull comfortable did'nt need , zebra chair well . FYI , minibar sensore do not remove unless ready pay . bring drink move , charge us b / c sensor remove charge explain , Problem , staff excellent start finish ! decor great , keep feel textured wall everywhere go . pool roof excellent Sky lounge breakfast could well view fresher fruit ( egg , bacon toast great ) . location perfect shopping , eat drinking group girl romantic couple well , man definitely soon , Avenue Hotel ready we Air Water Show ! ! 
 Jul 20 2009 	 decent option get good price 	 trendy spot . fancy spacious . anything feels cramp . lobby small crowded . room small ( suite ) . work business hotel get really good deal 's Chicago hotel get expensive . 2 block Michigan Avenue 's na easy walk . store nearby short walk Hancock tower . breakfast buffet roof - not bother . service slow sullen ( unlike rest staff ) . food marginal . well almost anywhere . would stay - maybe . need downtown hotel $ 100 night could get one yes . hotel full price . Chicago lot great hotel . going spend money hotel avoid Avenue stay one . 
 Jul 15 2009 	 Wonderful 	 stay hotel Taste Chicago . receive excellent service time check departure . staff professional . room superb hotel wonderful location . amenity room nice ... use live Chicago , come home visit real treat . back Avenue hotel choice . 
 Jul 14 2009 	 Great Value ! 	 wonderful long weekend Avenue Hotel will definitely stay . avenue invest wisely well amenity really matter , pare away costly less vital element . will find great bed , linen housekeeping , instance , fancy lobby cable tv . add great value neighborhood hotel charge 30 - 40 % . pro : -- tailor , serenely modern decor ; floral print anywhere -- sumptuous bed linen plenty pillow -- clean room public area -- huge window ample space & quot ; Junior Suite , & quot ; essentially large room sit area nicely furnish leather couch , coffee table armchair . even walk - in closet . -- kid friendly , kid overrun . -- all - pro front desk staff . Jael Julio go great length resolve problem cause room discounter use . -- casual restaurant elegant lounge premise -- block ideal segment Michigan Ave . , Water Tower , store park nirvana shopper , people watcher sightseer . -- great soundproofing -- small , pleasant outdoor rooftop pool deck 40th floor perfect escape Chicago 's street - level bustle . see family bring fruit , bread cheese picnic bird 's eye view city lake . -- brunch 40th - floor Sky Lounge pricey , food great service fast friendly . con : -- convenience store premise ... neighborhood , none be really need . -- Cheesy disposable cup in - room coffee maker , discernible recycling effort , otherwise Green hotel . -- 10 12 tv channel not enough , accord insomniac party . -- powerful noisy AC -- label refrigerator warn $ 25 restock fee scare we badly never even open darn thing . probably well . -- lobby small , utilitarian seat minimal decor . like lounge around opulent lobby lobby bar , hotel . hand , will thrill like get front door elevator bank quickly , without navigate obstacle . breakfast , walk two block Cafe Lux Michigan amazing make - to - order beignet , great coffee , fantastic menu selection . good breakfast ' ve ever ... try blood orange mimosas mojito . 
 Jul 13 2009 	 Nice Hotel would return 	 stay July 9 - 12 . overall stay nice . arrive little check room ready . give room 36th floor . room tad tiny time , space fine . room large window view great . could see lake right , Gino 's East right , Magnificant Mile leave . king bed comfortable . shower / bathroom little small manage . problem wireless internet first night tech support walk we . air conditioner sensor kick walk door . elevator pretty quick . sometimes sluggish side never complain . front desk helpful not real busy . ask priority seat Gino 's East since really long line receive . 20 min later seat ! ! never go swimming water heat great view . also never chance eat two restaurant . parking steep . . . $ 49 / day , Chicago . wish would offer type discount hotel guest . our last night also bad . group young adult floor . see security around 8:30 pm , know might long night . 1:00 group return extremely loud , slamming door , foul language , yell / scream . call security come shortly . warn . quiet little couple outside door argue yell . husband call security come second time . shortly thereafter cop arrive . ' m sure happen luckily able go sleep tune . would liked see hotel escort whole group hotel guest could get peace quiet . group not warn quiet . also , may feel different sound like fun , fight anything . I really enjoy stay would recommend hotel everyone . 
 Jul 8 2009 	 Great downtown locaton Clean 	 Loved stay Avenue . upgrade suite 5 night stay without even request , make difference extra room extend stay . front desk , housekeep bell staff friendly helpful every encounter . room clean well furnished . sorry leave suite 30th floor last day know next stop would able match comfort style Avenue Chicago . 
 Jul 4 2009 	 Great Hotel 	 book 4 night stay Avenue via lastminutetravel.com , total cost US $ 430 ( incl . taxis ) deluxe room . upon check - in pleasantly surprised upgrade suite 22nd floor . other mention elevator little slow . suite 's living area include large leather couch , armchair , desk ipod dock / speaker , flat screen tv , tea / coffee station . complimetary wireless internet access big plus greatly appreciate . bedroom spacious , comfortable bed linen . another flat screen tv , wardrobe full elngth mirror . lots window . bathroom clean practical ( hairdryer supply ) , great toiletry - love body lotion ! anything would say housekeeping supply many towel , always replace end 8 facewasher end stay , move way use shower vanity . small thing , hope not launder uneccesarily . as other mention , dark hotel . real complaint , photo ' ve post take every light room be still quite dark . spend time sleep not phase much , need spend time room may issue . Rooftop bar pool . quite cold stay not use pool , look like would nice sun summer . overall , pleasing stay . staff pleasant , hotel roomy clean . location convenient Michigan Ave shopping , pizza resturant Navy Pier ( approx . 20 - 25 min walk Art Institute South Loop ) . town conference Loop try Michigan Ave location something different quite enjoy daily walk ( $ 5 cab ride need though ) . 
 Jul 2 2009 	 Perfect ! 	 perfect stay ! room clean nicely decorate . price great could not ask well location ! would definetely stay city ! 
 Jun 30 2009 	 Impressed 	 attend recent business meeting hold Avenue Hotel . impressed attentiveness staff check - in spacious room . bed comfy not hear peep neighbor side . location terrific well - one block Michigan Avenue . parking alot 's parking Chicago . meeting room spacious staff attentive check - in excellent service refreshment . all , pleasantly surprised normally use & quot ; name & quot ; chain meeting . would gladly consider hotel personal stay well . 
 Jun 29 2009 	 Perfect location kink . 	 stay Avenue Hotel reunion end June . busy weekend Chicago hotel seem hop . Junior Suite , actually ADA room minor issue room . hairdryer room , call downstairs one light bathroom , quickly replace . issue find excessively long wait elevator . matter try catch elevator appear though one actually run would pack stop floor . issue mislead nature booking . book hotel website offer well package deal . however , confirmation appear though credit card charge full payment reality merely recognition reservation . full charge due check - out , fine , need clear misleading communication . 
 Jun 28 2009 	 perfect location comfy bed break a / c slow elevator 	 pleasantly surprised book great rate hotwire , 2 - room suite king bed ! a / c room work - not room except sleep . not inform front desk till check . wonderful large showerhead , big fluffy towel / sheet / blanket , leather sofa ( ! ) . not swim pool look like people fun . elevator frightfully slow Sunday morning - room 17th floor every elevator stop already cram people check . end hoof 17 flight step ! location hotel can not beat - step everything . pub ground floor decent food / the opportunity eat outside , carry lot different beer . would stay . 
 Jun 24 2009 	 Great Location Great Views 	 husband get good deal priceline , consider summer weekend Chicago . check - in , end upgrade we corner 2 room suite one top floor . not even ask ! bed comfortable amazing wake wall window look DT lake . could not beat location hotel ... block away North Michigan shopping restaurant . 
 Jun 24 2009 	 Great People Great Service Great Location 	 spend enjoyable weekend Ave . family friend use Ave & quot ; home base & quot ; , attendinga family wedding . hotel renovation complete . front lobby sky lounge top building , Avenue new , fresh , clean comfy ! staff continue great reputation outstanding guest service . genuine attention detail make every visithassle - free . ave locate heart Magnificent Mile within walk distance fine restaurant outstanding shopping . great people , great service , great location , be Avenue Hotel ! 
 Jun 18 2009 	 wonderful place not get dirty ! 	 stay Avenue quite nice , 2 queen bed studio suite quite nice . tv reception poor , view bedding make ! ! ! english pub attach reasonably price decent food . lobby interesting design somewhat annoying euro - pop techno music play . sky lounge seem bit small , cozy . ambiance nice except music lobby , play , loudly . drink price outrageous though , $ 9 rum coke . make sure one last awhile ! pool area also small nice . pool clean nice warm . handy tip dunkin donut 7 - 11 two three block St Clair save little money dodge breakfast cost hotel . concierge friendly helpful arrange boat tour general get around . hotel fairly comfortable walk range Navy Pier , Ogden Slip ( boat tour leave ) Magnificent Mile , Millennium Park . room spacious feeling privacy even share . bathroom wonderful size , plenty space change without stand splash shower . shower though leave much desire . fixture loose wall pressure dreadful . would well luck bathe water fountain . water dribble never really leave feel clean . everything else bathroom great . ' m sure water pressure poor due 34th floor , glad not take advantage weight room know would never get sweat I . outside window hear ambulance come Northwestern University Hospital , bad quiet night be another city , like , sound kind disappear . nice though free wireless internet ! overall pretty comfortable stay , think hotel need little bit work , really classy neighbor . would recommend pianist sky lounge make piano bar . kill lobby music together easy communicate staff . also figure get water top floor guest feel clean truly refresh . 
 Jun 18 2009 	 good location - Bad Business . 	 stay hotel , sure walk home ( be probably cheap . ) parking outrageous , informed charge check hotel . inform extremely high rate park car , would take train even park somewhere else cheap . also offer check bag , not ! cluster , easy hold onto lug Michigan Avenue . staff seem disorganize unfriendly . great location , . 
 Jun 12 2009 	 Great Location - that be ... 	 every year , take Mom downtown Mother 's Day weekend . try stay different hotel every time experience fun thing Chicago . decide Avenue hotel year location ( excellent ) price happen within budget . call hotel directly find anything special Mother 's Day hotel ' ve stay year do . explain special package deal weekend ( extra charge ) include complimentary brunch mimosa . think , & quot ; Mom love & quot ; make reservation . get , immediately surprised small lobby compare place stay city . get room , , dissappointe small dark . bring expensive , special bottle wine share Mom weekend find order keep cold , pay $ 25 use refrigerator . keep mind , not plan consume anything refrigerator . special wine tradition never charge use refrigerator hotel . first morning , get , excited complimentary brunch mimosa headed & quot ; Sky Lounge & quot ; eat . front desk give we voucher two day . brunch ok ( definitely worth extra money pay ) . really irk though , ask semi - comatose unfriendly & quot ; waiter & quot ; mimosas , say , & quot ; uh , not serve alcohol five . & quot ; orange juice - base drink ( already pay , mind ) traditionally drink , not know , BRUNCH - the TIME BREAKFAST LUNCH . dissappointe Mom heart set extravagant drink . end go neighbor Elephant lounge order . complain front desk , absolutely nothing do . not give money back cost drink ( would four total ) . later week , contact manager credit credit card $ 50 mixup . course appreciate address complain . one bright spot concierge incredibly helpful suggest dinner . , not horrible experience not memorable one . be plan spend much time hotel room , location great . be go whole stay / eat / drink experience , money , stay somewhere else . 
