Finest 	 business traveller look trendy , chic , amazing experience hotel , W Montreal finest find . treat professionalism cordiality minute walk lobby . room spacious monstrous bathroom copious amenity . concierge always strive perfection matter need . small boite bar lobby perfect place unwind capable bartende hand Paul . everyone remember name make feel welcome . Bryan ( one manager ) exact ensure every visit perfection . drawback lackluster restaurant ( own hotel ) . choose W Montreal one favorite hotel world . 
 excellent stay extremely ` ` WOW have '' 	 decide take one night trip Montreal stay Vermont Thanksgiving fabulous stay W. upon check , upgrade Extreme WOW suite amazing . bose surround sound , espresso machine , dining table , living room , huge balcony , 20 foot glass wall , 1.5 bathroom . fabulous really appreciate upgrade . even platinum starwood member , place upgrade nice suite , nice cash point rate . prosthe location great able walk around Old Montreal see site . highly recommend Notre Dame Basillica , maybe 5 - 10 minute walk Hotel . train station also really close Montreal subway . staff really great . hotel extremely clean everyone ask help extremely accomodating . order room service dinner , arrive promptly food delicious . upgrade suite great , room not ready , give two free cocktail bar nice gesture . the restaurant superb . lunch upon arrival food service excellent . meal around $ 25 per person include appetizer . consthe internet not work first day wait room 5 pm . upgrade not mind much , might annoying wait long room actually book . workout room kind small compare non - NYC Ws , still couple elliptical treadmill small free weight area . other stay perfect definitely return hotel next trip Montreal . 
 Ultra trendy 	 chic ! trendy lot fun . drawback high price tag go ultra modern chic ! 
 Definitive ` ` cool '' hotel 	 be look place stay Montreal 's close & quot ; everything & quot ; , little different traditional hotel , . located edge old Montreal , within walk distance Place Bonaventure , gare Centrale ( train station ) , Bell Centre , rue Sherbourne , etc . decor & quot ; cool & quot ; ; think modern trip - hop european dramatic muted lighting , square edge , light sculpture . room large enough , flat screen tv dvd player , & quot ; see - through & quot ; shower ( something either enjoy ... ! ) service impeccable , bar place see , see . 
 simply Superb ! ! ! 	 person stay hotel 40 time year , able compare constrast well worst many hotel offer . W Montreal rank exceptional hotel - ? yes location ideal , close good bar , restaurant , architectural building . yes ATMOSPHERE lobby , elevator , hallway fresh modern elegance class , set right mood evening . seperate rest simply amazing thoughtfull STAFF . bartini must visit . Sou Bartini able pour sinful drink taste bud may desire , provide personal attention warmth always expect , rarely receive . sou one example make individual like continuously return W , . hence amazing personal attention , location , atmosphere , make visit W Montreal , treat sense . can not wait go back . 
 ahhhh modern luxury traveler look fun relaxation ! 	 staff W Hotel Montreal always fantastic ability remember name ensure everything perfect . kind doormen Paul Ielovcich coffee bar morning - everyone concern guest excellent stay . 
 home away home 	 frequent business traveler stay W Montreal maybe one two time per month usually day stay . find hotel centrally locate one enjoyable stop business Montreal . the room quite nice W Montreal one hotel window open allow fresh air supplement central air find sometimes stale . bed quite comfortable allow great night ' sleep . the business center tiny enclose room get quite warm . plus hotel like . fitness center convenient equipment allow good workout . the bar hotel quite good diverse afford different setting experience depend mood . bartini first level small quaint allow & quot ; Cheers & quot ; experience speak . Plateau Lounge second floor great relax , chat , maybe people watch also great spot grab drink colleague work . bright spot hotel staff . obviously travel frequently hotel allow get know various staff nothing high praise professionalism commitment service . Doorman always polite offer hand . front staff , say . feel like home . arrive long flight greet name ask trip etc . always pleasant appreciate . catherinel particular always find way make fellow business traveler stay hotel special . overall , opportunity stay business hotel Montreal find W stylish hip affording level business professionalism well compliment . hotel nice often staid . highly recommend hotel . 
 Nov 12 2009 	 favorite W Hotel ! 	 six month ago stay W Montreal first time ' ve become huge fan hotel ! ' m young professional like sexy vibe W Montreal . ' ve stay several W Hotels W Montreal always top list . staff always nice helpful , room beautiful clean , great restaurant OTTO , excellent treatment away spa ( try hot stone massage ! ) . find want go back Montreal stay hotel ! recommendation , sign Starwood account would want become loyal guest receive top notch service . thank W Montreal always make trip enjoyable ! 
 Nov 6 2009 	 Excellent always ! 	 W Montreal first W ever go year half ago addicted brand since ! staff W incredible always go top make sure happy ! hesitate use whatever / whenever service - get pretty difficult request handle we ! 
 Nov 3 2009 	 nice hotel 	 pleasant stay W Montreal . will summarize : staff : staff friendly , amazingly friendly . acknowledgement make staff walk lobby ; little disappointing . celebrate 5th anniversary have send little tray chocolate , really appreciate . otherwise , one rude . room : accessible room ( not - need ? ) ninth floor . corner room , extra space like . room staff stairwell something , hear loud door open closing lot . annoying . room nice . big king size bed , nice flat screen tv , modern bathroom . accessible room , not & quot ; voyeur & quot ; shower open bedroom like rest room ( be see shower , ask accessible room , guess ) .housekeeping : not run room attendant , room & quot ; styled & quot ; nicely every morning . one morning shower he / she come clean room . instead try another time , slip card door ask dial & quot ; 0 & quot ; ready room clean . think nice idea instead trying guess well time would be . area : W locate little way & quot ; downtown & quot ; , walk pretty much everywhere needed go . 's 10 minute walk St. Catherine street shopping eating . not mind walk , kind nice tour around . amenity : downside hotel pool . know book , still find disappointing . also , fitness centre pretty small , adequate . two treadmill , two elliptical , two bike , weight yoga ball . little tv piece cardio equipment nice find work out bore even provide earphone free incase forget . not go see business centre , hear nice . free high speed Internet , be free lobby . think 's $ 20 per 24 hour period internet , opt go lobby need internet . restaurant / Lounges : not eat outlet W. restaurant & quot ; Otto & quot ; look nice , decide go try place . & quot ; Bartini & quot ; small bar 5 stool , pretty cute . not go & quot ; Wunderbar & quot ; , seem pretty quiet Saturday night . not try lounge upstairs , either . transportation : like say , walk pretty much everywhere . go La Ronde Saturday , get take advantage complimentary Acura shuttle provide hotel . concierge say normally service area , not busy , drive we anyway . think pretty nice . drop off ( pick up ) , take metro back . quick , easy , cheap use metro , highly suggest cab use . Metro station & quot ; Square Victoria & quot ; right across street 's orange line . not sure else ' m forget , overall , nice time W. ' m sure expect , not blow away . recomme stay , though . 
 Oct 28 2009 	 W .......... Wonderful 	 stay husband 40 th birthday love it.the glass shower downtown view big screen tv awsome.the staff go way please . 
 Oct 19 2009 	 memorable ! ! 	 get marry restauant couple step away w hotel happen convinient location we , upon arrival , realize much convenient . room far nice trendy room ever see price really match budget . spic span cosy . dinner downstairs first night delicious . definitly repeat guest W. really make wedding weekent extra special experience ! ! ! 
 Oct 8 2009 	 Swank Hotel- '' interesting '' Showe 	 Overall , swank hotel cool bar scene guest immediate access too . it little bit pricey side expect W hotel . the shower surround glass look onto bedroom fine spouse buddy bachelor party trip awkward 
 Oct 8 2009 	 wow wow wow wow ! ! 	 well title review say , amazed moment find hotel , valet super helpful give couple parking option . first impression count , valet helpful , friendly welcoming . get hotel , jaw - drop funkyness , music , everything lobby make feel relaxed uncomfortable two night stay Le Meridien Montreal . I eventually head reception , amazingly helpful , genuine sincere smile . then room . hotel room like . funky , bathroom top class , ' m one guest go straight bathroom check , do not know , ! ! unfortunately check really early massive drive Halifax , do not get try breakfast , talk fellow guest bar night stay regularly , miss treat . I want return Canada soon , certainly make sure Montreal , W , schedule ! ! 
 Sep 29 2009 	 amazing Weekend amazing hotel ! 	 decide spend special weekend partner , opt go W Montreal , stay , continue hear great thing . provide breakdown stay , along honest feedback area . CHECK - inchecke little early plan , welcome pleasant worker front desk . lobby pretty frunky , young , hip , & quot ; club & quot ; feel , complete red mood light music . follow conversation early week hard working concierge Patrick , upgrade WOW suite . the roomthe room INCREDIBLE ! 20 foot ceiling whole wall window , open terrace , two - story WOW suite penthouse level hotel . great living room 2nd washroom main floor . walk stair loft bedroom great , cool feature bathroom second floor shower open living room first floor ! sexy , indeed ! bed / pillow great soft ! ROOM SERVICEWe amazing worker floor ( Penelope ) take GREAT care we ! bring we bottle champagne follow arrival , pleasant . take care arrangement set room special reception follow night , absolutely nothing worry ! arrange bottle put ice , set entire bar area we . price juice / soft drink order expensive side ( typical room service everywhere , though seem much expensive W ' ve see elsewhere ) still , convienence worry it / get set worth ! SPECIAL REQUESTSThe W pride offer whatever / whenever service , be totally true ! realize forgot iPhone charger panic phone almost dead , another friendly concierge ( Mireille ) recharge right desk . call front desk special amenity / request want room always bring we promptly yet another hard work / attractive staff member . concierge also recommend great place eat , arrange reservation record time ! WUNDERBARA year ago , Wunderbar W place . still . end club good time . good music , beautiful people ... good time around ! 
 Sep 21 2009 	 ideal spot funfille partying weekend . 	 great time stay W. happen one good & quot ; hot spot & quot ; city hang Fri . & amp ; Sat . night . its great hotel bachelor party , romantic weekend getaway . find concierge knowledgeable , well connected ( able get restaurant & amp ; club minute notice ) , friendly & amp ; beautiful . note , not low budget spot worth every dime . Dex 
 Sep 15 2009 	 great hotel one great we . 	 W Montreal great , stylish hotel wonderful location . first W surprised find wall bathroom bedroom make glass . call open concept . mean see bedroom . anyone bedroom see bathroom . bathroom . case , necessarily pretty sight . also mean go bathroom night turn light , entire bedroom get light bright day . internet access room expensive wireless free lobby mezanene . coffee room free coffee anywhere . put 2 bottle W water car leave . concierge fabulous , send we one good meal ' ve ever . 
 Sep 14 2009 	 W Weird 	 lugging suitcase step lobby , find lobby strikingly light soft , still garish red illumination , furnish retro-1950s furnishing , fill loud electro - pop sound . W Hotel clean , staff friendly efficient , location convenient downtown business district Old Port . spacious room large bath restroom , shower stall , though roomy enough six people , single , non - adjustable rain shower - style shower head ceiling place next wall . inconvenient . tile floor shower stall slippery . watch ! search unused electric outlet eventually find two behind plasma tv . small closet three small drawer clothing . door toilet room not handle , instead tiny two - finger pull . door fit snugly , & quot ; good luck & quot ; open door pull tiny door pull . tivoli clock radio superb . king - size bed comfortable , hideous faux - fur bed cover odd odor . & quot ; W & quot ; weird . 
 Sep 10 2009 	 great location . pleasant stay . 	 hotel great location . stay midweek not find hotel loud crazy review state . ' m sure may busier upcoming holiday weekend . the Lobby tastefully do . meet room pleasant . guest room clean comfortable . room face Victoria Square nice . room may & quot ; interior & quot ; view ' m sure whether room nice . service good . fourth W Hotel ' ve stay would say be pretty consistent term staff , service , room , amenity , etc . 
 Sep 8 2009 	 one Best W Hotel World . Good Location Friendly Service ! 	 title suggest , satisfied stay property . arrive sell - out weekend ( common property ) , moment step , instantly & quot ; in - Love & quot ; hotel . check inThere 2 clerk bit line bad . signature W drink , Apples , cheesecake bite enjoy certain time day . locate side Welcome Desk . Room / SuiteI receive Fantastic Suite . property Extreme wow , wow , Fantastic Suite ( junior suite ) , mega room ( 2 Queen Beds ) , wonderful room . fantastic Suite nice . junior suite swivel tv living room bedroom area . large chiase sofa working desk living room portion . love bedside table . laminate blue color ( see picture ) . ask concierge many blue color room . tell blue official color MOntreal hotel use alot blue decorate . bathroom big open plan bathroom ( see - through shower ) . curtain divide living room bathroom area know issue family . however , issue . bed clean sheet / lien perfect condition . PoolNo Pool propertySpa / Fitness CenterLocated basement level . & quot ; Away Spa & quot ; locate SS1 Floor offer massage n facial service ( steam room / jacuzzi kind ) , due limitation spa facility size , Bliss spa facility . Gym ( sweat ) locate level . two elevator hotel one go gym either take elevator ( right ) u go via spa entrance . gym equip modern gym facility well - keep clean . Staff / ValetThe valet staff excellent . staff friendly seem like enjoy job . issue aerobus driver forgot pick . really helpful try contact offer alternative solution airport . LocationLocated right across street metro station ( Victoria Square ) . easy access everywhere downtown Montreal . easy 10 - 15mins walk old town Montreal . 10 min walk shopping area Montreal . Montreal SAFE walk night ( solo traveler could not feel safe ) .OverallThis get BEST hotel Montreal ( young generation ) run business people meeting , family . LOVED hotel ! hotel 's occupancy rate tell much people love place . want wonderful getaway , place ! * * * add Concierge Daniel good concierge meet far . knowledgeable , professional yet humerus . believe staff /service big factor make hotel & quot ; good & quot ; . thank good management staff property , pleased would definitely recommend property friend . 
 Sep 8 2009 	 Awesome guy weekend 	 fantastic weekend Extreme wow suite ! 's perfect hang - out - another small room 3 people sleep - 3 sleep quite comfortably . be kitte great technology - 2 plasma in - room control blind . balcony great size single family / friend find quite impressive bring friend back : ) highly recommend overall ! great dinner OTTO . 
 Sep 1 2009 	 Watch rip currency conversion great hotel otherwise 	 want hotel room , 7 - 11 . room fill sale food , beverage , even cd . even 4 bottle hard liquor half bottle wine . not want stay convenience store . make remove everything . also , pay point dollar . convert US room rate quote basically par candadian dollar -- rip . & quot ; hotel conversion rate , bank rate , applie , & quot ; -- insult rip Starwood try get away with . despite ( major ) annoyance , w experience great . room outstanding , lofy style . bathroom tub trip . first experience W Group will not last . top notch . staff incredible well . 
 Aug 26 2009 	 filthy unsanitary rip - off repeatedly trash partier 	 overall : even free night free breakfast , still rip - off . nevertheless , can not deny great location staff ( give credit city people montreal starwood hotel group ) .pros:1 . location - walk dist ste . catherine vieux montreal2 , transportation - entrance metro hotel basement , bixi rack across street , easy hail cabs3 . view sq . victoria ( room great ) 4 . trendy decor spacious open concept design ( contiguous bedroom / bathroom space ) 5 . staff friendly helpful6 . lounge - great meeting place head friendscon ( base experience two different room ) :1 . cleanliness - hotel obviously 20/30 - something like party , fine long cleaning crew job well . not , be apparent pubic hair leave bathroom floor , grime leave toilet seat shower wall , general mustiness air linens.2 . cheap , wear furniture appliance - appear w hotel adopt ikea strategy use cheap stylish furniture look nice new crappy substantial usage . hotel obviously get heavy usage young people ( ikea furniture home ) 's evident scratch , dent , ding furniture ( bent curtain rod , tear chair , scratch bed frame , dry - liquid splash mark various furniture ) . additionally , amenity low quality ( hair dryer towel ) a / c not function well enough pull moisture air ( necessary open concept design ) generally feel humid rooms.3 . bad smell - hallway occasionally smell like vomit4 . otto restaurant - unimpressive food . not settle culinary mediocrity city like ! 5 . wunderbar - city like montreal , nightlife abound , prefer hotel place retire comfortably long day night . popular bar hotel make convenient party ( bring hook - up back room ) , make difficult rest weekend . 
 Aug 24 2009 	 Loved W experience - comfort style 	 use live Montreal - go back , want live style ! time around , come business client , definitely want impress . stay W Hotel 1 night ... certainly enough . hotel amazing ! go dinner neighbourhood ( Le Local - way also amazing ) , come back hotel take advantage space . be definitely hot spot , want spend time ... be good ambiance lounge , 's time bed , be full comfort luxury ! feel spoil . 
 Aug 22 2009 	 WWWWW - WOW ! AWESOME STAY 	 check Saturday afternoon Platinum 2 free weekend night offer . room not ready 3:30 Olga front desk offer free WIFI entire stay $ 40 worth free drink bar 1 hour wait . awesome way start ! upgrade wow Suite . two story room bedroom glass shower open first floor . sexy , awesome room . this place rock ! 
 Aug 12 2009 	 Fantastic Room absolutely ` ` Fantastic '' 	 get back Montreal friend . manager , Francois Patulli accomodate . do not stay near club music till 3 am . room beautiful huge window huge sill nice view . clean . lobby chic upscale , dark .... W & quot ; LOOK & quot ; . recommend . love beautiful hotel . make trip much well . 
 Aug 11 2009 	 DUB 	 stay W 2 night town ACDC concertpricevery expensive … find Montreal middle ground . either pay lot nice room go bargain hunting end hate stay . locationi ' hear people complain location hotel . first , ' montreal one beautiful city Canada ; walk around bit . second , Montreal one good Subway system Canada elevator hotel take right metro station ( floor fitness centre SS2 ) . Google map get ever need go switch walk , drive public transit . roomvery clean modern comfortable . " Cozy " room 6th floor . ' room ' want share someone ' really close , shower glass viewable bedroom ( see photo ) Bed really really comfortablebathroom large , modern clean . shower hugeroom SizeVery small . ' spend lot time room ' bother we much . internet $ 19 day ? ? ? insane . take laptop lobby instead free wirelessfood ' eat hotelstaff find staff great . clear hotel strive friendly staff eager help . Noise find room quiet sleep well . although read one review could see 3rd floor could loud club beneath . weekend club loud lobby luckily noise ' make 6th floor . overall great stay , high price . 
 Jul 29 2009 	 Cozy Dark Relaxing 	 Montréal 2 day prior check W. first , slip entrance way unnoticed . soon valet do parking car , make sure rush apologise greet we upon entry . give we brief run hotel & quot ; W Experience & quot ; extremely helpful . finish talk , head check - in desk locate immediate left . arrive 3 hour prior check - in time , seem problem . front desk agent neither outstanding terrible , manage politely smile throughout process . the good thing w room . design modern ; yet still intimate cozy . & quot ; Wonderful & quot ; room face office tower . issue since usually keep curtain whilst hotel . room also sparsely light . blare overhead light . even light room , definitely much dark hotel . plus , other may find aversion . the bathroom nice hotel bathroom . housekeep great job since everything immaculate . room bath , shower large enough 4 . little warning : room seem see shower ; sure be comfortable whoever stay . w situate right top ( connect ) Square Victoria Metro station . access waterfront , old Montréal , St. Catherine street quite easy . parking quite pricey , would recommend parking elsewhere ; use metro get around . one thing note look hotel nice view , would suggest look elsewhere . state early , half room face atrium office ; hotel 10 story tall . however , luxurious room , may forget outside world altogether . 
 Jul 21 2009 	 sleeping cloud 	 still think ... think might even buy pillow ... night sleep away man dog swear not even notice hahaha ( sorry boy ! ) pillow comfortable feel like sleep cloud , fluffy ! love Ws ... stay couple seriously , be way go ! want good hotel , find nearest W .... can not find one , change trip hahahaha 
 Jul 21 2009 	 Perfect weekend getaway ! 	 recently spend weekend wife W Hotel Montreal , couple thing would like know be plan stay : - excellent location- excellent service ( concierge service go extra mile get us table one Montreal 's busy restaurant ) - modern yet luxurious spacious roomand top , - fast room service delicious breakfast hotel 's restaurant : ) 
 Jul 21 2009 	 one night real experience . 	 come pass evening w. pleasure . 1st : sweet happy hour terrasse ( magnificient view montreal 's downtown ) 2nd : perfect area find good restaurant Old montreal3rd : hype different bar inside hotel , jet - set good look people ; - ) 4th : sweet dream int design room5th : prefer moment morning : rain shower perfect brunch ... Hotel W Montreal : thank much experience ! 
 Jul 16 2009 	 favorite Montreal hotel ! 	 ' ve stay W since open year ago , say love ! 's location convenient , block old Montreal , St Catherine st . room cool , spacious . althought staff attractive ( like many boutique hotel ) , still friendly helpful . also couple bar seem popular , be sort thing be great . one complaint ( find general W 's ) , be gym kind lame close outside option kind far . otherwise love hotel ! 
 Jul 5 2009 	 grossly overrate expensive 	 Staff like cast call Matrix . beautiful . incredibly overpriced . great pick spot . food serve cold long wait . I keep wonder & quot ; & quot ; 
 Jul 4 2009 	 Bien ! 	 Montreal , town ! happy stay hotel . great location . 
 Jun 18 2009 	 da club 	 word wise ... stay 3rd floor hotel , especially Wednesday night consider & quot ; W & quot ; night Montreal . find hard way find room directly nightclub thump 3 night . might add also nice see one club patron piss bush across street ( say small pecker ) ? not see wave hello . so expense account pay room 6th floor wretche litle & quot ; window & quot ; look office building ' m still thirsty $ 6 bottle water . say not judge book cover . 
 Jun 18 2009 	 Montreal ... W hotel place ! 	 could stay W Hotel FOREVER ! design , music , ambience every last detail W well think perfectly execute . an instant relaxed feeling ! ! LOVED ! ! ! ! ! 
 Jun 16 2009 	 Ahhhhhhhh ! 	 great place relax genormous tub , terrific concierge service send right restaurant , site & amp ; hood . perfect blend happen night spot place chill roll one ! ! 
 Jun 14 2009 	 W 's bad 	 5th 6th W stayed .. usually pick low rate .. usually book 50 - 60 room night . take W competitive list hope management read . w brand people 20 know hotel suppose mean gouge every penny every guest .. slogan WHATEVER whenever well translate WHATEVER W want whenever W want .. omelet $ 18 extra $ 3 charge spinach omelet ! $ 9 coffee ! plus tip plus another silly room service charge ! attitude W staff always great : authority think beyond end nose . 30 , unlimited expense account wish get silly drunk , lose hear blast acid rock stumble around light hallway room , place . other stay away . many well charming exciting place Montreal . 
 Jun 9 2009 	 nice hotel 	 great place stay . cool invite room . lobby particular luxurious classy . staff great helpful . 
