awesome 	 hotel staff fantastic , location slap bang middle times square absolute awesome 
 Job 	 stay two night past weekend Renaisance Times Square . NYC dozen time past 10 year , however stay Times Square hotel . certainly faint heart . would recommend location anyone except enjoy pushy , loud , touristy crowd child . part city location convenient , not deal people inexperienced city walking sidewalk etiquette . say , hotel nicely modernize renovated boutique hotel . lobby good size update furnishing . guestroom high floor nice view TKTS booth . like king bed settee seating . love bathroom , expecially sink shower . negative thing room quite musty smell , almost like mildew . eat breakfast restaurant one morning . completely overpriced ! ! ! $ 60 total two people egg bacon . eat breakfast another morning block away half cost . staff great ! Oscar check super nice ! , never interact anyone else , fine we .... would recommend famile travel child , not mind crowd mayhem . 
 Sep 25 2009 	 New York City- Home good service manner civility . huh ? ! 	 go New York City Labour Day weekend celebrate 20th anniversary . expect great dining experience every price level . know would fantastic shopping venue . expect excellent theatre Broadway . know city never sleep . brace New York 's fabled rudeness , aloof , downright surly service & quot ; not time & quot ; attitude . man , shocked . get dining , shopping , theatre amazing pace excede already high expectation . get , spade , expect great hotel decent price prime location . excellent service every turn ( smile ) . helpful advice assistance everyone encounter include hotel staff , restaurant staff , shop keeper , passersby police street . New York may friendliest damn city ever . heck go ? almost feel cheat & quot ; rude & quot ; . hear , & quot ; hey , ' m walkin ' ! & quot ; even . Kudos Renaissance Times Sqaure helping make stay wonderful . thank also River Cafe Brooklyn good steak good view restaurant long time . thank New York sorry ever think rude.-an enlightede humble canadian . 
 Sep 16 2009 	 reniassance rock ! 	 previous wonderful comment & quot ; boutique & quot ; hotel right spot . love everything it- perect service , location broadway , extremely comfortable bed , cool decor quiet inside ! staff rock . call we name start every time see we always rise need ! thank , especially TJ Emanuel ! 
 Sep 7 2009 	 Surprised 	 Excellent , one good hotel stay nyc.check , clerk friendly quick , receive room type request . the room , large , clean , comfortable , everything would expect 4 star hotel . location course fantastic , visit great city world stay center Times Square . 
 Sep 2 2009 	 great hotel POOR meeting service 	 Excellent hotel great location . room / facility great . hold meeting surprised see huge bogus charge cc month later . hotel send bogus receipt never see . sign sheet figure come close hotel 's figure . would advise provide cc detail hotel process number without warrant warning . 
 Aug 20 2009 	 Great Location wonderful stay 	 visit NYC two son age 7 & amp ; 9 , Renaissance great location affordable solution spur moment trip . really happy hotel , not big modern feeling . room little small , perfectly fine . linen nice comparable Renaissance hotel ' ve stay . bellman staff nice , arrive 8:30am thinking would store bag later day would able check - in . luckily room available , allow we check early - nice travel hour already ! slight criticsm concierge always seem extremely busy , wish could two desk quickly serve people , slight quibble , mean reason would not return hotel . think price , great hotel . close everything , Broadway theater , Rockefeller Center , Restaurant Row , central Subway line . would suggest hotel friend . 
 Aug 17 2009 	 great place stay 	 never stay New York . live long island go see play stay night . great time . 
 Aug 10 2009 	 Modern hotel heart action 	 pleasure stay Renaissance Times Square Hotel three day recent vacation New York City . although first little hesitant book hotel ( fear large crowd outside hotel entrance , difficulty park car , noise , etc ) extremely pleased stay would strongly recommend hotel other wish right middle action . x literally mark spot hotel locate right middle Broadway 7th Avenue ( two street cross x formation ) right middle Times Square . decorator use X location source inspiration carry theme throughout hotel adorn x - like sculpture , chair , railing accent . hotel décor extremely modern/ futuristic yet classy definitely something find hotel nyc.the location view Times Square second none . despite know New York like back hand , could help amazed hotel view . main restaurant offer truly priceless view Times Square give bird ' eye view well feel right middle action without hustle bustle crowd outside . food restaurant also good . lunch dinner " blue " selection special day offer excellent quality modest price , would highly recommend try either lunch dinner soak view . stay various hotel city , impressed size amenity hotel room . double bed hotel room book spacious large room Marriott Marquis Residence Inn Times Square . although four room , feel though lack space , even though lot luggage . room tastefully appoint offer work desk , read chair side table , two double bed , large armoire , flat screen television , mini bar well close view neon sign adorn Times Square . washroom bright , clean equipped speaker connect television hear television showering . washroom also complimentary Aveda soap cream great order relax end day . the hotel also efficient unload car parking vehicle . pull front hotel porter take care everything . parking extremely expensive New York City average going rate 24 hour period without privilege $ 65 suv public parking lot . hotel offer valet parking $ 51 suv park car make breeze check less expensive look parking . the concierge lounge quite small offer Gold Platinum Marriot Reward Members . open breakfast offer limited selection usual breakfast staple : scramble egg , toast , yogurt , muffin , juice coffee . the staff restaurant concierge louge extremley polite efficient . hotel keep immaculately clean even see hotel employee touch paint stay order keep everything tip top shape . in conclusion , would highly recommend hotel anyone look right heart action visit New York City first time . great hotel couple , single family teenage child look modern hotel set apart conventional hotel chain . hotel budget one would recommend book discount site Marriott ' site promotional rate available . enjoy ! 
 Aug 9 2009 	 Superb all - rounder ! ! 	 first impression great soon step taxi . hotel right centre Times Square lot people around ! however trouble sleep night noise hear , probably stay 25th floor - very high ! room good size , large king bed clean linen everyday . good choice channel available free TV . easy - to - use digital safe hide away one drawer . bathroom amazing large shower glass door , magnifying mirror ( lady like spend time make - up like ! ) speaker hear tv . Shampoo , shower gel , towel replace everyday . look appear photo 's see website . Concierge & quot ; Eric & quot ; & quot ; Divina & quot ; pleasant helpful especially help miss suitcase contact airport airline I . my boyfriend meal & quot ; two Times & quot ; restaurant within hotel , locate 3rd floor excellent view Times Square importantly food good standard shrimp cocktail crabcake delicious ! ! would definately stay next visit New York would recommend . 
 Jul 31 2009 	 room despite confirm reservation 	 deny room despite confirm reservation ( confirmation number : 85534207 ) check - in : Tuesday , July 21 , 2009 , officiate lade rude offer alternative accomodation Guest House 22 room , look like devise clever way make fool customer , beware hotel could deny room despite confirm reservation offer US $ 100 room , bully accept . strictly AVOID hotel 
 Jul 29 2009 	 arrogant staff horrible experience never book Marriot life 	 confirm reservation 21st July 2009 , shocked know go checkin 5:00 pm hotel book , never courtesy inform early ! ! ! , make wait 20 minute without explanation thereafter rude lady ( reception ) offer accomade gust house 15 room . indeed great business plan Marriott first overbook shift guest house cost US $ 100 , upon refusal rude helpful . request refund turn tell fee US $ 300 would applicable fault ! ! ! . . surprisingly ask we find accomodation could find accomodation . great problem transfer Hotel Hemsley , entire evening ruin . would receomme never stay Hotel , 
 Jul 23 2009 	 Great locaton 	 excellent place spend day New York . room large New York hotel staff seem friendly . it locate heart theatre land day walk major attraction problem . 
 Jul 23 2009 	 Perfect Location 	 weekend NYC choose Renaissance great value good location . right heart Times Square . staff check - in concierge fantastic could not enough help . cool funky bar spacious room ( mine overlook Times Sq ) comfy bed . 
 Jul 17 2009 	 wonderful location 	 location awesome , bed soooooo comfortable , thoroughly enjoy stay buy 7 day metro pass get see awful lot Harlem sign Michael Jackson tribute wall next Appolo theatre Coney Island sample Nathans hot dog , Greenwich Village market worth visit Saturdays Canal Street Chinatown Sunday handbag , watch dvds , exciting city . 
 Jul 13 2009 	 Awesome location service ! 	 well locate hotel ! right Time Square , quiet clean . receive good service food delicious . pretty pricey though . 
 Jul 12 2009 	 Amazing Times Square Location ! 	 say ' ve always loathe stay hotel arrive Renaissance , Times Square , 4th July ( holiday weekend ) around 3.20 pm ( good half hour official check - in time ) receive warm greeting doorman , lobby reception staff . able check immediately really pleased room requirement meet ( two interconnect room , one king bed , one two double bed ) . super fast elevator ( several wait around ) take we room 8th floor , wonderful view Times Square . substantial tint double glaze heavy ' black ' drape mean neon invasion little road noise - think hear two ambulance siren whole 5 night stay sleep interrupt despite countryside dweller ! room spacious , clean comfortable . bed linen towel change daily complimentary drink , soap , shampoo , etc . , replace necessary . room fully adjustable air conditioning welcome relief high temperature outside . battery room safe need replace stay do within minute ring reception , nothing much trouble . last day , check - out , able leave luggage hotel 's lobby service ( free charge ) allow we plenty time lunch extra shopping leave airport , doorman arrange cab take we JFK ! choose stay Renaissance smoke free policy , location Times Square , size ( 305 room much small hotel immediate area ) - disappointed . not get round eat hotel breakfast not include tariff although available extra , lunch dinner ( plenty place eat breakfast , lunch dinner Times Square ) . rate per room per night : $ 259 first night , $ 239 remain four night plus taxis . stay dream start finish worthy high recommendation . 
 Jul 7 2009 	 great location ! 	 location perfect - 19th floor , ask high floor check - in . face Hershey 's store great view . staff pretty good - use free internet daily - sign keyboard concierge . complaint flat pillow low - pressure shower ( trust , will need walk around day ! ) . not eat hotel bar can not comment would def go back rate get ( $ 130USD per night ) . could hear honk siren room not bad . 
 Jun 9 2009 	 fantastic central hotel 	 partner , Jane go New York Feb year stay fantastic Renaissance Hotel situate Times Square . New York always stay hotel central Times Square . hotel location absolutely brilliant . walk front door BANG right middle action , recommend enough . staff friendly , hotel room clean well maintain despite central location outside noise minimum . my tiny downside fact enter hotel small lobby , get lift take first floor get lift , cross another lobby get different lift get room , however say make rest hotel . I would not hesitate recommend anyone , looking centrally locate reasonably price New York hotel go . 
 Jun 8 2009 	 great view Macy 's Thanksgiving Day Parade ! 	 highly recommend stay Renaissance Hotel Times Square be look watch Macy 's Thanksgiving Day Parade comfort hotel room , even watch ball drop New Years Eve . first discover idea get hotel room watch event come across article parade route change hotel watch : http : //www.nytix.com / Hotels / article / thanksgiving.htmlhopefully help someone else look enjoy parade well ! 
 May 29 2009 	 Decent hotel great location 	 clean , modern hotel amenity would expect level . good feature definitely fantastic central location . however , friendly , helpful staff mention previous review must weekend ; one receptionist positively surly . 
 May 24 2009 	 New Yorkers Perspective 	 NY stay 2 night friend get away quick weekend . Manhattan hotel locate heart Times Square perfect . ecpecte lots noise night car hear one beep . room clean everything work . location get around perfect tourist . would highly recommend stay location convience . 
 May 23 2009 	 pretty good choice midtown 	 stay Renaissance 6 night . overall good experience -- staff friendly , room clean , good view 7th avenue . location great central hub Manhattan ( 49th 50th st . subway station close ) , Times Square feel without wade tourist cattle . I misconception hotel visit , think would share future visitor ' benefit . firstly , guest room hotel view Times Square . close corner room look 7th ave toward Times Square . however , say actually hotel share wall sign ads mark end Times Square . example , opposite side room 's bathroom mirror huge Samsung ad . , tall narrow tower ad see picture Times Square -- one actually Renaissance Hotel . the second misconception actual size interior hotel . stay Renaissance property , expect lobby / lounge area little large . actually tiny lobby check - in , take elevator rest lobby , really long hallway . take different elevator room . 's obviously result real estate tiny triangular footprint fit , be look wow friend client lobby / lounge , may want look Marquis ( much impressive atrium rotate lounge ) .The thing really bug restaurant , accurately , hotel staff 's constant recommendation . ask different employee stay recommendation good place eat nearby . without fail , concierge doorman bell staff housekeeper -- spit name hotel restaurant . became especially funny ask ( around 2 am ) name good place grab snack -- still first recommend two Times Square ( restaurant ) , stop realize restaurant close hour ago . reject recommendation , offer halfhearte alternative . know be probably instruct , be peddle company line , come concierge can not even give & quot ; real & quot ; answer there . we actually eat stay , will provide thought . well , restaurant part hotel offer direct , unobstructed view Times Square . view amazing . restaurant also serve rather uninspired fare ridiculous price . must experience view , pass dinner come early breakfast . cheap generally less crowd ( weekday ) . turn away price dinner , decide return next morning breakfast strongly urge make reservation breakfast . pass , come early next morning near - empty restaurant . breakfast pricey , $ 30 + person , so - so food high price much easy swallow restaurant seat good table house . overall good hotel midtown base . would place squarely Doubletree Marriott Marquis far hotel impressiveness factor . 
 May 17 2009 	 terrific Location Good Value 	 Qualifying & quot ; Senior Rate & quot ; $ 203 per night , Renaissance Times Square unbeatable value . course , rate go available big convention town hotel full , even though convention hotel . may great time visit Big Apple - yet hot cold . like Marriott Hotels , 100 % nonsmoking . room entire hotel redone 2007 room carpet , wallpaper , furniture , bathroom perfect condition . eighth floor could hear low level noise outside . airconditione system effective bed comfortable . one room shower separate tub , tub - shower plenty hot water sufficient water pressure . course refrigerator one register charge item move , useful store food . despite complaint other thin towel , find nice . for remember deluxe breakfast buffet year past ( expensive worth ) - go . breakfast ala carte expensive - egg , toast , juice , coffee $ 30 per person , run McDonalds directly across street ( two door Doubltree Guest Suites ) affordable breakfast . try restaurant meal . plus : outstanding value ; 15 minute less walk every Broadway theatre ; airconditione work ; comfortable bed ; clean pleasant room ; small enough hotel staff elevator usually overwhelmed . walk distance moma , Fifth Avenue , Design Museum Columbus Circle . Times Square full place eat get food & amp ; drink bring back . minus : buffet breakfast ; room typical New York - tiny large ; lack drawer ( one drawer dresser - tv cabinet ) take safe ; strange set - up business center - concierge provide computer keyboard concierge tend disappear desk frequently busy guest free print business center . check - in desk move entrance area lobby one flight - improvement - manager on - duty keep eye concierge restaurant lounge . designer decide take mirror elevator replace dark wood make somewhat invisible - light signal elevator come hard see one arrive since inside dark door dark . 
 May 16 2009 	 Great Hotel ! 	 hotel fantastic ! sorry room one night . room probably big room ' ve ever Manhattan hotel . location perfect want middle NYC action , hotel right north tip Times Square . be theatre fan , TKTS booth literally right across street . be within walking distance Central Park several subway option . be look great restaurant , go 1 block west 2 block restaurant row 46 St 8 9 avenue . favourite Le Rivage . good pizza find Patzeria 46 Street west Broadway . 's tiny hole wall , takeout place , loyal following among theatre crowd . if anything criticize , 's fact still hear street noise 14th floor room . consider be Times Square , be surprising . 
 May 6 2009 	 Super price fantastic location great room 	 Booked hotel GBP £ 70 per night ( ! ! ! ) ask chap reception high room , get 22nd floor . room funky , huge walk - in shower ( bath ) . large bed , big tv , great window fantastic view . strangely reception ground floor , lobby first floor , 2 use 2 lift get room . want GORGEOUS view Times Square , pop restaurant next lobby , sip cocktail look famous x road . not food , door man good help . come front door turn leave , walk one block , great cafe super - fresh bagel etc . leave . walk nearby attraction easy , half joy . Times Square little rowdy late night , always safe sheer number cop . 
 May 4 2009 	 great location attentive staff 	 book double room high floor . nice room comfortable bedding . soundproof fantastic . ' hear noise . bathroom fine . light little cold . attentive staff perfect location 
 Apr 23 2009 	 Better Marriott Marquis 	 stay last year Marriott Marquis ( mixed experience ) , well option prefer small boutique style hotel experience large anonymous Marquis . Bedrooms contempary style bathroom little small size , great shower even though bath person . corner room ( end 17 ) large kingsize room back onto elevator . get view Hudson building Broadway . would comment seem insufficient chambermaid seem work , find dust room arrival tv stand . come back sightseeing day fnd room not clean 3 pm . otherwise pleasant 4 night stay . there executive lounge hotel , get voucher snack main lounge menu . breakfast area require key access staff lovely bunch guy always hand help cheerful smile . concierge staff professional helpful . one word caution travel evening flight back UK , late checkout 2 pm even hold rewards platinum card . the great thing hotel location . Metro bus subway stop within step hotel entrance block , get around town easy . okay Time Square crowd bite manic especially go one show finish that s charm New York . my thanks lady meet Washington tip try serendipity . great menu , good food amazing dessert , even though long wait . 
 Apr 22 2009 	 middle everything ! 	 want stay action . get subway first day little trouble find Renaissance advise choose stay , ask direction & amp ; store hotel right . would stay Renaissance . room clean , comfortable decent size ( huge price great ) . spend little time room family four comfortable cozy . 
 Apr 18 2009 	 fabulous location helpful concierge expensive breakfast 	 stay hotel three teenage daughter five - day sightseeing trip New York . location fabulous Times Square right doorstep along theatre , Rockefeller Center nearby lot shopping close . it big hotel say tin , although breakfast astonishingly expensive . end go around corner Evergreens ( 47th Street ) brunch every day . the concierge hotel constant demand guest helpful every time need help - book restaurant trip plan trip subway . view room also good - either 7th Avenue Broadway . overall enjoy hotel , think expensive although great location 
 Apr 13 2009 	 Perfect Location ! 	 first time travel NYC pick perfect hotel . first location perfect , right center Times Square , could pick well location . walk everywhere , walk Rockefeller , Grand Central Station , Central Park , Hell 's Kitchen , 5th Avenue . actual hotel beautiful , hear get remodel tell , lobby gorgeous room incredible . would think center Times Square might get noisy , not , shut blind not hear thing night . staff accomodate conceirge help make sure see everything want , wonderful . thing would advise order anything bar lobby , way overprice , grant NYC , find cheap drink around town . pay $ 6 espresso tip , ridiculous considering go starbuck get one $ 2 . highly recommend stay definitely come back Renaissance next time NYC . 
 Apr 13 2009 	 exemplary hotel touch real class 	 hotel amazing make outstanding stay family . hotel immaculate newly refurbish . staff pride upon customer service everything make stay extraordinary . room spacious exceptionally quiet - pretty awesome give time square . the restaurant breathtaking view time square room . whilst afford top eat cheaply make priority least one meal experience . I feel privelege lucky enough stay hotel back . 
 Apr 11 2009 	 Awesome hotel ! 	 NYC number time . far good hotel experience ever NYC . Renaissance chic polished . staff extremely professional , can not say enough room . room beautiful comfortable , find want leave . also amazed quiet hotel well insulate wall window noise Times Square . partner go cheap room Crowne Plaza around corner work wa not go pay room Renaissance Satuday night . regret leave Renaissance would gladly pay extra $ 40 enjoy ambiance quieteness Renaissance . overall excellent hotel experience ! 
 Apr 11 2009 	 Quiet 	 stay 3 night . hotel right middle Times Square extremely peaceful quiet . opening room door , meet space ! huge bed - comfortable ever sleep . fact , want put case take home ! great plasma screen tv watch lounge chaise -lounge . the massive shower everything need - load towel toiletry re - stocked daily . room large clean . downstair lobby area even booth print boarding card - useful . upstairs lobby free internet available . consierge helpful knowledgeable . doormen friendly fun . good bit watch folk scurriyng around Times Square , get fantastic view windows - look Hershey 's Chocolate shop open air bus tour . definately return . love ! 
 Mar 29 2009 	 Great Hotel ! 	 stay hotel 5 night . Contemporary . heart Times Square . little noisy , Times Square , sound like NY ! nice . definitely recommend . 
 Mar 28 2009 	 Perfect Hotel 	 sorry stay . spend weekend girlfriend extremely happy . hotel , nice extremely clean . 's little strange set , enter small first floor lobby check . girl check desk extremely friendly , mean rude . chatty never offer hello welcome type , rude . bellhop friendly , greate us car offer take bag . everytime enter lobby whether a.m p.m. , bellhop always greate we good morning / good afternoon . finish small first floor lobby , 2 elevator take upstairs lobby . conceige , 2 restaurant bar waiting area area . 3 fast elevator take room . room spacious NYC clean . bed wonderful . bathroom also nice . recommend hotel anyone go NYC . great location . 
 Mar 27 2009 	 Perfect Location 	 stay hotel 28th Nov - 3rd Dec husband delight . location perfect walk distance practically everything . subway catch visit statute liberty . staff friendly , helpful always cheerful - exactly expect American ' , room hotel extremely clean , bed exceptionally comfortable especially sleep 36 hour due travel last least view restaurant absolutely awesome . arrive hotel put twin room double available quick chat arrange we move follow morning whilst sightsee everything arrange we return show new room suitcase already therethe downfall price drink bar - £ 10 , £ $ , 1 x glass white wine think quite excessive decide many drink stay . much cheap drink either across road sport bar / irish bar etc even cheap still 750ml corona bottle local shop @ $ 4 each . we love New York much definitely go back definitely stay hotel . enjoy ! 
 Mar 2 2009 	 amazing stuff 	 nothing bad say hotel . I go 2 nut case , not like hotel sleep 2 queen size bed . so give hard time this . I talk stuff matter everyone kind understand situation , take care make sure good time . other room big clean great view times square . it be stylish well plus location .The subway around corner , cab easy get ! 
 Feb 10 2009 	 Birthday trip 	 choose hotel partly recommendation Trip Advisor review expect get . pick yellow taxi JFK hotel ( $ 45 flat rate 2 plus $ 5 toll ) , however two yellow taxi driver hear maybe could good print map mark 's location taxi driver see . lift take street level ground floor reception desk locate alternative step slightly annoying . baggage room also locate opposite lift street level . concierge friendly humorous check - in go smoothly . check tv room wish . clientel appear mostly smart New York business people rather tourist , mix could possibly change get high season . two internet pc reception area free use . ask reception desk wireless keyboard mouse . room high quality photo show . confirm niggle another reviewer find single - ply toilet tissue ! free PIN operate safe room locate drawer , useful passport , ticket , money etcinternet access charge per day use room . Maid service every day complimentary copy New York Times leave outside room weekday . breakfast room fantastic view Times Square , however eat quite expensive . couple minor issue room report reception within minute somebody knock room ready fix . good service . hotel heart city great location explore sight city offer . subway station ( 49th St ) close front door plus bus stop right outside door . also often find yellow taxi park outside well . Seventh Avenue one way street direction Times Square . detract hotel 's quality , hindsight might downgrade 3 * hotel not really need quality much . summary quality professionally run 4 * hotel great location . 
 Jan 22 2009 	 great stay Great positioning 	 arrive really expect . arrive JFK drive straight heart newyork . stay perfect . ask concierge info NYC . helpful give we 50 % broadway ticket . 's perfect way get cold . 
 Jan 13 2009 	 Reviews accurate- 	 stay attend AMA course AMA Center locate Broadway . perfect location anything Times Square . room nicely appoint , large walk shower instead traditional tub / shower . good use space . internet $ 16.95 per day , include unlimited phone call . phone call not value people cell phone . Room overlook & amp ; store . like hotel Times Square , light shine curtain night . noise outside . service outstanding . example , blow dryer remote die first day - within minute , replacement provide . restaurant pleasant surprise . excellent , attentive service food great . view Times Square priceless . even not eat , stop drink enjoy view . recommendation improvement : 1 . high quality toilet paper ( 1 - ply acceptable grade hotel ) , 2 . high quality towel ( thin soft ) , 3 . clean well corner room furniture 4 . offer free internet access ( even courtyard marriott offer benefit ) . overall , would recommend hotel . good price via Marriott website . 
 Jan 13 2009 	 impressed . 	 brilliant location , helpfull friendly staff good value money round . I stay Jumeirah Essex last time New York want something little central time . book Renaissance Time Square sit middle Time Square . find price reasonable . room quite large , king size bed clean comfortable . staff also helpfull . 
 Jan 12 2009 	 Fantastic New York - Absolute Buzz 	 family four spend 4 fantastic night Renaissance Hotel early December , 2008.after martathon 25 hour trip Australia , relieve finally arrive New York find Renaissance Hotel meet expectation read review Trip Advisor . the room excellent - modern , clean well appoint . for first timer New York - location perfect - 20 - 30 metre light , buzz spectacle Times Square - right middle action good central base highlight Manhattan . the service hotel notable 's friendliness , helpfulness efficiency . Special mention housekeeping tremendous - really appreciate welcome basket fruit , cheese water one night two . the doorman welcome friendly always treat sincere smile welcome come go . a neat trick hotel entrance warm downlight encourage two NYPDs fine stand entrance warmth away winter chill - good way assure guest extra bit security - need location pretty safe anyway . 
 Jan 5 2009 	 convenient 	 , convenient theater , perfect location see three show 4 day . staff friendly room spacious comparison NYC room . even though center Times Square activity , noisy sleep . 
 Dec 16 2008 	 Perfect ! 	 choose hotel base location price perfect ! right middle theater district pretty central everything else well . huge advantage we able locate & amp ; sign know hotel right ! foot traffic front lobby minimal . check smooth - all request meet exceed ! room nicely furnish , bed amazing bathroom nicely lay . Maid service excellent entire stay . staff member encounter friendly helpful . restaurant quite good well worth $ $ able enjoy view . want stay Times Square - this perfect hotel - neither busy big- still center ! 
 Dec 16 2008 	 amazing staff .... 	 want say thank , thank , thank behalf 2 girlfriend . stay Renaissance November girl weekend shopping , show , martini 's hotel perfect location fantastic room great restaurant ( eat multiple time ! ) hotel staff ' rescue ' we end trip . after arrive airport 90min prior international flight , realize three we leave passport hotel room safe ! ! immediately call hotel amazing concierge jump cab passports RUSHED airport time catch flight . be really amazing part .... charge we cent ( $ 75 cab ride way ) lady front desk call we several time make sure ok , calm we , make sure get home safely ( time ! ! ) .now 's call service . and say New Yorkers not friendly ? beg disagree : ) thank Renaissance . 
 Dec 14 2008 	 like Renaissance 	 stay NY 6 time , first time hotel , hotel nice clean , room good size draw space would useful 3 we share room.great location great subway , place stay dislike crowd heart town , notice year busy past.staff always pleasent helpful.to say close crowd traffic could hear noise room 15th floor.would stay husband room . 
