Good 	 Staff friendly , room nice great view Chicago River close House Blues Harry Caray 's Resaurant , well , far Magnificent Mile . hallway dark elevator bit scary , overall great hotel . bar , Crimson , locate hotel great . bartender nice waitress like talk wall . 
 Jun 21 2009 	 Excellent .... ! 	 second trip Chicago choose Hotel Sax read review tripadvisor . it be near river 's lot restaurant bar local area . main attraction thing within reasonable walking distance . be cheap book hotels.co.uk meant get good deal reasonable . bar hotel - Crimson Lounge - really classy liven later night . the restaurant really good brekkie relaxed atmosphere , evening menu look nice , although not get try . 's eclectic type hotel quite dramatic decor - room lovely 's really quiet get good lie ! get room upgrade room nice view river , spacious well appoint bathroom . mini bar expensive though ! staff hotel accommodating - arrive whilst - make reservation recommendation . arrange airport transfer we too . I would certainly recommend hotel leisurely stay fab city Chicago ! 
 Jun 14 2009 	 Funky Hotel - Great Location 	 Chicago three night visit son move first apartment city . pick Hotel Sax proximity son ' apartment , turn great location city many reason ( restaurant , shopping , historical site , etc . ) . room Deluxe King overlook " corn cob " building river . love funky décor room . bed comfortable , nice linen . bathroom also well decorate … modern , cool chic . overall , nice room – clean , comfortable update . type stay late ( use ! ! ) want entertainment plenty right complex hotel ( Crimson Lounge , House Blues , Bin36 , even Dick ' Last Resort ) . give son new address Chicago , return ! 
 may 26 2009 	 Great Hotel bring quality Toilet Paper ! 	 decide play Priceline.com Hotel Roulette game land Hotel Sax three night stay . little nervous since ' ve never hear place . arrive Midway airport via Orange Line , happy find place clean , classy , great location . be two block walk color Rail line want . however parking rate insane ! $ 42 night ? give break . insane rate come full Wash Hand wax ? would recommend rent car use CTA Trains . staff , great . kindly ask River View give great room ! room & quot ; Perfect View & quot ; staff upgrade without charge ! room , Loved bed , bathroom , HD Television big selection channel . side , Maid forgot put toilet paper room one night not replace glass cup use . Rip warn ! ! ! mini bar price crazy . top , add 10.5 % Chicago ultra high sale tax ! Hotel Sax , make flat rate we poor tourist ! picky issue .... Hotel Sax need offer well quality Toilet Paper thing ! yes picky upscale hotel , Toilet Paper room remind public Restroom . bring Northern T.P . home set ! ( grin ) 
 May 6 2009 	 weird vibe ! ! ! 	 hotel give we weird vibe . like cut edge , modern hotel one little strange . room decorate like pie - a - terre own Liberace : crazy wallpaper furniture , ink blot chandelier paint wallpaper . strange . staff clean well bed comfortable . internet free nice , check people know little : hard time give we direction tell we anything Chicago . additionally , & quot ; workout facility & quot ; ( could call ) little storage room basement hotel 2 treadmill 2 elliptical trainer . lame ! location good : right next house blue , Marina City , Magnificent mile , name ! centrally locate great . overall , enjoy classic , comfortable Intercontinental . overall hotel ok . may perfect place enjoy trendy modern stuff . also one hot hotel bar Chicago attach . although bar give we weird vibe mix young girl hit sketchy old male hotel guest . also beware , hotel loud wall thin bar loud . several bar patron stay room floor keep we almost night long ! 
 May 4 2009 	 Bed Bugs ! ! ! 	 stay end April first time @ Hotel Sax . got good rate & quot ; pay & quot ; long run ! ! hotel look fabulous upon arrival regret stay next morning itching way home . room clean bite . management unresponsive email explain dilemma . travel Chicago business 5 - 6 time per month ever stay . stay risk pack bug spray . 
 Apr 30 2009 	 definitely worth . stay somewhere else . 	 absolutely unbiased review : national meeting , stay even though meet McCormick place . stay room 1014 . really dark depressing room , musty dirty well . bed way short ( ' m 5'11 ... giant ) , sleep bed bottom sheet come undo immediately not really fit , comforter cheap , nice one . be dirty , cheap , leather pillow bed . room well light , uncomfortable , bathroom cold clean . old pack Rolaids stick corner room ( hotel read : CLEAN ! ) . total $ 300 night ... overall , terrible . many , many well hotel actually much cheap . not stay , pick somewhere else . spend much less Westin -- -I leave stay sick SAX , even though not think Westin 's great , least comfortable , decent bed shower . SAX cheap , dirty , cold , overpriced . 
 Apr 9 2009 	 Good Times SAX ! ! ! 	 book Hotel Sax primarily positive review site . check - in prompt , efficient , etc . , room fairly spacious clean . complaint would lack storage - hotel 's website claim double double room sleep 4 comfortably true get rid outrageously overprice mini - bar ( did'nt indulge ! ! ) would create room . issue note noise party room next 3.00am ! ! ! , rang reception inform , result action take noise continue number hour . fairness hotel compensate we adequetly mention follow morning . 2 daughter we ( 11 8 ) could'nt make use crimson lounge look like food place go . extremely positive note , daughter 's teddy bear accidently catch sheet disappear laundry company , quite number phone call reunite approx 36 stresssful hour ! ! ! ! hat housekeeping , front desk even bell boy great job . check STUDIO popular place hang . bin 36 also good breakfast , evening drink etc . , engage service Katherine , concierege get we 50 % discount ticket BULLS United Centre , would use hotel . 3 internet port lobby prove useful also . 
 Mar 16 2009 	 great sax ! 	 Sax perfect we . get fantastic deal travelzoo $ 109 include free parking two drink bar . check early request Chicago River view , awesome , get watch river turn green comfort room ! staff across board could helpful . room , huge comfortable , clean well appoint . it great walk next door night catch show House Blues ! hotel bar swank , comfortable staff wonderful . 
 Mar 8 2009 	 love room 	 LOVED Hotel Sax ! stay 3 night business trip , spend hotel meeting bad weather outside . 14th floor room large nice view Chicago River . comfortable bed , fluffy towel , nice bathrobe , great toiletry . silent room -- could not hear people hallway , tv next door , traffic outside . despite 14th floor elevator come quickly . good wireless connection , free internet access printer lobby print boarding pass like . one minor complaint - room light 6 lamp , get lighting level want walk around room turn on . my complaint value fee tack onto room service bill -- order $ 9 salad $ 11 pizza , get $ 36 bill . also snack mini - bar drink sort touch - sensitive tray know touch , bite much . 
 Feb 23 2009 	 will back 	 everything fantastic . room beautiful . bed comfy . shower great . view great . location great . price great . highly recommended ! thing need vending machine . 's hard find coke reasonable price ( $ 3 ) 
 Feb 14 2009 	 Funky worth . 	 usually stay Palmer House Drake Chicago , opt little gem special $ 109 . free parking Chicago worth $ 40 day . check - in breeze , front desk staff everyone come contact super . room little small ( 1526 ) nicely furnish ; large plasma tv wall nice . quiet area , good dinner choice within block . easy CTA ( bus ) service loop . they also give two drink coupon use Crimson Lounge large nicely furnish bar area . free internet terminal available lobby . workout room okay , three treadmill , three eliptical free weight . two television mount wall , headphone jack . one work not issue . definitely somewhere would consider . weekend visitor parking street free 6 p.m. Saturday day Sunday 8:00 a.m. Monday . trouble find street parking not get free parking rate . cheer . Marius 
 Dec 3 2008 	 great little Gem great location ! 	 book room via Priceline overall great experience / choice . say enough location - close walk River North , Michigan Ave , Loop . great decor - little unual modern . comfy bed , robe , slipper expensive mini bar ! since book via Priceline , know get room 2 , usually King . , email hotel receive wonderful response state reservation change double accomodate 4 year old . well - not happen ! gal counter pretty much - take leave , be sell ! Liked 10 - pin next door , find cheap ( chicago standard ) park Sterling Lot 1 block away . lounge hotel , Crimson , pretty swank crowd 10:00 . nice overly price . overall , give 4 star , way well hotel Chicago get 5 ! would definitely stay ! overall great stay . 
 Dec 1 2008 	 enjoyable 	 husband book 2 night hotel Hotwire anniversary pleasantly surprised . customer service friendly helpful beginning . first walk room queen bed , truly love decor ( online pic not justice ) , disappoint shower stall bathtub - 6 month pregnant completely need good soak ! husband call front desk request upgrade - move we large room bathtub , king bed , even well view - extra charge . we couple maintenance request stay staff continue friendly helpful , resolve issue within matter minute . Valet service also great although bit expensive ( be 24 - hr parking nearby allow unlimited in - and - out privilege case need drive somewhere ) .The Microsoft Room ( game room ) great bonus - husband love ! also , little extra room nice add touch ( i.e . bathrobe , safe , plush bed / pillow ) recommendation read hotel guide soon enter room know additional charge may incur visit - thing like make local phone call consume tempt snack desk / bar area . also , call around reservation area restaurant , since many take walk - in . overall great hotel would definitely visit . 
 Nov 24 2008 	 great hotel ! 	 Booked hotel via priceline $ 130 per night . overall , great experience . location great -- hotel locate next door Harry Carry 's House Blues . many restaurant shop within several block . positive : Unique Decor -- typical cookie - cutter hotel ; quiet sleeping room ; flat screen television ; nice bedding & amp ; ambience ; extremely helpful staff -- bellhop & amp ; concierge great ! negative : limited room service menu ; would nice basic mini bar item available low cost ( i.e . $ 8 bottled water ; $ 5 can soda ) .We would definitely consider stay next trip Chicago ! 
 Oct 26 2008 	 Fantastic Hotel 	 hotel accommodate business trip Chicago . service hotel amenity great . staff helpful accessing outside restaurant direction . room comfortable bathroom 's huge . hotel workout room great . 
 Oct 12 2008 	 Speak ! 	 stay location 2006 House Blues . like area decide book King room recently renovate Hotel Sax . request early check - in & amp ; get room right away . tell Queen room available . get room 6th floor extremely disappointed ... bathroom tiny sink bedroom area & amp ; area also small . call desk complain & amp ; receptionist say & quot ; book Expedia & quot ; say could give we room 2 double bed ... immediately say yes since want tiny room . 2nd room much big & amp ; nice flat - screen tv . request fridge & amp ; ask coffee maker room & amp ; tell , would send one . also mention microwave & amp ; ask charge would . say charge & amp ; send item . floor ceiling window open . view unique condo / parking tower & amp ; House Blues busy every night week , 11th floor noise minimal . they provide in - room safe , iron / board , bathrobe , mini bar , nice toiletry & amp ; power rain shower feel like massage . Crimson Lounge main floor popular , lively & amp ; quite expensive . bin 36 right next door well 10 Pin Bowling Alley & amp ; Lounge . Harry Caray 's Bar & amp ; Restaurant nearby . boat tour also close . take River Tour Chicago 's First Lady volunteer Chicago Architecture Foundation extremely knowledgeable . hint : go Shaw 's Crab House , 21 E. Hubbard St. half price oyster 4 6 pm . check free day Shedd Aquarium . Lincoln Park Zoo always free . take # 22 bus stop around corner hotel . also free shuttle Navy Pier ... great burger Charlie 's Ale House ! 
 Sep 3 2008 	 Love place 	 return 3 night stay Hotel Sax great experience . get fantastic steal Priceline worry first read mixed review . yes , typical boringly decorate hotel ... fun hip . think room beautifully design entire hotel cool vibe . Microsoft studio lot fun completely different hotel lounge . addition , love free use computer lobby , well studio check map restaurant menus . concierge extremely knowledgeable helpful . recommend restaurant 2 block away - vermilion - amazing . would never choose restaurant , probably one good meal ' ve ever . oh , blueberry ricotta pancake Bin 36 hotel totally worth price ! ! great place stay downtown Chicago -- close everything completely safe . 
 Aug 26 2008 	 Hotel Sax - Funky 	 stay Hotel Sax August 14th - 17 t h enjoy stay much . stay 3 year prior House Blues appreciate redecorate room . feel like stay gingerbread house House Blues . check super quick friendly . Benjamin bellman bring bag room friendly quite knowledgeable happening Chicago weekend . in lobby , small table set water pitcher refreshing glass lemon water one day cucumber infuse water next . nice touch . , enjoy stay much would stay . 
 Aug 22 2008 	 Hotel Sax okay 	 husband stay hotel sax 2 night August . mixed opinion hotel . kind neutral experience ( would not stay ) , understand other would love . hotel trendy chic . stay deluxe king room . good : bed pillow super comfortable . Prob well ' ever hotel . staff friendly . check check seamless . room really clean . hotel really cool & amp ; young atmosphere . ' great location . ' block away downtown nightlife , ' plan trip house blue , ' pretty much parking lot . ' little Navy Pier hotel , walkable ( walk ) and/or taxis cheap . great flat screen tv . the negative : room small dark compare ' stay . zero counter space ( hair dryer ) bathroom . ' atmosphere ' ' really style . kind atmosphere ' party ' hotel ' pretty well rounded bar room , ' studio ' - like high tech game room , Crimson Lounge downstairs ( popular club ) , House Blues across street , etc . nothing wrong , , example -it ' place would ask parent stay . telephone ' work a / c start click really bad awhile . miss wakeup call call apologized . wall little thin could sometimes hear tv room next we . besides hotel , cool thing Chicago : course go navy pier stay firework . take one boat tour . take sail boat one . look back , probably would do traditional one . zoo so - so good kid . look hot tix location get discount theatre ticket . staff pretty much know ' show every theatre town . see ' alice ' look glass theatre . fantastic great kid adult . green mill really cool jazz bar lot history ( guess Al Capone ' old hub ) . ' go want drink party though . ask people speak people play . Wrigley field AWESOME . Andy ' jazz Club ton fun ' bar proximity ( one night stay late drink much ) . overall , would definitely go back Chicago . feel ' lot ' get . 
 Aug 21 2008 	 Fabulous Sax 	 Swank , sophisticated , grown ... really great job remodel former House Blues Hotel . flat screen tv room impressive really enjoy Crimson Lounge . great time relax bar listen fabulous music ! sell we book hotel really cool virtual tour.url = http : //www.hotelsaxchicago.com/ ] Hotel Sax [ /url ] 
 Aug 17 2008 	 Fell Short Potential 	 beautiful building perfect location convenient nightlife fun . unfortunately , service exeuction staff greatly lack . request ( generally fix something initially right ) repeatedly drop . great apologizing , recifye ( obviously prevent ) issue . the Microsoft Enhanced Technology room cool idea ... deliver ( even ) request promise game music ... laptop would connect Internet ! good testimonial either Microsoft Hotel Sax ! close great spot ... yet far deliver ! definitely try another hotel next stay great city . 
 Aug 15 2008 	 good hotel great location 	 Hotel Sax hip , great , slightly gothic ( keep think Interview Vampire meet upscale bordello meet display Grandma 's crystal ) decor helpful staff . room small functional . blackout curtain , comfortable bed flat - screen tv appreciate . hotel one nice mini - bar setup ' ve see level hotel : martini shaker , glass trimming ( fee , course ) ; champagne cocktail glass ; good selection liquor bottled water , along candy usual snack . particularly price get Priceline , would certainly stay . hotel within walk distance Michigan Avenue Chicago River . valet staff especially friendly helpful . 
 Aug 13 2008 	 love lounge downstairs ... 	 stay 7 night business travel . initially get room ask ( king size bed ) change relatively quickly . nice locate like Blues , hotel locate 10 meter & quot ; House Blues & quot ; . 4th floor conference facility must see - especially big screen instal . Crimson Lounge - live music every day good dj start 10 pm . look like currently one place go Chicago nightlife : - ) 
