cool 	 enjoy 2 night ' theatre break ' City well pleased choice hotel . benefit greatly refurbishment enjoy ' upgrade ' check - in . beautifully appoint room , ( view onto back church not view ! ) nice sleek minimalistic line . pleasant staff . get good deal website booking find location ideal - easy walk Covent Garden Theatreland . 
 Aug 26 2009 	 fine night week 	 ok hotel , pay £ 130 night incl vat double room full breakfast . room ok , nice bathroom Power shower . room 's content clean . enough room night small bag clothe , would want stay much long due lack space . 
 Aug 24 2009 	 good price refurbish excellent location 	 hotel good - 's recently refurbish standard bedroom , bar restaurant show . bed extremely comfortable , sleep well quiet room , possibly short flight stair one room next we . location great - close british museum , theatre , decent pub not need travel underground 2 day stay . even able walk embankment get boat trip St Katherine 's Dock lovely . the real negative hotel breakfast - quite disappointing buffet breakfast limit lukewarm selection food . would paid not include part room rate . 
 Aug 18 2009 	 Lovely Hotel Ideal Location Theatres 	 book week stay quote £ 89 B & amp ; b , think excellent . arrival greet warm friendly welcome upgrade junior suite , superb . hotel 15 minute walk theatre , great . breakfast start little slow side wait cook item bring , least know fresh ! ! would definitely stay recommend anyone visit theatreland . 
 Aug 17 2009 	 Super hotel wonderful location West end theatre break 	 return weekend stay Kingsley Thistle first class experience round . location walk distance main attraction theatre . book West End Theatre break recomende hotel suitable family . two room floor five spotlessly clean . bed comfortable linen change daily together towel . staff curtious effiecient . could not ask . breakfast buffet style staff lovely ensure need family meet . definately stay hotel . 
 Aug 16 2009 	 CLASSY CENTRAL CUSTOMER FRIENDLY HOTEL - GREAT stay 	 book hotel 2 night stay group 6 ( 3 40 's , 1 x 18yrs , 1 x 15yr , 1 x 14yrs ) . inform major refurb , see photo Trip Advisor customer stay recently & quot ; old & quot ; room , hoping not case we . need worry - room absolutely fantastic . small 3 go 14 15 year old ( always peck order ! ) , nice small room . ' ve put picture room ( double ) twin lovely window seat , one big three . everything room , tea / coffee , hairdryer , iron board iron hang wardrobe ! arrive hotel Kings Cross ( near tube Holborn , take Piccadilly line Holborn station 0.2 mile walk hotel Tottenham Court Road , Piccadilly line Holborn , change onto central line - red - Tottenham Court Road make 0.3 mile walk hotel feel like stretch leg little long ) . walk , hotel lovely light , modern feel . check - in 12 noon intention leave case couple hour whilst go shop Oxford Street , 10/15 min walk hotel . one three room ready , lovely lady check we , let we go room freshen , leave bag take hour . back Kingsley 4.30ish , shower , chill 7 pm night Medieval Banquet St Katharine 's Dock , Tower Bridge . taxi would around £ 30 one way ( 6 we , problem London cab 5 passenger , would order two cab ) , decide use tube . get £ 5.60 peak adult ticket allow unlimited travel tube within zone 1 2 4 am next day . buy 4 x £ 5.60 ticket kid £ 1 . bit walk tube Tower Hill venue , lovely evening , leave high heel home night , be ok walk . Medieval Night - pay £ 31 four adult teenage boy free , bad deal we . price include four course meal unlimited wine ( red white , rise offer ) John Smith 's bitter , kid unlimited coke / lemonade . arrive 7.45pm request ticket , wine beer not come 8.15pm , cash bar half hour , something bear mind . meal not culinary experience , , basic , edible fair , evening join cast group . really enjoy night , good laugh think price pay , good value . would recommend - cast really make effort get everyone mood theme well . Naomi & quot ; wench & quot ; evening good fun , look we well : ) - good night . the breakfast hotel lovely , buffet style , always replenshe soon anything run low everything could want far choice concern . nothing much trouble . our second day London Zoo - Holborn tube Oxford Circus , change Bakerloo line Regent 's park . take bus outside tube station ( use tube ticket ) fancy walk , be 25 min Regent 's park . get 20 % price ticket use leaflet have pick , look around hotel etc . get bus tube station hop back Holborn , 7 Priscilla Queen Desert 10 min walk hotel read map , completely go opposite direction hail cab get ! recommend musical - absolutely brilliant , fantastic music , whole cast outstanding audience join . love , atmosphere amazing . guy play Felicia steal show we . say us - two boy group not know hit , hilarious . anyway , be look musical feel - good factor , . good night theatre ' ve long time . walk back hotel time , 10 min . we could check late 12 noon , pack 10.30am , leave bag Concierge 3.30pm could another walk around leg not completely go numb yet , buy off - peak tube ticket make way Covent Garden , wander , stop couple lunchtime glass wine , back tube Regent Street , go Vodka Icebar , good idea us lunch . lead downstairs BelowZero feel like dungeon , quite oppresive decide drink leave find somewhere bit suitable lunch . bit celebrity spotting - see Ian strictly come Dancing ( dance Camilla ) shopping , rehearse next series SCD . make way Leicester Square , Chinatown bite eat back tube Kingsley bag onto King 's Cross 4.30pm train leed . , would definitely recommend Kingsley Thistle Hotel - great location attraction , lovely room , breakfast nice indeed service staff outstanding , friendly helpful . loved . 
 Jul 6 2009 	 great hotel 	 stay mix book another hotel ( related hotel chain ) arrive late . check large king room sister - bed sister - although bed huge matter - big could barely see ! ! room bathroom clean tidy - sleep well even though room front - could barely hear road noise . check check simple . 
 Jul 6 2009 	 Ticks box good choice 	 read previous review quite worried expect book , hear revamp finger cross would get new room . pleasantly surprised get . location excellent . near Covent Garden ( notice review someone complain 20 min walk ... must take ' scenic route ' 10 min slow walk ) .service simple good . Got refurbish room fifth floor lovely ( although small , London ! ) . minibar , room service ( even though menu give tel number ! ) , big flat screen usual channel , clean bathroom usual mod con . by London standard good value ( stay Fri & amp ; Sat night get £ 140 per night incl tax ) . concierge helpful direction , arrange taxi recommendation place go . overall good choice central London - simple , functional , good value , great location . 
 Jun 27 2009 	 great location good revamp 	 third floor new refurb - acceptable price ( £ 114 Friday night book Monday ) . twin room arrive bed next . give friend friendly : - ) move apart - easy light . the room quite small bother we acdc concert Wembley . check 2 pm ( room ready ) meet friend bar beer do not return till 12 hour later 2 am . bar shut get back - surprised secretly relieve . bathroom nice shower good refreshing ..... do not bother breakfast seem quite expensive . lot cafe greasy spoon around corner way British Museum would recommend use those . all good place stop - great central location , relatively inexpensive quiet ( always plus ) . come show would use close covent garden soho . 
 Jun 21 2009 	 stay 	 room redecorate , get inform book , also small shower work friend move room , 20 minuet walk covent garden round corner thay say , whorth money , one posotive night porter great guy enough . 
 may 31 2009 	 refurbish quality good location 	 stay totally refurbish third floor , ( first second still less construction site ) superior room , nice . breakfast buffet complete , free newspaper appreciate . location perfect explore London nice area . also nice bar . would definitely go back ! one small negative : free internet . 
 Apr 22 2009 	 yet one disappointment ? 	 book cheap b+b room deal newspaper although expect allocate one room back not really expect tiny , dingy tired room look pipework back ! bed hard unforgive green shower tray loo reminiscent 1970 's . door not shut properly either . enough tea coffee one cup one packet small biscuit fortunately two biscuit enjoy - one ! fortunately retain british sense humour come ' romantic ' weekend not face much disappointment ! plan walk Bloomsbury Covent Garden , Leicester Square Soho .. eat go see Jersey Boys ( Excellent ) ! easy stroll , great shop enjoyable . hotel private function restaurant bar cellar night . get back show could see guest bother Hotel closed bar say quiet . end world we . decent pub within walk distance round corner . we feel apprehension breakfast pleasantly surprise quite acceptable . lot tea coffee toast typical buffet breakfast . the staff fairly typical London nowadays - speak English make much interesting . 
 Apr 6 2009 	 Excellent location - refurbish room great 	 stay one night twin room . hotel currently undergo £ 10million refurbishment due finish June 2009 . lucky enough get refurbish room excellent . hotel say 95 % complete reception hotel bar / restaurant still refurbish room expect . room look nothing like photo Trip Advisor ( candid traveller photo ) . lovely bed linnen , comfy bed , flat screen tv , safe , iron / board , large head shower , medium large bathroom window , air con , tea coffee , room service Sky TV . get impression head towards 4 star future 3 star 's rate moment . location excellent ! 10 minute walk theatreland walk late night feel safe . take we 20 - 30 minute walk London Eye excellent hotel seeing sight London . 's short walk Holborn underground . get taxi Natural History Museum cost around £ 12 - £ 15 . receptionist helpful friendly bar staff little tbit miserable . breakfast good , excellent , choice full English Continental . would stay could get good rate would recommend hotel friend visit short break . stay make sure ask refurbish room . 
 Jan 27 2009 	 could well ! 	 stay Thistle Bloomsbury consequence Thistle Trafalgar Square book ( uncommon occurrence accord Thistle Hotel review ) . transfer taxi drop we wrong hotel – great start . pleasant reception staff deal number transfer guest evening suffering sense humour failure . first room allocate twin . order double return reception allocate room reception call upgrade floor . nice indeed far well twin room look tired need update ( assume work way building ) . quiet 15 minute walk west end theatre . sadly , breakfast Bloomsbury depress affair . one greet we entrance minute go find someone . clean table despite 5 6 occupy ( arrive 10.00am service finish till 11.00am ) . staff clearly pay little attention hot buffet . many item run offering pretty grim even hot counter standard ( buy sausage – inedible ! ) . would recommend dodge hot buffet completely fact ham offer continental table turn ! .... seriously , food could much bad . dining room dark , depress dire need redecoration . sound eighty pop classic play flat screen tv one end hardly improve ambience . cost breakfast include stay would ask refund . avoid cost unless rate inclusive . summary , really lovely room hotel struggle emerge late 1980 ' . doubt dining facility follow due course ( kick scream way ! ) 
 Jan 26 2009 	 stay ... like 1980 british sitcom vibe ... 	 oh crikey , start Thistle Bloomsbury ( Kingsley re - brand ) . hotel building site moment scaffold - something hotel not bother mention travel agent . anyway , time arrive late change well make ..... reception staff pleasant enough , though kind pretend hotel function normally buile site bit odd ... soon open bedroom door laugh loud . decor get nearly 30 year old - pattern wallpaper , border , wooden ceiling fan , old trouser press , pad headboard . short , cross Sybil Basil 's bedroom Hyacinth Bucket 's house . bathroom vision ivory avocado . asthetic aside , bed hard , room freeze cold , tv tiny limited channel wifi external BT Openzone ( i.e . v expensive ) .I ' m guess thing get well place do meantime guest ) forewarn standard low befit Thistle b ) get greatly reduce rate . 
 Dec 28 2008 	 hotel 	 read review hotel , naturally little anxious stay five night business , however , turn , need not be . everyone [ quite rightly ] different opinion quality service , want ' m away home business something clean , comfortable right place . Thistle meet requirement . I one newly refurbish room , comfortable , although agree another reviewer tea / coffee ( milk ) room . guess could ask ... Cable tv would nice , five day five channel bite hard cope with . I little put price pint hotel bar ( £ 3.60 ) , however , fantastic proper pub around corner call Plough restore faith British Pub still alive well London . bear mind cost pint bad thing recall stay , hopefully appreciate hotel probably well review make refurbishment , definately hotel . 
 Dec 15 2008 	 Love new revamp 	 read good bad review really not know expect , stay one night go theatre boyfriend , find really great location west end . check 11 really lovely reception helpful . the hotel middle renovation inconvenience we one newly renovate room fabulous , everything could want . ever could imagin breakfast really enjoy stay sorry not long . 
 Oct 14 2008 	 Fantastic Location 	 book hotel one night London see band . get excellent rate Expedia include breakfast . the room large London standard clean . plentiful supply Toiletries tea / coffee . large comfortable bed large bathroom . breakfast nice check simple staff helpful . hotel within walk distance Covent Garden . we would definitely go back . 
 Oct 13 2008 	 horrible ! ! 	 stay hotel last week 2 night probably one bad hotel ' ve stay . £ 198 night expect dirty , date bedroom , rip room service disgusting breakfast . well window opening bedroom , heat full blast , hair dryer work almost scale every time turn tap bathroom . awful . stay , far nice hotels area price cheap . 
 Sep 22 2008 	 great location terrible room customer service 	 stay hotel 2 night , book work , meet . put refurbishment think hotel nice inside lobby etc , old fashioned feel clean . room book single expect get small room problem , room dark one small dirty window 2 poor light mean room pretty dark time . however , do not find much problem either . come first morning attempt take shower find hot water room , even run 15 minute get lukewarm ! telephone reception explain hot water - reply give ' run bit ' . explain run ask move rooms- tell problem go reception . arrive reception tell alternative room available . ask suppose hot water tell nothing could try later ! amazed response honesty ! cut long story short , manage get move later evening room move fall piece say least dirty - get hot water ! main problem attitude hot water received - think pay near £ 200 per night hot water should not optional extra ! 
 Sep 3 2008 	 Major Refurb Progress ... 	 stay one night business trip . aware refurbish booked location ideal purpose . the hotel currently shroud scaffold glad take cab train station think have miss ! reception area spacious reception staff friendly also upgrade room single family room would space - nice touch thought . the room tire clean tidy , bed pretty comfortable , pillow ( yes 1 ! ) . everything nothing dirty use . I end dinner hotel tasty expensive plenty place near choose from . I can not say room overly quiet consider centre London reasonably busy road not bad - sleep pretty well . breakfast not good , little disappointed , coffee lack gut buffet poorly lay , nothing label . not venture cook breakfast look stingy . having say , would probably use refurbishment complete , great location staff come accross ( 2 concierge ) really lovely . if accept fact refurbish , not pay £ 100 night , pretty good hotel London stanadrd mind ! 
 Jul 17 2008 	 good value money 	 wife & amp ; stay hotel rate highly . convenient central London , tube & amp ; bus . walk around corner get full english breakfast gbp4.50 compare hotel price GBP 14 wise area . staff friendly helpful come South Africa concierge give we good advice tourist site bus service . definitely recommend good value money 
 Jul 4 2008 	 Woefull 	 2 night hotel recently . I will cut chase . Problems1 . whole hotel encapsulate scafolde plastic therefore view let say & quot ; restricted & quot ; ( inform customer fact book ? ? ) 2 . Aircon . 1 noisy click fan overhead . nighttime choice ) sleep noise leave b ) sleep heat humidity turn off3 . flush toilet - cistern lid pop ( nice touch ) 4 . cold water tap . leave run 5 minute let boiling water run . eventually reduce temperature merely hot . ( tap not plumb wrongly ) 5 . breakfast - colleague order sausage , egg bacon . 30 minute wait get 1 small sausage , 1 small rubbery egg small rasher bacon ever see serve . ( £ 15 thank much ) good enough ' m afraid . avoid ! 
 Jun 12 2008 	 good location shabby 	 stay overnight colleague prior work meeting . price twin room website well know supplier last minute booking £ 180 . contact hotel get £ 128 . room clean shabby . lot peel paint . tile bathroom lavatory crack . lavatory also flush properly . arrival room overpowering smell fruit scented cleaning product . take several hour teh window open disperse . ask room change offer pay extra upgrade tell hotel full . the bed comfortable bed lineen seem new clean . breakfast room cool airy think breafast fine . I would annoyed ahd pay £ 180 room not believe worth . location convenient . stay would try get superior room . 
 Jun 7 2008 	 Fawlty tower 	 be London , not go way find place . I ask quiet room give 516 pub . needless say , tad noisy say least room look decorate child patch wallpaper dot wall . bathroom dirty not look decorate since hotel build . breakfast highlight table lay food eat . come , basic staff offhand . I will not go back 
 May 16 2008 	 avoid cost - first ever one star review 	 hotel potential wonderful establishment , sadly seriously lack instead . wife stay theatre food break four night week disappoint pretty much every level . contrast hotel another Thistle stay couple month ago could not mark . first , positive part - location good - near Tottenham Court Road / Oxford Street handy couple tube station - want spend significant time british museum , singularly close . housekeeping staff great - room keep clean quick exchange pillow thin one ( be use thin pillow , neck suffer encounter thick one . ) difficulty . would like emphasise accept problem occur everyday part life , issue deal affect opinion overall customer experience . feel free check review - assure , serial moaner . reception check - check seem needlessly prolong seem issue distract staff . call reception relation issue phone answer put least three time call room . keep suppose blue chip experience . room service poor . great difficulty place order , take 20 minute long advise . uncover dish , discover one wrong tell would replace 5 minute . case , take another 25 minute . not repeat experience . may want avoid dining area basis large damp area ceiling , perhaps cause overflowing bath ? certainly eyesore would not expect reasonable hotel . on subject food , breakfast well average , especially give price . table badly lay , mean people bump fault . service slow confuse , plus food far great , stop bother 2 day eat instead . the first serious problem encounter wife fold iron board collapse iron first day - lock mechanism not work fall iron burn arm , thankfully seriously . go reception report defect burn arm ( phone reception not answer call ) offer ice put , board not fix stay accident report fill in . on health safety front , several area carpet corridors floor fray trip hazard , worse still , main stair carpet first two landing suffer problem . nothing do time fix - even electrical tape cover frayed area . when light blow bathroom , report bulb replace . replace , & quot ; candle effect & quot ; tungsten bulb use instead spot , mean protrude mount one bath / shower not seal , leave gap steam get ceiling space . replace latter , cover break replace wife find shard old plastic cover remainder stay ( use foot - ouch . ) come little surprise light fuse follow day , trip corridor . maintenance chap respond disgusted replacement colleague carry apologise , replace bulb appropriate type later day . the tv not receive several channel & quot ; interactive & quot ; function view bill , set alarm call , teletext etc not work properly whole time . 's bad promise fix every day , never come 5 day . suspect endemic issue simply can not address . you might regard minor problem be go room spend time sleep hotel . bring another serious flaw . hotel day upvc double glaze rather conventional sash window . . ' ve live sash window c.35 year know need not cause draught noise be well fit adjusted . Suffice say order get sleep , tear newspaper spend 20 minute stuff paper gap stop rattle . can not imagine bad noise be front ( traffic expose ) side hotel boot - hear resident complain noise . a series little issue contribute bad experience . hand drier work low floor toilet , erratic wifi , main entrance door jamming , no - one staffing bar 5:30 pm , etc etc . staff seem friendly , poorly train manage , substandard infrastructure maintain . many minor little thing top issue , especially give price . thing - expect rattle , quirk foible economy hotel , far discount establishment . review put tripadvisor , first time feel need put one star review - combination various issue price mean warn tripadvisor user stay here . I find ironic Thistle Trafalgar Square stay couple month ago much well chain price . summary , unless sleep deeply go British Museum every day ( wonderful place incidentally ) favour not stay . 
 May 5 2008 	 great hotel 	 stay hotel partner London not want rush late train . the hotel great would definately stay . previously stay thistle far away average . thistle different could easily stay one night . the room spacious , clean , plenty towel toiletry . complaint bar close early 1 am . not breakfast can not comment . a great central pace stay fussy stay . do not book via hotel website look around price . 
 Apr 1 2008 	 really nice friendly helpful staff 	 booking read review tripadvisor get really worried . soon find hadn´t need worry . worried book hotel , don´t . wonder dissappointe people actually stay hotel ... good four star hotel fantastic location , close shopping , theatre , restaurant next door British Museum . there five we ( three teenager ) stay three different room everyone happy satisfied . room spacious really comfortable bed . the decor furnish may like thing bit date , find rather charming ; everything really clean , everything work ( love towel heater ) service excellent . breakfast fresh lot thing choose from . we would definitly stay . 
 Mar 13 2008 	 great location 	 Booked hotel part package include rail travel not need park car . would recommend hotel base location theatre , shopping , museum restaurant probably short stay . staff friendly helpful , though would suggest hotel rating little date along decor . room clean tidy deceptively spacious walk wardrobe . 
 Mar 4 2008 	 Disappointed ! ! ! ! 	 make decision stay hotel convenient British Museum . find reception okay building charming . room however ' tired ' , someone kick bathroom door time door poorly repair . heat towel rail repair red masking tape leave bare wire bathroom . cleaner appear use poor quality vacuum cleaner room make wife 's eye chest irritated . bed comfortable room well appoint somewhat shoddy . one point clean let room without knock could embarrase ! breakfast enter din area show uncleared table . Crockery cutlery take another uncleared table set . one take order , search member staff find english difficult . eventually full english breakfast arrive say disgusting put mildly . disgarde onto another table approach buffet completely devoid food . breakfast consist toast jam . staff see disgarde breakfast make attempt approach we way . make represention hotel due attitude staff want leave place soon rather later . assure Thistle Hotel first choice next time visit London . 
 Feb 29 2008 	 not use hotel recommend car park ! 	 hotel direct customer NCP Museum Street driving . PARK ! drug user live stairwell CCTV staff location . we car break overnight hotel management could not care less . basically spoil weekend . speak Metropolitan Police , recommend Camden council run car park . near one Bloomsbury square clean , secure crime free . also be cheap 2 minute walk hotel . a costly weekend , dirty room car repair bill £ 750 , follow hotel note website . good location , be it . they poor advert Thistle group ...... avoid . 
 Feb 25 2008 	 Adequate Hotel inGreat Location 	 Thistle Bloomsbury pretty average hotel great location ... close shop , theatre , Bars Restaraunts . we book thee seperate party arrive early , two room available one . drop opur luggage ( sixth floor , mouldy stain wall ) go afternoon . when come back , third room party allocate Kingsley Suite .... well , interesting word describe ... combintaion seventy cop 's pad chinese brothel ! ! , interesting ! ! nice staff .. good breakfast ... little old tired th real problem hotel ... time refurb ! ! 
 Jan 24 2008 	 Nice Break 	 stay Thistle part Theatre package . accommodation average , room poor secondary glaze original window rattle wind . staff fine , location great theatre etc . I would use . 
 Jan 22 2008 	 british charm 	 stay second time hotel January 2008 even nice two year ago . staff friendly make possible we check early . true window little old single glaze , room well equip furniture fine ( new bed ! ) .The lobby , staircase hallway delightful british charm much different postmodern hotel see world . above , location ideal . walk Soho , Covent Garden Oxford Street , course stroll around Bloomsbury . 
 Jan 19 2008 	 good choice 	 hotel character location great ; safe within stroll theatre British Museum . room great , staff freindly breakfast cook order ( semi cold buffet ) Downside ? single glazing mean road noise issue .. window need upgradingBar souless even London price steep poor choice .. go round corner Museum Tavern lovely old pub 4 real ale decent wine glass 
 Jan 1 2008 	 bad experience 	 terrible experience holiday arrival reception . arrive two child long journey feel welcome . rude unpolite reception desk personel . although room available reception personel refuse give we room accord book . place small room wrong bed . child become sick heater work window bedroom bathroom coild close three day . London trip Christmas holiday spoil bad experience . never . Prof. Dr. H.Baker , Netherlands 
 Dec 29 2007 	 Great Location -Close theatre 	 room okay , overall stay fine , experience could well . arrive two twin instead double request , unable change room night . however , two twin end quite comfortable . nice tea service setup room , drank allotted supply tea first day never replenish . fact , least one day not even take teacup clean replace fresh one . good thing hotel location . close tube stop , British Museum , Theatres . walk see Spamalot first night , wonderful Ivy restaurant second night . use tube , notice quite close bus stop well . bad price location ! 
 Nov 14 2007 	 great location great staff 	 recently stay one night young baby staff could helpful . the hotel really close London 's West end , mean walk home not need use public transport . reception eat area clean fucntional check -in concierge staff great . I use room service dinner - prompt friendly reasonably price . only mild downside , room huge ( although ' m sure much old building like ) need freshen apparently due shortly . also , main entrance set steep stair . not cheap mean really appercaite locationwould come 
 Sep 28 2007 	 bad 	 many poor review give hotel , Thistle Bloomsbury really last resort London Hotels totally packed period , stay 8 night . hence , wife open hotel room door much anticipation dread -- - immediately heave huge sigh relief . room layout - leave twin room ( 312 ) . spacious clean ample wardrobe space . design & quot ; English & quot ; curtain , wallpaper nice couch . aircon noisy switch much . use ceiling fan instead . bed - Bad . twin small ( even we Asians ) actually feel spring mattress i.e . comfy . toilet - clean , well space shower gel , shampoo nice clean towel ( toothbrush , toothpaste shaver ) . bathtub plastic screen side prevent water splash wet toilet floor . 's electric heated towel rack dry towel quickly . other - kettle , iron iron board , coffee / tea , safe inside room . meal - b'fast standard english breakfast egg , mushroom , toast , ham , bacon , baked bean , cereal , pastry serve tea/ coffee . be everyday . service - front - desk cordial exceptionally helpful . try many day change double , go way go extra mile customer stay 8 night ! restaurant staff ok . location - lot convenience store around . near tube Holbon ( 3 min walk ) Tottemham Court ( 6 min walk ) . 's bus - stop directly outside hotel well serve bus come central tourist area . 's 10 min nice stroll theatre district , 's lot restaurant pub serve cheap good food threatre goer ( 7 - 8 gbp 2 course ) . Lot 's bookshop along Tottenham Court - Charing Cross less 10 min away . British Museum directly behind hotel . Oxford street ( shopping ) also within walking distance . verdict - get corporate rate hotel , be worth . otherwise , could tad expensive . base feedback website , also think quality room varie happen mine 's pretty good . help , ROOM 312 . 
 Sep 18 2007 	 Basic hotel good location 	 hotel situate within good 20 minute walking distance Euston station , conveniently locate Holborn Tottenham Court Road Tube station . upgrade deluxe room free charge . room clean tidy , little small . dread think size normal room . bathroom also little small , bath could little big toilet locate closed bathroom door . breakfast hotel . service little patchy , staff require think . overall , give hotel 6 10 . good location , clean tidy . service staff little patchy need improve . 
 Jul 12 2007 	 nice room 	 public space hotel clean generally well present . however , room 4th floor clearly see well day . suffer crack tile , flake paint , curl carpet , tear curtain , lamp shade , bad think grotty stain headboard bed . additionally , check reservation price quote ( writing ) not include VAT.I not use restaurant dinner breakfast - put room - plenty restaurant variety price nearby . 
 Jul 3 2007 	 absolutely dreadful 	 stay place one night , believe , one night many . duck tape cover hole bedroom carpet , broken tile bathroom , iron board would not stay , musty smell wardrobe , beautiful view rusty old emergency stairwell scaffolding . the save grace nice breakfast morning . however , not enough compensate poor facility overall feel place lack investment . 
 Jun 30 2007 	 Staff end spectrum could get internet work 	 company book hotel London fully book Wimbledon . Checkin ordinary . Room tuck away corner really like . number one problem could not get internet work . bt hotspot system could not get signal anywhere . reception tell one else problem . use WiFi time never problem not know problem mine . some staff find rude other really friendly helpful - balance good bad . bed old lumpy - bad bed ' ve while . checkout normally 12:00 flight 7.00pm try get late checkout 3.00pm - front desk none tell checkout 12:00 - end ask speak manager say & quot ; problem 3.00pm checkout charge GBP20 / hour & quot ; - not mind pay GBP20 / hour problem solve . breakfast morning pretty chaotic . room service want deliver breakfast advise busy . average london hotel charge GBP188 without breakfast GBP15 . expensive get that s London . would use hotel last resort well hotel London price 
 Jun 14 2007 	 Excellent London base 	 spend excellent girl weekend Thistle Bloomsbury . spend weekend last year year even well . book -- - ( last year ) allow we reserve room advance half standard rate pay departure date , also able cancel change room 24 hour arrival , excellent ! 4 twin 1 single corridor , excellent condition , clean , spacious , light , much nice room previous year . suspect floor ( 4th ) may recently refurbish previously stay ( 2 & amp ; 3 ) . breakfast buffet good , nice fry limited choice continental breakfast want cheese , ham fruit . hotel excellent base tourist anyone want enjoy entertainment london . Bloomsbury nice area 5 minute walk Covent Garden minute Leicester Square . Shaftsbury Theatre even close . holburn tube minute walk easy get around London full stop . the staff friendly helpful although 1 6 reception staff encounter english although staff english good , loose thing translation . problem previous year , booking , payment etc straightforward will fine get end . I would definantly recommend hotel anyone want good base London . would not pay full price london expensive excellent hotel price pay . 
