good 	 second stay . £ 109 book late , day limited availability astronomical cost central London . as tourist hotel 's ideal location surround area bit drab . however , short walk West Brompton Fulham Broadway tube station 5 stop central London . different location would nice hotel . staff friendly efficient . room standard HIX . breakfast reasonable toast pastry , fruit , yogurt etc . surround area look dubious lot nearby restaurant include next door Turkish Vegetarian across road . allmost every type food within 10 min walk . try area around Fulham Broadway tube huge choice pub , Fridays , Starbucks , Nandos , supermarket cinemas etc open late . parking £ 25 per night . business trip use personally have look well price book ahead . otherwise , value alternative central London could good choice . 
 perfect choice look real quality standard 	 Though take time reach Oxford street West Brompton tube station , worth stay , forget ever stay creepy so - call 3 star hotel somewhere near Paddington . Holiday Inn really ok - one good hotel London ' ve ever stay - note never willing pay 70 pound / night 
 Jul 31 2009 	 Location poor especially single woman 	 try book Holiday Inn Cromwell Road , favorite , booked , HI Reservation Desk recommend HIE Earls Court : feel uncomfortable area , especially alone night . also , paper face cloth ? check another hotel even cost lose non - refundable deposit . 
 Jul 24 2009 	 good residence explore London 	 family 5 , face fact family consist two grown - up two children . anyway , hotel give oss two room connect , quite satisfied . notice smart solution use door different way bathroom / toilet ... quite agree other reviewer here . suggest improvement shoud internet access varied sandwich spread breakfast . we would recommend hotel tip buy Londonpass travelcard explore London . 
 Jul 23 2009 	 Less expectation 	 book hotel find availability Swiss Cottage Holiday Inn Express . check smooth case Holiday Inns . the room ok size . one light bathroom work . informed reception say would send someone later . person never arrive . the internet wireless service ok - double price internet cafe - fine . however , many time fail start log . need less time , well go internet cafe - couple north end road . our main concern security belonging - especially read review steal good . ensure room service room . although even presence , people clean room hesitate touch wife 's jewelery . breakfast ok well Holiday inn . check take time person handle initially trainee could not manage credit card . finally , get support non - functioning travel adapter - manage get work somehow , thankfully . overall , average hotel . 
 Jul 19 2009 	 expect 	 book room hotwire . get room $ 65.00 night . month book room receive e - mail hotwire $ 100 credit downgrade hotel 3 2.5 star . needless say .... concerned . check breeze ... hotel modern , clean room small good layout . quiet comfortable . the breakfast nicer HI express stay . croissant , choc croissant , bagel , toast , various pastry ... cereal , fresh fruit , cheese , yogurt ... juice coffee item . area safe tell London friend venture onto side road ... need .... W. Kensington tube station 5 minute walk ... much dining area one stop tube Earl 's Court .... ton dining option . would stay ..... yes .... absolutely 
 Jul 18 2009 	 Good Old Typical Holiday Inn Express 	 stop hotel normal West London hotel full ; understand Holiday Inn chain well stop many . hotel good place town , compensate interesting local ethnic restaurant offer great food . the hotel bus route Earls Court tube station ( 10 min ' walk way ) easy find . as hotel , clean , welcoming , simple continental breakfast well " typical Holiday Inn Express " . 
 Jul 8 2009 	 bad experience ! 	 find hotel read hotel review , happy , difficult find accommodation reasonable price London . first , room seem decent , breakfast right staff seem friendly . however , return room next day discover suitcase open clothe place deep inside floor . immediately go reception ask go . reception meet another couple argue hotel staff . guest complain someone steal brand new shoe , perfume personal belonging , staff assure could happen . back room , discover perfume , crème , deodorant after - shave balm go , well expensive manicure set little brother ' photo camera . go reception tell first case hotel . staff say nothing couple rob day . when tell go call Police , staff reception answer Police interested case " priority , may call want " . also tell next morning speak management . receptionist also try make we believe nobody enter room ( , clean make bed ? ) .next morning manager speak we separate room nobody could see rob . start talk we word " clean service " " ' " . also tell room cleaning , true . try explain situation ( extra 600 pound buy thing steal ) , manager tell responsible anything leave room . valuable – responsible clothe , perfume suitcase . the manager also tell quiet allow tell hotel guest . tell customer deserve know thief operate hotel , ' like make everybody aware , answer " tell whatever want ! " however , make announcement breakfast , hotel staff come we tell suppose tell anyone hotel theft . people make first report Police tell thing . however , Police interested , two theft one day look like coincidence . case still progress , sure never come back never recommend hotel anyone . actually , could find hotel two time expensive – still save buy new thing instead steal Express Holiday Inn hotel Earl ' Court . also , staff demonstrate believe we time person supportive Police officer tell hotel staff right behave way customer . please , careful staying hotel make sure thing ' want steal time , hotel responsible anything leave room ! 
 Jul 6 2009 	 clean thrill hotel great area 	 typical modern Holiday Inn Express 6 floor . room comfortable twin small medium size , clean , tv include pay film channel radio channel . room air condition ( although move room twice find room work AC . management asure normal ) . bathroom shower , bath , clean tidy . pillow provide bed comfortable thin . ask reception extra pillow like pillow height , ask soon get , , run extra pillow - obviously people think ! hotel quite busy road room double glazing keep room quiet . good area , good fast food place ( quite turkish food outlet ) never feel unsafe . transport : tube station 10 min walk away bus stop 2 min away . also onsite parking hotel around £ 15 per day . the hotel close Earls Court exhibition hall . breakfast good continental style ceral , juice , coffee , toast , james , fruit , pastry , etc . 
 Jun 30 2009 	 great bargain thoughtful staff 	 recently decide take two grandson ( 10 12 ) visit London . due age , decide book two room . find tremendous rate ( bit $ 50 US dollar room ) line . although location room guarantee , email hotel week prior arrival request connect room . upon arrival , book nice pair connect room . US standard , room small expect . however , room well equipped ( coffee tea , soap shampoo , etc . ) clean . staff friendly helpful . breakfast buffet bountiful godsend couple pre - teen . save fortune food . not fancy , certainly typical british fare , perfect kid . find plenty eat also . the number ethnic restaurant within minute walk remarkable , unfortunately , grandchild zero fish chip , pizza , chicken establishment ( many . ) neighborhood little & quot ; rough around edge & quot ; never feel unsafe . the area really convenient due number subway bus stop . use West Kensington stop nearly every day district line quite convenient tourist destination . one thing wish someone would tell buy Oyster card kid not need child 11 long accompany adult Oyster card . addition , old grandson could travel day one pound voucher long we . travel kid , get oyster card check age limit free subsidized travel kid . overall , extremely enjoyable stay . plan return future . 
 Jun 23 2009 	 absolute steal Hotwire $ 49 night .... 	 Wife recently stay Holiday Inn Express Earls Court 2 night part long London weekend celebrate 10th wedding anniversary . we book Hotwire pay $ 49 + fee night ( $ 63 total £ 42 ) Friday Saturday night London , bargain opinion . interesting read much other pay , must admit scare people willing pay £ 100 + Holiday Inn Express . would always recommend look Hotwire first help Better Bidding , able determine property likely offer . anyway , happy £ 42 anywhere London get Holiday Inn Express Earls Court make we even happy . despite indifferent comment transport link , really decent place stay . West Brompton tube station 7 min walk away , can not bother walk , bus stop around corner hotel whisk towards station ( beyond Earls Court ) minute . great location . check slowish , help two lady query bill ( also pay £ 100 + night gather ! ! ! ) sort check room . lift quick , look onto street fun thing . the room small , par course London really . modern , nice firm double bed sofa bed well . bathroom clean , seperate toilet area / door shower sink . nice . Breakfast include always case Holiday Inn Express . continental breakfast lot bread , roll , yoghurt , muffin , cereal juice / hot drink lovely way start day . staff attentive always stock item run low . one word warn , try avoid 9am-10am seem busy time breakfast , despite lot table , fill quickly . go back room second morning come later busy . Location already mention especially transportation link . worth point countless newsagent , fast food restaurant , full service restaurant pub within short walk away . alternatively , hop bus Earls Court ( even walk ) along road ( Earls Court Road ) near station countless option also include O'Neills , despite chain , offer cheap food day . I really not think go wrong hotel , although slightly central London area reach fairly quickly bus tube . Victoria example 12min , get West Brompton hop train . I would definitely try see get hotel via Hotwire save bundle . rack rate price quote review steep not think hotel would good option price , however , London ... nothing cheap , well apart excellent museum . I really nothing negative say hotel . staff , location , room , breakfast etc , first class , would certainly consider property next visit London . 
 Jun 16 2009 	 Perfect need 	 agree Earl 's Court centrally locate , 's inconvenient mean . two tube station within walk distance bus stop front . neighborhood earth . restaurant pub every type locate within walking distance . everything Middle Eastern , italian , spanish Ethiopian Food . day minimarket south North End Road bank locate . the staff extremely friendly accomodating . special thank friendly Night / Early Morning desk manager negotiate airport cab rate behalf argue we cabby try state different price . special thank weeknight security guard extremerly friendly always let we hour . the room nice , clean , soundproof . the free continental breakfast decent love free ! provide , fresh grapefruit , peach , various kind yogurt , cold cereal , two type cheese , various juice , plain chocolate crossaint , prepacke chocolate blueberry muffin , white wheat bread toast , various jam butter , coffee , tea , various fruit juice . staff always ball never wait long put fresh dish food . internet access bit steep . 4 pound 30 min , 6 pound 4 hour , 15 pound whole day . this hotel perfect need . 
 Jun 8 2009 	 average hotel . slightly price 	 hotel standard Express Holiday Inn . clean room , small mid size . hotel ok overall feel be slightly overprice ( 100 + pound nyt ) . would recommand hotel get rate 50 - 70 pound nyt , pay probably will not get u pay for . detail : need change West Kensignton tube turn leave walk 5 - 10 minute . West kensignton hard get even use District line . get ready lot walk climb stair stay hotel . - 40 minute Heathrow- 30 minute King Cross ( + ) - Clean Room- good room services- fast internet ( expensive ) . ( - ) - expensive - internet charge 15 pound day ( be fast ) - breakfast way bad Holiday Inn ( can not find fresh stuff ) - Location : be far city bad connection . - area nice best- light bed make annoying noise turn ( noise continue half hour least ) - air condintioning silly make strange sound room either cold hot- CANT open windowsI would recommend hotel friend get cheap 70 pound nyt . 's worth . 
 Jun 3 2009 	 would definitely come back ! 	 centrally locate , tube station minute walk away . another reviewer remark area town , boyfriend not think terrible scary . walk back one night near midnight not bother . there number pub restaurant within walking distance , well pharmacie convenience store stock water soda . also internet cafe block recommend use hotel 's internet . 's £ 1 hour oppose hotel 's £ 4 30 min . our room clean bed comfortable . quiet . breakfast adequate staff keep well stocked . the minor drawback would cost use internet phone . want charge we £ 20 activate phone line make single local call . use payphone block instead . 
 Apr 22 2009 	 love experience 	 nice experience stay holiday hotel group.their service nice prompt ... two us share room . go business trip london .... 
 Apr 21 2009 	 great stay good location - clean 	 pay $ 58 / not Hotwire little hotel thoroughly enjoy stay . 5nt end March one night return flight home mid - April . the hotel zone 2 , be little way 5 - 7min walk West Kensington tube station ( turn leave directly tube station head straight see hotel leave ) appear fairly safe , definitely & quot ; picturesque & quot ; part London . however , price fantastic - clean tidy , comfortable bed , good water pressure , capable heating & amp ; A / C , spacious enough room ( especially London ) , reasonably quiet night ( never hear guest , occasional street noise window open ) good continental breakfast cereal , can fruit , yogurt , cheese , juice , coffee , milk , pastry , muffin , apple , toast , selection tea roll - even pre - wrap muffin rush ( serve 7 - 10am ) . end though , thing like hotel surround series good cheap food option ( seem hard come part London ) include Tesco , Greggs , decent Thai place ( Ta - Krai ) , good turkish restaurant ( Best Mangal ) , plenty fish & amp ; chip shop walk tube hotel - many place past hotel . West Kensington station nice & amp ; quiet , one short flight stair . be come luggage would recommend transfer Hammersmith ( walk across platform ) . hotel staff friendly , little less knowledgeable desire area , everything pretty straight forward check - in & amp ; simple . & quot ; extras & quot ; include ice machine lobby ( cup ice , bucket ) , hand soap shampoo ( squeeze dispenser ) bathroom tea kettle ( selection , pretty awful , tea & amp ; coffee ) .Overall place steal Hotwire price would definitely recommend ! 
 Apr 16 2009 	 good stay great value 	 internet access expensive . walk 3 block north Internet cafe 1 pound hour , hotel like 20 pound day . bed overly comfortable , pillow good . breakfast well average , wish microwave . 's paper towel wash cloth ? cost saving ? staff good . bar expensive side , far cheap walk Goose . would stay , cheer . 
 Apr 14 2009 	 clean .... 	 first , book central reservation service specific requirement , double - check type room require . book double room get twin ( real hardship ) . however , another guest specifically book family room get twin . hotel fully book family three force make alternative last - minute arrangement . compare hotel price range , find room somewhat small uninspiring . plus side , clean nice touch like blue ' night - light ' bathroom . however , ' find bed particularly comfortable pillow almost non - existent . ask extra pillow inform hotel fully book spare pillow ! helpful receptionist offer extra towel - comfortable compromise least try ! 45 minute electricity room - room next door also suffer ' think payback pillow complaint ! breakfast - include room rate - look ok . however , obviously pick particularly busy time room sit . check early find somewhere nice breakfast Fulham Broadway . all , great visit . ' probably look elsewhere next time . 
 Apr 10 2009 	 good value hotel London 	 stay get great deal Hotwire . read rest review TA leave , let first comment previously post negative comment . & quot ; Sketchy Neighborhood & quot ; -We not find . lively , work neighborhood lot ethnic flair . never feel unsafe go night . eat local restaurant , shop Newsagents market , go local pub . enjoy indian takeaway Guru Express across street . & quot ; Broken Glass Dog Poop sidewalk & quot ; -UHhhhh - nooooo . not see , walk North end Lilly Road Kensington Fulham . & quot ; Noise / thin wall & quot ; -Never hear peep neighbor , hotel pack there . & quot ; Unhelpful Staff , Broken Elevator , Coffee Machine , etc .. & quot ; none find . everyone helpful , everything function fine . we find hotel clean modern . not glitz glam , practical . arrive early , come overnight flight , store luggage we tour around . Checkin time 2:00 . room bit small four us - but aware staying , go hard time find palatial room London unless pay pretty penny . wish room store thing room . nothing could clothe leave suitcase sit floor entire week , really not big deal . room quite compact - it like sleep Ikea store . breakfast great . plenty selection great start day keep we happy go . get busy , time staff struggle keep stocking plate cup , etc . make point get early though , will not fight spot . the location not perfect far right downtown , tube stop front door - but prepare use bus well Tube , great shape . bus stop right front hotel come north . 341 28 bus stop literally front door . come London , get West Kensington , go bus stop right tube station , hop bus , drop front hotel . ( get Lilly Road stop . ) walk around corner hotel ( south east ) bus stop Lilly Road . 74 bus take West Bromton station , stay bus long , take Kensington right past Natural History Museum , Harrods , Hyde Park Corner . stay past , get Marble Arch Baker Street tube stop . if cross road hotel , walk north block catch bus , go West Kensington station 341 28 bus . stay 28 bus , go Kensington High Street ultimately drop Notting Hill Gate , give easy access Central Line ( Oxford Street ) . sure buy Oyster Card unlimited travel . hop anything anytime need wave card sensor . London good public transportation world , imho.we definitely would stay , would reccomend friend . 
 Mar 30 2009 	 Great Value Much improve 	 good point : - nice room ( thoughtful attention bathroom design enable simultaneous toilet sink / shower use , curtain overlap block light ) - good continental breakfast ( include room rate ) - fast internet reasonable pricesbad point : - staff consistently idea find anything London , local park Trafalgar Square ( get direct Victoria Tube Station instead Charing Cross ) ! also idea Oxford / Cambridge Boat Race . good get internet look information ask Tube station.- Air conditioner make room freeze even cold outside , default & quot ; & quot ; instead & quot ; & quot ; - many thing stop work ( coffee machine breakfast , one elevator ) . sure bad luck indicative poor maintenance . Tips- hotel actually close West Brompton West Kensington Earl 's Court , tube actually bit hike hotel . bus 391 stop right front hotel , get stick traffic rush hour . 
 Mar 23 2009 	 good value good location good hotel 	 hotel excellent value Hotwire . locate North End Road - straight walk West Kensington tube stop District line direction West Brompton , also District Line , block Earl 's Court tube Piccadilly line 15 minute ride West end . you walk north End Road street market fresh fruit general shopping / food - Clarks discount shoe store , grocery , indian take - away , fish chip , etc . also fairly close Troubadour coffee , meal , live music . I really enjoy breakfast - 's & quot ; full English & quot ; selection cheese , fresh roll , cereal , tin fruit , yogurt , coffee , tea , etc . staff work hard keep food stock always lot people - enough seat never wait find place sit week 's stay . positive : price locationbreakfaststafflarge room London standardsclean good housekeepingnegative : bed soft spongywall bit thin someone room beside youThe A / C loudI would definitely recommend friend family hope stay hotel future . 
 Mar 1 2009 	 good value London hotel 	 good value London hotel . centrally locate accessible taxi tube . handy arrive car easy drive a4 reasonably price secure car parking . usual holiday inn express basic offer , clean , overly noisy relatively new . 
 Feb 27 2009 	 definitely Recommend Hotel everyone ! 	 obtain hotel Hotwire receive excellent rate . even standard rack rate , feel hotel would great place stay . 6 - 7 minute walk two tube station , immaculate lobby , hallway , room . room bathroom well lay large . staff member provide excellent service friendly ! lift wonderful bonus , walk we really tired . say one negative neutral thing hotel . ever make back London , definitely stay . breakfast plentiful good variety . remember , Ritz- be well ! thank staff member encounter . even let we check early one member party ill . 
 Dec 24 2008 	 not take taxi ! 	 1 . hotel come good value ( $ 59 room per night 2 people ) compare price pay . variety breakfast limit adequate consider include room rate . even cheap Hostel Youth 's Hostel 2 people.2 . bed really comfortable opinion . cheap mattress pillow blanket compare Holiday Inn . bathroom okay . 3 . taxi book hotel extremely expensive . not recommend anyone pay save money hotel ( quality ) spend taxi ridiculous . 4 . location really near tube station little far city center . 5 . noises hotel inside . 
 Dec 14 2008 	 Beware Taxi scam 	 return 3 night stay . previous review note , location bit way , manageable . neighborhood fine - feel perfectly safe walk tube stop 7 min . away . hotel clean , room incredibly small family four . second bed sofa bed pull . literally room suitcase maneuver small space tough . plan spend time room , huge deal , although likely would not choose hotel travel child . breakfast well do - plenty choice well stocked . the primary issue come time get taxi airport . husband request taxi front desk . take city cab Heathrow arrive great . roll small nissan taxi sign , clearly license cab . verify driver cost wary would charge upon arrival . meter cab - clearly friend hotel staff . driver know way Heathrow ( ! ) stop make call direction . arrive , not know terminal drop , make another call , manage miss correct exit passenger drop . end parking garage , lug bag couple flight stair . strange experience . need request cab , verify front desk call city cab . travel alone , would feel uncomfortable get random car clearly license taxi . despite frustrating taxi experience , find hotel clean , economical choice London not mind bit way . 
 Dec 12 2008 	 Excellent Quality ! ! A++++ 	 A+++ stay . relatively new hotel show . hotel room excellent condition feel room modern design . Holiday Inn Express chain opinion one good hotel around spend lot money think design quality albeit small space . neighborhood shop restaurant need meet . breakfast healthy cold cereal , fruit , juice delightful surrounding . next two tube station . lot luggage consider take bus use Earl 's Court tube station . Earl 's Court , even though away , wheelchair accessible . Earl 's Court area also well restaurant . the staff hotel quite good helpful . , find superb hotel . Pseattle1 
 Nov 12 2008 	 Great Value Lively Local Area 	 ( IMPORTANT - HOW get END REVIEW ) complete stay Express Holiday Inn - Earl ' Court , want add 2 cent . I work major international airline come London 20 year . live NY , use come 2 - 3 time year see live theatre visit favorite restaurant . during trip , stay many , many hotel 5 Star property bed - and - breakfast . I ' read many review property , large part , negative thing say critical give value hotel get internet site like Hotwire , Priceline , etc . i 2 issue hotel -- 1 ) in - room safe . safe front desk , laptop , accessory , passport , always prefer private in - room safe.2 ) relative lack quick first - hand knowledge front desk good transportation option to / from hotel obvious . ( later review ) .My first impression hotel good . lively street bus stop literally front door ( # 28 & amp ; # 391 ) . north end Road myriad shop , pub , restaurant Tube Station ( West Kensington ) hotel . within 1 block hotel Chinese to - go , indian to - go , fish - and - Chips to - go . across street Dry Cleaner & amp ; Laundry , door 24 hour market ( 7 - 11 type ) .At night , would problem whatsoever walk to / from transportation area , bus - stop Tube another front door , walk optional Tube station ( 12 U.S. size block ) .The lobby hotel modern spotless . room come continental breakfast consist Apple / Fruit / Orange Juice , 4 type Cereal , 3 type cheese , grapefruit section , peach ( can ) , yogurt , croissant ( regular & amp ; chocolate ) , Danish ( 2 type ) , white & amp ; wheat bread , 2 type muffin ( blueberry & amp ; chocolate ) , Regular & amp ; low - fat milk , coffee machine would love take home make Cappuccino , Espresso , regular coffee . many variety tea butter , margarine , jam round lot . the room modern normal size London hotel nature , expect large resort - style room like Orlando , ' head disappointment . the room spotless . contain double bed , pull couch , desk , tv , Coffee - and - tea maker , small bathroom . bathroom walk - in shower instead tub . GREAT water pressure . far furnishing , would liken hotel - style Ikea . lot laminate design specific ' use ' use space . a / c cold . actually warm extremely rare ! front desk service always smile respond favorably request , although make second call pillow . get : London , many way get around , most - expensive Taxis Car Services . from Gatwick : take train head Victoria Station , get & quot ; WEST BROMPTON & quot ; . frpm walk take # 190 bus Lillie St & amp ; North End Road intersection . walk 3 block hotel . from Heathrow : Start Tube ( Subway Canadians & amp ; Americans ) . 1 line Heathrow , Piccadilly Line . well 2 options—1 ) luggage want avoid step , sit last 2 car train get hammersmith . front elevator . exit station , follow sign Bus Stop " e " — the walk short indoor . escalator elevator bus stop . take bus # 391 - Fulham , take front door hotel.2 ) get hammersmith , cross platform take whatever next train . District Line get West Kensington ( 2 stop - no Elevators station ) . top street catch # 391 # 28 right front door hotel . prefer , walk , ' equivalent 12 block . note - from Hammersmith also take # 190 bus Lillie St. Stop ( intersection North End Road ) , require 3 block walk whereas # 391 take literally front door . you also aware , hotel contract car service . book hotel , tell price upfront , understand likely high meter black Taxi . Stick bus subway ( Tube ) . ' efficient less costly . I speak manager , promise suggestion produce mass - transit guide guest include late night option get back hotel partier theatregoer . for money , hotel worth every penny . 
 Nov 11 2008 	 bad 	 although problem information give we MrKhadija Ali , confuse us tube station , due stop Fulham Broadway practicaly distance hotel West Kensington . information make we loose 45 minute , go Earls Court West Kensington . error ... Mr Khadija . don´t give good information . travel child Sofa bed awful . couldn´t sleep well due bad condition bed . positive : clean , bad location ? ? ? ? ? . basic good breakfast . the positive : Staff . good . specially thank Mrs Lorena . helpful nice . could see Madrid match Barcelona . thank . 
