leave 	 wife leave , find hotel stay renact movie & quot ; leave Las Vegas & quot ; . use one favorite place downtown , 4 year since last go downhill . seem like owner contemplate sellie land tear , strip alot unique feature place away . notice thing 's sister property , Plaza . room dirt cheap , cheap downtown . stay downtown property ( freemont street ) year , bad . room date dirty . back area casino convert makeshift R & amp ; B Club . sport book anymore semi - famous restaraunt second floor . asian theme restaurant coffee bar , be . well choice fremont street . Fremont street , free entertainment offer stay well see . 
 May 28 2009 	 Time warp 70 ! 	 make sure rent car Fremont street extremely boring day . 's whole different experience strip . be like little circus - y area . date fun 's way . room vegas club HUMUNGOUS , clean , staff friendly . south tower , room 511 . quick give we extra pillow , towel , etc . * important * -- like sleep , make sure put & quot ; disturb & quot ; sign door . hispanic monolingual housekeeper RELENTLESS knock yell go away . think hotel good enough price . hotel never seem like many people stay entire parking garage full time . pool , suck , Vegas gambling , drinking , show , food . stay Vegas club rent car .... drive NY NY Cesars park garage ! ! Fremont scary not directly fremont experience cover street , not stray far . Vegas club right action Fremont night time fun . moral story : stay Vegas Club , rent car , experience one night Fremont , spend majority time strip . fremont time warp will feel like twilight zone long . 
 May 19 2009 	 great Stay birthday 	 fiance stay Vegas Club birthday December . staff INCREDIBLE ! super friendly accomodate . upgrade suite , amazing room four poster bed , big screen tv living room , wet bar , fold bed . not need extra bed , defintely worth upgrade . hide gem Las Vegas . 's Wynn Bellagio , want stay people truly friendly stretch dollar , BEST place Vegas . return eat Tinoco 's , new restaurant , food die ! 
 Apr 24 2009 	 UWMutt 	 use regular Vegas Club begin early 1990 's . one time , great sportsbook would bet watch football . sadly , sportsbook operation long . hotel go downhill ever since . current gripe : 1 ) parking - use parking attendant limited use cover parking hotel guest holiday busy weekend . not anymore . , non - hotel guest park cover parking garage might find drive around around look parking space . one time , park Main Street outdoor parking lot walk Vegas Club . 2 ) Ice Machines - two three ice machine locate floor . not know . maybe cut maintenance cost . , stay hotel hot summer month , go hunt expedition look ice machine ... discover ice already take . overall , Vegas Club good value budget minded visitor hotel locate Fremont Street . however , well place stay . , one , long stay . 
 Apr 12 2009 	 Good experience 	 stay Vegas Club find nice . room clean look recently remodel . nice view window . restaurant & quot ; Tinocos & quot ; serve good food nice portion size . staff friendly courteous . casino clean slot seem fairly loose . would definitely saty go fremont street . Fun Place ! ! 
 Apr 5 2009 	 stay Las Vegas club 	 absolute bad place ever stay downtown Las Vegas . we stay Cal , Fremont El Cortez . filthy rug , dust else window mount ac / heat unit . room South tower . 810 . bedding clean would walk bare foot room . hallway rug clean room carpet . one elevator serve 16 floor , repair . huge bottleneck peak time cause . People get third floor go ensure would place elevator go would fill reach third way . understand thing downtown business bureau BBB would let establishment like continue rent room . image downtown , Fremont Street , risk type business tarnish image . understand 2 review read recommend place . ordinary people expect return value dollar . able secure alternate accomodation busy weekend would surely do . even critique form ask desk use paper printer one blank side leave write put critique box . first time vistor Las Vegas stay sure would never consider another downtown stay stay strip . 
 Mar 5 2009 	 awful 	 Dirty , Dirty , Dirty . stain everywhere , sure do not think want know . would stay free . 
 Dec 27 2008 	 little well expect .. 	 husband book trip far advance , several friend state decided join we time draw near . purpose trip explore Vegas use room sleep . last time go stay Strip one expensive hotel swear have never waste kind money again . I little research Fremont St Hotels decide Club perk come package . go expectation low , long clean bathroom clean sheet not expect much . stay North Tower couple friend stay South Tower . highly recommend North Tower . our room considerably large not problem room . carpet little worn not dirty . not problem bathtub drain hot water either , alot review site state . our friend room hand carpet ALOT stain feel abit crunchy foot * * none we brave enough take shoe first time * * trouble hot water , maintenance staff quick respond service call . 3rd night stay heater develop loud squeak , call front desk help , maintenance man come right look . tell would take several hour work would like front desk see another room available . end move North Tower extra charge . the room come coffee pot call front desk see could get one even willing pay little extra . one bring room less 20 minute inquiry extra charge . we wonderful experience hotel casino staff . prompt call extremely friendly . the Great Moments Cafe wonderful menu price reasonable . not overly thrill buffet sister hotel * * Plaza * * convenient price fair . I definitely stay unless Strip hotel drop price will not pay room ' m hardly . Fremont St choice everytime . 's GREAT PARTY ! ! ! ! 
 Nov 20 2008 	 third time 	 stay third time , think must love downtown hotel . we 2 night Downtown choose Vegas Club ( North tower ) .i like , room large enough space luggage . 2 comfortable King Size bed ; room table , chair , tv , even fridge ( great , buy drink / water / oj ABC ) everything need . bathroom little bit small , sink outside . staff bell desk friendly , also front desk . location awesome , step hotel middle action . of course hear Fremont Street Experience , time show weren´t room . like center Fremont Street . pool Vegas Club use pool Plaza relax hour two . in evening great light go . always watch window go . view great , even see little piece Excalibur . 15th floor . casino okay , nice bar casino get cheap drink . the Vegas Club ' large variety restaurant , center , sure everyone find favorite food . would definitely stay forth time 
 Nov 16 2008 	 Lots Fun get pay 	 room $ 18 night not expect much . research get 100 $ rate ( half price ) week stay ! room pretty gross ( one south tower room ) ... carpet stain ( keep sock ) corner room look though never vacuum . ever ... room old anyways bathroom shower surround unsightly caulk gross mildew stain ... guess could ask move not ... maybe little passive really use room brief time sleep bed perfectly clean . good side ! casino small drink plentiful , style . hotel staff nice buffet compe several time decent . really like downtown fremont atmosphere cheap room sort help increase gambling entertainment budget really able whatever want vegas ... 
 Nov 9 2008 	 YUK . 	 disgusting place ever stay . room flithy , tiolet paper stick wall . sink not drain . Carpet make foot turn black . stay many time past never . not care clean room . hotel need complete scrub makeover . price compare complete disgust place . stay . 
 Nov 7 2008 	 DISCUSTING ! ! 	 First all.let say ' m fussy ... long somewhere sleep run water , place without doubt discusting place ' ve ever stay . my Niece husband book , much available.my room South tower , room 803 ... chip paint dresser , cave lamp shade , phone front desk numerous time find time , plug keep fall wall 300 year old clock radio , 6 tv channel not time they . the first morning , niece 's husband come show room water tub full niece shower would drain . they go switch room , mean poor sap go get room.there bottle cap floor bed ( mine , leave ) still leave 5 day probably still there . my first morning , notice pile dirty dish sit outside one room , guess , still leave 5 day .... icing cake ... room Pre - pay niece credit card , get home receive credit card bill , bill $ 112 , , not know ' m still sit wait Hotel return call .... good luck stay may well experience ... would rather sleep park bench , stay 
 Oct 23 2008 	 always choose north tower room ! 	 book room package airfare due price ... well get pay . Yuck . 12 people group 8 we check next day . choosen ask upgrade tell price would $ 15 per night , flat asked tip $ 20 could get upgrade tell yes . one receive upgrade room 12th floor north tower . standard room , little large , bathroom small clean . bedding acceptable surprisingly comfortable . elavator death trap one work . go see rest party stay south tower room 7th floor plain nasty . furniture fall apart , bathroom 70 's maintain . know go sleep question cleanliness south tower room someone find dirty wash cloth tub pair someone else undie next bed ..... couple check night go Stratosphere . casino layout strange bunch dead space sport book kind scary walk back odd type wander . check next day go Harrah 's . decide stay tell check day early . couple provide prepaid receipt spend hour clearing . staff Vegas Club must challenged read department . not mind end downtown choose North tower room , might like Vegas Club rate , would spend couple buck feel safe able deal literate employee . 
 Oct 3 2008 	 horrible 	 fourth time Vegas Club . previous four room always decent one . course 's four season , clean . room disgusting ! bathroom mold top floor , carpet stain , dresser filthy . bathroom floor , hair previous visitor ... entire week ! ! ! far maid service . not get soap either , Walgreens . gave maid nice tip first couple day , since not earn , give less end stay . ' ve many different place trip , get Indianapolis Chicago , go old route 66 Vegas . way Vegas sleep place like Hilton small roadside motel , terrible experience entire trip ! come Vegas every year en never ever stay . next time pay little avoid beee bite bedbug ! ! 
 Sep 30 2008 	 abort ! abort ! 	 stay Sept 26 - 29 , 2008 . room 507 . first , let say not mind & quot ; roughing & quot ; save buck ' ve stay sort place Luxury Hostel . place GROSS ! carpet disgusting , mold shower , plumbing back ( even use shower , would randomly fill water ) . Dresser fall apart . lamp miss lampshade .. oh wait .... 's lamp shade ... make chandelier hang ceiling light ! ! ! never stay . grant , not pay 1 penny place , free travel deal . say - place sleep , be . not looking not need , look something , look elsewhere ! ! ! stay downtown / Fremont area Las Vegas suggest Golden Nugget , nice place spend much time . 
 Aug 19 2008 	 bad trip ever Las Vegas 	 ' ve stay Las Vegas Club many year ( 10 + ) stay twice year Feb. 2008 Aug. 2008 . since Plaza merger thing go progressively downhill .... i.e . 24 hour Diner close , casino empty customer service poor . hotel old be really show late . feb visit fairly uneventful - tv / remote issue , room plasma tv firm bed sofa coffe table pull plus window open . room right elevator behind ice machine 6th , 7th 8th floor north tower - wish have make mental note room number . August 15th-17th trip horrid . note upon arrival desk clerk , Josefina , check south tower room , although , reservation state deluxe north tower room . since person check guest 315 pm ( prime time ) line grow long decide check room question wrong tower etc . walk South Tower room 704 4 second flat . bad 30 year old road side motel horror film - sag bed , bad stench formerly pink carpet stain path pattern door window . walk back wait 10 - 15 minute line Josefina tell reservation not mention deluxe north tower . meanwhile be derelict check 4 bell cart full junk : bag , suitcase box - overflow . wonder room would accommodate stuff . bellman wear glove look pretty unhappyd - check tape . per bellman , would boot Plaza Vegas club taking . digress - Thank god ' ve learn print bring hotel / car / airlineconfirmation , Josefina carefully read page , take call 2 ( person check prime check time ) re - keyed card , room change . next room look well couldt tell deluxe room either - room 1418 north tower two low bed , tub fill knee shower per maid - & quot ; 's old hotel ever intalle plumbing error & quot ; , toilet run flush unless pull handle . ' ve stay Plaza many time well hotel get really bad . go Plaza pool saturday play music bar set . dj 60 - 80 % child play pool include music lyric P * ssy drop thang B % tch . several parent escort child away pool 2 afternoon . never stay eaither property . 
 Aug 13 2008 	 like 	 decide save dollar book south tower room . right check think maybe could get upgrade north tower roomupon check , ask woman could get free upgrade north tower . say already book north tower would not want change south tower . room nicer north tower . keep type say north tower full . hmmmm ... room south tower . room old . carpet stain , bath toilet not seem really clean . tile tub . corner room bad , need good vacuuming . the sink seem clean , look ok . work hair dryer . bed awful . hard kind vinyl cover sheet . sheet clean . night noisy . sound light show band play quite loud room . not sleep well . thank goodness one night . eat . eat prime rib dinner downstairs Binions , good . stay ? find whole place kind creepy probably . 
 Jul 14 2008 	 will not stay 	 stay weekend couple friend . hotel room small old worn feel clean . middle floor hall outside room large bug squish carpet . entire weekend ? casino sparse . location good , dollar save stay worth . recomende . 
 Jul 7 2008 	 need good scrub 	 second time stay Las Vegas Club . know , base first experience , expect luxury would suitable 1 - night stay . time stay book North Tower Deluxe room expensive South Tower . room receive time certainly large last room , however , room far dirty lot old , dry stain carpet ratty , stain bedspread . would hate see lowly South Tower room like . ' m much complainer long 's working bathroom , quiet air conditioning , bed free insect fine . toss bedspread closet , something normally hotel , wear shoe time room . bed comfortable , good enough one night 's sleep . thin mattress pad use mattress sheet make crinkly noise - like child 's waterproof mattress cover bed wetter . experience uncomfortable bed previous stay . not know would stay , pay $ 47 Saturday night , , ' m going complain much . good luck play slot casino . also little show stage set back casino . friday Saturdays 8 pm 10 pm & quot ; Sin City Circus & quot ; perform . gather , talent change week week . time lovely drag queen hostess several fun wardrobe change fun saucy crowd . man perform shadow puppet hand front movie screen neat thing include facial profile Elvis , Frank Sinatra other - two hand . cool . juggler juggle various ball bowl pin theatrical fashion tumble around stage . good bendy man sort gymnastic / acrobatic trick contortion . 
 Jun 23 2008 	 clean great view ... tired 	 stay couple time past Plaza Hotel across street , think would recon Vegas Club favorite place wife gamble . book , two night , Deluxe Room king bed find room 1426 terrific view city swimming pool California many story . quite honestly , little reinvestment room would great , say $ 2k . quite happy spaciousness room , quiet despite right elevator , able small refrigerator 4 - cup coffee pot ( pouch coffee fit 12 - cup pot ! ) . could really use new carpet , new mattress , clock work alarm , periodic clean window exterior , sink plunger work , additional television channel someone might actually care watch . shower , great people 5 ' 6 & quot ; , fine . room couple chair couch well , not exactly high end serviceable . know , get pay inexpensive . would stay . pay deluxe suite plus nice dinner two would pay average room strip , not quick access lot casino quickly . btw , take Vegas Club 's free show weekend ... be pretty fun . also , another reviewer take lot room picture influence try Vegas Club . look , will give ya idea expect ... although not checkboard pattern tile . 
 Jun 19 2008 	 Good Night LVC 	 make solo trip LV stay first time LVC Tuesday , June 10 . 10th floor South Tower . view good . room clean though could use TLC . shower air - conditioner fine . check quick staff friendly helpful . elevator fine . casino busy drink service good . really complaint -- well worth price . would hesitate stay . 
 Jun 18 2008 	 Father 's Day Weekend LV Club 	 stay Las Vegas Club June 12 - 15 , 2008 . room North Tower , 626 . ' ve stay LV Club numerous time always find guest room clean . decor bit tired .... exactly north tower build 1997 ( stayed open . ) can not beat room rate get nice clean room comfortable bed . carpet circa 1997 cigarette burn ( even though sixth floor & quot ; nonsmoking . & quot ; carpet stain also , appear clean . bedspread 10 shade light drape due washing year . room super cold .... 68 degree check . ' ve always find room comfortable temperature , winter summer . LV Club new & quot ; Sin City Circus & quot ; lobby entertaining . free several acrobat Europe perform . & quot ; EMCEE & quot ; grossly tall drag queen camp audience . & quot ; & quot ; obviously man , nice & quot ; womanly & quot ; figure entertain . problem gay people / drag queen , might find offensive . , after - all , Las Vegas ! Lighten ! want 4 * hotel , not stay LV Club . , want clean , reasonably price room , would say give LV Club try . South Tower room dumps , make sure get North Tower room cost ! enjoy ! ! ! ! 
 Jun 18 2008 	 bad get discount rate 	 stay discount rate hotels.com . old property right next Fremont Street experience . elevator shudder move , stain toilet , clearly see well day . , consider worth money would stay . 
 May 30 2008 	 well expect 	 stay memorial Day w / e Sat . check . got room quick think . South Tower 9th floor . clean comfortable room . upgrade suite final 2 night 16 floor fantastic . elevator quick Staff helpful . definitely stay 
 May 13 2008 	 get Lucky Las Vegas Club 	 give Vegas Club high excellent really great . arrive Saturday NASCAR weekend terrifyie going get terrible room like last available since 400 odd room hotel . well reserve North Tower Room check room ready would wait load ALOT luggage bell man hold decide ask Suite deal . happen large Suite entire hotel take 1/4 entire top floor hotel floor ceiling window throughout suite . room 1519 north tower . yes two elevator work get we quickly enough issue . place super small u can not get lose long walk . eat great moment cafe twice food excellent . french onion soup die chicken pot pie enormous tastey well . indulge first itme Fried Twinkie sound gross incredibly delicious . avoid deep fry Oreo 's good . ok Suite 3 Huge Bathrooms full size bar , giant big creen tv 's bedroom living room circle couch dining area 8 people tub fit 3 shower fit like 15 people huge . high ceileing great . front desk friendly housekeeping great prefer maid stay room sometimes do not listen never bother , except hall ask could give supply gladly accept generous tip . roll away bed need Guy friend stayed deliver put outside room request . appriciate attention detail . yes place newest hear horror story south tower , nice personal service not get large casino anymore . call Elmer favorite Casino host today set three night regular room end May , follow great review . far winning far cent hotel play $ 5 slot $ 10 spin . little disappointing faith luck well next time . also stay coupld night golden nugget eager compare hotel . I ve stay Four Queens ok bad , Fitzgeralds YUCK room love gamble good luck , Fremont well far average room nice . can not compare vegas club yet since Super Suite beautiful old vegas I ve stay suite MGM almost suite include terrace suite side buile . palm playboy penthouse suit amazing , hard rock suit nice , even old school groovy suit Sahara . Vegas club definetly one top 3 favorite . enjoy photo 
 May 13 2008 	 Good Location 	 mother stay Vegas Club 2 night . book north tower deluxe room , go check , not available . end north tower room front desk send coffee pot refrigerator . room large clean . 2 queen bed , table 2 chair , iron , hairdryer . separate area sink , right next bathroom . bathroom tub / shower . thing not like get elevator , walk way casino dark , many people around . casino play lot 70 's 80 's music , like , slot pretty good . staff also friendly . eat cafe hotel good . 
 may 8 2008 	 great place stay budget 	 stay last weekend April 2008 , finicky person cleanliness , Vegas Club outdid area . it old property famous Fremont Street Experience , room clean great view downtown Las Vegas . ample parking available , room spacious , bed comfortable seat area nice touch . individually control heat / air ( unlike place one big , huge window unit ) sufficient closet space traveler . the casino small compare big name property ( Binion 's , Golden Nugget , etc . ) 's make nice . 's crowded time 's plenty room get around without crowd in . dining consist small restaurant , really good food affordable price , small sport bar , ice cream stand main casino bar . you be far various dining shopping venue be right start Freemont Street Experience . overall , price pay , nice place . would definitely stay . 
 May 8 2008 	 Loved Vegas Club ! 	 not fool review . Las Vegas Club Hotel & amp ; Casino really nice place stay Las Vegas . be far enough Strip quiet yet easily accessible car bus . yes , old property , room stay ( North Tower 1217 ) verty spacious clean smell bad . dining limit small restaurant sport bar , be walk distance several buffet restaurant Fremont Sreet Experience . I would definitely stay next visit Las Vegas . 
 Apr 30 2008 	 Las Vegas Club 	 Weekends Vegas strip hotel jack - up rate think would save money stay downtown hotel . find Vegas Club hotel average rating . hotel old room like Holiday Inn . room fair shape clean . great hotel clean cheap Friday night . lobby smell smoke . need change carpet hotel . would great investment hotel . other consider future staying weekend Fremont Hotel Four Queens Hotel . casino seem nice Vegas Club casino . 
 Apr 19 2008 	 Nothing special 	 website bit difficult navigate . price weekend really cheap , average $ 50 night taxis double . stay North Tower . room decor roughly like motel price range . good wi - Fi access , outside company bit pricey . food restaurant nothing exciting , reasonably price . casino usual selection game , notably single deck hand - deal Blackjack . parking conveniently locate , space open . park sister property across street several occassion . location great access begin Fremont Street Experience , block i-15 , also Main Street get Strip ( three four mile away ) simple . it be clean place sleep , price , great value . 
 Mar 31 2008 	 North Tower Rooms great 	 reading review online elsewhere , book ( 2 ) North Tower room March 2008 . rate great , $ 40 mid - week , room floor north tower renovate recently room SPACIOUS . bed ok , little hard taste rest group like . overall , experience good cared room much casino . casino kind slow sparse , that s expect downtown Las Vegas mid - week . overall , good value basic room . would book . 
 Mar 25 2008 	 great stay 	 room old location excellent . Greater Moment Cafe great service food . casino staff friendly . check breeze . problem one elevator work . overall great stay . 
 Mar 24 2008 	 cheap way stay 	 stay hotel casino locate Fremont Street Experience 3 weeknight end February 2008 . room $ 40 / night . give upgrade North Tower read travel website & quot ; newer & quot ; , & quot ; big & quot ; room . room big , outdated ( e.g. , bed uncomfortable , stain couch / chair , hole upholstery furniture ) . plumbing also less desirable . 9th floor , every shower run water 5 minute would warm . turn tap wait tub drain ( approx 2 min ) could begin shower . end 10 minute shower inch water bottom tub b / c drain slow drain due clogging . deny cheap - perhaps get pay . eat great buffet across street Vegas Club 's sister hotel - Plaza - eat hotel . street clean safe nightly entertainment plentiful . $ 5 purchase 24 - hour bus pass Deuce make way & quot ; new & quot ; Strip Las Vegas Blvd South , nightlife Fremont St. great well . 
 Mar 6 2008 	 Love location 	 try downtown Vegas one time , decide stay Fremont Street , really cool . hotel corner great , really convenient location , close everything . walk everywhere . friendly staff part . one manager front desk rude , , everyone really nice . problem , switch room . one room leak toilet carpet soak wet smell like sewer . ask another room get a / c break room 100 degree maintenance guy come right fix less 10 minute . uncomfortable bed , ice machine except one 16 floor . restaurant way expensive , casino small , construction do inside casino entire time . parking garage full night take forever drive around find spot , one night valet watch car nowhere park . room old , dirty floor , tiny bathroom , barely work tv , wallpaper peeling . aside actual hotel little scummy , location , staff surrounding make . not think would stay particular hotel unless north tower , stay south tower ( old , gross one . ) 
 Mar 2 2008 	 ok price 	 stay Las Vegas Club Feb 16 - feb 21st . free room two night . always upgrade north tower room . large room quiet . really need remodel , new furniture , bed , safe price oh well . finally add blow dryer , iron board iron radio clock . love casino take everything back except game encounter alot homeless scary people . even stole husband jacket one night . security say could afford additional security back watch people ............. price definately stay . get home free night offer mail already June . do not expect 3 star hotel . 
 Feb 26 2008 	 complaint Las Vegas Club 	 say get pay , be true . price , not expect new carpet not get . bummer coffee maker ! stand pretzels coffee accross gift shop . stay last weekend put North tower , not haggle pay extra . room large , seat area past bed , couch 2 chair spread window . 9th floor view California Hotel Casino bit Main Street Station Hotel Casino . slot ( Las ) Vegas Club loose tight rest Fremont street . overall , complaint stay . 
