ok 	 clean , comfortable . choose area O2 arena , although 7 minute walk Waterloo . sightseeing , good area . room comfortable , although wake Saturday morning 08:40 house cleaner see room ready clean ! ( bit early ) ! . check in / out fairly fast , although load people . breakfast good . major problem elevator . 3 whole hotel . luckily 3rd floor staircase , otherwise could 1/2 hour wait lift . staff professional . many London hotel , not like fact pay internet access . 
 Oct 29 2009 	 Central Location 	 stay five night half - term child grandchild . great central location easy walk eye aquarium along south bank , westminster bridge Houses Parliament etc . helpful check staff , nice room mini kithen sofabe siting room . view eye big ben . adequate bar . use restaurant gym . only downside open indoor balcony overlook central attrium . Looked feel dangerous top prevent we sit restaurant case anything fall eleven floor onto we - surprise health safety /buidle bylaw allow design . 
 Oct 25 2009 	 plush hotel stone throw London Eye Southbank theatre 	 stay night January , upgrade gorgeous suite mix booking , staff friendly helpful , room comfortable , clean modern , super bathroom , lovely kitchenette fridge . breakfast fantastic , could eat really good quality . not normally go hotel rather pricey totally worth short getaway London shopping theatre ! ! 
 Oct 21 2009 	 Perfect location clean modern hotel great service 	 hotel locate close Westminster London Eye . touristic sightseeing bus stop nearby , well Waterloo tube station . on arrival upgrade executive 12th floor extra payment ( think 45 pound per day ) include breakfast use vip club . view room like post card : Big Ben London Eye . room across elevator , hear , soundproof good wall , could well floor . could hear lady 's hill upstairs every time would cross laminate section room , big problem we . the room quite large feature modern decor , comfortable bed sofa bed ( son use ) little kitchenette ( coffee tea ) . one night dinner hotel restaurant . duck good , risotto over - salt , complaint make fresh one taste quite good . service restaurant good . however buffet dinner look exciting . vip club nice addition view breakfast . anytime 8 pm drop cup coffee tea , bite fruit muffin . 6 8 pm go pre - dinner drink snack . breakfast vip club well , keep mind , space limit table quite small . Sunday quite crowded ( though , restaurant line quite large well ) . 
 Oct 16 2009 	 Different Hotel year ago 	 stay 3 night . staff lovely . hotel location brilliant . stayed year ago check early air con not work nearly roasted . time around hotel new managment efficient convenient . room really nice , food good . much well value money overprice , overrated , unfriendly Marriott county hall 
 Oct 13 2009 	 Great Hotel - Nice New 	 great location close London Eye , House Parliament etc . Waterloo Westminster tube station close by . hotel still nice new feeling though think open 12 month + . room nicely decorate shower great . staff friendly efficient . good hotel business sight see kid . 
 Oct 12 2009 	 excellent location great value 	 London hotel really expensive often poor value , cheap shoddy . look deal hotel . pay circa £ 130 per night plus premium give we suite overlook London access Executive lounge balcony . room price similar local Premier Lodge much well hotel . new build modern hotel . large comfortable well equip room , excellent location bridge Westminster parking £ 10 per day next door . friendly helpful staff busy hotel . could lift . breakfast selection quality excellent . 
 oct 9 2009 	 good choice 	 right behind London Waterloo station , location excellent , long turn right hotel . two minute walk County Hall , Festival Hall area lot bar , cafe short walk Westminster Bridge Houses Parliament . car Park next hotel well . I ' ve stay couple time recently enjoy experience large studio room . nice simple modern furnishing , big tv , Nespresso machine room ( yes ! ! ) , modern bathroom . nothing fussy , sort halfway Malmaison modern Novotel . good lighting working area . really friendly helpful staff throughout hotel - seem enjoy always refreshing . use room service quick tasty curry ( CTM ) . breakfast choice excellent , beware sometimes long wait elevator find queue table breakfast 15 - 20 minute . would first choice next time London . 
 oct 9 2009 	 Park Plaza Hotels well 	 stay previous Park plaza know expect style wise be not disappoint . locate near London Eye & amp ; bank Thames choose hotel escape city madness also change location still close city attraction / nightlife . locate behind Waterloo station hotel easily access train st & amp ; tube station . actually walk city plan evening , luckily nice sunny evening escape rush / madness get travel tube . go see show saturday night eat hand find nice local italian evening meal . find hotel offer like first vist sister hotel July eat outside hotel . menu hotel resonable ( guess ) hotel know would nice fancy italian see place across road near County Hall self & amp ; London Eye . the staff friendly hotel helpfull make pleasant stay mixed nice style hotel offer . we room view except roof Waterloo station problem , nice spacious room . strange walk directly bedroom front door living room back hey , give nice room include bathroom bath seperate shower . kitchenette everything need fancy night ( ideal budget stay ) imagine room facility . nice Park Plaza Hotel relax break great buffet breakfast hot & amp ; cold offering . build opposite new addition chain roundabout , Park Plaza Westminster Bridge look huge outside . maybe stay open . 
 oct 8 2009 	 modern interior design clean close major attraction walk distance Big Ben 	 eight year old twelve year old . suite big enough we , special price , good choice family teenager . sofe change sofa bed night . also staff nice come set bed , provide we extra two pillow comforter . really like modern design building . hollow center way roof . ride elevator , see floor restaurant . interior design suite nicely design . especially like bathroom , spacious . coffee machine refrigerator also cleverly place . welcome kit child nice , kid enjoy spending coupon bar . the breakfast include hotel room price , pay english breakfast pretty good food . please take time go basement bathroom , sink inside cool ! ! ! overall , nice holel . highly recommend . picture see website exactly get , room nice . 
 oct 8 2009 	 Nice location Quite modern 	 hotel start Trafalgar tour Europe . previously stay Mayfair section London , like . hotel Westminister area love area also . train station within two block , also large selection place eat shop . Jubilee Walk within two block quite marvelous . could see London Eye 7th floor room . oodle thing see within mile walk . hotel nicely modern staff helpful . would definitely stay . 
 oct 8 2009 	 Nice hotel close major attraction 	 choose hotel location price . find charming hotel near attraction interested seeing . hotel easy get airport . staff terrific . buffet breakfast good price . overall nice hotel . would stay . 
 Oct 7 2009 	 nice hotel expectation 	 stay four day hotel , two adult two child , pleased . nice , clean big room , layout & quot ; separate & quot ; bedroom addition small & quot ; living room & quot ; practical compare hotel ' ve visit . bathroom big shower tube . meet service minded staff , reception , restaurant , clean . large area breakfast , show table within second every day . hotel situate 5 min walk Waterloo underground , 2 min London Eye . lot taxi pass , transport problem . gladly stay hotel , 
 Oct 7 2009 	 comfortable stay 	 Stayed Trafalgar tour Sept 2 night way Europe . small room comfortable clean . bad breakfast Europe . walk distance alot great place . 
 Oct 6 2009 	 guy lifesaver 	 wife stay mid Sept ' 09 , two young child . simply put , staff hotel terrific . way London stay Park Plaza , check Heathrow onward journey USA , wife notice passport miss . rang Park Plaza front desk , immediately someone housekeeping go check room . housekeeping find passport cash have accidentally leave behind hotel safe . time go back fetch passport would miss flight , discussion , decide course action cabbie bring airport . concierge front desk tremendous : put cash document seal envelope , get cab persuade driver carry package us airport cash delivery , call give license number mobile number cabbie . also take time verify wife 's passport deliver rightful owner . blow away initiative , honesty urgency show guy fix dumb mistake make guest , really problem solve . make flight couple minute thank ( cabbie , make trip less 45 min ! ) . besides excitement , rest stay comfortable . stay studio bedroom living room , microwave , sink coffee machine . pretty convenient kid . bathroom modern shower bathtub ( great dump kid ) , pretty spacious . standard 10 sq ft drippy european bathroom . living room sofa bed , glass front floor ceiling . have request high floor put we level-11 . view pretty nice , get eyeful firework Thames river festival couple block away . sunrise pretty spectacular room , fringe benefit jet lag : ( . bit concerned wait time breakfast lift , go previous review , neither problem . breakfast great , three day , wait long couple minute , though dining room pretty busy . hotel general , include dining area , clean , staff help we whenever need . term convenience sight , hotel 's locate across river Westminster Bridge , couple block London eye , block waterloo station . nice restaurant vicinity : cut 15 min walk away , south bank Thames . could also walk one river boat embarkation point take boat ride . , great place stay , explore London . boy , staff really shine come little crisis passport ! ! 
 Oct 4 2009 	 Spectacular view modern clean spacious 	 stay penthouse top floor spectacular view London Eye Big Ben . hotel locate next Waterloo station , still quit inside double window . impressed size apartment . sofa good . king size bed nice . get double duvet change single duvet . two bathroom nice , miss shower second one bath tube . free internet access include . 
 Sep 29 2009 	 bad service ever ! ! ! ! ! ! 	 stay Park Plaza County Hall , London 4 * hotel one night 19/20 September - disappointed ! ! ! ! ! ! ! email hotel book enquire theyhad twin room – tell reply , proceed booking , confirmation email say room would ready 1400 hour , fit plan appointment book 1500 hour . on arrival hotel 1350 hour , tell one room ready would come back 1400 hour room . point double check twin room tell hotel double room . ( disappointed , specifically ask prior booking ) decide drop bag room drink bar . arrive room find room fact ready , still await clean . go back reception advise Receptionist , apologise changed room . we go bar drink whilst wait - £ 48 6 drink ! ! time 1410 ask two room , tell still ready . inform Receptionist leave 1445 order get appointment . give we two alternative room , one turn double bed room , go back Reception ask room change . receptionist quite rude , inform we book double room . disagreed say could provide original email hotel inform twin room ( POINT BOOKING ) . reluctantly change room yet tell we sofa bed would make 1700 we use room . after mess around 1445 able get room therefore could make appointment 1500 cancel , attraction open year disappoint miss long time planning . on return hotel 2300 hour , two party get 9th floor , noticed smell food microwave – inform party arrive 10 minute later room 12th floor , fact microwave fire alarm sound floor . smell overpower wait return room . then 0545 general alarm sound hotel short time stop . party decide early breakfast plan . arrival breakfast area , everybody else must plan queue . hot English Breakfast fact hot – lukewarm lucky cold unappetising – leave plate party table . we stay Europe last 10 year party travel group , first time stay ' luxury ' 4 * hotel ( suppose celebration 10 year ) first time stay UK . never disappoint – well service well food 1 – 2 * hotel . admittedly room hotel excellent location close Waterloo Station service appal food inedible . 
 Sep 26 2009 	 amazing fantastic wonderful modern cool hotel ! 	 fantastic hotel , min walk Waterloo train station , London Eye Westminster Bridge . modern hotel friendly staff , great room lovely breakfast . could not ask , high standard hotel . would certainly go back recommend . 
 Sep 25 2009 	 FANTASTIC LONDON HOTEL 	 sister stay hotel one night take London show . probably good Central London hotel stay . staff friendly polite get upgrade suite £ 45 we include use exec . lounge , free bar 6 pm 8 pm breakfast think really good value . hotel really modern clean . would definately stay hotel visit London future 
 Sep 21 2009 	 thank memory 	 usually use hotel business occasion travel pleasure hope positive business experience would justify use hotel leisure . completely correct , hotel well situated , service staff excellent overall excellent experience . studio room superb need , room clean tidy extras require . this hotel highly recommend certainly valuse money 
 Sep 18 2009 	 amazing stay ! 	 stay two night one penthouse suite - view amazing ! ! whole hotel get right - smart , contemporary do style sheer good taste . location superb - 3 minute either waterloo embankment tube - view - lie bed overlook Big Ben , River Thames London Eye - London seem we ! staff team really friendly welcoming - could not enough us - stay London , look great hotel . 
 Sep 16 2009 	 recommend staff 	 Living Germany military officer , bestow many dissapponitment personal professional . time around , Park Plaza County Hall provide wrong staff like Jason Davids . think lose property mine taxiin August , lose hope . I decide call hotel meet colleague friend . call Parl Plaza County Hall speak Jason . give information heavy questioning , find property leave Park Plaza County Hall . informed would pick 12 pm due flight problem , unable pick specific time . recommend taxi drop iten past experience go let go road agian . offer drop hotel base charge finish shift , , , . leave concierge hotel . call Park Plaza County Hall day call say thank everything do . go beyond . 
 Sep 14 2009 	 Great Hotel ... Great Location ! 	 quite impressed hotel recent 2 - night stay . room modern clean . separate sitting room huge window overlook Waterloo Station nice , except couch cushion kind hard . bedroom comfortable , pillow soft ( prefer firm pillow ) .I could not ask well hotel location , especially reasonable rate . main attraction within walking distance . get hotel Heathrow also relatively easy . take Heathrow Express Paddington Station ( 16.5 GBP ) catch taxi train station hotel ( 17 GBP ) . would little cheap use Tube Paddington Waterloo , come 11 pm not want deal Tube late night . decide take taxi way to / from Heathrow , 55 - 60 GBP . 
 Sep 6 2009 	 convenient Waterloo 	 book hotel AAA rate 85 GBP 2 night . good location sight , convenient Waterloo luggage . stay pre cruise drag bag around block avoid step , exhausting . train also crowd . hotel modern , close LONDON eye walkable Buckingham Palace , Westminter Thames River Cruises . get good rate go . 
 Sep 5 2009 	 nice location London Eye Great Suites 	 get around review hotel , open visit . get great rate open .... $ 100 u.s . love location London Eye site across Thames . glad split time two location , however , could enjoy different part city bit aways & quot ; Museum Mile & quot ; , etc . suite really amazing price- trip automatic lighting , flat screen tv beautiful , modern bath . quite spacious separate sitting room beautiful full - length window overlook Thames . include full english breakfast fair good , love modern look hotel . still work kink visit ( elevator take forever ! ) , ' m sure ' ve work . well worth capture great rate . 
 Sep 2 2009 	 good location nice view illness round 	 review will read pretty much sum stay . rate attractive , family 4 = £ 150+vat favourable , location great , park cheap £ 10 day , food expect albeit pricey etc etc . but , one issue not really get over . on check tell hotel & quot ; fully book . end kind mini suite ; great room size excellent view eye etc . upgrade well receive smell sewage bathroom . 6 year old vomit window air room . fix leave room door open , basically , get use . report time go back room problem toilet finally give we & lt ; see photo & gt ; . end , gag room entry . unable move we give £ 50 rebate bill offer free upgrade next stay , one - by - one fall sick , will not take chance ... 
 Aug 31 2009 	 modern good location great value exec package 	 pro : modern , comfortable hotel nice touch espresso machine.the executive package , i.e . access executive lounge great value , imo . snack ( muffin , coffee ) day well wine snack pm ( olive , nut , pizza - like bread ) leisurely breakfast instead crowd dining room . hardly anyone morning , waiter set cozy sofas , bring egg toast well espresso , etc . con : room bit small call 4 people suite . super small small expect . repeat other ' comment wait elevator pretty long location nice 
 Aug 25 2009 	 good hotel spacious room great location 	 stay park plaza 2 night decide take break usual hotel hilton tower bridge ( great hotel ) pleasantly surprise remain undecided well hotel.1 . great location , close many major attraction , transport link good plenty restaurant nearby2 . clean - room spotless3 . staff friendly - speak english go way greet we 4 . view - perhaps ideal room ( 11th floor exciting view important could perhaps problem unless 13th floor ? however affect stay ) 5 . stay executive suite 4 year old - room spacious ideal 3 people ( issue unclear whether standard room vary size whether pay premium espresso machine etc - perhaps worth premium unless coffee machine essential stay ! ) 6 . children pack nice gesture overall impressed . 
 Aug 24 2009 	 dissaopinte 	 generally staff ok although english staff communication occasion difficult.we 10th floor look waterloo train station [ pleasant sight ] shower break fix maintenance guy , breakfast almost £ 17 pp extortionate bad value . web booking promise child friendly time nothing go , £ 10 & quot ; hotel money & quot ; spend £ 5 bar /resteraunt nothing interest use waste time handing . suite & quot ; sleep 4 & quot ; double bed uncomfortable sofa . forget eat site there s great cafe around corner great menu reasonably priced.whatever do not touch mini bar £ 2 - 50 small ever toblerone highway robbery . 
 Aug 23 2009 	 Excellent tourist location 	 Modern hotel 5 minute walk Waterloo station . embankment like expect ( County Hall ) never less excellent hotel . room , 10th floor , double aspect , floor ceiling view Eye , Big Ben Houses Parliament opposite direction Nat West Tower , tip Tower Bridge , Canary Wharf etc . good size room , facility , ( missing plug 1 coffee cup soon rectify ) bed comfortable adequate . bathroom compact . Shower leak tiled floor soon mop . 3 lift occassional wait . breakfast excellent . plenty choice everything keep top . comfortable bar newspaper available . staff friendly helpful . get cheap rate advertise hotel can not beat . 
 Aug 15 2009 	 great hotel - staff really care 	 city plaza locate behind County Hall Complex near old International Entrance Waterloo Station , ' easy walk Waterloo tube . get pleased upgrade suite " since ' first time we " . suite delightful comfortable bed useful kitchenette include microwave fridge nice lounge . as other say location excellent . book go National Theatre South Bank Complex pleasant 10 minute stroll river side . all staff come across ' helpful friendly seem really care want come back . actually second choice normal London pick City Inn Westminster also excellent . balance would give City Plaza County Hall location though fairness might different stay non - upgraded room . quibble ? yes lift bit slow peak time charge £ 9for internet room bite steep day . overall , though , want modern 4 star functional hotel good location going find many well London especially price . 
 Aug 15 2009 	 good location great room . 	 stay time , apart lift really good central London hotel . always busy staff cope well . food surprisingly good , room well equip despite recent bad publicity tv , room always spotless . 
 Aug 14 2009 	 Nice Hotel Perfect location visit London . 	 back 4 day London . choose hotel close many attraction . small criticism , arrival , affacte room 115 ready , leave luggage come back around 13h50 . time , tell room 115 ready wait additional 30 minute . 14h20 , room still ready ( linen .. ) , tell fact linen issue we since intend go room see , deposit luggage go start visit London . agree give we keycard .... arrive room , room ready Linen nobody corridor imagine room ready since certain time . may internal coordination problem . except , really satisfied staff really pleasant . book , ask quiet room room provide really quiet . enjoy English breakfast ; - ) . hotel well locate , close many attraction . 
 Aug 9 2009 	 incedible Location 	 stay five night two young child . hotel literally right around corner London Eye , Aquarium , Parliament Thames River . little skeptical reading early review , hotel seem respond well . room comfortable standard european size . rate include breakfast , well stocked ; although arrive early well late . staff friendly helpful . upgrade large room upon arrival incredible view river London Eye . tube station close , travel part London snap . Woudl definitely stay . 
 Aug 9 2009 	 Great Location 	 return couple night Park Plaza . arrive early check register detail reception . arrive 2:15pm queue reception horrendous go drink over - price hotel bar ( £ 7 + pint half lager ! ! ) . room originally check must take wait 10 - 15mins receptionist look another room . eventually allocate another room get clean ! return reception upgrade suite straightaway . however find staff extremely helpful friendly seem contradict reviewer experience . room really nice , modern clean . full english breakfast also nice . go breakfast 08:30am first day 10:00am second day queue either occasion seem problem review . find breakfast area clean time table clean throughly re - lay ready . find lift problem either seem niggle reviewer . the location hotel fantastic . give fact be next Waterloo station expect hear noise never hear thing . london eye literally within minute walk Houses Parliament Big Ben 5mins walk across Thames . despite initial glitch experienced get room would return hotel overall hade really good stay location fantastic sight London . 
 Aug 8 2009 	 modern clean hotel excellent central location . 	 stay 2 teenage child 2 day August . arrival front desk staff professional , however , foreign could slightly friendly / helpful . ask need help stay advice locate outside amenity would feel much relaxed first trip London . hotel modern clean standard . not good view tell stay wanted view look towards London Eye etc would happy move we one available , say next time stay ask advance view choice good . room studio room nice quiet . open room double bed , wardrobe plenty mirror . kitchen area next sink , fridge , mini bar , microwave , tea / coffee facility , iron board etc . next living room area double another bedroom ( Settee sofa bed ) . tv internet access fee free public area hotel . opposite kitchen area bathroom modern nice . bath separate shower . living area temperature controller air conditioning . problem room quite dark due location opposite another hotel build block sun front hotel , would rectify ask room look back hotel . we breakfast day extensive selection choice , serve till 10.30am weekday 11 am weekend . breakfast expensive £ 13.50 child eat free worth it . the hotel great location . London eye , Westminster Bridge , House Parliament / Big Ben around couple corner . also , 24hr shop , cafe restaurant . Waterloo overground station hotel near underground ( tube ) station Westminster end Westminster Bridge . also catch boat boat trip Thames . carry bridge Downing St nearby easy make way Buckingham Palace . bridge make nice walk Trafalgar Square etc lot see . go see musical Wicked Victoria would recommend . catch tube Westminster Victoria easy use take couple minute . child 12 use tube free . would recommend visit Soho / chinatown range alternative shop / bar / restaurant , however Soho look pickpocket random people one side street signal friend side tourist think look like easy target . Oxford St massive range shop information officer stop need help / direction etc . London fantastic city beautiful architecture endless option see , make well excellent location Park Plaza County Hall . 
 Aug 8 2009 	 Great Hotel 	 get back couple day London stay great hotel , top list hotel clean , staff friendly welcome pack little boy nice gesture love . breakfast good locality Waterloo save fortune taxi fare . would definately recommend go back . 
 Aug 7 2009 	 good price location free upgrade small problem 	 stay Park Plaza six night July 2009 . arrival find upgrade junior suite excellent surprise . suite really two room , bedroom ( near entry door , oddly enough ) living room . suite outfit decorate subdued hi - tech design two flat screen tv , microwave , iron , kettle etc , stainless steel . view County Hall London Eye ( top anyway ) hotel location , next main road Waterloo Station , room quiet . the problem ? none front desk staff seem native english speaker several wore & quot ; Trainee & quot ; badge hard get check quickly . room not clean one day time return 4 m way 6 pm remind front desk people , however still done get back 11 pm night . email ask location near tube mainline rail station not answer either ( record near tube Westminster , although mean walk Westminster Bridge , Waterloo mainline next door ) pay location , minor quible . not take breakfast option due cost report long queue ( even hotel advise long queue weekend ) microwave kettle room plus daily supply decaf normal coffee tea hotel , need buy box cereal bar Sainsburys , Tesco Marks & amp ; Spencer mini store croissant - room breakfast service next nothing . 
 Aug 2 2009 	 lovely hotel ' niggle ' 	 husband stay hotel wine tour nearby . centrally locate room ( 12th floor ) absolutely superb view Big Ben London Eye . room light ( two floor ceiling window ) also clean modern . bathroom quite small clean . however ' niggle ' . lift system ( three lift ) seem mind work together find wait age lift ( average 15 minute time ) arrive , often full ! Breakfast also let - down . floor table filthy - food drop place table obviously wipe one sit leave another arrive ; also pack wait table ( sign advise people avoid peak time still queue ) . food good all- watery , undercooked bacon sausage lack alternative . the staff reception desk friendly also speak quickly ( foreign ) difficult catch say . the fan bathroom noisy could turn irritating keep we awake . the room soundproof apart problematic fan , room would quiet London unusual generally expect hear traffic noise , siren etc . I would however recommend hotel - good value money overall good experience - thing require attention make well , pleasurable experience . 
 Aug 1 2009 	 Hygienic 	 stay Park Plaze Hotel business number occasion . stay usually stay whole week . every day stay raise issue work carry clean staff room . minor point view , item replace towel , serious note find room dusty ; room contain kitchenette cup , cerial bowl , etc use . surface item keep full dust , area top bed often dust convinced cup bowl wash properly , find still dirty use . example several time find cereal stuck bowl . also suspect sure staff run tap wipe cloth instead put dishwasher washing temperture clean properly . the hotel excellent location , cool modern design , however let seriously room cleaning service . also , make sure allow extra time lift queue ( line ) . alternative use expensive / bad value restaurant , walk hotel entrance , turn leave , walk railway arch , several good restuarant metre along . also , head towards Westminster bridge good japenese style Ramen / Noodle bar . recently BBC publish report hotel cleaning , read : http : //news.bbc.co.uk/1 / low / programme / newsnight/8171324.stmTry Novotel alternative . 
 Aug 1 2009 	 Bingo 	 finally affordable centrally locate place go outrageously expensive London . least case book Easter year . stay five night overall satisfied hotel amenity except chaotic breakfast staging unfortunately not improve time . guest queue long time give table one randomly allocate annex room overcrowd central dining area . apart inconvenience happy enjoy fancy room lush bathroom overall markedly modern proper building feature spot furniture contemporary design . its proximity Waterloo Sation Houses Parliament make excellent pivot visit central London foot . fact rather business people orient hotel suit much well tourist . staff differently friendly , not expect much especially hotel fully book . the SPA section appreciate feature give facility properly work - case steam room . 
 Jul 31 2009 	 Park Plaza hotel avoid 	 think bad experience Park Plaza . see report BBC Newsnight last night point clean staff outside agency pay staff minimum wage . BBC also test room find unhygienic - almost dangerously . want stay hotel exploit staff filthy , disguse room Park Plaza chain no1 list . anyone else avoid cost . 
 Jul 29 2009 	 Great Location great teenager 	 spend 3 night 2 teenager tow . ideal hotel family go studio room , get space . reservation fast efficient unfortunately receptionist english not clear speak quickly . room extremely clean good describe website . not breakfast plenty place 2 minute away alot cheap . great location visit london afield . would recommend hotel family friend . 
 Jul 28 2009 	 sublime view service 	 first doubt hotel , car arrive Gatwick book , soon forget room upgrade . hard find decent hotel child London . the breakfast great , view sublime , service personal large property . we back recommend it . excellent family friendly location . lifts bit problem . 
 Jul 22 2009 	 watch small print 	 good hotel overall , fantastic location reasonable price . aware little problem - see follow send Park Plaza . kThe mini vip offer free child 's movie make mention internet movie restrict £ 1 movie . certainly see restriction understand illegal introduce additional term offer accept . complain front desk basically say rule ; supervisor argue 10 minute offer apply certain movie could produce customer literature say . finally realise go go away grudgingly agree free movie £ 4.95 child 's movie . check follow morning , charge movie speak supervisor agree remove charge . realise incident happen , could give hotel good rating Trip Advisor . go make offer like , make simple straightforward , design trap guest pay movie . 
