Top 	 mother stay weekend , get great deal Lastminute.com . 's fantastic hotel ( atrium area particular quite stunning ) , wonderfully attentive staff , comfortable bedroom literally stone 's throw away St Paul 's . room even view St. Paul 's , although suspect not . small niggle smell paint permeate part hotel bathroom deluge - type shower head , hair get wet every time shower . price breakfast would extortionate ( £ 23pp ! ) discover lovely Cafe Rouge road provide we reasonable option well view . but niggle - whole , thoroughly enjoyable experience . service impeccable friendly , porter reception concierge chamber maid . room pleasant , well stocked mini bar , tea make facility , comfortable bed black blind . bedroom divide across two building , could not comment room main complex , room far enough away hotel bar general bustle noise issue . really could not ask well location - St. Paul 's Tate Modern right doorstep good food option nearby not want pay hotel price . 
 great location - five star 	 stay weekend 27th-29th November . perfect location right beside St Paul 's , , nice hotel glitch . fire alarm go twice first night- apology post say somebody smoke ........ anyhow , reasonable people thing happen . bar busy night atmosphere service slow - major complaint London full good place go . main complaint shower fancy water Sunday morning nearly hot enough- big minus - what s wrong simple efficient power shower ? conclusion - good hotel , five star . staff pleasant , price excellent . 
 modern comfortable hotel 	 well appoint , modern hotel 2 minute ' walk St Paul 's Cathedral . spacious public area . bedroom large well decorate . shower little fiddly , work well . fitness centre advertise , available yet ( although reciprocal arrangement sister hotel 20 minute walk away Holborn . 
 great room great location business 	 price pay hotel , highly recommend ( steal 90 pound per night ) . great location , right next beautiful St Paul 's Cathedral minute walk 3 tube station . low price due fact part hotel build , see hear construction . room new & amp ; trendy , bathroom slightly small , however typical London hotel room . great stay town business . purpose see sight , prepared travel around 10 - 15 minute tube west end area . staff friendly . would stay rack rate . 
 Fantastic Hotel value money 	 great hotel money excellent location next St Pauls . our T.V work , ok sleepy arrive . they send everyone see could fix , could ... manager even come Director phone see could help .... end send we great bottle wine house say pay room service bill , rather large . staff polite really make feel welcome ... apparently open short time . say good luck future & quot ; Grange Hotel & quot ; , go , stay , love . 
 Nightmare ! maybe great day . 	 check - in Nov 27th rude front - desk staff make effort please we . come Paris kind immune staff rudeness big surprise shock hotel London pretend 5 star . despite could visibly see lot people check - out like typical business hotel Friday arrange early check - in . point speculate might relate fact get room via lastminute.com movement front - desk obvious certainly room available time ( ~10am ) .I typical accent work american company speak English every day . even use comprehend every part world lady front - desk show great difficulty understand require listening class give pretension hotel international class business 5 star . the big absurd however yet come . allow rest upon arrival really need rest night . fire alarm rang 6 am cause huge panic stop call reception inform we false alarm . rang 7:40am call reception ( well , think could recognize voice ) … start say inadmissible even allow finish phrase interrupt say would call back check need evacuate . well , write post 30 minute later 6:10am still wait call . differently front desk concierge kind make effort helpfull reason give service rate 2 otherwise would zero hotel average . I see failure rater , bath soak , two towel leave bathroom , etc . all even get via lastminute.com good value money least expect hotel place rest definitely could rest getting stress upset middle vacation . 
 Nov 10 2009 	 London Hotel style value 	 grange St Paul 's new hotel near St. Paul 's Cathedral London . modern design , superb room , well fit furnish . bed bathroom particularly recommend . enter experienced professionalism staff . the street temporarily block Saturday pm taxi could deliver we door . doorman duty aware come meet we help bag . his anticipation indicative service experience throughout stay . this highly tastefully regenerate part London good chain restaurant , cafe wonderful old pub . Access Gatwick Airport could easy . weekday , First Capital Connect train run every 15 min Thamesiink Station Ludgate Hill , 200 metre hotel . our short stay revelation . great part London explore hotel popular City business type ignore tourist . the view St. Paul 's cathedral 7th floor terrace hotel breathtaking . 
 Nov 9 2009 	 overall good 	 Booked rejsefeber.dk stay 5 - 8 nov room 435.knew top secret hotel . it turn hope absolute bargain . room plenty big enough . nice big king size bed . bad pillow - wife think ok . comfy bed . room overlook atrium inside hotel . totally quiet . hear noise night . people , car , nothing . peaceful amazing consider middle London . bathroom nice . well lay modern - black & amp ; white . Giant heat mirror plus light magifying mirror & amp ; powerful modern hairdryer . shower lovely water really hot . Gorgeous Moulton Brown toiletry ( 8 bottle ! ) .Check friendly fast . . concierge friendly helpful . we eat dinner hotel except breakfast last morning - think worth 23 £ . wait staff efficient polite tea serve hot quickly . arcon get temperature want room . overall absolute bargain . right next St Pauls , quiet location , near place eat busy yet within easy tube bus ride anywhere could want go London . luxury hotel , new , modern , clean room efficient friendly staff . 
 Nov 9 2009 	 Fantastic Hotel 	 Faultless check check , room gorgeous , bar service excellent staff great . loved every minute , easy walk tube shop etc , Tate Modern , St Pauls , Hatton Garden , River quiet around weekend . 
 Nov 9 2009 	 Excellent Hotel - Great location 	 stay Saturday 7th November night . great look hotel situate behind Cafe Rouge , pretty much opposite St Pauls Cathedral . Staff friendly greate us smile check . not swipe card sure norm big hotel ? check - in take 30 sec lad ready take bag need help . not pushy way . our room sixth floor , great glass lift overlook huge atrium take floor . room really nice , massive bed two single attach together , not really notice anyway . bathroom nice lot Molten Brown goody ! shower bath water hot contrary review . Sony Bravia tv normal BBC , ITV , C4 , C5 , Sky sport 1 - 3 international station CNN , chinese language programme etc . iron iron board closet along ample coat hanger slipper . Bathrobes hang bathroom door . the view redbrick building opposite look leave could see St Pauls take landscape , impressive . window room pratically whole wall ! get good window blind thickest curtain know mankind block light , need good sleep place get ! ! ! heavy night Leicester Square awake 10 am room still pitch black ! room service engage constantly call reception put straight food deliver within 20mins appreciate 01:30am ! ! ask pool facility . free WIFI throughout hotel nice touch . the hotel surround Cafe Rouge , Pizza Express , Yo Suhi , Gormet Burger Kitchen , & amp ; , Tesco express , load bank , Starbucks , Costa , Cafe Nero clothe , jewellery sport shop . the tube 5mins away ideal access Leicester Sqaure , Picadilly etc etc . I would recommend hotel instant . 
 Nov 8 2009 	 nice modern quiet clean great location . 	 nice , modern , quiet , clean great location . enjoy stay slept well ( always bonus ) . can not help think hotel - clearly not , good enjoy surrounding complaint . staff friendly helpful room unobtrusively check regularly use item replenish ( eg tea , coffee , soap etc ) . 
 Nov 7 2009 	 real luxury bargain ! 	 book direct hotel . pay £ 92 include VAT B & amp ; B Saturday night . find secret hotel last minute site not work properly book direct instead work ! turned hope absolute bargain ! ! room plenty big enough . two single bed lock together make big king size . comfy bed , lovely linen . room desk / dress table big mirror chair sit . also coffee table arm chair . giant window overlook tiny courtyard really see side hotel & amp ; another building - close . 's room view least look outside . many room overlook atrium inside hotel - would like personally . totally quiet . hear noise night . people , car , nothing . peaceful amazing consider middle London . bathroom small annoying way . well lay modern - black & amp ; white . Giant heat mirror plus light magifying mirror & amp ; powerful modern hairdryer . shower lovely water really hot . Gorgeous Moulton Brown toiletry ( 8 bottle ! ) .Check friendly fast . happily store bag arrive morning go day . concierge friendly helpful . eat dinner hotel less one minute walk away Strada , Yo Sushi , Pizza Express & amp ; Cafe Uno ( think ) need pay hotel price . lovely meal Strada . continental breakfast include lovely . husband pay extra £ 8 full English say first class . wait staff efficient polite tea , coffee , toast full english serve hot quickly . Continental buffet & amp ; whilst amazing spread could want . my niggle : open window bedroom . hate feel starve air . room . air con quiet effective find dehydrate however warm turn . secondly table breakfast bit close together . plenty spare would prefer sit close people leave right . ask move ' m sure would fine it . overall absolute bargain . right next St Pauls , quiet location , near place eat busy yet within easy tube cab ride anywhere could want go London . luxury hotel , new , modern , clean room efficient friendly staff . can not find reason say 's 5 star hotel London Travel Lodge/ Premier Inn Prices . 
 Nov 4 2009 	 comfy respect 	 stay mid week begin October one night . like many folk , find lastminute.com . as say overall good . the Concierge good start greet beam smile & amp ; open door I . my husband join later check . ask high floor away lift , & amp ; room fab . 5th floor & amp ; face atrium fine us & amp ; great sleep . generous size & amp ; sofa near window . furnishing lovely & amp ; really enjoy luxuriate room offer Molton Brown toiletry really good selection tea , herbal tea & amp ; assorted coffee & amp ; good selection glossy mag browse whilst enjoy camomile & amp ; honey tea . the breakfast good evident staff want clear away asap closing 10.30am . I fill one ' what think stay ' card much praise & amp ; mention couple minor issue . time get home later day , email wait hotel address issue raise . impressed take time contact promptly . I would stay need St Paul 's area . 
 Nov 4 2009 	 nice new hotel amazing location 	 stay night September get excellent rate £ 100 night . place nice new location stun - right next awe - inspire St Paul 's Cathedral . room comfortable one great shower spray every direction ! Nice Molton Brown goody bathroom . thing could make stay well would window outside ( room overlook atrium lovely mean fresh air natural light ) swim pool ready . small criticism might felt slightly dissapointe pay full price , not ! like , especially location . 
 Oct 29 2009 	 Nice Location 	 stay hotel weekend client . the restaurant food really nice , also staff have not really clue menu & amp ; wine list . the room quiet nice . the hole build location St. Pauls lovely , proper hotel another thing . customer know journey stay , swimmingpool , sauna , Gym .... body tell we , give we information stay . but generally staff nice . especially stay two night bar . two really excellent bar guy , give we nice service , really look we . one also give we explanation history drink , even heat glass one client cognac never see before . one really funny nice chat they . he slovakia guy give we nice explanation drink think germany ( do not look like ) .resume nice hotel excellent environment improvable build two excellent Barpersonalities , 5 star hotel need ! ! ! ! 
 Oct 28 2009 	 well locate new hotel 	 like many get £ 89 soft opening rate Lastminute.com . pleased room , although two large double bed instead one . generous quantity Molton Brown toiletry welcome . room side street view , wonderful view St Paul 's , well inner - face room . contact staff check check , efficiently do . hotel decor lack imagination much corporate business style . would classify 4 star 5 star - feel luxury . conclusion , rate receive bargain brand new centrally locate hotel , think would come pay full price . 
 Oct 25 2009 	 good value £ 89 / night value money full rate 	 book hotel lastminute.com 's top secret hotel , manage get £ 89 per night , absolute steal 5 star hotel ! reason cheap still soft launch phase , open summer , fully open December . this evident still construction work wiring work go , although quiet disturbance . hotel minimalist bland inside , typical 5 star business hotel . staff ok , overly friendly unkind either . roomwise , several great view St Paul 's , sadly many room window face inner space hotel . whole build rectangular donut hollow middle , room window face inward depress mean not get natural light ! room quite spacious cosy , free wire wi - fi internet . room unique shower cabinet jacuzzi - like spray , interesting ! Locationwise really central , question , convenient many tube station bus . will willing pay £ 200 + normal rate future ? probably , well 5 star hotel price London . £ 89 night , bargain ! 
 Oct 23 2009 	 simply good ! 	 book hotel last Minute.com Top Secret hotel , assume 5 * get good not disapppointe . London business either book Hilton Park Lane Mayfair way well . staff friendliest . plenty people reception , other could learn , concierge doorman sound like care , domestic staff smile speak walk - everyone give 5 * treatment without stand attitude common english hotel . great room , great food , great location . make first choice every time future . 
 oct 22 2009 	 stay away inflexible chancer ! ! 	 book stay hotel 24th October last Minute.com number day travel realise could not make due death partner 's family . I understand non refundable booking make last Minute.com 's Top Secret hotel selection speak LM.com say would not mind change booking later date fee £ 20 . sound good . last Minute 's Customer Services rep contact hotel say unwilling switch book another date December . ok understand non refundable booking think totally unreasonable allow switch different date . stay hotel London quite bit happen make sure avoid one ! ! ! 0 mark 5 ' m hundred quid pocket ! 
 Oct 19 2009 	 Articles steal cloak room ... : ( 	 attend conference hotel week October 12th , 2009 hotel clean well appoint , stay marred left computer bag cloak room item steal . hotel make clear responsible ( know ) nothing could do . complain hotel staff apologetic say would & quot ; get bottom & quot ; retrieve steal item , never . never even followd , find unsettling upscale hotel like . 
 Oct 19 2009 	 comfortable stylish hotel within short walk tube helpful staff 	 book hotel via lastminute.com mystery hotel offer consequently get good value stay . the room spacious stylishly fit . mattresse comfortable . St. Paul 's cathedral view whenever leave return hotel . Mansion House St. Paul 's tube station minute ' walk away , Millenium Bridge even close . have problem hot tap bathroom . reception send concierge promptly , get maintenance along within minute . problem could fixed quickly efficiently move another room . problem handle well could reasonably expect , staff always polite helpful . do notice , previous reviewer , hot water hot one morning , couple light bathroom flicker . overall , though , great hotel stay London . 
 Oct 18 2009 	 5 star 	 wife book hotel lastminute.com top secret hotel . take chance travel Lodge/ Premier Inn stay 5 star London hotel slightly high price . frank not 5 star . 4 star hotel stay business would put shame . arrive direct flight Sydney treat russian check - in lady infect something . room comfortable . noise air - con night annoyance . room look onto enclose area offer privacy light room , close curtain time . concierge staff excellent . bar staff mix . senior lady main bar would well suit ' Queen Vic ' ' Rovers ' . wife , sit directly line sight , ignore 15 minute wait service 2 german bar staff . eventually go bar conversation german , choose serve . price pay comparable Travel Lodge fair price considering get , . arrive huge expectation book 5 star , get mostly 3 star money . hotel still construction discover exactly 8.30am Saturday morning stay drill nearby . get deal fine , pay full whack get somewhere else . 
 Oct 18 2009 	 great hotel 	 wonderful stay hotel . stay 2 night think beautiful hotel excellent service .The area little quiet weekend easy access underground mean could travel want return enjoy drink stunning view St Paul 's . 
 Oct 18 2009 	 good modern hotel 	 stay two night , read review book final - minute website . hotel new , teethe tweak , however room clean bit would expect corporate hotel . staff courteous helpful . problem room first night , report maintain next day fix . hotel great location , great view St Pauls . 's slightly corporate rather family traveller . niggle lift ! lot people comment , really slow get floor ! ! ! ! guess 's complain be alright ! 
 Oct 18 2009 	 try somewhere new 	 St. Pauls first choice many travel London . go London 9 night family wedding see London site . location perfect want away busy 24/7 West end whilst still central ( siren night long , drunk etc etc ) area high street restaurant within 100 metre , & amp ; food coffee shop nearby well cathedral doorstep . first day Royal Family St Pauls see Queen etc real plus . area mainly business area much quieter evening . Tate Modern bridge . access underground bus easy . ok walk mainly even far Oxford Street . hotel brand new room great plenty space modern fitting fixture . staff really nice helpful recommend place enough . London would definately check first . family include 18 month old daughter great trip ! 
 Oct 17 2009 	 nice ! 	 lovely hotel , book ubiquitous hotel booking website . lovely location weekend visit . good value weekend ... probably pricey week ! faultless hotel service . 
 Oct 14 2009 	 new favourite 5 star hotel 	 stay London 1 night week business , ' ve try pretty much every 4 & amp ; 5 star hotel be . I 1st visit St Pauls Grange , absolutely delighted hotel walk door . friendly door staff , helpful friendly reception staff , room beautiful - well furnished , roomy , absolute pleasure unwind long day 's work . I impress ' m stay another twice month , always stay assume availability pricing stay aggressive be . I ' ve stay hotel 3 time price less room , service tranquility . yes , large hotel lack personal charm small one - can not everything . think St Pauls Grange absolute gem hotel , look forward stay regularly . health suite finish will absolutely perfect . 
 oct 13 2009 	 wonderful staff 	 husband stay 1st wedding anniversary . great time , room lush , comfy large bed , view St Paul 's cathedral window . bathroom tad small size , hot water luke warm one day shower , however detract enjoyable stay . big hand staff though , superb , friendly make stay comfortable . reason would definitly go back , oh bread butter pudding well ' ve ever ! 
 Oct 13 2009 	 glitter gold 	 Modern hotel , great room . service shoddy find opportunity charge existent service . advise never leave filofax room mistake despite spend close £ 300 make pay postage return . totally objectionable . oh good luck put right person 
 Oct 13 2009 	 absolutely Perfect every way 	 return US four - night stay Grange St. Paul absolutely perfect experience . staff professional friendly without formal . location perfect sightseeing escape busy part London . one - block walk St. Paul 's tube station make get around London simple . the room nice modern interior hotel great contrast architecture area . free internet access huge plus work flawlessly throughout stay . would definitely recommend anyone look luxury hotel London . 
 Oct 12 2009 	 quiet hotel room Lodon . 	 stay Grange St Paul 's 2 night recently definitely visit . whilst minor thing would change hotel overall great stay . moment walk staff helpful could not enough . even manage check - in 10.30am room available we . the layout hotel little strange many room overlook interior atrium find pleasant change overlook noisy London road . suffer Vertigo would imagine problem lift glass , however stair use fine one low floor . great night sleep road noise room dark idea time day wake . side check weather like dress day ! many say wardrobe space , flicker bathroom light fix tv need sort , overall space size bed room great compare stay . mobile phone signal problem get free Wi - Fi throughout hotel fine email / internet etc . we definitely visit grange St Paul 's . good location sightseeing / culture shopping , stay make sure visit Borough Market Southbank ( feast delight food lover ! ) 
 Oct 12 2009 	 london good Hotel . 	 cheap premier lodge - standby room twin double beds- great view St Pauls top service . as Aston owner oblige stay Claridges kid bash wallet choose hotel .The letdown name ! every thing well Claridges perhaps lack soul top hotel - care probably save grand . Nice Aston outside Sunday morning . 
 Oct 11 2009 	 nice theory flaw stayed 	 stay hotel one night go gig London . get last Minute good rate probably not complain , can not help think stay full price ( £ 250 plus ) might want know be perfect . accept hotel finish yet ( hence last Minute deal ) problem can not explain away basis . say , minor gripe - great location , grand entrance etc . , problem : flicker light small bathroom would drive nut stay long night ; teabag ( ! ! ) tea coffee facility ; dark room - especially side room wardrobe etc would use torch find pant ; safe fix 6 foot high , user - friendly ; one whole half wardrobe take mini - bar , tea coffee facility safe , actually much room two people hang thing ; file someone else 's business document room , make wonder care house - keep staff ; cover bed really dirty look like blood stain , probably disappointing ; tv fix wall although two place bed sit room , could not see tv ; hot water not ; noisy fan set every five min night . say , price pay , could not got Travel Lodge room London , probably shut . thing really unforgiveable dirty bedspread . 
 oct 9 2009 	 great hotel business traveller 	 hotel brand new . 's bit soulless , impressive . reviewer ' comment noisy air conditioning fair , though find switch low manual ( rather automatic ) help lot . bed wonderfully comfortable . the view wonderful lot thing nearby include , surprisingly business district location , fair restaurant open evening . absolutely load bus taxi go past , be quick easy reach sort place . I find staff friendly professional throughout . get special deal £ 90 exclude breakfast . central London , remarkable bargain . I would certainly stay . 
 Oct 7 2009 	 Disappointing - terrible vertigo 	 read review Grange St Paul 's high expectation . sadly , not meet . on positive side , room look great ( first glance ) toiletry wonderful - Molton Brown , plenty . staff , part , friendly . location excellent - easy get Gatwick ( although hotel map not point City Thameslink station two minute away receptionist not know station ! ) , close tube number bus route . London business 's great area , close Courts City . free wifi . hotel go . soul - less , people might forgive many niggle & quot ; teethe problem & quot ; new hotel , not impressed . I stay two night husband mixture business pleasure . need contactable major work project , unfortunately O2 mobile phone signal whatsoever . rang reception ask anywhere hotel would signal told & quot ; No . & quot ; apology . end use hotel phone vast expense . information room telephone rate rate either . fact , limited information aspect hotel . free wifi saviour , frustrating not anyway contact people might try reach mobile keep leave hotel check message . would read review not expect pool / fitness suite open , pleasantly surprised see signage room picture rather lovely pool . husband call find pool , tell 15 minute away another hotel ! not mind pool , not please false advertising . we difficultie reviewer room temperature first day . room hot , impossible turn heat fan loud . husband not sleep due heat noise , shower next day room muggy . rectify out . the shower stylish , spout water two level side well generous shower head . unfortunately , control tight hurt hand turn . , problem water temperature plenty hot water . ' m big Molton Brown fan , enjoy product . might bit girly husband though ! people would probably love modern design hotel , find lacked character . guest room build around large atrium . may well room look , room face atrium , find claustrophobic . look straight across room opposite light , see room . vertigo fear height , lift glass reach walk frosted glass walkway . mean feel nauseous dizzy every time go room , reason alone never stay hotel . niggle include : big flat screen tv great - fix can not angle watch sit sofa . housekeeping not great - bed badly make , cushion throw onto sofa instead replace bed coffee milk not replenish . while room new , already look bit tatty half light bathroom either flicker work , 's flake paint wire hang outThe room dim , badly litThere sort odd noise similar tannoy turn time time wake we nightthe safe high easily reach someone height ( 5 ' 2 & quot ; ) rely husband use ! not like write negative review , many thing make stay difficult rather enjoyable would disingenous write anything else . 
