identity 	 wedding wedding bell chapel Alexis Park . afterwards go bar hotel drink 3 guest identity steal . one hotel pick phone call call back . place horrible watch bank statement people 
 great price 	 resort clean , room large , stay two night can not complain thing . room $ 100 / night new year eve , hard rock hotel across street great location strip . would definately recommend stay . great accommodation . 
 never stay 	 place old try put & quot ; makeup & quot ; , pretty bad . would pack leave unfortunately book room Priceline prepay . arrive late , around 10:00 , wait homeless guy shuffle sidewalk could pull . manager check counter pleasant enough . ask want & quot ; two small bed one big bed . & quot ; note mention king size bed & quot ; big bed & quot ; queen . room . & quot ; resort & quot ; motel drive around park near room . glad carry luggage stair first floor . call , place lot individual walk around particular destination 10 pm , well , seem questionable . room big kitchenette , sit area ( sofa , seat ) , bed desk . room smell musty 70 call ask furniture back ! story ' m sure furniture could tell obvious see quite bit use . flat panel TV really look place welcome . bathroom , big tub , nice Toto toilet , bath & amp ; body work soap , small aged . shower head must 5.5 foot high . caulk around tub pull apart . bug see wander people outside seem meet 1 am start loud discussion . gunplay though , thank goodness . probably sleep total two hour . next morning glad see wheel still car . yes , feel get place . can not speak ground want morning leave . three star place ? please ! ! ! ! 
 Nov 23 2008 	 Meh ... 	 stay recently conference , can not complain conference rate ( $ 80 ! ) , hotel leave something desire . room clean enough ( aside crumbs couch cushion ) , shabby , way would describe rest hotel . offensively dirty ugly , great . big complaint free wireless , find pretty surprising conference hotel . conference facility fine , strange navigate , previous reviewer mention ; central location access conference area ... kind maze - like . I say , though , aside issue check , staff kind professional . so , short , stay must ( conference , etc . ) , be Vegas vacation / fun , would definitely avoid Alexis Park . 
 Nov 10 2008 	 much interested customer service convenience 	 conference hotel . conference rate reasonable , room large , barren empty feeling . two floor , bedroom upstairs table drawer put clothing . one luggage rack ( much room another ) , one we keep suitcase floor . guide tv station , hotel booklet nearby restaurant , map , etc . one night , question call hotel front desk , use button marked & quot ; hotel front desk . & quot ; keep get busy signal eventually walk reception area . manager tell 's software problem phone eventually fix . not bother call front desk . also , someone previously occupy room apparently wear sequine outfit sequin place , include tile bathroom . oh yes , shower shelf soap shampoo . apparently , expect people put floor . hope one slips process . we stay day conference goer leave , though guest hotel . enter breakfast room , group 15 - 20 man come we , obviously hope hurry breakfast . management decide morning ( without tell guest ) not enough people , open buffet . , not count buffet either ! one waitress incredibly harry . previous morning , second waitress come table ask coffee tea , tell waitress take order . reply one often forget request would see request toast . , waitress never appear near table see get coffee . oh yes , buffet , sweet roll , want toast , ask waitress . people not realize toast option . ( way anyone would know 's necessary ask waitress . ) get around conference room nightmare logistic not connect require people leave one section , go lobby , onto sidewalk surround hotel , enter group conference room ( also barren , freeze someone set thermostat 62 ! ) . thermostat room mind disregard whatever set . sometimes hot , time , froze ( water come faucet ) . food ok , overpriced , price bar beyond unreasonable . also , 's second restaurant tuck way back somewhere , people not know see sign . wonder anyone ever go . really strange place run staff oblivious need customer service comfort . I could go , short , hotel problem , need refurbishing ( sidewalk paint peel , etc . ) get room waaaay one back building , pack lunch 's long walk , long walk , front hotel street . oh yes , despite large conference hundred guest stay hotel , pool never open . & quot ; closed & quot ; sign entire time . people could sit chair around pool . despite heat , not count swimming pool . look elsewhere hotel . far well place . 
 Oct 31 2008 	 horrible conference faciility ; ok otherwise guess 	 first , good aspect hotel : ground pretty , 3 pool nice landscaping . airport noise alot less one would expect -- fact , hotel quiet . breakfast buffet not cheap , varied good . room spacious -- think may all - suite hotel -- refrigerator , sink , microwave . , counter two stool dish flatware , though , bit odd . plastic cup water coffee . big living room area desk tv armoire . the bathroom large clean , provide Bath Body soap , lotion , shampoo . bedroom comfortable flat screen tv . regard tv situation : IWhat point plasma tv offer 8 channel ? be primitive , outrageous thing ' ve see long time : order get movie tv , ACTUALLY call man come CHANGE connection watch movie . , want watch tv , call man come change back ! set one movie tv ? good idea , except living room tv not get movie . stay Super 8s far well entertainment choice . internet also pre - historic . business , conference , need internet . WI - FI HOTEL . bring CORD charge $ 5 day rent one . pay $ 5 day plug internet , prepared move furniture order access plug . use internet bedroom . internet lobby , willing pay $ 5 10 minute ! business center joke ! tiny , dark facility dark corner also showcase place setting cater . cost $ 1 page print black white . conference room worst ' ve ever see . way cramp chair placement , overcrowded room , damp stink mildew , staff help computer / projector set ( provide projector ) , pad pen available . several room access outside hot -- air conditioner break 86 degree outside -- thought would pass . door another room break , people knock let . middle presenter 's talk , workman come fix door , open wide light traffic noise outside , seemingly oblivious fact 40 people inside try listen speaker ! speaker ask come back later ! breakout rooms corridor huge garage door deliver supply . luncheon , table crowd could not get seat . food , however , good . except pie . not bother plate pie , leave uncut , result soon mangle . provide enough group . serve soup , give we knife fork , spoon . stir tea knife eat soup fork . order room service room one night . menu say & quot ; ask daily special . & quot ; . person answer not know . call back 5 minute , say . . & quot ; not special , & quot ; say . order fry arrive , drink order incorrect . provide ice glass soda . key card stop work . would give replacement last name different spouse 's , happen reserve room . wait meeting get back room . think people would enjoy hotel family would want away noise crowd strip could use microwave frig ( provide bring utensil . ) definitely choose place charge choose location conference . 
 Oct 18 2008 	 like apartment Vegas ! 	 arrive Vegas , apprehansive due mixed review place ! happy see plenty free parking rental car- close enough play basically feel like live Hard Rock Casino- yet- problem neighbor airplane landing . stay three nights- each- need maid serivce leave - have fridge freezer- full hotel - provide ice machine pool - clean glassware- run water sinks- use old water bottle refill reuse need water Vegas- matter time year ! buy need nearby Walgreen 's - full local college kid weekends- place put leftover meal Casino restaurant- play 100 point , get $ 50 . meal voucher- good italian food Hard Rock new sign member ! hotel personnel professional ! air conditioning fine- bed comfy . water hot pressured shower . Shampoos leave complimentary . if one irritation without television- channel available- big deal- come Vegas watch tv ? not think ... pool clean- pool deck clean- problem come along pressure -washe it- , live apartment complex , would find similar issues- paid- ( 80 night ) think great deal- family happy here- old folks- singles- alone feel perfectly safe- tell people apartment vegas- jealous- four star resort hotel like Bellagio- two story motel - like clean safe housing play people 's casino visit University ( two block away ! ) 
 Oct 11 2008 	 great hotel 	 stay hotel two night part Trek America tour , get massive discount , can not take price consideration relation actual experience . however , stay extremely enjoyable . camp tent two week , great relief actually bed , not expect full suite double bed , living room area bathroom hot tub ! three outdoor swimming pool , unfortunately never time dip , good souvenir store , well restaurant also never time eat in . the problem hotel 's far walk Strip ( especially night ) , be pretty much forced get taxi . however , be really much , get one around 10 - 12 dollar . overall , satisfied accommodation , would definitely recommend anyone . 
 Sep 26 2008 	 Bad Management ` ` tone top '' 	 manager , David Towill , helpful find room door open upon check . refuse stay room obvious reason – someone may duplicate key room , animal , bug . despite suite available , claim nothing non smoking room small reserved pay , available we stay . sleep small room , David put , " problem " ' want stay smoking room . discuss situation David , another employee laugh foot away . finally get room ( though small ) room ' lock door . hour figure room situation wait another 45 minute someone come put lock door . terrible service . rude employee . room ' worth price . would consider MOTEL resort . ( add massage chair location turn motel resort spa ! clever ! ) would never stay . would never go anywhere David manage . 
 Aug 25 2008 	 always want stay . 	 stay friend recommend . pleased accommodation . not fool outside . room immaculate ! non - smoking mean non - smoking ! room large airy two large screen tv . bed comfortable . good world : convenient strip entertainment , quiet place rest . 
 Aug 17 2008 	 amazingly surprised ! ! 	 surprise great experience Alexis Park bad review read internet . free stay time share , bad case not pay . drive try jusge book bad faux paint job . 1 pm decide let us see check early . get desk lady say could need check open , ask long non smoking not care king 2 queen . find we non smoke king ready check . say great will take ask drive 109 back property car not big deal , offer bell service ride not need . drive around back find bulide 24 go room first hallway nice touch hot . put key door wait smell ciagrette . open door 600 sq ft suite . Kitchentte , granite counter , large living room . bath large jacuzzi tub , bath body work product someone mention , coconut lime hopinh scent would use . bedroom equally large living room complete flat screen fireplace . bed comfy nice fluffy pillow hiding closet large blanket need . try restaurant offer review must say great experience weekend would pay go back . must add clerk upgrade room without we ask ! ! ! ! ! 
 Aug 5 2008 	 good experience 	 stay 2 night part Trek America tour . hotel roon great many night tent ! large , airy , light room nice bathroom . resort 3 swimming pool - fab hot vegas ! ! little far strip eaily walkable taxi back like 12 dollar . 
 Jul 25 2008 	 quiet clean relax friendly ... pleasant stay Alexis 	 entire experience easy pleasant . love staying & quot ; family & quot ; orient , non - gambling , resort , quiet clean , yet close show action Strip . all staff : front desk , restaurant , valet , housekeeping , ready happy help . room everything need . ( Kitchen , living area , bedroom fireplace , even ! nice sized bathroom . ) air condition PERFECT QUIET.Loved pool full - time lifeguard . we will stay Alexis Park sure . 
 Jul 18 2008 	 least get room time .... 	 originally book hotel 7 pm Friday priceline fly Vegas . try check room day book oversell . problem ..... take 2 hour find room us 5 people lobby . mention 2:30 . manager finally show close 5 finally get room Terrible 's ( great name hotel ) . refunded priceline get free night Alexis park . month later decide try . check drove room ( yes drive 's big ) get like go back 1981 , a / c break . give we new room . update actually 2 bad inside . hotel overall quite dated need much improvement . not recommend unless look problem . well Terrible 's though ! 
 Jun 29 2008 	 cell Block Sweet Cell Block 	 son attend dance convention Alexis Park " Resort " June 2008 . arrive 21st depart 27th . read review , would never choose hotel , except fact convention hold . rate $ 99 / night . we arrive around 6:00 pm , 800 - mile drive Denver area . bit surprised registration parking set aside ; eventually park unreserved parking spot northeast corner property . the lobby ok , nothing special , ' expect , give room rate . line ' particularly long , four people work front desk take quite check - in . perhaps explain party ' room type guest request ; know , group ( maybe 20 room ? ) , get double - double ' reserve , directly hotel , month . lack double - double much inconvenience we – couch pull - out – one party group request double - double end two adult , five child dog , share room queen bed pull - out sofa ! check , seek make sure microwave ' request would room . guy desk say could look see happen one , , would probably get one – . point ' request double - double microwave month ahead . ' even apologetic ; say " everyone else . " Gee , know request microwave , ' buy ? month deal little detail , ' sure ' first time come up . the hotel room arrange two long row building , odd - number building east side even - number one west . lower - number building close main building , house lobby , restaurant small conference center . architecture exactly inspiring . outward appearance bit weird - strange faux finish building - building cram together pretty tightly . put cell - block – er , building , 25 , second - to - farth main building . always able park quite close building ; think tend few spot room close front , people use conference facility would tend take spot . down - side make 5 - minute trek back forth conference center many time day , usually 110 - degree heat . anyway , get room , ' bad . true , furniture bit worn – nice split one sofa cushion , instance – little wet - bar nice , apartment - sized fridge handy . coffee maker kind use disposable basket coffee - bag , brew single cup . room quite clean . call housekeeping couple time , ask microwave ( put waiting list , never clear , despite six day ) , ask decaf ( nice man arrive promptly , ton caffeinate coffee , ' need ; return shortly thereafter decaf ' request ) . maid nice , tend turn fairly early day . Bath & amp ; body work stuff bathroom Coconut & amp ; Lime Verbena , Warm Vanilla Sugar , happen two B & amp ; BW scent ' allergic – nice surprise . if ' care , would call maintenance address fact tv quit work ( unless really snow everywhere ) , wet - bar faucet hook backwards ( cold left , hot right – get burn time ) . figure , rent , buy , ' worth call deal maintenance folk . I look room service menu , order . must say price look pretty reasonable , room service price . tend bring grocery , get food Jack Box ( chain ' near home ) . microwave would make quite difference , tell ; get little tired sandwich . we ' attempt walk strip ; way hot walk mile . walk would right , 30 degree cool . as pool , look ok , kid enjoy , ' huge spectacular . one close lobby lifeguard , lifeguard ' anything brag . one ' pay attention kid – glance – seem intent gather use towel chair around pool . ( another time ) downright cranky . one member group get move double / double ( maybe double / queen ) take look around room ; much well arrangement , two bed bedroom separate rest place – like little apartment . even bathroom well ; Jacuzzi tub . room rate $ 99 / night . hotel give we double / double accommodation ' request , would comfortable . I would much happy place ' up - front probability get double - double , get microwave . make reservation , sound like problem . hate mislead . my son back Vegas July another convention . June trip , ' make reservation Alexis Park July trip well , stay Alexis Park , ' cancel second reservation . ' Desert Rose . get great review Tripadvisor , ' close strip ( right near MGM ) , ' even cheap ( ' pay $ 700 8 night ) . one family group stay time , love . drive check ; ' beautiful property . 
 Jun 24 2008 	 Love Place 	 far cheap , hotel offer many amenity service expensive hotel would offer half cost . room spacious , clean comfortable . pool huge island sprinkler center pool refresh visitor . especially love convenience parking car right front room door proximity Las Vegas strip ... practically walk strip cross street enjoy Hard Rock hotel . sincerely perfect . 
 Jun 19 2008 	 two different hotel one roof ? 	 odd read good review - wonder pay full price put nice part , look like part remodel , part seriously not . crummy part . we know would problem , wait check , hear man front we ask different room , THIRD time . like , hotel / airfare / car deal could not really change hotel . we ask front room be disabled , room WA - A - AY back . crack window , break air conditioning , dirty spa , low temp hot tub , staff not care , take 45 min front desk answer , move 3 time well . yuck . strange unpleasant . 
 Jun 19 2008 	 never go 	 take family airport go back home book three room , promise reservation time room would together ... check , one upstairs , two opposite end building .... ask speak manager , say could guarantee person should'nt tell we .... express disappointment say nothing could .... , open door room , clean ..... wait another hour could get ..... maid apolegetic manager .. Manager offer solution ..... inflexable ! 
 may 11 2008 	 Hotel nice conference area smell bad 	 attend small business meeting hotel stay two night . hotel nice meeting place problem . hallway conference room area smell bad , men room . several time day guy walk around spray something like Febreze carpet hallway ! possibly plumb problem ? acceptable . May 2008 . hopefully fix soon . 
 May 7 2008 	 Alexis Park Resort - 	 would actually pay room , would really upset . everything room food beyond horrible , overpriced . choose hotel base word resort , room large spacious , . also fireplace room great consider heater / air conditioner unit soo hard operate . 
 Apr 30 2008 	 Average Stay 	 stay Alexis Park Resort last week April family member 's wedding Henderson . want stay strip could get hotel easily , close enough would not feel far away action . our check - in go smooth . previous review discuss overbooke unfriendly staff little worried . , worry unfounded . front desk staff polite helpful . arrive hotel 3:00pm check without issue . assign Monarch Suite Building 26 back complex . the location room little annoying since back complex . good thing back block room quiet . seem like room toward front hotel always activity around hour night room quiet . plenty air traffic hotel airport , never bother we . there security patrolling complex bike hour day night . feel safe hotel . the room little big standard hotel room . resort bill & quot ; suite & quot ; resort . would not call room suite mean , slightly large standard room would find strip hotel . enjoy small kitchen area build - in fridge . nice get soft drink local store always something cold wait we upon return . the maid service good , back seem like not clean hotel room late day . sometimes would come back room 5:00pm find not clean yet . not impact we much , annoying one occasion not clean towel come back long day strip . the true complaint toilet . first two day constant problem . call couple time first day front desk send someone take look . 3rd call front desk finally send someone fix . drive tot front complex use lobby bathroom couple time wait someone fix . morning 2nd day think fix find still problem . make long story short ... finally fix end 2nd day . never issue . would not keep stay , definitely annoying work toilet 36 + hour vacation . room two air conditioner never problem keep comfortable far temperature . ground beautiful well maintain . three pool look like keep great condition . the bathroom amenitie nice also . hotel provide bathroom & quot ; bottle & quot ; Bath BodyWorks include shampoo , conditioner , lotion . also AXE bodywash man . replace daily . hotel also include small & quot ; Vegas Survival Pack & quot ; include stomach seltzer tablet , counter PM painkiller , toothpaste , floss . overall , hotel would great city . , compare Vegas hotel ( Off - Strip , Non - gaming hotel ... compare strip mega hotel ) average . stay strip another non - gaming hotel would try something else . hotel really gear towards business traveler attend convention tourist vacation . 
 Apr 29 2008 	 remote close airport 	 standard hotel , far away strip close airport . sometimes plane land pass hotel . room clean big . stuff helpful . internet cost $ 5 day wifi - need cable . 
 Apr 18 2008 	 great place stay 	 stay Alexis Park 2 night group Trek America tour think great . get really good rate find room quiet , comfortable clean far strip . staff helpful pool etc clean welcoming . 
 Apr 3 2008 	 great place stay 	 enjoy stay . restraunt bar awesome great food drink ! staff friendly even help look bakery close . room nice clean , yes furniture bit date bath body supply bathroom nice addition . it right accross st . Hardrock nice . way strip , nice get strip relax ! 
 Apr 2 2008 	 tranquil little oasis 	 stay two night think fabulous . much well stay one soulless big hotel . place ' fancy modern ' get character lay back style . love fact room suite friend could chill front tv normal living area fridge handy booze ( hey Vegas ! ) food etc . really strike lovely quiet ground hotel , really feel like calm little oasis away hustle bustle strip . little distance strip reasonable fitness find much effort . walk half time get taxis rest . room clean staff pleasant . go restaurant Lunch food really good . 
 Mar 28 2008 	 never recommend Return 	 husband book trip via time share company , we stay Alexis Park Resort . stay resort March 20 - 23.i thinking resort go Las Vegas Strip . also think resort would update nice .... wrong . displeased & quot ; resort & quot ; soon husband drive check . resort look like cheap hotel apartment building . greet friendly hello arrive . however , room ready upon arrival . wait & quot ; bar / lounge & quot ; hour . & quot ; bar & quot ; old empty . soon room ready , unpacked bit get right . room seem like nice 10 year ago , old suite . room small kitchen , good size living room , bedroom bathroom . water presure shower horrible . could not wait return home good shower ! restaurant resort alright , worth . well eat somewhere strip . plus stay Alexis Park Resort closeness Hard Rock Hotel . would good business people family want stay casino / hotel . 
 Mar 24 2008 	 Fabulous Stay 	 Husband stay Alexis Park Resort 5th Anniversary . wonderful . staff courteous , welcome we warmly . make we feel like home . remember anniversary husband tell reservation agent . make everything special . room wonderful , cozy , clean , neat . not watch much tv , nice accomodation . jacuzzi unit , great price well . strongly recommend resort anyone want away strip night , close enough action walk play . 
 Mar 22 2008 	 great service clean comfortable 	 Excellent service , friendly accommodating . ground beautiful , pool area clean . room service food good available 11 p.m . room old , clean , spacious comfortable . convenience kitchenette microwave fridge great . downfall find distance strip . walk back forth least 4 time stay , either vehicle , mind pay cab , like walk aweful lot stay . Airplane noise loud time , bother we . 
 Mar 17 2008 	 ok date 	 stay Alexis Park Resort March 10 - 15 , 2008 . rate 3 star would right . room large furniture & amp ; decoration least 15 year past prime . size room disproportionate amount furniture tv . ( ie could watch tv couch chair due orientation ) . cabinet bar washroom look like make part woodshop project , although granite counter top nice . chair desk break despite advise housekeeping , fix stay . lighting bathroom weak . shower head approx 5 ' 6 & quot ; tub make difficult wash hair , unless be short 5 ' 3 & quot ; . bright side hotel ground well keep , multiple security day night housekeep fairly good job although bit late couple day . bed good firm room clean . term location , mile strip ( 20 min walk ) take Hard Rock shuttle across street . convention center approx 1.5 mile 35 min walk . bar hotel quite nice projection screen nice decor . try restaurant hotel price seem fairly reasonable . 3 pool nice ( incl towel service ) one heat would cold fringe season . overall , Alexis Park Hotel would ok family budget conscious traveller . modest expectation might meet . bad , great . 
 Jan 20 2008 	 Strip serve purpose big room 	 Alexis Park decent 2 storey property , lay big area . location : Strip 1 mile Planet HollyWood . Casino not eat ( restaurant weak ) - Hard Rock Hotel Casino across street great pizza slice place strip mall across street . room : large , comfy bed , pull , little kitchen sink , small fridge microwave . bathroom big , stand shower . Unfortunatley January CES cold Vegas ( 40 's Farenheit ) heater work . ( guess year not need ) . big diaappointment . cold.service : pretty much thing , Front Desk Staff nice , take doorman hail cab - partly were'nt many cab area major strip hotel . other : although 3 outdoor pool look nice - believe 1 heat , use . 
 Jan 17 2008 	 New Management Clueless ! ! never ! ! ! 	 ALEXIS RESORT HOTEL ... get back Las Vegas say Alexis Resort Hotel Harmon Ave bad near strip Las Vegas ... past year thing great new management thing low ... terrible front door service , terrible manager rectification issue , terrible restaurant service can not believe go ... mention would figure reservation would lose twice & quot ; give another chance & quot ; trip ! goodness personally give credit card phone ... never . way management staff rude , unfriendly not even ask understand policy cause make half go blame former manager . think try clean responsibility expense good time past . post site till learn ... go ahead America take chance hotel sorry ... simply Garbage ! ! 
 Jan 14 2008 	 bad hot 	 try open minded write thing . always try go vacation budget never really spend ungodly amount money room . , look 5 star hotel , . would say fall 1 - 2 star range . hotel ( actually Motel setting ) strip walk may take 20 minute . take bus . cab may cost $ 15 take street . the hotel look like old apartment complex , Motel door go outside walkway . multiple two story motel style building , campus formation , two pool center courtyard . pool date nothing get excited . water clean cold . typically , pool probably date 70 's . pool rearly use anyone . the hotel lounge ok , little dated seem invite enough . problem staff stay . the hotel room two room suite . one room bedroom small bar area living room . room little drab , overall , comfortable enough . entire suite little date furniture replace something little new . not bother , fine . at night , walk courtyard parking lot little scary though . courtyard dark need well light throughout . off - the - strip location , parking lot seem like place not want night even though may never problem . car fine never touch leave there.the one high positive across street HARD ROCK CASINO hotel . want walk 3 minute , be door ready party . stay Alexis save cash plan spend time Hard Rock anyways ... overall , hotel date , need facelift . good housekeeping . old furniture room . perfect clean room condition . suite , roomy lot space money . room door close room door living area privacy . bathroom decent size crowd . hotel strip mile , negative like walk strip . want glamour , would say , get hotel strip . definately hotel someone look save money like space . feel safe night although , area clean may want , give perception less classy . place ? someone budget . someone car get around . weekend triper . bachelor bachelorette party spend time Hard Rock Casino . someone not mind stay 2 star hotel . 
