disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 Nov 11 2009 	 comfortable 	 great bed , comfortable room .. employee polite attentive .. excellent value money .. downtown totally different experience strip 
 Nov 11 2009 	 will not go back 	 recently stay one night . website offer $ 10 room upgrade , check , tell room upgrade , find one , would honor website offer $ 10 upgrade , instead charge we another $ 40 upgrade . girl check desk kind smart mouth . although room nice , bathroom really small . bad check girl , get business . 
 Nov 8 2009 	 Golden Nugget good Fremont 	 really , 5 Star , can not find well place 's SUPER close casino Fremont 
 Nov 8 2009 	 Outstanding 	 return Las Vegas stay Golden Nugget . say far good hotel stay price Las Vegas . room great service location . good lunch buffet $ 10.99 , excellent food . local casino Fremont $ 3 black jack table beverage server bring beer frequently . downtown place stay opinion . 
 Nov 4 2009 	 Nice Hotel 	 Hotel nice - would compare Hilton . stay North Tower . bathroom small nice . everything clean feel safe hotel solo female traveler ( although Tremont St , definitely would feel safe wonder around downtown ) . great rate ( $ 65 / night ) 2 - night business trip , fine . hotel restaurant fine - try room service . internet access pricey . 
 Nov 4 2009 	 Golden Nugget Las Vegas 	 nice hotel , pool super , Buffet ok good breckfast lunch , diner good , room nice . 
 Nov 3 2009 	 would go back anytime ! 	 mix family group ( 4 room ) CA NY great time Golden Nugget . 2 economy room ( spacious / nice bathroom / old decor ) 2 gold club room ( modern , vessel sink , tv bathroom mirror , vip check line , unlimited bottle water snack , fresh coffee newspaper morning plus coupon booklet ) . comfy king bed feather pillow duvet . we not win other group could not lose slot black jack ... good trip casino wise . ( try Elvis slot ! ) great location easy access Fremont St. activity casino . great young ( lot free entertainment ) old ( close casino , easy walk strip ) . Grotto restaurant divine ! 6 we , one complaint lot compliment ! say Cafe , would eat .. 3 8 enjoy meal ( eat sandwich . ) actually try breakfast buffet ok especially 2 1 coupon . easy free valet ( call ahead car wait . ) cool pool slide shark tank ! 
 Nov 3 2009 	 start look age . 	 still good downtown hotel new wing open soon . time fix rest room . carpet get worn room . never travel pay internet access ! 12.99 day bit much internet . wall bit thin well . pillow hard taste . know Vegas , win go room watch tv . forget Nugget . tv reception like old antenna roof . 
 Nov 2 2009 	 Fantastic ..... 	 return hotel host 20th wedding anniversary party renewing vow . party co - ordinator Jim Kinsella organise whole event via email correspondence perfection . every detail attend , hillarious & quot ; Elvis & quot ; service , food , bar , decoration , D.J . fantastic . wedding always want plus Vegas fab . would hesitation recommend Jim anyone consider sort event . 
 Nov 1 2009 	 really feel like vegas 	 good old fashioned hotel really nice feel . great walk onto Fremont street .Great pool set real sun trap early morning . I would use hotel weekend . 
 Nov 1 2009 	 Great Location ! 	 much well stay Downtown Strip . walk right hotel onto Freemont Street party ! beer food cheap rate . table limit much well ! problem annoying people stand elevaor harrass guest get onto elevator ... try sell something work hotel . avoid like plague ! 
 Oct 30 2009 	 Nice Place stay Freemont Street ! ! ! 	 first time would do Freemont Street Experience ... pretty cool ! rumor true , slot seem loose Old Town . well ! service well attentive big casino love canopy Freemont Street . the hotel recently remodel clean quiet . room pretty basic , really need bed bathroom Vegas anyway . think money pretty great . be huge , not walk 400 mile every time leave room ! Vegas 's perk . the food & quot ; okay & quot ; . eat diner never go one fancy restaurant ... ' m sure steakhouse would pretty great . want go strip buy ticket Deuce ( double decker bus ) ride strip . take awhile get , price right ( $ 7 unlimited ride 24 hour ) .I would recommend Golden Nugget traveler budget . even one not . less spend accommodation spend show ! 
 Oct 29 2009 	 pleasant first experience Vegas 	 stay family 3 night Golden Nugget . really enjoy whole Freement St experience , atmosphere , music , etc . distance strip not worry we make full use bus / shuttle run every 15 minute ( 24/7 ) strip . outlet shops stop road . make frequent trip strip never wait shuttle always seem bus need one - get 24hr pass multiple day pass . room Golden Nugget clean , room service efficient appreciate express check system avoid queue . pool cute never crowd guess people otherwise occupy . think hard do pool close around 8 pm find tourist hotel area close pool 5:30pm . area , family would stay downtown rather strip would definitely stay Golden Nugget . 
 Oct 28 2009 	 much fun ! 	 lovely stay , bed giant comfortable , staff nice ( people front desk seem bit tired time check , would 10 pm ! ) room huge ! feel like could run lap ! bathroom nice.and excite able smoke indoor ! step front door be fremont street ! handy mostly town take photo , bit annoying far casino , guess fault checking map properly.in morning nurse hangover egg florentine bed , well poach egg entire trip U.S ! 
 Oct 27 2009 	 bad ! 	 stay one day , check MGM strip 11 am , flight leave 11 pm , need place put bag , rest , see bit . not go Old Vegas yet , decide go last day . Old Vegas , see Freemont Experience , light show fun , expect hearing . unexpected downside : return room , LOCKED ! lock door inside left , apparently guest open door leave , default open , thusly door lock . two different security people come , supervisor state & quot ; happen time . & quot ; hotel LOVELY front desk person , Nashville , can not remember name . eat italian place , good service , waitress full excuse , sit empty beverage meal rush saying & quot ; ' m get beer ! & quot ; overall hotel nice , kind cheesy . pool cool shark tank , actual swimming area small , chair top . price Expedia give $ 66.00 night , although day , let we check early 12 pm , enjoy solid 9 hour . would not go back , like vibe old Vegas ( die hard gambler , polyester contingency , lot homeless , begger , little .... ) . 
 Oct 26 2009 	 first bad vegas experience 	 first bad experience Vegas happen Golden Nugget past weekend . check Friday , give suite Spa Tower . beautiful 2 story room . thumb . put bag room go gamble . got back room early Saturday morning around 3:30 . sleep around 11:30am downstair casino around noon . although beautiful room , ' m type stay day use room sleep . gamble till around 3:30 early Sunday . go room , put key , key work . damn . think key get de - magnetized , trek downstairs front desk try get new key . front desk , could find registered guest ! ! ! ! showed & quot ; guest card & quot ; show date arrival checkout suppose Monday . check somemore , front desk robot tell check Saturday get left room ! ! ! ! ask , course front desk robot could answer . ask happen stuff leave room . numerous phone call , tell clean staff remove toiletry bag keep housekeeping somewhere . however , bag closet couple t - short hanger nowhere find . remember , around 4:00 morning . ' m tired . cloth stink not want near foot . ask front desk robot golden nugget 's policy check people room suppose ! ! ! course answer give . grant , front desk robot offer another room , give treatment far , decline . could get room anywhere strip . by time , someone housekeeping arrive blue plastic bag toiletry bag inside , bag clothing everything else nowhere find . see answer get front desk robot really want wake host make reservation , give cell number ask call find bag . so leave toiletry bag go another casino strip . expect call early morning someone sort authority could sort situtation . one call . so , drag back downtown valuable item bag leave room . eventhough shower , put old clothing back . still stink . I go host office tell host duty story phone call , tell someone else name close mine ask check Saturday make mistake check instead . right ! ! ! ! ! ! ! stuff still room ! ! ! ! point , really not care explanation , want bag . call , tell bag lose find host sort hint go get bag . yeah right ! ! ! ! many strike ? see expression face , quickly call someone bring . retrive bag , check bag thank God everything . actually fold t - shirt bery nicely put back bag . thumb . thumb make come back get . leave bag . today , Monday , leave message host make reservation call alas call yet . maybe tomorrow ( busy know ... ) day probably never . well , golden nugget never see 1 gambling dollar . 
 Oct 26 2009 	 comfortable room 	 remodel room South Tower beautiful comfortable . we think maybe use pool like center stage single club , surround glass full young people , sanctuary oldie hope . staff polite helpful . food good . highlight buffet wonderful server sing happy birthday someone neighboring table . popular demand sing another song . woman need stage incredibly talented ! tend avoid restaurant across pool one meal zealous server little interactive guest . ( constantly comment , talk we order certain item , etc ) . even nice though . 
 oct 26 2009 	 good hotel locate downtown Las Vegas 	 Golden Nugget Hotel one good , BEST , hotel locate downtown Las Vegas . please remember downtown Las Vegas different & quot ; Vegas Strip & quot ; . gamble cheap well downtown strip . however , strip shopping night life . hotel clean offer many gaming opportunity ( table , slot sport bar ) . one great thing enjoy hotel swimming pool . enclose slide go directly shark tank ! ! although never harm , quite rush ! ! ! would definitely stay hotel again . one fall hotel & quot ; strip & quot ; great ! ! 
 Oct 24 2009 	 small room 	 stay 3 night september , prebooke netflight £ 105 , basic room south tower , wish pay upgraid north tower understand much well room , coffee maker fridge . we eat carson cafe nice . loved town , great atmosphere , go strip one night glad get back fremont . the hotel pool area fantastic shark tank , experience swimming shark . it lovely go casino know bed far away . 
 oct 22 2009 	 love downtown Vegas Golden Nugget ! 	 4th trip Vegas . ' ve stay Aladdin ( PH ) , Palazzo , Monte Carlo . ' ve visit downtown , never stay . time , think would give try . ' m glad . arrive Thursday night , around 11 pm . check little slow , thorough . give booklet Golden Nugget coupon well . use three two night stay . our room 14th floor nicely appoint , two bed & amp ; non - smoking - ask . everything clean . wish room mini - fridge coffee maker , ok without . complimentary toiletry good size nice . getting settle , go Grille bite . use $ 2 per person coupon . food really good , come fast , consider midnight . the pool area great , little small - really like shark tank . real downside not whole lot sun reach space . likely lot time year ( sun not get high- similar problem find chair sun Venetian later week ) , scope early want get spot sun . we eat Buffet breakfast ( use two - for - one coupon get breakfast $ 10 we ! ) pretty tasty . recommend go early 10 am want breakfast selection ... around 10:15 start switch lunch . all , would definitely return Golden Nugget . 's good value fun , lay back atmosphere . ' m hope give spa try next stay . * also sign 24 Karat Club ( must like Vegas getting offer room special ! ) 
 Oct 21 2009 	 wow ! ! ! ! need say ! ! ! ! ! ! 	 stay strip many time , thought would try downtown change . impressed friendly staff ( everyone front desk bartender waiter , bellman , etc ) professional helpful .Went Vic 's , sit bar BEST martini , oyster crab cake ! ! ! ! ! ! ! bartender fabulous ! Trust ' m well travel quite particular ...... hotel room spotless , quiet comfortable .The pool fun relax . ever play blackjack bathing suit ? needless say return spring never stay strip ! ! ! 
 Oct 21 2009 	 Teenagers Review Golden Nugget 	 Golden Nugget Hotel one favorite part Vegas . one popular aspect hotel casino locate bottom floor , although unable take part gambling due age , sight machine black jack table overwhelming . core hotel , swimming pool one favorite place . slide running shark tank awesome thrilling , definitely attract lot people , child . actual hotel room cozy welcoming . Golden Nugget Hotel offer ton opportunity teen include swimming pool , sort shop , include souvenir shop . teen , Fremont Street offer sort store , restaurant famous light show . experience Golden Nugget great , wait go back . 
 Oct 19 2009 	 want stay somewhere different try Fremont Street 	 travel Vegas twice year . end week long road trip decide stay Fremont St. , like atmosphere never stay . check hotel internet night Golden Nugget advertise price $ 89 Friday Night . arrive doorman welcome we course , parking free . bellman take luggage . arrive 11 am thought would way could check early , line check long . separate checkin line within 2 minute help . make reservation phone want upgrade renovate . Tower . front desk pleasant explain $ 25 upgrade take want nice room last night vacation . book fourth floor ( view ) almost fall see fabulous room . nice entry desk / chair , mirror closet door , tile entry . nice bathroom ( small ) upgrade toiletry , makeup mirror lot towel . Carpet bedroom area , beautiful double bed , dresser , 42 & quot ; flat screen tv . coffee maker ( starbuck downstairs ) . husband change pool , go gambling . pool unusual & quot ; shark tank & quot ; ( fish , lol ) long tube slide . nice . game hotel nicer & amp ; bright Fremont St . since near Halloween everything entertainment gear toward costume etc . across Golden Nugget Mermaids , get deep fried twinkie ( yum , really ! ) oreo , nathans hot dog , etc $ l.99 another casino , Golden Gate , offer $ 1.99 lg . shrimp cocktail ( lettuce ) , enjoy listen piano player seat nearby . Friday night much fun Binions costume entertainer blackjack dealer . enjoy & quot ; Fremont Street Experience Friday night take cab anywhere . morning ready return home use television internet checkout . checkout time noon , believe one later checkout time Vegas . call bellman within 5 minute , also car wait . wil stay sure . 
 Oct 18 2009 	 Best stay money ! 	 last many stay Nugget , will not last ! although still lot construction go new Rush Tower , street parking garage congest , still enjoy stay . pay $ 52 + tax per weekday night , $ 99 Friday night . the room , # 51998 , look renovated , whole hotel undergo revamp . carpeting hotel hallway still smell new . staff efficient , friendly hard - working . someone always see somewhere clean polishing . even scrub carpets elevator lobby regularly , night , course . food first - rate portion plentiful . 
 Oct 17 2009 	 Excellent stay 	 overall excellent hotel . everything need ... dining & amp ; gambling relaxing & amp ; party ! room gorgeous stay standard room ! downside regard hotel free wifi anywhere hotel - internet access room charge daily 's $ 12.99 ! Hotel base downtown area - area much well gambling compare new strip 's much cheap ! however , also con regard hotel - get main strip board Duece bus ... let warn take upwards hour travel short distance strip , especially everning bus always overcrowd . 
 Oct 17 2009 	 fantastic hotel great price 	 ( partner two friend ) book 2 room South Tower May year really look forward stay . arrive pleasantly surprised . refurbishment finish North South tower , light work new tower , noise dust nothing . good start expect refurbishment still way . get well . desk ask casually free upgrade . receptionist say would ask manager come back say would eligible free upgrade . end Spa tower two bed room suite beautiful thing ever see . one living room middle tastefully decorate top quality french furniture , 40 & quot ; flat screen tv , entertainment system , bose speaker etc . curtain close press button next bed . then one bedroom either site decor . another 40 & quot ; flat screen bose radio - cd player . bathroom fantastic . 2 bathroom suite . double sized spa bath huge steam shower . another tv , bit small . whole suite absolutely spotless . mark anywhere speck dust . course moon free upgrade . the rest hotel great . food buffet great meal grotto . all reasonable price . and course pool , fantastic place sit watch shark fish nice drink friend . the staff go way help we question . definitely stay hotel , upgrade . look room good well . although room right fremont experience , could hardly hear anything , lovely quiet . and enough Fremont street , strip short drive away . will def stay ! 
 Oct 15 2009 	 never Strip always Golden Nugget 	 first stay Golden Nugget friendliness staff first impression get arrive . tell would get marry next day , helpful drawing map find license office find deuce bus stop little white wedding chapel limo would pick we . love room , everything clean get extra nice one high floor nice view . restaurant great buffet favorite . simply complaint come back next year wedding anniversary . time life outside gorgeous pool area . never stay strip - nice stroll downtown Fremont Street 99 cent margarita hand listen live music watch laser show without car drive leave right like teh strip . LOVE downtown . even meet Chumlee folk tv show Pawn star great time . 
 Oct 13 2009 	 great value nice money 	 Golden Nugget nice little money . Grotto restaurant lobby excellent . room elegant , hotel seem clean date . love shark tank , wish time enjoy pool . fremont street experience plus . take note walk strip night really reasonable option rough neighboorhood . rent car fine get back forth , really cab fare . hear bus ok get strip , though try . 
 Oct 12 2009 	 Great Place great price 	 crazy restaurant , enough nearby really not matter . location well ! like close many thing rely transportation . 
 Oct 12 2009 	 stay elsewhere 	 live europe honestly even 3 star hotel europe provide well service Golden Nugget . else say hotel want charge 5 $ extension cable ! ! ! ! ! ! ! ? ? ? ? ? ? ? arrive dinner buffet 2130 3 lady sit reception desk rudely inform we restaurant close 2200 need hurry . infact , wife , ever polite lady greet recepcionist ignore totally ! thing really like hotel SPA amenity really cool although shower SPA do not permit cold shower ! gold room basic tub minibar .. 109 $ per night , find well deal Bellagio Venetian .. 
 Oct 12 2009 	 great nw update 	 stay , new update really great , especially pool area . 
 oct 9 2009 	 ` ` Extreme Pools '' Travel Channel 	 stay Golden Nugget September . stay Friday Saturday night $ 59 per night . price hotel ( like Treasure Island , MGM , New York New York , etc ) strip go around $ 150 - 200 per night . anyways , read pool Golden Nugget decide give try . the hotel seem completely renovate . wait check - in desk 25 minute . room completely renovate well would expect hotel old downtown . room probably good standard room Treasure Island , MGM , New York New York ( last time stay TI MGM 3 - 5 year ago ) . bed , air conditioning , tv , bathroom fine . the Golden Nugget swimming pool awesome ! feature Travel Channel show , " Extreme Pools " around world ! aquarium right middle pool fill 6 shark bunch different kind fish . really cool able watch shark swim right face ! within couple inch ! slide pretty cool ! twist turn time shoot middle shark tank / aquarium ! ride times . pool crowd go . the Golden Nugget buffet good price . $ 21 pretty much everything . big Wynn Bellagio buffet , much less expensive . crab , fish , chicken , turkey , chinese food , indian food , pizza , dessert , much more . if want stay downtown , recommend Golden Nugget . want hang strip , might want stay … on strip . drive strip 10 minute . 
 oct 9 2009 	 Gem downtown Las vegas 	 entirely pleased experience . room , pool , dining area top notch . nightly light sound show outside hotel spectacular , include live entertainment . drawback distance fromn strip expense taxi get attraction . 
 oct 8 2009 	 Happy hotel 	 arrive hotel 8 - night stay strike beautiful lobby , impressive . room ready wait 2 hour . finally check , give upgrade Strip view room 20th floor . worth wait . view night fantastic . room clean love large flat - screen tv . staff friendly accommodating . not swim enjoy pool area around fire pit shark tank . breakfast buffet , Grille Carson Street Cafe delicious food reasonable price . everything perfect , except last two day get sick flu stay bed hotel 's fault . least bed comfortable view look . close Fremont Street Experience feel perfectly safe walk area . the thing hate pushy timeshare people . always . 
 oct 8 2009 	 Top Notch Hotel .... must enjoy Fish Tank Pool Area ! 	 terrific service , fast check . wonderful pool area Shark tank super slide middle fish tank ! fascinating watch fish swim right next ! construction outside South Tower cause noise traffic congestion . new tower build ! inside hotel reconstruction floor do little disturbance guest . top notch hotel price . could never amenitie Golden Nugget provide price pay Strip ! enjoy amenity Freemont Street offer stay hotel ... cover 5 block area , good pay slot , overhead light show . easy area walk experience evening concert , many casino short walking distance , good , inexpensive souveni shop . 
 Oct 8 2009 	 hotel choice Las Vegas 	 husband stay Nugget three time , place stay . location great , hotel pretty rate always good . 50th birthday LV past time , order birthday cake hotel . cake cute ( make order ) , delicious well , price could not beat . if be & quot ; : downtown & quot ; kind person , Nugget highly recommend ! 
 Oct 8 2009 	 comfortable stay clean new feeling . 	 probably nice classy hotel downtown area . friendly staff crew . hostess , Nicole thorough concerned need wish address . woul suggest request room north tower want close Freem , ont Street . 
 Oct 8 2009 	 Loved Golden Nugget 	 never stay downtown , ... would stay Golden Nugget ! daughter see Shark Pool Travel Channel ask could go check . call shock inexpensive rate . book two night get $ 25 room credit spend hotel . room huge nicely decorate . bathroom , big clean . DH love big screen tv . pool nothing short amazing ! kid love , truth tell DH ! thing like dinner buffet . price good . order drink snack bar around pool , find good vaule good . service hotel great ! wait go back ! 
 oct 8 2009 	 pleasantly surprised Golden Nugget 	 stay Golden Nugget business trip recently pleasantly surprise room Gold Club floor . watch room face Fremont Street light show hear music like band room call move immediaely quieter room side floor . food Steakhouse excellent restaurant okay . 
