Love 	 Service hotel exceptional - wonder specifically hand pick staff - great . consierge Gina wonderful Jamie gal go way please staff . room nice - lovely linen comfortable clean bean . great separate little kitchenette also . suite 18 year old dcaughter could privacy.the breakfast great - huge delicious - bar man night great buzz - great cocktail . greet lovely bottle red NSW . coincidence be great well thought .The location convenient get within easy walk distance transport action . everything within walk distance plenty see mention eat . the would say room get tad warm air con set winter temp experience several time - management however try fix wherever possible quickly . worth every cent - nothing miss hotel - ( free shoe polishing ) - professional friendly staff GM also friendly gentleman take opportunity pay attention detail - staff also really appear like n - make wonderful workplace culture ' m sure shall return next year Benjamin - enjoy wonderful city - every minute 's hectic pace - can not wait get back 
 Sauna 	 stay one night November . back - room feel like sauna . try turn heat , use AC , open window . still sleep without cover pjs ! November ! completely unacceptable . otherwise , good location business midtown east . good size room clean bathroom little microwave sink area . bed comfortable linen scratchy . 
 Sep 21 2009 	 Benjamin ok ... check another hotel next time though ... 	 Benjamin short cab ride anything East Midtown include Rockefeller Plaza , Times Square , Broadway , etc . hotel exude friendly atmosphere knowledgable hospitable concierge . my room , however , housekeeping / pamper staff issue . let note ... Benjamin pride make stay extremely comfortable 4 - star quality amenity room . upon opening room door , notice bed make , throw bolster pillow cram behind desk . furthermore , duvet / comforter well wear torn foot bed . overlook issue kitchnette ice maker major plus New York City . also , bath product bathroom amentie include multi - head shower wonderful ! next issue comfort staff . pillow choose bring room bring timely manner ; however never receive turn - down service request . all , Benjamin fine ; however , try hotel future stay . 
 Sep 10 2009 	 get kind tired worn still nice play stay 	 Mrs. Davooda stay Benjamin town take US open tennis action celebrate wife 's birthday 11th wedding anniversary . highlight we , since be tennis people , ride elevator Serena Williams . good luck Serena ! make reservation directly hotel able match rate publish Expedia tell agent would mark we corner king suite high floor hotel 's way help celebrate special day . disappoint check - in find not assign corner room ask one . accommodate room eighth floor noisy . think must firehouse police station near us becuase siren sound literally day . good thing bring earplug ! find amusing hotel bill place get good night 's sleep pretend offer sleep refund . tell front desk room incredibly loud , remind midtown Manhattan 's loud place . yeah .... know . would ask move place absolutely pack full . lobby elegant well - appoint enjoy cocktail Emery Bar lobby one night . room nice size NYC show sign wear . couch feel like break . sit use side chair . nightstand one side bed . one light bathroom not work . housekeeping thorough , however , issue cleanliness room . fact , staff cheerful pleasant , nice , not override negative . concierge service responsive , far cry ' ve come expect . Broadway show ticket secure concierge order pay . close , exactly - pay kind money premium seat expect exactly pay . . town Car ride airport 50 % high book Benjamin book directly car service provider . Caveat Emptor ! would echo previous poster statement say leave feel really three - star hotel four - star 's clothing . know fitness center , spa , bar , restaurant 24 - hour room service . fitness center laughably small spa un - staff every morning go work take steam . locker man 's locker room would lock , say , one staffing place help . bar nice expect least artisanal cocktail none . patronize restaurant room service , offer comment . pleased secure rate , would return pay . many option midtown new , fresher , offer good location offer similar rate . would send friend could get deal , otherwise , . 
 Sep 2 2009 	 stay Ben 	 stay hotel 6 night , book Priceline . book Priceline get standard room , queen bed choice pillow . pillow idea nice , would rather spend money bed . find mattress much soft ... move we another room bed , finally get bed board ( piece plywood put mattress ) firmness help sore ache back . hotel & quot ; booked & quot ; checked offer upgrade 30 60 dollar night . choose option want space , upgrade offer . couple front we ungrade without pay ... hotel good location close subway look . able get want go easily . staff friendly helpful . would consider 4 star hotel however . amentie associate 4 star hotel . the room bit worn .Our room , dark quiet , plus NYC.We find many good place dine 2nd Ave . 
 Sep 2 2009 	 good bed great service 	 arrive 8 , room wasn´t ready accept upgrade ( 90 $ 3 night ) room ready . room , 5th floor - view , mini kitchen appropriate equipment one would expect fine hotel . friendly service . August stay another 3 night fine hotel , time upgrade 19th floor , view mini kitchen . standard room maybe little small , good enough we next time would waive upgrade . good hotel New York . 
 Aug 25 2009 	 Benjamin Staff Shines 	 first impression count , hotel staff Benjamin excellent moment arrive . front desk housekeeping , always greet smile genuine concern stay . room clean , quiet plush ( yes , 12 pillow menu ) , light turn Bose radio quietly play classical music enter - nice romantic touch . even small balcony ( 8 x 8 foot ) nice surprise consider ' basic ' room great rate online site . bathroom spotless . although not use many Spa option , fitness facility convenient clean , bit cramp . subway block away 51st . one issue ( 1/2 star back ? ) . one elevator operating stay . Trips lobby could take 15 minute small elevator ( 8 max luggage ) stop every floor exasperate guest try squeeze – long , hot ' intimate ' ride . may want check book - end stay , contemplate walk 15 story room . we would definitely come back Benjamin ( elevator get fix ) . 
 Aug 24 2009 	 good around 	 arrive hotel greet moment get door . staff friendly welcoming . room spacious clean . start finish fantastic experience . 
 Aug 24 2009 	 Fabulous service staff . great location . 	 Benjamin locate great spot - convenient many attraction . staff hotel super accomodate helpful . room nice . thoroughly enjoy stay wait go back . send friend enjoy stay Benjamin well . 
 Aug 23 2009 	 honor prepay Expedia reservation overbooke 	 Benjamin hotel New York City overbooke honor non refundable reservation make Expedia.com . hotel provide room guest arrive without satusfactory explanation . book nonrefundable prepaid room Expedia.com unless willing push room less desireable location . 
 Aug 18 2009 	 top notch - great bet NYC 	 not stay Benjamin year stare office , live work NYC . meet today , look Benjamin notice first time couple room balcony , daydream guy lucky enough lounge sun overlook city . remind much loved staying move process . truly beautiful , clean , wonderful hotel . would recommend hotel anyone , often colleague come town . forget Hilton Marriott point NYC stay , be much well gem boutique hotel . 
 Aug 18 2009 	 mixed reaction staff ! 	 stay Benjamin get US $ 110 rate per night Priceline . everything read review true . 's good hotel , great location , good accommodation ( large room . king size bed , flat screen tv , small bathroom ) , fair exercise room , not feel love staff . moment check , lady front desk seem shocked confused rate pay not friendly . happen next morning go back front desk ask statement receive door , since prepaid Priceline , reaction rude helpful . overall good stay decent New York hotel . 
 Aug 9 2009 	 snuff 	 Chose hotel base Frommers Guidebook recommendation . numerous gliche unresolved airconditione problem . dirty robe use tissue pocket hang closet upon arrival - arm robe put pocket & amp ; belt tie like fresh laundry .... Ewwwwwww . stay & amp ; recommend . plenty fine hotel choose . i.e . Library - Elysse - 
 Aug 2 2009 	 soliddependable professional - 	 good hotel free wi fi room lobby . spend $ 14 access email minute poor note day age . 
 Aug 1 2009 	 Great Midtown Boutique Feel 	 stay three night family trip NYC 10 yr . old daughter . since first time ever NYC , rely recommendation friend stay numerous time . hotel great location explore city . across street subway station ( 6 train ) three block e train station . 5 - 10 minute walk Rockefeller Center another 5 - 10 time Sq . . number restaurant neighborhood nice mix businesspeople vacationer street area . the hotel boutique feel . lobby small elegant . doorman quickly get recognize we always nice hear " welcome home " every time come lobby outside . arrive slightly check time problem get room . travel 10 yr old , decide book one - bedroom suite ( Rm 2301 ) . pleasantly surprised find small kitchenette full - sized fridge microwave . great soon find small grocery store 2 door could get provision stock fridge snack , cocktail , etc . suite consist small room fold - out couch ( open make night turn - down service ) , kitchenette separate bedroom king - size bed . ( small – NYC ) bathroom locate bedroom , mean whoever stay living room get bathroom bedroom – really ideal . clean well appoint fine long one person time . also enjoy two bathrobe provide . my wife use work area day say adequate clean . also offer spa service take advantage ' comment . housekeeping do twice day , second one turndown service completely restock toiletry supply , towel , etc . the Benjamin offer unique pillow menu real treat . basically pick around 12 selection different type pillow . even one plug ipod listen music pillow – ' even tell speaker ! try 2 three different type night enjoy experiment different type . I ' really anything negative write Benjamin except lack pool . would definitely stay . please not hesitate contact question . 
 Jul 28 2009 	 great location room noisy 	 hotel fantastic location room mostly quite spacious , however room little smally low floor noisy right Lexington Avenue . bellstaff doormen enthusiastic tip quite blatant . 5 day not think need tip every time open door hail cab happen drive past . bathroom need little bit attention air con extremely noisy . bed however comfortable bed ever sleep . end day , plan hotel much , great place stay . expect hotel , find somewhere else unless buck act . 
 Jul 25 2009 	 lovely weekend getaway spot 	 husband celebrate bday last year wonderful time . surprise us delicious cake champagne . room huge comfortable . staff great well ! 
 Jul 22 2009 	 Exquisite Boutique Hotel Midtown East . 	 get Benjamin Sunday Monday night successful bid Priceline could delighted . beautiful old Boutique hotel Midtown East absolutely charming lobby . when check ask room two bed girlfriend go join second night . inform hotel room two bed receptionist kindly upgrade free luxury studio king size bed . decent thing , give already stay great rate . the room corner build spacious New York standard . make much well average hotel room fully equip kitchenette full sized fridge / freezer microwave . appreciate room fridge champagne breakfast item , rather jam tiny automate minibar . the marble bathroom window light airy boast Elemis product , light shaving mirror another mirror tub . bathroom real pleasure soak tub head evening . I like Midtown East area . far less touristy Theater District lot hustle bustle great little diner bar . be still fifteen minute walk Times Square . my gripe Benjamin one high end hotel - nickel dime little thing : 7 buck small bottle water free internet . cost nothing hotel provide free WiFi day low end one . go complain much get good price , pay full rate , would irritated . day , , lot people , pay full price , go nice , modern 3 * free Wifi rather midrange 4 * charge it . I want add receptionist , maid , concierge , bellman doorman fantastic highly recommend place . 
 Jul 15 2009 	 GREAT HOTEL ! 	 stay 5 day . room large , clean modern . hotel well position staff helpful . else ask ! 
 Jul 11 2009 	 great location service 	 meet college friend city time away . benjamin staff great helpful . know , NYC hotel room typically small . small . kitchenette , nice closet space , write desk comfortable chair . it nice choice pillow . the concierge secure airport travel print boarding pass along great local recommendation late dinner theatre . we late night cocktail bar staff much friendly waitress W ( street ) . ignore leave without order anything . a friend 's daughter work Benjamin give we great local advice make sure everything perfect . even without assistance , stay would still great . staff Benjamin not know know , treat professionalism kindness . 
 Jul 10 2009 	 home away home 	 travel ny often business . always stay Benjamin . nice enter hotel greet friend . always remember name , story , favorite room bar , drink . road lot , , little thing make difference . find nice bed clean room many hotel , staff hotel make special . 
 Jul 8 2009 	 Wonderful 	 stay 7 year old son great NYC hotel late birthday gift ( 4 month ) 3 day . first class way house - clean house - keep sunrise sunset ( turn - down ) , people toe ! even bring son bithday cake first night , love it . large one bedroom corner window view , kitchenette marble bath , place lay ! sum experience 5 star , I m sorry do not get around leave soon . thank Benjamin ! 
 Jul 8 2009 	 look elegant personal place indulge . 	 time get Benjamin time leave , husband get experience New York expect , friendly , helpfull , cordial people . go back . recomend hotel friend . place want see visit close , within walk distance short ride subway taxi . 
 Jul 8 2009 	 Excellent stay 	 large room , comfortable bed , nice amenity , helpful friendly service , great location . kitchenette nice bonus , health club good equipment machine . recommend ! 
 Jul 7 2009 	 nyc hotel aspire ... 	 Benjamin - service , elegance , quality , every good thing say hotel . I book 3rd party site lucky enough get great deal room . read rave review bit skeptical since sometimes TRIP rave , necessarily hotel room . Benjamin live 's reputation far far far exceed . 's easy give hotel good review issue - free stay . be another thing issue issue efficiently successfully address be almost thankful ! need sleep space 1 queen bed since hotel not offer room 2 double bed , go upgrade room ( slightly hefty price ) accommodate entire party . correspondence staff Benjamin ( time little rude part ) end service ? go beyond . give free upgrade room king bed offer huge discount want upgrade room pullout sofabe . not end there . after check early ( noon - ish ) leave full day shopping city , return room meet personal note Mr. Labetti complimentary fruit water - I mean really- say ? 
 Jul 3 2009 	 Benjamin Hotel - set New Customer Service Standards 	 recently make trip New York City stay Benjamin 125 East 50th Street . small hotel standard , recent experience Benjamin prove compete big hotel , exceed sincere customer - center service . schedule stay Benjamin one night , immediately apparent aquality hotel . Doorman Front Desk , treat quickly , efficiently , importantly , warm friendly tone . one - night stay great , ordinary - arrive airport find USAir flight cancel airline 's response put flight next morning effort 6:00 pm 6:00 next day . frustrated , tired feel real option ( every try get hotel 6:00 pm New York City ? ) , call General Manager Benjamin , Andrew Labetti , ask way could help get back sell Benjamin al least place sleep night . Andrew far well ! within 10 munite , Andrew secured room , provide reasonable price ( know small business tight bind - airline care ) prepare front desk arrival . upon arrive 7:00 pm , trusty Front Desk Manager , Jamie Bardot , took make sure comfortable room , ask laundry staff personal favor quick - turnaround washing clothe ( since clean clothe ) . 7:30 pm room , clothe pick - up washing doorman point right direction quick , good inexpensive dinner . 10:00 pm , clean clothe deliver . cap tremendous effort part Staff Benjamin , Jamie ( Front Desk Manager ) arrange 3:00 wake - up call cab wait 3:45 would arrive airport timely manner check 6:00 flight . please note Benjamin locate one block one top hotel New York City , hotel interest stay even room free . Benjamin forever heart prove small hotel often offer big quality . USAir leave cold ; Benjamin keep warm safe . Andrew , jamie entire staff Benjamin get high rating ! 
 Jul 3 2009 	 absolutely wonderful hotel 	 wife stay Benjamin June 30th one night . delight everything location , friendly professional staff , large well - appoint room . good , care attention hotel give guest chance quality sleep time . pillow menu choice nine different pillow turndown service lavender spray help one sleep . addition , hotel supply white noise machine request even room service menu feature food help sleep ! needless say , sleep great . doorman , Mohammad , one good ever meet . good hotel stay New york City , bar none . 
 Jul 1 2009 	 great location amenity staff 	 husband stay Benjamin April romantic weekend together . stay area , first time Benjamin . , will never stay anywhere else ! midtown location great need , room large ' ve see NYC . staff , doorman cleaning crew , friendly top - notch . ' m bit snob hotel toiletry , Elemis line room perfect . bed comfortable , pillow menu nice touch . , would highly recommend Benjamin anyone look great hotel midtown ! 
 Jun 29 2009 	 Benjamin - luxurious relaxing place heart NYC 	 spend long weekend NYC sister , much research decide stay Benjamin . hotel locate heart Midtown , suit need perfectly - wish sightsee city , Midtown great halfway point everything NYC offer . midtown neighborhood full similar hotel , ask around friend family live area visit frequently , feel comfortable Benjamin 's recommendation . dissapointe ! minute step lobby freeze street , know have pick right place . welcome right away , usher front desk check quickly politely . bellman help we room get settle nicely . stay quite hotel room quite & quot ; luxe & quot ; hotel NYC , must say Benjamin 's room large standard room ' ve ever see ! everything could want / need , actually room 2 us luggage spread ! long day sightseeing , sister head facial / massage appointment hotel 's spa . truly , highlight trip ! facial Sarah amazing , helpful hint well . sister 's massage great well , rev hit town ! another highlight stay pillow conceirge . blast look pillow menu order pillow would help we sleep wake refresh ready go again . I would definitely stay Benjamin , would like thank entire staff make girl 's weekend memorable ! 
 Jun 29 2009 	 Superb Staff helped make Business Trip Success ! 	 recently stay Benjamin business trip New York City . room spacious , clean , well appoint . entire staff helpful efficient thing expect good hotel ( check - in , direction , resturant suggestion , etc . ) . pleasant , helpful , surprise extra length staff go help mechanic meeting . whether load material cab packing item impromtu UPS pick - up , staff helpful make meeting success . 
 Jun 29 2009 	 Nice People Good Hotel Great Location 	 stay Benjamin New York business turn pleasure . people Benjamin treat like family , actually family like . room spacious , accomodation excellent location great really make stay memorable people . think ' ve find second home New York . thank 
 Jun 29 2009 	 could ask well stay 	 first visit NYC 12 year thoroughly enjoy stay Benjamin . staff extremely pleasant attentive . room comfortable spacious bed great . suggest serious look pillow menu , really nice chance try different option . sure saty . 
 Jun 27 2009 	 GM make hotel warm inviteable 	 stay romantic weekend husband . pillow concercege amazing pick pillow want . GM Andrew Labetti really nice guy . understand hospitality make stay home away home experience . thank Andrew Benjamin hotel incredible stay . Dr. & amp ; Mrs. 
 Jun 27 2009 	 great service great deal 	 family stay Benjamin four night mid June . book parking package , think great deal ! travel two young child age 6 8 find accommodation fantastic . reserve one - bedroom suite , spacious pull couch - perfect child . since moment arrival immediately know make right choice . doorman greet we immediately curb side learn name , child 's name . quite impressive . throughout stay find staff professional , courtious friendly . suite well appoint , comfortable clean . large selection pillow choose , great plus ! ! favorite swedish memory ! ! concierge team helpful provide guidance child friendly restaurant place go . wonderul experience definately back ! ! 
 Jun 27 2009 	 thank everyone Benjamin wonderful stay 	 bid Hotel Priceline Benjamin except . read review Tripadvisor , good good think . Wonderful Hotel , staff could not accommodate . check Carter Receptionist upgrade we large one bedroom suite complimentary Benjamin . 19th floor . bid Guestroom type room . very nice touch Carter thank , totally unexpected . great marketing Customer service certainly return . location ideal . thing want within easy reach Hotel . bed comfortable something important we . the Benjamin worthy stay . 
 Jun 25 2009 	 love Benjamin ! 	 satye Benjamin many year . minute get cab minute leave treat like royalty . hotel clean appoint beautifully always update . GM Andrew Labetti everyone helpful curtious . Horray Benjamin . 
 Jun 25 2009 	 Loved ! 	 base recommendation work colleague , decide forgo & quot ; get point & quot ; stay interesting . travel business 100 night year tired cookie cutter hotel . seem quite range opinion - stay wonderful . staff wonderful - room lovely personally LOVE pillow menu ! many night miserable sleep hotel people think big fluffy look pretty rather traveler may want choice ! ! smart move Benjamin 's part ! conveniently locate could get around meeting - work well night sumptious room service - get coffee paper morning dash meet client . echo colleague spread word great hotel 's welcome aura . come west coast - always prepared typical & quot ; New York & quot ; attitude - warmth hotel exceptional . 
 Jun 25 2009 	 treat like Royalty ! ! ! ! ! 	 fiance 's birthday plan trip see Cirque Du Soleil Randall 's Island . upon planning night look hotel choose stay Benjamin ! wonderful night ! concierge helpful google mapping we direction Randall 's Island , get without problem , direction , wrong turn , pleasant drive ! upon arrival hotel General Manager , Andy , lobby . introduce , professional yet earth man . ask suggestion lounge later night celebrate fiance 's birthday suggest go Nikki Beach , within walking distance , approximately 5 door Benjamin . ( end friend & amp ; fun dancing night long ) . room gorgeous unique style . return Cirque & amp ; find complimentary birthday dessert , Andy , fiance birthday ! fiance feel special & amp ; knew & amp ; attentive nature hotel spectacular . plus dessert fantastic ! ! order pillow pillow bar . awesome idea ! think order 4 5 pillow fun ! like sleep marshmallow ! end stay wanted walk around NYC , shop & amp ; sight see . benjamin willing keep car garage hold onto luggage ! overall HIGHLY suggest stay . wonderful stay , thank Andy & amp ; professional endearing staff ! thank thank thank ! ! ! Dee & amp ; Rob 
 Jun 24 2009 	 fabulous stay Benjamin 	 travel NY family vacation stay Benjamin . room beautiful comfortable . soon enter front door hotel receive friendly greeting several staff member door man concierge front desk staff . feel incredibly warm welcoming . bed wonderful enjoy pick selection pillow menu . ( fun different idea ) hotel locate convenient part town , nearby subway easy exploration city . night dinner drink hotel Emery Bar . staff fun friendly wine delicious . concierge also make great recommendation night dinner could not please . upon departure , concierge happy print boarding pass way . can not say enough great staff wonderful stay Benjamin . definitely back ! 
