perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 Sep 8 2009 	 Excellent hotel prime location 	 return 4 night Hotel Mela - wow fantastic hotel ! impeccable service start 8weeks ago discover Xcape Us go bump book Hotel Mela . slight panic rang hotel direct Pamela Reservations fantastic - finding happen , ring back say would ( unique experience travel relate company ! ) finally rebooke we well price upgrade boot ! level service plus review give really high hope hotel - not disappoint . arrival rise petal chill bottle wine room anniversary lovely surprise . Deluxe King 12th floor good size . bed comfy whilst bathroom compact shower excellent - powerful consistent temperature . bath robe , free safe lovely toiletry . view across building hardly noise street room . room keep clean also turn service complete choccie . staff courteous helpful good see free internet check boarding pass print service available . the location perfect city break - 2 minute walk Times Square 5 minute across 6th Avenue Rockerfeller complex . not eat restaurant next door affliate hotel seem pricey although enjoy drink . breakfast cross 6th Avenue go Red Flame - typical breakfast diner - popular excellent reasonably price food . we would also recommend Top Rock observation deck sunset light fantastic , Gray Line open top tour bus really thorough tour downtown uptown , Staten Island ferry ( free great view skyline Statue Liberty ) Visitor Centre World Trade Centre ( remarkable move tribute ) . 
 Sep 7 2009 	 great location average hotel 	 stay Hotel Mela 2 night . room small effective . place take shower sleep fine . ask high floor view street hotel Mela come . personnel always courteous helpful . cleanness room washroom without doubt perfect . negative thing noise construction site next door friday arrive . week end be activity site . besides , please Hotel Mela location ( near theather district ) intend return next time go N.Y . 
 Aug 31 2009 	 Excellence come standard 	 state enough hotel staff ... esp . Pamela reservation group Tirone concierge knock wife daughter foot go great . give enough priase group people courtesy professionalism exceed hope . time Hotel Mela staff take make family feel welcome make entire trip unforgettable event . 
 Aug 29 2009 	 Fantastic Service 	 second stay Hotel Mela . staff fantastic usual . automatic free upgrade Executive Room - nice large enough yoga ! ! good ize room NYC . definitely stay . 
 Aug 29 2009 	 great little hotel Times Square . 	 pleasant surprise hotel . exterior lobby bit underwhelming . check - in fine . read room tend run small , inquire large room . $ 50 offer executive room almost twice much space . take . well worth . room perfectly spacious , king bed nice sized bathroom . finish room lovely . nice soothe blue , marble bath , excellent bed . everything clean . tv bit tiny , view nonexistent . pay room , extremely happy . 
 Aug 26 2009 	 Super hotel 	 recently pleasure stay Hotel Mela 10 night package book Virgin Holidays UK . upon arrival upgrade superior room deluxe room ( great start holiday ) room immaculate , clean comfortable plenty storage space . stay every member staff attentive , friendly extremely helpful . if look small , clean immaculate hotel great location , would definitely recommend hotel . opportunity return New York would stay great hotel . 
 Aug 20 2009 	 Perfect locationgreat french restaurant next door immaculate room ... 	 book room recently Hotwire room get . upset fact hotel charge LESS great hotwire rate , chance took blindly book 4 - star hotel Times Square . however , highly recommend hotel , perfect location , great french restaurant next door , immaculate room , small view brick wall , hey , much time really spend room NYC ? pay upgrade king size room , yes , small comfortable . recommend use hotwire anything hotel want would gotten room 2 twin bed double bed . pay $ 50 night upgrade , wound cost we $ 255 instead $ 190 ask directly hotel , would return . would book directly hotel . friendly staff . 
 Aug 20 2009 	 ultimate relaxation comfort . 	 wonderful trip NYCThe Hotel Mela home away home comfort , cleanliness , overall accomodation . the staff cater ensure need meet . tirone , concierge , wonderful . help we plan trip start finish make much enjoyable . stone leave unturned . everyone friendly accomodating . 
 Aug 19 2009 	 Good Midtown Location 	 arrive Saturday morning red eye flight , tired 630a . stop hotel drop luggage see early could check . said & quot ; ? & quot ; wow . minute later go clean almost luxurious room plop king size bed nap . staff wonderful friendly whole 4 day stay . room small ( NYC ) nice particular room window sort atrium allow lot natural light . location step Times Square block 5th Avenue . pretty good . rate good NYC . would definitely stay . 
 Aug 17 2009 	 amazing ! 	 location great , right center city , easy access everything . room clean , attractive although small , still comfortable . quiet room staff attentive , helpful friendly . would highly recommend hotel . 
 Aug 14 2009 	 middle 	 first walk room , clean nice . reeked cigarette smoke . request new room . knowledge staff give we problem request it . once get new room , bed comfortable 6 small pillow little small . downside would saw 3 hooker outside hotel smoke cigarette frequently go back hotel . friend tell hotel staff look like shady business go guy shake head give & quot ; oh well & quot ; face . 's reason would not recommend hotel . 
 Aug 12 2009 	 good 	 go hotel Mela 5 day , July 27th July 31st , mom , sister sister - in - law . brother , live Brooklyn , book we 2 room good price hotel close Times Square . room nice , bed confortable , pillow stuff feather . clean . bathroom clean also . small refrigerator room , tv big flat screen . a / c work well . the elevator small though .... arrive go 2 elevator even though one bag . front staff nice . one night , mom problem A / c 5 minute call front desk , somebody room . breakfast include , problem . love hotel close Times Square near metro station . view room 's window luxurious apartment , view expect building Manhattan : P anyway , room sleep ... thing tought bit cheap hotel offer we drink thing eat , pay , price high . anyway , really like stay hotel recommend people want room close Times Square . 
 Aug 10 2009 	 Mela Hotel - 44th street 	 nice , clean room . excelent shower . nothing extraordinary relation business hotel . elevator slow disregard & quot ; close door & quot ; button . wait bit annoying . Staff require 10 $ deposit ( room , cash need ) umbrella ... bit delay be hurry desk busy another client . rather umbrella waiting room like another hotel stay at . the free LAN WiFi great . 
 Aug 9 2009 	 Nice hotel - excellent location friendly staff small room 	 friendly helpful staff . room small , get need . view anything except build across street . breakfast addict disappoint lack breakfast buffet fact can not breakfast 7.00 . eat la carte breakfast take long get little food opinion . 
 Aug 8 2009 	 tiny room terrible bathroom terrible view 	 pitch 4 star hotel ... simply . room incredibly small , border Lilliputian . simply can not room luggage time ; end put luggage wife 's floor leap enter bathroom . view crackly wall edge depress , borderline suicidal . the lobby tiny poor taste . daughter stay Sheraton pay $ 30 less magnificent room . 
 Aug 7 2009 	 walk 	 get hotel hotwire . rate 4 star completely disagree . describe boutique hotel expect tiny room . room queen bed foot basically walk around bed . mattress 4 star quality . hard . thermostat room work properly . set 72 feel like 60 keep change temp . could not find room light switch since hide behind tv- well know nite . absolutely put luggage travel light . bathroom small clean -one person time . problem hotel since leave article behind . I call leave numerous message manager housekeeping manager still wait call back week . obviously problem concern hotel forget cause will never hear ! 
 Jul 29 2009 	 TERRIFIC 	 everything hotel wonderful ... can not add anything else ... be central many attraction , within walk distance Bryant Park , Public Library , shopping , etc . 1/2 block Times Square theater ... restaurant attach hotel good . 
 Jul 22 2009 	 Great Boutique Hotel Times Square 	 try get 4 * hotel Priceline 3 night weekend Saturday night expensive split bid get lovely 4 * Benjamin Sunday Monday 3 * Mela Saturday . disappointed personally would rate 3.5 * . either new recently renovate room pristine . , however , extremely small small double bed . fine would cramp share . not know big room put small room , great rate pay , complain much . I make use hotel 's gym perfectly adequate free wifi - much appreciate . restaurant pleasant stay serve 11 , turn convenient . service friendly efficient . manage leave favourite cardigan closet hotel quickly respond inquiry arrange ship back Dallas . the great thing hotel though right Times Square . the thing irritated lack coffee maker room . standard hotel equipment expect provide one . 
 Jul 22 2009 	 Great Location Upscale Feelq 	 purchase one - night stay Price Line , visit New York City two day 10 - year old . totally delight withthe hotel . location fabulous , block Times Square . however , room quiet . staff extremely helpful , room luxurious feel . however , small , sleep together one Queen size bed . however , daughter love hotel . everything room lay well seem new . room lot amenity , beautiful LCD tv full channel , cd player , fully stock refrigerator ( although pay item ) , in - room safe . bathroom like - new condition , hotel provide robe hair dryer , addition usual amenditie . 
 Jul 22 2009 	 lovely . 	 husband stay Hotel Mela , impressed booked year . great location , great staff . beautiful , cozy room . comfortable bed . love . kudo staff . air conditioner stop work , send technician 9:30 pm fix . could not satisfied . BDM Nashville 
 Jul 15 2009 	 PERFECT 	 virst time New York soon arrive hotel Mela understand choice 100 % right . a hotel perfect location 50 m Times SquareSmall clean helpful stuff . the thing not like small size room thing hotel good value . 
 Jul 9 2009 	 amazing hotel amazing location ! 	 get great deal two room Hotel Mela hotwire.com . honest , not sure getting , think worth chance .. glad take chance ! hotel one block Times Square , near toy r Us . check , immediately offer room upgrade , allow check - in 10:45 since room ready . one room small , fine two girl . room clean elegant , bed comfortable . give we late checkout , gladly hold bag need leave train station . love service hotel , ask could we time enter lobby , help we get cab , make recommendation place go .. service impeccable . 
 Jul 8 2009 	 perfectly locate theater vacation 	 husband stay last week one night getaway Manhattan . get room attractive rate Hotwire . town less 36 hour hope see two play . could please location , handy access theater district . find hotel good value price pay . when check , ask could upgrade queen king size bed give Deluxe room king bed . room average sized Manhattan standard ( small standard ) comfortable , attractively decorate clean . feature usual amenity , include cable tv , room service , mini bar , upscale toiletry , etc . bed comfortable lot pillow . note , room suitable one two people , not know could squeeze even small child . our room second floor could hear trash truck 1 a.m. well street noise begin around 6 a.m . however , shut air conditioning / fan retire . , would leave night block noise really could not hear much outside . view great traditional sense , although could gaze upon Belasco Theater . we find staff friendly efficient . accommodate request place luggage storage room check handle retrieval jiffy . eat post - theater dinner restaurant please service cuisine . off - note request restaurant recommendation lunch -- front desk employee really could not come suggestion . overall , hotel comfortable excellent value Hotwire price . good feature , however , great location heart theater district . hotel easy walking distance many theater well tkts booth -- say nothing Times Square tourist attraction ( get photo Hershey bar Hershey store ! ) . highly recommend . 
 Jul 7 2009 	 Bustling Midtown hotel noise - free interior 	 yes , room small , even New York City . bathroom , hand , spotless spacious , large - scale wall mirror welcome accent . desk staff helpful ( although first person ask not seem know flat - rate car LaGuardia chauffeur gracious professional David ) . bistro next door delightful spot meal day , brioche french toast breakfast late - night outdoor seat warm summer evening . turn flat screen television house channel great background music ( Celtic - inspire week ) relocate messy snack basket minibar top armoire gain handy additional surface . really , really need desk chair , inquire advance will not necessarily get . get surprisingly quiet room central , secure location midtown Manhattan , step away Times Square , great price . work . 
 Jul 7 2009 	 central job 	 room - expect web site photo . twin probably slightly large standard double . bathroom small clean . thought bed disappointingly small US . british single give daughter great deal space spread use double . ( ) location - central Times Square probably pay for . the hotel well describe say packet . 
 Jul 5 2009 	 overrate site 	 room tiny byANY standard . Mine & quot ; window & quot ; size notebook afford absolutely natural light . happy stay husband seriously claustrophobic . space literally stand room . flat screen tv obstruct mini bar selection place put .. light switch behind closet hard find use . staff try hard make impression completely clueless answering question . much well deal price . 
 Jul 3 2009 	 Brilliant Location ! ! ! ! 	 first trip New York staff great , would tell good place go visit , eat , drink etc . room , although view ( surprising ) spacious , modern , great bathroom , surprisingly quiet even get free upgrade ! literally 2 minute walk Times Square 10minutes Broadway ! afford , will go ! 
 Jun 30 2009 	 Perfect 	 wife , daughter recently pleasure stay Hotel Mela NYC near Times Square , convenient location . hotel manage Desires Hotels show . right away friendly , competent staff take luggage efficiently check us room . room large & quot ; Big & quot ; Apple standard elegantly appoint . room brand new Samsung flat screen LCD television , upholstered chair , closet safe , desk plugs computer cell phone , minibar , basket full reasonably price snack . desire ' sense fun evident choice basket . king bed linen comfortable AC powerful responsive . bathroom oppointe marble glass . fitness center treadmill , mat , free weight tv . right next door quaint French Bistro enjoy refreshing cocktail evening arrival breakfast follow day . food good fairly price . would definitely recommend hotel look forward next stay desire manage property . 
 Jun 22 2009 	 stay ! 	 although place fairly new nice , find try take advantage rip get away . check , find add almost $ 200 bill - owe . take three phone call finally fix mistake ( could not handle first call ) ? last call put hold 10 minute ! ( ever hold 10 minute - seem like eternity ) . like try frustrate would hang - up forget . ' going happen . never stay . 
 Jun 18 2009 	 Love hotel amazing service 	 Pamela Curtiss continually go beyond make sure colleague everything need . I travel 50 week year always feel & quot ; home & quot ; arrive Mela Pam & amp ; Mela staff welcome we ! ~ thank 
 Jun 17 2009 	 Love ! 	 stay Hotel Mela time business perfect place stay ! room clean , service great ( super friendly ! ) , ' ve also able use work room also clean . would recommend anyone ! also pleasure work Pamela book room do everything make enjoyable visit . would highly recommend . 
 Jun 17 2009 	 great little hotel 	 one favorite place midtown . people , ambiance room great . Pam Curtiss rock star always willing go way help we . 
 Jun 17 2009 	 feel like comin ' home . 	 Pamela ( reservation / customer relation ) never fail we ( American Sporting Goods ) . moment book we , time checkout every request , feel well take care . Pamela entire staff 's priority clearly focus customer service . rare occassion unable stay Mela bit less enthused aboout come city . 
 Jun 17 2009 	 AWESOME / Clean / Perfect Location 	 continue favorite place stay.the clean room , awesome location , people reason continue stay here . in particular Pamela Curtis , always make sure Chairmen Board CEO take car properly . kind service make Mela go place ... 
 Jun 14 2009 	 great value money ! 	 stay 2 night son hotel . hotel well locate near Times Squares . although room 4th floor overlook 44th Street noisy . size room good , bed comfortable bathroom spotless . we pay $ 200 per night excellent value . great experience ! 
 Jun 9 2009 	 Personal Service good 	 Hotel Mela small boutique hotel heart midtown , step Times Square . good aspect hotel administration . John Paul , concierge , wonderfully helpful get we room upgrade three night stay party 6 . Rooms Mela small little view . however bed comfortable hotel clean reasonable price . John Paul prompt respond email extremely gracious response concern small room . upgrade we excec . king much spacious . everyone friendly general manager housekeeping staff . restaurant hotel arrangement one next door . enter restaurant must go outside access . reason smallness room , question 4 star rating hotwire . 
 Jun 8 2009 	 Cozy little Inn 	 book hotwire.com would recommend want stay Hotel Mela . reason get small room every see life . rate really reasonable website able get decent sized room . room clean small , staff professional unlike anyplace ever stay include Ritz Carltons . can not say enough staff , even ask move big room accomodate even full house . love customer always right attitude . take Hotel Mela long way . wish would booked package good v alue . stay want good central location right Time Square close subway good eat . 
 Jun 8 2009 	 must stay ! 	 debate back forth stay trip never regret choose little gem heart Times Square . room little small , service amazing ! ! ! ! actually head back tomorrow . 
 Jun 8 2009 	 Excellent Service Excellent Stay 	 colleague stay Hotel Mela past week wonderful . Front Desk Staff extremely helpful , especially Chris , location could not well . room modern comfortable . mela great value definitely return next trip New York . Ken Brune 
 Jun 1 2009 	 gem Times Square new clean contemporary good location around 	 get back Memorial Day weekend NYC . find Hotel Mela web . hotel convert office space 2007 . Decor contemporary , tastefully do . take picture bed , curtain , fixture plan show contractor remodel house . yes , like much ! front desk maid service fabulous , room extremely clean , A / C & amp ; heat immediate effective , free boarding pass printing , great price , good part location location location . hotel right smack middle Times Square , amazingly , window must well insulate not hear single horn taxi room . stay suite face back hotel , much view , suite spacious make lack view . two problem : 1 ) report smell cigarette smoke hallway outside room way one day . problem fix immediately time return back hotel , sign odor . 2 ) could hear ppl talking room next door , wall thinnish . not bother report b / c solution would move another room , not want waste precious vacation time deal pack back unpack . besides thin wall , really enjoy whole stay , staff wonderful friendly , hotel condition exceed expectation . , good part , beat hotel 's central location TImes Square . 
 may 31 2009 	 clean centrally locate exceptionally comfortable bed 	 highly highly recommend hotel central -- close everything Grand Central Station , 5th avenue , Times Square , subway , Central Park .... within comfortable walk distance almost everything . hotel provide love -- aesthetically decorate , extremely clean , comfortable room importantly , AMAZINGLY comfortable bed , bed certainly one , comfortable bed ever sleep ! ! ! can not say enough bed ! ! ! staff accomodate . ' ve stay hotel 2 separate occasion would stay . 
 May 26 2009 	 2 bird 1 stone .. 	 trip get R & amp ; r research trip bake co. memorial weekend Sat - Mon . we arrive 2:30pm want check tell room not ready yet . go kill time arrive back 4pm check upgrade room suite . even though stay big suite room , good enough size we . room warm immediately turn a / c. we second floor face front hotel noise wa not bad . noise die around 11PM . great hotel besides friendly helpful staff , location . street ToysRUs basically 1/3 block away Times Sq . we great time would definitely stay again . PS . sign & quot ; desire & quot ; program get free welcome snack .. 
 May 23 2009 	 love hotel mela 	 husband spend 3 day hotel Mela April 2009 love .... room small bed comfortable 's really matter travel .... noisy staff friendly ... could ask well location since 30 second walk time square ..... would definitely return would recommend anybody ..... Moncton , NB 
 May 22 2009 	 nice boutique hotel close Times Square 	 wife NYC 20 year familiar hotel . choose Hotel Mela Internet , read TripAdvisor review . disappointed . the hotel staff friendly extremely helpful . the location wonderful - 1 block Times Square . we room king bed . comfortable , modern furniture well do bathroom . hear horror story small NYC hotel room could , enough space room . I concern noise factor stay NYC hotel , never hear street noise people next room . this hotel definitely use return visit . 
 May 21 2009 	 wow ! can not wait go back ! 	 spend whirlwind 3 day NYC celebrate DD 's graduation . Chose Hotel Mela due location & amp ; good deal travelzoo & amp ; WOW great choice ! LOVED trendy decor , techno elevator music & amp ; light ( dd called & quot ; yellowvator & quot ; ) & amp ; fabulous atmosphere . staff encounter welcome without intrusive & amp ; extremely helpful direction , recommendation , etc . room immaculate & amp ; housekeeping even check we check see need anything else . concerned room size read prior comment ; however , upgrade queen king room without ask & amp ; room , least , feel like suite . bedroom area separate bath wide hallway contain work desk & amp ; nice sized closet - ( picture post today also ) & amp ; 2 window & amp ; 2 heating / cool unit separate thermostat . bathroom small shower spacious & amp ; water pressure good . light excellent & amp ; room coffee maker must . room safe big enough laptop , though computer available outside fitness center second floor need . elevator small time wait Sun 9 - 10 guess lot guest head check time . location can not beat - 1/2 block Times Square quiet have never believe close . hear minor construction noise one afternoon traffic noise , crowd noise , noise hotel patron . easy walk distance major sight - Grand Central Station , Rockefeller Ctr , MOMA , NYPL , Bryant Park , Central Park , 5th Ave shopping - & amp ; less 2 block Metro everywhere else . many great restaurant close & amp ; deli / convenience store 2 door - nice soda , snack , quick sandwich go . we ' ve already recommend hotel friend plan New York trip & amp ; anxious coordinate time together another visit . can not wait go back ! 
 May 21 2009 	 nothing special 	 return hotel . place nice , upmarket modern keep clean . location right Times Square central sight seeing etc . big grumble hotel lack sleep get noise hotel . understanably , hotel New York go silent every single morning 5 day wake early 6.30 noise staff corridor . housekeeping staff clearly tell soon work do finish knock door really early morning bang door clean . the acoustic hotel poor , could hear noise door close opposite end corridor . ice cake go check staff try bill we $ 4 allegedly thing minibar . in fairness , fight corner apologetic rectify . overall place ok , would not return . 
 May 11 2009 	 comfortable charming ! 	 Hotel Mela exceed expectation ! excellent location , right Times Square . really research hotel , decide Hotel Mela . wonderful hotel live expectation , exceed ! book directly hotel get good price . bathroom fine clean towel everyday want complimentary toiletry . 
