never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 Oct 21 2009 	 good value money 	 stay 2 night 18th - 20th october good value money , close covent garden , theatre , soho , tube station , room clean furniture need update , stay quiet room noise anywhere complaint supply 1 towel like drink lot tea coffee supply supply 4 small milk 2 tea bag coffee complaint , eat breakfast 8 am 10 am £ 7.50 reasonable also evening meal could eaten bar area take room bar open untill 11.30 , also lot sight see theatre brochure reception , quick booking , would use travelodge . 
 Oct 20 2009 	 good location not find noisy 	 stay Fri Sat night . fior wife 's 40th . want somewhere crash go restaurant shopping , location ideal . basic term decor facility , provide need clean tidy . staff pleasant . want bed 's ideal , great price too . have read review worried noise . sleep ground floor Drury Lane one problem . 
 Oct 13 2009 	 basic nothing special 	 stay travel lodge 1 night work collegue , room basic clean enough . location good thing place , covent garden market 2 min walk.staff helpful check desk 1 person ( going go slow ! ) 20 ppl behind us que . I wake 9.30am day leave man come room ! ( member cleaning staff ) not understand leave day stay 1 night come . 
 Oct 12 2009 	 NoSleep 	 location excellent . single traveller last weekend . stay new one 2 travellodge tower . pay £ 92 night 2 night . would worth £ 50 night , . see prison cell furnish . double glaze poor . space leave luggage . staff good , even basic room . Didnt sleep either night noisy night club road behind . musician move rehearse club finish 4 a.m. , could not even sleep . 
 Oct 8 2009 	 would stay hotel . 	 Travelodge well locate 's ! arrive steep flight stair reach hotel . nobody assist luggage . check 3:00pm area store luggage check - in time area wait in . we senior citizen tired trip order get room pay 10pound ( british money ) even though empty room . hotel dingy bathroom one bath towel one small towel . we trust travelodge future . 
 Oct 7 2009 	 Travelodge - ok 	 stay Travelodge Covent Garden weekend person last review also stay Holborn site family room . whilst deny location excellent central London price amongst cheap London , really get pay for . we arrive 15 minute check quite literally wait 15 min check . staff front desk pleasant soon give key room 5th floor . room consist double bed sofa bed , sofa bed definitely see well day bit grubby . excellent view derelict office block window . room apart sofa bed though clean present although basic clean modern way . as reviewer state nightclub nearby last Saturday evening continue throughout night 8.30am morning . 5th floor noisey window close . breakfast busy weekend lucky get table , food ok , simple edible expect queue seem chaotic time . opt late checkout luggage storage work well we . overall hotel basic central , will not return due noise . 
 Oct 7 2009 	 good 	 husband stay one night . going see Rowan Atkinson oliver'the hotel great location . could not sleep night traffic.but think expect londonthe staff nice . helpfulour car get small dent car park . that s life . 
 Oct 5 2009 	 not book hope sleep saturday ! ! 	 stay family room section Holborne . expect traffic noise Friday night not disturb sleep . however , deserted office block opposite room take raver partie til 8 am ........ loud music voice night ! ! shame location Covent Garden / theatre fantastic room fime . take soap ( even tiny bar wash hand supply ! ! ) serious earplug ! 
 Oct 4 2009 	 want central ; ocation clean accomodation good price excellant customer sercice . choose 	 stay 2 night , see 2 show , walk theatre , eat Covent Garden , 10 min round trip . can not beat price location , would get vote stay . pay twice much sleep London 
 Oct 3 2009 	 clean well price hotel middle theatreland 	 Traveloge lot offer choose stay Covent Garden £ 50 , price low £ 39 book right time . large hotel two site book reception Drury Lane 5 pm . busy member staff take time book we make sure knew hotel . decline breakfast , eat much loke £ 8 give room ' other building ' across road . short 2 minute walk first guy , direction find room 10th floor . typical Travelodge room . clean empty frill . soap / hairdrier/ fact extra could reception . well stock welcome tray extra pillow . the room quiet comfortable , could ask price Central London . we within 4 minute walk theatre evening resturant . taxis underground requiredwe buy tastey breakfast across road one many italian cafe cost half price Travelodge breakfast . 
 Sep 29 2009 	 central position - large clean room 	 return girl weekend & amp ; find location great , could walk Leicester Square meal & amp ; within 10 min either Covent Garden Tottenham Court Road tube stop . modern family room ample space & amp ; need , though first absence shampoo & amp ; hairdrier alarm we . however , able borrow hairdrier reception & amp ; we bring shampoo we . we 10th floor rather noisy though expect central postion . we eat breakfast hotel reasonable price , though tend eat busy time & amp ; hot food available time though refill fresh . I would recommend want hotel base centre London , probably visit . 
 Sep 25 2009 	 budget good hotel London 	 stay family room - spacious London standard expensive regular room . many expensive London hotel cramp comparison . great location ! short walk west end , holborn , british museum , restaurant , close everything . ok travelodge expect comfotable pillow , luxurious towel , shampoo etc . would never eat Travelodge either . real storage space eg drawer , fridge etc . air - conditioning . handle good deal . probably good travelodge stay good budget hotel London . spend extra money save night eat wagamma get breakfast pret manger ! 
 Sep 25 2009 	 get pay 	 cheap , noisy wear , Central London . my room quite large location price . bed soft tired . pillow squash minimal . one chair dress table hard . tv small LCD could watch easily bed . spare floor space could accommodate armchair . even though room several floor side hotel , traffic pedestrian noise irritating . hour wait room place plan . bathroom one two light work thick dust top sink light fitting show try change bulb . bathroom ceiling 2 large damp patch . bottled water available , although normally UK would drink tap water , sure would drink water bathroom . hotel disappoint anyone use comfortable travel . however , probably fine people tight budget school trip , leisure traveller taste / budget style occasional business traveller get daily allowance want save money room good dinner out . for avoidance doubt , 2 3 Travel Lodge hotel use last resort UK province well this . if want close west end almost certainly save money particular hotel shopping around internet ... realistic , price range everything pretty bad London . would use ? likely , company travel department would dare . 
 Sep 23 2009 	 do not stay early late flight luggage facilite 	 ok well get place think stand everyone first thing want get rid luggage get stanste express liverpool street taxi travel lodge must around 9 am go reception drop bag check be not untill 3 tell luggage facilite could not believe hear never hotel do not luggage facilite tell nearer place leave luggage underground station say 10 minute walk someone dosent know london take we least half hour find station get underground get lussge facility £ 8 bag feel stage run around luggage hotel worth , unfair eldery couple can not imagine drag around luggage around london find station late flight would check drag luggage know would never pick hotel matter priceapart room fine basic within walk distance covent gardens oxford street , even tho location great price ok would not stay luggage facilite worth hassel 
 Sep 20 2009 	 good location Travelodge 	 ' ve stay hotel twice - main hotel annex . room annex refurbish , seem cleaner spacious . go stay , would ask one new room ( although mattress generally uncomfortable travelodge ) .The hotel good location - 5mins Covent garden tube . good couple night London be go , would not want spend much time hotel . get one special Travelodge rate , make hotel good value central London . there numerous place eat nearby area safe be come back late night . 
 Sep 20 2009 	 Hotel Manager really helpful 	 stay business never London , speak hotel Manager friendly help get . Free Map , free information . 
 Sep 19 2009 	 Hotel good noise terrible 	 stay hotel three night husband two child . need somewhere central . give room new block Holborn know location get , still far holborn tube station . Monday night o.k . noise traffic much expect Tuesday Wednesday keep night noise nearby nightclub music start 10 pm go 6 am morning plus noise partygoer street . even husband heavy sleeper could sleep . keep window shut room become oven sleep cover include would never sleep way home . shame hotel good every way . need get breakfast early though get busy quickly people queue time table . 
 Sep 14 2009 	 would recommend .. 	 would recommend . Rang reception arrival time phone never answer . when arrive give room . room toilet break use . the person reception would not believe we . but give we another room , single room , double room pay for . switch room next day . room much big shower horrendous . be either hot cold . location brilliant hotel nice 
 Sep 9 2009 	 Excellent position noisy ! ! 	 find review site really helpful find hotel knowing go entrance Hihg Holborn family room . hotel excellent position . arrive Sunday allow 1/2 hour early without pay extra room ready . room clean everything need ; intend spend much time room ! first night harly get sleep due party / nightclub nearby . fifth floor still hear fight music 5 am . dread next night nothing except bus siren expect London . manage cram load three day central location , walk see Oliver Theatre Royal Drury Lane , amazing ! ! would reccomend franx around corner Shaftsbury Ave breakfast , £ 3.95 breakfast ample . Oxford Street within minute walk . Duck tour London Eye brill . 
 Sep 6 2009 	 great value central London 	 need place lie head three night stay London mix business pleasure . hotel fit bill perfectly mainly cheap thank Travelodge 's internet booking system . it not clean comfortable hotel stay ; room bore scare detritus early hen / stag party . not quiet hotel either stay central London hotel weekend expect quiet night . find all - night siren much din fellow guest disturb intrusive even consider stay ! not mind seem survive ordeal ! concierge staff surprisingly quite helpful efficient . , not expect much high - volume , low - cost transit hotel nobody come pamper - picky service expect staff walk behind cater every whim look wrong hotel ! hand , one ask concierge something appear quite quickly . we enjoy long weekend London mix business pleasure hotel choose cheap cheerful . would not choose spend fortnight hotel certainly suit purpose would certainly return . 
 Sep 2 2009 	 brilliant location great value 	 spend four night travelodge two child ( 9 13 ) say great location . able wander lot place , plus choice three tube station close . hotel typical travelodge . several cheap city break year thanks travelodge , know expect . breakfast good value kid eat free book online extra saving . busy , staff good keep we well supply . room sixth floor look onto empty office building ( old building ) . nightclub behind noisy Thursday night , other . always take earplug incase ! complaint would heat room , despite fan provide warm . overall great hotel friendly staff clean bed spend night . pay £ 160 B & amp ; b whole stay , really complaint price would definately return . 
 Aug 31 2009 	 Covent Garden - Travel Lodge- Great Hotel 	 stay Hotel Bank Holiday Week end . firstly wish drive NCP Car Park Next Door . Hotel ideally locate around 5 minute walk Covent Garden Tube Station . Hairspray Stage show 1 minute walk . the Hotel nice great room double bed , Tv , Ensuite , tea coffee . need hair dryer , iron board , extra pillar etc obtain reception . breakfast £ 7.50 eat much like . check 3.00pm check mid day . early check depart arrange extra £ 10.any question please ask . 
 Aug 31 2009 	 Fab hotel - basic ideal unbeatable location . 	 partner stay hotel four night July year good time ! ok , 's 5 star hotel unbeatable location , comfortable , clean staff helpful polite . double room clean spacious , comfortable double bed , average sized bathroom bath / shower , sink & amp ; toilet , flat screen tv , shelf rail hang clothe tea coffee make facility . somebody come clean room day get many extra towel like reception , well use iron . really need London spend day sight see shopping . hotel consist 2 building , one old . check old building around corner new building Drury Lane . stay new building , not get choice though idea get . however old building look fine too . there dine facility hotel 5 pm 10.30pm never back early enough try ! seem plenty choice menu though . Breakfast serve 7 am 10 am consist hot cold item include cereal , toast , tea , coffee , various juice traditional english breakfast , perfect set day . Bear mind cheap book breakfast book room save around 20 % cost breakfast . reception area vend machine sell snack , drink various toiletry too . it be location hotel make excellent choice , be situate Covent Garden opinion be unbeatable ! much right doorstep , many shop , bar , cafe around every corner ! theatre land literally across road Shaftsbury avenue . 5 10mins walk Strand , Piccadilly circus leicester square . covent garden tube station minute hotel Euston station 10 15min walk . I ' ve hear people complain noise area , honestly not really notice anything . grant late night get bed could hear traffic outside people general not effect we stay all . we stay week not cheap , cheap hotel pay £ 100 per night . nowhere cheap London think worth price location alone . can not fault stay love location much ' ve book hotel another trip December ! 
 Aug 29 2009 	 Excellent location spotless room 	 number hotel central great london good thing hotel certainly location ; right edge covent garden , 2 block covent garden tube , 1 block holborn tube , ton fab restaurant , bar course theatre right doorstep . arrive hotel ( old block ) I d look lot like shabby office block however inside completely different story tastefully modern decorate furnish . staff extremley helpful , polite friendly . give room 349 3rd floor double room face street side hotel . decent size spotlessly clean . however furniture little shabby certainly outdate side perfectly serviceable . sleep winow open room roast ! ! overnight hear noise warn bar nightclub etc however stayon Monday night . breakfast good range perfectly eatable certainly excellent quality worth extra cash include room . ( £ 7.50 breakfast ) .Positives- excellent location , could not well polite staff spotlessly clean . , fantastic value money ( pay £ 50 night ) .Negatives- air con , furniture could update iron / hairdryer toilettrie room . overall excellent value money stay ! 
 Aug 26 2009 	 not BELIEVE NEGATIVE comment 	 book 2 room Travelodge absolutley excellent price , start get little bit concerned day due stay read number review , mostly report negative . however , arrive , greet polite , smart helpful staff . hotel 2 block , one look bit gruby , build modern looking outside . inside clean , spacious room comfortable . not BELIEVE READ excellent value money - perhaps old block good ( Top Tip , ask Newer Block ) - GREAT location 
 Aug 25 2009 	 perfect location perfect traveler need much hotel 	 spend age try find place clean resonably price go site see holiday london generally spend little time hotel apart sleep . reception v friendly place clean secure , problem place 
 Aug 21 2009 	 bad Hotel Ever . 	 London business hotel pay company , however would recommend hotel anyone . it old shabby looking . room incredibly date . room particular wallpaper come wall . bad though noise . realise centre London , however noise come loud guest shout outside . even window shut could hear next ! thing wrong .. remote tv missingThe bathroom door not shut ( sign bathroom shut door steam shower set fire alarm ! ) uncomfortable bed . sink middle . back hurt morning . hot room . although ' Air Conditioner ' room , turn blows air outside . very old tatty furniture . breakfast poor . include rate point waste , however cook buffet poor . hot food cold , quality product poor . think cheap quality meat possible come close . my favourite part stay small fire cigarette bin outside . bar manager shout ' fire ' least 4 people , someone look like manager take notice . instead sensible thing grab fire extinguiser vanish kitchen minute get pint jug full water ! couple visit kitchen fire ( thankfully ) out . a joke hotel , sadly funny way . avoid . 
 Aug 20 2009 	 frill hotel not compromose quality serivce . 	 spend four night Travel Lodge , Covent Garden . call week hand ask quiet room new block . book old block ask twin daughter . old block twin family room new block double room . receptionist helpful change booking double put new block top floor . not realise could check new block check old block go across afterwards . arrive 1.30pm pay £ 10 fee early booking ( come back later ) , understand keep nightly room charger low . the room spacious , everything brand new spotless ( apart hand print window thing not spotless ) . staff , even extremely busy , friendly helpful . breakfast buffet sausage , bacon , tomato , scramble egg , bean , toast , croissant , muffin , fruit , yoguart , cereal , drink machine type coffee , juice etc . tasty fresh . dining room busy staff keep clean everything stock up . for Sunday night pay £ 32 rest week Mon - Thurs pay £ 49 . expect ' get pay ' get . eleminate extra ... room service , air - con , table & amp ; chair , shampoo etc . room hair dryer iron get reception free charge . not skimp quality service . would not hesitate stay . 
 Aug 19 2009 	 great location 	 book theses room several month advance stay twin room 29 pound night great price great location.on arrival staff freindly helpful provide we direction maps.basic room everything need cheap weekend away thing room quite dark , I d still stay . 
 Aug 17 2009 	 ok 1 night 	 stay several travelodge , new fresher . travelodge little tired . well , ' motel really , hotel - somewhere sleep rather somewhere spend time . I check 6 pm rather wait one girl reception ; problem group booking take time sort phone ringing ringing … a good location Covent Garden 5 minute away , Covent Garden . hate hotel call something ' obvious reason . room Drury Lane building overlook scary looking flat . however , turn quiet location . would stay ? 1 night ' ok ... offer price - £ 99 ' really represent great value money . frill - quite good . 
 Aug 17 2009 	 complaint stay 	 arrive early Holborn Street Travelodge pay £ 10 early check service . greet Chris ( Manager ) Doreen swiftly check , speak good English . regularly stay travelodge ask extra towel pillow straight away . stay 2 night room 461 , lift hear noise ( except expect traffic noise outside ) . live country make change city . the room clean spacious . shower work well soap expect . eat cafe excellent place eat near e.g . Browns Restaurant . if people read travelodge include price would many misunderstanding . budget hotel room service , telephone , porter service , shampoo etc . not expect thing disappoint like reviewer . the location perfect sightseeing foot , bus tube . stay would definately stay budget trip London . 
 Aug 16 2009 	 Location fab that s ! ! 	 get back 3night stay covent garden travel lodge Holborn building . two building Holborn one Drury lane . choose stay Holborn one rubbish review read drury lane hotel . imagine bad . start check slow , one person reception queue get big big . also staff english make really hard ask simple question . be not air con room would not normally much trouble England hotel soooooo hot everywhere hotel really hot make uncomfy . room basic clean okay . ruin noise , near center London noisy , traffic noise really bad well . manage get sleep end people do not get sleep 5 am . want great location do not mind anything else go . sure much spend travellodge must well place covent garden stay . 
 Aug 16 2009 	 average - worth going get good deal ! 	 find place expensive wfor get ( everything ontop ) pay $ 150 room not even get free internet breakfast . hotel two tower one old across road one new . try get new tower . old one date depressing . ok crash pad night , look around much well ! 
 Aug 15 2009 	 one night hotel enough 	 probably one bad hotel ever stay . picture room website nothing like actual room stay . portray website fresh modern , reality , ' dowdy old fashion . we try ring hotel en route one answer phone 5 occasion . one time let phone ring 7 minute – someone eventually answer immediately hang . get , queue system check ( like bank ) , impersonal , quite frankly , unbelievable . queue long ' time wait due prior appointment elsewhere haul luggage around London , return check later . when get room , one bath towel one hand towel two guest . phone room , go reception request towel . also tell soak wet carpet wet squelch one come look , room available request towel put floor could actually walk . idea carpet liquid brown come 3 bath towel lay . also report smell sewage . the mattress completely worn . like lie soft sponge , aggravate back cost decent night ' sleep . room small hot ( air con ) . drink bar later ( also breakfast area ) notice another guest also request another towel . mouse run around restaurant area , alarmed people , , one bother look report . point decide refrain breakfast , ' wait check out . there thing working room , main light tv remote one night could live . bit noisy outside nothing severe . plus side , location good , reason book hotel . actually feel sorry staff work hotel badly manage give Travelodge general bad name . wish take picture room ( especially mouldy bath ) see believe . try take picture mouse , unfortunately , quick . 
 Aug 7 2009 	 not stay 	 stay one night Mum partner , room hot noise street make sleep difficult . hotel regemente check , arrive 90 minute check tell wait come back , attempt make see room available . family room book give room double bed sofa bed make , also 2 everything , mug , plastic cup water towel . service available leave luggage mean carry big bag around London day stay follow day train journey . although cost low convienient theatre go con outweigh pro . would stay would recommend . 
 Aug 6 2009 	 value money 	 Excellent location easy walk distance three tube station . be noisy expect central lodon ask room back . we holborn road complex security good breakfast good selection hot cold . 
 Aug 3 2009 	 one bad hotel ever stayed 	 complete stay hotel . would stay answer would . book 1 room Friday Saturday , 3 room Saturday night . describe box room Friday night ( 107 ) . request move Saturday , problem . book rest family Saturday afternoon complete disaster . take we 30mins check ; queue door . book parent room already occupy ; sink 2 room drain properly . go get room change , people complain could smell sewage . room eventually give parent basic need updating . return evening theatre , around 10 pm bar close till lock , tell till faulty . morning enough cutlery , plate food cater amount people CafeI feel poorly run hotel , circumstance would stay hotel . 
 Aug 2 2009 	 hostel hotel 	 room disgust , really low grade hostel . stay many hotel worldwide include many UK Travel Lodge , place among bad . room ( 112 ) corridor stank , carpet outside bathroom soak wet ( hope bath overflow , certain ) ! bath area stain rot ( see image ) . furniture damage curtain large hole . even central location compensate appal state place . staff reasonably friendly helpful nothing offset disgusting state accommodation . Travel Lodge usually basic , clean efficient - management believe guest accept condition without reflect group corporate image . arrive late leave early - could bother complain , want get away ! 
 Aug 1 2009 	 much well expected 	 read tip website book room high floor ( 11th ) new building . check new building directly problem . room large clean , bed comfortable bathroom fine , good powerful shower . extra towel bed provide shelving unit . flat screen tv tea coffee make facility room . staff helpful friendly location amazing , close tube within walking distance many attraction . breakfast adequate good choice kid eat free , would eat breakfast elsewhere next time . noise street , would expect central London . book family room £ 35 night think fantastic value central London . long remember budget chain 5 * , book high floor room new building disappoint . would definately stay could get deal . 
 Jul 31 2009 	 great location basic cheap 	 Excellent location within easy walk distance Covent Garden Leicester Square . find three tube stop serve hotel well 5 min walk , High Holborn , Tottenham Court Rd Covent Garden . Travelodge pretty basic 's much doorstep spend time room anyway , great want keep cost . stay new family block High Holborn road far away main building reception bar / breakfast area . sainsburys extra outside high Holborn station pick drink snack need , Shaftsbury theatre near end block . downside luggage room prove difficult want day sight seeing day check in / out . early check in / late check get couple extra hour . travel Euston leave bag hold room pretty costly £ 8 per bag . 
 Jul 27 2009 	 first DIY hotel - very basic 	 arrival hotel Drury Lane tell hotel locate across road . 6 week holiday lot luggage surprise tell carry luggage steep driveway , across main road room . help provide hotel staff . room second bed son old lounge trundle underneath make , service provide , third towel , soap , hairdryer , phone housekeeping second bed . like third person exist . meal restaurant night obviously frozen food , nothing fresh table sticky . breakfast mug cup coffee , wait cutlery although food reasonable . table still sticky . 6 week holiday , bad accommodation . 
 Jul 27 2009 	 Beware - expect Travelodge ! 	 boyfriend treat trip London Birthday , really excited . choose Travelodge , Covent Garden ( although expensive other £ 233.00 ) fantastic location can not really go wrong Travelodge , ? ? ? Travelodge , not even bother read review impression would standard every Travelodge stay . wrong ! upon arrival see two different Travelodge hotel opposite side road . one look would expect , look like office block . , unfortunately , office block Drury Lane . * room small shabby , wear need total refurb . * wardrobe door miss . * divan bed valance sheet could see rip side bed . * huge crack bath panel . * silicone around bath terrible mouldy . however , decide make much fuss . proceed shower ready go evening not get shower noticed pipe miss hairdryer bathroom wall . would call reception ask hairdyer could use , phone room . dress go reception wet hair ask could loan hairdryer . girl loan hairdryer 2 hour ask anything else could . let know wardrobe door miss , time fetched manager . ask could come room look . get room look wardrobe simply ask & quot ; want door ? & quot ; reply expect furniture fitting room tact . tell would mirror door probably crack would remove not try use hairdryer sign say request one reception . sign . say bad attitude go complain , bare mind also remember budget hotel ! breakfast , enough cutlery , crockery indeed food ! People eat full english breakfast desert spoon drinking morning tea / coffee juice paper cup ! however , fantastic location . go stay , make sure get block across road , Drury Lane office block £ 233.00 two night , consider & quot ; budget hotel & quot ; even nice hotel ! 
 Jul 23 2009 	 great valuegreat location basic 	 book £ 29.00 deal Sunday night location great . I old original building room basic clean . the breakfast basic worth find well alternative outside . for pay great value , though would'nt book premium rate 
 Jul 20 2009 	 not try BOOK 3p.m . 	 could not beleive expected wait 3p.m . check group . time party book queue around 40 people behind - wait rain get reception . as mention review 1 hand towel 1 bath towel room 3 people - unhygienic potential Swine Flu epidemic . room look good initially , need good deep clean upgrade , especially window . still suppose get pay ! 
