ok 	 tell cut back . know times hard charge $ 300 expect fast service . room service take way long late meeting . 
 Oct 11 2009 	 exceed expectation 	 live Chicago , want weekend & quot ; getaway & quot ; , I ve always want stay Drake , call booked weekend week go . check around 6 pm friday ( work , course ! ) find upgrade junior suite executive suite ! hotel historic hotel , classic old - skool furnishing . truly beautiful site see ! ( look stay * modern * hotel , place , unless appreciate call & quot ; grandma furnishing & quot ; review ... ) . elevator little couch ( give good laugh ) force we sit every time elevator alone ( man right mind would publicly : ) ) . design hallway way room detail orient , tell craftsmanship great quality . hallway nice wide , need struggle getting pass other way room . room FANTASTIC ! corner room lakeview . parlor huge couch , armoire ( tv inside ) , large desk , table 4 chair . next room bedroom king size bed soft lovely , full least 6 pillow . next room bathroom marble stair lead jacuzzi tub could probably fit 4 people , seperate stand shower double vanity . def spacious , romantic room please . lot towel available use , big towel , small one barely get around body ! thing notice tv outdated ( least early 90 ) , well telephone ... however , maybe see keep & quot ; old character & quot ; hotel intact . appreciate kind stuff , esp create old - Chicago feel ! location wise , Drake really centrally locate within Mag Mile . one block north Hancock Tower Water Tower Place , ample shopping , stone 's throw beach , good walk Navy Pier would really like . we eat Drake Brothers Restaurant Drake every morning , part package . without package , breakfast buffet 2 would cost $ 52 , serve fyi . may say price , would expect anything less 4 - 5 star hotel ? ? ? food delicious wide variety choose from . concierge service lobby nice , informative ( people front we , least ) able provide bandaid ask - thank Andrea ! love hotel would suggest anyone come visit would not mind splurge nice hotel . : ) 
 Oct 10 2009 	 good time drake 	 get back trip chicago / stay drake . first trip chicago . agree previous hotel review . beautiful hotel incredible history . lobby upper restaurant / bar amazing elegant . food service great . one good meal Coq d'or bar downstairs . stop drink almost everynight live music every evening . wonderful . everyone work hotel helpful friendly . also good location . right across street bloomingdale . macy 's 2 block street john hancock building next door . encounter two problem entire stay.1 . prepay hotel room ( $ 247 usd executive suite room-10th floor ) not ready arrive 8 pm . said not clean yet , minute later say maintenance problem . put we another floor small room ( lake view ) . feel grade initially pay . next morning go complain immediately , without hesitation put we room previously request / pay . executive room large couch / sit area , king bed , desk chair 2 closet . happy room . private lounge also nice . lake view ... cold breakfast buffet include price . I guess main point want make prepaid / preselected ROOMS not guarantee anything . impression room prepaid would hold ready we upon check - in ... next day.2 . problem hotel room card deactive morning leave . leave room around 9 could not get back room 10 . check - out not noon . luckly husband let . alone step second pj 's ... embarrassing could ! overall , enjoy stay . room clean bed extremely comfortable . appreciate history elegance great hotel . must see.p.s . give 4 * instead 5 * due room issue . 
 oct 9 2009 	 Loved stay Drake Hotel 	 husband travel Chicago 15th anniversary stay Drake Hotel search great hotel reasonable rate . receive exactly deal hope ! take train Milwaukee arrive way check time person desk say give we free upgrade happy keep bag room ready even take cell phone number could call . work perfect go walk around area anyway happy bag take care . location within walk distance restaurant , shopping Oak Street Beach ..... beautiful ! anything else short cab ride away . go beautiful Palm Court drink dinner great dance band playing night . breakfast Drake Brothers amazing view Michigan Avenue lake . room huge 2 wall window . ' m sure one old room not refurbish yet , beautiful , none less ! beautiful , historical hotel everyone & quot ; get stay & quot ; list . hope continue offer special room reasonable rate may end run mill hotel chain miss wonderful experience ! 
 oct 9 2009 	 lot incredible history overrate ! 	 hotel incredible history beautiful architecture ' ve see magnificant common room ( lobby , ballroom , Palm Court , old style elevator ) not different overprice , 4 star historical hotel . friend get married ballroom thought would take opportunity stay Drake since ' m pregnant would easy escape room wee hour . check 3:00 time wedding trolley leave 5:30 need time get ready . check offer deluxe upgrade king room hitch would not ready hour . talk dangle carrot yanking away ! could not wait hour consider check not 3:00 can not imagine room not ready . settle exist king reservation ( $ 250 ) find room fine course view air conditioning unit next door Fitness area . much wedding party group book bonus ! can not imagine much money friend spend wed Drake ' m sure would mortify hear room guest give especially since & quot ; promised & quot ; everyone group booking would nicely take care . Pro 's - decor decent , slightly date clean . room decent size , noise room / floor negligible . bathroom ok size suitable one person time . Con 's - heating system horribly loud , turn night sleep , exhaust fan bathroom , wireless access free , bottled water $ 7.00 small bottle , split wine $ 25 , breakfast $ 25 per person another 20 % markup room service . coffee room not sure free room service menu say $ 15 pop Starbucks instead . park ok $ 39 night use public parking lot two door - even charge room tab . end arrive day early not room book . Hotwire find 3 star hotel $ 63 night magnificant mile area . not get 11:00 p.m. not picky . hotel end Holiday Inn Express . course $ 63 room overlook air conditioning unit well comfortable king bed , huge plasma tv , wonderfully decorate room , free breakfast , free wireless great location . room super small - basically enough room king bed really small bathroom money much worth Drake . build beautiful , location great , personnel friendly , self parking around corner . ok , 's ballroom , Palm Court Queen Elizabeth not stay really matter ? ? ? save money , skip Drake , walk want check , plenty beautiful hotel magnificant mile area alot less money ! 
 oct 9 2009 	 horrible HEAT HOT water 	 Drake greatly disappoint : • Valet lose car make late work• room not heat temperature 50 room• hot water intermittent ; hot water often shower• Management interested problems• Trash hall ways• wireless , ethernet• tv system date , not work well 
 oct 9 2009 	 fabulous price - make fantastic vacation 	 incredible price front desk seem bit put low price paying . however one not seem overly friendly . wait staff restaurant , staff lounge bellman wonderful . room not view lake , nice room almost seem like suite entry , sit area bedroom lay - out . family area come dinner we take teen daughter see room , 16 year - old say like walk Titanic . seem like accurate description old - money feel decor . going go on - line business center price seem ridiculous be Hilton gold . think free use part Hilton chain . 
 oct 9 2009 	 not miss scary butler ! 	 kid get complte hoot scary butler 's outside flower shop / gift store ground floor . ( 's motion activate speak come . ) sure miss ! 
 oct 8 2009 	 great location historical gem . 	 Drake hotel Chicago , IL historical gem . go August get great deal ! can not beat location , right shore Lake Michigan ! hotel steep tradition old fashioned , elegant hotel . like tradition , probably hotel you . if get room 2 bed , kind small . however , room clean view great . peaceful hotel staff pretty friendly . hotel surround great shop love cafe downstairs . also tea time , really nice . 
 Oct 6 2009 	 Drake like home 	 wife & amp ; visit Drake twice 2 year mini - vacation . since rarely travel , reluctant go another hotel know Drake ( familiar territory ) . describe & quot ; middle & quot ; hotel , expensive , cheap either . amuse complaint different hotel mini - bar price , etc . Chicago , everything expensive . liquor fact cheap min - bar regular bar ( Drake bar ) . room could stand upgrading , especially carpet furniture . feel good portion income conventioneer , lot go . hotel beautiful lobby , tea room service great . nice Espresso shop , neat art gallery , shop . access beach right across street , inclined . concierge never steer we wrong yet , use lot . go bday say stroll Rush street several place , . great time , simple , one block away . read reviews maid rattle linen closet , stay next one ( closet ) not problem . also read problem water pressure fine trip . our view not anything special , not come view , feel could specified one , rate might , sure . not eat restuarant burger bar . guy front always remember we need cab , helpful . bellhop take time point feature room we ( know already ) nice . finally , everyone notice Manager comment negative review site ? feel good follow - up . probably go back next year , bad experience hotel . stay go well . 
 Sep 29 2009 	 Beautiful Hotel 	 good experience Drake . get good deal Priceline still get newly update room 2 bed want . place still old ( door , carpet ) character . lobby gorgeous . we eat / drink beautiful bar . really bad experience concierge service , helpful even pay attention ask . expensive internet also . tip : take river architecture tour , wonderful . 
 Sep 27 2009 	 's smoke ... 	 another $ 25 , splurge large room check . drop thing go eat / shop . long walk fight crowd Michigan Ave . , return room want nap . kid weekend , pure quiet personal freedom . unfortunately , return room , stank cigarette smoke . push call button front desk , answer . call , impatient exhaustion , answer . third time answer number ring . explain individual room smell like smoke pretty nauseating . tell hold transfer front desk -- must roll another department . explain predicament , front desk ask could . want burden , ask air freshener . say would send someone . 15 minute later , smoke wait much , call ask another room . not anything available possibly 4 , suggest wait 2 hour room open . could not bear room , sit lobby & quot ; grandma 's couch & quot ; 30 minute realize would not find comfort . walk hotel see Bentley front . occur perhaps seemingly ignore hotel . give desk cell # leave actually believe would call . miserably prop head bar 4 , still not hear . not seem much interest make thing right . return front desk , apparently room available call we ( surprise ) . small previous room ( though must still worth extra $ 25 since never refunded ) . could hear people next room , not loud , not issue . primarily hotel err basic element -- thing take grant . thing would expect even Motel 6 . Homewood Suites stay month not fancy , much reliable . 
 Sep 25 2009 	 great hotel great city 	 could well time Drake . obvious one recently refurbish room perfect every way . room look onto Lake Shore Drive lake . unexpected bonus able watch professional volleyball tournament play beach . stay Drake several time past always get great service . stay different . bellman concierge doorman front desk staff waiter restaurant , service could well . Coq d'Or one favorite bar world . decor romantic bartender old school lot fun talk . also excellent breakfast Drake Brothers Restaurant memorable dinner Cape Cod Room . bed extremely comfortable shower perfect . bathroom large , well maintain . also love fitness center . complete cardio , weight , etc . common area ( lobby tea salon ) european beautiful Chicago . previously stay Christmas season huge Christmas tree train run lobby - incredible . already plan return trip next August . 
 Sep 16 2009 	 Huge Disappointment 	 excited stay Drake , hear wonderful thing . hotel elegant nice , overall experience disappointment definitely worth $ 300 / night . even check room , already charge credit card entire bill ( without we even know ) . charge we check , week later stay . first walk room , roll cot - that request - stand middle entrance , could barely walk around ! room tiny , old , view look like dumpster . toilet bathroom randomly make loud noise throughout night . could hear everything room next door we . hotel & quot ; booked & quot ; could not change room even want . also believe full , stuck young couple like we one shabby room . PLENTY hotel Chicago ten time nice price . stay one . 
 Sep 14 2009 	 grand opulent hotel 1920 still strut stuff well ! 	 wife recently stay two night base first real vacation time . book room Priceline.com ( $ 129 ) , give nicely renovate room 7th floor ( 703 ) , albeit fire escape / city view N. Michigan Ave . . room , however , quite large luxurious , wonderful bed bed , luxury toiletry bath , nice decor . however , real attraction hotel 's public space , well - attend curbside reception area opulent lobby Palm Court mixed use half - flight lobby . many interesting nook cranny hotel , nice shopping promenade within . high Tea serve afternoon Palm Court , delightful , live music dancing evening . bonus , serve 2000 Dom Perignon glass Palm Court . ever see ? wedding year , surprised present complimentary chocolate torte dessert half refill Dom staff hear ! make feel quite special staff , case many mid - tier chain hotel . finally , excellent breakfast Drake 's restaurant , opulent fairly price . ancillary charge seem basis many precede less - than - stellar review . overall , simply delighted hope return soon ideally - locate grand old hotel ! 
 Sep 12 2009 	 Fab Lake View 	 place dissapoint , upgrade room view lake - amazing ... seem like refurbishment since last time ... - great ! 
 Sep 9 2009 	 HMM ... money world 	 Drake elegant hotel well bring money . room nice elegant . avoid snacks mini bar since afford . never eat Hotel since price worth value many restaurant near . drake nice visit say find hard imagine family stay unless concern cost . economy not . location hotel awesome . close lot shopping nightlife . would spend money go ... . find modern hotel lounge enjoy good breakfast sleep . 
 Sep 8 2009 	 okay .... 	 hotel nice elegant . book room priceline get standard room two bed ( even though request ) upgrade . great start okay . room nice spacious , two closet two bathroom two bed ( couch , table , etc ) . location pretty good end magnificent mile . two short block rush street ( great dining ) close State Shopping . also could walk river approximately 15 minute . bar / lounge extremely price atmospher cheesy cruise ship lounge . spend time . ( tang . tonic 18.50 ) ! ! probably would stay could easly stay holiday inn express well location good breakfast include . get bang buck elsewhere . disappointment ( exept not pool ) great review either . would recommend stay somewhere loop , be still really nice little bit centralized . 
 Sep 7 2009 	 never .... completely let ! ! ! ! ! ! 	 second stay Drake . husband geat experience last year book year ( girl weekend ) . book family suite travelocity . check 8 am , tell room ready , would call become available early ( never call ) . store luggage go day . officially get room 3 pm . stay room 256 . avoid room cost ! ! ! ! first , room musty damp ... apparent enter room . carpet constanty damp . mold shower curtain bathroom wall . wallpaper bed linen stained rip . one lamp break . friend get shock attempt turn , reallize break . shower never work right . water come hot faucet cold showerhead ... time . housekeeping never come room . call towel . call third time ( 1030pm ) towel toilet paper night leave ... decide clean room . decline b / c get ready bed d / t early flight . the lady reception desk unfriendly ad refuse give receipt room b / c zero balance book travelocity . call management express dissatisfaction hotel service . told & quot ; sorry & quot ; get old room . previously love Drake , leave sour taste . book somewhere else next time . 
 Aug 28 2009 	 wonderful experience 	 wife pleasure spending Sunday night Drake 08/2009 . elegance property first thing impress . palm serve tea every afternoon great bonus . upon arrival professionally greet offer room upgrade recently remodel suite . room ( 736 ) clean , spacious , tastefully remodel . good attribute room overlook north beach amazing view lake Michigan . request room future visit Drake . dinner able walk Rush street nice time Tavern Rush . walk three block perfect stroll back . morning order american breakfast room service excellent ! lunch walk block south Michigan avenue lunch Cheesecake Factory , nice outdoor seat area foot Hancock building . shop bunch Michigan ave complete stay Chicago . would recommend trip anyone refreshing , romantic getaway . 
 Aug 25 2009 	 Old School Elegance Great Location 	 visit friend move Chicago stay street Drake weekend . location hotel fantastic - near great shopping , lake , wonderful restaurant . able book great rate ( $ 139 ) . arrive early flight , allow check early , price ( additional $ 25 ) . worth unpack regroup . handicap room , spacious . shower / tub combo ideal we , hand hold show head . room elegantly appoint , show sign age - old floor carpet , window casing , drape , etc . bed towel nice pretty new . furniture nice , tv rather large flat screened . bar area Palm Court beautiful - tea Friday afternoon , drink later evening . one complaint - one afternoon long day walk around town , return room discover key card would work . return front desk get replacement , right folk check . want get inside relax ! many aspect Drake remind Ritz Paris , include shopping area ground floor . want new hip hotel , . travel child , not place either . pool , activity - really great place kid . want great weekend shopping , dining explore Chicago another adult , would good choice . 
 Aug 24 2009 	 Grand Charming disappoint . great location view Lake Michigan . 	 stay Drake 5 year wedding anniversary August 2009 . hotel locate north John Hancock build Michigan Avenue . hotel grand charming . recently go extensive remodeling project everything look great . even upgrade room anniversary . room perfect overlook Lake Michigan . walk front door Drake ' Lake Michigan . hotel staff friendly helpful . greet curbside Ben smile . help we unload luggage friendly . use parking garage door Walton . less expensive hotel parking ; $ 35 day verses $ 49 . location perfect ' walk distance entire town attraction . also grab red line close Chicago Ave . bus work well . take Michigan Ave Museum Campus Bus Shedd Aquarium . historic hotel pack story . book inside room tell lot hotel , especially history . Cape Cod Lounge really neat ' basically 1920 ' . bartender knowledgably history Cape Cod Lounge . ask look " MM " Joe DiMaggio carve bar wife Marilyn Monroe . Gold Coast Room Palms Room elegant . disappoint Drake . 
 Aug 23 2009 	 typical grande dame hotel 	 gracious , lovely semi - restore grand hotel spectacular location near Michigan Ave become Lake Shore Dr . lobby elegant , elevator fast small , indicate light indicate 6 arrive one 's floor , door open . guest room door properly close pull shove close . room spacious , window even open inch ... marvelous ! bed wonderful , small refrigerator plop room ... useful , appreciated , rather unsightly . * n hotel caliber , appear & quot ; build & quot ; rather freestande . staff pleasant helpful 2 day visit . 
 Aug 19 2009 	 pleasantly surprised 	 return 2 1/2 day convention Drake & amp ; pleasantly surprised classic elegance . 6th floor room spacious & amp ; comfortable . bathroom location provide lot privacy . banquet food serve several hundred we Friday night Sunday brunch tastiest ' ve enjoy time . server excellent job ! place quiet consider Air & amp ; Water Show outside . elevator somewhat small , prompt . narrow door not forgive get way . build 1930 , lot stairs area . Expression Lavazza ground level serve great italian coffee , sandwich & amp ; ice cream Oak Street beach short walk away . hope able stay Drake . 
 Aug 16 2009 	 expect ... ! ! ! 	 one word : spectacular ! ! staff : classy serviceable . top ! ! 
 Aug 13 2009 	 okay great . 	 stay Drake 3 night . service friendly , 's bad locatiion , way salty get . actually Chicago & quot ; second city & quot ; reason , can not hold candle New York . one bright spot Rosebud Steakhouse street , excellent restaurant . 
 Aug 13 2009 	 's Nice Famous Fantastic location otherwise ok 	 excited stay Drake would hear much . true , amazing location , nice . 's qutie nice expect . reservation process annoying . first , hotel make error reservation hotel absolutely nothing correct mistake . request early check - in not tell would pay $ 25 fee check noon , book flight arrive hotel noon , tell fee . would liked know request early check - in - good info aware , general , feel hotel unresponsive problem . my room bit old . good sized room , although hear tiny room . bathroom update , ' m think may happen late 80 early 90 . granite , dececnt size , bathtub nice economy hotel flush toilet wall look like public restroom flush . bed qutie nice - nothing blow away , nice . no robe , slipper . nothing else signify & quot ; luxury hotel . & quot ; Room service seem even pricy one could expect mediocre . ditto bar go lunch one day . there business center , cost $ 12 spend 6 minute computer print 4 page . ridiculous charge kind money consider much guest spend stay dine Drake . know many hotel not specifically business traveler charge fee business center , come across petty . view lake city phenomenal , though , location really spectacular . I would not recommend Drake friend think well / nicer / cheap hotel Chicago , friend intent stay Drake certainly would not discourage he / she . 
 Aug 11 2009 	 Faded - great location great value 	 Drake world class hotel much go . location good Chicago - opposite Bloomingdales , near Rush Street , overlook beach . history definate sense granduer . say , look bit tired . public area ok , room little wear tear ( still certainly acceptable ) . service also bite surly time . say price seem reflect . pay $ 350 per night junior suite . excellent value . tend stay expensive place Drake - location style Drake make regular stop Chicago . 
 Aug 10 2009 	 Updated Elegance 	 Drake lovely historical hotel Chicago . recently renovate , hotel look fabulous . room comfortable great bed , big bathroom window open allow fresh air first nice day spring . staff professional gracious . lobby , harpist play music afternoon tea . nice touch enjoy type service . great coffee shop ground floor recommend breakfast lunch . location excellent well . 
 Aug 8 2009 	 service manner style - rely 's history / former reputation 	 arrive midnight Thursday ( still prepaid ) . bed change previous occupant - pubic hair etc bed , top sheet . informed front desk . informed 30 minute sign anyone . maintenance man come see problem . come back 10 minute later sheet fact duvet cover . tell duty manager next morning . apology , statement embarrassment - nothing . would highly recommend stay . 
 Aug 7 2009 	 beautiful hotel rest laurel 	 Hilton Gold vip hhonor member past year , generally happy serivice receive various Hilton hotel Chicago , New York City , Washington , D.C , San Diego . look forward stay Drake ; visit hotel past dinner drink . unfortunately , recent stay , doubt go back . travel least 4 - 5 time year , ' ve stay several comparable hotel know Chicago many option . the pros1 . wonderful location ! close walk Mag Mile , Gold coast , River North shopping dining . Lincoln Park short ( ~10 - 15 minute $ 8.00 cab ride ) drive away . Oak Street Beach within walk distance running.2 . terrific conference / catering service : food service wonderful meeting . staff cater professional accomodate ; highlight discrepancy service area ( please see ) . definitely would return Drake / recommend other meet / cater facilities.3 . beautiful lobby , bar , dining area : bar / restaurant staff professional prompt.4 . heavenly Beds linen extremely comfortable -- good hotel bed sleep recent memory ! lasource bath amenity also nice . room clean , althought carpet / upholstery bit worn . the Cons:1 . gold vip hhonor member , request upgrade . never issue request ( part member ) hotel ( i.e . Hilton Gaslamp San Diego , Chicago Conrad , Millenium Hilton NYC -- terrific service regard ! ) . tell could upgrade executive level room & quot ; available & quot ; ( yet folk conference party HHonors member get room Executive floor ) . addition , since not require complimentary breakfast , ask ( twice ) way could receive complimentary internet instead . tell possible unless & quot ; downgraded & quot ; room ( seem unreasonable , since room low floor -- 4th floor -- partial lake view great view heating vent ) . tell could speak Hilton HHonors customer service . customer service representative contact manager ( Tom Thomas ) , never receive courtesy response . really would liked opportunity make think small request ( free internet versus executive floor upgrade ) .2 . cleaning staff : two consecutive morning , clean staff enter room ~ 9 without check see still . luckily , early riser . 3 . front desk staff seem professional enough clearly particularly warm/ amenable move beyond cursory motion help ( see ) . also make error charge mini - bar item take anything . reluctantly remove charge . overall , drake many great quality . beautiful hotel great location wonderful facility terrific catering staff . addition , room clean bed terrific . unfortunately , front desk staff , lack response General Manager despite attempt contact , lack basic courtesy ( Hilton HHonors member ) leave bit perturb . hope Drake rectifiy issue . , would look elsewhere first hotel area ( i.e . Hotel Burnham Monaco , Hotel Intercontinental Historic tower , Swissotel , Conrad ) . 
 Aug 5 2009 	 could not well 	 Drake really - be across street Oak Street beach , walk many great rstaurant , John Hancock 2 block away . service impeccable , room nice - pay extra lakeview , lobby & amp ; restaurant grand . thought also quite economical - considering receive . look forward stay again . it 10 . 
 Aug 4 2009 	 Great Historic Hotel 	 group we stay Drake Hotel weekend April . great historic hotel . stay , like historic hotel , want ultra modern . room nicely appoint , tell historic hotel . lobby beautiful interesting nook cranny . breakfast brunch buffet also good decent value . location also great , make easy walk get anywhere city . would stay next time Chicago . 
 Aug 1 2009 	 great historic hotel great location 	 wonderful hotel ! room well appoint comfortable ! location begin magnificent mile perfect . able walk everywhere . hotel everything hope ! eat gibson good steak ever ! ! ! 
 Jul 21 2009 	 pay less get . 	 & quot ; fanciest & quot ; hotel ever stay expect much . tell bathroom seperate tubs shower , get , case . pay king room small sitting area kidding say small . actually one chair small table front window . nothing special . bed good thing room , not sheet sleep . comforter . phonebook room , pool , free breakfast , price mini bar outrageous . mean really , $ 3.50 snicker ? sister law pay $ 6.00 individual kid size box cereal milk . self - parking full park street another parking garage end cheap . basically pay bed name . parent go Chicago stay Holday inn well review . unless look good night sleep , would recommend hotel money . also , offer we transportation suggestion except ask red line . tell we seven block away give we map get . Holiday Inn offer shuttle parent Navy Pier ask . one thing , get stick room $ 188 night ice maker right outside hallway room metal ice bucket . let us say , tend make noise ice dropping compare plastic bucket . 
 Jul 21 2009 	 Chicago Favorite 	 Grande old dame Chicago -- favorite hotel , lovely staff , impeccable , brilliant foodstuff , one good nation . 
 Jul 20 2009 	 true classic 	 - stay Drake . place expensive get good price glad . hotel amazing inside . feel like walk different era enter . room smallish normal Chicago . service spectacular - standard hotel judge . bottom line - get good price stay . can not get good price everything Chicago expensive stay least enjoy cost . can not stay , stop walk lobby next time visit know stay . 
 Jul 17 2009 	 Classy Historic Hotel 	 great hotel North Michigan Mile area . walk Navy Pier Chicago Riverwalk ( mile hike ) little Millenium Park . bed comfy . toilet nice super flush ! shower good water pressure . cfl bulb light fixture help save energy . concierge knowledgable . close local beach , 2 block away . 
 Jul 11 2009 	 Beautiful Historic Hotel 	 Stayed Drake 3 day December . get last minute deal internet , extremely decent rate consider Christmas time . hotel beautiful , particularly holiday . large Christmas tree decorate lobby carroler walk around singing . room pleasant . high ceiling , entertainment armoir . bathroom spacious clean . location north end Michigan Avenue - convenient tourist visit holiday . visitor summertime , Oak Street beach across street . 
 Jun 26 2009 	 avoid Chicago Drake 	 not spend money Drake . place classic - nothing remarkable . rickety old building hold together thick layer paint . warning - staff . charge ( lot ) anything budge anything return . read review . case , ~50 person meeting ( along rent ballroom ) two reservation accidentally make 3 day instead two . immediately desk staff point fine print form state & quot ; contract & quot ; charge full day rate early departure fee . one person able get retract second day . lie Assistant Director Tom Marshall tell nobody give break . Tom refuse talk comp have person threaten call security . will make sure corporation aware place . 
 Jun 15 2009 	 Good Value - Nice Staff - enjoy stay 	 get Super deal hotwire , first concerned review tripadvisor , great stay . location Drake awesome come shopping see North Shore . little way downtown , block red line . the first room receive nice view wall ask upgrade get beautiful room lake view rest stay . first room peel wallpaper bathroom toilet strange location , plus air conditioner pop bang . overall first room nice size , small . the second room lake view nice quiet large . bed large soft . pillow really nice well . come coffee maker , full sized iron board iron along hair dryer safe . say must put 90 % attention money lobby , beautiful , room really ' regal ' think might . ' get wrong , nice , nice lobby , would give hotel 7 star . appear guest room sort afterthought . the desk staff nice accommodating . if ' receive scream deal hotwire , ' sure would worth standard rate . 
 Jun 8 2009 	 room need update big time 	 definitely Chicago classic arguably one good location city . come wedding , rate still $ 250 night group discount . not since H.S . prom 1990 . lobby common area still elegant , classic . staff efficient professional . room really dirty , dumpy , need update big time . Carpet seriously 40 year old need replace . bed ok , tv old POS . really expect , willing sacrifice rest place . the wedding great , can not remember room , awesome . food good service stellar . be think wedding guest disappoint ! 
 May 23 2009 	 truly classic hotel helpful friendly staff 	 give Drake 's reputation read review site , unsure whether excited . bowl quality hotel , helpful staff tastefully decorate room . stay many place many country would rate Drake one good hotel experience ever . 
 May 17 2009 	 Disappointing 	 excited know bid land Drake . expectation go roof give reputation . first arrive , impress nice lobby grande ambiance lounge . step inside room , feeling turn disappointment . room small . twin bed comfortable also small . bathroom outdate . cleanliness level subpar . minibar dirty . wireless connection room ! ! give pricey room , one would expect hotel . extend trip Chicago look another hotel stay . 
 may 5 2009 	 bad hotel service 	 husband dine cocktail room , Coq d'Or . beware bar tender , slip drink check without notice manager think idiot lie face . 
 May 1 2009 	 treasure 	 enjoy trip Chicago Drake - everything beautiful - 's lavish lobby cozy room - bar tea time wonderful well . drake truly gem Chicago area recomme guest afford stay . 's cheap - memorable ! 
