Trendy 	 stay last week 4 night great time ! ! & quot ; wonderful king & quot ; 21st floor trendy pretty spacious amazing comfy bed ! ! ! ! ! location fantastic bang middle Times Square ! ! ! staff really helpful friendly ! ! 
 Wonderful 	 spend 5 night W week honeymoon hubby 40th birthday . request room overlook Macys Thanksgiving day parade get one room 2904 . arrive little early check give we voucher free drink bar wait . room great size plenty room storage great flat screen tv . staff great friendly . hotel right Time Square be not noisy night 
 family great stay trendy hotel -- feel like celebrity ! 	 family stay W Times Square July . location perfect -- right hustle bustle Times Sq locate fairly quiet street near cute restaurant delis . doormen friendly ! love walk waterfall - adorn ground entrance . enter lobby , feel like be trendy club , be definitely pretentious . staff nice accommodating . whenever request , respond right away . room decently sized ( New York City ) , quite chic . view amazing . delicious dinner Blue Fin ( restaurant locate downstairs ) . make sure save room warm cookie plate ! be good ( seafood ) . concierge also knowledgable patient lack NYC knowledge could spend load money w store . finally , can not beat Bliss bath product glass - enclose shower ! 
 Oct 26 2009 	 Underwhelmed ! 	 Lobby smell like indoor poolchewing gum wash basin roompostage stamp size towelsonly 1 bathrobeno room service 1 & amp ; 5pmnot cheap , many great hotel NYC go 
 Oct 19 2009 	 Excellent Hotel 	 great hotel . beautiful room . go Blue Fin restaurant late night desert desert fabulous . hotel lobby turn bar / lounge night . ideal young crowd . 
 Oct 18 2009 	 Glad go back W Times Square ! 	 spend 4 night W Times Square ( 6/10 - 10/10 ) .I go back view great bed , hope lucky get corner room . however corner room available . first put room 30th floor basically interesting view , hotel across street . I put request room change , staff helpful friendly try find solution . , 1st night , move 48th floor , corner room nevertheless room great view . so : staff = friendly helpfulroom : newly redecorate . love style , ' m fan . I must say first room ( 30th ) minor issue , room look new ' finish ' , towel small hole , sheet , nothing major sure , would not complain . 's something would expect 4 - star hotel . the room 48th floor impeccable though . location : perfect ! ! ! ! concierge / doorman : helpful ' snobby ' : - ) safety : female travel solo , issue , safe location ! truly enjoy stay go back fourth time get chance ! thank guy , N , Belgium 
 Oct 17 2009 	 W TIMES SQUARE 	 Stunning hotel & quot ; Bliss & quot ; ful bathroom ! ! ! ! glamourus bar shame view . Great Location . 
 Oct 16 2009 	 Perfect Place Spot Tourists want fashionista 	 know ' m getting stay W hotel - - high design , busy lounge / lobby , good - look client base service attractive helpful - Times Square W meet expectation . not get wrong - like hotel , maybe way like Vegas . 2 - 3 night ' m wear . room small decorate feel much big . bath perfectly fine - - small . room service avoid staff friendly pretty ... & quot ; with - it & quot ; . bar become scene night must say bartender actually quite good . ny business need stay Times Square try Marriott Marquis Westin Times Square . simply town big city weekend ... W Times Square perfect . 
 Oct 14 2009 	 beautiful classy 	 def pretty livable hotel ; state art room ; nice lobby ; great location ; lot food nearby ; public transportation taxi accessible . friend 40th birthday , wonderful time ; one bother unless want bother . would highly recommend stay leisure business . modern date ; sheek 
 Oct 14 2009 	 excellant stay 	 worried read previous reviews- especially staff . amazing helpful dorr staff check go reasonably smoothly . book Spectacular room floor 31 check wonderful room . query change straight away . make way room 3208 Spectacular . room twin bed planty big enough 2 friend - view amazing could sit chaise day watch . room service evening meal amazing also eat Blue Fin last day food good . bathroom little see light nothing could deal . meet friend Washington take we cocktail Penninsula Bar top Penninsula Hotel great . although meal Johns East Village amazing - family run restaurant amazing staff diner feel really comfortable would reccommend anyone - although take cash do not take card . shop brill - weather great - amazing trip top visit Mamma Mia Broadway . also must forget tomention Juniors breakfast lunch cheesecake whatever 2 block hotel next Lion King amazing . 
 Oct 14 2009 	 City Break 	 Mu wife last year october go NY shop time without two lovely kid . this year book W Times Square . booked & quot ; Fantastic Suite & quot ; @ 650 usd night . suite actually live room & quot ; sleep room & quot ; . fit wonderfull bath room wc well separate wc room connect ling room . good room . the hotel ideally situate ! european use shaver outlet bathroom - however european plug - ask one plug get one price usd 10 , - . high price service would consider include . every morning complimentary newspaper deliver ! however internet access cost usd 16,95 24h . think hotel well save paper free internet - become common . internet speed slow 400k/400kbut hotel wonderful staff ! 
 Oct 13 2009 	 wonderful everything .. 	 stay last weekend wife , first time since son bear 4 year ago get spend weekend away . wife 's word , & quot ; hit park . & quot ; check check , staff unbelievable anytime need anything staff door within second . far room concern , agree reviewer 's suited romantic partner family . stay spectacular room 54th floor overlook Times Square . could see Central Park distance Hudson West . room clean , issue , sexy , frosted wall surround bathroom cool ( big reason 's great place family ) immense smoky mirror wall headboard . lighting also cool furniture . waterfall sink bath really neat ( hard pour water iron rain shower stream setting ) , shower roomy enough two cool blue lighting . enter room cover bed entrance rise petal ( per request ) , forget 6 chocolate strawberry request . call 10 minute , remove charge petal strawberry account . notice one bathrobe someone 5 minute another one . wife need dress press prior we head 21 dinner , even though past deadline garment press return day , whisk away wait us closet get back hour stroll around CP . bar downstairs also neat , hop night , wish would go instead waste $ 40 two drink Gilt . room service DELISH . recommend place enough , yeah , 's Times Square , be centrally locate walk place . complaint need invest new shade .. like kill amount light come room , although not horrible , ' ve stay Hamptons well shade W.Great hotel , sexy , wonderful service . 
 oct 9 2009 	 fun trendy hotel 	 spouse stay 3 night W Times Square August . hotel location great view amazing . old hotel ( 50 something ) really enjoy vibe hotel - make we feel young ! service great room small side small comfortable ultra modern . second W hotel stay ( one Scottsdale ) would definitely stay another one . 
 oct 9 2009 	 location center excitement non - stop people watch ! 	 love fact hotel centrally locate perfectly quick short walk Good Morning America studio , perfect we since ticket show stay . upgrade slightly large room upon arrival , due anniversary celebration , nice touch . hotel 's amenity average , nice . bar beverage tad over - price , not area ? take full advantage hotel 's concierge staff , lot question place go . staff knowledgeable always friendly , helpful . like fact issue umbrella guest upon exit hotel rainy day . eat hotel restaurant time breakfast lunch . particularly impressed , especially since become ill eat late nite dinner likely due cross contamination . overall stay pleasant , hotel bit over - rate . 
 oct 9 2009 	 Positive Experience Frequent Traveler 	 travel LA NYC since January , ' stay ten different hotel Midtown ( mostly Starwood Marriott property ) . time move hotel hotel two three stay bad experience would eventually sour interest continue stay . also avoid Times Square cost , back early April , book room W - Times Square last minute travel plan leave choice . lucky , return hotel business travel ever since first stay seven month ago . no hotel staff consistently friendly accommodate folk W - Times Square . ' sure manage resilient much heavy traffic Blue Fin , high tourist volume , brief glimpse frequent guest demand , team ' get spade . experience , door man attentive pleasant hail cab , help one ( thank , Eric ! ) . front desk staff pleasant welcome check - in , go extra step explore option good meet preference ( thank , Christopher , Ricardo Pamela ! ) . staff on - hand store , retrieve , ' deliver ' luggage room quick friendly , keenly appreciate attentive housekeeping ( turn - down ) service . one hover tip , ' never experience see member staff snub solo discrete guest order rush side another guest travel mountain designer luggage sport predictably trendy gear . frequent traveler business , efficiency , comfort quiet important . many hotel NYC long overdue refurbishment ' design accommodate volume guest today ( need ) , really appreciate W - Times Square fit purpose . small thing add , like elevator quick function hour gym equip plenty treadmill ( locate basement huge plus ) . need something , ' whatever whenever ' line answer promptly hour call . also pleasantly surprised discover beyond bustle lobby , hotel quiet work - friendly . room plenty outlet sensible place enough flat ' work ' space spread comfortably . ' time break , enjoy access BBC America iPod docking station , also go without say bed Starwood property good sleep town ' ready call night . spend many , many night W - Times Square positive experience report , keep weary traveler fiercely loyal . 
 oct 8 2009 	 Great Hotel 	 spend five day NYC 4th July weekend . son , age 5 9 super impressed tthe W , grown - up . absolutely complaint ! staff wonderful ! 
 Oct 8 2009 	 nice room excellent view free internet ? 	 funky lobby interesting lighting . pleasant staff . good - sized room ( NYC ) outstanding view , large window comfortable bed . thin wall not exactly soundproof however . exercise room could use machine . be pay $ 450 / night free internet access ( either wire WiFi ) ? Hmph . 
 Oct 8 2009 	 wonderful time W hotel Times Square ! ! 	 locate perfect spot , around corner Times Square , W hotel magnificent . wonderful room ( believe one class high standard room ) great ! young enthousiastic people run place . make trip New York even unforgettable . thé perfect place stay New York consider hip trendy , hotel exactly ! thank W New York great experience ! 
 Oct 7 2009 	 great location friendly helpful service v small room 	 helpful reception staff greet we arrival . decor modern , minimalist , tasteful relaxing . location fantastic Times Sq advertise . stay quad room room size apart suite cramp . room supply excellent toiletry . would stay would go 2 room would make pricy , perhaps would get well value elsewhere . 
 Oct 6 2009 	 Loved W 	 stay W Times Square take cruise NCL Manhattan Cruise Port . we spend 3 night W upgrade spectacular room . view well worth . love hotel feel welcome time arrive . the hotel great entrance walk water feature get elevator take 7th floor lobby . check smooth get room realise give room grade book . reception fault clerical error reservation . call reception double check advise come straight would correct . get reception staff apologetic new key card wait we . our new room lovely exactly expect would stay hotel time . hear noise Times Square room reaxe love feel hotel . whilst certainly understand somepeople do not like hotel love . like modern hotel young feel will love hotel . 
 Oct 5 2009 	 Pricey worth . everything attend ! 	 Fanstastic may overuse , good way describe W Hotel Times Square . everything attend . Doormen street friendly helpful . check - in smooth . give late check - out , upgrade suite treat like royalty - good reason guest . view amazing , location outstanding mid - town . first time NYC , indulge spend dollar make lifetime memory ! 
 Oct 3 2009 	 FANTABULOUS ! ! ! ! ! ! ! ! 	 trip start Buffalo NY Hamilton , cheap fast fly Buffalo .... Great Flight Jet BLUE take hour way .... land JFK 15 min get luggage private town car WNewYork Times Square . arrive approx noon room be not ready big deal take cell # store luggage enjoy adventure . as Anniversary present Husband .... ask bottle sparkle wine ( hotel give we chocolate cover strawberry free ) room arrive ..... Jason terrific Whatever / whenever service Hotel call we check smooth . really do not understand neg review .... be not expect overly spacious room read small room NYC room nice spacious . elevator run smoothly issue wait get room . like idea use room card elevator security measure Lobby bar .... ( livingroom ) open general public . just everything cascade waterfall come hotel elevator 7th floor ( lobby ) fantastic .... first time NYC FABULOUS time ! ! ! Staff go way help concern question may ..... big thankyou staff Doormen bellhop front desk Maid . we definately stay return NYC return much see 4 day Big Apple ! ! ! ! 
 oct 2 2009 	 Excellent location - cool hotel 	 Fab hotel heart times square . view square room amazing ( long not suffer vertigo ! ) . bliss product bathroom & amp ; really comfortable bed . 
 Sep 30 2009 	 great location Great hotel great staff would recommend anyone ! 	 make several trip NYC year always stay W Times Square . can not beat location theater , shop great dining . room newly update , bed wonderful , view spectacular . New York City many option hotel always recommend W Times Square friend business associate . staff always attentive , bellmen street , front desk , room service . say & quot ; whatever , whenever & quot ; really mean . look great hotel great location great staff , look . 
 Sep 30 2009 	 trendy beautiful hotel dynamic Times Square ! '' 	 W Hotel Times Square fantastic hotel begin strike cascade waterfall entranceway incredibly comfortable wonderfully decorate yet functional room . though set heart Times Square option food drink plenty , W Hotel offer fantastic living Room Bar Blue Fin restaurant . service staff hotel top notch . knowledgeable truly aspire create good whatever / whenever service stay hotel . look hip hotel staff prepare cater need set prime Manhattan location , hotel . 
 Sep 29 2009 	 home away home 	 W Hotels seem little exclusive aloof ... Times Square . I come property last 5 year get well ! attribute improvement staff become even attentive helpful . happen wife along trip , always make sure extra amenity available make trip even special . ' m oftern lucky enough get upgrade one new suite quite treat ! bell staff street reception desk W insider behend scene ... PEOPLE make hotel little like home ! fortunate become acquainted couple W Insiders ( Tee Christopher ) make good class service high priority ! hotel recently undergone refurbishment leave room fresh crisp smallish workout area expand offer substantial space . ' m oftern lucky enough get upgrade one new suite quite treat ! would HIGHLY recommend hotel anyone look first class experience Times Square 
 Sep 28 2009 	 W Times Square W 	 Business traveler - even loyal starwood - know W 's mixed experience . original W 's get little long tooth , other mix four part attitude one part service make comfortable , welcome experience challenge rather norm . W Times Square , & quot ; attitude & quot ; part leave & quot ; service & quot ; part leave . front door top floor , consistently find welcome attitude , occasion call , quick help question request . view great fun , Blue Fin meal - make reservation popular place ( sometimes even breakfast ) . 
 Sep 27 2009 	 Trendy ... 	 W locate Time Square location excellent . enter & quot ; Living Room & quot ; , wait check . never quite enough people front desk . ( check . ) live Room trendy cool fresh flower contemporary / loft feel . enjoy drink times bar . expensive waitress bit snotty , expect NYC . room nice . room not dirty , clean would expect i.e . bit dirt build - up corner . two free night value we excellent . pay full price , would bit disappointed . 
 Sep 26 2009 	 Best Square ! ! ! 	 stay many hotel Times Square past 5 year 2 year ago discover W Times Square . check - in check - out experience nothing good one occasion complain issue deal speedily correctly . staff typical new Yorkers 's normally bad ' w ' way , wonderful , Warm Welcoming . room well appoint come Bliss bathroom product , need bring . 's gym , spa , Apple mac reception small shop . 's really nice hotel great location , ' ve recommend 4 people ( family ) never complaint , give try . 
 Sep 26 2009 	 first visit New York . Great Hotel 	 really not understand complaint hotel . wife enjoy stay hotel . good . friendly staff . clean room . New York celebrate wife 40th birthday . huge success ! ! ! 
 Sep 25 2009 	 home away home 	 come NY month business , always stay hotel . come comfortable past couple year always stay return NYC . complaint ever noise busy Times Square area loud time , staff always willing move room need . email beforehand come help make stay even comfortable anything may need . would definetely recommend , especially since remodel . cool , chic , staff friendly . fun bar scene ! 
 Sep 22 2009 	 exquisite 	 upscale hotel refreshing getaway crowd Times Square . waterfall effect enter property unique experience . as enter hotel , hustle bustle city leave behind . staff courteous , friendly fun . view room spectacular ... full length glass two side ! room decor contemporary yet comfortable . Loved Bliss toiletry . 
 Sep 22 2009 	 Terrible Hotel Awful Service Dirty 	 bad hotel ' ve ever stay ' ve stay terrible one . stay 4 night end honeymoon disaster start finish . booked & quot ; Spectacular Room & quot ; assure anything spectacular . toilet clean properly every surface dust grime previous guest . agree move we different room . previous room new room not clean . fixture fitting also badly finish , rather fele classy contemporary , room feel flatpack . sharp corner everywhere , wire lead come everything gimmicky lamp difficult turn light room sufficiently . hotel market trendy cool . fail miserably respect . on arrival tell honeymoon , would like give we bottle champagne house much delight . however , arrive . enquire complimentary champagne would arrive still come . stage become matter principle 6 embarrassing attempt 4 day finally receive $ 5 bottle sparkle wine return room late last night . cheap bottle sparkle wine hotel charge we $ 24 2 vodkas diet coke bite cheap . the staff incompetent , range check clerk door staff bar staff . concierge credit , least appear helpful despite fact unable bottle champagne deliver bar room 4 day . the straw break camel back come departure luggage take storage hour depart airport . ruck sack suitcase simply leave unattended lobby 3 hour take storage promise . anybody could take belonging . the hotel staff people concern act cool making feel like serve way around . feel like hotel run summer student rather highly train staff . in , absolutely terrible experience would wish human holiday . 
 Sep 22 2009 	 welcome hotel NYC 	 course last 20 year , stay hundred hotel , far fantastic staff hotel visit anywhere ( include fancy world ) . ask , try accommodate way . gracious , thoughtful industrious . platinum member Starwood Hotels get particularly great treatment , never know hotel bake chocolate chip cookie arrival , make sure right number pillow , hanger , electric outlet , water lightning ( room normally little dark ) . room always comfortable ( often get upgrade suite available ) : great bed pillow , nice Bliss product electronic amenity need ( like ipod deck , dvd player good wireless wire connection ) . Times Square might everyone 's first choice location , easy get anywhere ny quickly certainly convenient place theater , many restaurant , Central Park , variety museum public transportation . restaurant downstairs ( Blue Fin ) good bar scene Lobby Floor lively . four season might somewhat fancy , Ganesvoort little trendier , W Times Square ensure reliably great experience luxury hipness need . 
 Sep 10 2009 	 5 Diamond Hotel meet basic need 	 first time W hotel . love look place staff seem ok . hear W new good luxuary hotel , win . understand W brand consider upscale hotel luxuary . seem miss little thing . guess spoil . turndown service feel like way understaffed . bad hotel top notch place . not think go back . 
 Sep 9 2009 	 Roll Shades 	 fresh flower water fill ceiling entrance beautiful . concierge not knowledgeable public transportation . recommendation take taxi not take Subway . okay , whatever . ah ha - 's sign desk say whatever . bed clean comfortable . flat screen tv could large imo HBO ? button remote responsive . glass wall bathroom neat idea see problem stay friend . room also face Marriott 's room could see could see we ! complementary coffee tea . mini fridge Bliss product . faucet sink like joystick take careful swiveling avoid dripping tap . towel stack metal slat fall onto floor easily . sized shower head not produce powerful spray matter spin control . pick b / c right Times Square 's close restaurant , subway shopping / broadway . hear street noise even high floor bring ear plug want completely quiet night sleep . 
 Sep 7 2009 	 love modern design . great service . 	 Fun place stay ... close Broadway theater restaurant Row . right beside tkts sale Times Sq . room small interesting traditional decor . concierge great help . 
 Sep 1 2009 	 FANTABULOUS 	 Loved W ! ! ! will not stay anywhere else NYC travel pleasure . TKTS access well make trip . amazing room ( although small warn ) 54th floor overlook Times Square .... could bad ? decor amazing yet overdone cheesy . hotel feel intimate staff amazing super helpful upbeat even though huge property big city . can not wait return ! ! 
 Aug 28 2009 	 fantastic hotel new room design GREAT ! 	 stay starwood hotel often , stay W Times Square often business pleasure . 9 day , say service incredible ! staff friendly personable . new room decor nice functional ! love little chaise lounge next corner window overlook Times Square . bed comfortable ! love everything upgrade . highly reccomend hotel anyone ! 
 Aug 28 2009 	 amazing hotel great service love room . 	 ask room 4812 . 's corner room , overlook Times Square . room spacious bathroom roomy . unlike W Lexington , prefer location . concierge Michael extremely efficient get a+.the hotel walking distance Broadway theater pretty good restaurant . Blue Fin hotel also superb . 
 Aug 24 2009 	 beware bathroom ! 	 stay 4 night 2 teenage son . book room promise & quot ; spectacular room spectacular view & quot ; . room $ 400 night . usually stay Marquis Millinium thought would splurge . first thing notice bathroom wall make glass see right . crazy ! ! spectacular view roof next door . change room 3 time good view ever Marquis . apparently room & quot ; spectacular & quot ; view renovation . could live bathroom situation come tape brown paper wall . unappeale well glass . internet $ 17 day starwood member . well view Marquis Millenium much cheap . upside bed comfortable room large enough 4 we . great location service . 
 Aug 23 2009 	 great experience .. wish could use hotel 	 Hotel certainly different experience . not expect bag take room assume prefer take . moment arrive feel arrive night club bouncer door everything . hotel modern feel , room clean great decoration . bathroom clean . although description booking say & quot ; dramatic view & quot ; , arrive view Marriott . negative thing room one bed pillow chew gum stick side . ( kind gross ) . 
 Aug 21 2009 	 place GREAT 	 recently travel sister - in - law 2 daughter , 9 & amp ; 12 . hotel fantastic far location , size staff ! time walk door impressed staff & quot ; hipness & quot ; hotel , girl impress lobby ! ! doormen fabulous , greet we huge smile exit enter hotel . staff make place special . would definately recommend hotel anyone look , stay future . 
 Aug 17 2009 	 Trendy 	 stay first leg honeymoon wife . hotel recently update reasonable size room New York standard midst Times Square close popular Broadway show . hotel trendy , staff welcome amenity good . hotel bustle night life every day week . would definitely stay next visit New York , highly recommend quality , service location ! 
 Aug 12 2009 	 TYPICAL w 	 stay several W hotel past several year . typically modern sleek , cool clean . location come short . seem like typical hotel try convert W without full cale restoration . room even note say & quot ; hope enjoy recently update room & quot ; - yet not update old dark hotel new paint furnishing clearly apparent full scale restoration . bathroon floor old rusty bolt stick floor ( presumably prior confirguation ) , toilet old ( paint splatter tank recent paint job ) .The room slightly small use . nice flat screen . overall decent hotel typical W. bar ok ( food ) . restuarant except Blue Fin ground floor - seven floor lobby . overall average NY hotel , disappointed give hwo much typically like W 's . wire INternet $ 17 per day . 
 Aug 11 2009 	 W Times Square Best ! 	 love hotel . location perfect . upgrade room sublime . love , love , love scent room . stay often staff always remember . perfect ! 
 Aug 9 2009 	 W Time Square- Wonderful Weekend 	 initially skeptical book room hear room extremely small ; pleasantly surprised ! room room expect , enough space actually move around without walk furniture ( rarity NY ) . room one clean ever stay , room attendant fantastic job ! whatever / whenever Service also prompt , especially busy rainy summer weekend . staff member encounter public area also friendly & amp ; helpful . the location right middle action , also close enough walk block good affordable eatery city ( 9th AVE ) . ambiance W TS really gear young hipster , can till enjoy stay without part generation . go back ! 
 Aug 7 2009 	 W Hotel New York Times Square 	 w stand welcome . bad experience Hotel ' ve ever . need say much hotel except avoid . 
 Aug 3 2009 	 Wife 's Birthday Surprise ! 	 W Times Square everything wife expect . be young trendy couple , feel right home ! anyone complain hotel simplyy nit picky could not perfect ( modern , clean , great staff , location ) ! ! ! expensive , get pay . nothing free , include wi - fi ... pay $ 45 3 day internet service . 
 Jul 29 2009 	 Great Vibe 	 Stayed W Times Square 4 night . staff friendly except one concierge , name Jason . ask how s day ? replied & quot ; tired & quot ; attitude . seem like burden help . staff concierge fine . place step 2 metro station Broadway Plays . 10 min train SoHo , 15 - 20min train Brooklyn , 10min Central Park . area know super touristy , hotel take away mayhem . bar nice eclectic feel , room spacious great view . view Hudson . W 's , toiletry amazing . get good rate .. definitely place stay Times Square 
 Jul 25 2009 	 Good NY Hotel 	 always stay Manhattan . like location hotel general nice . two Subway stop within block . room public area trendy contemporary . recently remodel hotel brighter inside . value OK . expect pay premium rate time . get room adjacent door , suffer noise guest next room . eat hotel Restaurant , Blue Fin . disappoint . in - room internet avail expensive . room coffee . 
 Jul 25 2009 	 Great Place stay Enjoy Beauty New York 	 Great Place Stay center Times Square ... easy access train , broadway , plenty great restaurant walking distance . friendly atmosphere also clean invite spend hour hotel . our stay exceptional , everything run smoothly employee encounter W go way help need . 
 Jul 23 2009 	 OMG ! ! ! ! 	 must say picture website anxious go . arrive staff wonderful . plan special bday surprise limited time run around . call Whateer / whenever desk lovely Crysis get Wish come true . arrange pick everything request keep inform offer suggestion ... still float experience can not wait go back . hotel decor take away staff good . trust ..... go see . little expensive compare , offer many deal discount stay well worth every penny ...... thanx 
 Jul 12 2009 	 Save Money ! ! ! ! 	 unless die stay Times Square look elsewhere . W ghetto compare other ' ve stay . long spa sad great little gem excellent therapist . get much money well quality NY hotel . 
 Jul 2 2009 	 another nice stay W Times Square 	 stay W Times Square several occasion . admit last time stay completely satisfied really feel room need finally renovate . time around room FINALLY renovate say really like new feel . IMHO change vanity bathroom still like overall redo . location good town sightseeing shopping ideal look something quite course . service issue bellman still seem think model work chat pick girl stay walk hotel . not guy suppose help guest actually take care people luggage hail cab ? one work . great stay really wish management would hire decent bellman issue quite time . 
 Jun 30 2009 	 anniversary 	 hotel one nice hotel ever stay . right Times Square . bell man awesome fun job . pricey side price go $ 150 time book room time check . everything need want within walking distance . ny pizza within walk distance matter way go . hotel everything need great time great city . look forward go back . 
