knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Oct 12 2009 	 Outstanding -- beyond expectation . 	 hold September wedding Millennium Knickerbocker . everything spectacular . 250 + guest attend still rave experience , , bride groom . everyone valet concierge banquet staff catering manager everything could make stay effortless pleasureable . 
 Oct 11 2009 	 Excellent service 	 staff go beyond . friendly accommodating . impressed . location also good one interested shopping Millenium Mile . right across Bloomingdales . 
 Oct 10 2009 	 elegant friendly close everything need 	 Room 2 bed large enough we . rent car hotel around corner , close public transportation . good breakfast spot due south ( Mary 's , West Egg ) 
 Oct 9 2009 	 lackluster 	 clean , modern room good location , however service provider unconcerned lack attention detail ( never use guest name ask feedback upon check ) . c heck receptionist show i d breakfast area , opening time etc . 
 Oct 6 2009 	 nice place - love Euro - esque bathroom 	 end Knickerbocker Hilton Suites next door overbooke property end move Knickerbocker , expense . end quite pleasant experience . the hotel old building , interior modernize . lobby small little disappointing , staff check - in exceptionally pleasant . the room , king , good size , modern , tastefully blandly decorate , comfortable . plush king bed comfortable ( & quot ; not want get Bed & quot ; -type comfort ) , big flat - screen tv rock . I love bathroom . Roomy walk - in shower ( big plus ) , overhead nozzle separate hand - hold nozzle , ala Europe . high - end bathroom amenity also nice . the location great shopper tourist , right tony end Mag Mile . ( generally prefer edgy , earthier hood stay city ) . be block many CTA bus line roll N. Michigan Avenue . 
 Oct 4 2009 	 great spot great price great room 	 stay alternative spot friend 's wedding . price 50 % 65 % cost stay similar hotel area . first minus . 1 . ) standard room small . want little space might want upgrade . 2 . ) since hotel recently rehabbe see stuff cover paint . 3 . ) really view hotel . plusse . 1 . ) shower AWESOME . probably one good hotel shower ' ve see . rain shower wand , great pressure enclosure not leak like lot shower stall . nice . 2 . ) fixture finish room top notch . modern clean . 3 . ) bed great . well hotel promote bed . great night sleep . overall . great space trip go spend much time room . town conference work need spread stuff might work . anyone else really like experience . care travel nice bed good shower relax long day . good spot . 
 Sep 29 2009 	 Perfect Tourist Destination 	 Staff attentive helpfulroom clean . great location see city , Navy Pier , Mag Mile . 
 Sep 26 2009 	 good bed ever 	 love hotel - fabulous old building first class modern amenity . great location , be close lakeshore city . Chicago walkable city , superb base . staff lovely - friendly efficient . room wonderful - , comfortable exceptionally clean . great chair . great coffee . lovely bathroom huge , absolutely fantastic shower . also extremely quiet . , good bed ever , mean sleep well since week , important . yummy martini Martini Bar . definitley back ! 
 Sep 23 2009 	 remarkable location ... wonderful hotel 	 stay Knickerbocker 3 night second week September . could please location hotel Chicago 's Gold Coast immediately across Drake Hotel . 's block next John Hancock building block amazing shopping ever encounter . knickerbocker hotel extremely comfortable ! two 42 inch flat screen tv 's room . bathroom far exceed ' ve come expect typical hotel . waterfall shower head , glass shower modern bathroom fixture . king bed truly restful . would not hesistate recommend hotel colleague . ' m Chicago would stay . 
 Sep 20 2009 	 outstanding locatiion ; Outstanding Staff ; Great Value ! 	 great hotel .... highly recommendable ! thank great time ... definitely back 
 Sep 19 2009 	 wonderful hotel thoughtful detail friendly staff . 	 enjoy stay Millennium Knickerbocker Hotel Chicago . upon arrival treat great hospitality . desk staff friendly take time visit we room pro think might con - size . room small , beautiful comfortable . great view lake . furnish seem expensive unique . decor fabulous bed delightfully comfortable great linen . room clean upon arrival always clean perfection day return adventure throughout city . hotel whole seem like step back time . love boutique feel mirror elevator , rotary style phone hallway old mail slot . would definitely stay ! love Chicago hotel . 
 Sep 15 2009 	 Great Location Friendly Staff 	 boyfriend stay Millennium Knickerbocker Hotel Chicago four night early September . pleased throughout stay . room small , yet comfortable modern . like room decorate warm color . bed amazing ! front desk helpful happily answer question . never get chance drink Martini Bar , always crowded night . overall stay hotel incredible impressed . would highly recommend hotel friend family . = ) 
 Sep 12 2009 	 great stay Knickerbocker 	 visit Chicago Labour Day long weekend , great time love Millennium Knickerbocker . woman travel alone , appreciate location Magnificent Mile always seem well - populate safe , even night . the area big crowded day lot shop & amp ; landmark vicinity , find side street much less busy good quick shortcut subway , etc . speak , be 10 minute walk Chicago station red line , great connect major sight city . the lobby & amp ; elevator , shall say , historic charm , room recently renovate modern comfort convenience like rain shower head minibar . room & amp ; bathroom decorate tastefully housekeeping staff keep spotless . I get great deal hotel Priceline , would recommend anyone heartbeat . 
 Sep 9 2009 	 Great Hotel great location . 	 stay hotel 10 day could fault service receive . location ideal visit Chicago . staff friendly helpful room immaculate . would recommend show & quot ; Jersey Boys & quot ; visitor . brilliant entertainment . 
 Sep 6 2009 	 nicely update room 	 although hotel appear little worn outside / lifts / in corridor , room nicely renovate bed comfortable . view window another building wall disappointing , room still enough natural light . large flatscreen tv room nice , time watch . do not use hotel bar restaurant - lot excellent restaurant etc nearby experience ! ! good location near John Hancock building - use landmark find way map . also great near mag mile shop ! 
 Aug 30 2009 	 Great Location Better People 	 party two couple wonderful stay Millennium Knickerbocker . excellent service contact . able walk destination . great city visit love make sure chat guy front entrance tip suggestion go eat , quite helpful . would gladly stay . 
 Aug 30 2009 	 great location nicely update room 	 Booked Hotwire get good rate 2 night . check late morning room almost ready , check put bag room . . . thing complete re - sheeting make bed . arrive back dinner bed still make , desk upgrade we executive room apologetic . nicely update bathroom well - appoint room . park car save $ 15 per night ( number garage close - by , take cash ) . would recommend hotel - easy walk lakefront Michigan Avenue . Red Line 1/2 mile walk need get around town not want utilize one many cab area . 
 Aug 28 2009 	 great value great staff 	 stay surprise trip husband 's birthday . receive email one week prior arrival concierge ask could assisit way . several question answer one even go book reservation help transporation . service arrive top notch location fantastic . recommend hotel travel Chicago . 
 Aug 28 2009 	 fabulous service beautiful room perfect location 	 arrive Chicago three young kid . greet warmly door , every person deal Knickerbocker make we feel special . doorman recommend least expensive place park car . concierge many recommendation perfect family kid . front desk employee check we upgrade room without request free one bedroom suite & quot ; three angel & quot ; ( word , mine ! ) travel . can not say enough great thing every aspect experience Knickerbocker ! 
 Aug 28 2009 	 meet need 	 great deal price bathroom grand , especially ceiling shower head 
 Aug 20 2009 	 good Stay .... awesome bed ! 	 three us couple travel together early flight arrive hotel 10AM , hope early check - in ( yes , way early check - in ) . front desk busy check guest try get room . busy weekend consider annual air water show town hotel sell . front desk make call housekeeping see least one room ready party least put bag rest bit . able accomandate ! Awesome start ... thing continue fine stay . friendly people around . room newly renovate look great . bed amazing ! wall thin though could hear hallway noise easily . location great Chicago .... close everything want see could hop train easily catch 151 bus . ( hint : buy 3 - day CTA pass .... travel $ 14 ) . might want bring water pop mini - bar charge arm leg , hotel not day . would stay .... especially bed ! ~ 
 Aug 19 2009 	 Elegant Historic 	 Millennium Knickerbocker gem hotel . build 1927 gorgeous , luxurious comfortable . our room beautifully decorate . modern looking . bed pillow top sleep well bed . bathroom exceptional great shower . the location great also . one half block Hancock Bldg . two block rush street great resturant bar . the staff attentive customer service drive . 
 Aug 17 2009 	 price location can not beat ! 	 would want stay Drake primarily location want something much affordable , Knickebocker can not beat . view room ( hotel , would imagine ) definitely comparable , north end Mile one block lake Michigan Avenue definitely make appealing . one thing find slightly concern staff courteous / professional one would expect hotel caliber . concierge look book tour we , never call we confirm reservation . , general sense get employee wish work across street Drake .... 
 Aug 9 2009 	 excellent place stay great location 	 happy stay Knickerbocker . room nice , staff excellent . able stay $ 80 per night thru Priceline . incredible bargain opinion .. hotel nice . excellent location ... Michigan Ave . good shop Chicago find right around corner . 's great location ... close many great attraction . if negative would swim pool , think common lot old hotel Chicago , would definately recommend place ... hopefully able stay future . 
 Jul 28 2009 	 highly recommend hotel individual family stay 	 room rate great center city Chicago hotel . location close shopping restaurant . staff extremely helpful courteous . room , clean well appoint . good part bed comfortable soft bedding , high quality mattress coverlet . 
 Jul 26 2009 	 Amazing 	 absolutely amazing hotel , never stay one quite like ! ! ! clean , small update room . friendly staff want help give moment ! ! stay 10th anniversary would stay sure ! ! ! within walking distance restaurant 1/2 block Magnificent Mile 1 block John Hancock tower . also short cab ride shedd aquarium planetarium navy pier also millennium grant park . nice COZY PLACE SPEND WIFE HUSBAND ! ! ! ! ! ! ! ! ! 
 Jul 23 2009 	 Pampered Knickerbocker 	 moment arrive welcome everyone , seem genuinely glad . room amazing , every detail perfect , comfort luxury . give excellent tip get around town welcome home return .. definitely return . thank Knickerbocker Staff . 
 Jul 21 2009 	 great location junior suite perfect family teenager 	 stay junior suite teenage son . room spacious comfortable . hotel staff super helpful responsive request . hotel locate convenient spot . could get anywhere want block walk ... either destination public transportation . staff great help we navigate train get . short 4 - 5 block red line Chicago State , stop within two block Wrigley Field ( Cubs ) US Cellular Field ( White Sox ) . catch bus block half away deliver right museum campus Solider Field ( Bears ) . great dining walking tour neighborhood restaurant . would recommend hotel anyone ! 
 Jul 6 2009 	 Amazing Hotel ! 	 Knickerbocker hotel fantastic ! 's old hotel update room - get old - timey charm fresh comfort . hotel fabulous location . be one minute walk Cheesecake Factory Bloomingdales , 5 minute walk Einstein Bagel Company ( good bagel cream cheese ever ) , Macys Saks . location can not beat . be one end magnificent mile , make easy strolling , not start middle backtrack . hotel staff super helpful friendly . check smooth , concierge ( Cheryl ) amazing . book dinner reservation activity we , recommend incredible restaurant call Carmines 5 minute walk . great italian restaurant ever , can not recommend more . the room small small . beautiful big samsung flat screen , cordless phone , rain shower , ample clean towel , beautiful marble countertop . hotel room european charm make feel like 5 star hotel Europe . bed comfortable duvet soft like butter . the complaint housekeeping wake we 8:30 one morning knock door despite fact disturb sign . answer ask come back later seem bit miff . issue correct , though , not happen 4 night stay . hotel unique item room service menu - ie - grill cheese mini tomato soup dipping . cute . late night menu , however , lacking . would nice see soup . say , RARELY order room service vacation , really not see big deal . overall would recommend hotel without hesitation . think pay 130 night would say worth far . wonderful experience truly look forward stay .... would not stay anywhere else ! 
 Jul 3 2009 	 great service perfect location helpful staff 	 staff helpful , room clean , location perfect . get special deal pay much low regular rate . 
 Jul 1 2009 	 Wonderful Hotel 	 niece stay Millenium Knickerbocker Friday June 26 Monday June 29 . arrive early morning room ready early check - in , grateful ! room beautiful , comfortable amenity one could wish . front desk , bellhop , house maid concierge friendly polite , come assistance need . location hotel could convenient , step fine shopping , dining , bus service . definitely recommend Millenium Knickerbocker friend family reserve next visit Chicago ! 
 Jul 1 2009 	 stay Knickerbocker make first trip Chicago memorable experience ! 	 prior visit Chicago , know anything city . frequently use TripAdvisor.com research plan trip , find Millenium Knickerbocker . stay 4 night , reduce price per night due online hotel promotion . normally budget hotel frequenter ( i.e . Hampton Inn ) . say enough good thing hotel.1 . accomodation : book superior king ( corner room ) . ask upgrade room view , give we street view East Walton Street ( hotel front face ) . although disappoint first , love room . 's enough space two people experience outdoor noise street . small one - way street 's lot thru - traffic . bed comfy , modern decor funky bathroom cool big shower stall rainfall shower - head . feel like spa bathroom.2 . service : everybody extremely helpful . read Frommer 's Chicago city guide book cover cover arrive , also rely heavily concierge staff many suggestion . les staff fabulous ! knowledgeable city - restaurant suggest excellent sight - see tip helpful . Tjhey secure we reservation place not little guide book love ! not know Chicago , use hotel concierge service suggestions.3 . location : hotel locate northern end Michigan Avenue , seem close everything . nice day , walk Miracle Mile Grant Park Chicago River 20 minute . near many restaurant shop , within walking distance . Hancock Observatory 1 block away ( local say go instead Sears Tower ) . rent car ( price high parking hotel basically hotel ) cabbe walk everywhere - worth it.4 . drawback : restaurant menu ( room service ) bit pricey . food good would prefer go someplace nearby breakfast instead dine in . you always read good bad review base personal experience , nothing excellent . recommend stay stay next visit Chicago . 
 Jun 30 2009 	 good loaction average hotel 	 stay weekend ho - hum hotel . location great right North Michigan Ave . room small & amp ; bathroom even small . european type hotel . hotel clean maybe bit rundown . service average . hotwire hotel low price like , be ok , probably stay . 
 Jun 28 2009 	 love stay ! would come back ! 	 Loved stay Knickerbocker hotel . Stayed ( 6/21 - 6/24 ) corner King suite room 327 ( 328 can not remember 's corner suite 3rd floor ) . comfortable room nice quite stay . bed heaven . loved bed . enjoy turn service would certainly come back . martini bar stair must . location fantastic shopping close John Hancock tower water tower shopping center also bloomingdale shop , louis vuitton channel Oak Street shopping . bath tub wonderful . deep tub , love . head rain shower wand wonderful well . negative thing wi - fi $ 9.95 per day steep . not think stay pay wi - fi . 
 Jun 28 2009 	 Perfect location - modern decor - classic hotel - clean - flat screen tv - wifi-1/2 block Lake Michigan 	 16 year old daughter 2 day layover , travel University Notre Dame , search internet , look location near & quot ; Drake & quot ; Hotel . Millennium Knickerbocker & quot ; gem & quot ; precious city Chicago . room clean , modern , good lighting , great comfortable bed , contemporary bathroom , flat screen tv , coffee / tea room , pleasant courteous staff . receive anticipatory email arrival concierge everything ready arrive request . email return 24 hour correspondence . also treat like royalty checking need take cab O'Hare , ask bell man get responsible mature cab driver would maniac drive us airport expeditiously point happy tip man involve . restaurant close shopping jogging along Lake . 1 block John Hancock Building across Drake Spiaggia , favorite restaurant Chicago . go back 2 week 4th July happy find Millennium Knickerbocker . 
 Jun 28 2009 	 Great Location Great Value Great Place Stay 	 really enjoy stay Knickerbocker Hotel Chicago . want stay hotel near downtown area could visit Michigan Avenue Business Loop . Knickerbocker meet need . within walk distance shopping area fine restaurant public transportation around corner , too . we also want place could relax comfortable spending 10 + hour walk Chicago . room spacious , comfotable , always clean hotel staff make easy we anytime need anything . hotel staff always meet we pleasant good morning good evening big smile . make difference comfort level surround staff want feel comfortable away home . the bed awesome ! soft yet firm , comfortable , nice good bed sleep long day fun . the hotel bar nice friendly , good place meet traveler part globe . hotel nice stay venture Chicago ... hopefully soon ! 
 Jun 27 2009 	 fantastic experience . 	 wonderful time teenager really enjoy experience & quot ; old & quot ; hotel . boy find food pantry around corner , thank help bellman , able reasonable & quot ; snacks & quot ; . hotel 's location great - close John Hancock Michigan Ave . take Chicago Trolley Tour - great way see city . 
 Jun 24 2009 	 Fantastic ... 	 fantastic place stay be downtown Chicago . 's north Michigan Ave . PLENTY shopping , within 5 - 7 minute el stop State St. Chicago Ave . , couple block Lake Michigan Lake Shore Drive .... great location . hotel staff could nice , friendly helpful . doorman , front desk attendant , Concierge , bellman , good . room 9th floor one could see beach Lake Michigan building Drake hotel across street . bed extremely comfortable , love shower feel like waterfall fixture middle ceiling . the thing would recommend pay $ 50 overnight parking . less expensive option directly across street Drake hotel park $ 35 overnight . , well pleased stay Knickerbocker hotel . 
 Jun 23 2009 	 wish could take bed back home ! 	 stay Millenium Knickerbocker hotel 7 night , 2 queen bed room . room : room spacious spotless . bed super comfortable ; could taken mine back home , along soft bed sheet ! downside : wall bit thin . bathroom beautiful plenty amenity . however , 1 bathrobe , even though 2 ( ask second one ) .funny detail : take look mini - bar ... find everything . beverage , cheese cracker , toothpaste , toothbrush even & quot ; intimacy kit & quot ; ( contain condom , towelette lubricant gel ) . thoughtful management : ) ) ) staff : one evening problem internet connection ; promptly take care . staff polite everywhere , front desk breakfast room . breakfast : either order menu , take buffet ( approx . 20 usd ) . buffet ok , however would like wide selection ; e.g . cheese ( except Philadelphia ) ham . , everything tasty good quality . dinner : dine room one night , food good ( tomato soup delicious ) location : ok , indeed exactly downtown like 15 min walk Millenium Park . nearby ( 5 min walk ) rush street full restaurant bar , like nothing evening . upscale SAFE area ( important exactly downtown ) . excellent shopping , around corner Michigan avenue , Magnificent Mile begin . plus , 3 min walk John Hancock Center . panoramic city / bay view JHC 94th floor observatory well , line much short Sear 's tower Skydeck . night view also must , Wednesday Saturday evening , also enjoy Navy Pier firework show ; look even spectacular 94th floor . 
 Jun 18 2009 	 great find - definitely place want stay 	 dumb luck find Knickerbocker feel like hit jackpot . everyone try hard helpful location super . room clean , comfortable quiet . hotel willing match price find Hotwire , reasonable Chicago . for breakfast try Oak Tree ( locate 900 Michigan Ave . ) . suggest one staff like much eat everyday . roll , muffin , cookie make there . we definitely return Chicago Knickerbocker . 
 Jun 16 2009 	 Great Location 	 stay 4 night end April overall find nice hotel . certainly good value $ 420 ( prepaid ) . yes room small ( ' m sorry reading review not go upgrade ) comfortable everything . find boot bed ( not ) housekeeping might thorough one would hope ! first scorch weekend notice A / C not fantastic work . Liked bar cocktail go , lovely old fashioned feel bar staff friendly . concierge excellent , could not enough we doormen / porter good fun spot recommendation . think Knickerbocker breakfast buffet good doorman send we FAB place nearby call TEMPO want nice Sunday brunch . 's old hotel ( not know room like ) bit welcome character - ' surprising ' section check desk , really let lobby perhaps not renovate yet ? great location - near beach get swelter weather like we perfect base sightseeing . never use room service look eat aside breakfast not even notice time service stop . want comfortable , clean & amp ; convienient base see city Knickerbocker tick box . like meat Fogo de Chao ( block away ) excellent , well worth visit . also Boat Trip city MUST . 
 Jun 12 2009 	 LOVED CHICAGO Millennium Knickerbocker make Easy ! 	 stay long weekend blast . book online directly hotel prepay well advance , find room rate reduce later . bring hotel 's attention , compensate us offer party ( 3 adult ) complimentary breakfast morning . turn convenient start day good meal save we time try decide go eat morning . food selection good . weekend , buffet cold cereal , fresh fruit , yogurt , hot food ( egg , bacon , sausage , potato , pancake , french toast ) , assortment bread , muffin , pastry , bagel ; Juices , coffee , tea . forego buffet , breakfast menu offer wide selection : fresh fruit , bread , egg ( style ) include omelette benedict , waffle , pancake , la carte item . hotel conveniently locate Michigan Avenue , Mag Mile ! direction , two block away Lake Shore drive great view Lake , Navy Pier , beautiful home . travel companion find room small ( superior double bed ) , find fine . beat end day watch tv crash . Bathroom modern well stock lot towel , soap , shampoo , lotion . drink lobby bar ( pricey , 's true nice hotel big city ) bartender , David , good company . one member party eat bar first night arrival ( already late ) say food good ( grill cheese sandwich tomato soup ) . trip : rent car upon arrival MDW see outlying site ( family 's root Humboldt Park Logan Square ) Hot Doug 's , 3324 N. California Ave ( famous Chicago hot dog ) . arrive well lunch crowd ( like 3 pm Friday ) still wait one hour . worth ! line snake around building block , people friendly , pass menu around , make recommendation . fry ( duck grease ) Fri & amp ; Sat -- GOOD EATS ! return rental car MDW first night ( not want pay parking City ) take EL back hotel ( orange , transfer red ) -- easy . purchase 2 - day GO card allow we Hancock Bldg , Sears Tower , River Cruise , Skyline Lake Cruise , Navy Pier , on - off trolley . card get many place , include museum , run time . Chicago Pizza Gino 's East ( Superior , think ) . one night cabbe place call Sola ( great neighborhood joint Lincoln Park , popular place pack time leave ) . en route , drive Wrigley Field ! trip end , reserve GO Shuttle service . pick we hotel we back MDW time ! hope visit definitely book Millennium Knickerbocker . 
 Jun 10 2009 	 two Thumbs ! ! ! 	 good friend recommend hotel & amp ; love ! stay celebrate daughters birthday & amp ; good celebration ever ! right brand new room & amp ; location . room beautiful . love bathroom rain shower & amp ; bed die ! extremely comfortable , not want get bed : ) beat location ! Michigan Ave second away shopping & amp ; Rush Street dining & amp ; fun ! service great making reservation housekeeper . friendly . come back soon & amp ; definitely share experience everyone ! ! 
 Jun 1 2009 	 love hotel 	 stay four night mid may pro con proshuge pretty lobby , polite helpful staff , clse mag mile , close hancock centre , comfy bed , nice tv , rain shower , tom lobby helpful take luggage storage renew vow take picsconsthe hotel bar WAY overprice , iron husband use leave mark shirt renewal wedding dress press laundry be not impressed result - also $ 5 internet lobby overall would stay - nice hotel 
 May 31 2009 	 ok great 	 hotel , OK & gt ; small far town like . room ok except huge stain carpet apparently everyone ignore ! enough room bed , desk tv . far action ask . hotel staff rude , indiffere not staff ever encounter . enough make wa not never visit USA . 
 May 29 2009 	 Nice Renovation 	 stay one night mid - May , book Priceline $ 100 . money , good hotel . recent renovation do wonder , give Knickerbocker modern upscale look . hotel suffer poor review , everyone ( include we ) seem come away impressed . pro con : pro : good location , right near north end Mag Mile . close many upscale shop , Oak Street Beach , Hancock Tower , Rush Street . comfortable bed . nice tv . cozy lobby . friendly service . con : $ 48 valet parking . room small ( old hotel , surprise ) . view room . pay internet sue business center . small elevator . we would gladly stay , give charm quality experience . well option look space lively location , & quot ; new & quot ; MK fine place anyone spend night Chicago . 
 May 29 2009 	 great hotel location 	 Room luxuriuos ! location fantastic shopping ( walk distance ) . Underground 10 min walk away . loved room ..... recently refurbish . corridor bite dingy . main criticism - every morning woken housekeeping staff noisy constantly bang door ! 
 May 26 2009 	 Absolute Heaven ! 	 hotel magnificent ! mini palace , staff polite , helpful , professional . e - mail receive leave Chicago , concierge , Les , offered get we ticket , direction , reservation anything would like see / do . also get us upgrade room , someone rudely butt line registering , registry person say would upgrade room . grant beautiful suite complete king size bed jacuzzi . bed linen comfortably we sleep late every morning ! 
 May 18 2009 	 Great Location Nice Rooms ( view ) staff nice 	 hotel really , really great location . remodel room nicely . frette sheet bathroom nice . room small usually case big city . stay Chicago lot . get good deal four night last week Hotel.com . pay $ 200 per / night consider Restaurant Convention town ( 100,000 + people ) pay fair rate . staff great . encounter one night manager sport bit attitude couple night go ask question late check . really friendly . I would say hotel worth money pay $ 150- $ 225 range . pay anything amount room ( think rack rate $ 450 ) , not think would happy . nice hotel Westin , Four Seasons etc . room view except front Drake back Westin . little suspicious previous review regard A / c system . problem first 3 night . last night walk really , really , hot , muggy humid room . call complain front desk say A / c system automatically turn outside temp low 50 degree . say nothing could suggest & quot ; open window & quot ; let cold air . also offer & quot ; fan & quot ; room would send we upon request . personally , think hotel need rethink A / c system policy . crazy think modern hotel A / c system would not work cold outside . ' ve stay motel offer guest operate heat and/or air independantely desire . that one big complaint . hotel worth $ 225 per / night . disappointed pay . 
 May 13 2009 	 beyond ! 	 LOVED HOTEL ! ! ! ! read couple review people please hotel understand . three friend stay hotel four day celebrate birthday hotel staff make trip we . hotel lovely , room beautiful comfortable bed bathroom modern classy . view side hotel , care tour city ! step ( literally ) around corner Magnificent Mile walk nearly everywhere - great location . the concierge dream , provide we great dinner tour recommendation ( eat Carmines , short block hotel - yum ! ) even houskeepe staff helpful concerned security . top cake though occur leave hotel ... already arrive airport flight home one group realize not passport . pancke call Knickerbocker staff immediately search room , find passport , locate trust cabdriver send passport airport - follow within minute arrival call cellphone make sure passport arrive . make flight ! true service , beyond . and sure , room service open day , check kind thing ahead time allow deal situation . also , food hotel restaurant room service delicious ( LOVE gooey grill cheese sandwich tomato soup combo ! ) .love hotel , definitely back stay every time ! 
 May 11 2009 	 would not stay 	 stay wedding hotel . confusion check - in due wedding family member last name . book room internet prepay . however , one room give different family member . hotel say could not switch billing since prepay make we pay different room collect first room family member give room . way confusing . the room small , bed comfortable . room hot 75 degree uncomfortable . control room not run A / C , could get heat . 75 outside arrive . call front desk complain hot room tell A / c yet . not make switch . 's ? ! ? ! also restaurant lunch dinner . could order food lobby bar day , room service available 6pm . family small child luck lunch , unless go premise . people go church wedding 1:00 expect come back lunch . child plan order room service kid take nap . lobby bar crowd 1 bartender serve drink take food order . bartender good mood . someone group complain service manager come help food order . service little slow . good planning part hotel . be try bring big wedding out - of - town guest , be go well overall service . wed nice food good . hotel recently renovate , must work ventilation . wedding , have go back Conrad Michigan Avenue . 's new favorite hotel Magnigicent Mile ! 
 May 1 2009 	 splendid supportive staff also make we laugh time need . 	 , sadly , back Chicago funeral old mentor / friend . however : moment meet favorite Doorman ; Wendy Reservation Manager , Frank , Food Beverage Manager ; good Bartenders will find , ( along outdone drink food ) ; cozy room , comfy pillow , feel " take care " relax ! ( back home favorite city . ) breakfast lunch dining also fun ; dare anyone finish omelet ; glimpse orange " fresh squeeze " come truck , buffet worthwhile . one block ( Magnificent Mile ) Michigan Ave , couple Lake , nice walk Navy Pier Beaches . be like ? 
 Apr 30 2009 	 pleasure mine ! 	 recently stay Millennium Knickerbocker Hotel Chicago literally blow away service , modern style room , great location downtown din shopping , mention service ? great expericen stay . 
 Apr 27 2009 	 go suite ! ! 	 upgrade beautiful suite two large flat screen tv deluxe massage tub / shower truly unique . room newly remodel , beautiful incredible clean . service hotel superior . stay never one remodel suite . worth upgrade . location can not beat ! 
 Apr 23 2009 	 newly renovate - Worth price 	 stay three night 4/17/09 4/20/09 . chechecke 9:15 . wait 15 minute special request make . room quiet , comfortable . marked improvement last time stay ( 5 year ago ) . renovation great , maintain old time charm hotel . 
