Perfect 	 wife stay 4 night pre xmas shopping break November 2009 find really good choice , room small per review , result storage space practically nil , free WiFi not really worth bother keep drop . however negative hotel , location great access Soho , Noho & amp ; Greenwich village foot , uptown madness also short ride away F V subway line foot also . I note one reviewer complain price , say pay near £ 250 night , would also insense pay much pick East Houston economy location , pay £ 130 night end feel get pay . room clean shower room , one glass wall not ideal , reasonable size . Decor attractive unremarkable , flock wall paper style favour ' boutique ' hotel proprietor . iPod dock stereo bedroom bulgari toileterie bathroom . importantly room clean bed comfortable , even may disturbed traffic street life outside , would expect city never sleep . 
 beautiful boutique hotel great location friendly staff - fabulous roof - top lounge 	 nice design - hotel . room quite small location great restaurant , bar , museum , gallery , shopping .. even breakfast include - small good healthy breakfast buffet . friendly helpful staff . thing like : dirty breakfast table . recommend hotel ! 
 Sep 1 2008 	 Nice hotel although miss certain something ... 	 nice little hotel nice area city - away touristy part ! arrival give standard room one small room ever stay , able upgrade well room throughout stay much nice definitely worth extra ! staff attentive although continental breakfast morning little strange ... akin roadside traveller motel ... plastic cutlery paper plate . strange otherwise nice hotel . also think shame hotel 's bar nice area brilliant rooftop . aside , would still go back price reasonable compare hotel City . 
 Aug 31 2008 	 great little hotel 	 East Houston hotel great little hotel interesting part town . would previously stay New York Times Square much enjoyable experience . 's vibrant trendy part town world away comedy - club leafletter hotdog vendor . room compact modern adequate need . mean palacial reasonable size price . bathroom wall opaque glass could problem people light shape visible ! breakfast self service comprise cereal , pastry , youghurt , coffee . deliver expect . the hotel ideally locate anyone want shop SoHo , explore Greenwich village etc two minute walk uptown subway stop anyone want go far . nice bar restaurant nearby Ludlow Street enjoy especially live music live RoomStaff friendly keen helpwould definately recommend hotel 
 Jul 19 2008 	 great small european - style hotel 	 stay 1 night quick trip NYC Hotel East Houston excellent . room tiny , spotless everything traveller would need , unless want spacious room . bathroom recently re - do rest room nearly space rest room . toiletry provide excellent quality like rest room bath spotless . soundproof windows completely block street noise even though hotel right Houston room window face bar thrive night scene room quiet . air conditioning work perfectly also quiet . continental breakfast provide include yogurt , chese , cracker , fresh fruit , bread pastry , orange juice , tea coffee free web access provide breakfast room . get rid plug - in stinky fragrance thing hallway would perfect . 
 May 29 2008 	 fantastic stay 	 reading review , arrive totally open minded . begin hotel great location , subway , Broadway , Soho , Nolita , Little Italy , etc etc list go , 's abundace brilliant restaurant / cafe 5/10 min , will not get tired try different one every night . the hotel clean , friendly ( helpful ) staff , room right long weekend , not go new york hang around hotel pomp , want nice friendly , almost personal experience , hotel cater , be also bonus fantastic roof terrace , brilliant view accross NY skyline . to sum , would highly reccomend couple , small group , like get adventure NY & amp ; L.E.S.Would deff stay . 
 May 27 2008 	 Perfect place 	 great location . staff helpful friendly . amazing rooftop . room small nice . bed little hard . overall great place stay return . 
 may 21 2008 	 East Houston Oasis 	 hotel fabulous ! great downtown location , 's clean modern give little extra like free breakfast internet access make trip much easy ! staff extremely friendly helpful mention roof terrace view Empire State Building ? ! room small side not go New York stop hotel room ... affordable chic - else girl need NYC ? 
 May 9 2008 	 perfectly nice 	 stay wedding March . fabulous group rate , color review - pay retail price , would likely less impressed . room small , warn , plenty big enough , husband baby . however , two night would ' ve extremely crowd 'd long . staff seem well - mean particularly well - organize efficient . location great purpose , wedding - relate event Lower East Side , general visit , LES particularly accessible rest city . the bathroom nice , not problem glass shower . wall thin - feel bad neighbor baby wake 5 morning - window sound - proof , potential issue since hotel directly Houston . 
 Apr 24 2008 	 Small Comfortable 	 Hotel easy find , cab driver idea eventually drop we wrong side road . ever try negotiate 6 lane rush hour ! ! anyway get there . check - in friendly quick although receptionist initially could tell prepaid room . porterage available require , thank god case wheel ! twin room book small , small . barely enough room 2 adult let alone case . room clean modern going spend huge amount time anyway adequate . breakfast basement simple coffee / tea , juice , ceral pastry . nice self service , also internet access however speed painfully slow ! roof terrace brilliant really good view city include Empire State . must see night excellent ! ! Definatley recommend place base see New York ( underground around corner ) , however want spend long room ' m afraid may need look . 
 Apr 7 2008 	 frequent trip area schedule would stay ever . 	 size room expect small . problem address become big issue . to get way , number one complaint wife translucent wall bedroom bathroom , toilet next . image whomever throne show bedroom . the room initally give appoint well enough suit need , fulfil request away noise Houston St . unfortunately thermostat break . initially compaine blow heat 2 pm , return 7 pm find still problem , room 85 degree F. since dinner reservation , make mad scramble move room furnish we , conceede thermostat could not address . unfortunately , new room small , face Houston St. stairwell outside door , convey hallway 's noise easily room . they adjust rate reflect small room size , think try make change 5 hour , perhaps could well accommodate . the final issue day departure . check bag desk , could spend afternoon area leave airport . return 15 minute car due arrive , hotel could locate luggage . 30 minute later , phone call staff duty long , extensive search , include room , various closet , storage area , find bag , escape . this hotel nice discount area 's boutique hotel , want stay area rate , would go Hojo next block first . otherwise , pay premium quality . 
 Mar 23 2008 	 Hotel Least Houston 	 book stay tell would one nice room 6th floor . not doubt get room come on . waste time room size since know get queen bed , two nightstand , desk 11x13 room , along luggage problem . problem ' newness ' place . first , A / C would randomly belch roar noise would rattle window surround bathroom . second , would go minute , shake wall bathroom shut . next , tell open tight schedule . room alone thermostat even cover wall outlet instal random swipe around room someone touch flat paint gloss instead . lastly , willing put rest step accost so - call security guard may intoxicate , sure sound like . apparently , guy winter cap back pack real problem Lower East Side . problem jump way pay $ 1k bed sit 12 inch floor tend get ill . happen , not bother leave note one ' rate we ' card room not answer either . 
 Feb 18 2008 	 Hotel East Houston - nice little NYC oasis 	 new small hotel Lower East Side . room small pretty asian minimalist decor , dark wood , cherry wood floor . flat screen tv , granite bathroom , Bulgari toiletry . bed comfortable , bed nice , bath towel oversized- small detail appreciate . People front desk nice helpful . lobby attractive . you will pull suitcase two step . problem room 's wireless connection give ethernet cable work fine . downside lack room : place put luggage desk . tiny shallow closet hold coat garment . also wall face bed texture glass give good indistinct view whoever bathroom . illusion privacy , go desk suitcase , glass wall , flip suitcase front - voila- wall sort . least view blocker . would suggest mount shade . design sink soapdish mean water cascade floor washing - a minor annoyance . room face Eldridge Street night one still loud music 1 a.m. be traveler - we bring small fan block noise . coffee ( great , strong ) available pastry / bagel breakfast . plastic cup bathroom ( granite floor ... ) , ice quickly bring request . computer printer downstair guest use . go Sugar , block away , breakfast excellent . be open 24 hour . Katz 's deli ( Harry meet Sally fame ) block away . be right near subway convenient Soho . would definitely stay , could get great rate deal get discount web site . like hotels size calm vibe room spend much time city . 
 Aug 21 2008 	 petit et accueillant hotel 
