stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Nov 3 2009 	 Accomodating Friendly Hotel Hidden Perks 	 Love stay hotel . not overly fancy fun , casual feel . staff extremely accomodate friendly . remember name throughout duration stay helpful . hotel also offer free wine & quot ; happy hour & quot ; night definitely perk stay . great location , easy get around hotel . 
 Nov 1 2009 	 Great Hotel 	 stay Argonaut twice September travel around California . upon arrive tell error booking room . however , find we room Sheraton 4 block away , pay night ' accommodation plus refunded money room give we $ 20 taxi hotel plus bottle wine . follow night Sheraton return stay room 3rd floor view Hyde Pier towards Golden Gate Bridge . staff exceptional willing offer information get various sightseeing attraction . room well proportion stock Aveda product . food Blue Mermaid excellent value money . definitely stay next time San Francisco . 
 Nov 1 2009 	 nice location cold shower 	 good location : opposite Maritime National Historical Park next Cable Cars . nice spacious room , good bed , large bathroom . big disadvantage : cold shower . morning ' rushhour ' , also late night . seem problem hot water supply . we not breakfast restaurant , plenty choose walk distance . Valet parking expensive ( 43 dollar p / n ) . become Kimpton member ( free via internetsite ) book pakkage parking . parking 1 dollar p / n . 
 Oct 30 2009 	 Ideal hotel family 	 Argonaut great place stay family tour San Francisco clean hospitable hotel child - friendly part town . hotel nice Maritime Museum inside , Cannery restaurant Norman 's ice cream literally right outside window . cable car turn around , Hyde Street Pier ( kid love ! ) , Ghiradelli Square , Pier 39 Fisherman 's Wharf within block walk . starbuck back building , Walgreen 's Trader Joe 's 4 5 block walk . even walk Exploratorium ( museum must kid ) , fairly level beautiful several mile walk . choose Argonaut location , fact want upscale hotel without stuffiness . hotel 's decor fun playful . room argonaut spacious clean , plus bed uber comfy . room face Cannery courtyard , night could listen featured outdoor live entertainment settle bed . consider plus , wipe end day bed comfortable , much would kept we awake . staff friendly helpful , although except doorman , quite level find 4 - star hotel . pay nightly rate 60 % rack rate , think good price hotel . Argonaut give money 's worth definitely good hotel Fisherman 's Wharf . 
 Oct 29 2009 	 free wine ice cake 	 stay hotel August 2009 . relatively small hotel sea front Fisherman 's Wharf . drop car valet parking outside hotel immediatley make welcome . room spacious , clean comfortable . hotel reception staff helpful . 5 pm 6 pm evee wine taste lounge . reality opportunity glass nice wine house chat resident wish . we also receive complimentary breakfast monre bonus . hotel well position Fisherman 's Wharf close Tram terminus . overall wife together two teenage child enjoy stay would recommend hotel . 
 Oct 29 2009 	 pleasant experience 	 recently return 3 day Argonaut Hotel adult son . excellent experience . room large , comfortable nicely appoint . location excellent see San Francisco offer . bike rental around corner would like bike Golden Gate bridge . nice wine reception evening 5 - 6 pm . booked 1800hotel get great rate . stay San Francisco 6 previous time favorite hotel ' ve stay . blue Mermaid restaurant nice continental breakfast include room . 
 Oct 29 2009 	 Great Hotel - Perfect Location 	 absolutely love stay Argonaut Hotel , be right fisherman wharf walk distance everywhere side town . cable car park right next door tourist bus leave street side . hotel staff really friendly allow we print Alcatraz booking confirmation have forgot bring . wifi rooms free sign newsletter useful iPhone check exchange rate ! come back San Fran definately stay . 
 Oct 26 2009 	 can not wait come back ! 	 arrive stay Argonaut 27 Sept . greet warmly John door manage remember name next week ! man must good memory ! room be not ready arrive ok . midday I m use hotel room ready till 3 . leave bag bell desk go long walk n lunch . Argonaut situate perfectly quiet end Wharf area . cable car turnaround across road . min walk however Pier 39 sea lion bay cruise boat . need coffee ? ? starbuck back bulde . need shampoo etc ? walgreen around block . Breakfast Blue Mermaid downstairs - 9 10.free glass wine downstairs every night ... 10/10 ! LOVED room .. ok u may think tad theme .. bathroom METICULOUS ! love clean bathroom . plenty space room overlook Cannery courtyard . yes reception get busy time ... concierge need 1 staff attend time hey ... still love ! trip husband come April Silver wedding will definately stay Argonaut ! 
 Oct 25 2009 	 wonderful location first time visit . 	 first visit SF location Argonaut excellent . staff friendly room spotless clean . would suggest city tour learn interesting fact get foot & amp ; cable car . opposite hotel Maritime museum really nice stroll around . visit Alcatrez must , expect . would definitely stay edge hustle bustle . 
 Oct 18 2009 	 Fab stay- would definately recommend . 	 stay 3 night travel highway 1 . Hotel Argonaut recommend we friend definately disappoint . great room location - around corner cable car stop , good restaurant nearby . would stay ! 
 Oct 18 2009 	 WOW 	 love love love hotel ! arrive upgrade bay bridge view room ! also lovely bottle red room upon arrival ( celebrate boyfriend birthday ) room huge ! absolutly immaculate ! bed comfy ! bathroom huge ! take we walk room reception ! hotel large ! negative would thing ( food wise ) mini bar date ! lovely bar call Jack Murphys 3 door along good burger SF Burger 5 min walk away ! overall love hotel though would deffo stay ! 
 Oct 16 2009 	 cover basis great location 	 stay SF times area good place stay . yes tacky bit centre get 's bit oppressive . Fisherman 's wharf much pleasent living env . hotel cover basis . be bit tacky way expensice tacky not feel nickel dim . would stay would not rave . 
 Oct 14 2009 	 San Fransico awesome 	 hotel good authentic get far fisherman 's wharf . luxury hotel mean lots character . 
 Oct 14 2009 	 good hotel stay long time ..... 	 partner stay argonaut start 3 week trip along west coast america . say good hotel stay trip , stay great place 3 week . location fantastic walk place get tram literally 2 minute stroll along pier . also walk golden gate bridge hotel amazing . the hotel nautical theme , taccy slight , tastefully do true surrounding . room standard one think , 2 queen size bed . big , great bathroom , facility etc . funky dressing gown ! great touch complimentry wine tasting , needless say forgot jet lag night ! not eat hotel facitlite need . plenty restaurant visit . must try restaurant top macy 's look square lunch , amazing resonable ! Booked Alcatraz ticket concierge without problem , general vey helpful . wonderful 3 night stay everything think go . 
 Oct 10 2009 	 Unique hotel 	 Summer vacation we . stay 4 night Argonaut . build renovate Del Monte canning plant believe . nicely decorate nautical theme . everything neat clean . staff mostly attentive busy time year seem . although staff try helpful feel like many demand place overlook . small thing . location great , right Fisherman 's wharf , see Golden Gate Bridge Alcatraz hotel . also famous Buena Vista step away late night Irish Coffee breakfast . despite close activity , room ( face street ) remarkably quiet . 
 oct 9 2009 	 Nice hotel close wharf activity 	 try tall room Kimpton offer many property . accommodation good tall people except robe not nearly long enough 6'10 & quot ; boyfriend . room pretty large extra amenity dvd player ihome alarm clock addition usual hotel thing . 5 pm wine hour nice touch . enjoy restaurant , especially clam corn chowder . 
 Oct 8 2009 	 Excellent Hotel 	 nice hotel . room clean bed super comfortable . get road noise street , much . wine cocktail hour nice , especially sit fireplace . wonderful concierge restaurant good . 
 Oct 8 2009 	 love hotel heart Fisherman 's Wharf . 	 spend 5 day San Franscisco Spring Break . hotel locate right across cable car stop able ride downtime easily . plus , able see attraction Fisherman 's Wharf . think 's good hotel Wharf . staff friendly helpful room clean plenty hot water . complaint would queen sized bed typical queen size little small . 3 4 us 6 foot , little tight . go Wharf , try corn / crab crowder Argonaut resturant ; be incredible . 
 Oct 8 2009 	 Perferct family hotel ! 	 two girl ( 10 7 ) thoroughly enjoy stay Argonaut Hotel San Fran . perfectly locate family attraction spiffy design kid enjoy . appreciate free wine sparkle juice hour Wii game hand long day explore city . hotel restaurant , Blue Mermaid , tasty easy enjoy family want stay close home - away - from - home destination other ! two thumb way — can not wait stay ! 
 Oct 8 2009 	 San Francisco ... perfect end 2800 mile tour CA . perfect location Argonaut ! 	 online presentation fall short full glory wonderfully restore converted warehouse ... luxury hotel heart San Francisco Wharf District . wake find middle everything want nothing . staff always present never notice need . one could ask attention care . & quot ; happy hour & quot ; provide traveler full hour visit other San Francisco world . joyous exchange chatter many people seek learn other . thank , Argonaut , perfect end 2 - week road trip incredible site America . back . 
 oct 8 2009 	 Cute Nautical Theme Hotel 	 right Ghiradelli Square Cannery Building - great location first time visitor San Francisco . walk distance North Beach , Chinatown , Nob Hill . Kimpton Hotels offer great style , fun perk like free wine happy hour lobby . hotel restaurant Blue Mermaid also thematic good food super friendly staff . 
 Oct 8 2009 	 Beautiful Hotel great location ............. 	 beautiful Hotel . , comfortable . room beautiful clean quiet . the disappointing part price parking . $ 43 per night ! ! ! ! ! ! lot money stay 4 night not use car . not & quot ; safe & quot ; option choice really . having say , everyone fantastic friendly , except female concierge . need assistance book Baseball game least find , intent speak someone trying sell something , walk wait 10 minute . return front desk bit later lady could not helpful . fantastic . I recommend wine taste breakfast . location fantastic , base cable car close pier restaurant ...... 
 Oct 4 2009 	 nice stay 	 spend 3 day SF Argonaut . front desk helpful let we check 6 hour early arrive even upgrade room . the nautical , yet modern theme hotel nice room clean roomy . noise street bite noisy times sound famous cable car kind fun hear room . reason neither one we could comfortable bed though . sure we mattresse though . the staff restaurant nothing short amazing ! friendly , smile always willing strike conversation . location hotel bit touristy close almost every great neighborhood , either foot , bus cable car . thank Argonaut ! 
 Oct 1 2009 	 Overpriced Poor Front Desk Service 	 splurge hotel great review location . location great , many thing lack . attempt check wait line quite time . checking , wait line verify room King rather Queen . assure King . . package include family option gift hassle several time get promise item . would choose another hotel save money fun next visit . pro : restaurant good enjoy happy hour breakfast . bell staff friendly helpful . 
 Sep 28 2009 	 Great Hotel Great Location 	 Argonaut great hotel perfect location . be right Fisherman 's Wharf step away shop , restaurant attraction . the hotel clean comfortable . would not recommend take car avoid . remember correctly , park $ 40.00 per night . the hotel staff professional really try make feel like guest . they computer lobby use check email , etc . 
 Sep 28 2009 	 Modern Stylish 	 great atmosphere , good service style . ideally place tourist area San Francisco . 
 Sep 27 2009 	 great location sightseeing 	 far enough away noise , within walk distance Fishermen 's Wharf Hyde Park Trolley . transportation , include cable car , nearby . look charming SF neighborhood settle , area spot , look base night see sight work well . the & quot ; bay view & quot ; room 3rd floor really view rooftop restaurant across street , see Alcatraz top . although room side hotel would advertise view ( small window ) Golden Gate Bridge , not believe cost justify ; especially sacrifice King bed . front desk reduce rate slightly complain , nice gesture . room comfortable , nautical theme cute . noise hallway . rate service mostly hotel . 
 Sep 26 2009 	 hotel fab 	 location hotel great , within walk distance Fishermans wharf , bar resturant cable car . staff friendly helpful . room lovely , clean amenity need . would definately stay . 
 Sep 24 2009 	 Loved ! 	 second stay hotel , first visit 2007 . mention upgrade room view , extra charge , great start holiday ! love location , edge Fisherman 's Wharf area , crazy . plenty place eat nearby short walk lot major attraction . we receive complimentary continental breakfast voucher love Blue Mermaid restaurant . breakfast include pastry , toast muffin , tea , coffee juice fresh fruit salad . usually pay $ 5 $ 6 dollar extra , add cooked breakfast , delicious . atmosphere , set service high standard . the hotel also complimentary drink hour , offer wine sparkle apple juice , well snack . popular , seat limited , not matter , lovely way spend hour , meet people , chill busy day . we book hotel Virgin holiday , unsure exact price , one 5 hotel stay visit , however , holiday rep tell we cheap Holiday Inn express , maybe Virgin good deal hotel ? room top floor clean spacious . nautical decor nice bedding high quality . experience problem noise ( mention review ) staff friendly helpful . would stay ? absolutely ! 
 Sep 22 2009 	 great location high quality hotel 	 Argonaut great spot - couple minute away Fisherman 's wharf attraction . hotel high standard - good service , decent sized room ( standard ) , nice amenity etc . San Fran cheap town Argonaut price accordingly , think 's reasonable . 
 Sep 19 2009 	 Noisy 	 great location ........ expensive parking , not rent one . food service breakfast fair / slow . Noisy , noisy , noisy . can hear door close , road band noise night . 
 Sep 18 2009 	 Love ! 	 husband & amp ; enjoy Kimpton hotel . funky ! stay Argonaut 2 night . upon arrival , since miss wine hour , bellman give we coupon free chowder 2 free wine adjoining restaurant , Blue Mermaid . nice touch since get late hungry needed unwind . food good , service attentive dinner . location can not beat . & quot ; quieter & quot ; side Wharf . hotel within walk distance Ghirardelli Square little adventurous , walk North Beach . , hop cable car . plenty around far restaurant -- starbuck around corner , Joanie 's diner ( good breakfast ) across street , Buena Vista Cafe around corner ( good irish coffee ) . love decor -- feel like ship . room nicely appoint . aveda product provide . bed comfy plenty electrical outlet . eat one breakfast Blue Mermaid . service second time around . waitress seem forget we . not know busy dinner . overall , pleasant stay would stay SF . 
 Sep 16 2009 	 will not disappoint ! 	 want reasonable price hotel clean , convenient good service . think almost 700 review 4.7 rating speak volume hotel . people always find something whine . sure odd person bad luck unforeseen occurrence , case we . research plenty book hotel could spend lot money stay hotel not come close review hotel . great time complaint . sure , restaurant beside ultimate dining experience , plenty restaurant around . book trip November 3 friend football trip return , question . 
 Sep 15 2009 	 Excellent hotel bang Fisherman 's Wharf 	 stay trip California , San Francisco 4 night . ServiceVery friendly polite check staff , always helpful smiley . hotel restaurant also good welcoming service . room spotless clean high standard . roomthe room good size , room 2 double bed well equip free wi - fi , tv iPod radio dock . bathroom clean modern also . hotel originally warehouse , window small limited view expect great view Alcatraz bay . locationone decent hotel Fisherman 's Wharf . fantastic location explore wharf , bike bridge Alcatraz . however be touristy food not great area . good bit jump cable car minute walk hotel go downtown San Francisco . get busy night , taxi not expensive either . AmenitiesDid not really use much hotel 's feature time , Nintendo Wii free use hotel lobby though nice touch . overalla comfortable , high standard hotel defiantly worth consider planning visit San Francisco . 
 Sep 12 2009 	 nautical theme position appeal particular traveller however not . 	 hotel come highly recommend friend participate sailing competition husband . downtown JW Marriott think good idea somewhere close Yacht Club . check 24 August show room describe 2 Queen suite . first thing see toilet 2 step right door opening , bed like lge single , room pokey , bright yellow / vivid blue decor visual affront , strong odour similar Sea Lions wharf . ask move another room hope smell size would improve , identical previous one rancid odour . one ground floor window outlook - witness pedestrian lean window promptly vomit . say , noise , run tacky souvenir store , odour , pokey room , loud decor appeal . discreetly approach front desk third time let know would stay room like . express concern credit card detail would place charge . assure would happen . arrive back Australia check credit card statement place $ 258.00 charge card ' no show ' ( mean book not turn ) . take 3 International call , 1 email speak 2 manager rectify problem . prove personally name 2 front desk staff deal ( could not ) luckily remember Bell hop name conversation would verify ! ! needless say get phone rebooke we JW Marroiott run ! like nautical theme , will not spend much time yr room , not mind noise busy street endless pedestrian , eat seafood , block nose go ahead book . also twice price per night JW Marriott ( see review Marriott ) 
 Sep 9 2009 	 Nice hotel shame food 	 other say ... perfectly situated , excellent staff , fantastic view happen get Bay View Gate View room . have book Kimpton 's & quot ; Breakfast $ 1 & quot ; offer , mean Blue Mermaid restaurant next door . try dinner first night , find service inattentive , slow , ( ) incorrect . one fish dish serve undercooked practically raw , dangerous - & quot ; fish chip & quot ; , sushi . cook breakfast cold time waiter bring , bore pass resemblance order . 
 Sep 5 2009 	 good hotel san Francisco ! 	 stay Argonaut June 2009 ten night . first week Twin Queen room Bay view - perfect ! amazing view Alcatraz although street noisy , not disturb we . room comfortable , clean spacious . bathroom , although small , adequate even list toiletry buy ' ve forget anything ! also provide animal print robe also buy end stay ! mini bar well stock tea / coffee make facilite . for second week , stay Deluxe King . view room nothing special back hotel , quiet . , room perfect exceptionally clean . the staff Argonaut wonderful ! everyone meet friendly helpful . John doorman particularly nice give we plenty tip place go get around . reception staff helpful bellboy friendly fun ! eat Blue Mermaid also order room service . room service reasonably price , delicious quick arrive . we attend wine hour every evening . want seat , get good half hour evening would take drink room . one night , partner get i d 'd wine hour even though 31 - impressed seeing happen quite stay . we love nautical theme present throughout hotel . location hotel perfect ! cablecar turnaround yard away plenty attraction . hotel surround good restaurant funky bar ! road Ghiradelli Aqua Park great want bit swimming quiet moment beach . all , amazing time Argonat can not wait go back ! 
 Sep 5 2009 	 Fabulous Stay - enjoy every Minute ! 	 partner stay Argonaut 4 night ( 17th-21st August 2009 ) , first leg West Coast USA tour . select hotel purport , excellent location Fisherman 's Wharf . book deluxe , view room room basis . arrival hotel , impressed warm welcome efficient check - in even impressed room size amenity . find view Golden Gate , say much time view obscure San Francisco fog . nautical decor room strike , , personally , love feel perfect keep hotel 's geographical location . delighted find hotel provide we complimentary continental breakfast free wine reception 5 6 pm every day - prove congenial event appreciate much day sightsee fabulous city . also provide free , unlimited internet access . throughout stay , find staff helpful friendly enjoy breakfast several evening meal hotel 's restaurant . menu consist mainly fish seafood ( could expect ) find food good quality reasonably price . hotel 's location perfect visit San Francisco adjacent cable car turnaround Fisherman 's Wharf also convenient hopping onto great ' streetcar ' . pier 39 short pleasant stroll away . I would hesitate recommend hotel anyone wish explore beautiful city can not wait book another stay explore area leisure . 
 Sep 2 2009 	 fantastic stay Hotel Argonaut ! 	 weigh boutique hotels downtown high parking cost vs stay Argonaut . w decide three night - book phone parking , breakfast , cable car ticket package . bit splurge we , worth every penny ! place charm enjoyable . minute meet Steve , valet , know go good experience ! staff seem really well choose go way help , Steve really make special ! room lovely ! love nautical theme attention detail - alot think go restoration old cannery building decorate . clean well maintain ! starbuck coffee Aveda toiletry well stock mini bar ( right telescope kid ! ) price think not bad . lucky window view lovely color liveliness courtyard even bit city view Transamerica building right . yes , music play throughout day , shut window hear nothing . noisy baby cry awhile first night pretty loud , stop , important thing ! keen large dog trot owner , must say , suffer allergy , ask non pet room fine . breakfast excellent .... one entree , juice coffee come package . also dine restaurant drink one evening .... good . must say though open room without double row table middle would well . end non - bar side , lack ambience . super location . helpful staff - stamp sell mail postcard . tip concierge get City wide tour around corner around ten - ish enable we score Alcatraz ticket ( purchase tour course ) - great , sell next day . it late run island limited time , work . tour open double decker bus great . city tour , park tour run Sausalito take ferry back . wine hour lie daily generous fun getting know guest . yes , lot family kid couple , other like we everyone happy , could tell . we would highly recomment Hotel Argonaut ! 
 Sep 2 2009 	 pick right hotel . 	 return 4 night stay Argonaut Hotel San Francisco . loved hotel . quiet location step cable car turn around convenient . 3 day muni pass go city bus , cable car street car . hotel staff friendly helpful . love wine reception evening . go way make we feel welcome . a gem . 
 Aug 31 2009 	 good stay ! 	 ( partner & amp ; daughter 18 yrs ) stay three night one room . nice , large room , clean comfortable . valet parking well organise service swift kind ( bell - boy , concierge ) . visit complimentary wine party , wich nice meeting people . price - quality excellent . 
 Aug 31 2009 	 loud wedding party ! ! 	 hotel overall good , except loud wedding party echo though room can not stop noise . never many year travel deal problem . say careful . 
 Aug 26 2009 	 view would nice ! 	 stay two night . Wish could long love San Francisco . stay Holiday Inns past , decide treat Argonaut great review . after bit mix receptionist thought have reserve one room instead two , pleasantly surprised find entitle breakfast two morning . it juice , tea coffee , bowl fruit choice pastry toast right nothing . complementary wine evening nice touch even though not like wine . room smart actually look like photo hotel web site . internet free room , something hotel consider day age . my gripe view courtyard room shutter window , sort , make think Alcatraz ! think pay extra decent view . the cost valet carparke rather extortionate , Holiday Inns . certainly recommend hotel good point excellent locality would definitely go back , would try get well room ( view ) next time . 
 Aug 25 2009 	 wonderful ! ! ! 	 package include parking , breakfast , cable car pass . well worth small upcharge breakfast wonderful , parking would expensive , cable car pass 3 day . hotel great location everyone helpful nice . can not wait get back ! ! ! 
 Aug 21 2009 	 Pet Kid Friendly - great grownup ! 	 return long weekend San Francisco , stay Argonaut . location perfect . couple block away huge loud crowd around Pier 39 , yet short block cable car turnaround irish coffee Buena Vista . although petless weekend , meet many nice dog stay , include several large dog ( like ) . hotel across street dog - friendly park beach - terrific dog well kid . maritime museum , many boat board , also across street . Ghirardelli Square also two block away ( though sadly not many fun place anymore ) .The hotel spotlessly clean comfortable . room face interior courtyard view - noise either , appreciate . room equip coffeemaker ( complimentary Starbucks coffee ! ) iron & amp ; iron board , power strip lot outlet laptop phone charger ( not hotel think ? ) complimentary wi - fi . people - friendly ! ' ve spend lot hotel receive lot less . downside parking expensive - excellent nearby public transportation , not bring car . staff friendly . ' m sure will back - can not think well place stay San Francisco ... 
 Aug 17 2009 	 Perfect hotel family 	 enjoy recent stay Argonaut Hotel - room spacious clean . hotel Cannery , build use Del Monte Peach Canning Factory . desk staff front door staff friendly son . kid offer free popsicle afternoon , adult offer wine complimentary happy hour kid play Wii lobby . love leopard zebra bathrobe ! location perfect - right near Fisherman 's Wharf . room improvement - concierge staff seem bit overwhelmed simple request local tour info . hotel restaurant ( Blue Mermaid ) slow service overprice . 
 Aug 11 2009 	 Awesome hotel- clean+comfortable ! 	 stay Argonaut Hotel July 10th-17th , 2009 . four we . overall excellent hotel , little negative thing say it . room : room great ! comfortable bed , nicely sized . family four , perfect room . five people would bit snug . bathroom clean , important we . room minibar snack ( quite expensive .... $ 4 bottle water ) . nautical themed room nicely design . even ipod dock charge listen ipod ! location : location great , right wharf lots resturaunt place shop . blue Mermaid inside hotel AWESOME ! suggest crab corn choweder , Cioppiono ( probably spell wrong .. kind like seafood stew tomatoe sauce wine ) . across street Argonaut , resturaunt call Cioppiono 's ... mom order cioppiono aweful ! ! get blue mermaid ! ! favourite resturaunt : San Franciscian Joes Crab Shack ( do not like loud setting .. would not reccomend ) . location also right near bus stop streetcar stop take anywhere . oh yeah- hotel also right beside Ben + Jerrys ( ice cream lover : ) ) Tip shopping : many store sell tshirt 3/10 $ 5/10 $ ... away walk hotel ... well deal get . service : everyone helpful nice ! would try everything pleasant stay . maids nice always make sure everything need . * * every day five pm manager would give out / sample free wine stay hotel , non alcoholic punch kid . negative : wall thin , could occasionally hear people next room conversation . also , loud right busy tourist street ... every day hear tour guide bus say & quot ; .. Rice - A - Roni ... San Francisco Treat ! ! & quot ; .. well loud bus car . way fix problem bring noisemaker ( one small noisemaker buy $ 20 pharmacy make sound wave , thunderstorm , white noise , etc .. ) help ALOT block noise sleep . * * note : mother quite picky come stay hotel . always complaint LOVED one ! not hear complaint . noise really complaint- say ... block night noise machine . 
 Aug 11 2009 	 friendly atmosphere clean room great view . love . 	 not know quite expect Argonauts ' nautical theme ' . could really kitsch . tastefully do . we pull long flight UK uniformed doorman white Pith Helmet open door we , high five kid give we friendly welcome . the checkin staff helpful friendly explain everything we inform we free 6 pm wine taste reception . get evening good start : - ) reception small ' treasure chest ' kid get pick something day . the room spotlessly clean great view fishing harbour Alcatraz Golden Gate bridge . Valet parking not badly price . certainly experience expensive parking holiday . 's ' per 24hr ' charge come go much wish extra charge . the cable car turnaround right next door ' big Red Shiny Mac Fireengine ' Fire Engine tour leave right behind hotel . if look family friendly city centre hotel good location . heartily recommend hotel . will certaintly stay next time ' m SF . 
 Aug 11 2009 	 great hotel location ... lucky room 	 stay friendly comfortable hotel SF family . hotel clean well decorate . ( big ) problem room , second floor , street level back hotel . every morning enjoy dustbin cleaner truck 5.30 + street noise . definitely recommend hotel , make sure get room high level back building . otherwise staff great kid 's friendly . 
 Aug 10 2009 	 one favorite 	 thing little disorganized check - in get everything figure wonderful stay . bed shower nice . room decent size San Francisco everything clean well keep . really like design lobby , definitely standard hotel . wine reception nice . busy well manage . bay view room kind splurge worth . able get package breakfast Muni pass valet parking hotel website . location also quite nice , right Ghirardelli Square Pier 39 , worth visit . 
 Aug 8 2009 	 Excellent hotel clean comfortable . definately recommend ! 	 fabulous place stay San Francisco . upon arrival bell boy relieve baggage take room . staff incredibly friendly useful willing answer question . conceierge staff particularly helpful . room spotless - clean fresh . bed comfortable , large tv , dvd player , bathroom product , area information extra charge food drink available . stay many hotel say one good . decor nice whole hotel keep clean . free wine hour 5 6 great ! also get free breakfast Mermaid restaurant good . upgrade free charge room view golden gate bridge . location perfect - right fisherman wharf . 10 min walk pier 39 restaurant shop 15 min pier 33 get boat alcatraz ( also good - book advance though ) . f line street car ( tram ) go right along waterfront union square lot shop . would definately recommend hotel anyone . 
 Aug 8 2009 	 great experience 	 great hotel , excellent location wharf 1 block ghiradelli sq , right cable car . despite busy location , room quiet ample room 2 adult 2 teen . staff could nicer helpful , great decor clean , enjoy evening wine reception . highly recommend 
