disappoint 	 rude staff ; good value price ; security check go room ; small & amp ; claustrophobic room ; inconvenient bed ; loud music bar first floor could fourth floor late night . go . 
 Cool hotel great location 2 minor fault 	 really enjoy stay hotel , be perfectly place explore Central Park , Empire State , Rockerfeller , Times Square 5th Avenue , within walking distance . room cosy yet funky , although two minor fault are:1 ) light bathroom bright enough - could barely see apply make - up come back bushy eyebrow ! 2 ) towel rail hook hang towel , not dry properly use . would not wash often somewhere dry . 
 perfect hotel perfect location 	 first time stay New York hotel first plus ! nice welcome , helpfull , attend , ... room spotless , spacey ( stay Queen room ) , breakfast large variety choice hotel amenity ( pool ! ) perfect ! would definitely go back . 
 Good Hotel avoid room number number 205 ! ! ! 	 hotel great location , clean small nice room , medium size good breakfast ... first stay room 305 bar run music 2 am level difficulty talk room ... argument receptionist , could finally move another nice room fifth floor . we recommend hotel make sure room third floor … . 
 little gem times square 	 stay 5 night begin honeymoon . not expect great deal 3 * hotel heart Times Square , however , pleasantly surprised ! ! arrival , reception staff friendly helpful offer we help advice make short time New York . take elevator 10th floor , first impression hotel look bit & quot ; motel - like & quot ; neon orange lighting , deceive . room compact well design little storage area bed , plasma tv , dvd player , ipod docking station , telephone , aircon , iron , hairdryer , self - stockable mini bar , wetroom separate toilet . room well maintain clean towel daily . bed comfortable bed ever suspend high window look crazy NYC comfort duvet ! hotel offer we continental breakfast ( think room basis ) , yummy ... pastry sweet savory , fresh fruit , cereal , egg , tea , coffee , toast , juice etc . serve 06.00 - 12.00 ! pool really lovely touch soothe ache foot sightseeing ... complaint would temperature need bring degree ! sauna steam room ! pool clean , music playing , swim - up bar , twinkly light ... honestly feel part hotel many guest miss enjoyment , could not understand ? ? ! ! highly recommend hotel , location perfect ! A+ 
 Sep 25 2009 	 Look stay ! 	 NYC quite time . def good place stay ! excellent location - 1 min walk Times Square . stay 3 night , miss leave ! amazed cool hotel . amazing design , trendy , hip stylish . cool hotel room , small everything u need . european like / ikea style . amazing free breakfast fresh bagel freshly squeeze orange juice . cool pool sauna . fitness room . free internet access ! 24hr reception small shop . hotel popular bar , nighly dj party . ask room high floor u want quiet room . nice staff . def stay ! sure check stand comedy show be NYC - Dangerfield 's , Broadway comedy club , Laugh factory etc . 
 Sep 21 2009 	 must stay GRACE ! ! ! 	 stay Room Mate Grace hotel . excellent location middle Times Sq . book standard room upgrade arrival , good size room empty fridge , tv , hairdryer , iron & amp ; board , safe , etc . stock drink kiosk ( front desk ) . ice machine every floor . complimentary breakfast fantastic , although small dining area get little crowded take breakfast back room . every MEMBER staff meet throughout week friendly nothing much trouble . lot say noise party night pool 6th floor hear thing ! bed comfortable quality bed linen ! flat screen tv ipod docking station also DVD player ! would highly recommend GRACE , 7th trip New York stay dfferent hotel time - would definantly stay . 
 Sep 21 2009 	 eclectic clean boutique claustrophobic . 	 comfortable hotel funky vibe , availability ( thankfully ) every hotel NYC full . room clean tiny -- cozy would tight 2 people . front desk bit chaotic . fun common area , hip clientele . would come back . 
 Sep 21 2009 	 great situation 	 breakfast plae small , practicable ofen busy . 
 Sep 18 2009 	 zen hotel next everything ! 	 stylish , peaceful hotel step away Times Square . enjoyed stay much . hotel relax zen place , opinion , balanced NYC buzz . we standard room , opinon roomy enough . true though , space design couple etc , mean be basically one room . happy see , empty fridge fill food & amp ; drink . ( something sell reception well . ) be quite good deli / shop almost next hotel , easy buy snack . room 12th floor peaceful quiet , hand request quiet room . the breakfast healthy nice , although little crowded 9 . table available pool , , table occupy , may also check downstair . truly enjoy relax athmosphere chill music play . drink lounge bar Sunday . bartender friendly polite . way , quest seem Spanish speak . also staff speak spanish . there little thing could better : one two elevator break twice week 's stay . key not work last whole day . mistake happen , thing bother ask fix , staff member not apologize . also take get bag luggage room , since one staff member quest leave time . driver wait car street ( make New Yorkers mad ! ) . , see , negative side minor . definately would recommend hotel anyone + would stay . 
 Sep 13 2009 	 nice hotel close subway station lovely breakfast 	 stay Room Mate Grace 10 night . like much , especially breakfast great . 's close Times Square , bit busy , two subway station nearby . swimming pool ! downside think poor WiFi reception room . definetly great value money ! 
 Sep 12 2009 	 could fault time . 	 tremendously helpful staff - inform pleasant . room beautifully present clean . would recommend Grace Room Mate anyone . 
 Sep 10 2009 	 good short trip 	 husband thirty stay hotel town wedding . stay one night . think room especially bathroom would small we long stay . layout room quirky feel stylish , bathroom offer privacy . would comfortable experience use toilet , etc . travel anyone husband close family member door bathroom mirror slide front toilet -- word , bathroom basically one side room , bed side , separate room bathroom . shower dark grout probably could use tilex . lobby trendy , pool husband use . drink pricey . not find place loud Saturday night concierge helpful . wall thin . hear couple intimate way room ! 's comfortable stylish place stay , sort modern almost ikea feel . would definitely recommend young people 35 crowd 's short visit want trendiness reduce cost . parking block away . definitely place travel business relation . 
 Sep 6 2009 	 great except nightclub/ pool party weekend downstair 	 weekend pool , sauna steam room area bound transform gay club music may loud low floor . otherwise excellent location facility 
 Sep 4 2009 	 hope return hotel every time go New York City ! 	 unique hotel good service , 24 hour pool City never sleep , real PLUS ! hold luggage check check continue enjoy sightsee City . thank hope see soon . 
 Sep 3 2009 	 great central hotel 	 stay long weekend . catch train New Jersey 15 minute walk Penn St . hotel locate Times Square first time visitor New York perfect . although check not till usual 2 pm allow check room vacant ready . not know people always nice touch . like New York hotel err small side want huge room & quot ; City never sleep & quot ; ? room nicely design good use space . usual plasma screen tv wall mount could watch tv bed . separate toilet shower clean ( always good sign ) . also like refrigerator empty could fill whatever like either reception outside . unlike NY hotel size , small pool not use . like many poster breakfast crowd busy . people use little common sense breakfast take lifetime would problem . the bar quite expensive even New York 's lot watering hole near , though ubiquitous irish kind . all excellent good value hotel . 
 Sep 3 2009 	 Perfect stay . 	 hotel beautiful perfectly locate . clean , silent , fashion right dose . great breakfast . next time New York City Grace Hotel destination . 
 Aug 31 2009 	 stylish hot spot good value money ! ! 	 great time wonderful hotel ... new york resident come visit stunned chic stylishness bar , room lobby , good breakfast ( fresh berry espresso ! ! ! ) ... space table , maybe would include bar ? ? ? , would make breakfast time even relax , great spa , comfy bed ... dj , lightdesign - loved ! ! ! friendly staff - thanx : - ) ) ) ) one thing miss : hook hanger wet towel ... be easy one fix ! 
 Aug 30 2009 	 great deal great room great location 	 comfortable room . comfortable 3 people loft . 
 Aug 29 2009 	 read review go - disagree ! ! ! 	 see everyone call place funky & amp ; cool . decor ... really set good & quot ; spring break & quot ; set . front desk style newstand look . cool , large glass canister condom right counter ? tip we right start . the front desk tell we upon check - in request third floor room ( not ) . exit elevator third floor smell marijuana smoke . ignore proceed . room small relatively clean . return theatre , find special third floor . turn pool , proud , turn nightclub , right beneath third floor room . sign front hotel welcome passer - by inside $ 10 / cover drink enjoy live band & amp ; DJ . give everyone access pool . eeew ! ! Windows pool show wall wall crowd grind one another swimsuit latin music . decide skip hotel bar ... proceed elevator security guard stand verify indeed guest . sure enough , room pulsate latin beat , know need go back night . promise , bar close 2 am . could finally get sleep . follow morning , enjoy complimentary breakfast overlook pool ( surround blue caution tape ) . return room room vibrate jackhammer work hotel . when come , service hotel provide safe , comfortable , place sleep . hotel fail provide we . complain , merely offer simple & quot ; sorry & quot ; . 
 Aug 28 2009 	 small great value 	 book online hotel website get great rate . upgrade king room upper floor check . room pretty small ( bed take 3 wall ! ) bathroom large plenty space luggage , etc . location amazing staff great . pool spa look fantastic not time try . continental breakfast 's include perfect way start morning - huge variety , good quality food . would definitely stay . 
 Aug 25 2009 	 Room Mate Grace Hotel NYC 	 spend night RM hotel NYC August 09 - great location right next Time Square , helpful staff , plus swimming pool add great party atmosphere evening . so one negative comment - thoroughly enjoy stay would definitely recommend hotel . 
 Aug 24 2009 	 excellent self - service design hotel 	 like stay midtown happy without much service staff , good option . good value money , hotel come great look good complimentary breakfast . spa pool extra . not constantly worry tip much , little staff around . say , television change immediately find not work properly . overall highly recommend . downside might constant noice airconditioning building around . overall problem many place ny . 
 Aug 24 2009 	 good hotel beware adult theme item teen 	 travel teen / kid non - partner ( ie Friends ) would stay . shower not door , transparent curtain . would kick traveler shower . wall thin . fortunate neighbor not & quot ; go & quot ; party night . lobby counter large canister condom . mom travel child interest explain . pool party night , gay party . , explain guy speedo 's lay neck . on side : hotel CLEAN ! ! room . bed nice . location amazing ! staff helpful . not kid not mind shower front travel partner not mind hear neighbor - good go . 
 Aug 23 2009 	 friendly staff ever spa like . 	 staff exceptionaly friendly . breakfast well free breakfast I ve ever ny . room hotel general spotless . fun atmosphere . 
 Aug 19 2009 	 Funky hotel amenity 	 grace great hotel leisure travel . centrally locate site NYC include theater restaurant . room small , space use effeciently sufficient use room end day . entire hotel clean . hotel staff helpful polite . breakfast sufficient - fruit , baked good , cereal , egg . pool hit trip 5 - year old daughter . price right ! 
 Aug 17 2009 	 August Market Week 	 everything fine . great service great room . loved bed . comfortable . 
 Aug 17 2009 	 good young people 	 good : swimming pool , location , kindness staffcould well : breakfast , noise room , onion smell early morning 
 Aug 16 2009 	 NYC Gem Young ( Young Heart ) 	 ever stay Youth Hostel ? YH 's common great location , low price generally set convenient , safe haven guest . grace would consider oasis heart NYC . offer clean , tiny amenity stack room , 24 hour beverage store ( alchohol 4 am ) , free breakfast ( include latte 's ! ) good location one could want NYC . Booked Hotwire $ 145 could not happy . 
 Aug 10 2009 	 nice surprise .. way one ! 	 find book fast ... Room Mate Grace come rescue . my rate unbelievably low ... service great ( cute boy glass faux hawk check newstand look front desk ) .... be quirky place indoor pool lobby swim window lead lobby bar . People play friendly game pool volleyball show ... tempt join . the hallway lead room nut , wavy black white zebra line place , red lighting door massive room number . maybe case get drunk lose ? room small nice . bed really comfortable love bedding ! weird thing step thing , amble time get bed . there cute little nook eat use laptop . tv flat screen ... channel changer take forever go channel channel ... maybe battery dying ? good : * * AWESOME rate ( think sure always case ) : pay $ 149 / night * * free WIRELESS INTERNET ! ! ! love ! ! not get hotel not ! 's customer friendly ! * * free CONTINENTAL breakfast ! - good ! run mill croissant / coffee bar ... fresh berry , cereal , muffin , croissant , bagel , 3 type toast , hard boil egg , banana , orange , tea awesome little espresso / latte machine ! perfect ... free .. ! ! ! ? * * DJs nightly lobby bar ! great place meet friend drink ! know ... INSANELY awesome gay night call Drip Wednesdays . think would good front desk let people know crazy pool party / drag fashion show / dance party ! absolutely highlight trip ( total surprise ) ... sure old / conservative guest would thrilled bombard Gay night meet swim team ! * * gym ( albeit tiny treadmill ) , least try . 2 bike , weight , stretch band yoga mat . front desk girl tell talk trading bike treadmill ... hope ! * * manager leave handwritten note personal letter ... two apple snicker bar . 's adorable . * * minibar empty fridge , get buy want downstair kiosk / front desk stock . come handy not finish dinner one night want bring work ... room fridge ! nice ! plus , could buy WANTED ... not tempt overprice crap usually . * * People SUPER nice . mean , guy get luggage total doll ... help way beyond duty . * * central location ! great tourists- have heart Times Square ! great fashion business traveler ( ) ... short walk showroom design studio . there ton restaurant around 's also dead center enjoy Manhattan ... * * miguel- awesome bartender friendly , cute deep . keep friend busy late drink keep we interested awesome story ! bad : * * room pretty small * * bathroom light not great * * door bathroom- kick friend room pee * * homophobic , Wednesday night freak hell ! go anyway check 's FUN ! 
 Aug 6 2009 	 clean funky place 	 love atmosphere place . loved room layout ability dim light . get petite room . reception check , able upgrade big room house ( smoking - room not accept ) . afraid petite room would small enough . ' ve small ny hotel great ! bed funky comfortable . suprisingly quiet consider close Times Square stay weekend . ant crawl ledge beside bed , however .... feel place clean . shower , toilet , sink , carpet , bed - clean . bad bar close early midnight even though claim stay open 2 am . swimming pool , sauna , steam room look great ( not use ) . complimentary breakfast downstairs nice . perfect place budget . perfect location . 
 Aug 5 2009 	 nice ellegant great location ! 	 hotel heart city , corner Time Square . beautiful modern architecture design nice room , hotel perfect spot time square . 
 Aug 4 2009 	 Party hotel Times Square 	 small room , close action can not complain price . bad night first night party go room next door hotel 's fault . would say , stay two different occasion , weekend noisy party pool area be maybe ask top floor room . say - find reception guy mostly friendly helpful . location perfect want thick . room well lay space play . probably would not put parent though . anyone look fun hotel town - ! 
 Aug 4 2009 	 Trendy relaxed 	 stay 4 night hotel great . standard room queen bed . room small practically equipped . hotel pool sauna big plus . there party two four night pool . hotel guest always join party . especially one Wednesday night ( Drip ) really great ... good music , really nice show good atmosphere . 
 Jul 30 2009 	 excellent location small space small price ! 	 hotel great ! love decor email advance request room away internal noise ( swim - up bar nyc lobby ) . up - grade ... hotel staff great . travel NYC numerous time hotel great find ! look hotel include free internet ( make everything lot easy ) ... like european - style breakfast include room stay . would definitely stay ! 
 Jul 28 2009 	 Super ! 	 really nice hotel ! friendly helpful staff ! nice , clean modern room ! nice swimmingpool bar spa hour relax ... location : 100 metre times square , wonderful ! ! absolutely recommend hotel ! ! ! ! 
 Jul 26 2009 	 everything exceed expectation 	 hotel meet need perfect location . 
 Jul 23 2009 	 perfect place stay we 	 love hotel . room small perfectly adequate need since not much anyway . room quiet clean . slide door toilet area provide adequate privacy . door shower privacy could maintain behe shower curtain . complementary buffet breakfast excellent - good variety fresh healthy food include season fruit - fresh raspberry blueberry ! swim pool lobby enjoyable break we . family feel comfortable swimming one evening cocktail party pool . party look like would fun young adult however - lot loud music . decoration stylish , Ikea style . 
 Jul 22 2009 	 amazing hotel ! good value town 	 room great , modern design , quiet , comfortable bed . must pool lobby adjacent bar . good way relax aday shopping ! 
 Jul 20 2009 	 pleasant stay Room Mate Grace NYC ! 	 stay Grace 3 time find consistently please good value . staff attentive gracious . warn thta room small may go outside change mind . deal modern convenience amenity win . 
