absolutely 	 everything hotel excellent , staff could not enough overbearing way , arrive leave look brilliantly , room gorgeous , breakfast lovely , set beautiful , can not say enough hotel staff , would love stay .... 
 want leave ! 	 Montague wonderful , really list enough compliment express happiness facility service receive staff member . location extremely convenient - right next British Museum , Russell Square Tube stop block away , walk distance Covenant Garden , West end . hope return ! 
 Warm 	 use Hotel many time theatre trip , shopping sharing weekend friend Chicago . never fail deliver ambience , staff attendance round friendly atmosphere . the room beautifully appoint feel luxurious . I personally soft spot Jorge one Consierge 's funny , efficient , kind , hardworking . gem Hotel , Red Carnation Group proud 
 Oct 8 2009 	 Excellent pleasant 	 & amp ; wife state Montague 3 day July & amp ; really find fault hotel , , importantly , wife also find fault either ! ! service , staff , room excellent , request much trouble . over year stay lot ' big - name ' brand hotel , mostly around Middle East & amp ; Asia region . would say main difference hotel & amp ; Montague Montague , despite part hotel group , manage maintain personal touch always seem miss large hotel group . I would recommend hotel anyone & amp ; certainly would stay . 
 Oct 7 2009 	 stay - will love . 	 hotel great location - half block British Museum , half block beautiful Russell Square tube name . be small ( 60 room ) quiet street . decor charming , service impeccable . front desk waitstaff dining room maid , everything take care promptly cheerfully . Mustafa , concierge , particularly helpful , airport arrangement ( car airport , boarding pass , ) get us ticket & quot ; hard get & quot ; entertainment , always son visit . son still live London next year , definitely back . 
 Oct 6 2009 	 Excellent service great location wonderful staff 	 second stay partner . Montague excellent hotel mostly incredible staff wonderful location . leave US , contact concierge , Mustafa , dinner recommendation , theatre ticket , museum ticket , etc . fill request , ticket theatre could better . also need car go back airport pick fine service friendly driver . concierge , Mustafa , staff one well helpful met . the full breakfast excellent morning . egg order , potato , juice , cereal , bacon , etc . could go hour need eat . breakfast staff also friendly good . our room , Bloomsbury King , overlook inner courtyard . quiet , sunny nicely decorate . room clean arrive day cleaning staff great job . bathroom modern plenty hot water . love room , wonderful . each day greet main lobby Dirk General Manager Sal Room Manager . extremely friendly obviously make sure everything hotel run smoothly . minor request mention Dirk , Sal anyone staff member make sure need address quickly friendly manner . in addition great staff , breakfast room , location hotel could well . British Museum back door , would less 100 step museum . theatre district right . great number restaurant area . want shopping , theatre , eat museum , place stay . again , say enough hotel . love . 
 oct 4 2009 	 Super Service 	 stay mid - week 3 night , find hotel extremely good , previous good review spot on . the service well ever come across hotel clean . all staff greet whatever place chain . breakfast enjoyable coffee excellent , fact go ask forgot . my moans size room , book double room boy tiny . if business would fine , coupleon leisure break slightly tired tramping around comfortable mean . that would stop stay next time would upgrade anotherroom . 
 oct 2 2009 	 Superb Hotel 	 stay Montague midweek break special family occasion room excellent , split level suite , quiet . small touch impressed , lovely sweet treat leave pillow return evening . food excellent . breakfast lovely , plenty eat food good quality . also eat hotel one evening prior visit theatre , food excellent . the staff always attentive , make sure happy everything . moment arrival time leave make we feel really special . friendly polite go way help we . nothing much trouble . hotel location Bloomsbury central attraction visit . we already start arrange return stay Montague 
 Oct 2 2009 	 Perfect London Hotel 	 stay couple time business pleasure . charming old school style hotel , incredibly friendly helpful service , really do not find anymore . be also one tube stope St.pancras , make really practical . well worth visit ! 
 Oct 1 2009 	 Superb Hotel - Great Location 	 stay Montague Henry VIII 500th celebration . use Red Carnation Group 4/3 special Suite . look website special . room excellent , split level suite , quiet . service hotel ( bar , concierge front desk staff ) top notch . Red Carnation Hotels staff well train property clearly hand dedicated management staff . breakfast buffet standard English breakfast buffet twist tasty . eat hotel restaurant . bar comfortable house south african white wine tasty honest pour . Russell Square Holborn tube stop close . restaurant within walk distance plentiful . would definitely stay . 
 oct 1 2009 	 arrival time leave whole experience faultless 	 husband recently spend weekend fabulous hotel celebrate anniversary birthday wonderful time . originally book bloomsbury deluxe room absolutely stunning later upgraged Baron Suite become available . suite beautiful far beyond expectation . it spacious , beautifully decorate lovey bathroom . also spotlessly clean . little touch impress we , chocolate dip strawberry lovely sweet treat leave pillow return evening . food excellent . breakfast lovely , plenty eat food good quality . also eat hotel evening , food excellent . staff always attentive , make sure happy everything . Alan ( resturant manager ) present cake first night resturant , decorate plate & quot ; happy Birthday Anniversary & quot ; lovely touch . another meal follow evening conservatory excellent . what make hotel really special though staff . time arrival time leave make we feel really special . friendly polite go way help we . nothing much trouble . Sebastian greet we first arrive give we great first impression hotel , really friendly helpful . reception staff , efficent really friendly . get know Alan resturant manager lovely go way help we anything need . even check train time journey home ! staff meet lovely attitude alway ready help . can not fault anyone . this hotel far well ever stay ( include five star ) . wonderful location . will not stay anywhere else London can not wait return . 
 Sep 24 2009 	 exceed expectation 	 expect high standard hotel . get many way exceed expectation . the overall facility , include room food , excellent . bedroom well apponite service exceptionally high standard . however really make difference attitude staff . everyone encounter friendly go way help . really make feel important . 
 Sep 17 2009 	 little bit luxury 	 really enjoy stay hotel , excellent location staff really could not enough . experience room good size London beautifully furnish well lay . would not hesitate come back . 
 Sep 17 2009 	 Charming hotel great food ideal location 	 wife stay Montague 3 day August . set hotel delightful room overlook private central garden entire block . junior suite , comfortable . unlike many hotel London , room nice size cost , cheap , low end comparable ( 4 5 star hotel consider ) . staff friendly helpful . hotel quiet street next British Museum easy walk Covent Gardens Theatre district . negative location pub coffee shop nearby neighborhood basically residential . nice bar hotel . except one night , eat breakfast dinner hotel . excellent . fact meal Montague well experience entire 30 day visit England , Scotland Ireland . even stay hotel , restaurant Montague would good place dinner go theatre . 
 Sep 13 2009 	 perfect we 	 really not lot add . montague well positioned- manage quiet within easy walk Covent Garden ( 10 - 15 min ) Leicester Square ( 15 - 20 min ) 5 min tube . staff wonderful - service good get . place lovely atmosphere , although room bathroom small double . drink bar pricey , would expect one evening want sit little conservatory pre dinner drink could not reserve private party - big deal . make couple tiny comment might improve stay guest comment card get personal response within couple day - magic . thing would say quite grown hotel might suit family young kid feel quite ' posh ' , prefer something bit lay back trendy/ hip might , perfect we . 
 Sep 10 2009 	 Awesome hotel - great service ( Mustafa Rocks ! ) 	 stay lovely hotel three day July . terrific . nice location next British Museum , close underground . morning breakfast terrific ( go full buffet ) English Tea . Gerhard wonderful , arrange right spot we morning . room relatively large level hotel . clean , well appoint . ' ve never London many travel stay hotel well service , include like Four Seasons , Shang - ri - la , etc . include bell staff , front desk , restaurant concierge . Mustafa , concierge , absolutely terrific . take care everything , dinner reservation taxis mail purchase back state look teenage kid away play . sure return ! 
 Sep 9 2009 	 superb 	 recently arrive back home weekend London . word express feel hotel . apart fact , room food werebrilliant - staff - wrod describe , would bent backwards we . stay many top class hotel various part world , service beat hand down . we certainly return soon . keep upthe superb work ... 
 Sep 8 2009 	 Excellent Hotel 	 stay one night mum celebrate 40th Birthday . the staff friendly attentive without top . Room nicely decorate clean . cooked breakfast excellent location fabulous . 15 minute walk Euston station 15 minute Covent Garden . will definatley stay , next time London , hopefully couple night take advantage outside dining area , overlook garden . 
 Sep 8 2009 	 simply good hotel London 	 stay hotel forty time . superb hotel truly believe service small . staff magnificent always delight warm welcome receive . food excellent differently decorate bedroom enchant . academic find location , next British Museum University London , treasure bonus ! 
 Sep 7 2009 	 fantastically welcome hotel 	 partner stay two night , two - year - old son , guest friend 's wedding . absolutely fantastic break ; room pretty modest double beautifully decorate squeaky clean . housekeeping excellent , make sure everything might need toddler , without even ask . fact , staff absolutely brilliant , friendly caring . food fantastic , wedding great -- one good hotel ' ve stay , would definitely recommend family . 
 Sep 6 2009 	 fabulous hotel great location 	 recently stay Montague six night Bloomsbury King room . room large enough London standard beautifully decorate . staff extremely attentive could enough we , even call series laundrette check open Sunday save we search steet big bag dirty clothe . the location execellent right around corner British Museum within walk distance Covent Garden Leicester Square . I would highly recommend hotel would hesitate stay next London . 
 Sep 6 2009 	 2nd visit .. love location .. love service .. return 	 2nd visit hotel daughter west end weekend . Great Location walkable Euston . book one night grab show shop ! hotel really finish touch , quality fitting make weekend treat special . however , room time quite awkward manouvre around . maybe less furniture consider . maybe pay extra upgrade . book Superbreak discount . luckily not room much great needed . fab bathroom , robe , slipper , rain shower , bottled water , tea tray . etc . breakfast good choice service efficient polite . Concerige Staff look luggage , order taxi 's ( £ 4.80 Covent Garden ) walk back West end show . load resteraunt near . opt Sophies Steakhouse pre theatre menu . return , great room tidy turn service . yes , would return stop night would ask room change / upgrade . many hotel London small room , hotel deserve high recommendation quality , location first class service . 
 Sep 4 2009 	 good stay london 	 ( wife , two child ) 7 day stay wonderful.the hotel small , british locate next british museum quiet bloomsbury area.we luck stay together comfortable double room suite ( earl suite ) .the service simply excellent personnel always ready , well train smile .. love full english breakfast also restaurant good ( try lamb rib dauphinoise potato ) .the good part sometimes breakfast dinner outdoors face rear gardens.we hope come back soon . 
 Sep 3 2009 	 average 	 afraid say dissapointe stay hotel . lot research find good place could budget suprise husband weekend away . purposefully purchase upgrade ' King ' room . cost £ 180.50 per room per night B & amp ; b . however arrive discover ' king room ' buy expect new ' bloomsbury King ' room one old room King bed . dissapointe room . old decoration plastic mould sink unit bathroom - lovely new ' bloomsbury King ' see website . say get one newly decorate rom think would dissapointe , not ! feel hotel number 4 London trip advisor not great . service ok - nothing complain nothing shout either . receptionist ' get goat ' beggining check say ' ah Mrs P * * * * * , upgrade King room ' said- actulaly pay extra book king room ! breakfast ok . cook eggs order great , takes forever get , poach egg rock hard one morning , undercooked , runny white next ! . location excellent , nice quiet street , close theatreland british museum , even walk king cross 20 minute . would not stay , would definitly come back afternoon tea , see people bar look amazing ! basically would advise decide stay make sure get new ' Bloomsbury ' room . 
 Sep 1 2009 	 Great Banqueting Venue Bloomsbury 	 dream birthday party beautiful , warm friendly venue . I search classy venue . moment speak Jolanta , know find venue / Event Manager , even though hotel initially meet requirement . watching surmount numerous challenge include provision ethnic food , drink , decoration arrangement , level professionalism one hope , inspire . ability willingness explore option second none , also evident ' can ' support every member team , ' include ' grow believe ! quite accommodate - whatever requirement : chef quite flexible without compromise standard , health safely . mark begin SUCCESS ! food great - Nigerian & amp ; western dish - everything . new way fry plantain go treat ! Gerhard , Operations Manager - forever smile , willing help always deliver . banquet suite beautifully decorate assure . cake projector well display . operation day professional . Mohammed & amp ; Chief - ensure everybody get whatever food drink want . the Reception Concierge staff fantastic . hope exclude anybody everyone come contact professional . the bedroom beautiful guest also book stay hotel overnight long . I aware appreciative time go extra mile ensure day SPECIAL tireless professional effort go unnoticed guest . already enquiry use venue wedding ' m sure enquiry / contract arise result party . everyone speak party great compliment Jolanta team . now problem - feel like part fab team last couple week , handle ' withdrawal syndrome ' ! anyway , have visit ' afternoon tea ' ( also highly recommend ) , hopefully see new friend . 
 Aug 31 2009 	 wonderful Weekend 	 Booked hotel Superbreaks present daughter 's 18th . staff know daughter 's 18th put balloon room plate chocolate card really nice touch . staff could not enough always offer advice good way get place thing . good choice breakfast hot cold . go see Wicked Lion King would highly recomend . daughter really enjoy weekend look forward go back hotel November friend birthday . 
 Aug 25 2009 	 fantastic weekend 	 third time stay superb hotel get well every time . I book Superbreak one night stay show travel friend . the location hotel good almost next door British Museum within easy walk distance Covent Garden Leicester Sq . also travel London train west via Paddington get one bus straight hotel ( Russell Sq last stop ) arrive room ready spend approx 45mins comfortable lounge enjoy complimentary afternoon tea ( fantastic ) also give upgrade suite wonderful ( check room hotels web site ) refurbish since stay last . breakfast superb . the staff professional helpful . its cheap stay worth every penny , besides would stay 4 star hotel central London ! 
 Aug 25 2009 	 nice perfect 	 nice hotel good place service excellent , look ultimate luxury hotel , keep look . wife stay 6 night Master Suite ( offer , stay 3 night , pay two ) . look something special . reason can´t give hotel five star : - check , ask want newspaper . don´t tell , charge . it´s complimentary.- Master suite didn´t look glorious photo website . room wearines.- DVD player didn´t work begin . discover DVD´s scart connect tv , able fix . room electronic work come in.- want listen CD´s , use dvd+tv combo , sound pretty awful . - difficult get dvd movie show TV . put ch 17 tv , see dvd´s picture . manual mention anywhere.- evening canapés 4 strawberry cover chocolate . nice , bit booring thing every evening ( forget ) . - Minibar switch . , fix . plug ceiling . room electronic work come in.- add , without ask , extra 1 £ room bill check . it´s somekind donation charity ... pocket.-offer didn´t include breakfast ( pay hefty price room ) , much little thing annoying . 
 Aug 24 2009 	 wonderful service - orient hotel 	 staff hotel extremely service - orient ... attention detail fabulous ; room clean well - appoint ; food fabulous restaurant ; overall great hotel ! 
 Aug 24 2009 	 feel home abroad : - ) 	 spend month away home find Montague colleague - really make difference trip . excellent staff make feel comfortable welcome . Cosy , yet stylish room wonderful garden terrace great kitchen . make feel home London . 
