mostly 	 arrival four night arrive tired late travel San Francisco . inform Hotel Policy request $ 150 per night credit card , bond cover incedential ( I.E . do not trust - guest ) . likely use facilty hotel indication likely price , tell $ 150 dollar would take , $ 600 dollar four night . show one small room hotel , could get warm -window find open , stuck . thankful duvet . bed fine comfortable , shower leak water bathroom floor door wide space . opinion much style little practicality . staff helpful , would single concierge -Yenni . customer orient . also night staff duty 1st December , could helpful early morning start . would recommend hotel -not value money , convenient location . 
 luxurious Respite heart Midtown Manhatten 	 Royalton exceed expectation hotel midtown Manhatten , provide luxurious welcoming retreat long day tour city first trip NYC . location wonderful - quiet street step subway , Bryant Park , Times Square - short walk Grand Central , Theatre District , great restaurant , Rockefeller Centre - even Macy 's Empire walking distance . historic georgian stone building , set appear old & quot ; tony & quot ; area , Hotel Algonquin across street , NYC club Harvard club step away . service prompt friendly - unassume welcoming - open greenhorn tourist question . bathroom bed wonderful - especially mirror tile huge tub shower - feel wonderful ache body full day walk ! price internet special put price range Manhatten hotel less quality - hard get anything $ 250 cdn . reviewer mention , lighting dim get use , seem soothe - flicker light large fireplace shadow scale modern architectural detail beautifully appeal sense . curl leather couch front big fireplace glass wine long day huge & quot ; ahhh ! & quot ; moment . great little deli / coffee house couple step away grab quick breakfast bring coffee room . also enjoy Jewel India - street price quality food . restaurant area likely good expensive ( Algonquin across street Jazz supper club - expensive great rep , although not try ) short walk cab ride 9th Ave Hell 's Kitchen , great , less expensive food ! 
 Superior Customer Satisfaction 	 spend 5 night Royalton Thanksgiving holiday month say extremely impressed . stay Grand Hyatt , Marriott Marquis , Millenium Hilton name , level service family receive Royalton second none . moment arrive bellman front desk staff delight work with . our room spacious desk couch , bathroom large one good shower head experience ! bed comfortable room appoint nicely . highly recommend hotel visit Manhattan great location great staff . 
 Jul 30 2009 	 will not go back 	 here opinion ...... bad , : service , everything front desk door service .. parking , dark depressing feeling , bathroom smell .. pricey , that s new york . elevator supeer small , small room , ..... good ...... bathroom even though smell bad .. nice.big tub , nice size.and awesome shower ever experience ... that s really like hotel , , fact want jump screen window 7th floor .. wide open straight want ... loft be not bad actually , fairly good size hotel .. expect .. 
 Jul 27 2009 	 great Stay except Front Desk Experience 	 Royalton hotel nice place , would like travel back , however front desk / reservation center ruin positive opinion place . I make reservation phone ( reservation center apparently Canada ) woman notify cost room ( book 3 room night ) would put onto 1 card would present card incidental arrive hotel . when myslef 2 friend use room ( already pay ) arrive , front desk inform we cost room would put onto whatever card give incidental . I tell tell already pay . anna front desk say incorrect information reservation center give right info . card file , 1 , still say without card present could use charge . settle 30 min later confirm room charge would show friend card bc pay room . said & quot ; yes & quot ; would receive separate receipt upon check . never receive receipt woman speak next morning clue talk . frustrated , leave without receipt . next day friend inform $ 346 pende charge card . call speak Anna , informed friend & quot ; hold & quot ; amount card find would pay room . never make note action remove card . friend wait 3 day money available she . the incompetence front desk enough go back unfortunately . 
 Jul 23 2009 	 worth nothing priceline rate 	 stay night . walk , rarely see anyone front door wait welcome . walk lobby , dark could fall asleep one ever lobby . room fine overnighter nothing . ask speak concierge 6 time every time ask , tell concierge working day ! pay $ 115+tax do not much complain . price , can not go wrong be look something personal attention , will not find . addition , hotel horribly dark great eyesight could hardly see anything . 
 Jul 23 2009 	 great hotel great location 	 impresive hotelvery kind stuffthe good location ny tourist 
 Jul 23 2009 	 First Time will not last Time 	 stay Royalton two night July 16 - 18 . tend use hotel close Central Park regular basis , select Royalton time close midtown meeting site would head fly airport . book Quikbook . first time Royalton great stay , especially rate . pleasant welcome door reception . helpful explanation thing could found hotel access . well - design outfitted room ( Standard Queen ) good Manhattan size one person would manage two well also . simply one good shower ' ve ever Manhattan , be often issue pressure , temperature , drainage three - , great rainfall showerhead hotel toiletry boot . location excellent , 44th east 6th Avenue , Fifth Madison Avenue shop close hand Times Square easy walk way . 42nd street station five minute west Grand Central Station five minute east , subway connection great . iconic Public Library around corner , well Bryant Park be outdoor cafe atmosphere . do not opportunity try either restaurant bar time around definitely add Royalton short list hotel consider next visit NYC . 
 Jul 20 2009 	 get well every time ! 	 say - love hotel ! ! ! welcome front door , efficient staff reception general ambiance place soon walk . could not ask . room fantactsic ( reasonably sized NYC ) bathroom excellent . amenity / technology hand . great location office ( Times square ) evening . staff make every effort make stay comfortable . David Joel door ( make sure guest look ) Justin ( make wicked Capirinha ) Bar , personable professional every way . nice stay somewhere pretentious hotel ' ve stay NYC ( Inclusding sister hotel Hudson ) . downside use fitness room change set fo airport late Thursday .... would recommend hotel anyone like good service funky vibe . return near future sure . 
 Jul 19 2009 	 good ... great . 	 Royalton , whilst possess impressive lobby foyer , aim young trendy crowd . lift TINY , enough 4 people fit 1 suitcase . hallway narrow curved , ( difficult suitcase ) kind like ship , port hole type plaque door . room small , ( mean small ) , expect New York ? location good . next Broadway fantastic shopping . walk distance attraction . attitude staff unappreciate ( snobby make we feel slightly unwelcome ) . nonetheless , stay New York still amazing , not spend lot time hotel anyway ! 
 Jul 17 2009 	 wonderful experience 	 bad thing say gorgeus hotel . room large NYC standard bed superb . staff totally friendly respond every need . husband stay quick romantic getaway get around writing review . reservation stay week bring kid time . wait show city perfect hotel stay . extra special us celebrate birthday . 
 Jul 17 2009 	 Location Perfect 	 five work colleague stay 4 night July think hotel perfect location see ny short period - room decadent spacious reception lobby area beautiful , modern although bit dark side ! clean hotel , friendly staff relax cosmopolitan feel - drink bar pretty pricey though great place start night . would definitely recommend traveller ! ! 
 Jul 13 2009 	 WOW 	 Royalton trendy , upscale hotel staff world . first enter hotel appear dark give minute find african theme black leather couch invite sit socialize . party stay standard room minute step room know & quot ; luxury & quot ; hotel . 
 Jul 3 2009 	 Unique Hotel - can not fault 	 hotel absolutely brilliant . stay Husband first part honeymoon can not rate high . Manhattan several occasion , far good price , service , cleanliness , sheer character stay . warn unique hotel , lot style character may everyone be like . corridor reception area deliberately dark , room sparsely decorate , love . furnishing spotlessly clean , everything need . even view back building , little could spoil hotel we . location prefect , could not ask well , smack bang middle town quiet ( NY ) street . 's two block away times square accross road designer boutique 5th . we look several luxury hotel book NY ' m pleased go , cheap option fantastic . definitely return . oh bed superb , good night 's sleep have year . 
 Jun 30 2009 	 will back ! 	 Thought would try Royalton stay Hudson later Morgans Royalton renovate . good decision lounge look entirely different atmosphere largely . love big tub bathroom , tv oh comfortable bed . important , staff great -- efficient , helpful friendly ( especially Clay Angel ) . thing not impressed restaurant , enough good restaurant vicinity choose . future will think will stick glass wine sublime deep fry artichoke lounge . 
 Jun 23 2009 	 44th 6th 5th ... 	 stay street time , be near theater district Times Square close carnival atmosphere abound non stop . want try Royalton , hope would one , oh grooovy tiny roomed joint suppose happy cell lobby hip . delighted case . room comfortable nicely appoint great bathroom truly great shower , bed comfortable hip lobby ... love stay shall return . 
 Jun 18 2009 	 expect ! 	 hotel could ever expect . service unmatched . everything need want . ambiance hotel chic modern . music play time . read review say loud , bother ! love . contribute charm hotel . hear street noise room . except occasional siren police ambulance . however , think hear twice whole week . the room HUGE ! much big normal New York City hotel . impressed . sofa perfect child sleep worry fall . daughter 10 factor we . carpet clean . BEDS HEAVEN ! matresse bed yummy . want leave bedding . loved lounge . sit fire wait car service take us airport . location great , close everything . walk anywhere need go . use Metro much last time NYC . speak restaurant bar . MISS WONDERFUL HOTEL experience ! ! ! 
 Jun 15 2009 	 Great Location - wonderful trip ! 	 get back NYC . stay 3 night Royalton . great location . right 44th 5th .... walk distance Time Square , Central Park , 5th Ave far SoHo village etc . service excellent staff could not helpful . room nice modern . complaint would bathroom bit small not lot counter space really big issue . wonderful roomy shower . fantastic stay would recommend hotel anyone . 
 Jun 10 2009 	 Fabulous Boutique Hotel great location 	 love Roylaton 's moody , dark elegant feel . on practical note find ' mood light ' little dark room sometimes want bit light get ready go out . great location service . would definitely recommend hotel . 
 May 30 2009 	 Modern minimal ... good night city 	 3 year since visit Morgans Hotel Group property ( previous visit Mondrian WeHo ) . visit Royalton night 5/29 start well front desk staff member personable genuine . room ( # 1006 ) queen bed fireplace soak tub . room feel little small , cramp ; great space utilization much attention detail ( light cubby next bed , candle , Bose sound dock iPod , beautiful mirror mosaic tile soak tub surround , etc ) . also greatly appreciate hotel avoid use mini - bar sensor allow enough extra room store 2 energy drink can would arrive . lobby bar area enjoyable , though really place people interact stranger ; come group keep . property modern stylish pretentious ... staff member pleasant . some area could improve upon include:1 ) bed overall feel little minimal , contrast rest hotel experience . benchmark generally bed four Seasons bed disappoint bit . say , appreciate different preference come hotel bed . pillow seem quite firm . inquire upon checkout future knowledge whether different pillow would available call . tell foam feather pillow available , sure 's variety term firmness.2 ) two small closet leave immediately upon enter room . organize adequately sized short trip , light closet entryway lighting not fully illuminate closet space.3 ) much counter space sink , though think 's intentional take away effect fully mirror angle surround sink area.4 ) evening turndown service . surprise since guess expect customary class hotel . overall , experience good pleasant staff offset shortcoming room . 
 May 4 2009 	 Nice hotel 	 book alcove suite 4th floor . nice room . closet tiny suitable long stay . bathroom spacious bath gigantic . fireplace candle nice touch . complaint would extremely noisy due construction work do outside hotel soundproof . complaint front desk ' help . 
