great 	 stay Carriage House 1 week Halloween 09 . return hotel 1st visit 2005 impressed upgrade room hotel receive . book 2 room son come we room large comfortable . reception area also renovate good quality furnishing . staff helpful courteous . visit Utah Death Valley whilst stay time , easy day trip . lot building work carry strip Monte Carlo Bellagio hotel ( far Carriage House ) make area dusty . also entrance Harmon Avenue strip change , not much problem something aware drive Vegas . Vegas fun city plenty , Carriage House 5 minute walk strip give welcome bit peace quiet turn night . hotel could benefit small bar restaurant strip close 's essential addition management make . would definetly stay Carriage House retune Las Vegas . 
 Jul 22 2009 	 good place large group good location nice expect 	 perhaps expectation high reading review . carriage House nice hotel , number little issue damped overall experienced . the hotel lobby , check - in / out , staff great . checkin process fast . lobby fresh inviting . small pantry item enough we avoid grocery trip . location expect . directly across street side enterance planethollywood 's end Miracle Mile . must walk 200 ft stop light cross . heavy construction side walk tear , create temporary walk way . continue full block Strip , walk PlanetHolly wood get strip . we usually walk back street along monorail line back enterance MGM . 200 yard easy walk . could easily walk MGM NYNY , Excalibur etc . main concern stay quality room . 1 bedroom suite . furnishing fine bed comfortable ( comfortable sofa bed ) . linen good quality . however , upkeep room poor . wall paper old . ceiling low ( especially hall way ) . kitchen poorly stock . one spoon , fork , bowl , couple small plate . use cooking pot bowl . the room overall dark not feel invite . bathroom / shower small big issue A / c not strong enough keep room cool . we two people go vegas vacation . however , bring big group people , would fine hotel layout room allow multiple family stay near ease kitchen . there free high speed internet , wire ( wireless ) .Maid service daily bed / bath . Taxi service available strip shuttle airport also know location work well . 
 Jul 10 2009 	 fantastic gem Hotel strip 	 stay Carriage House 26th June 1 week along 10 member family . hotel locate perfect place one block strip Planet Hollywood Harley Davison Cafe . between we 2 one bed 1 two bed apartment / suite . living area flatscreen TV , full kitchen oven , hob , microwave , coffee maker , dishwasher full sized fridge / freezer . bedroom tv plenty wardrobe space bathroom large clean shower hairdryer . clean service every day bed make towel change . timeshare / self catering room stay keep rest place tidy . hoover provide well full sized iron board . the hotel reception seating area tv two computer free internet access . small gym treadmill , cross trainer exercise bike . staff friendly helpful nothing much trouble . outside tennis court small pool . plenty sunbe small jacuzzi . due high building sun pool 10 be 2 pm . pool open 10 pm always keep clean tidy . always plenty car parking space .there laundry room floor small fee washing dry clothe . I would recommend hotel anyone . 
 Jul 5 2009 	 great location nice place 	 return one week stay Carriage House . like many other say , place little gem tuck away block strip . one bedroom full kitchen . bed quite comfortable , ample storage space clothe . parking free never problem . walk everywhere find location hotel perfectly place strip . pool small , clean good supply lounge chair . would stay ! 
 Jul 5 2009 	 Excellent 	 stay 26th June 3rd July excellent . 10 we stay 3 apartment none us complaint . room large everything need stay include full kitchen fridge / freezer . pool small plenty room everyone , get sun 10am-2.30pm though tall building around hotel . 5 minute walk strip close MGM , Planet Hollywood Bellagio . would definitely recommend hotel 
 Jun 10 2009 	 happy 	 central safe family . good price neat tidy room . cook facility . helpful . 
 Jun 8 2009 	 great location strip quiet comfortable 	 stay May 16th-23rd , great location strip centrally locate . there 8 we , room accomodate we well . cleaner come daily expect , large bedroom massive closet fit suitcase storage . Kitchen fully equip , large stove / oven , full size fridge dishwasher . three tv 's , coin operate laundry passage . pool front carpark tennis court basketball court carpark . straight across road Planet Hollywood shopping mall , supermarket couple mile strip , close one south strip call Whole Foods market aware organic supermarket pricey . the Bellagio around corner beautiful water show . this hotel centrally locate along strip without noise . there lot construction go strip find street dirty . bring comfortable shoe , accomodate heat ground surface get extremely hot . fremont street magnificent something can not miss , although couple mile north strip worth see . Hoover Dam worth drive , massive bridge build across moment stunning see . also stop Lake Mead way back drip foot in . overall light spectacular , crowd amazing night , heat nice . we eat MGM Grand Buffet think good value money , $ 30per head . the conceige informative helpful . 
 Jun 6 2009 	 great place stay strip 	 friend stay hotel strip not good room mine . felt like miniature apartment . great place stay spend day walk strip . real peaceful , constant traffic place . worker wonderful , always try make stay well . flight package go inexpensive rate would love stay . 
 May 28 2009 	 good hotel close Strip 	 arrive 11.00pm check - in quick without fuss . room clean , quiet kitchenette utensil need . there laundry floor ( $ 1.25 wash , $ 1.00 dry ) business centre ground floor 2 computer lounge area . although not use also swim pool tennis court . the Carriage House half block Strip close Planet Hollywood MGM Grand . price reasonable would hessitation stay . 
 May 15 2009 	 Excellent Value close Strip 	 stay one - bedroom suite start end trip . room # 323 full size Murphy bed build wall credenza ; room # 823 sofa / bed . clean smell cigarette smoke . kitchen well equip bath surplus linen even large family . bedroom large dressing area separate sink large mirror . hotel block Strip late night area little scary . lot " normal " Strip foot traffic occasionally " weird " folk enough keep we stay future . Construction Las Vegas Avenue near Harmon intersection traffic reduce one two lane direction . ' driving , ' avoid Strip much possible . not miss titanic exhibit Luxor time . ticket TIX outlet half price ticket Luxor 
 May 2 2009 	 good choice family 	 family 5 , 3 kid age 8 - 10 , stay hotel 2 night April 2009 . room one bedroom suite include full kitchen , king bed bedroom , sofa sleeper 2 additional chair convert single bed living area . the room clean roomy . easy park tennis court pool back . would say good feature hotel could walk block Miracle Mile Shops strip . be close action close deal crowd drive issue . this hotel no - brainer anyone want experience Vegas also retain traditional accommodation . 
 Apr 18 2009 	 excellent value ! 	 arrive Friday 10th April around 12 pm , husband 2 teenage kid , staff hapily check we give we room . give 2 room 4th floor : 2 bed apartment pro : large 6 foot beden - suite bathroomdresse table chairwalk closeta 2nd bedroom large king size bed , tv bathroom oposite include large walk shower ! live area huge , huge sofa , could seat 8 , also make double bed . table chair , large kitchen everything need . also modem internet great . bad point : master bedroom bathroom need bit update , maybe shower instead bath . also 1 bedroom apartment large could sleep 4 , bathroom huge everything need 2 tv 's . hotel staff excellent , include concierage lady reception staff , happy help anytime taxi 's car hire . also ask member staff fix bath tub , man come within 5 minute fix problem ! good part carriage house casino , do not walk huge casino check go pool . would definetley return carriage house come back vegas , hotel good part holiday , time would 2 bed apartment enough room 6 people ! 
 Apr 12 2009 	 Great Value 	 Carriage House provide amazing & quot ; bang buck & quot ; . got large suite , include full - size kitchen , 2 tv . room clean . check - in quick efficient . free coffee available room lobby . hotel short walk Planet Hollywood . small exercise room available night . the downsides:1 . hall smell smoke , something use , although seem common everywhere Las vegas2 . casino on - site course - MGM block walk , get back hotel , far casino , etc . suggest short walk Planet Hollywood . 
 Feb 23 2009 	 glitzy great value Vegas 	 third stay suite hotel - time different size unit . unit large plus include either kitchenette full kitchen fully equip everything need include daily supply decaf / reg coffee paper towel . bathroom include great supply towel never give hotel stay , good look shower curtain bathroom rug , cotton swabs cotton ball . short , give extra effort . 's clean boyfriend think new room . room decor great never make request housekeeping . know check great stay . area could use update hallway . washer / dryer locate assign foor 
 Jan 8 2009 	 Decent place bad management 	 place ok , close enough strip . however , problem charge add room leave , $ 250 & quot ; deep cleaning & quot ; . although maid service provide , told & quot ; trash litter throughout hotel & quot ; . $ 250 would take job Carriage House clean hotel ! 
 Jan 6 2009 	 big room great location friendly staff 	 stay 4 day Carriage House pleasant stay . check first room check we smell strongly like cigarette smoke ( room 607 ) despite request non - smoking room . second room ( # 420 ) much like smell fine . location great . Planet Hollywood across street , MGM Grand Bellagio close . staff always friendly courteous , greet we come go make we feel home . room large - like typical one bedroom apartment . feel bit worn , still well decorate slightly wear outdated furnishing . kitchen reasonably stock cutlery glass . clean staff not clean dish - not unusual suite ' ve stay in . the room good job noise , still possible hear monorail going - one night someone nearby tv turn way could hear muffle sound wall . another reviewer mention theft - , not doubt he / she , not problem . leave laptop day four day not issue anything else go miss . overall , room bit aged look , be definitely glamorous hotel , room large comfortable . parking not problem . 's easy walk everywhere . strip less 5 minute walk away . monorail - fairly useless way - 10 minute walk south MGM . great location , inexpensive rate large comfortable room . 
 Jan 5 2009 	 LOVED ! ! ! ! ! ! ! ! ! Carriage House 	 Great Property Great Location ! ! ! ! ! ! ! ! ! ! ! ! ! ! stay Christmas New Year 's . location could much well . hundred yard Strip near Plant Hollywood . place small like old Hampton Inn Holiday Inn Express . well maintain staff many year . parking GREAT car . pool area acceptable size complex pool hot tub heated . like easy access room pass gambling time probably good place stay Vegas . plus : location , price parking . party peopleneg : enjoy Casino may disappoint . party people . check Ellis Island Koval & quot ; & quot ; GREAT & quot ; & quot ; food . 
 Jan 3 2009 	 careful belonging management care take . 	 stay 4 night timeshare / hotel Christmas enter new year . find facility amenity regular hotel , close strip , room spacious end , facility acceptable . security personal belonging another matter . New Year 's Eve wife decide leave personal article inside room weather merit wear day . come back later night , find go . one go room maid , ( ) call maid ask course say know anything . supervisor even call we . afterward , wife , talk General Manager say would check , subsequently call we report investigate feel maid would thing , family support , need health insurance work long time , suggest miss fault . make feel maybe hallucinate , drug , lie , try cheat maybe four . offer compensation , help kind , even apology . take loss . fact , know put & quot ; disturb sign door & quot ; maid come clean . option , like , . watch staff . personal article also put inside suitcase secure might deter . management hotel help , CARE ; , careful belonging ... 
 Dec 23 2008 	 Carriage House - absolutely sensational 	 not sure expect research number hotel / casino Vegas . carriage House brilliant . 2 boy extremely difficult find 2 bedroom 2 room unit USA without pay ridiculous amount money . the hotel room everything need . carriage House supply comfortable rollaway bed ; separate main bedroom QS bed separate tv walk - in robe . live area large QS fold - out couch ( fold - out lounge chair need ) . wide - screen plasma tv living area full serviced kitchen area . US $ 100 - $ 120 per night can not go wrong . even laundrette almost every floor prove extremely useful . location ideal - one block back strip . close Planet Hollywood Paris Casinos . reception fantastic - staff could not friendly helpful question . Louis mas reception one good operator business . check hotel simple take literally less 3 minute ( ' ve read sometimes take age check - in large Casinos ) .The Carriage House 2 free p.c . 's lobby guest use . a tennis court also available boy use twice . also lovely pool . I really can not say enough good thing Carriage House highly recommend anybody travel Vegas business pleasure . 
 Dec 2 2008 	 Sshh keep secret ! ! 	 stay 3rd visit Vegas twice Planet Hollywood . put amount construction strip select ' quieter ' hotel strip couple minute walk Miracle Mile shop P.H.Have say superb . combine hustle & amp ; bustle Vegas oasis calm tranquility brilliant . staff pleasant attentive start finish . room perfectly adequate spacious enough two us add bonus hob , fridge microwave mini - kitchen make stay satisfactory . ask reception see video / dvd room - free hire , bit date nice touch . the Carriage House lovely quiet , seldom see hear guest construction noise deaden double glaze . small pool belong solely we couple afternoon time spend walk mile strip , blissful . , would recommend hotel anyone . might ' wow ' factor huge corporate hotel , relax stay , perfect . 
 Nov 30 2008 	 peaceful comfortable 	 stay Carriage House week mid November book read othertripadvisor review . 1 bedroom suite elegant comfortable . construction go bother we . the furnishing clean comfortable , everything work . housekeeping well average , fact staff great . location excellent , right Miracle Mile shopping mall , almost centre strip , 5 minute walk action . casino , bar restarant site make build peaceful noise light strip . only downside noise unit next door , pool would probably small energetic teenager . noise monorail back hey- Vegas , expect , really not bother we . 
 Nov 30 2008 	 Quirky begin show age good value 	 first time Carriage House . bit $ 69 rate Thanksgiving weekend see overall excellent review property . carriage House certainly reasonable low rate $ 69 , quirk hotel somewhat date . although word & quot ; suite & quot ; often throw around describe CH room , be essentially standard size hotel room kitchenette ( counter seat associate tiny kitchenette either ) . bathroom standard tub / shower combination ; room , drain super slow need property come fix drain shower head , annoying needle - spray type . property fix issue , slow drain pick housekeeping via hotel 's room PM process - 's something guest report . room late 80 vintage , blond wood , floral print bedspread almond fixture . AC room loud love kick obnoxiously , run 2 - 3 minute , kick loud sigh . watch tv AC cycle mean constantly turn tv volume compensate . AC definite noise traffic monorail south side building . day , Carriage House virtually encase side large high rise condo building , real view room . tv update flat panel , hd content available , tv recess far inside armoire & quot ; hole & quot ; allow reasonable view anywhere bed . hallway low - ceilinge old style drop ceiling , lead claustrophobic atmosphere . most annoying inability connect room 's wired internet access . many wireless signal ( fee ) easily acquire , hotel 's system seem finicky certain laptop ThinkPads . hotel respond complaint bring one HP laptop , connect successfully , wash hand issue direct wire internet provider . two phone call 25 minute hold later , CSR claim & quot ; keyboard not work & quot ; could please call back later . end pay additional $ 12 connect via one wireless provider . give overall value proposition , $ 69 weekend property still reasonable choice . think future Vegas weekend would likely pay $ 10 even $ 20 stay choice , include Bill 's various Marriott / Hilton / HIExpress option . 
 Nov 29 2008 	 Bien ubicado tranquilo 	 Desde un punto de vista de calidad es muy superior los hoteles - Casino , la situación es perfecta un trato amable . muy recomendable si quiere descansar visitar los grande casino que quedan apena unos 100 metros evitar las molestia de lo crowd que suele estar estos hotele un precio mucho mas asequible . Lo único que le falta es un desayuno continental para ser un 10 en todo los aspectos . 
 Nov 23 2008 	 go vegas baby ! ! ! ! 	 week vegas , carriage house fabulous . staff friendly helpful , especially concierge . close strip could sleep window open night noise strip . take time get cab need one . condo nice clean . order grocery ahead time ' getaway goods.com ' . nice , grocery put away arrive . enjoy cold beer arrive airport . lobby construction interfere stay . perfect getaway . would highly recommend like sooo much , stay new year eve . 
 Nov 20 2008 	 Carriage House - EXCELLENT ! 	 wife return Las Vegas spending week Carriage House ( CH ) . be look peaceful getaway hussel & amp ; bussel Vegas , CH ! ! love Vegas , get annoying navigate around popular hotel . CH breath fresh air . trade timeshare 2 bedroom/2 bath unit CH please . writer note , construction area , concern , request high numbered room . low number end build near PH construction . 301 noise never bother we - even window open . and yes - restaurant bar premise , , be nice escape traffic . staff excellent , accommodate even print boarding pass . security excellent never feel uncomfortable walking 2 block strip . if not mind slight walk ( one trick enter PH side entrance - cut lot walk traffic construction ) get strip , CH gem forest mega - resort . many thank CH Staff great , peaceful vacation ! will back ! ! L & amp ; J 
 Nov 12 2008 	 Best Little Hotel Vegas 	 Carriage House Clean Friendly . stay Carriage House one night look forward return January . bed clean firm , comforter bit scratchy nit pick make bed . kitchenette date clean useful especially mini fridge . Widescreen HD LCD tv big surprise , dvd player . complaint could make room close shower curtain get dark shower . get room one hundred dollar night ( include tax ) . hotel literately 2 short block Harley Davidson restaurant strip . 5 minute walk Miracle Mile & quot ; mall & quot ; ( indoor walking ) bring right PH hotel casino ( nice buffet @ PH ) . stunning value find popular Las Vegas . can not wait return . 
 Nov 3 2008 	 gem ! 	 see Carriage House get constantly good review think would go rather chance Priceline . it everything hope would be . check quick effecient way 7th floor room . say room ? full kitchenette full size fridge / freezer high stool breakfast bar . Longue area settee , armchair , 50 & quot ; tv , table 2 dining chair . bedroom King bed , large chest drawer , large tv , dress area vanity unit . bathroom small perfectly adequate . walk wardrobe storage room iron etc safe . friend live small house ! 4 window look part strip . part mountain lot construction ( never problem ) .security good use room key access lift outer door night . also security guard duty lobby overnight . nice gate swimming pool ( gain access room key ) step main building hot tub . never busy there . no eat facility on - site hey Vegas 1000 place eat . it be locate minute strip casino slot . 's oasis calm day / night strip . if want comfortable , spacious accomodation quiet area yet minute Strip go grab - certainly will not disappoint . it really good everyone say ! 
 Oct 27 2008 	 great location value money 	 come across hotel road trip , part visit Las Vegas . want hotel fairly inexpensive close Las Vegas strip . hotel definately deliver requirement . on arrival hotel discover refurbishment work happen reception area expect relieve discover work conduct area . temporary reception set adjoining room lobby . the reception staff polite , professional neatly turn . check - in take minute . give electronic room key advise location room . when arrive room find fairly spacious fully stock kitchenette cutlery , dish , plate cooking untenstil . also iron board , iron , hairdryer , tv , clock radio air - con unit . someone could quite easily stay self - catering stay one night . the room book two queen sized bed , comfy chair table . also bed - side cabinet . bathroom shower area clean tidy clean towel complimentary touch like soap , shampoo , etc . what really great hotel 's location relation Las Vegas strip . literally block away strip pay reasonable price . I would definately recommend stay budget see Las Vegas . 
 Oct 3 2008 	 Excellent 	 extremely friendly helpful staff . nice large room kitchenette . good value . highly recommend dinner buffet Planet Hollywood ( nearby ) Rio Hotel . 
 Oct 1 2008 	 great place location away slot machine ! 	 girlfriend stay week mid Sept . reception area refurbish problem . people say sun leave pool 2 pm . rubbish . pool cover shade around 4.30pm . honest , come relief . internet available bring ethernet cable , however , reception provide one free charge . we buy bit food marriott around corner expensive , go towards strip turn leave harley davidson place go 7/11 minimartsThere also alot building work go strip ( MGM city centre ) bit annoying , , big problem . definately use local bus service ( monorail good 15mins walk MGM near pick ) . ' deuce ' name bus $ 2 one way $ 5 day . although casino look close , walk strip , $ 2 seem good value 
 Sep 25 2008 	 great Clean Comfortable Hotel ! 	 husband stay 3 night attend work conference please stay . hotel short drive airport ( less 10 minute ) short walk strip ( 1 block ) . hotel right next Planet Hollywood almost & quot ; center strip & quot ; opinion ( although long walk way north end strip ) . hotel lobby construction , even still clean well keep . security hotel also good need keycard get hotel 10 pm must keycard use elevator . arrive tell non - smoking deluxe suite available ( guess fail request non - smoking room ) . tell non - smoking room ( problem leave Saturday system would let give we room book weekend ) . talk manager upgrade one bedroom suite extra charge - wow ! room deal ! husband decide see room would definitely choose hotel one room suite ever go back Vegas kid tow . room huge ! full kitchen ( fridge , dishwasher , freezer , sink , microwave , coffeemaker , stove - oven though ) , living room sofa tv pull sleeper bed , bedroom king size bed , tv , walk closet . room truly huge . bathroom sink inside second vanity bedroom . everything clean well keep . ' m easily disgusted hotel room feel comfortable . wi - fi like website advertise , high speed DSL connection connect room - bring cable though . grocery store within walking distance , would probably short drive taxi ride away . buy thing walgreen CVS 1 - 2 block away . overall , happy stay plan return hotel future . 
 Sep 17 2008 	 Gem 	 Fantastic , favourite hotel 5 different one stay Summer holiday . non gaming hotel locate great position 5 minute walk strip . close enough walk major attraction far enough away noise crowd . book suite fantastic huge bedroom walk wardrobe & amp ; additional wash basin . living room sofa bed kid kitchenette microwave , fridge , kettle , hob etc . staff helpful polite , provide additional recommendation takeout eatery call room food arrive . useful laundry facility site small shaded pool masse pool towel kid make good use . love Vegas , fabulous hotel make even well . 
 Sep 10 2008 	 strip still well locate 	 pay $ 150 night , stay 3 night , little disappointed first get smoking suite ( choice , well option bed ) enjoy stay . you 5 minute walk strip taxis easily available hotel need . also plenty parking space . suite large , clean everything good order . dispite photo may seem show , walk hotel lobby step pool . 's nice jauzzi towel available . for breakfast go around back MGM Grand , $ 15 get food could eat . 
 Sep 9 2008 	 good value - problems 	 three night hotel find good value , well locate friendly staff . room certainly comfortable although scenery window limit quite acceptable . quiet location particularly give close proximity Strip . would certainly stay . 
 Sep 4 2008 	 perfect escape 	 see hotel tripadvisor contact hotel see could accomodate 2 adult plus 3 kid ( 8,10 & amp ; 12 ) one room . could book suite kid sleep living room sofa bed . like stay large hotel hustle bustle . surprise close strip - 5 - 10 minute walk , day strip nice get back peace quiet small hotel . room perfect , really spacious facility need , staff helpful , pool fairly small o.k . be look non gaming hotel near strip family thoroughly recommend Carriage House . 
 Aug 25 2008 	 great find strip 	 book hotel trip advisor review dissappointe . Location - superb , far enough strip walk quiet safe away hussle busslepool - great kid , shaded , need 107 degreesroom - spacious comfortable bed . clean . say room different layout . huge kitchen small bedroom whilst friend opposite , directly across hall . problem air conditioning , maintenance come immediatelyplus - great washing facility site little supermarket hotel next door perfect . Kitchenette mean able breakfast etc setting day . Recommend - certainly . good price hotel good location . do not expect Ritz , welcome relief slot machine . 
 Aug 23 2008 	 wonderful place 	 well praise oasis Las Vegas . understand negative review write . give wonderful room magnificent view . everything work properly room , bathroom , ktchen . room service efficient . front desk staff concierge superb . fast check check . 14 day single complaint . every request grant . place near strip , surround tall building problem use swimming pool , actually sunbath part day . arrange shuttle service make grocery cost get good deal show . say , praise hotel hope return next vacation . 
 Aug 12 2008 	 need 	 use Carriage House base two night LV . positive whole place - clean , tidy , huge one - bed suite , room rollaway lounge teen kid ( m / f ) ' top tail ' sofa bed . quiet handy need . easy find drive airport . good price book ( early ) . would use . 
 Aug 8 2008 	 large room peaceful handy strip 	 go trip advisor recommend . extremely pleased . great location - 5 min walk strip middle equally handy either end . reasonably price , large comfortable room . quiet . restaurant premise vend machine . however , miracle mile near lot cafe etc order pizza delivery etc . find something complain computer system seem bit slow waiting check in / out crash . 
 Jul 26 2008 	 Viva c. house 	 Pro : location - close strip ( Hard Rock Hotel ) Quiet nice outdoor pool sparoom spacious neat - complete kitchen dishwasher etc . helpfull staffFeels like secure placeCon : NothingSum - up : excellent family - close strip quiet safe 
 Jul 23 2008 	 one good hotel trip 	 flat ahotel small kitchenette , separate room us kid . great facility , flat screen tv , good pool near Strip , could walk area within 20 minute . thoroughly recommend . 
 Jul 20 2008 	 great place stay 	 11 year old daughter stay 4 night June 2008 . little oasis Vegas away hustle bustle Strip away gambling . hotel 2 block Strip opposite new Planet Hollywood hotel . good pool particuarly nice late afternoon sun go behind Strip hotel . staff friendly helpful , room comfortable inclusion mini kitchen useful . however pity hotel breakfast facility site could even get fresh milk hotel . & quot ; also , unlike many hotel , internet cafe foyer free although bring laptop free use room . , good hotel one would recommend . 
 Jul 17 2008 	 great family holiday 	 date july2008review Ballarat AustraliaOur family four pleasure stay 4 night late june year . it may flashy big hotel , certainly make service . staff helpful organised ticket show call . happy find seat 2nd row seat middle theatre . thankyou carriage house . show amazing one good show ever see . we room separate bedroom pull sofa roller bed . kitchen like new new utensil offer . we enjoy cook two night there . we also find hotel great well suited family casino . one big block srip central thing . Miricle Mile shop block away . nice comme back quiet hotel walk busy strip . 2 block Bellagio fountain enjoy tea Bellagio one night Noodles . restuarant great find wish find soon . we would definately stay . 
 Jul 10 2008 	 Excellent without doubt 	 room great load utensil need cooking , cutlery , pan , knife , cut board . though dint get cook . the location great mgm grand flamingo.it two block away strip .Everything perfect hotel . 
 Jul 10 2008 	 little gem big city ! ! LOVED ! 	 book trip US start US mum 's xxth birthday ( big one ! ) start trip Las Vegas know expensive everything want stay nice affordable place . Carriage House want . room kitchenette ( think ) everything need cater stay . hotel staff helpful , pool front hotel , less 5 minute walk Las Vegas Strip , far monorail MGM . laundry facility internet ( pay ) . big advantage hotel walking distance everything , get away & quot ; bright light , big city & quot ; atmosphere ' ve do day . would definitely stay . 
 Jun 25 2008 	 Nice Room 	 1 bedroom king room queen sleeper sofa living room , , , full kitchen nice ... room clean comfortable ... hallway could use paint update ... coffee 8 - 10am , , , internet access pc internet / printer use extra charge - handy emergency need print fax document . this place within walk distance - 2 block strip - close enough far enough hustle bustle Vegas ... pool nice shade afternoon ... would stay . 
 Jun 18 2008 	 bad probably will not stay 	 stay Carriage House timeshare exchange . close strip , extra couple block become tedious 6 day walk everywhere . overall , staff friendly room nice . able get room cool 75degree . get like 80 one day , call service find air conditioner freeze . even fix , still not cool properly . fairness , offered let we change room , day leave trip , not want pack stuff . ' m sure another room would better . pool nice , get 2 hour sun day since sit two tall building . 
