nice 	 planning anniversary trip , want find place away craziness strip . Red Rock Hotel perfect alternative . not gambler change pace welcome . 's flashy noisy typical strip hotel . also plenty site like movie theater bowling . be within 20 minute Red Rock Canyon park 25 minute strip . unfortunately , cool enjoy pool check also nice . workout room little small side everything need get decent workout . we family live Vegas typically try visit every couple year will definitely go back Red Rock . 
 Oct 12 2009 	 great strip option 	 Service attentive , hotel facility plentiful great lobby bar spa 
 Oct 11 2009 	 Hilary love Red Rock 	 love - great pool - great food - bowling - movie - something everyone ! 
 Oct 11 2009 	 everything ask one place 	 stay Wednesday Saturday ... plenty space mid week pool casino restaurant . spa beautiful . quiet retreat use spa pool private spot read enjoy peace & amp ; quiet . weekend , much busy two concert schedule make intersting people watch ! drink pool expensive . food hotel buffet good value . ask two one coupon casino courtesy area check daily paper deliver room discount , well . not take anything fridge room ... not want within 45 second , will charge . coffee pot room bummer ... never stay hotel not one . room spacious bathroom great . staff nice accomodate . 
 oct 8 2009 	 exceptional every way 	 service Red Rock outstanding . staff accomodate make convention completly successful enjoyable . room tastefully decorate overlooked pool area . one exception , night restful quiet , common casiino type environment . I family immediate area location perfect get together oppurtunitie . like large size feature bathroom probably much thing facility . 
 Oct 8 2009 	 Las Vegas stay Red Rock Hotel 	 preface review , four day visit Vegas turn 30 day . pre - planned four day excursion nephew friend ( high school graduation present ) , decide quit job , fly friend , stay relax ! let us start poolside start vacation . view pool 16th floor suite spectacular , daylight particularly light night . Red Rock staff girl ( Kai , Todd , Brad Darnell not half bad either ) beautiful , always smile genuinely service orient . layout cool , series pool hot tub full bar blackjack table one side , cabanas lining side back end . bar offer food beyond would classify & quot ; bar food & quot ; well variety colorful fruity drink . absolute & quot ; must drink & quot ; Java Monkey , iced delight Starbuck 's liquor sweet ingredient ! inside casino focus FOOD big gambler . not misunderstand we though , indulge moderate play roulette , blackjack slot within casino . food T - Bones , Feast Buffet , Grand Cafe Hachi memorable dining experience differ tier . menu Hachi though offer wide variety high - grade food , dine total eight time . the Spa relax wonderful experience . get haircut , massage utilize exercise room daily . favorite two massage receive Julie . ask name 's clearly qualified deep tissue massage . to conclude review assure back Red Rock Hotel & amp ; Casino soon . level service , valet bellman concierge throughout service staff inside casino , impeccable ! not afraid ask deal . Red Rock 's flexibility room rate integral part decision extend stay . hope enjoy next stay Red Rock ! 
 Oct 8 2009 	 great Spa Great Room Poor Pool Service 	 room gorgeous , large closet , huge bathroomservice spa amazing . outdoor pool spa include hefty resort fee one tell we . not even cover spa tour . walk past way treatment room ask pool ? guest use ? service pool bad . server would check certain guest ignore other . start wonder Distrub Sign chairthis location beautiful far strip . need rental car . 
 oct 8 2009 	 Red Rock Hotel dissappoint ! 	 moment arrive day depart , Red Rock Hotel beyond expectation . entire staff courteous uber - friendly . hotel ground beautiful backdrop surround mountain . room top notch ! ultra modern flat screen t.v . BOSE sound system . drawback , room locate opposite end elevator , entail slightly long hike . request room far elevator . 
 Oct 8 2009 	 Red Rock Casino / Hotel 	 return 4 day stay delightful refuge desert , Red Rock Casino & amp ; Hotel . truly wonderful relaxing experience 20 minute hustle & amp ; bustle & quot ; Sin City & quot ; . whenever return Las Vegas , certainly stay much beautiful tranquil Strip area . make reservation night dinner one Strip hotel restaurant see Cher perform Ceasar 's ( great show ! ) ; night happy drive back room Red Rock Hotel sleep sunrise illuminate red mountaintop outside floor ceiling windows morning . pool area quite nice polite , attentive staff outstanding feature resort . negative experience extremely long walk elevator room ( 75 yard ! ) . knee , foot ankle problem ..... difficult trek unable move we next day due high occupancy . 
 oct 8 2009 	 Noisy claustrophic ` ` resort '' 	 room Red Rock alcove hall . may seem like would provide quiet relax atmosphere , reality create wind tunnel make room shake time door close within 10 room . stay many resort hotel 4 star good . 
 oct 8 2009 	 Incredible Off - Strip Hotel DEFINITELY see business ! 	 visit Red Rock Casino , Resort Spa Las Vegas Event Planners Convention August 2009 . facility offer complimentary shuttle service Las Vegas airport well Las Vegas strip . service fantasic asset since hotel locate quite distance Las Vegas strip typical taxi service cost approximately $ 50 way . room fantastic ! Las Vegas strip king - room . room clean bathroom separate shower roman - style soak tub . addition , toilet house separate water closet . the casino rather small since visit gambling , not matter I . in regard dining , hotel offer low - cost food court well several theme restaurant buffet . one restaurant , T - Bones Chophouse , absolutely INCREDIBLE . highly recommend guest enjoy restaurant ! hotel also offer large pool , two small pool . addition , many bar nightclub . entertainment venue superb . also enjoy spend day Spa . as meeting planner , function space key successful event . hotel offer entire floor ballroom breakout location . overall , give hotel 5 - star rating kindness staff , entertainment option , dining , room amenity function space . definitely visit hotel future . 
 Oct 5 2009 	 Generic Behemoth Las Vegas Hotel / Casino 	 Generic Behemoth Las Vegas Hotel / Casino Far stripi could not decide title use.-the Red Rock Casino Airport Shuttle Bus leave airport every two hour even hour 8 8 pm- ' big dark red bus name Red Rock Casino side front . airport catch level baggage claim . baggage Claim , take escalator next level , walk straight door ( ' end side building ! ) go island middle street . go way right bench people catch city bus . city bus stop right parking space 22 . Red Rock Casino bus stop one space . bus seat 28 32 people . 18 people want get bus room bus . presumably remain people get together share limos taxi . line take number system . bus free . Taxi 14 mile , 20 minute ride $ 63 . ( September 30 , 2009 ) good point - beautiful chandelier ! ( want take one bar home ! ) -large rooms.-clean - view room wall wall floor ceiling window nice . pool area artfully lay colorful many tall palm tree , see hugely massive spread unscenic roof casino parking garage , big housing project , beyond majestic mountain blue sky.-air Conditioner Heater responsive digital settings.-TV bathroom.-restaurant right across street casino cheap . get , walk way casinio leave door Terra Rossa Restaurant . follow street parking lot cross Charleston Street traffic light . leave shop like Best Buys , Borders , Marshals , Costco , etc . right nest restaurant : Olive Garden , B.J . Brewhouse , McDonalds , asian place , mexican place , Coffee Bean , other . bad point - Noisy Disco 10 pm 4 . room anywhere near disco side hotel noisy . specifically ask quiet room . room give 16th floor far end . quiet there.-Looong hallway . elevator one end building . room one tenth mile elevator ! -snack Mini Fridge . tray liquor bottle box snack . item electronically monitor . remove position ' put back within 40 second ( ! ) cost charge hotel account.-when walk room look like furniture warehouse bed whatever ' permanently mount wall one side adjacent corner room . housekeep good enough find man arrange furniture properly . suspect maybe rollaway two prior occupancy . 's explanation could come mess lay out.-toilet separate little room access bath / shower room.-inadequate light reading rooms.-Elevators hard find ' necessarily go want go.-restaurant scatter around periphery casino . food court one walk farthest get . -The Grand Café - almost trip someone get order take take full 30 minute get breakfast order . restaurant fill people wait long food deliver . food kinda warm hot arrive . quality food low average good . ( friend tell buffet restaurant good ! ) -Awkward layout casino , hidden elevator , grossly waste space hotel wing lead we suspect architect never graduate architect ' school . definitely never study feng shui ! -Not many people gamble casino day night Wednesday -Friday there.-this hotel far Strip ! 
 Oct 1 2009 	 Loved ! 	 look beautiful place stay Las Vegas , ! mind , strip . like fast , busy , crowded noisyness strip stay . resort shuttle run strip . stop come back hotel 9PM . late . cab back cost around $ 60 ( incl tip ) . weekend much busy , club high gear 's lot go bowling alley , movie , bingo , gambling . personally , LOVED ! ! ! pool area gorgeous great sound system . tip : drink way expensive pool , play slot get freebie . the casino right size . excellent restaurant . t - bone upscale pricey , worth . breakfast buffet delicious . usually not go buffet tend substandard food , one excellent . not get chance check spa since choose go kayak , atv'e attend let us make deal show . the room large , clean provide either view strip canyon . take canyon beautiful . do not love peep check - in . sharp tool . call plane ticket print , clue . concierge take care . spend day strip , admit feel good come back Red Rock . good feeling . Hope hit Station Casino 's Green Valley Resort next . hear beautiful tuscan feel . anything like Red Rock , happy ! 
 Sep 27 2009 	 great value nice property huge room 	 back soccer tournament Vegas hotel super . staff little light side , exception indifferent check clerk , everyone meet super nice responsive . one example , bunch we leave hotel early Saturday time . call valet early told & quot ; not worry - call ready take 3 min . & quot ; well , ready , call answer 3 min ring . rush person pleasantly surprise valet pull car around apologize able pick car request person . adjoining room , one king , another 2 queen . bed exceptional bathroom well do . separate soak tub small tv hit teenager ( although soak ice game watch tv ) .Did venture casino , lobby bar nice . happy hour price premium martini $ 5 . sure hour , 630 get price . pool look great surprised close 6 pm Saturday . we hit strip cab Saturday night $ 55 way . mind trip , want spend lot time strip , warn 25 minute trip . we stay . high ; recommend . 
 Sep 23 2009 	 ' ve stay 14 15 time ... 's worth trip strip 	 ' ve stay many many time , not understand anyone could anything & quot ; bad & quot ; say place , minor nitpicking . stay 75 % strip hotel large margin would rather stay sister property Green Valley anywhere else Las Vegas . worth travel 15 mile strip unless ' ve never Las Vegas before . Red Rock well describe large , hip W meet Frank Lloyd Wright . attention detail design quality really asonishe appreciate sort thing . 's ultra cool , time , ultra lay back . one trip , will kiss strip goodbye forever . casino seperate hotel , not aimlessly wander casino get hotel . prefer Canyon view Strip view room choice . view Red Rock Canyon breatakingly beautiful . I stay business 2 - 3 time year , also come back quick getaway wife kid . Kids Quest think 's call awesome ... little one will not want leave ... drop 6 hour come back still not want leave ! remember call advance bring kid ! ! require date immunization record fax advance . Red Rock Canyon literally right across highway , mile away . really neat experience , whether want drive hike it . the thing Station Casinos ( Red Rock ) somewhat bad , communication . comp , general question , name , take forever get answer . call transfer around , front desk refer someone else ... person not pick .... nobody seem much decision maker . aside be truly wonderful place . 
 Sep 22 2009 	 customer beware 	 Red Rock Casino beautiful property , own corporation teeter bankrupcy . perhaps result reduced staffing , callous attitude remain . visit casino Sunday morning , August 9 . two hour , 8 10 , car break casino parking deck . pry door panel , pry open trunk , still get inside , cut ( twice ) convertible top . , place without criminal behavior - although surprised Sunday morning daylight hour burglar could much opportunity attempt destructive breakin many way without security camera guard see . caution other Station Casinos respond . take write report . apology ( even inconvenience ) , follow - up write telephone contact . essentially , & quot ; bad , leave & quot ; . not expect ( ask ) pay damage , expression concern would go long way . clearly , person burglare heavy - duty tool - ' m glad not return call soon interrupt violence , Red Rock could instead ignore medical need rather vehicle damage . know go , anything happen . 
 Sep 21 2009 	 Beautiful Hotel lack customer service 	 Flew Las Vegas Northern Ca party Red Rock Casino ; check - in 8 pm find stay list even though state room book event family member 's name . state family member , member arrive Thursday night . event plan approximately 2 month advance . common - in sense play role conversation , i.e. , part event . needless say I / we choice stay night assure would adjust room charge group rate follow day ( Friday ) . follow direction go Hotel desk next morning find Clerk / Reservationist could make adjustment , could handle person reserve / book room ( Mara ) . Clerk / Reservationist state would email phone party reserve room . phone call never come . call . Sunday , finally try tell speak hotel manager say & quot ; & quot ; going happen , would receive group rate , even though tell . , would adjust / remove & quot ; resort & quot ; fee . time ' m sure believe anything hotel say . go stair speak Mara directly . would not know would come talk , speak , obvious expression gentleman 's face go call desk . unfortunately group spend collectively $ 4000.00 casino , meal , gambling , shopping , etc . entire stay . oh , not want forget meal Grille Cafe checking - in Thursday night . upon enter noticed man sit bar stool back wall , pay mine time . seat right away . wait , wait , wait . thirty minute pass , water , passing & quot ; one right & quot ; . daughter see waiter pass area summon table ask someone going wait two we ? respond haste sorry ( mind every one around we wait ) get work try find someone help we ! trying find someone , kid ? seem embarassed stop appear want wait table . 5 - 10 minute later another waiter come table take order . time ( 45 minute later ) frustrate loss appetite . take order . wait notice group five people walk seat three table ahead table man see sit stool enter restaurant . seat right away . say daughter wonder long be go wait eat . soon say ( less 2 minute ) waiter table pad pencil writing . amazing . meanwhile , ' ve sit close hour waiter leaving go home still serve food . imagine ! wow ! unfortunately , could get word group patronize restaurant fact experience thing . I'am work professional . ' ve own 2 small business , 1 restaurant . treat customer regardless race , gender , creed , color . serve certain race / group people post sign outside restaurant state fact . way guest arrive know stop . staff per customer ratio low relay customer upon arrival , i.e. , wait time may exceed 5 10 minute , etc . never ! keep & quot ; rock & quot ; . shopping casino , especially shirt purchase insignia engrave , donate Goodwill Stores . believe power consumer , rule 10 . mean book another stay hotel , tell ten people experience . 
 Sep 20 2009 	 never stay unless want waste $ $ $ 	 RUDE staff say . today 's economy , many option -- especially Vegas . get already . place overrate . go Terrible 's stay Fremont St / Old Vegas area ( 4 - Queens , Binion 's , Main Street Station ) . MUCH well service way cooler overall . Google place else , really .... 
 Sep 18 2009 	 Swanky Hotel ... 	 LOVED hotel ! long not mind drive strip ( must rent car bring HOTEL ) , hotel flat rock ! stay couple night ex - gf ... complain time distance strip ... 23 36 ... maybe explain love place ! will not find Circus Circus next door . check breeze . room awesome ! dark wood ... great color ... floor ceiling window could see strip distance . fantastic bathroom ... really well do think out . I think issue room door . seem really rattle people across hall close door . door slam shut place . we go steakhouse one night ... skip . food suck ... server seem want get we quickly . would never go back T - Bones . Didnt really hit club . buffet though ... tip one local give we ... PICK local newspaper weekend ! front section , put buy one get one free coupon . save us prob $ 75- $ 100 trip ! want stay away strip really enjoy ... stay ! ! 
 Sep 16 2009 	 Las Vegasnevada 	 stay Red Rock Hotel great upscale 30 min Strip , much well stay Strip ! strip TiJuana meet Disneyworld . restaurant incredible Strip.if take cab , make sure know fast cheap route otherwise get rip off.the good part trip take heliocopter ride Grand Canyon - totally incredible ! 
 Sep 15 2009 	 quite simply good ! 	 travel Vegas frequently son play poker professionally . last visit , take we Red Rock think would like . get home book stay . fly Allegiant get great deal labor Day weekend , Air plus three night $ 237 each . our last stay TI , suppose & quot ; 4 Star & quot ; hotel . look like Motel 6 next Red Rock . arrive noon Fri . walk right check desk . ask room high floor , fairly close elevator read hallway long . much surprise , give room canyon/ mountain side 16th floor incredible view , include view pool . room fantastic ! ! travel great deal , work pleasure nice hotel ever bed linen amazing , furnishing room art please bathroom , separate walk shower , deep dub flat screen tv , double sink , separate toilet area amazing . room could comfortable . the pool area great . never overcrowded . lot server quick , personal service . good poolside food Vegas- much cheap pre - package crap serve Wynn ... lay back atmosphere pool uncrowde $ 5.00 blackjack table pool bar . find $ 5.00 BJ crap table casino well . slot seem loose Strip Race sport book nice town and- keep drink come . have wonderful meal italian restaurant last night . room service breakfast prompt delicious . all employee friendly seem go way make sure people good time ... friendly , helpful dealers9Jason BJ table Steve stickman everyone sport book ! pit boss even friendly ! smoke bad place . we go strip night see Santana @ Hard Rock , great show btw . fortunately , son drive free shuttle stop nine . red rock great lounge band lat night club along theater complex w/ IMAX bowling alley w/ cosmic bowling . incredible , relax stay here . yes , hear music club west side building 1 2 , tired bothered . yes , tack $ 25 day resort fee , trip much cheap last stay town matter . complaint 7AM flight home Mon . airport shuttle not start . , stay amazing can not see reason would stay anywhere else . Mellow lay back- need trendy , go elsewhere . 
 Sep 14 2009 	 Great Hotel ! great Conference location A+ Pool A+ Staff A+ 	 stay 5 day could happy ! conference facility top notch . food great ! italian place well imo.clean big room huge tub bathroom . great pool ! lot server ! Free airport strip shuttle service always schedule . easy check out . fun gambling facility . shout C.J . fellow bulldog fan ! Great Staff casino well . oh tryst good . good staff well ! new different type Vegas experience would go back . strip , convientent shuttle ! 
 Sep 9 2009 	 terrible experience good option elsewhere 	 customer service hotel downright awful . room clean would expect & quot ; upscale & quot ; hotel . also trouble laptop cell phone service room . maybe hotel 's way get people gamble . public area hotel smokey , hard find non - smoking area , even eat lunch dinner . would recommend other seek accommodation elsewhere Vegas . place really go downhill fast . 
 Sep 4 2009 	 6th stay - still Awesome ! ! ! ! ! ! 	 well ever ! ! ! ! ! ! ! 6th stay . 3 night strip Flamingo , be loud disrespectful crowd college student undesirable , two night Red Rock welcome escape . everything need right , need ever leave resort . still love ! ! 
 Aug 31 2009 	 restful . 	 room spacious 2 bed . room clean organize . pool amazing . never see pool deck like . one big pool several small pool surround great much people pool . everything hotel spectacular . activity age . 
 Aug 26 2009 	 lousy cell service - typical Vegas ' resort ' 	 stay 4 night conference August ' 09 . find interesting , & amp ; annoying , fact cell service & amp ; aircard service , laptop , essentially non - existent soon one turn hall towards guestroom . service fine convention center & amp ; lobby , room , even stand right next window , nothing . realize casino not want guest room reason , silly , mention petty . also charge additional ' resort ' fee , top nightly room rate , include guest room internet , allegedly wire & amp ; wi - fi . end use wi - fi , wire not connect , also confirm suspicion use kind block device ensure signal get thru . , petty . bed room platform type , w / no box spring , make low get in / out . , since not use fit bottom sheet bed , platform make bit difficult remake bed night keep bottom sheet wad up . Bathroom large & amp ; lovely , single bit ventilation . consider lone AC vent room completely opposite bathroom , would quite steamy quickly . interestingly , set Bellagio making think designer ! AC room also motion sensor turn air flow movement detect ; make difficult really get room cool stay cool night . far dining option go , eat Grand Cafe , LBS , & amp ; Salt Lick BBQ . definately recommend sweet potato fry @ LBS along w / the fry chicken & amp ; blackberry cobbler @ Salt Lick . would recommend hotel other ? depend reason go . simply go gamble & amp ; sit pool , go . however , trip include business need cell laptop , would suggest non - gaming hotel , plenty , Vegas area instead ( ' ve also make recommendation conference organizer ) . 
 Aug 25 2009 	 Place Rocks 	 spend three night Red Rock Casino & amp ; Resort July 2008 find really fun place ! book short notice week good rate stay . despite last - minute booking via internet afternoon , check - in go smoothly evening . room huge bed impress view onto Strip distance , especially beautiful night . small exquisite hi - fi system room , include CD especially arrange Red Rock Resort music brilliantly match surrounding view . bathroom equip good smell shower gel , body lotion etc . fluffy towel . shiny clean evening find note weather forecast well small bedtime candy bed . bit disturbing though mini bar , pay soon lift one contain article minute . also ' really like hip hop music blare day pool , might quite subjective . stay week place full family rather party people ' really see use loud party music . pool area different sized pool divine let music spoil lazy day there . furthermore positive side stay lunch buffet offer $ 10 , 99 extremely diverse delicious . 
 Aug 25 2009 	 big room nice resort great customer service . 	 really think place top notch . colleague conference . great service everywhere go . friendly staff . concierge desk help quite reservation . Valet parking free . room large ever see . casino area exact replica Hardrock Hotel Resort Hollywood , Fl . pool large , beautiful , crowded . drawback ? strip , take 20 minute drive . $ 120 night , fine . 
 Aug 24 2009 	 Perfect stay 	 need hotel N. Las Vegas business . Red Rock run internet special $ 75 / not plus $ 28 resort fee . $ 28 resort fee include wifi work great , access spa , free shuttle airport & amp ; shop ( although time convenient ) daily newspaper . you could find less expensive option , luxury . always someone open door , especially appreciate juggled suitcase , briefcase , purse latte . check - in easy appreciated mini bottle water . not walk thru casino find hotel elevator - very convenient . room 16th floor ( 16108 ) overlook pool set sun . high number away elevator . room lovely spacious . take full advantage soaker tub plasma tv wall . bed comfortable . my criticism blare music throughout hotel & amp ; elevator time room dark morning get ready day - not enough light . minor issue . next time bring husband ! 
 Aug 24 2009 	 will never stay strip 	 Red Rock diamond among gem Las Vegas area . away crowd strip able actually see natural beauty Vegas thrilling . hotel 's spa amenity unparalleled . facility everything guest would want , Starbucks , movie theatre bowling alley course , great casino . , jump car be 13 mile Vegas spectacle . great place stay , change . 
