great 	 great place stay . a unfortunate situation happen Jan 2008 force find place stay 5 year old , never plan stay year make decision truely awsome place never feel affraid woman 5 year old everyone go way help ever issue room 15 min . Bee , Tracy Kim well ! ! ! ! I m picky person expect good I m pay ! ! ! make great friend worker guest still speak till day . please listen think know place well since stay year reason leave condo finally do ! ! ! 
 Nov 29 2008 	 Bed Bugs Bite ! 	 Siena Suites list Obama website offer discount anyone come Nevada Drive Change . think fantastic book two - night stay . not bargain wake first morning bed bug swarm bed . meal several hour . immediately call front desk say would move another room . later speak another desk clerk , say speak manager would likely give refund . speak manager duty give refund . hour return room , receive coupon complementary night stay . would go back . send letter supervise manager , email follow demand refund , ( bed bug bite show 9 - 14 day see crawl ) , hear back - 's three week - even get acknowledgment receive letter . highly recommend not stay . 
 Nov 10 2008 	 reasonable extend - stay hotel 	 stay Siena Suites 11 day . room clean comfortable , laundry facility great parking convenient . not use pool , look nice well - maintain . the staff helpful . one point stay ask move room close main office . happy honor request . the hotel provide enough dinnerware dish 2 people , bring extra travel family . wireless signal spotty connection bit slow . 
 Aug 25 2008 	 well extend stay vegas 	 live Las Vegas 10 month . 3 month Sienna . must say Sienna well far different x- stay Vegas . look Ritz , keep look , you re look nice , safe , clean place stay Vegas , hard beat . cheap , get pay . 10 minute strip downtown , beautiful ground , pool , workout room , etc . start vegas , tight budget , visit , can not go wrong ! 
 may 30 2008 	 Loved Siena Suites 	 request pool side room tell check would one . get room discover pool side . call front desk happy give we pool side . sorry mix happy accommodate request . room clean quiet . pool quiet early morning late evening . great relaxing star gaze . would recommend other , however rental car asset staying location . stay again . Kevin & amp ; Marianne Ontario Canada 
 Feb 23 2008 	 problem 	 can not understand negative review . stay one night 2 bedroom/2 bathroom / living area / kitchen suite . price unbeatable . bit way suited need perfectly . 
 Jan 18 2008 	 enjoy stay much ! 	 not know hotel many bad review place great . place revovate ( sp ? ) room great . third floor great view . staff great . trailer nice enough block parking place we come late would need park . would recommend anyone . 
 Jan 8 2008 	 not stay ! 	 tell hotel close Sam Boyd Stadium come Pioneer Bowl . easy 10 minute walk . stay street , walk park night . when open door room , meet disgusting smell . classy place stay . bathroom towel hole . overall condition room acceptable . find hotel rent room day , week , month year . close town next visit . 
 Nov 17 2007 	 keep look 	 stay three night . right Boulder highway . Noisy cheaply build . harley rattle front window . get third floor beware floor paper thin . bed cheapest bedding could imagine . high risk dissapointe . motel two year old already show wear . want cheap use something little well look not . ' m usually negative get cranky 4:00 little sleep . 
 Oct 25 2007 	 cancel booking 	 make reservation two bedroom suite another couple . book hotel within walk distance Sam Boyd stadium , attend event there . three day departure , hotel call say room would inhabitable due & quot ; water damage & quot ; would book hotel 6 ( ! ) mile away Henderson , one room two bed ! try argue one room two bed two bedroom suite , avail . since everything else area sell $ 300 + night , be force bunk together , ruin relaxation , plus will fight traffic event . avoid property cost . 
 Sep 20 2007 	 stay 	 use nice place stay . decide allow pet . would fine except policy place , Pitbulls , Chows , Rotweillers anything go . bark day night designate room pet , could go & amp ; end room that s dog cat . dog mess everywhere . there several problem stay , 2 pitbull get loose property & amp ; animal control call . also another incident guy 2 dog yes one pitbull locked room , never take bark yelp constantly . 2 week complaining & amp ; sleep ( may say know several guest complain daily basis ) decide . management & amp ; staff slow & amp ; unproffesional . never stay . absolutley disgusting think maybe sleep bedroom that s also use kennel ! 
 Jun 14 2007 	 frill ! 	 know trouble go front desk check unsavore look character also come ask overnight stay . guest also come pick extra towel . ( ? delivery service ? ) Marcos inform housekeeping come day miss , oh well , would come next day . room furniture sparse old looking . bed lumpy well pillow . blanket old rough . end buy blanket blanket gross . housekeeping call early morning say come 20 minute , leave 60 minute , returned never show . ask clean towel 2 extra pillow say housekeeping leave extra pillow could come office pick towel . will not even discuss towel , be plan stay , would purchase towel will not scratch skin dry . husband call , decide deliver towel lo behold 2 extra pillow . water smell heavily chlorine keep bathroom door close burn eye nose ! want leave soon open room door unfortunately , Orbitz already charge account would charge we 100 % cancel . hotel cater we high expectation . stay memorable ... bad way ! 
 Jun 4 2007 	 Exceptional Staff 	 move Sienna Suites April 2007 & amp ; still ! ! ! complex immaculatly keep staff sooooooo helpful especially Bea & amp ; Marcos , nothing much trouble . security ball feel really safe . undesirable allow stay problem ! apartment fully equipt & amp ; spotlessly clean . rate reasonable . 
 Apr 20 2007 	 new problem 	 husband Las Vegas soccer tournament like stay Boulder Highway close field . choose Siena suit new right next field . Plus:1 . really suit separate bedroom . two tv , full kitchen . 2 . clean not look like anyone ever use stove pot pan . 3 . pool hottub nice playing soccer day . 4 . get really cheap AAA rate . Minus:1 . first day never clean bathroom sink leave dirty dish kitchen leave one towel bathroom . would wash dish dish soap.2 . decor stark minimal . pizazz style whatever . 3 . second day get back room 4:00 still not towel clean . , go desk get towel not ! least fold say . , think could get clean cart not either ! luckily bring beach towel use instead . doubt would stay . really like Sunset Station also casino , porbably stay next time . 
 Oct 5 2006 	 unprofessional manager 	 stay Siena Suites since May 06 . 2 car register office . husband work not one car rarely drive . happen notice one day , tow truck enter parking lot . well low behold hook car ( hardly ever drive ) preparing tow away . understand keep abandon car , think go tow someone 's car pay stay hotel , first check registry pay guest . approach manager ( Kimberly ) tell car belong , rude unprofessional state would unhook car unless go pay tow bill ..... could believe hear ! ! ! ! ... way , violation car sit place long time , upon review rule regulation , find NOWHERE state move car around parking lot . although numerous & quot ; work & quot ; trailer park everywhere , take 3 - 4 spot time , tell we , ok know belong .... sound like discrimination ! ! ! opinion need replace manager end lawsuit . 
 Jan 18 2006 	 find another place 	 aware , place present fully equip extend stay hotel . actually BARE essentual , even much would find Motel 6 . coffemaker coffee filter , hairdryer , basic paper supply , towel napkin etc . , dishsoap , dishtowel , sponge etc . must bring everything haul 3rd floor , ( elevator ) . front desk seem polite first try check 4:30 room still not ready , ( room type reserve one available ) ask basic supply treat rudely . additionally immediate neighborhood Siena Suites locate unsavory anywhere would want let kid room . wall paper thin treat 3 hour drunken rampage scream long - term tenant first night . lot decent inexpensive place stay Vegas , find one . 
 Jan 10 2006 	 room service ! 	 horrible ! First Minutes strip ... like 25 minute strip . deceive ! get front clerk nice . prop guy . room ok ... bad price . room service horrible . try get extra towel room . rudely tell we come office get . never horrible room service . would never ever stay . 
 Nov 28 2005 	 overbooke ! 	 family vacation look forward turn fiasco ? overbooke Siena Suites . I ' m look confirmation receipt state , & quot ; reservation guarantee late arrival MasterCard . & quot ; yet , go check Friday noon ( hope could check early drop suitcase prior attend event ) , inform overbooked weekend . two - bedroom suite king - sized bed one room two double bed apparently give someone else . the desk clerk apologize Siena 's mistake offer we two , one - bedroom suite price room . problem four kid , age 3 13 . choose hotel / motel allow wife share king - sized bed one room kid double - up double bed room . one - bedroom suite king - sized bed ( tough fit four kid one bed ) , different floor . ask rollaway bed two , inform not rollaways -- one not available , not offer establishment . well , look information print Siena Suites ' website last week , see specifically states & quot ; Rollaway bed available -- Charge ( dollar ) 10.00 . & quot ; wife ask website not , one worker office say not crib , either , although also offer website . the desk clerk offer we refund not want stay suite , alternative ? thanksgiving weekend town baseball tournament . originally book room different hotel , cancel find two - room suite Siena Suites . continue attempt helpful , desk clerk offer security person keep eye room kid would sleep . kid ? can not take care confirm reservation think go trust watch kid ? instead one room wife one room kid , wife stay one room two kid stay two kid . instead sleep king - sized bed wife first floor , sleep couch room second floor . security -- would nice around someone pound multiple door 4:00 a.m. loudly look & quot ; Buddy . & quot ; unfortunately , thing sound good true often ; case Siena Suites . wonder would happen wait Friday afternoon check ? doubt would anything available would scramble place stay . by way , positive impression desk clerk disappear go check . another desk clerk assist first desk clerk assist another patron request . patron leave , first desk clerk begin complain desk clerk picky patron ; desk clerk still assist . tacky . anyone every work service - relate business know inexcusable . 
 Nov 13 2005 	 not stay either 	 stay Superkart Nationals , room nice , Sunday come back race room even clean . husband go office get towel , front desk even offer clean room . advice not book room . 
 Nov 13 2005 	 service well ... 	 two month stay end year . room good clean , pool good staff pretty good depend talk . first night floor squeeke move top floor . tv snowy prommise fix . week three complaint move another room perfect . complaint tv service FOX NEWS , MSNBC , CNBC , CNN CNN headline news . even talk get channel . raise price 60.00 month give free long distance service , free cell phone . , compaired extended stay Vegas , good money . close really bad money . close strip well one , much high price . 
 Oct 24 2005 	 Loved Siena 	 read one previous review scared . , get ... room well expect . get 2 bedroom , 1 king , 2 double bed abd couch . enjoyable stay . pool great . hotel year old , can not go wrong . def . stay next time . 
 Jun 27 2005 	 wonderful stay ! ! ! family hotel 	 Siena sutie wonderufl hotel , room well keep well property . wonderful take pride hotel ! little problem check , however staff management helpful solving situation . nice profesional people , impressed management . would recomend Siena Suites go Las Vegas NV . 
 Jun 21 2005 	 not stay 	 go Siena Suites new facility imagine would great stay . large family alot luggage item we . elevator provide luggage dolly help make transition easy . also tell we downstairs room available , find later , walk ground several downstair room available . manager rude empathic would inconvenience we . also , room diagram provide internet show tv 's living room bedroom . misleading . tv living room . get home write inform stay change room diagram internet never never respond letter . stay 4 night first 2 day ( night ) tv service available . Everytime question keep tell we would available soon . aggrivate , especially child . telephone room either , everytime complain something ( alot ! ) walk office . suggestion ..... not stay ! ! 
 Jun 3 2005 	 Manager Mayhem 	 Property rapid decline ... cater people familly orient , law abiding , bill pay , upstande citizen ! not bother report management , lazy therefore mad calling ( dare want something ) . manager rude , show poor sense judgement low IQ level . room nice property appearance pool good . poor management low clientel , would stay not feel safe ! safety come first familly associate ! 
 Mar 16 2005 	 Pleasant stay 	 nice place stay recent place stay . room nice clean kitchen fridge range oven . cheap especially weekend price hike vegas . although 15min drive strip worth . 
 Mar 16 2005 	 nice new hotel / suite 	 stay Siena Suite conference Henderson January 2005 . rate $ 50 / night weekend . might special rate give place new . 's mean long - term stay open short - term stay . suite small kitchen separate bedroom . room clean recently build look . wall somewhat thin . water pressure shower adequate . Sofa seem new . tv large cable include HBO . front desk clerk somewhat new young learning system , seem friendly . weather poor one use pool , seem ok . small workout area 2 treadmill , bike free weight . casino immediate area , half mile Boulder Blvd . bar next suite , go . overall , good stay . plush 5 - star suite LV strip , simple basic suite . 
