Good 	 overall good hotel enjoy stay . facility good staff helpful . we annoy 11 dollar charge use phone local call even connect second . outrageous price . not know food like , always eat even breakfast . 's plenty choice around . Wifi expensive payable day , though free internet terminal executive lounge . 
 Oct 20 2009 	 last time will stay hotel 	 ' ve stay property least 10 time past 6 year 's consistently go hill . long offer complimentary continental breakfast HHoners member breakfast room . instead get coupon medium drink pastry starbuck locate property . tell & quot ; make cut stock market crash . & quot ; bunch garbage ! room not yet renovate , despite fact supposedly 2007 . room 26th floor smell like cigarette smoke , furniture look old worn , in - room safe , tv small CRT screen . since hotel fully book AFLAC convention stay hell - hole two day could move nice room 9th floor . only one three elevator work , wait 8 - 10 minute elevator usually pack capacity . the hotel think appropriate play video aflac constant loop elevator . since not work AFLAC not really care aflac make suffer video constantly rate $ 330 per night . they one person work front desk check Saturday evening . not sufficient 500 room ( ' m guess ) hotel . be obviously push guest use kiosk instead . the constant bombardment tour time - share Hilton Club annoying . even leave voice mail . low class ! bright note , housekeeping staff extremely polite friendly . be definitely improvement . 
 Oct 17 2009 	 Class 	 book eastbound Atlantic crossing Cunard two - night stay New York start holiday , Cunard book we Hilton 6th Avenue . frankly , look forward stay comment review traffic noise room , long queue check - in , long wait lift harrassment time - share shark . we arrive hotel 12.30 check straight - queue . grab case minibus , thus deprive bellboy chance fleece we porterage . accord Hilton website , check - in start 16.00 , not know Cunard arrange early check - in passenger . check - in process take hardly time proceed cautiously lift side huge reception area , keep wary eye dread time - share bozo . sign - indeed , not see single one entire stay . hopefully management get rid awful people . four set lift , one different group floor . 10th floor , set lift service far floor 15 hardly wait - may different story high floor never see queue set , car good size . we consider room good size , be probably small american standard . bed extremely comfortable , sofa . large LCD - screen tv dresser limited selection channel not easy access , trawl extensive menu pay - per - view channel first ( & quot ; adult & quot ; channel feature prominently ? ) . bathroom good size large walk - in shower . wife light sleeper say could hardly hear traffic , even though overlook 6th Avenue . the mini - bar seal break - off plastic tag - make sure soon check avoid surcharge . coffee - maker provide proper- decaf- coffee . having read meal hotel restaurant expensive , not even look , go across road ( right opposite ) starbuck breakfast first morning . think Starbucks offer free wifi , unless something wrong , could not pick free signal - available signal require logon i d ( eventually go Central Library - worth visit right - use free connection terminal ) . second morning , go Europa breakfast . fairly cheap cheerful eatery , two block UBS building . go past ubs front door , turn right 's corner plaza within UBS building . when come check , Cunard previously arrange bag collect room , not worry store bag $ 3.50 shot - case , not vacate room 12.00 . actual check - out process involve wait queue , maybe , 5 minute . big deal . I would definitely come back . 
 Oct 16 2009 	 disappointed plus location 	 business traveler new NYC , know come travel city , expectation meet hotel city , Hilton . I think hotel try handle capable ( far convention go ) . even elevator group floor , 10 minute wait norm . set three elevator stop 26th floor , one out - of - service entire time property . unacceptable large hotel host multiple conference time . door would routinely open way room . find climb stair 34th floor use set elevator multiple time . the Hilton Club representative station main lobby make feel like time - share property time - share hotel stay ; constantly badgering & quot ; stop free gift . & quot ; business trip , ' m interested special . the room date . expect major NYC property flat screen television ergonomic work - station ; not . on plus side , location hard beat . Minutes Times Square , Central Park , MoMA , etc .. expect hotel like . 
 Oct 11 2009 	 great value educate traveler 	 choose hotel base proximity moma . 18th floor room spacious , clean , incredibly quiet , location could beat . armed prior information , able avoid surcharge : appreciate option decline bellhop , eat local restaurant , walk city rather use fitness center , use handy lobby kiosk print airplane boarding pass rather pay internet access , etc . service unobtrusive consistently helpful , check - in concierge service check - out hail taxi back airport , would definitely stay . 
 oct 8 2009 	 great location big room noise room 	 great stay hotel . ' m neat freak will not pay kind money dirty room ; problem . surprisingly big new york standard , bathroom bite small counter space though . could walk everywhere , easily get subway station . great concierge staff , courteous front desk staff . problem noise hotel really busy stay St. Patty 's day ( not hear drunken party middle night ) . get great rate book Priceline , would definitely stay future trip NYC . 
 oct 8 2009 	 week fun NYC end glimpse President 	 stay Hilton New York extended family one week July 2009 . trip awesome ! hotel locate near & quot ; hot spot , & quot ; service cleanliness second none . suite stay two full bedroom , three bathroom , large living / dining room great view city . highly recommend hotel anyone travel large group can not wait visit NYC . 
 Oct 7 2009 	 everything Seemed Fine 	 not really choice staying -- group pay room book New York Hilton . admittedly , read review prior arrival , bit apprehensive . two night stay , say really could not find problem seem bedevil traveler . elevator available speedy , separate rank floor group not get stuck & quot ; milk run & quot ; common many hotel . can not comment Executive Lounge not try , even though check person helpfully provide access without even ask , give Diamond status . breakfast main restaurant adequate crowd . would not pay price ask include conference package . check go well . desk clerk apologize room reserve available give several option equal well room . unfortunate , however , upon check clerk tell pick package concierge desk -- not bother tell concierge desk close morning . stand look rather forlorn finally another guest mercy clue . room seem date clean . everything work ( well , except change thermostat not seem make appreciable difference . ) sure , room small ( couch set angle fit room ) Midtown Manhattan . single traveler possibly even two , really quite comfortable , work desk couch . I think staff friendly . maybe try friendly first certainly make feel welcome . , way , certainly not trouble get cab . personally never see few 20 queue give time . even 5:30 morning , bellman spot lobby run get set . finally , everyone write review hotel seem take location . undoubtedly probably large selling point property . also find service amenity fine comfortable certainly would come back ( although probably would use point pay room pay rack rate ! ) 
 Sep 30 2009 	 ` ` Blah '' ` ` wtf '' sum 	 like everyone say - great location - great view park . really - large city - find other great location . the elevator situation terrible . could not catch elevator morning . 20 minute - ride ride back . one three elevator servicing floor not work four night - hardly use . bathroom tiny . pay internet access - annoy end . decor nothing write home . bed , however , wonderful . I mix feeling staff - guy front desk ok another two RUDE.I would stay elsewhere . w hotel nicer least . 
 Sep 30 2009 	 impressed . 	 stay one night business . female traveler , feel safe hotel . lobby busy understandably heart city , hotel recognize , visible security . elevator 30th floor extremely slow . service exceptional - button phone even get front desk ! room decent size bathroom small , design female . try put makeup hunch toilet sink . location certainly ideal , New York City , many hotel option ideal location . I hotel New York City much intimate , less crowded , well service , feel safe - may cost bit , invaluable convenience , worth extra . personal travel , search option . 
 Sep 29 2009 	 Superb location far four star hotel never Hilton ! 	 location hotel great ; two block MoMa , five block Central Park Carnegie Hall , mention . hotel enormous unpersonal . room okay , bathroom really bad condition need & quot ; face lift & quot ; . actually whole floor ( room , interior , elevator etc ) would need renovate ( stay 36th floor ) . room clean bathroom small . hotel three star hotel , four star , think terrible service reserve two room ( two family ) . Hilton debit VISA card & quot ; show charge & quot ; one room ( family check course ) . contact ask credit VISA contact , two day , not hear anything not return incorrect show charge . well hotel NYC , not let price blind ! 
 Sep 29 2009 	 one bad ever 	 1600 dollar 4 night real dump hotel . room have'nt see facelift since early 80 ` bathroom hostelstandard . be . the good thing hotel location . 100 meter central park , Carnegie Hall etc ... it´ never worth 400 dollar per night . especially charming personnel hotel decide debit credit card extra 377 dollar something call show . funny thing reserve room 4 night pay full price it . so take word : choose another HOTEL ! ! ! ! regret money spend sorry excuse hotel ! 
 Sep 27 2009 	 perfect location 	 Location location location ! hotel great , seem popular . present ' eighty ' vibe . thankfully , room seem recently renovate would advise hit top floor . I would come back since nothing upset stay & amp ; location superb . 
 Sep 27 2009 	 would stay 	 Hilton New York huge hotel great location . really big room ( NYC standard ) sofa real size desk good view . 's block theater district , two block Rockefeller Plaza two block moma . , short walk Central Park , Times Square wonderful store 5th Ave . big complaint security . even night guard check room card , preoccupy one guest could easily walk right past . small complaint one elevator not work wait long ( sometimes 5 minute ) . also , coffee maker not clean take apart leave like house - keeping even , sugar packet open get room never toss replace . lastly , although hotel 's fault , impossible get cab hotel . need one , walk one block east west depend direction be head . 
 Sep 27 2009 	 Average Quality - Great Location - Subpar Service 	 upon check ( Hilton Honors guest ) , tell reservation 2 double bed room & quot ; sell & quot ; . seinfeld moment - & quot ; know take reservation , hold .... be hold onto 's really important & quot ; . oh , well - get room queen size bed ( fine husband ) pull sofa bed 2 teenage daughter . pull REALLY , REALLY bad . upon opening , bed whatsoever ( sheet ) , really mattress . thin poor quality sort foam pad acting quasi mattress metal frame . head pull & quot ; sleeper & quot ; ( barely call ) , actually sink back couch - one 's head low foot - slope . make really unable sleep upon . daughter 's end sleep floor sheet request housekeeping . this not bad one night , stay . come NJ dinner & amp ; see city night . stay long , would move - adequate room 4 people . include bathroom - 2 bathtowel ; even husband - 2 bath towel ? 's sort stingy . the whole place seem disorganized . drop car garage , think strange garage attendant not give we ticket - take name . well , go get car - yes problem . guy give we ticket . , ordeal get car - wait line twice , fill form , wait find .... needless bother have give we ticket first place . I ' ve stay many time NYC - disappointing room service ' ve . ' ve stay similarly price property ( Hyatts , Marriotts various location city ) without confusion subpar service . side - location great . midtown , walk distance central park , Rockefeller plaza , 5th avenue . think park elsewhere receive room reserve , would much well experience . 
 Sep 21 2009 	 friendly staff nice stay 	 husband stay hotel weekend September . say right look HIlton Grand Vacations property pay room give special treatement result . read review , apprehensive expect bad . people check housekeeping staff concierge desk , everyone friendly pleasant , get extra towel , coffee , etc . room clean mostly quiet ( hotel 's fault neighbor yell one night 3 security come right away stop ) . bed comfortable . room service , pricey , fast hot order . would definietly stay would recommend other . 
 Sep 6 2009 	 bad 	 stay 4 day , 3 night - read review anticipate following:1 . elevator would take 30 minutes2 . service would terrible3 . time share guy would constantly harass we . none thing happen . room touch small ? yes , new york do not come new york expect otherwise . elevator take minute ? yes - never wait 2 - 3 minute place pack . service bit slow side ? yes - take 20 minute bring we extra towel always 3 - 4 people line check - in , baggage check conceirege . overall would come back keep thing mind . long business go mid - town place fine . read negative review grain salt . 
 Sep 5 2009 	 less average hilton experience 	 overall disappointing hilton stay . disappointment start right check - in explain actual hilton rule gold member , look availability room executive floor . , even go downhill ... room : update year ago . bathroom - shower not work properly . decor look outdated , would call cheesy.the executive lounge much small floor suppose cover : totally overcrowded breakfast , queue get even though many hotel guest take breakfast room . go first morning lounge place free wifi access offer . recommendation : take money elsewhere . compare , hilton garden inn 35th much well value ! 
 Sep 2 2009 	 convenient fulfil expectation 	 Hilton New York modern huge , nearly 2000 room ' tailor much necessity single guest . never less , run efficiently . find really nothing complaint five - night stay family . check - in check - out fast every request fulfil within reasonable time . room 35th floor enjoy excellent view . room spacious , bed comfortable cleanliness unquestionable . location simply fantastic : stone ' throw moma , Radio City Music Hall Rockfeller Center , close Fifth Avenue main shopping area Central Park . plenty eat option available nearby , inexpensive delis elegant restaurant . good good . overall , positive experience good value money . 
 Sep 2 2009 	 ok leave lot desire . 	 get Hilton NYC 4 - day package ( Thursday 8/27 thru Monday 8/31 ) include room , continental breakfast show ticket . net price room breakfast around $ 250.00 / night . good price NYC hotel . room average size clean scale Holiday Inn Express . even 19th floor awaken street noise 4:30 am.the continental breakfast buffet excellent . could & quot ; upgrage & quot ; full buffet additional $ 7.00 per person . location great ... near Central Park , Times Square , Rockefeller Centyer , subway . walk distance many sight sound . now bad stuff ... expect , every turn additional charge ; freebie . everyone hand . staff & quot ; New York rude & quot ; . polite , short curt . attitude & quot ; not bother , be customer ! & quot ; internet room . internet access business center $ 10.00 10 minute ( outrageous ! ) . Wendy 's street wi - fi , check cost . free kiosk lobby limit check flight free internet access . checkout 12 noon . flight 5:30pm check 9:00am sightseeing . want drag luggage around , check $ 3.50 charge per bag ( another rip - off ) . unless be willing pay $ 26.00 hamburger , not even think room service . course , still outdated , hightly over - price mini - bar room . there fitness center , check cost , ' m sure not free . if accept & quot ; 's New York & quot ; excuse gouge customer , Hilton ok place stay , however get package rate certainly would pay $ 350 + per night . knowing expect , would stay Hilton , normal room rate . 
 Sep 2 2009 	 would recommend 	 first hotel great location , close enough walk Time Square , Broadway , Central Park . good delis round corner quite pricey . Taxis available 24 7 outside front door . street market outside Saturday . hotel large . Read review , never get stop Hilton honour staff try sell time share , lift always free . we stay executive floor room 4403 ; room usual Hilton standard nothing special . would recommend room 3 door executive lounge , think would good ; however wake every morning people queue side room wait get seat breakfast . executive lounge : well big ' really say good , stay Hiltons world bad . Breakfast consist usual tea , coffee cereal etc . get boil egg , bagel , toast ( 2 , 4 slice toaster cook bread properly , like warm bread ) muffin , strawberry grape . free internet access , one computer ( usual ) restrict 15 minute okay , get chance use , always seem kid play game facebook , get frustrating wanted check online . expect open bar , think soft drink available , rest drink price $ 10 bottle beer . staff friendly . celebrate wedding anniversary , arrange dozen red rose deliver room . diamond member , welcome pack , chocolate evening ( little touch count ) would stay recommend , answer . would rather stay Hiltons Barcelona Berlin would highly recommend 
 Aug 27 2009 	 nice location 	 hotel 10 - minute walk Times Square . be also block away moma . feature nice bedroom bathroom , confortable sheet great view . 
 Aug 26 2009 	 big impersonal 	 everywhere busy hotel . taxi area outside , huge reception area , elevator different lift different floor long , long corridor . although book early year , first , two room give we two different floor far apart , even though hotel many room . eventually get two room floor still long way . room typical Hilton room , quite large sofa comfortable bed . bathroom decent size coffee / tea facility . internet price . really think would free place like New York . would probably choose hotel ever return New York . do not think worth money pay . the good thing location near Central Park ' m sure could find well elsewhere . 
 Aug 25 2009 	 rude staff ever 	 Hilton New York locate Ave Americas/6th Ave . could good hotel part staff . rudest ' ve ever find hotel . room sleeper / bathrobe / pen / paper . hotel absolutely overprice . Honors member not claim benefit staff would disappoint . 
 Aug 25 2009 	 Pleasant Priceline Surprise ! 	 try Priceline first time brief stay NYC sure expect Hilton New York accept bid . know Hilton good reputation , sometimes room NYC quite small good would expect . quite nice treat ! check quick accomodate put we high floor . much view , regardless , still nice high floor . room spacious clean . bed comfy sheet nice . parking garage hotel convenient attendant courteous . quite expensive though . would nice get well rate hotel guest . one negative pay internet access . free WIFI would big improvemnet . say , ever use Priceline , hope get Hilton ! 
 Aug 25 2009 	 Excellent hotel fantastic location . 	 wife stay Hilton 3 night early August part holiday America ' east coast . the hotel nice , comfortable clean great location . as Hilton Honours member stay Honours point upgrade one furbish king room . room superb spacious ( New York hotel ) two seater sofa , flat screen tv mini bar . the thing could criticise regard room size bathroom ( shower ) . new modern though small ( probably enable bedroom larger suit we , however think may disappoint ) .The check , concierge service hotel travel centre fast efficient . certain time however appear enough staff check in / check desk queue time check . minor point fantastic three night stay . great hotel business pleasure . if fancy pleasant eating experience maybe drink try oldest survive tavern New York . Bridge Café locate simple wood - frame building erect 1794 Water Street near Brooklyn Bridge , Lower Manhattan . close hotel well worth visit Lower Manhattan . try Buffalo burger steak , awesome . a couple recommend restaurant - tribeca Grill . 20 minute cab ride hotel Tribeca area Manhattan . modern restaurant co - own Robert De Niro . cheap excellent food great atmosphere , worth visit . Dos Caminos , mexican restaurant Midtown . probably good fresh guacamole ever taste . excellent modern bar restaurant great atmosphere fantastic mexican food , well worth visit . I could go forever , enjoy NYC . 
 Aug 24 2009 	 wonderful Fun Experience 	 Husband return yesterday wonderful long weekend Hilton New York . actually take bus right Port Authority hotel within walking distance we instead take taxi walk hotel 10 block . interested see restaurant shop close along way small rolling suitcase problem wheel behind we . see many people . room nice , clean view gorgeous . enjoyed look large window tall building around we . room face towards Wachovia tower . bathroom modern nice glass door shower plenty hot water also La Source Spa Evelyn Crabtree product plus standard Hilton location . my husband big fan city please say even great time . location block 5th Avenue block Times Square 2 block Central Park . take wonderful carriage ride Central Park charge 37.00 short version 20 minute 57.00 hour per couple . really worth driver fantastic ! give tip city ask . prepare general go cash NYC , expensive go mind prepare . drive expensive park . take train bus . empire State Building 20.00 person go observatory . pint beer run 7.00 beware go Lindey 's breakfast . thing say rip . pay 45.00 normal egg , hash brown toast breakfast two coffee 8.50 , ridiculous ! ! ! ! worth shock look menue , go street find nice place breakfast 3.50 thing opt bagel one many wonderful bakery , much cheap , make mistake hope save many other error . as far dinner always opt pub irish fare , eat Old Castle Pub good Rosie O'Gradys good one area . spend hundreds dollar NYC dinner depend like . Fish Chips really good pub NYC like cost 16.00.we great time Husband want go back Spring A - ok stay Hilton hotel say ! good choice wonderful time hop hop bus tour great way see city , live close plenty weekend go lifetime trip bus include admission site ! ! People NYC nice polite wonderful , fantastic time ! ! ! ! 
 Aug 18 2009 	 get great Rate . 	 many visitor compare lobby New York Hilton Grand Central Station . ' insult Grand Central , look pretty good day . place , hand , noisy hectic , people jostle direction , insufficient seating , long line front desk . ' another line speak one three concierge , pleasant helpful , other could little less New York attitude . ' enough , two desk look like information booth , inhabit salespeople shill Hilton property . tout " free offer " every time walk , barely stop short use hook ensnare . exactly gracious experience . the hotel enormous , wait elevator time exasperate . twelfth floor room fortunately renovate one , certainly comfortable two people . sleek , build - in furniture allow space king - sized bed , sofa , flat - screen tv . small bathroom also update , nice - sized walk - in shower . housekeep excellent job – room always feel clean . hotel ' number one asset location – walk distance lot sight ( Central Park , Lincoln Center , Times Square , Rockefeller Center ) . easy subway line nearby . ' eat hotel ' Marketplace Restaurant . expensive crowded breakfast . lot place eat immediate area . New York Hilton fine dash lobby book decent price . 
 Aug 16 2009 	 stay Away - HORRIBLE 	 stay one night hilton experience nightmare . request romance package include complimentary champagne sleeper sofa . get queen size bed champagne waiting room us courdaroy couch . call customer service say call champagne buy room . television stick one channel , remote maintenance man room three time finally get remote would work television . 's hour we inside room chaos . the bedsheet stain , inside duvet , red brown stain comforter . disgusting . pull sheet bed , bathroom tile stain cheap looking . washcloth towel cheezy cheap looking . consider hotel room cost $ 300 night . happen ! overall , stay hilton good experience would likely recommend hotel anyone want enjoy new york . 
 Aug 14 2009 	 go hotel NYC 	 second time stay Hilton New York two month period . book king room absolutely love . room clean & amp ; good size , bed super comfortable , A / C work wonderfully , maid service great . bathroom bite small , one person time , nice . love location within walk distance Central Park , Rockafeller center , Radio City Music Hall , Letterman Show extra block Times Square . moma right across street certain day get free , check concierge day . there great place eat around . block two 7th-9th street ton restaurant . one favorite 53rd/9th call Eatery . also , two block hotel Magnolia bakery make famous Sex CIty movie . yummy cupcake item feast . pharmacy across street deli side sell snack drink . there also several subway entrance within block two hotel . I ' ve stay twice plan staying time . oh , book Hilton website , get good deal pay advance . 
 Aug 14 2009 	 great location poor poor hotel 	 room executive floor ... small , old noisy tv , dismal bathroom . elevator old crowd . breakfast executive lounge terrible , queue get table , ? coffee , industrial bread egg ... bleah 
 Aug 13 2009 	 Superb location mediocre service expensive extra 	 Excellent location Broadway Times Square . minute place like Rockefeller Center , Times Square Ed Sullivan Theatre . room ok size New York . bathroom small sleeping area ok . climate control quiet efficient . shower excellent , great pressure water temperature . room 40th floor quiet . do pay extra dollar & quot ; Executive Rooms & quot ; unless high important . also note traffic brutal around hotel , drive / parking go straight garage avoid normal check - in area . spend 20 minute try get main entrance ( park different spot 53rd ) .Even executive upgrade , hit minimum $ 14.95 day internet access . day , 24 hour . even try charge high bandwidth . parking $ 48 day take get car . we issue get access free breakfast executive upgrade . bring , person friendly ( miss breakfast ) . recode card open breakfast area , room . other hotel also edge they . I still recommend hotel , weary extras mediocre customer service problem . 
 Aug 13 2009 	 decent spot stay 	 love stay Hyatt Grand Central , rate high ( around $ 370 ) , even call property directly see could get discount , must full ..... Hilton $ 279.please see blog http : //talesfromtheroad - mwalno.blogspot.comI check early ( around 2 pm ) request high floor . room 4129 nicer remember Hilton room . king size bed , decent shower desk . good air conditioner . easy check - in process , friendly service . move Diamond Desk regular check area , & quot ; old & quot ; Diamond desk call & quot ; Executive Level Check & quot ; -- not know mean 1 floor Ex level room , line go regular check . Hilton try get book web site pay fee ( $ 70 think ) upgrade Exec level -- thing drive away -- rather take great care elite member sell pay . one thing remember get room 34th floor high not switch elevator get 44th ( club level ) .I go club level first search water bottle , none . remodel club , nice open free wifi . good chocolate chip cookie . I head gym 5th floor . remodel last year LOVE . free weight bench , large work area , ton treadmill elliptical , large stretching area . excellent perk . bed great , room cool ( temparature ) , quiet . I ask grant 12:30 check time . I go club room breakfast beacause take long elevator come ( 3 elevator floor 34 - 44 ) . downside property . really great stay , enjoy , love location . total - $ 259 rate = $ 319.70 toatl ( include rip - off $ 19 internet access ) 
 Aug 10 2009 	 great hotel great location great trip ! ! ! 	 love hotel location . room nice . read several negative review , concern would find arrive , everything perfect ! could not ask well location ... one block action , not listen traffic noises night , take minute walk great fun ! make sure search internet coupon code use hotel . deal great ! shrek musical wonderful ! laugh much 16 year old daughter . also recommend sightseeing tour ( red bus ) . take uptown , downtown evening tour ( 48 hour deal ) . since hop , use taxi service . think travel NY , also recommend use Amtrak . take train DC Penn Station problem go either way . 
 Aug 10 2009 	 good HOTEL GREAT LOCATION ! 	 second visit NYC . stay Crowne Plaza Times Square first trip receive great deal via Hilton ( two executive room ) time dissappointe . check quick , kid place different floor change ( smile ) within second ! room clean , spacious bell whistle ! executive lounge smartly furnish well stocked breakfast time . the room service little pricey food service great ! hotel five minute walk Central Park Times Square , great location ! get good rate , place perfect ! 
 Aug 9 2009 	 's Hilton ... say ? 	 hotel locate midtown Manhattan . within walk distance Central Park , Time 's Square , Rockefeller Center , Radio City , NBC Studios several attraction Metro station . inside , greet friendly staff inside beautiful hotel . room spacious compare hotel stay past . room public area go clean well maintain . first time visitor New York , hotel staff knowledgeable could make suggestion recommendation fly . price , Hilton . pay name much anything else . get room money spend , nothing else . spend far less hotel receive much extra . overall , hotel must want heart action NYC . bring wallet , will need ! 
 Aug 8 2009 	 great location poor hotel 	 room A / c work well 3 day supposedly try give getting fix . also leave message phone 3:30 a.m. advertising & quot ; event & quot ; bar evening . nice awakened flash message light phone 3:30 a.m. course , see important travel away family . needless say take get back sleep discover spam call . get another afternoon tell take & quot ; list . & quot ; . get two message bar bar manager want discuss inconvenience . finally unplugged phone ! $ 400 night phone SPAM . low class hotel . many place stay NYC . would avoid one ! 
 Aug 5 2009 	 Great Place stay visit Manhattan 	 stay 2007 secondary mortgage conf family nice . pay around 350 per night worth . nice clean Hotel - staff nice blast . business trip take family along great time . stay go back end year . 
 Aug 5 2009 	 one real Hilton 	 really great place stay NYC . enjoy every one minute .. do not like pay exstra 20 $ delay 30 minute parking . already earn 48 $ 24 hour must enough 1 customer . carefull intend go car . 
 Aug 4 2009 	 two three star hotel try pass 5 star well 	 book honor club room 37th floor RCI interchange find serious letdown . room size main thing go . rest serious let . start room disrepair carpet come around edge , water stain many surface poor upkeep , shower large globs caulk repeat cheap fix water leak , power repeatedly go one week stay forget enjoy movie end day . then price , want charge arm leg anything everything . went 3 page print business center tell $ 2.75 page . print round corner $ 0.97 page . laundry service want $ 109.00 wash press batch clothe , laundry café two block away pick clothe , wash press deliver back measly $ 10.50 . food anywhere double triple local shop cost fine print add another $ 4.50 charge per item wish eat room . include take find busy Sunday night convention go place insanely pack want peace quiet . and cleaning staff seem look reason clean room , big deal ' use time share style clean , except like many hotel trash can small . find pile trash floor spend large amount time room due constant rain . ' room day , even try leave go something else would clean room ( IE empty trash ) second time clean people come around ' clean room moment . so feel like charge fee like royal establishment simply tolerable condition . certain go room entire time except sleep book away . ' chance bad weather thing make spend time accommodation like get pay . look elsewhere far well accommodation neighborhood . 
 Aug 2 2009 	 Good Location Good Base Weekend Trip 	 stay weekend 9 year old take Broadway show walk around city . Hilton New York perfect purpose . Radio City Music Hall two block away , Central Park 5 block ( 2 playground child 's area ! ) Broadway / Times Square 3 - 5 block away . hotel clean , room good size New York City ( ' ve stay small money ) get good weekend rate $ 199.99 . New York Marketplace restaurant Lobby offer $ 30.00 / person eat breakfast buffet . good value NYC spend $ 25.00 hamburger . breakfast buffet great variety fresh tatsy food ; fruit omelet , particular , good . service pleasant timely . downside : check ; zip check machine line regular Hilton Honors c heck take 30 minute . front desk staff pleasant though face tired frustrated guest . bed : comfortable TINY . room double bed small full , like twin 1/2 . overall great place base stay New York City 
