bad 	 friend check W Hotel Court high hope will similar W Hotels . let beginning till checkout . first , hotel elevator constantly break , even ridiculous thing hotel blame US stall elevator . not even ask okay , instead try cast blame we break elevator . even ridiculous thing not even shut . two elevator , avoid break one , since interest plummet death . not know name staff work Court , recognize none friendly situation we . secondly , room key never work , get new room key everyday , say magnetic strip & quot ; de - magnetize & quot ; easily . not even bother try day 1 , go front desk every time come back hotel . thirdly , hotel housekeeping non - responsive request cleaning room , live cheap either . three day , bathroom pile towel floor dirty . time get good service order room service . overall , good trip . 
 good hotel right price ... 	 reasonably impressed W Court . the room clean nicely decorate although starting look little bit tired around edge . get corner room probably help impression hotel . like lot hotel & quot ; somewhere 4 5 star & quot ; category one much pay . get cheap rate , pay $ 200 night feel good value money . be pay lot might start feel like 's rip off . the staff friendly efficient . example , one guy bag taxi ready go whilst check walk straight cab leave finish . 
 sadly go downhill . strongly recommend stay elsewhere . 	 background : stay twice W - Court 2007 2008 , respectively . strength experience previous stay , book two night stay Thanksgiving holiday year . sorry stay W - Court particular trip could disappoint subpar service , amenity room . first , hotel 's elevator fix throughout duration stay . two elevator adjacent fit 5 - 6 people max . imagine , one , nearly impossible get hotel without 10 - 15 minute wait elevator . 11th floor , not really option we hike . instead , wait wait . situation get frustrating desperate guest would pile elevator ( imagine 10 people elevator design 6 ) , would cause elevator get & quot ; stuck & quot ; floor . , imagine wait 10 minute elevator go room , getting say room find key hotel room long work hotel inadvertantly & quot ; locked & quot ; room . exactly happen we . twice . second , internal phone W - Court work . call front desk , say , ask wake call room service , ring busy ring ring . finally try call external line get . tell front desk attendant internal line not work , acknowedge problem say & quot ; switch phone company cause inconvenience . & quot ; Note stay hotel November 26 - 27 another reviewer site note problem November 16th ! 's 10 day non - functional phone ! okay , get front desk use external phone order room service Saturday morning . hour half later , still food . go downstairs ask whereabouts room service tell food & quot ; accidentally deliver W - Tuscany ( note W- court w- Tuscany immediately next door eachother ) & quot ; . although front desk offer send another room service order , decline , give whole room service business . lastly , bathtub drain need serious repair . water pressure shower quite good , even get shower , tub back water . time do showering , stand 3 - 3.5 inch stagnant water . ask front desk fix discover problem Thursday night , one ever come . stay room 1104 management incline reading review fix problem . upon checkout , speak Aline Urkumyan ( manager time ) problem characterized & quot ; small issue . & quot ; suppose right , outlined & quot ; small . & quot ; however , look event aggregate , make aggravate unpleasant stay . would never , ever stay suggest read thinking stay , please avoid unless make vast improvement . otherwise , great disappointment . 
 Sep 28 2009 	 W New York Court Tuscany go way make happy ! 	 can not say enough management hotel , make feel like value guest . 
 Sep 25 2009 	 Staying W Court lead meeting pretty awsome people think even consider first . 	 experience great service helpfull staff . the room ( bed ! ) awsome , least night use ; ) right need , ( armory park Ave ) luxury , night be good go night town well . great suggestion go bar 's staff . forget ask head out . no doubt book next year , will bring friend time . my first visit New York awsome , W facilitate every way . keep good work . Jan Verhelst 
 Sep 24 2009 	 great staff Friendly Service 	 stay W Hotels NYC far good staff . Barbara concierge incredible friendly go way helpful . bell man check check great help we get baby stuff come car . W Hotels , tend attitude , staff court genuine helpful . even provide we fridge free could store daughter food milk . we suite , Lexington side little noisy , guess expect city . room nice comfortible . 
 Sep 11 2009 	 WOW W New York - Court ROCKS ! 	 staff W New York - Court incredible ! front desk , door car guy conierge , Barbara incredible ! check .... stay every year US OPEN . check year , staff know name , help set dinner last year , etc . stun . leave blackberry limo US OPEN Flushing Meadows contact Barbara , concierge . quickly contact limo company , find driver , 3 way confernece call , call blackberry cell # , driver hear ringing find . deliver back W bring US OPEN . talk teamwork ! 1 . retrive Blackberry leave limo : lot teamwork2 . one dozen rose deli across street W : $ 10.003 . smile face & quot ; almost cry & quot ; Barbara , W Concierge : PricelessCheck pic below . thank W great stay always ! Michael RamoskaWilson Sporting Goods 
 Aug 4 2009 	 horrible Hotel Bugs ROOM bill 	 stay business trip . two colleague also stay . one colleague also over - bill . part horrible experience . room fine , nothing fancy , comfortable except air conditioner really loud not seem respond attempt low room temperature . real problem bug issue . I wake welt body around 2:45am - bug bite sleep . inform hotel staff disgust find bug room clean . subsequent health department inspection reveal bug bed bug ( fortunately ) . fact , health inspector find bug room - perhaps spend hour chase little black bug kill hotel room thoroughly clean prior inspection . hotel staff friendly , little give reason ever stay W Court Hotel , W Hotel , . 
 Jul 29 2009 	 W New York Court- worth money bad customer service . 	 appear though W buy hotel work kink . lack communication understand hotel policy . hotel management staff page . addition ' think room W standard , misrepresent . 4 star hotel . good thing hotel good location . bad thing bad customer service , management , consider high price . also park regular parking garage , cheap 24 hour hotel , $ 20.the service hotel great . check fine , get room bed small book . call see could get queen bed book manager assure room queen bed double . argue , apology . room ok , bathroom counter dirty . shower work well , except wet toilet paper roll right next . extra toilet paper room . carpeting hallway loose bubble crease ; ' easy someone trip over . the concierge could recommend local restaurant without look Zagats . hotel location pretty good , far midtown much quieter , many thing within block . attend three day seminar carry food due food allergy . staff tell keep food refrigerate guest , first day unaware . addition group order food deliver . front desk say fine actually order food we . upon delivery manager tell we take outside , could eat food hotel front desk staff order we ! front desk staff attentive . stand young man desk ignore place lunch order . several people group tell take stair " illegal " however signage door guest use stairway . staff tell we could use stair . confusing . actually staff look confused tell tell use stair . overall , people hotel work together well provide good experience . big fan W hotel bad experience . 
 Jul 24 2009 	 great View Ambiance Small room 	 would say hotel somewhat over - rate . cost stay range 300 - 800 dollar per night would not say service extraordinary . room , however great view city plus , however price room pretty small not well keep . experience peel paint rusty tub say least . spend time room , think would put damper trip overall . 
 Jul 12 2009 	 Stain W Hotel Brand - Terrible Service 	 typically , adore W Morgans Hotel Group . staple tastefulness , quality service . however , stay W -the Court weekend spouse . bottom line specific W Hotel stain W Brand . location W Court nice . locate residential area Murray Hill , young , trendy area . check bit slow , big deal . people desk complain key work though . look highly annoyed . room ok . decent size . Modern Decor . much like ws . however , service shockingly deplorable . 82 degree AC work . would work hour go . engineer come hour check advise us issue breaker . move we point . regardless , night , husband wake swelter heat 4 time manually reset breaker . also awaken LOUD noise AC make breaker blow . call front desk next morning ask someone blow dry hair . seriously , able blow dry hair AC run hotel . , advise sleep AC thing run . send engineer re - set breaker tell we touch AC . huh ? go 45 minute later . tell we need pull unit . since check hour , decide deal get heck . obviously , call advise conceirge situation . per request , let we sleep bit check hour later say , & quot ; will see else you . & quot ; end give we reward point , find interesting since reward member . Uggghhh ! lay back understand AC issue . thing happen . , W Morgans Hotel Group hotel would bent backwards make thing well terrible experience . 
 Jul 2 2009 	 Decent Stay Court 	 recent trip NYC decide give W Court try ( usually stay W Times Square ) . overall hotel location pretty good like quieter neighborhood also need close Grand Central Station . would however probably choose another area primary reason go NYC shop . check - in slow attendant friendly give Cool Corner room top floor ( 16th ) . room spacious NYC standard quite nice . bathroom however small akward sink location . basis review room would give hotel high mark service IMHO needs address . mention , check - in slow , elevator huge pain .... ( one not work entire time .... 2 ) bellman joke . busy chat girl everytime go could bother actually hail cab someone stay hotel . ! basically nice hotel good location service issue could solve quickly management . 
 Jun 30 2009 	 great service location 	 stay W - Court number occassion , always find staff friendly , helpful , accommodate . room comfortable , suit wonderful . send Sofia , General Manager , note prior stay request specific room , quick write back confirmation request -- also follow personally stay , can not say ' ve experience many place . pleased experience , stay W - Tuscany ( sister property next door ) next night . , warmly greet staff , give lovely room . highly recommend either hotel . 
 Jun 29 2009 	 great atmosphere okay service 	 judge hotel consider appropriate expectation W hotel . expect : great looking room , cool bar , hip atmosphere . like w : - room large average , decor tastful compare W hotel stay ( although bathroom tiny , granite countertop ' ve see W 's . tiny sink room toiletry ) .- neighborhood central , walk distance several subway line , Murray Hill- gym adequate.- Bar cool see people hang throughout evening , level social environment expect W.What like realize expect W , good service . seem one two staff front desk give time , enough offer high level service busy weekend . actually watch staff stand around woman walker try walk front door . guest actually rush help . conclusion W cool place stay weekend , perhaps convenient comfortable regular NYC home . 
 Jun 16 2009 	 Love W ! 	 nice hotel situate quiet neighborhood NYC . 3 block away Grand Central Station easy walk . far tourist attraction well . one hotel provide big room NYC well want room , good choice you . lobby : small adequate . 's wetbar adjacent hotel . trendy look , pack people every night due size lobby , like typical w seem elsewhere . got around 830am due red eye flight . lady check explain room not ready drop bag start explore city . room ready noon - ish . room : Got upgrade Fantastic Suite 3rd Floor . room Huge ( esp NYC standard ) . living room nice B & amp ; stereo system , sofa bed wet bar that s perfectly suitable party ! bedroom spacious . typical W standard ( old standard , dark feel new white / metallic furniture W 's use ) . AC work fine ( thank , motion sensor ) . complain bathroom . small ! not even much space 1 person put ur stuff counter . tell hotel go renovate room , due economy situation , plan postpone . however , room comfortable clean . may slightly outdate W standard would still recommend hotel visit NYC.Staff : friendly ! welcome desk , bellman housekeeping , work hard make experience & quot ; W & quot ; onderful . dining : not try convinent , many option right next hotel grand central station get good food court downstair . Acura experience cool ! save time travel station feel like vip ! 
 Jun 11 2009 	 Great Location large room great character 	 w do super job retain character era building construct create modern peaceful hotel . room feel past era modern flair well . room large New York staff great ! whether mean front desk , concierge , housekeeping , staff helpful ! personally think location unbeatable . close touristy part Times Square Midtown , bit away , somwehat residential area still plenty eat walk around see . it hard location beat whether tourist business person ! 
 May 28 2009 	 Fantastic Hotel ! ! ! 	 partner stay Court Memorial Weekend , 5/23 - 5/25 . moment arrive clear type service would receive . pull Cab staff member already open door grab luggage trunk help we Hotel . go immediately front desk , gentleman work incredibly friendly provided outstanding service . arrive 9:30 morning allow we check many hour early . entire hotel immaculately clean , small boutique feel . hallway invite . get room , could believe size . twice size hotel ever stay NYC . ( btw , Spectacular King Room ) room bathroom immaculate . entryway , side hallway area mini bar closet , huge bedroom . bed world comfortable . usually early door ny , bed comfortable could not get morning ! concierge , bell staff , font desk staff incredibly helpful provide 5 star service . day receive excellent maid service room clean first arrive . supply new toiletry . bliss product amazing ! definitely return hotel . the neighborhood fantastic away noise big touristy area . also Bagel Shop across street Lexington call & quot ; Bagels & quot ; , bake fresh bagel cream cheese everyday . fantastic . end get breakfast three morning . also , noticed review people concern gym Tuscany next door walk winter . tuscany entrance 15 foot away Court entrance . seriously be close ! look amazing service , comfortable clean / plush room , stay . well worth money ! also get amazing rate book directly hotel . 
 May 21 2009 	 horrible service - make sure select non - smoking room non smoker else ... 	 W New York , Court – December 2007i know late writing , take long get past money lose little excursion . Booked Fantastic Suite March 2007 stay Christmas holiday year . adore Manhattan look forward Christmas . although book special room month advance , reason could give we room smoking - optional floor . ' smoke . ' fairly positive make clear starwood account ' setting prefer non - smoking room . however , receptionist insist put ' care . room huge , well - appoint state utter disappointment bad smelled . smell smoke even bad hallway . slight moldy smell bathroom pleasant change ( believe ) putrid cigar smoke smell rest room . plus generous window lovely view someone ' storage patio . nothing like look old , rotten furniture amidst smoky stench $ 600 + night room . go back reception immediately get another room tell we could get we another room . offer bring ionizer course never show . suggest ( snottily ) maybe wait hour night manager , may get we small room elsewhere . seriously ? already pay large room well advance ! Christmas Eve W ' WHENEVER / whatever mantra like slap face . bad part book room special rate – would forfeit 1st night charge leave . mention previously , happen Christmas Eve far fiasco make we late theatre show consequently miss show together . add another $ 250 $ 600 - drain . ' want add insult injury stay horrid room leave anyway . one good thing story hotel stay previously ( Avenue UWS ) wonderful place us night . since incident , ' pretty much give w staying way . ' stay hotel throughout country year notice go quality & amp ; service past stay . unfortunately , ' find W ' might rest laurel . 
 may 20 2009 	 Motel 6 treat well W New York - Court 	 take red - eye NYC LAX , needless say , hotel bright early exhausted . ask day prior early check - in hotel staff give we run - around get . ask keep luggage go breakfast walk around bit wait room become available since clerk assure we room would available couple hour . call hotel see room available hour later , woman phone simply state we unpleasant tone & quot ; check - in 3 pm & quot ; hang we . good sign W all . this ' ve sign would get treat whole weekend . get hotel around noon , ask clerk front desk room available . female clerk annoy , accomodate we , one bit . consider hospitality business - need change job . woman hang we early ! wish people work wear name tag well identify . ask several time request check early could accomodate . one bother give we reason simple request could accomodate . pride & quot ; whatever , whenever & quot ; whatever want whenever want - . ! ! sit lobby 3 pm til & quot ; room & quot ; ready , one bothered explain could not get room early , request seem like not care . mixed room try give we stinky smoking room - unacceptable ! ! wait another 45 min . really exhaust even bother management . time get room , exhaust . call operator get luggage send room . fall asleep hour half later , luggage . go downstairs back lobby ask luggage . luckily , hotel clerk staff change shift long deal rude woman morning . turn , take luggage morning , not give we luggage claim ticket . yet , one call room verify one first place call luggage take . go luggage closet identify luggage . find coat not . go back noisy , squeaky elevator ( noisy whole time ) ask coat . time , person attempt locate coat arrogant seem beyond find coat . 's bell man , that s job ! ! give choice word , find within find coat . room look like need remodel . tub need re - glazing , fixture bathroom leaky water pressure shower . Carpet horrible . light room not work . & quot ; fantastic suite & quot ; , not - so - fantastic - name room . good thing place bed . comfortable - would like pay arm leg comfortable bed get treat poorly , place . , not stay - circumstance ! ! windows gross . look like ' ve never wash . however , view Crysler building beauty . subway not far , block away . one open door , even lugguage try open heavy glass door . oh , call delivery service place street front desk not bother call we advise we food arrive ! ! coincerge decent , depend help . woman short fuse helpful , however man heavy spanish accent awesome ! housekeeping wonderful . one clerk adn one bell man help luggage locate must commend - friendly helpful . bad service morning leave sour taste mouth forgive forget . way staff try make - up horrible service morning first day . try blow lid really type service expect W hotel . ' ve stay plenty different hotel throughtout life experience bad ' ve ever . ' m serious ' m say Motel 6 treat well ! ! staff reflection hotel really morning staff hotel - give W bad name . never stay W hotel - bad ! ! 
 May 18 2009 	 Great Place Stay 	 Studio Suite stay nice . double sofa bed room King Size Bed . son find pillow comfortable . staff friendly helpful . I ask coffee pot one not work , return housekeeping bring another room shortly . room also pretty clean . my son walk Central Park back hotel , long walk , W New York Court centrally locate . 
 May 17 2009 	 simply disaster 	 stay hotel , company deal . not comparison NY hotel , comparison hotel across USA Europe . review base observation 7 week stay Thursday - Monday . hotel simply disaster : * room small ( & quot ; spectacular & quot ; funny name correspond reality ) , dark smell bad * often strange spot sofa * one two elevator constantly break , people even capture elevator 15 minute ( stay ) * ask help luggage usually no - one available * Thursday / Friday evening break beer bottle ( one remain ) elevator , no - one bother clean * mix leisure business traveler - expect meet drunk people shout corridor 2 a.m. * bath sink often chunk * Windows dirty . open , not stay open ( unless put something window e.g . book ) . 
 may 12 2009 	 wonderful service great location big room housekeeping need work 	 stay May 7 - 11 find experience consistent recent Trip Advisor review . front desk / lobby staff amazingly warm friendly go way assistance . everyone seem genuinely nice . studio suite 9th floor , huge . separate bedroom king bed , large living room . bathroom tiny though , complaint hotel inconsistent housekeeping service . several day not get new glass , washcloth toiletry . coffee pot never get wash cream / sugar not replace . bathroom mold hair ( yuck ) - everything look like need good cleaning . try look closely corner .... view speak traffic noise 9th floor ... hey , be NYC expect . location fabulous , easy walk distance Theatre district Grand Central . great neighborhood too . the & quot ; Acura Experience & quot ; car service fantastic perk . make reservation , brand new Acura take destination city . car beautiful - not sale pitch , be great marketing Acura way ride style W guest . overall positive experience , would stay find good rate . 
 May 10 2009 	 Cool 	 Booked hotel online get great deal - $ 200 US / night . atmosphere great - small boutique like , bar also great . room clean cool design , window absolutely filthy - could barely see outside . bathroom tiny mouldy smell . now negative - internet be not work point 2 guy ( intrusive ) room try fix , one severe b.o . issue stank room . book hotel , ask room not face Lexington Av - exit / entrance bar street & amp ; noisy . ear plugs not issue friend could not fall asleep noise . at check , catch one front desk staff spit garbage ( classy ! ) . 
 May 5 2009 	 huge room 2 20 something daughter friend . . 	 cut chase , quick pro con review 3 night stay family / friend group- Pro 's : good online rate $ 150 / night 4 people 2 queen bed . huge room . major factor price range . book one room 2 queen ( room 612 ) 2 night add second room King third night husband join we upstate . queen double adequate 3 preen 20 something young woman myself- count that- 4 women- . walk - in closet , big dresser , large bathroom tub . interestingly , King book DH ( room 611 ? ) small nice ... cost ! Doormen . usually consideration , guy great ! friendly , helpful , , accomodate ( maybe three beautiful young woman party help ? ) . however , main Front Desk woman also helpful friendly ... staff . well service expect here . huge bouquet fresh lillie orchid lobby . free drop - off car service Accura ( reservation ) . Accura partner & quot ; W & quot ; . nice touch save we cab fare upper east side museum . low - key ; sale pitch . cheap good food , wine liquor store , drugstore within 1 - 3 block . location . Pro Con . depend activity center . mid - town east location less convinient subway mid - town west , ok we . for lady , would prefer SOHo Tribeca nightlife , date hotel area much expensive . turn , glad lot & quot ; after - hour & quot ; choice area . may end solo trip ! CON 's : room decor really style . basic reality , try & quot ; upscale & quot ; & quot ; chic & quot ; . fool least try . discover sloppy detail corner room probably would notice stay shorter- enough sloppiness indicate W need attention basic maintenance . make sure get CORRECT & quot ; W & quot ; 3 4 city ! Altho unattractive , lobby / check area much small . as FYI , hotel bar full Thurs . place sit . Friday less full , still lively . Saturday night dead . weeknight bar . I recommend hotel need large room 2 + people . frequently host daughter friend NYC always look type room good hotel reasonable cost . 
 May 3 2009 	 huge suite reasonable rate quite usual W standard 	 get good deal ( Manhattan standard , anyway ) gigantic 2 - room Fantastic Suite , around 700 square foot easily large brother ' Brooklyn apartment . the lobby typical W , small , darkish , hip interior thumping club music 24/7 . bar area nearly desert 5 night stay , not come scene . never wait minute elevator . our room 6 large window overlook corner 39th Lexington Ave . view Chrysler building . room first glance stylish look feel W , 2 largish flat screen tv , frame black & amp ; white photo ledge contemporary furnishing . close examination , many thing feel little past prime -- big ripple thin carpet , dingy dresser , plain - jane window shade white paint wall , cheap , sink - halfway - to - the - floor side chair living room half . window appear upgrade ( wash ) , glass corner suite , traffic noise significant night , every night . sleep fine , aware . the bathroom surprisingly tiny consider size suite felt lift inexpensive motel , include slow - drain tub fill every shower , cheap shower curtain would not close edge non - adjustable shower head dump hundred gallon real benefit . service great come unload airport cab getting check . rest time , so - so . call twice wait 30 minute get sheet sofa bed , unceremoniously hand we make bed . large room service order 3 carry single tiny tray -- , leave we figure put squeeze everyone -- apparently & quot ; raining & quot ; run table cart . not look anyone open door either . would fine stay La Quinta , travel good amount expect much well service high - end hotel . Grand Central subway access 4 block away , though find make lot transfer see sight . Murray Hill area feel & quot ; local & quot ; part town , be look ton shop guidebook attraction will need explore beyond neighborhood . find several decent breakfast place 3rd Ave . , tend go elsewhere eat rest time . there clearly two standard W 's , Court definitely be not W Union Square . get must one large suit NYC $ 100 less regular room place , may find willing put sloppiness . go eye open . 
 Apr 29 2009 	 fantastic bed quite location 	 thing love hotel wonderful bed quite locaiton . hotel litte wear ( furnish , carpet show low pressure ) get great rate line $ 200 Saturday night . great place eat within walking distance . 
 Apr 15 2009 	 look good first glance second one ROUGH ! 	 mom stay long weekend delighted arrival staff . not take long however shine wear . booked & quot ; spectacular & quot ; room special 3 - for-2 nt rate thrill , get email 3 day ahead time inform we weather ... Chicago . book we W wrong city . many many call , promise fix upgrade , send new confirmation email . great except suite - 1 king instead 2 double - ask staff every night make sofa bed . arrive slowly bring sheet , duvet . AC not work either , take hour fix - midnight . look around , notice serious problem carpet buckling - trip us - bathroom floor grout quite dirty . the staff always quite kind . think ridiculously understaffed maintenance underfunded . might forgive except check , charge we full suite rate , & quot ; prepaid & quot ; could not change , accounting people would not Monday . ask follow call back next day prove case instead leg work . beyond poor service mind , definitely will not return . 
 Apr 14 2009 	 Excellent Value Money 	 hotel excellent value money NYC . room wee bit stuffy first crack window take care issue . otherwise room clean well light . service excellent . location great neighborhood many amenity nearby like small grocery store pharmacy . upper floor relatively quiet . would definitely stay . even throw complimentary breakfast two unexpectedly . able get pre - pay rate $ 175 stay Spring . bed superb extremely comfortable . room view small however , large generously sized room less view get less lit . sure request room type good fit need . , pleased stay . 
 Apr 6 2009 	 feel like euro - style Boutique Hotel 	 stay friend weekend celebrate friend 's birthday . really nice thing hotel service surprisingly roomy size hotel room . could even see Chrysler Bldg room . also friendly timely overall service front desk , concierge , bellhop . room ready check around 12 noon able drop bag room . course , provide we Bliss product . however , bathroom funky , old smell , nothing unbearable . 
 Mar 30 2009 	 nice hip hotel great location . 	 Manhattan standard ( old hotel , small room ) , court average . w nice city ' ws , be nice Manhattan . Court locate mostly residential area , quieter , less - touristy feel . three block away Grand Central subway station . plenty taxi come Lexington Ave . one block away 3rd Ave . plethora restaurant . room relatively large nicely appoint clean , not & quot ; wow & quot ; like ws city . hotel staff excellent . lounge restaurant busy night . wife choose Court romantic weekend get - away , be great . find unbelievable promo rate offer upgrade room $ 200 / night incl . taxis . receive upgrade starwood card . also , Acura W Hotels run promotion offer free car service new Acura SUVs - nice amenity ! directly next door another W hotel - Tuscany . ' m sure difference Court Tuscany . seem similar size target market . 
 Mar 27 2009 	 get ready strange smell 	 request non - smoking room ( actually pre - pay one ) . got put smoking room label & quot ; non - smoking & quot ; - switch room another smell less like smoke like wet dog . switch room - smoker room & quot ; reclasse & quot ; non - smoking room . point give . complained manager , Michelle somebody , say would send breakfast voucher . never arrive . management could care less . lot half eat room service tray lie around hour . room water stain table , cigar burn , etc . spend dollar elsewhere . 
 Mar 13 2009 	 New York 	 location hotel great . catch cab difficult , many place Manhattan . bell man hail cab guest , nice make we feel obligated tip every time . appreciate good service , conditional . room bite small website make . atmosphere fun lobby evening . attitude staff could improve . 
 Feb 28 2009 	 one Favorite W 's 	 Court W New York one favorite W 's country . small hotel , yet provide wonderful personalized service . great location , marvelous suite quite marvelous . stay W 's NYC , favorite . 
