good 	 Stanford well situate Korea town , close Macy 's good shopping . although NYC business also downtime able enjoy delight city offer . room small side , one elevator present huge problem we . bathroom clean sheet towel smell freshly launder . back hotel overlook window present problem either quieter street side . crane neck could see sky able see weather dress accordingly . breakfast bagel , doughnut carby thing - bun , roll , toast etc , ok . staff helpful pleasant . mid - town struggle find restaurant korean one stay open late . 
 May 9 2009 	 great location ! 	 get great deal hotel , know hotel like new york , worry first , upon arrive , Hotel stanford really clean friendly . room good size clean bathroom . free internet second floor free breakfast morning . elevator bit scary that s . close macys Penn station lot fun korean restaurant . would definitely stay 
 May 6 2009 	 second trip NYC 	 second trip fun ! ! ! ! thsi time able way thing . hotel offer breakfast alwasy plus becasue least save money food . hotel close macys esb well train bus . recomend buy metro card use bus train . will rather spend money taxis lol . um dunno else say plan plan therefore wa sable see go everywhere . recommend go coney island statue liberty esb u there s nothing much go back main palce always fun go . Fifth Ave like two block away hotel adn always fifth ave well time square .. well ' m walker do not mind walk lazy well take bus train will get . anyone ahs question feel free coantact . way hotel Korea town like three block korean people do not get scared thinking like big korean neighborhood lol . sure room SMALL ! ! ! ! end use sleep shower . 
 Apr 29 2009 	 great place 	 great location midtown Manhattan . clean suprisingly quiet room , friendly helpful staff . cheap NYC standard . room pretty small claustrophobic way . really exceed expectation . include breakfast however basic - still well none . 
 Apr 10 2009 	 Good Value 	 doughter stay 8 night hotel Stanford two week ago . find Hotel comfortable anc cleen . room 6´th floor normal size even bathroom . expect find hotel good cheap price . location perfect shopping sightseeing feel totaly safe neighbourhood . service ordinary , staff help we ask book shuttelservice airport etc . thing good teh breakfast . donut , bagel coffee / tea . nothing . big thing . lot delis coffeshop etc round corner . expect NY - hotel don´t breakfast , didn´t care all . we recomand hotel everyone would definitivley book . 
 Apr 3 2009 	 bad experience 	 room really scruffy - clean yes - furniture tear everything old . bed comfortable though . first night keep awake night drunk neighboring room verbal fight prostitute later ' roommate ' - door slam night curse threat vile loud . horrible - actually scared . staff nothing night ( ? ) aparently throw next day . child senior citizen stay floor would horrendous experience able take guess . staff always friendly helpful come go . location good neighborhood good - safe etc .. hotel seem attract mixed clientele - rather undesirable . would stay - well choice , reilable choice $ $ $ . 
 Mar 30 2009 	 Value Train Travlers Concerns Heat / Air 	 pro : 1 . ) 3 block Penn station easy walk train traveler . 2 . ) business center free internet use 3 . ) Coffee , juice , bagel donut continental breakfast . 4 . ) clean room lobby . 5 . ) decent neighborhood Korea Town sub way foot away lot restaurant , mall shopping . Hearld Square two block times Square 15 minute walk . 6 . ) update room nice bath tile nice bath product 7 . ) good rate usually last minute rate availabie website . 8 . ) storage hold luggage check time train . con : 1 . ) Decor furniture date biggie we per say . 2 . ) one slow elevator floor . convenient get low level room take stair . 3 . ) BIGGIE . temperature control room . heat air either far could tell . tell radiator could shut shut . times fine water mist come radiator . ( husband know heating cool clearly break ) tell waste money heat room need tell maintenance ck say would . offer move we want headache get open window since March cool enough . say , would hesitant stay summer assurance air conditioning would work . please ck review see may say air summer . 
 Mar 23 2009 	 ideal location ! ! ! 	 friend stay hotel 5 day last week give newly decorate room 3rd floor , room good size , bed comfortable especially long day shopping , bathroom good size safe room also always plus . room clean everyday also . negative room location could always hear people hall , view room always dark everyday radiator would always make noise early morning wake we hotel perfectly locate next Macys , Victorias Secret , Gap , forever 21 , American Eagle Manhattan Mall . subway stop foot door yet Times Square within 10 block hotel . safe night not venture Broadway past 32nd street good area walk around . never eat Cafe Ele morning like Delis instead plenty choice . lunch Cafe Martinique around corner hotel worth visit , food ok staff terrible . would stay , excellent value money . 
 Mar 22 2009 	 ideal base shopping ! ! 	 , sister 2 friend stay Hotel Stanford 4 night Jan 09 say impressed . room quiet small perfect dumping bag shopping , shower sleep ( else need ! ! ) 2nd trip NY hotel right centre great shopping , 5th ave leave hotel Macys right . room warm night snow -3 degree . would defo stay , excellent staff , location need girlie shopping trip price great get . 
 Mar 17 2009 	 great location friendly service tatty decor noisy neighbour 	 location hotel fantastic - round corner Empire State close great shop - two minute be 5th Avenue . Situated Koreatown , local restaurant definitely worth visit . stay marred tatty decor furniture room ( although perfectly clean ) . friend stay one night hotel management happy provide rollaway bed nominal charge . unfortunately first night seriously disturb altercation people floor - much yell , swear bang door - well smoking , although hotel smoke hotel . hotel management apologetic follow morning get rid troublesome guest subsequent night quiet . ' m glad not kid , , perfectly adequate - remember be New York see New York , inside hotel room ! 
 Feb 26 2009 	 worth 	 five friend stay two room . one room 2 double bed , newly decorate room ( flat screen tv , gorgeous bathroom etc ) girl sleep well 4 night . room one double bed newly furnish look fine , sleep first night due sound like noisy pipe . reception staff excellent move we straight away another room fine . fridge , hairdryer toilettrie room . one lift problem , never wait long . breakfast tea / coffee / orange juice bagel cream cheese ( jam / jelly ) doughnut . toaster well . find fine start day morning would probably become boring . subway couple door good location sight seeing ( hotel ! ) . overall good room , staff , service breakfast price ! 
 Feb 19 2009 	 really good . nothing complain ! 	 stay hotel 28/12 - 11/01/09 excellent . room 511 great big closet safe box . bed good . Bathroom illuminate , hot shower pressure . staff likeable . location it´ good . near Empire State , Macys , many store step big subway station . the breakfast normal every hotel NY don´t it . I definitively would 
 Feb 16 2009 	 great location good hotel would book . 	 room small , quite nicely decorate bed comfy . nice marble bathroom . lobby lovely 20 art deco feel . room keep impeccably clean throughout whole stay . staff nice enough . location ideal - block empire state building , subway stop 30 foot front door , penn station two block away etc . downer think , really rate important , breakfast get boring quite quickly ( bagel cream cheese donut ) . that s hardly big deal . would definitely recommend hotel - clean , safe , cheap , friendly location fantastic . 
 Jan 30 2009 	 great value great location 	 stay hotel October 2007 first time . notice great difference October 2008 . time stay suite . oct 2007 junior suite , October 2008 junior suite leave automatically upgrade we full suite . the hotel must refurbishment since 2007 , much nice room . hotel good location Maceys , Empire State etc . take advantage booking room last day late checkout , worth pay late flight home . just remember probably New York sightseeing shopping , room adequate purpose . speedys round corner good food , good value . 
 Jan 23 2009 	 hotel 	 Hotel Stanford great hotel money be pay . its great value . its central ... near macys , manhattan mall , great restaurant around corner shop , american eagle many store . the bedroom stay super ! 2 double bed , sofa couch turn pull - out bed , tv , recliner chair , coffee table , big wardrobe , great big bathroom shampoo , conditioner shower lotion . cleanner also come make bed everyday replace sheet . on 2nd floor free internet access 2 computer . breakfact serve cafe next hotal breakfast room reservation . there be bagel , diff doughnut , muffin , croissant , tea.coffee orange juice.we would problem stay ! 
 Jan 17 2009 	 really nice place stay ! ! 	 hotel lovely central . 's hearld square , right across road Macy 's . empire state building block away , also , bryant park times square also close . clean , room lovely . breakfast ok , bun donnut , coffee , tea , orange juice , could variety ! however , would definitely stay . staff nice professional . good hotel . 
 Jan 9 2009 	 border line 	 stay hotel Stanford 5 night new year eve 2008 - 2009 . Hotels NYC ' cheap – fact , Hotel Stanford stand competitive give ' convenient midtown location . hotel locate bang middle Korea town W 32nd 5th Broadway – 1 block Empire State building 1 black Macy ' , quite convenient location get anywhere Manhattan , perfect want sightseeing . from ' see read hotel quite convinced ' find bargain – however upon arrive cab outside little disappointed greet whole load scaffold – bad thing guess upon enter lobby HS feel little ' tired ' , everything ' ok ' think expect . check staff ( mainly korean ) efficient enough , initially request pay bill front transpire ' right type plastic ( HS ' accept Maestro ) give extra day pay up . after check make way room ' really decide like – quite large walk closet , safe sizeable bathroom – however , seem lack little something , maybe age get well , carpet little wear dirty outside window nothing wall mean natural light ( although fairness make nice quiet ) . think main complain thing little break tatty – example chain lock door obviously come point refit ' odd ' angle rubbish could see hide behind radiator . addition service elevator outside door ... every morning woken sound maid busy . internet service provide ' business center ' horrible – slow . major complaint heating system . time must close boiling point other freeze ... transition one accompanied cacophony clattering pipe ... although guess ' unexpected old NYC building . summary – ' choose hotel , although fairness – ' NYC .... ' need spend much time hotel room anyway ! ' consider cheap place leave stuff take quick sleep HS adequate . think bad ' happy almost satisfied . 
 Jan 8 2009 	 shopping paradise ! 	 location hotel unbeatable Macys , Victoria Secret Gap literally door away ! ideal hotel shopping holiday sightsee . staff friendly helpful , fault . one lift not really issue we pretty much always . room adequate clean , cleaner excellent hotel room always clean return . negative ! stay fourth floor strange noise , describe owl stuck cage ! bizzare bearable ! breakfast not much breakfast elsewhere , usually martinique cafe Radisson , food good service slow rude . , would certainly stay , price unbeatable location . for brilliant pub , go foley bar 33rd street , friendly great food ! 
 Dec 12 2008 	 stay ! 	 stay friend november 28 till december 2 . hotelroom small , big enough store stuff buy . bathroom good clean , bed . carpet old staine . 's pity , room actually ok carpet first thing see . one hotellift , actually enough hotel . however , use elevator busy did'nt matter we . breakfast , 8.oo 09.00 hour crowd . breakfast ok , donut , cake , coffee , tea orangejuice , hey , be free ! twice breakfast de Cafe Martinique round corner , wich good . go Speedy 's corner not like go dinner . good take awayfood . subway corner busstop ( M - bus ) stop 6th Ave . two lady fifty , never feld moment unsafe area . next time go Stanford Hotel ! 
 Dec 3 2008 	 Perfect facilite ; great buy 	 hotel room small , perfect remodeled bathroom , window view , responsive staff , great location Koreatown right subway block Empire State Bldg . Stayed Thanksgiving time 2008 great price $ 150 / night include good continental breakfast . hope come back . 
 Dec 3 2008 	 ideal position New York 	 stay Stanford . large room - great bed room fac , however view window wall - hey 's New York - not stay room ! breakfast cafe downstairs fine include price . staff helpful friendly - would recommend especially expensive New York . 
 Nov 30 2008 	 Great Location staff 	 Meet expect . excelent queen room . good value clean . breakfast simple , justify price . 
 Nov 22 2008 	 fine budget 	 though NYC twice realise November actually peak season - honest hotel choice run affordable option . at roughly $ 331 night US - equate $ 500 aud night cheap option relation would normally pay . could get 5 star Australia less - tell nowhere near expensive town beggar can not chooser . we wait whilst US customer check case pay much low rate we suspect hotel slug foreigner much case . also upgrade couple check prior we staying day . may make assumption stick mind . the location excellent . right Midtown , next subway stop , near Macy 's ( though would not bother Macy 's ai not use Saks MUCH well ) within walk distance everything . try Speedys corner excellent healthy takeaway option can not face another night out . I find staff pleasant helpful foyer space street frontage small need bit spruce . one lift yes slow adequate . our room paint - though think do good intention smell horrible . stay 9 night circumstance would hope well room - hotel literally full occupancy point complain . it small - mean small - suck NYC hotel room small , mean think get shut broom closet small - enough supposed queen bed ( double ) table chair tv . amount mirror wall go make seem large . husband literally could get side bed hit & quot ; mirrored & quot ; wall . the bathroom ok grotty scummy greatest . rat bug ok area . lumpy floor dodgy electrical socket - father electrician would total OH & amp ; fit see state power point . but door lock properly , do not smell paint subside feel safe - tv US always blow we away - must watch & quot ; Extreme Loggers & quot ; one tiny step away reality tv insanity . I say though really love Backstage Dressing room light around bathroom mirror - glamorous . we control room temperature NY humid late keep open window introduce main gripe . Noise Light . we face Korea Way mean flash neon yell , honk scream 24/7 - mean 24/7 - hell eat korean BBQ 4 am know hey NYC ! familiar thing entire strip full great restaurant deal however literally open 24 hour sort exuberant people frequent sort hour . after 44 hour fly side world much sense spend next 24 hour serious migraine . interesting sidebar - buy codeine counter US - discover hard way - bring home headache / migraine sufferer like . another interesting sidebar - get really sick need help walkup physician available Duane Reades close Stanford 7th 50th . close sick worth know foreigner . House Keeping go every day - - actually change bed sheet everyday - happen notice mark make still 2 day later . rationalise mind remind do not change sheet home every day either . the breakfast bagel , donut , coffee juice . husband Homer heaven - egg sound really good half way stay . but many people say NYC sit room safe , adequate hotel room look fine haggle price can . I one gripe - day check flight 9 pm night . yet another migraine face another 36 hour plane . husband go explain situation ask could later checkout . normally hotel totally ok circumstance charge - well country anyway ... want another $ 150US would let we stay 3 pm . ill choice cough lack understand genuinely disappointing . I hope - though may sound mean spirited - economic downturn US force hotel pull head charge reasonable rate match level accommodation . sincerely believe sheer opportunism go mad city need get stuck regulate hospitality industry bit enforce price structure star rating bit zeal . hotel UK would 2 star good doubt would even get rate Australia New Zealand . I say shop around rate - worth long run . hotel bit - three four block east 31st much clean much quieter area still totally accessible everything - remember everywhere NYC subway stop away do not take & quot ; Midtown & quot ; location unless see broadway show every night . 
 Nov 14 2008 	 ask 	 reiterate review , like get review help hotel rating . this hotel great money pay Midtown . fantastic location , room plenty big enough 2 lady ... unitl end trip shoppin bag start take bit ! ! walk distance everything could need . concierge store bag need hotel staff helpful enough ... especially find chinese korean take away 2 am ! ! free breakfast bit ropey , hey free . go . consist Rolls , bagel , doughnut 1 type danish pastry . go , phillidelphia butter , tea coffe Oj toaster . basic . defintiely recomend cheap , clean great location hotel . 
 Nov 10 2008 	 Modest Hotel Great Location 	 skeptical spend 200 dollar stay midtown manhattan . expect worst , friend go overnight shopping / bar hopping trip not want spend fortune hotel . pleasantly surprised find . room clean , bed comfortable , water hot great pressure , towel big thick , staff nice , complimentary breakfast . really nothing complain ! ! hotel old room small , perfect want spend need . plus , subway stop right corner convenient . do not book hotel look newly update spectactular suite spend extend amount time . Book hotel want place centrally locate simple , convenient , overly expensive . would stay . 
 Nov 5 2008 	 Loved Hotel Stanford 	 arrive hotel lovely welcome staff behind desk . room ready we 5th floor . view window brick wall not bother we street noise . the room large walk - in closet safe nice size bathroom . also fridge appreciate . complimentary breakfast provide consist mainly roll , croissant , doughnut cake . coffee good too . the hotel well situate Empire State Building ( next block ) , Macy 's ( round corner ) Times Square short walk away . subway right corner . fault hotel anayway even go way ensure could keep room 5.00 p.m. ( extra charge ) late flight home . excellent stay helpful staff , would definitely recommend hotel family friend come ny definitely stay . 
 Nov 3 2008 	 good value well locate Hotel 	 wife 's second year succession stay first along four kid . hotel two advantage - well locate within 100 Maceys Empire State building within 20 metro stop . hotel 32nd St. ( Korea Way ) seem korean run find staff particularly friendlly helpful , particualrly reception staff . limited breakfast also provide part price although breakfast room way small accomodate number . complaint hotel lift . twelve floor 15 room per floor one lift hold max eight people . thankfully sixth floor could walk flight twelfth . value , location friendly staff , however , would stay hotel . 
 Nov 3 2008 	 get Pay 	 hotel great location good price $ 299 mid - week NYC . front desk staff friendly continental breakfast nice plus . say , would stay . good thing say room & quot ; nothing crawl & quot ; ( kind place first thing check bug ) . room small old ( understand old NYC hotel ) . bathroom little grimy heating element wake frequently night loud jackhammer - type noise front desk could nothing ( , old building ) . one small slow elevator 12 floor . -- sleep light . 
 Oct 27 2008 	 great location clean friendly 	 lovely hotel well locate near 34th st shopping also access bus train . plenty place nearby eat . breakfast nice enough set day .... would recommend friend .. 
 Oct 24 2008 	 Great Hotel Money Pay ! ! ! would go back 	 hotel fantastic value money , right heart NYC . short walk away many attraction Madison Square Garden , Broadway ( Hairspray great ) , flatiron Empire State Building right round corner . Penn Station right doorstep feel walk city enough ! thing not great breakfast money pay stay not expect much , pay location . the Hotel clean tidy everything could want . would recommend friend would go back stay hotel Stanford again . Leanne Scotland 
 Oct 24 2008 	 great location good service 	 good location , block Penn Station & amp ; Empire State Building . staff friendly . arrange shuttle bus airport . although lady reception insist take cab , 3 time expensive , ask another receptionist shuttle bus follow day , book immediately . stay 9th floor , back side hotel . quiet room , pretty small compare hotel stay US trip . breakfast cafetaria next hotel . always wait 15 - 20 minute seat . $ 10 ' penalty ' charge take food outside hotel ( quite stupid want take one croissant , instance not want stand wait line seat ) . 
 Oct 21 2008 	 fantastic shopping location ! 	 stay stanford hotel October . NY , yet stay , time want close main area . exactly get ! hotel 10 step away subway , around corner Macys . everything close easily accesible . holiday shopping mainly , hotel 's location ideal buying thing take back hotel start ! room bit date , ok . pleased fact hotel safe room . breakfast provide cafe attach hotel , consist pastry ; bagel coffee tea . food good , repelenishe often staff , polite . overall , would recommend hotel 's fantastic location . 
 Oct 3 2008 	 great location nice hotel 	 stay Stanford hotel 2 night mid September . location could well , 2 minute walk Macys 10 minute Times square . book queen room large expect wall view . bathroom little tired clean . Coffee , Juice doughnut bagel nice morning part deal . would definitely reccomend hotel . 
 Sep 17 2008 	 great hotel location 	 stay Sept 1 - Sept 6 . read review bit apprehensive air conditioner great room Stanford Inn . stay room 810 2 double bed comfortable daughter . 4 people , might bit tight . everything work bed comfortable . bathroom clean water flow great . location hotel close everything . door hotel , grocery store could buy water keep fridge hotel provide . 2 block Macy , close shop restaurant , 10 block theater area ( far sound great walk shop lot thing watch ) subway step away . buy $ 25 subway ticket 7 day subway bus walk use subway , bus everywhere . daughter love Broadway show stand line get discount ticket everyday . wicked show discount ticket worth full price . see Phantom Opera , Grease Wicked Wicked favorite show . thing hotel helpful see good way see . lot weekly free magazine activity plan time . would stay Stanford inn hotel next year . 
 Aug 23 2008 	 great budget hotel great location 	 great budget hotel short trip NY . great location , 10 min walk Empire State , go night beautiful3 min walk Macys ( ask 11 % visitor discount card ! ) subway station two step door15/20 min walk time sq theatre district10 min madison Sq Gardensthe hotel luxury clean room big enough two girl shopping ! decor old fashioned price pay great . window look onto brick wall do not open curtain really sleep shower . complimentary breakfast minimal welcome handy saving penny budget . Speedys deli across street great salad , bagel , hot food , fruit , eat take out.the staff nice helpful free internet acess great floor 2 . hint try get room low flor one small lift get busy . for buget hotel can not fault would go back . process renovate bar lounge area probably ad even would nice relax day shop nice drink ! 
 Aug 12 2008 	 extremely pleased Hotel 	 Hotel Stanford beautiful hotel convenient location . 's narrow building , enter nice lobby lovely crystal lighting arrangement ceiling set tone high - class hotel . 's one small elevator , also narrow staircase not want wait . the staff extremely friendly willing help , room surprisingly large New York hotel . one wall mirror may make seem large , also dresser , table chair , small refrigerator , fair - sized closet safe , program code . bathroom large other trip , unexpected appreciate . tv not get lot channel , enough consider spend time anyway . lucky street view room two window , many room appear right building . the breakfast selection limit , nice want grab something quick getting enjoy city . staff friendly helpful well . there be subway station corner Empire State Building block away . convenience store restaurant nearby , parking garage right across street offer preferred rate guest hotel - real selling point we . ( recommend drive Manhattan unless really know be - definitely adventure ! - lol ) make sure get parking validate check . walk back hotel Times Square ( via Empire State Building ) not take long . hop - on , hop - off bus tour , highly recommend well . ( note : tour guide tell we take Staten Island ferry see Statue Liberty close free - wish have know buy advanced ticket ! ) price great New York option , although expensive compare city . pay $ 189 per night plus $ 36 per night garage truck ( be $ 26 car ) . convenience comfort , though , worth . 
 Jul 25 2008 	 perfect 	 friend stay hotel 6 day everything great . friendly helpful staff , nice breakfast fresh bagel dougnut , coffee , tea , milk juice . Normaly not eat breakfast love bagel give perfect start busy NY shopping day . the room big clean quit , small fridge safe closet . clean bathroom bath shower fresh towel every day . room view , night not bother we . airco work fine . I fall love City stay hotel help great deal everything perfect . the location great , Fifth Avenue , Madison Avenue , Macy 's , Empire State Building 's around corner . the good way see NY foot , put sneaker go . 
