small 	 second visit Hotel XIXe Siècle . locate Montreal 's old town block port block away tourist shop abound area . free on - street overnight parking weekend , meter day , valet parking also available . lobby hotel hold different interesting art exhibit time . staff accommodate , quick help restaurant suggestion direction . lovely meal restaurant recommend . room spacious appear even large 14 ' ceiling . furniture european well keep . nice art wall . bathroom provide everything need , include nice shower good lighting . lighting room also good . package include breakfast - dining room nice bright , food typical hotel breakfast buffet - cereal , toast , bagel , fruit , yogurt coffee . the location hotel great ; close sight old town bad walk downtown Montreal shopping . also bus run close . would highly recommend hotel romantic weekend getaway extend stay . 
 expectation meet 	 read review hotel expect boutique jewel wonderful city . hotel clean , neat room small - really mean solo traveler - breakfast include package price disappointing . hotel middle Montreal would expect french bread pastry , stale , tasteless croissant mediocre fruit coffee . staff attentive pleasant . restaurant recommend we first night arrive definitely one would choose end go elsewhere - want rely staff . also smell cigarette smoke last day know permit , ... definitely fill hall . see several room last day would much well - wonder hotel would let we know available , well suit couple . especially since many empty room . 
 Apr 13 2009 	 Great Stay 	 Great Staff : friendly knowledgeable city . ready help whenever need help . speak English , not feel intimidate speak English . good speak french English . hotel room big . Bed 's comfy . pillow either soft two hard . square one hotel 's name good medium . bathroom clean . the hotel locate couple block metro , Science Museum , Rue St. Laurent , Rue Peel ( Rue= Street ) , couple popular street . mile two away get Rue Cresent bar , night club , Hard Rock Cafe . lobby really nice area sit enjoy drink , work computer ( free wifi ) , shoot breeze people . pizza great ! 
 Jan 27 2009 	 nice hotel minor issue 	 staff hotel great , speak good english friendly whole stay . room nice size price around 90 € per night . location ok , middle cold winter use taxi get around , base little walking get imperssion really good location summer do not freeze death walk 200meters . couple little complaint , room be not exactly quiet , think big issue door be not really sound proof pipe make little noise . however noise be not bad would get annoying i d go complain . 2nd issue impossible seet television bed , like need little tv fall asleep might small issue . overall think stay hotel montreal visit decent idea . 
 Jan 24 2009 	 fabulous hotel heart old montreal 	 use guidance Tripadvisor , book hotel get great rate suite parking breakfast include . hotel great location step famous Notre Dame Cathedral old Montreal . hotel beautiful old world charm - room huge great amenity . service good valet parking , bellboy , free newspaper coffee downstairs jmorne , free wifi internet . go wrong hotel . 
 Jan 4 2009 	 great boutique hotel hope new owner keep 	 Love stay , great value right doorstep Old Montreal . stay business pleasure iun past .. staff helpful friendly , room vault cieling french provincial furniture parisian feeling , not like bar / restaurant many choose neighborhood even breakfast . new owner propose change name reno 's hoping remain affordable place stop really special piece North America . 
 Oct 13 2008 	 good hotel good location 	 really enjoy stay hotel . build beautiful interesting . standard room quite large tall ceiling quite impressive . make room feel open , romantic comfortable . close Nortre Dam , Old Montreal Chinatown . easy walk hop metro . restuarant onsite , nice bar drink lounge place offer breakfast . service good . hear go minor renovation switch check desk bar area . work well . 
 Oct 2 2008 	 Perfect Location - Great Stay 	 wife Montreal twice , stay corner Ste Catherine Ouest ( close bar - scene ) time Hotel Xixe Siecle . LOVED ! location perfect , could walk Notre Dame , Old Montreal , block away metro stop take anywhere . lobby great small bar sit area floor ceiling book . staff incredibly helpful , valet parking quick attentive . the room gorgeous . stay small suite separate sit area . high ceiling , french door , everything perfect . I would highly recommend hotel . 
 Sep 20 2008 	 lovely comfortable boutique hotel- great location 	 comfortable boutique hotel locate pretty street . locate walk distance beautiful old Montreal short cab ride great shopping rue St. Catherine . find room extremely spacious comfortable . bed fantastic bathroom clean well - supply . World Cup visit husband able enjoy lot tv room big great reception ! ( sometimes hotel tv small sketchy ! ) find room particularly quiet , appreciated- really could not hear noise outside . breakfast include standard , breakfast area windowless room could improve upon . complaint quality breakfast . service excellent happy stay . would likely return value receive good . 
 Sep 2 2008 	 Great Location 	 charming hotel well locate near Place d'Arms quiet side street . get benefit near everything Veiux Montreal without noise . clean room large comfortable bed tall ceiling . staff friendly , little overwork . one evening , bartender / bell hop / valet away bar quite time thirsty patron wait small bar . finally , another staffer come pour drink , assure we bartende skill go beyond beer wine . happy oblige , would nice consistent service happy hour . small issue problem stay . 
 Aug 29 2008 	 beautiful bouquet hotel EXCELLANT LOCATION 	 son stay Hotel Xixe Siecle July 28 - 31st 2008 . first visit Montreal - we disappoint . the hotel beautiful , could fault thing . hotel bouquet much well name international hotel , service much personel . do not speak french - do not worry , staff speak english . I enclose photo hotel bedroom , belive main toilet ground floor ! take photo wallpeper really quirky . hotel decorate french design , comfortable . bedroom ( Classical ) decorate gold cream . tv , pleanty storage , facility make tea coffee . bathroom adequate , shower bath , plenty good quality linen , free product shampoo etc , high quality . the staff wonderful willing help enjoy stay . provide direction , order ticket , advise place go . helpful . lobby good stock Montreal information brochure . bar , breakfast room , Library also grind floor , free internet . breakfast -conti.excellant.fab choice . bottle water - charge , one thoughtful touch . couch chair reception clean comfy . last magazine always hand .. location excellant , one street away Bas . Notre Dame - miss light show - Fantastic . old town door stop , shop Catherine street - hotel walk yard turn right , travel road Catherine Street . 
 Aug 20 2008 	 beautiful hotel excellent location 	 spend 3 night hotel enjoy stay much . the lobby charming , location excellent ( right Vieux Montreal , one block Basilique notre dame ) room spacious , clean beautifully decorate . free wireless internet access . the staff helpful direction recommendation restaurant attraction . several excellent dining choice nearby , Bonaparte Aix block away . we buy package ( 3 night include breakfast parking ) excellent value . 
 Aug 15 2008 	 great place 	 decide hotel read many review tripadvisor . pleased room , nice high ceiling , great bed linen . little stingy towel appreciate effort & quot ; green & quot ; . hotel perfect location- close Old Montreal thick , walk distance attraction Montreal . staff helpful . complaint shower much pressure get warm . great place stay- would certainly go back . 
 Jul 28 2008 	 great stay 	 Excellent Hotel . fantastic location near Old Town Subway . get Jr Suite happy staff , room breakfast supply . 
 Jul 16 2008 	 Super ! 	 young daughter stay week July . hotel perfect location walk & quot ; old town & quot ; St. Catherine St. shopping . easy access metro block Central Train Station . rave enough friendly , unassuming , helpful staff ... professional ! room exceed expectation . & quot ; standard & quot ; room beautiful ! high ceiling , large amount floor space , nice furnishing , lovely old window , huge bathroom separate jacuzzi tub shower ! never eat hotel , enjoy complimentary coffee occasional apple bowl ! Montreal lovely city friendly people numerous activity keep one entertain ... 
 Jul 15 2008 	 Real Old Town Charm Character XIXe siecle 	 husband plus group friend stay XIXe siecle past weekend July 08 . want experience real charm old town Montreal , definitely place stay . hotel everything expect . photo website mirror everything offer . the bathroom spotlessly clean room large comfortable . friend one suite room large adjacent sitting room . the breakfast include price fantastic . hard boil egg , cheese , thinly slice ham , cereal , croissant ... list go ... ! dining room quaint relax . make lovely start morning . stay chain hotel Montreal previously , decent , price , compare Hotel XIXe Siecle ! staff fantastic helpful . the location great , close enough walk Port also St Catherines Street shopping . fantastic experience would highly recommend hotel . 
 Jul 10 2008 	 love boutique gem 	 husband return lovely gem boutique hotel locate Old Montreal . love ambiance room hospitality staff . stay two night enjoy every moment . walk around Old Montreal feel european . fifteen minute walk downtown Montreal great shopping . complimentary breakfast lovely . staff extremely polite accomodate . feel well treat thoroughly recommend gem anyone look memorable stay . 
 Jul 8 2008 	 Great Hotel ! 	 husband stay night Hotel Xixe Siecle be thrill - room spacious clean , staff friendly attentive , breakfast delicious ! stay future Montreal trip ! 
 May 18 2008 	 wonderful experience 	 wife return weekend Hotel Xixe Siecle . select hotel base almost entirely upon review TripAdvisor please . room quite large , clean extremely comfortable . include breakfast lot offer favorable hour ( 7 - 11 ) . hotel offer valet parking desk clerk offer option parking street free give tip find coveted spot . hotel overdone pushy service one thing find great . one try wrestle bag away . one pay open door , good , friendly courteous basic service . lobby bar / lounge nice . two one drink 5 - 8 ) . excellent experience go back . 
 Apr 21 2008 	 great place stay Old Montreal 	 Hotel Xixe Siecle excellent stay . write review day departure room one good room stay many year domestic international travel . drive Boston ( 5 hour ) weekend stay daughter ( 15 ) . hotel situate Old Montreal minute walk Montreal Metro . therefore city accessible . however , calm area , closeness water mangificent building old Montreal make peaceful vacation . hotel Boutique , comfortable traditional Marriot type hotel may comfortable . style European would recommend couple ( new old ) . restaurant area good . Gibby 's seem popular nice setting . try new Sushi Rest call Tatami unusal table actually fish tank food artfully do . walk St Catherine street , ice creme nearby local really relaxed time . come back would try hotel . worth every star 4 star rating . 
 Mar 30 2008 	 Great Deal ! 	 get great deal go directly hotel ( 2 night almost half - price , third night free , complimentary continental breakfast ) . wonderful stay Hotel . staff friendly helpful . room comfortable spacious . hotel well locate . bar / lounge dining room cheerful , well - staff breakfast good . staff help we recommendation place eat thing . would definitely try book Hotel Xixe Siecle next time visit Montreal . 
 Feb 29 2008 	 hotel great everyway ! 	 even though live Detroit , decide book winter getaway Montreal Quebec , since price reasonable ... 3 day Montreal , 2 day Quebec City , 1 day back Montreal flight home . spend 3 night Hotel Xixe Siecle , great ! book great stay 2 night , get 1 night free website ( $ 135 CAD per night ) receive room amazing whirlpool tub ever , 2 queen bed , ceiling high could fit another story room , grand - sized room , etc . staff also helpful give direction , recommendation dining , etc . also , even though husband love walk ( despite cold snow ) , 5 minute walk Metro Station make everything conveniently locate . please note also computer free internet lobby cute & quot ; Library & quot ; theme bar lobby ... detriment lack exercise room / facility , great service / location / staff , could live without . perfect stay great city ! 
 Feb 23 2008 	 Chic affordable ! 	 book Queen bed room online hotels.com $ 114 / night CDN.We stay 2 night week Valentine 's . room well appoint Queen size bed , desk , tv wardrobe hang clothing . celing high ( least 15 foot ) . washroom small functional . towel plush luxurious . this hotel state reviewer renovate old building definitely character building great since be locate Old Montreal . Vicinity wise , eggspectation across street open 6 am serve breakfast / lunch . breakfast last morning hotel not impressed . basic Continental breakfast $ 13 / per person . for dinner , lot restaurant within walking distance . go Bon Part dinner one night . enjoyable although bit dress dressed snow storm day . this hotel close Central Station arrive train . addition , able walk hotel Chinatown Rue St. Catherines ( main strip ) without difficulty . no complaint would definitely stay ! staff friendly helpful ! 
 Jan 28 2008 	 great Stay Old Montreal 	 stay weekend January . everything hotel great ; location , room , staff , etc . hotel pretty , old bank convert . staff world class , could not helpful friendly . Notre Dame literally 1 minute walk road St. Paul Rue ( main drag old montreal ) right around corner . room nicely decorate cathedral ceiling , make seem huge . consider shock cheap room . would recommend hotel anyone want stay Old Montreal . 
 Dec 27 2007 	 great hotel 	 stay XIXe siecle 4 night could fault .... ' m surprised not rate highly tripadvisor ! hotel great location old montreal , easy walk distance downtown Place D'Armes metro station . room large high ceiling , clean comfortable . breakfast great - croissant , cake muffin , bread , fresh fruit salad , juice , cheese . also staff meet breakfast front desk polite helpful . we stay Sofitel last night holiday , actually prefer XIXe Siecle ... would definitely stay . 
 Nov 7 2007 	 Fantastic Location Deal 	 search place stay , never Montreal . read several review opt hotel contact directly booking . time beat expedia rate offer we 10 % CAA discount . take room rate $ 117 / night Thurs - Sun . the hotel convert bank locate central Old Montreal . metro stop within couple block , easily get prime shopping restaurant area . staff helpful , recommend great restaurant provide direction . the room large , high ceiling make room feel roomy . , lobby bar 2 1 drink every evening . we would stay . 
 Oct 31 2007 	 nice .... unbelievable value 	 frequent business traveller stay many hotel Montreal . hotel tremendous value . european feel match location near old city . room large clean furnishing seem match grandeur room ( high ceiling ) . bathroom adequate nice toileteriesservice excellent whenever request . bar nice quick drink go din . Valet parket convenient cheap . definetly return 
 Oct 27 2007 	 sincere pleasant prompt service 	 stay Hotel Oct. 4 - 6 , 2007 . reserve probably least expensive class room , nice . mattress great . towel great - soft ' ve feel long time . upon arrival , bellman immediatly help we unload , include arrange storage bike , parking car . staff bellman provide we immediate information need get Bank map sightseeing bike riding , restaurant , generally nice talk . large Continential breakfast include good opinion , wait staff accomodate pleasant . like hotel much , would recommend . 
 Oct 6 2007 	 horrible ! 	 book room hotel almost 1 year stay wedding . ake two double bed 4 ppl room . tell problem . also tell would get govt rate . two day stay , call hotel confirm two double bed govt rate ... problem .... get room guess ! ! ! ! get one queen bed ! ! ! call desk tell fully book give we two double bed ! ! ! tell book two bed almost 1 year ago could anything . actually polite .. polite . , ask 2 cot ( two ppl room ) tell we cot would try find one . get 1 cot 2 hour later . one person sleep floor two night row . call front desk anything : extra pillow , blanket , cot , towel etc .. take two hour get everytime ! ! ! checkout : tell could get govt rate . tell guy book two double bed end 1 queen , least get discount . tell 's fault , alot ppl wedding can not guarantee anything ... govt rate promise dand discount ? ? ? ? guess can not reserve specific room hotel ... sooo disorganize . even think stayd 1 night correct billing ( nice ) , RUDE ! ! ! ! guy leave go get car ( valet ) get 's car syae thing . friend get car omg driver window BUSTED ! ! ! ! someone break car . guy like & quot ; oh ya hahaha car get break & quot ; laugh ? ? ? wow ! go back rude guy front desk tell happend . say happend last night . ? last night never tell we leave msg room ? ! ? HORRIBLE ! ! ! never ! ! ! ! 
 Oct 3 2007 	 Wonderful 	 thoroughly enjoy hotel , location perfect sight plan see . metro right street . montreal safe warm city visit . staff hotel professional friendly . patient we tourist ask million question . room clean maintain well . always quiet sleep well . breakfast buffet good , could use variety , especially couple day stay . vend machine , get night munchie ! drink happy hour pretty expensive . would definitely stay enjoy beautiful city Montreal . 
 Sep 23 2007 	 Good Friendly Small Hotel 	 XIX small hotel old part Montreal , easy 10 min walk St Lawrence river . make online booking welcome reception friendly staff . room quite large overlooked rear hotel . everything clean comfortable room service friendly efficient . a continental buffet breakfast serve groundfloor dining room reasonably comprehensive without much choice . there reasonably price internet access lounge little slow . a good stay small friendly hotel . 
 Sep 4 2007 	 expensive Hotel lack experience luxury 	 attempt check hotel 2PM tell return 3pm return 3pm tell take seat room ready yet . four couple check 4PM ask ready tell ready hour ago sit couch directly infront check area . when get room notice 15 foot Ceiling nice window covering go bathroom vanity make 2x4 tile job lack grout . tub small shower leak place . in addtion ice motel must request rooom service room contain minibar mini fridge . the dissapointe part Breakfast . terrible , croisant cook coffee tasteless Breakfast local house $ 69.00 per night Holiday Inn Express thousand time well . do stay motel / hotel . prior stay hotel stay Hotel Domion 1912 Quebec awsome Hotel . 
 Aug 28 2007 	 would definitely go back ! 	 extremely well - locate hotel . Montreal Jazz Festival could walk well everywhere entire Old Town 's also close subway . staff friendly , room nice , breakfast good . really not anything complain . 
 Aug 25 2007 	 impress 	 Stayed Hotel Xixe Siecle honeymoon trip Canada . arrive weekend . book trip throughExpedia.com . arrival , take 2 hour check - in becauseour room not ready big line therewere lot guest check wedding party . long wait , put we seem like 10 foot by10 foot box room extremely small . additionally , room next door , baby cry couldhear easily paper thin wall . call thefront desk ask could change room , inform us thatall room book wedding party . paint chip room . lcd flat screen tvwas probably 17 inch tv . front desk snooty friendly . 6 hotel 3 star rating , rate 4 start , bad Montreal hotel . other Sheraton , Wyndam , Renaissance , Hilton , etc much nice . 
 Aug 24 2007 	 lovely hotel 	 good hotel , beautiful building . first thing note quite stair get lobby , member staff wait help arrive . receptionist helpful , especially lady help we book ticket exhibition use personal email account . the room nice , clean spacious . breakfast good , lovely fresh bread , fruit cheese . hotel well locate old town major shopping area . the criticism laundry - dry clean everything even want launder charge . get catch badly management willing make reduction charge even though clearly write laundry sheet want dry cleaning , instruct reception staff . Montreal generally overprice compare city Canada experience add feeling rip again . overall good hotel nice location . 
 Aug 21 2007 	 Fabulous hotel ! 	 wife stay hotel 25'th wedding Anniversary . lobby gorgeous , staff could nice , continental breakfast great ( especially croissant fresh fruit cup ) location middle everything Old Montreal . room bathroom small side , bed extremely comfortable . much Montreal hardly room anyway . would stay anytime . 
 Aug 20 2007 	 wonderful stay ! 	 arrive home Hotel XIX already decide return Montreal stay . hotel perfectly locate Old Montreal downtown weather nice , walk everywhere . staff incredibly friendly , helpful pleasure deal . happy hour 5 - 8 , quiet bar , & quot ; two one & quot ; drink unbeatable . superior room large , nicely decorate immaculate . amazing stay look forward return . 
 Aug 20 2007 	 third time still Charming ! 	 spouse stay Hotel Xixe Siecle three time past couple year . several thing keep we come back : ( 1 ) Proximity Old Montreal . 's heart Old Montreal couple block Quay . ( 2 ) price low Old Montreal . look around ( website ! ) will find price far state average . pay $ 135 latter part May , Cirque du Soleil run . ( 3 ) well - keep room friendly , helpful staff . arrive late afternoon last time stay , Front Desk staff call several different restaurant get we reservation evening . ' ve ever Old Montreal , will know 's sometimes impossible get ' popular ' place .... we ! way , sure take valet parking - find parking spot Old Montreal time difficult ! 
 Aug 17 2007 	 another Trip advisor Winner ! 	 another excellent hotel stay , thank many TAers review hotel -- thank ! got great deal AARP travel web site . huge room . excellent air conditioning hot week Montreal . great location Old Montreal . cordial , helpful staff . excellent value , . highly recommend . 
 Aug 7 2007 	 awesome 	 nice stay . know get Boutique Hotel convert bank please get . room clean nicely decorate . staff helpful pleasant . food serve breakfast amazing ( eat every day ) .Yes mini bar fridge room . restaurant open lunch dinner . look thing , look somewhere else . want elegant hotel great location , stay . 
 Feb 26 2007 	 Great Boutique Hotel 	 really love room staff , friendly helpful . due limited availability three day stay Montreal , stay two different room ( one suite # 416 , standard room # 412 ) . review knock breakfast buffet , include room rate suite , pretty good & quot ; free . & quot ; day eat buffet , try Eggspectations , one block away great extensive breakfast option . love fruit morning , $ 7.99 fruit plate fantastic . dead winter plate include mango , papaya , blueberry , strawberry , apple , grape , banana kiwi . crepe California egg benedict tasty . Bonaparte , locate three block away , excellent dinner . try mushroom raviolis ! ! hotel location great , within short walking distance metro , restaurant Basilique Notre Dame . also within walk distance shop rue St. Catherine . this definitely full service hotel -- restaurant lunch dinner , lot staff . example , bellboy also bartender . good bartender quick bag upon check - in . 's expect boutique hotel . 's charm , cozy set friendly feel sell hotel . 
 Feb 8 2007 	 Fabulous Hotel 	 travel Boston , New York , QC , Toronto , hotel Montreal favourite . people helpful friendly . problem air con straight away move new room fuss . brilliant hotel happy stay . location also perfect . thank ! ! ! ! p.s . breaky well 
 Jan 20 2007 	 Charming hotel great location 	 nice hotel Old Port part Montreal . room nice , everything clean , breakfast ( include room rate ) rather good , valet parking convenient ( include room rate ) . service friendly ( wiill help restaurant booking , etc ) .have stay several time happily stay . 
 Jan 3 2007 	 Charming hotel Old Montreal 	 hotel great find anyone want stay Old Montreal . hotel charming , decorate nicely sophisticated , super clean comfortable . room normal ammenitie ( although minibar would wonder ) . staff helpful serivce good . overall really enjoy time . couple block away eat heart content yummy french fare Old Montreal offer . try chez suzette crepe place Mondave restaurant well . mondave good bison steak pear goat cheese tart love . prepare walk food go eat . also really enjoy sailors church ( sure name ) , def check tower portion get great view city.ps love hand soap room ! 
