ubiquitous 	 room decent size , clean quiet . excellent location good value money . 
 Oct 20 2009 	 nothing lip . 	 stay Park Plaza W / e 18th oct . visit London 2 friend Sweden , ' m Brit . hotel location , condition perfectly ok , room nice clean , bed comfortably . however find staff , rude case , abrupt . simple request like put drink room major task , bare - face lie regard change tv channel . having already eat breakfast , ask could re - enter pick fruit juice , would finished get hand hold face , tell speak someone else , try , get response volume . that guy still know go ask ..... know could need medical help . it be shame ecause Hotel good shape , however last like expect hotel staff , nothing lip ! additionally , seem confine odd individual , 3 4 small irriting issue , 3 4 different staff member seem like problem training / hire , although staff behind front desk much one expect . 
 Oct 3 2009 	 Good Quality Chain Hotel 	 stay Park Plaza Victoria week . good hotel . 's part large chain , be bit impersonal , be fairly well keep well run . arrive 8:30 transatlantic flight expect drop luggage come back later check , room available manager front desk let right ; pleasant surprise . room fine , complaint . use hotel facility . breakfast hotel ; fairly standard quite acceptable buffet - style operation . pleanty coffee / sandwich shop nearby . hotel 's location excellent one want close Victoria Station rail / tube / bus hub . 
 Sep 22 2009 	 great location modern hotel 	 Modern , efficient professional staff , clean perfect location leisure business . Walk Victoria train station Tube , shop close include & amp ; food store ( save $ ) . good lounge . walk Parliament Buckingham Palace . stay seek trip know reliable . dislike drafty old hotel hot water might hot . elevator tiny scary . like UK mattress , one bit soft room large ( like US hotel obsess room size ) . 
 Sep 11 2009 	 bit pricey get 	 husband , 6 year old daughter , stay Victoria Park Plaza 2 night , one night coach tour & amp ; one night , week apart . first night check - in late due plane landing Heathrow 8 pm , wait luggage , 1 hour subway ride Victoria Station . hotel super convenient Victoria Station & amp ; lot theatre sightseeing . request room queen king bed plus roll - away sofa bed daughter . indeed get large king bed roll - away tuck next window . truly , bed large enough three we could easily fit , daughter thrill little bed . first night tired hungry decide order room service . late time , menu limit . mostly sandwich . sandwich brown wheat bread slice cheese & amp ; load ham , certainly 30 pound worth two sandwich & amp ; & quot ; crisps . & quot ; next morning meet tour group early , wake early get every one ready tiny , clean bathroom . staff reception night incorrectly tell we breakfast start 6:30 . time correct Monday thru Saturday , Sundays start 7 , leave we hour eat walk tour center . breakfast include room rate serve - yourself buffet style runny , watery scramble egg ( yuck ) , sausage , hash brown , variety cereal & amp ; pastry . waiter take hot drink order ( coffee hot cocoa ) . staff quick take away dirty dish offer refill coffee . the second night conclusion coach tour . UK solid week , realize runny , watery scramble egg norm . everywhere go ( Lancaster , Edinburgh , Glasgow , etc ) serve breakfast little variation regardless brand size hotel . time decide go dinner , find many place close could not serve we pub vs. restaurant rule state child serve certain time . 7 pm end go Sainbury 's picking sandwich take back room . night room exactly one floor first night . room dirty dingy . carpeting outside bathroom door obvious mildew many leaky shower . sink dirty , seem old worn despite style sink first room . upon check night , ask currency want credit card bill , pound euro US dollar . american request dollar , charge euro . the absolute best thing hotel 's location . take us 4 - 5 minute ( three suitcase & amp ; tired 6 year old ) walk Victoria Station . time need head airport flight home , walk Buckingham Palace , Big Ben & amp ; London Eye , Westminster Abbey back along Victoria Street hotel . 90 minute . say want return London detailed sightseeing tour , wil stay over - price , quiet 4 star hotel . I would recommend hotel location primary concern . 
 Sep 10 2009 	 great location nice room 	 nice room , comfortable bed , quiet . book room 2 bed , bith comfortable . great location close Victoria Tube Train station , yet walkable Big Ben etc . location great travel underground station , train southern city visit , bus / tour bus station short walk . also , Victoria station food , grocery , etc . like location much well bayswater stay last time . hotel room modern , quiet 5th 6th floor , air condition etc . complaint ? ok , $ $ spend , could least free computer could use like many hotel . also , tubs high side , step tricky , especially old people pretty tile floor get slick . take care all . I would definetely stay . 
 Sep 3 2009 	 low end 4 star great location 	 hotel low end 4 star however location fantastic . hotel less 5 minute Victoria overland tube train station , make easy travel around London beyond . also two small supermarket nearby together large store ( Sainsbury ) . hotel staff helpful friendly , though room somewhat date . although locate quite busy area , room well insulate outside noise . small fitness centre 3rd underground floor pool . 
 Aug 25 2009 	 try find something well much money ! 	 start end : notice hotel charge without ask credit card euro , instead GBP , sure purpose exchange rate apply high increase income . stay 4 night , reason location . stay Park Plaza Bangkok love , choose one thinking much disappointed . room pretty old , although small hotel London , bedsheet old even though clean , old tv little channel often work , dvd set , light except main switch , room quite dark . wardrobe fancy handle stupid even grab little ! bathroom ok , staff provide little thing personal care ( soap , shower gel shampoo ) . slipper ! unbelievable ! even complain reception , not care much , learn like answer machine check check customer 's ! gym small least complimentary , thing , internet pay room hall , complimentary water room , generally impression pay even air breath . breakfast good although get bore . course location good around everything may need , Victoria station transportation . know London like , hotel less , service 4 - star hotel prestigious chain . 
 Aug 20 2009 	 Vacation London 	 good hotel , central good condition leisure business trip . the critic fact make wedding cerimoni guest vey noisy . think hotel must carefull . they good restaurant personal professional nice guest . 
 Aug 17 2009 	 good central location fall short 4 star hotel 	 get good start booking ! despite produce e - mail confirmation travel book company confirm account charge employer ( pre - arranged , usual practice large organisation ) , receptionist insist could allocate room tender credit card ! explain run late extremely important appointment payment prearrange - would convince say would make telephone enquiry . male colleague continually butt say could allocate room confirmation payment received - feel quite humiate point ! leave hang around reception considerable time employer intervene . miss appointment - sole reason travel London reschedule . poor customer service . room huge bed clean comfortable . bathroom grubby tap etc stain previous occupant use . tea / coffee tray frill biscuit , water etc , although ice machine next lift . emerge shower 0845 hrs clean knock march room without wait answer ! main lounge area next reception pleasant place relax carpet heavily stain clean replace . on attend restaurant breakfast , include tarriff , tell seat leave would take self service breakfast lounge area eat low coffee type table . breakfast okay sign staff behind servery lot item replace ( 9.00 ) .All - yes would return give another chance really handy Victoria train station Underground . 
 Aug 14 2009 	 Pros Cons 	 stay 12 night August 2009.pros : concierge helpful ; room modern clean ; 2minute walk Victoria subway / bus / train station . con : free wifi ( available nearby eatery ) ; old guest careful slip enter / exiting bathtub . suggestion : hotel bound opposite side Wilton Street Vauxhill Bridge Road . Wilton , within 3 block hotel good restaurant -- . Grand Paradisio - Mediterranean , Spanish , moreb . Thyme - varietyc . , save lot money buy get take - out food / liquor Sainsbury 's grocery store . at Victoria Station , good french restaurant Chez Gerard . for good chinese japanese food , try Chinatown ( Gerard Street ) far Leicester Square . if be stay day , buy Oyster card discount travel subway , bus ; rent car expensive impractical be stay London . discount same - day theatre ticket tkts booth center Leicester Square . British Natural History Museum - great exhibit dinosaur exhibit , get soon open , line grow fast long . British Museum free less crowded . 
 Aug 1 2009 	 Fantastic Location spacious Room so - so Service 	 come London alone excited explore city . Victoria , right next tube / train station perfect travel need . hotel absolutely gorgeous , pleased room first enter . hear hotel room Europe bite small . room comparable anything state bathroom look brand new . unfortunately , U.S. adaptor not work , shower leak heavily , air conditioning , faulty light . can not say view fantastic either .... call someone look shower able move another room hassle free ! ! people front desk friendly love hotel without package deal inclusive travel , hotel stay , theater probably would look well value hotel . 
 Jul 30 2009 	 perfect convenient generally nice 	 sister - in - law stay hotel 5 - day trip London July 2009 . little bit trouble find hotel initially come Victoria coach station , mostly due poor map . generally speak , location extremely convenient get anywhere need Victoria station . lobby hotel nice , although say check slow front desk extremely busy . arrive early afternoon - probably 1:00 2:00 pm - get room right away nice . room spacious , modern , clean . usually trouble housekeeping , however one morning seem come make bed without anything else . new towel bathroom still dirty . also , disappointed hotel bar close early , pub London . finally , going make use computer internet access hotel lobby find cost 25 penny PER MINUTE . find absolutely ridiculous decide use . understand hotel charge use computer , least make reasonable rate ! anyway , however impressed hotel send we survey complete arrive home actually respond complaint . hopefully improvement make future . generally speak , would recommend hotel . convenient , spacious , modern - could ask ? 
 Jul 30 2009 	 great location 	 hotel conveniently locate Victoria Station several small restaurant . find staff pleasant helpful . light room good carpet throughout hotel need replace . perhaps wait be close Olympics ? however , room clean , quiet , comfortable plenty storage space . breakfast Executive Room good . eat restaurant one night late snack bar enjoyable . 
 Jul 20 2009 	 one expect four star hotel 	 hotel easily find , step Victoria train station , comfortable want party Vauxhall club . when make reservation ' ve emphasize early ( really early ? ) arrival 12 o'clock , unfortunately room not ready , ask leave luggage concierge come back 2 o'clock . come back 2 o'clock occur 30 people wait reception desk check - in . the concierge service offer store luggage , ask book movie theatre ticket , bring speakerphone room ice - bucket impossible they . the room spacious , sheet rip ; lovely heated mirror bathroom glass restrain water leak floor take shower hardly screw notice could fall make serious damage . reasumming stay Park Plaza Hotel full unpleasant surprise : ( will not stay ! 
 Jul 14 2009 	 sour stay - expensive HOTEL 	 partner stay hotel three night . minute check , obvious front desk reception staff untraine unfriendly . though impose let we stay ! sorry arrive ! although room bad , light bathroom deplorable . cost breakfast astronomical , luckily hotel near several eating place restaurant . term location , excellent - in term everything else , certainly need positive team work , staff upgrade training ... well stay Hesperia .. ... 
 Jul 11 2009 	 great staff run mediocre facility 	 stay hotel night two family member one room . get triple accommodation London tough experience , place quite flexible , offer sofabe king room . price steep , typical London , experience great one . let say outset staff fantastic , give mediocre hotel run . hard believe chain invest hotel clean replace worn furnishing , room design simply awful . although room adequately clean lobby rather strike , hall filthy dirty & quot ; executive breakfast room & quot ; ( available high price room ) look wear fray . breakfast pretty good , server courteous quite friendly . first room give work AC unit , quickly efficiently move apartment , represent free upgrade . can not say typical room , comfortable . bed poorly make ( hate too - small bottom sheet work way mattress bed end mess ) . light annoying glaring ceiling spotlight could use read bed . wi - fi internet work fine ( extra charge - could get 1 hour free wire version work , offer come fix right away want ) . location great two Victoria area theater ( pick seat Wicked box office right street , Billy Elliot play around corner ) . hotel short walk Victoria station able roll copious luggage catch Gatwick Express train problem . Victoria area short walk Big Ben , Eye , War Rooms museum , Buckingham Palace , Trafalger square etc , would want take cab back hotel west end theater show let night ( except two nearby theater ) . , could great London hotel chain would invest upkeep interior upgrade . staff excellent , work hard , deserve well . 
 Jul 7 2009 	 Great Hotel - definitely recommend ! 	 stay hotel 4 night visit London . location convenient , easy 5 - 10 minute walk Victoria station room clean nice . pay extra breakfast include worth . travel 9 year old recommend family kid . 
 Jun 29 2009 	 good stay 	 stay 1 night June 09 . check efficient - get room early 2 pm normal time . room comfortable - well light - king size bed . would comfortable staying fro long . good bathroom . everything clean . friendly helpful staff . Victoria Station close . 
 Jun 25 2009 	 great hotel great location 	 husband stay Park Plaza reciently , find room clean comfortable , staff helpful friendly , hotel close Victoria Station , easy walk attraction . 
 Jun 23 2009 	 Hassle Free Hotel 	 stay regularly business London . certainly plush hotel represent good value money . room mid - sized usual amenity ( desk , tv , small table , safe , etc ) always clean . the location so - so .... Victoria bustling area somewhat charachterless , although close many major tourist attraction handy tube . the complaint hotel try look cable & quot ; free internet & quot ; tell use . well pleased ... strong word agree enable wireless access extra charge . 
 Jun 18 2009 	 Perfect weekend stay Victoria Park Plaza ! 	 partner stay Victoria Park Plaza one night go see show Wicked 2 minute hotel well worth see stay .. amazing ! ! hotel really nice modern . partner stay executive room really nice size lovely bathroon huge bed comfortable . food nice executive lougne good get free drink 6pm-8pm ( guest executive suite ) . hotel minute away victoria train station victoria tube station really easy get . would deffinatly stay next trip london . 
 Jun 15 2009 	 Good Hotel 	 fine business stay , close central london - victoria station / tube , long walk thames buckingham palace . hotel show sign age : spot floor , etc , everyone terrific , place clean , nice gym , good food . 
 Jun 15 2009 	 great hotel great location 	 really enjoy stay hotel . booked good review Trip Advisor usual , disappointed . close Victoria Station lot great restaurant bar . hotel staff friendly welcome unusual city hotel . bedroom 7th floor look back hotel nice quiet . room spacious bed extremely comfy ! ! find location central lot touristy sight ( tube travel require ) great hotel . 
 Jun 14 2009 	 underground access walk distance sight nightlife 	 good price room clean quiet view rooftop enjoy . within ( long ) walk distance many place want see , e.g . Buckingham Palace , Westiminster Abbey , etc . good may long people , definitely long child . right next train station , easy get via train underground airport , easy access underground sight area ( e.g . Tower London , Picadilly Circus , West end . ) around hotel however busy street scene lot construction kind run nothing happen night . also warn charge credit card 75 pound advance check incidental , promise re - credit card 2 - 3 day afterwards minus incidental . , would good single business traveler vacation next time might look elsewhere . suggest family look elsewhere space friendly street scene . 
 Jun 13 2009 	 Great Hotel close theatre train station 	 Victoria Park Plaza enjoyable stay London . stay one night go see Wicked hotel really block away nice take two minute show go stroll back hotel . room nice , great work AC , nice large bathroom comfy bed . wall bit thin could hear neighbor day quite night . it also close Victoria Station make arrive go around London easy . 
 Jun 11 2009 	 enjoyable stay . 	 good place ever stay , hotel definitely hold . room clean , slightly sparse , hotel feel modern . nearby many great restaurant easy walk theatre underground station . staff friendly helpful , woman check we upgrade we king room ... not sure , not argue ! stay two night end trip would absolutely stay . 
 May 29 2009 	 Loved Park Plaza 	 stay one night hotel refreshing change hotel city London , heart central London , close Victoria station look new beautiful , book secret hotel offer lastminute .com guess hotel park plaza . bathroom huge shower well bath tub , amazed saw size since London hotel expensive yet crunch space ! also love room full length mirror , wonder many hotel room miss . staff prompt helpful . pleasant stay . 
 May 28 2009 	 definitely would stay 	 great location . great value . central handy . definitely enjoy stay . book room buffet breakfast include would recommend eat breakfast restaurant rather executive room Floor One ( comfortable spacious -- - breakfast ) . 
 may 24 2009 	 good hotel clean modern room 	 stay Park Plaza hotel business trip , conference hotel follow day . hotel literally one minute walk away Victoria train station ideal travel train . hotel lobby quite impressive , plenty staff available deal . stay executive room cost £ 160 night . room nice obviously recently renovate high standard . room clean bed large . every amenity could need business trip Wi - Fi etc available . room quiet despite busy road . breakfast follow day excellent . staff speak stay friendly . conference facility follow day also good , situate main lobby area . would recommend hotel business trip , would also good place stay family visit London . 
 May 18 2009 	 highly recommend Excellent Value 	 refreshing experience . staff , contact , polite knowledgeable . tone voice body language sincere , indicate willingness assistance . the room well equip , clean comfortable . the Hotel situate convenient part West End London , close many amenity . most appreciated fact bar area remain open early hour , offer wide selection beverage snack . " ' look one search accommodation London " . 
 May 16 2009 	 Great Location Staff Room 	 stay 2 night first trip London . location great , walk train station even many bag ( thankfully hook together & amp ; roller ) able walk across street easily find hotel ask train station employee smoke break outside . room bit disappointment , pay extra Executive Room think would least little plush . first floor , poor view , 2 bed request spacious . 2 bottle mineral water , 3 small & amp ; beat look piece fruit box 2 chocolate - fill powerful booze flavor fill nasty . chocolate replace next day fine . first night , 1 2am sound like sit noisy bar . turn people next door loud party . call desk & amp ; good send someone ask pipe . concierge , Peter , helpful often occupy guest . assistant try help advice tube take get desire attraction day , need help & amp ; well advice could give . try help give complicated instruction - many option , almost harm good . bathroom nice little worn , mirror next tub badly etch bottom - mirror type backing wear away . spa toiletry cheap quality although package nicely . bathrobe extremely old & amp ; scratchy . would embarrassed offer robe wear condition guest . lounge nice enough , able get coffee tea throughout day - although coffee push button type machine great . creamer offer like skim milk , half & amp ; half available . snack offer 8 pm 10 , sure see 6 10 advertised case . ballet first night , & amp ; try lounge 2nd evening . snack consist slice ham plate , 2 bowl cracker like munchie . wine available , nice bottle beer & amp ; can soda cooler . maybe snack available early run , although lounge 6:30 . get breakfast lounge first morning & amp ; able get plate & amp ; bring back son , want sleep day . item look pretty good , bin scramble egg look gray , undercooked unappetizing . pastry except toast . item ok , great , would say breakfast worth 5 10 dollar . come price room , would disappoint payed ala carte price . 2nd day go restaurant offering much well , adequate seating . lounge , table either occupy full old dish , take back seem option . eggs gray & amp ; slimey look concoction downstairs , also fry egg , potato , sausage & amp ; ham well nice pastry & amp ; fresh fruit . would advise skip lounge location entirely breakfast , food well restaurant staff helpful . I would stay price right . location great block away 2 theater , Wicked Billy Elliott playing . busy & amp ; 2 night , perhaps bother ask would give well executive room . point hotel big impersonal , staff seem apathetic & amp ; service orient . London expensive , suppose pay ( go expedia ) around $ 500 US 2 night include tax terrible . still , pay expect . 
 May 15 2009 	 Loved hotel location staff atmosphere ! 	 hotel make hectic start long vacation much easier anticipate ! flight arrive London 7 morning check - in 2 pm . ask front desk could check early , thankfully , get room upon arrival ! room incredibly clean , bathroom modern , bed extremely comfortable . even convenient : electrical outlet ! american plug already convert . service staff great well . location great , Victoria station short walk away . one complaint would expensive internet .... right street great little cafe call & quot ; Pret Manger & quot ; offer free wi - fi . 
 may 12 2009 	 perfectly fine 	 stay business trip please . hotel good location Victoria base strike towards Westminster . check quick , efficient friendly . room good size , clean tidy usual amenity ( tea & amp ; coffee make facility , mini bar , safe , air con etc ) .The bed comfortable standard décor good . bathroom decent size luxurious power shower thing morning . I eat restaurant Breakfast Dinner . breakfast busy seat quickly excellent variety food offer , pastry , fruit , cereal full English , standard food good . evening service good although take little food come kitchen not particularly busy . also , aware evening discretionary service charge add bill automatically , think tad cheeky . query removed bill without question . on whole , pleasant stay professional staff . would stay . 
 may 6 2009 	 Attentive Service Comfort Heart London 	 staff hotel set apart rest . Reception Concierge desk always well - man staff polite , smartly dress well - inform . request quiet room efficiently deal accompany warm smile - often rarity hotel country . the dining room staff equally attentive professional breakfast banquet feast sore eye . although Expedia package room basis , opt hotel breakfast . pay advance check - in reducion normal charge even despite save breakfast represented wonderful value everything offer fresh fruit every description traditional ' fry - up' . our bedroom spacious pleasing decor bathroom stock quality toiletry even bathrobe slipper . the location hotel ideal anyone wish visit Houses Parliament Westminster Abbey near Underground station , Victoria , ( leisurely 4 minute ' walk hotel ) , couple stop away . this hotel get thumb comfort location excellent well - train staff look actually enjoy make stay memorable right reason . 
 May 6 2009 	 Coool Plaza ... 	 visit Park Plaza stay 1st business trip London . Park Plaza select situated stone 's throw distance Victoria underground station . experience wonderful hotel room well appoint representative reception cooperative provide valuable tourist information stay . bar fabulous lighting global drink serve . friend gr8 time singing drinking night bar locate lobby level . breakfast serve continental english also relish . would definitely visit hotel next trip London ...... 
 Apr 29 2009 	 great location - expensive internet . 	 Park Plaza Victoria nice , modern 4 - star hotel minute walk Victoria Station close Buckingham Palace , theatre , big ben etc . nice room , bathroom amenity , good restaurant , fitness center , spa etc . reasonable price . downside lack free wi - fi . 
 Apr 17 2009 	 Easter holiday Park Plaza Victoria 	 hotel really well locate , minute Victoria Station short walk Buckingham Palace Westminster Abbey . room quite big , confortable bed pilow , huge wardrobe . coffee tea facility , minibar guarantee requiere . bathroom nice bath - tub . good staff , efficient reception concierge staff . breakfast ok bit busy normal taking account bank holiday + weekend . 
 Apr 2 2009 	 complaint ! 	 stay hotel weekend break . Booked Executive package use Executive Lounge ( free snack drink two hour evening plus beverage snack available throughout day ) English Breakfast throw , one well taste London . hotel great location transport link road find staff pleasant helpful throughout stay . hotel also spa make use next time stay . room roomy bathroom stand - in shower / bath . whole clean well present . people complain car parking situation . find 24 hr secure car park 10 minute walk away take show ( select theatre , check Westminster website detail ) , present parking ticket validation get half price parking . bargain ! yet check credit card statement £ 25 charge … hopefully ' claim back . 
 Mar 30 2009 	 unclean unpleasant . 	 stay hotel impressed . although nicely decorate , find bathroom unclean . shower floor full hair , find experience unpleasant . also bar near reception table rather dirty , toilet area . pay price decent hotel , least expect cleanliness . staff little rude well . get dirty look wear jean , not feel necessary wear evening gown sightseeing . the good thing hotel location , literally around corner Victoria station , make easy go about . in opinion hotel try something . ' ve clean place , make pleasant stay , maybe deserve star , definitely return . 
 Mar 27 2009 	 Nice hotel complete rip ! ! 	 book hotel girlfriend birthday . got fair deal last minute.com one night stay hotel 2 ticket Madame Tussauds . drive 3 hour hotel say parking space available . decide go Madame Tussauds mean time . Madame Tussauds decide go back hotel see parking space available . ask parking space available , tell would pay £ 30 night ! stay hotel car park ! choice , accept . arrive reception tell would get charge ' £ 25 pre - authorisation ' item remove mini - bar , fair enough . wew go hotel room check bank balance , find get charge £ 125 ! tell reception say waw do mistake be behalf ( apology ) check , amount would cancel amount owe would charge . tell soon pre - authorisation cancel fund would make available immediately . check , drive home , find amount cancel WAIT 2 - 5 WORKING DAYS amount cancel . long STORY SHORT , dont drive unless want pay £ 30 night stay HOTELS car park , HANDING CREDIT / DEBIT card , check carefully amount charge could take long TIME get back ! ! ( also , air conditioning not work properly poor workmanship do barthroom ) 
 Mar 27 2009 	 enjoyable stay 	 stay hotel January , 09 , 8 day not complaint , plan include continental breakfast , basically breakfast go day . staff wonderful , helpful direct we get around attraction . Hotel locate 5 minute away Victoria Tube & quot ; train & quot ; Station , within walk distance many main tourist attraction , two theater . saw & quot ; Wicked ' Apollo GREAT.There also eatery / shope train station , restaurant different etnicity close grocery shop . train station choose three day pass , also buy ticket original tour bus & quot ; hop hop tour & quot ; able see lot attraction list , three route tour bus travel entwine major attraction , ticket also include River Thames day cruise . buy ticket London Eye , unable use & quot ; Eye mechanical problem . we also two day bus tour Evan & amp ; Evans , different tour , 's base individual preference . tour 1 , choose Leeds Castle , Dover Canterbury Cathedral , tour 2 , Windsor Castle , StoneHedge Bath . tour guide great . really great time . 
 Mar 26 2009 	 warm service comfortable room 	 hotel great entrance proximity Victoria Station useful . service expectation , concierge thoughtful well - verse . pretty impressed . room comfortable well do . decent value money . 
 Mar 16 2009 	 good quality / price ration hotel 	 good position tube connection Gatwick airportThe room really large comfortable , hot could not manage heating . 
 Mar 15 2009 	 nice place good location 	 get great internet deal Expedia , knock $ 100 rack rate , otherwise , be bit expensive . get deal , take , since 's great place . 's really clean , bed comfy , restaurant good . location awesome : one minute walk Victoria Station , 10 minute walk Buckingham Palace , 5 minute walk Cardinal Place , shop dining area Wagamama . also , be prime location lot theater district ; Wicked Billy Elliot play next door . negative : internet expensive ; alarm clock rely wake - up call , get wrong first morning . 
 Mar 15 2009 	 's great hotel 	 wife stay Park Plaza 2 day vacation London hotel great . room clean close Victoria train station 's convenience we go around London sightseeing enjoy vacation . staff nice we helpful . I would stay next vacation London . 
 Mar 12 2009 	 3 star sauna ! 	 supposedly 4 star deluxe hotel market 3 star sauna hotel . wife arrive weekend work pleasure . unfortunately , due hotel 's air conditioning winter mode control hotel , unable alter unit room , make spending time unbearable , like sit sauna . unable sleep first night , long journey get hotel , spoilt weekend . after complain follow morning , move different room , direct sunlight large window could open let fresh air . to fair reception concierge staff , polite helpful could understand system function , mild 13 deg celcius outside plenty sunshine . also receive many similar complaint day . the food hotel quite good , location mean need take tube taxi anywhere London worth go to . I would recommend hotel anyone unless plan visit victoria station every day . 
 Mar 10 2009 	 great time 	 choose hotel location rating . less price hotel area , review little mixed ( noisy / no heat / no service / no lift / no water ) not want take risk . this hotel great location . close Victoria Station sereval Tube Bus connection . couple theater , reaturant , pub , club 10 minute walk . walk Westminster Abbey Trafalgar square , be little shape like , easy enough catch 11 bus Victoria station . room spacious clean . large bathroom huge soft towel . bed soft comfortable clean sheet . a / c heat work well make noise . room outlets type plug include U.S. standard . not hear street noise despite closeness Victoria Station ( bustle 24 hour day ) . admit wall bit thin could problem neighbor rowdy . fortunately , quiet . staff available 24/7 eager enthusiastic helping . sometimes make understand need bit difficult . call quite bit help get outlet work , get recommendation , set reservation , etc . problem one morning ask additional towel none show 30 minute . as food , skip . can not attest quality , price ask not want bother . plenty cafe , pub , quality restaurant 5 minute walk . would recomend hotel fellow mid - lifer like comfort not want take risk type room get one cheap hotel . 
 Mar 8 2009 	 good enough ! 	 stay one night Park Plaza Victoria . excellent location , block Victoria Station . polite professional staff reception . spacious modern - look lobby comfortable bar . clean spacious room ( specially consider London average ! ) . decent non - pretentious room decor . Quietness ( least room , 4th floor face ample , interior courtyard ) . mattress perhaps little soft . bathroom clean small . traveller note , bath - screen short ... one oddy thing : hair - dryer outside bathroom , closet ( mirror next ) .Breakfast ( continental , include rate ) quite good ; except tea coffee ( hardly ever good hotel breakfast ... ) . 
